"L1","Output11","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11"
72.857,"Class3",92.144,40.618,"U",70.758,46,"S",34,74.515,29.269,93
88.795,"Class2",49.318,59.65,"Y",61.113,43,"I",72,37.569,45.379,57
89.023,"Class2",70.87,64.097,"R",59.61,45,"H",74,66.785,46.873,60
87.224,"Class2",45.246,58.614,"A",58.392,41,"C",70,22.328,46.339,57
87.985,"Class2",45.088,52.248,"R",61.372,34,"M",68,43.841,34.213,57
19.13,"Class1",36.549,45.912,"Z",57.889,64,"Q",21,18.814,57.196,55
88.947,"Class2",55.129,59.512,"Y",63.81,44,"O",72,39.825,38.199,59
70.739,"Class3",91.357,42.644,"C",66.773,42,"J",13,64.734,91.661,92
27.222,"Class1",22.668,21.746,"Z",57.65,65,"Q",13,2.264,18.143,89
87.781,"Class2",53.141,54.594,"A",61.156,38,"H",70,67.658,61.745,59
7.829,"Class1",9.428,53.395,"I",70.208,63,"Q",55,4.582,53.193,77
73.587,"Class3",70.607,54.782,"E",61.172,26,"A",52,64.752,40.179,97
71.668,"Class3",87.093,39.541,"C",57.138,61,"J",56,55.908,75.137,97
68.739,"Class3",94.584,39.749,"U",68.205,17,"F",38,65.649,38.416,94
76.577,"Class3",72.865,18.077,"L",42.101,45,"F",31,72.503,81.85,87
81.916,"Class3",77.44,27.547,"L",42.197,27,"F",20,57.266,46.769,96
4.144,"Class1",58.262,37.349,NA,53.115,63,"K",37,21.532,45.263,77
66.35,"Class3",62.969,41.503,"L",38.814,47,"S",19,61.238,32.867,91
88.993,"Class2",59.536,54.867,"S",60.957,51,"H",74,63.56,60.463,57
25.932,"Class1",79.589,59.241,"Z",84.529,64,"Q",56,18.712,29.402,28
22.143,"Class1",28.914,32.352,"A",54.583,63,"Q",33,9.639,50.647,56
80.576,"Class3",69.949,53.364,"L",47.589,41,"A",45,68.024,58.564,84
77.212,"Class3",92.216,23.48,"L",74.163,30,"W",58,62.383,51.077,85
88.474,"Class2",46.112,59.067,"Y",57.296,49,"O",74,85.895,37.851,57
73.433,"Class3",77.443,37.157,"U",34.526,27,"S",21,56.362,53.297,91
89.481,"Class2",57.689,54.127,"Y",60.047,33,"M",74,14.157,63.05,57
77.118,"Class3",86.264,38.31,"L",48.97,42,"F",40,67.296,58.057,87
69.791,"Class3",79.697,20.267,"C",53.401,39,"S",32,70.638,52.917,87
70.946,"Class3",75.192,40.121,"L",77.822,51,"F",19,67.304,71.339,86
73.734,"Class3",83.291,12.957,"U",87.39,33,"S",39,64.448,58.074,91
83.594,"Class3",85.918,25.452,"U",24.94,50,"J",22,73.097,68.186,96
77.611,"Class3",72.268,49.849,"E",63.329,31,"W",57,71.066,43.348,85
27.57,"Class1",67.443,40.571,"Z",42.773,64,"L",63,19.182,69.485,35
13.361,"Class1",69.611,61.65,"A",40.358,65,"Q",73,6.989,40.979,69
17.961,"Class1",81.427,49.003,"U",65.038,64,"K",51,21.669,43.366,91
6.324,"Class1",33.879,30.145,"F",78.588,63,"L",72,7.348,43.507,87
65.943,"Class3",92.084,41.707,"E",60.708,46,"S",57,64.708,71.656,94
31.532,"Class1",77.122,39.785,"U",66.058,64,"Q",75,18.18,64.136,17
79.667,"Class3",75.243,15.621,"C",31.429,31,"W",24,72.178,14.37,87
15.044,"Class1",55.225,53.518,"I",56.33,63,"Y",58,10.244,35.038,69
19.861,"Class1",13.965,32.916,"I",60.178,63,"L",20,9.013,50.479,79
87.948,"Class2",39.827,67.348,"A",62.881,47,"O",68,63.885,41.782,57
80.158,"Class3",72.126,40.807,"C",56.23,21,"W",28,60.347,31.49,90
89.318,"Class2",46.993,60.007,"R",63.749,37,"O",72,17.013,59.94,60
78.72,"Class3",89.303,34.062,NA,71.394,37,"J",10,56.81,83.11,90
88.444,"Class2",45.062,62.661,"A",59.411,46,"I",69,87.981,56.125,58
24.009,"Class1",28.305,59.012,"Z",76.538,64,"K",64,14.027,20.929,70
22.194,"Class1",31.235,31.907,"A",54.852,65,"Y",74,11.464,61.955,77
84.049,"Class3",83.122,45.082,"L",70.994,38,"J",16,59.985,46.836,89
17.876,"Class1",72.124,17.04,"F",62.455,63,"K",12,22.894,39.692,42
17.655,"Class1",85.108,55.859,"A",66.511,63,"Q",69,20.032,27.799,47
73.073,"Class3",70.461,39.478,"C",33.573,31,"J",51,61.643,16.683,93
83.276,"Class3",76.144,45.896,"C",54.765,19,"S",51,68.81,69.529,85
17.519,"Class1",40.251,72.099,"F",89.047,64,"Q",67,13.526,19.571,17
88.745,"Class2",41.758,64.535,"S",61.389,39,"C",72,83.951,31.488,59
88.18,"Class2",65.599,46.505,"S",63.361,38,"O",73,26.332,55.72,60
15.626,"Class1",19.792,28.233,"A",61.582,63,"K",35,8.239,50.401,44
81.033,"Class3",70.606,25.528,NA,42.253,27,"S",25,70.867,91.586,86
88.269,"Class2",64.667,51.284,"S",64.019,51,"C",74,NA,57.912,59
16.646,"Class1",39.162,35.557,"F",73.831,64,"L",74,17.891,57.96,39
88.368,"Class2",65.678,64.389,"K",64.724,44,"H",73,69.905,48.172,57
88.071,"Class2",62.12,55.689,NA,63.59,40,"C",68,71.322,54.095,60
69.006,"Class3",86.856,42.401,NA,59.163,57,"S",52,73.615,95.015,86
88.226,"Class2",68.946,51.387,"Y",58.725,44,"H",70,46.921,61.787,58
66.872,"Class3",71.847,47.594,"C",60.502,40,"S",52,66.887,92.746,84
32.619,"Class1",37.737,18.154,"A",70.638,63,"L",39,5.697,26.288,46
70.194,"Class3",94.16,44.535,"U",39.063,27,"W",29,64.503,42.671,97
88.344,"Class2",62.688,52.262,"R",61.412,50,"M",69,25.492,47.252,59
82.302,"Class3",87.286,42.312,"E",59.955,38,"J",29,72.035,54.316,93
72.603,"Class3",80.983,29.906,"U",92.893,40,"F",53,64.339,13.075,97
89.019,"Class2",52.775,57.484,"K",59.65,42,"M",71,75.012,34.225,58
2.904,"Class1",71.678,85.752,"I",55.538,64,"Q",74,22.19,65.079,51
65.308,"Class3",95.349,33.069,"L",49.405,42,"W",18,65.914,39.675,91
71.123,"Class3",86.597,41.503,"C",69.03,54,"J",30,58.883,69.44,87
86.442,"Class2",45.288,56.623,"S",61.824,42,"O",72,40.788,31.389,57
88.032,"Class2",63.967,55.637,"R",60.813,47,"C",70,77.4,55.517,59
24.479,"Class1",81.893,50.825,"F",69.977,64,"J",76,2.776,66.196,87
11.861,"Class1",58.022,51.749,"F",55.843,64,"J",81,4.75,50.529,61
88.797,"Class2",63.245,56.042,"A",60.056,40,"I",71,42.064,45.466,57
87.602,"Class2",53.291,59.975,"K",60.918,34,"C",71,67.175,34.213,59
89.107,"Class2",72.559,57.972,"Y",60.06,48,"C",72,20.124,51.13,57
89.056,"Class2",45.778,60.47,"K",61.156,41,"C",73,60.811,39.375,58
22.801,"Class1",13.942,48.4,"F",57.881,63,"K",74,11.366,68.152,28
13.13,"Class1",73.417,40.103,"I",67.98,63,"L",16,4.784,37.532,49
88.184,"Class2",51.634,61.776,"K",60.198,49,"M",68,24.08,32.185,58
71.068,"Class3",69.105,47.785,"C",62.557,41,"S",19,60.461,50.557,96
30.423,"Class1",65.696,16.557,"F",48.572,65,"J",56,10.55,22.529,54
88.299,"Class2",44.281,63.508,"R",60.193,34,"O",74,71.136,31.976,58
80.476,"Class3",80.679,40.157,"E",66.269,26,"F",43,68.438,50.301,94
73.401,"Class3",61.739,46.287,"U",39.658,28,"J",44,55.176,59.266,88
88.456,"Class2",52.145,53.824,"K",60.974,39,"C",69,14.563,57.351,59
88.17,"Class2",43.087,47.994,"K",55.209,48,"O",73,47.677,33.605,57
89.575,"Class2",51.311,52.267,"Y",58.949,47,"M",69,8.629,34.599,58
42.088,"Class1",20.232,37.472,"F",50.745,65,"Y",59,8.433,59.19,29
37.089,"Class1",69.829,56.157,"I",67.789,65,"L",27,9.768,42.791,62
33.356,"Class1",79.51,24.413,"Z",61.529,63,"L",17,18.915,66.282,19
71.218,"Class3",68.551,33.81,"L",66.663,28,"S",34,74.583,21.674,90
82.083,"Class3",75.424,48.424,"C",74.911,59,"A",58,71.393,63.264,87
23.705,"Class1",83.143,31.11,"F",51.944,65,"Q",13,5.957,57.159,48
2.672,"Class1",48.63,21.617,"Z",53.41,65,"K",59,6.609,54.746,12
17.883,"Class1",79.122,59.383,"I",64.258,63,"Y",70,11.292,38.495,20
34.126,"Class1",17.287,46.58,"A",75.5,65,"L",19,19.476,30.469,66
77.527,"Class3",90.104,49.954,"C",52.669,46,"W",37,67.641,76.42,97
67.624,"Class3",78.178,15.442,"C",57.948,34,"F",15,62.997,27.553,97
76.561,"Class3",83.382,49.043,"U",59.146,34,"F",44,68.562,52.213,97
26.471,"Class1",44.697,13.323,"F",54.815,64,"L",63,22.673,26.268,37
63.089,"Class3",91.884,17.668,"E",61.481,20,"J",14,67.709,90.889,96
15.683,"Class1",36.615,48.587,"F",64.029,64,"Q",66,19.481,66.907,76
87.853,"Class2",57.917,57.767,"Y",60.177,47,"I",70,56.939,51.229,57
74.641,"Class3",78.117,33.827,"L",91.678,35,"W",11,72.708,43.506,97
40.213,"Class1",73.102,37.52,"U",67.627,64,"Q",12,4.572,42.18,37
77.567,"Class3",89.438,32.418,"L",42.694,52,"S",38,73.105,25.432,94
77.595,"Class3",85.665,29.38,"C",74.247,41,"A",24,62.963,88.214,87
87.088,"Class3",81.113,37.834,"E",34.776,39,"S",53,61.541,38.984,88
88.154,"Class2",44.991,52.206,"S",61.352,38,"O",72,63.415,59.421,60
22.254,"Class1",13.118,35.968,"U",50.436,65,"K",47,20.082,46.201,59
69.789,"Class3",81.92,39.638,"R",70.726,40,"W",11,56.4,64.725,94
26.885,"Class1",44.167,43.921,"Z",46.542,63,"Y",80,4.113,61.631,28
25.861,"Class1",7.53,44.471,"F",39.487,65,"Y",32,10.113,65.896,55
89.391,"Class2",46.059,58.194,"A",60.701,43,"H",72,64.682,61.713,57
69.182,"Class3",90.986,28.078,"R",60.964,48,"F",49,63.594,27.421,97
82.371,"Class3",78.895,30.275,"E",65.669,60,"F",15,57.574,51.224,84
37.781,"Class1",67.964,33.134,"F",70.68,64,"L",56,22.085,43.284,12
15.547,"Class1",46.207,21.667,"F",54.007,65,"Y",45,8.559,46.474,32
87.915,"Class2",47.024,57.528,"Y",58.03,42,"M",71,49.024,61.938,57
70.926,"Class3",71.465,39.396,"L",67.004,48,"A",39,55.716,89.717,86
88.398,"Class2",41.362,58.311,"K",62.977,43,"I",69,31.62,55.423,57
41.897,"Class1",21.468,36.879,"U",76.398,65,"K",68,4.381,20.686,10
74.063,"Class3",65.146,20.444,"U",73.579,54,"W",23,57.733,30.302,92
74.546,"Class3",90.715,31.15,"E",53.291,53,"A",50,62.59,20.532,96
14.31,"Class1",41.268,38.48,"F",56.981,64,"L",67,20.108,33.413,90
88.652,"Class2",67.728,59.008,"R",59.793,41,"I",69,49.181,49.999,59
71.323,"Class3",77.408,34.414,"L",39.069,40,"S",11,71.227,12.145,93
42.198,"Class1",32.621,38.962,"Z",52.981,65,"J",54,2.322,65.507,48
70.433,"Class3",65.52,44.941,NA,60.789,42,"A",57,56.95,20.278,85
26.821,"Class1",66.713,44.346,"U",75.102,65,"J",25,13.476,48.733,17
77.481,"Class3",65.25,12.842,"U",46.703,52,"S",15,68.728,14.669,86
33.629,"Class1",73.137,33.171,"I",84.927,65,"L",39,4.255,30.769,9
39.511,"Class1",74.553,47.299,"U",50.651,63,"K",43,4.848,28.497,60
82.458,"Class3",90.993,50.99,"L",21.825,60,"A",51,59.467,74.008,94
89.099,"Class2",58.202,55.291,"S",59.067,33,"O",74,25.188,43.03,57
87.186,"Class2",58.131,54.742,"R",61.002,44,"H",71,79.884,40.531,57
88.342,"Class2",54.596,48.281,"K",60.125,45,"C",73,3.952,41.385,59
88.374,"Class2",48.285,54.248,"R",63.171,42,"H",70,13.385,46.786,57
89.489,"Class2",38.006,59.374,"K",61.794,42,"M",68,32.503,62.824,58
76.448,"Class3",76.214,31.126,"L",50.978,43,"S",49,59.773,35.954,92
75.841,"Class3",75.937,33.713,"L",63.425,43,"W",29,61.343,50.159,94
29.539,"Class1",31.873,50.253,"I",63.198,64,"L",6,9.725,36.456,7
82.889,"Class3",95.381,31.762,"R",42.715,55,"W",36,66.205,37.017,87
90.427,"Class2",44.089,65.682,"Y",60.073,44,"C",68,63.497,55.66,60
5.772,"Class1",55.468,45.776,NA,61.273,64,"J",38,11.832,54.112,85
13.107,"Class1",35.873,53.27,"U",58.187,63,"Q",35,8.861,59.76,8
26.934,"Class1",73.875,46.953,"Z",54.32,65,"Y",40,NA,53.618,57
67.205,"Class3",72.911,38.187,"L",71.879,35,"F",23,73.802,91.928,92
87.569,"Class2",45.69,47.353,"A",60.638,35,"M",72,41.135,59.962,57
77.267,"Class3",83.636,27.405,"L",69.44,53,"J",19,69.278,45.687,92
89.169,"Class2",50.087,65.545,"K",62.358,50,"I",74,81.581,48.499,57
69.666,"Class3",88.983,43.405,"R",40.442,20,"A",46,63.183,33.03,93
87.141,"Class2",63.975,61.351,"Y",64.238,40,"C",69,44.396,53.12,58
71.115,"Class3",88.44,17.779,"R",51.043,29,"J",13,55.86,15.196,87
89.193,"Class2",65.741,51.298,"K",61.183,47,"H",68,83.554,57.025,60
89.867,"Class2",48.819,57.902,"S",63.817,48,"O",69,46.8,36.855,57
4.528,"Class1",29.478,52.731,"Z",81.276,64,"Q",38,12.83,68.912,23
85.783,"Class3",80.76,44.819,"C",47.464,23,"J",21,64.189,75.23,90
88.852,"Class2",61.162,54.294,"A",63.173,46,"O",72,71.937,55.115,59
87.339,"Class2",42.57,63.67,"A",61.074,41,"M",70,42.119,31.328,59
71.997,"Class3",63.529,27.094,"C",61.611,58,"S",20,65.048,23.875,89
87.515,"Class2",52.276,50.306,"A",61.985,32,"H",71,49.314,49.792,57
26.228,"Class1",11.06,46.883,"Z",64.479,64,"Q",12,15.502,34.719,8
7.618,"Class1",76.289,36.539,"A",75.875,63,"Q",82,2.908,44.971,58
32.046,"Class1",70.252,56.624,"I",73.314,63,"Y",78,8.464,45.259,42
85.452,"Class3",86.751,38.64,"C",21.91,17,"A",21,64.633,45.242,97
76.127,"Class3",77.752,30.559,"U",46.233,48,"S",49,66.206,48.306,94
28.912,"Class1",28.144,50.401,"Z",46.983,64,"L",7,3.686,59.169,83
81.109,"Class3",82.776,53.159,"E",80.557,34,"W",23,68.751,73.604,96
26.605,"Class1",68.249,29.656,NA,72.818,64,"J",67,22.97,70.489,25
74.063,"Class3",63.737,38.638,"C",54.968,59,"S",47,72.365,35.358,84
72.452,"Class3",72.846,39.065,"C",67.541,40,"J",38,55.858,89.358,97
80.195,"Class3",63.711,41,"C",45.038,42,"F",23,NA,93.511,86
87.435,"Class2",50.318,61.664,"A",59.615,33,"O",69,4.423,46.143,58
68.116,"Class3",81.644,39.309,"R",39.826,20,"J",43,59.72,41.604,87
74.168,"Class3",95.918,51.686,"R",64.31,46,"A",17,71.559,15.383,86
89.949,"Class2",64.409,62.021,"Y",58.031,39,"C",74,26.619,63.234,59
69.746,"Class3",63.162,35.687,"U",81.834,57,"J",32,74.738,71.681,88
85.545,"Class3",85.028,21.511,"E",20.372,42,"S",45,66.274,21.195,96
88.628,"Class2",53.334,56.711,"R",58.401,45,"M",74,23.594,43.478,59
69.62,"Class3",79.511,46.191,"C",27.022,50,"J",40,63.442,75.63,92
88.684,"Class2",46.915,62.535,"S",56.744,34,"I",68,76.839,39.841,57
88.934,"Class2",71.397,57.861,"A",61.747,49,"M",69,38.082,50.728,60
88.21,"Class2",40.436,56.423,"R",63.554,34,"M",69,47.714,35.967,57
88.945,"Class2",71.148,55.566,"K",64.267,37,"I",68,6.412,40.639,60
88.409,"Class2",48.787,60.215,"R",59.478,34,"I",69,66.35,60.799,57
72.495,"Class3",89.549,44.237,"C",69.041,56,"S",17,61.69,27.08,92
9.437,"Class1",24.563,43.489,"U",67.048,65,"L",63,6.079,70.456,70
73.224,"Class3",65.541,30.941,"R",39.179,58,"W",29,66.675,53.554,95
79.695,"Class3",69.366,35.167,"U",55.478,37,"W",15,57.574,29.018,91
24.622,"Class1",86.232,19.844,"I",74.943,65,"J",25,21.894,26.296,46
88.446,"Class2",57.29,54.192,"Y",61.789,45,"H",69,62.715,40.668,57
64.515,"Class3",95.322,41.615,"E",50.324,19,"J",52,NA,72.923,88
76.044,"Class3",91.533,29.672,"L",25.6,44,"J",21,63.454,26.703,91
68.191,"Class3",73.203,28.598,"L",30.425,44,"F",38,73.312,27.386,86
87.753,"Class2",55.89,52.468,"S",58.518,39,"O",72,11.361,39.164,59
78.751,"Class3",61.686,33.159,"E",65.398,36,"W",21,74.077,78.409,89
27.071,"Class1",75.208,24.219,"I",82.719,64,"J",55,NA,60.958,74
87.972,"Class2",53.551,64.912,"R",62.192,36,"C",71,34.447,43.184,57
88.139,"Class2",59.427,50.616,"S",61.095,36,"H",73,26.331,46.513,57
34.58,"Class1",47.779,62.284,"U",53.996,64,"L",67,15.138,41.19,53
23.271,"Class1",54.727,1.716,"A",52.533,65,"J",69,19.71,39.954,83
20.191,"Class1",83.46,39.96,"Z",80.621,63,"Y",41,12.236,46.943,77
16.975,"Class1",68.563,17.921,"A",58.947,63,"J",13,7.794,58.107,78
89.236,"Class2",56.967,59.081,"A",57.089,50,"O",70,1.889,51.173,59
33.56,"Class1",46.063,44.259,"U",78.183,63,"L",63,7.424,57.367,80
88.301,"Class2",72.968,58.406,"Y",59.164,40,"M",69,39.153,63.044,59
63.186,"Class3",69.884,26.945,"C",36.333,58,"W",41,74.722,62.166,94
74.939,"Class3",73.524,37.302,"E",47.728,36,"F",49,64.376,72.612,97
89.307,"Class2",54.323,61.375,"Y",60.739,36,"O",73,59.993,63.365,57
89.197,"Class2",60.709,57.324,"S",59.326,44,"O",71,29.609,52.974,57
86.908,"Class2",69.122,57.753,"K",62.024,38,"M",71,57.829,40.877,59
27.934,"Class1",53.199,33.057,"U",76.504,64,"J",15,16.229,70.316,69
88.255,"Class2",50.526,58.123,"R",60.415,40,"O",74,1.091,46.223,60
42.812,"Class1",39.23,40.998,"I",31.059,64,"J",51,9.318,17.873,52
33.538,"Class1",24.02,36.789,"I",65.117,63,"Q",8,8.335,50.327,40
71.294,"Class3",82.551,9.346,"U",56.256,25,"W",37,58.288,85.216,87
34.545,"Class1",43.133,70.78,NA,35.297,63,"J",8,7.262,42.15,20
-5.871,"Class1",14.643,33.473,"F",65.239,64,"Y",23,12.528,43.787,25
87.555,"Class2",41.246,58.105,"A",62.072,48,"H",71,47.36,46.93,59
87.98,"Class2",65.786,44.652,"Y",62.476,46,"M",74,67.091,58.314,60
71.906,"Class3",63.948,48.918,"L",55.777,21,"J",48,65.12,45.495,97
18.043,"Class1",43.304,31.656,"A",59.621,65,"K",4,10.449,52.278,89
89.362,"Class2",58.05,59.386,"R",62.929,44,"M",72,20.865,56.414,59
34.64,"Class1",76.287,47.546,"F",76.678,64,"L",11,2.456,63.44,31
71.442,"Class3",61.41,44.911,"U",52.198,19,"J",46,63.839,67.034,96
78.619,"Class3",92.437,17.261,"U",44.969,49,"F",40,72.785,33.437,89
86.635,"Class2",40.926,57.248,"Y",60.276,41,"I",68,NA,45.725,57
89.232,"Class3",82.32,46.749,"L",55.435,42,"J",28,NA,67.27,86
90.106,"Class2",65.312,55.559,"K",62.288,44,"I",68,32.381,44.898,60
89.37,"Class2",38.055,59.718,"K",62.212,46,"O",68,50.555,53.774,58
45.918,"Class1",42.356,34.388,"Z",70.175,64,"K",59,15.513,54.998,8
27.477,"Class1",26.849,27.214,"U",57.718,65,"K",61,17.317,19.472,34
88.335,"Class2",54.916,62.755,"S",61.585,41,"C",72,6.834,40.886,60
17.25,"Class1",72.603,33.089,"F",79.089,65,"Y",77,13.713,25.725,16
12.606,"Class1",65.214,44.054,"U",62.192,65,"Q",45,15.05,21.252,78
22.974,"Class1",22.047,46.275,"Z",71.193,64,"J",49,3.299,19.705,37
89.778,"Class2",53.02,62.292,NA,64.264,42,"H",70,64.545,55.427,60
89.056,"Class2",67.713,55.072,"Y",60.235,33,"O",72,48.115,43.006,57
22.986,"Class1",32.519,17.653,"F",66.002,63,"K",11,14.207,26.96,72
82.122,"Class3",94.921,21.546,"C",58.928,34,"A",52,56.261,32.077,97
89.467,"Class2",51.913,61.46,"K",62.042,43,"M",69,2.801,36.601,60
27.506,"Class1",22.475,50.801,NA,54.737,63,"L",56,9.727,28.464,46
89.476,"Class2",60.767,59.468,NA,58.035,47,"I",74,26.856,48.502,60
64.911,"Class3",75.84,54.756,"L",60.949,18,"S",25,71.071,65.556,90
88.701,"Class2",38.497,56.964,"K",65.848,37,"H",70,59.539,37.807,59
87.529,"Class2",64.53,56.55,"A",60.99,40,"C",74,9.879,49.931,58
71.517,"Class3",83.085,35.516,"R",49.558,28,"F",31,62.941,92.857,87
26.69,"Class1",33.207,22.335,"F",57.552,65,"L",41,21.341,56.178,90
44.932,"Class1",56.116,32.583,"A",72.74,63,"Q",83,20.393,31.684,49
87.14,"Class3",88.981,30.22,"L",48.489,39,"A",58,72.493,58.587,93
75.884,"Class3",80.546,27.13,"C",78.651,42,"S",23,68.443,40.777,91
90.092,"Class2",42.266,55.063,"K",62.984,40,"C",71,32.219,57.396,58
89.409,"Class2",44.195,49.847,"R",57.99,39,"H",73,43.819,62.915,60
88.396,"Class2",56.126,59.082,"K",60.908,42,"H",71,36.478,58.138,58
21.858,"Class1",35.244,36.807,"I",44.584,63,"K",44,21.311,31.887,85
88.597,"Class2",59.179,51.038,"R",61.482,36,"H",69,75.145,48.896,60
16.338,"Class1",81.822,52.298,"Z",52.102,64,"J",73,5.206,55.83,74
32.084,"Class1",36.478,52.357,"Z",68.533,63,"J",55,2.218,61.414,72
90.331,"Class2",47.205,51.181,"K",62.778,45,"C",70,76.447,48.543,59
32.586,"Class1",22.217,38.759,"I",68.619,65,"J",74,4.978,52.826,23
19.751,"Class1",11.072,26.532,"U",70.823,64,"Q",14,16.489,26.503,30
88.805,"Class2",49.438,51.976,"R",58.08,39,"H",70,70.224,59.522,58
82.213,"Class3",81.897,46.146,"U",43.202,17,"J",54,62.942,21.25,86
77.953,"Class3",64.286,42.692,"L",29.493,39,"J",38,68.757,63.483,88
76.123,"Class3",66.295,27.674,"L",33.356,50,"F",48,61.602,40.903,94
88.726,"Class2",51.856,52.889,"S",60.87,36,"O",72,24.569,59.173,58
28.509,"Class1",16.233,44.511,"U",85.042,64,"J",60,17.578,31.17,90
10.557,"Class1",9.993,49.051,"F",82.921,63,"Y",39,16.58,25.235,59
87.083,"Class3",64.427,33.805,"C",55.938,33,"W",57,67.088,15.106,94
78.463,"Class3",79.385,50.562,"C",52.78,34,"W",48,73.037,41.84,93
87.179,"Class3",88.031,43.522,"C",33.819,56,"F",52,66.716,88.941,94
70.711,"Class3",68.684,19.875,"E",18.666,45,"A",36,60.747,91.297,87
20.741,"Class1",65.57,50.049,"U",64.952,64,"J",13,17.785,52.574,79
29.949,"Class1",77.854,43.878,"F",86.915,64,"K",19,7.022,40.088,51
33.662,"Class1",73.235,34.448,NA,54.416,64,"K",46,14.985,60.441,88
87.785,"Class2",67.075,60.397,"A",58.834,40,"I",69,31.934,43.84,60
14.358,"Class1",60.991,0.848,"I",48.699,63,"Q",12,22.39,29.329,85
70.334,"Class3",71.339,38.962,"U",68.349,42,"A",44,NA,87.323,92
12.58,"Class1",11.988,58.101,"A",70.483,64,"Q",57,12.442,23.95,78
74.687,"Class3",63.455,33.646,"C",21.358,45,"J",50,56.781,25.59,86
89.351,"Class2",65.987,60.487,"A",63.822,51,"C",69,30.697,44.969,58
76.098,"Class3",63.183,32.753,"L",49.284,46,"S",20,72.256,14.256,94
87.162,"Class2",63.797,57.138,"S",60.381,38,"I",68,37.255,35.524,58
90.169,"Class2",56.018,49.726,"A",63.791,39,"C",68,26.171,55.627,60
79.215,"Class3",64.913,40.173,"U",66.986,32,"W",15,64.846,35.03,84
89.215,"Class2",45.857,68.78,"Y",63.238,48,"I",68,84.377,37.453,60
84.769,"Class3",69.489,59.675,"R",40.933,17,"S",23,71.312,76.722,88
86.651,"Class2",45.625,51.893,"S",66.49,34,"H",74,89.52,57.381,57
29.348,"Class1",62.514,14.52,"A",68.512,65,"K",45,13.479,64.104,63
16.037,"Class1",29.418,41.638,"U",48.215,65,"Y",32,4.322,56.406,55
24.597,"Class1",67.015,40.262,"I",86.165,64,"Q",8,12.166,49.097,12
25.145,"Class1",21.88,44.499,"Z",63.618,65,"J",49,10.353,55.51,84
70.884,"Class3",79.81,34.02,"E",64.028,43,"F",49,65.828,12.181,90
29.473,"Class1",9.576,43.779,"U",54.861,64,"Y",20,NA,22.462,72
32.412,"Class1",51.73,20.164,"F",46.173,63,"K",59,21.175,36.486,29
24.716,"Class1",54.182,47.599,"I",65.862,64,"K",23,4.347,55.641,16
85.07,"Class3",64.343,37.11,"R",46.889,38,"A",50,68.1,75.528,89
21.34,"Class1",46.809,35.051,"I",84.829,65,"J",8,17.284,40.684,56
77.438,"Class3",64.44,30.424,"E",37.279,53,"F",58,72.817,68.249,86
80.258,"Class3",90.881,25.742,"L",69.683,36,"F",15,60.192,53.513,84
88.505,"Class2",42.754,60.427,"Y",64.889,35,"H",71,63.755,45.331,58
39.661,"Class1",68.659,18.993,"U",71.227,65,"K",34,NA,43.027,46
89.932,"Class3",66.157,21.026,"C",43.849,29,"W",39,55.765,88.14,86
46.815,"Class1",31.75,19.04,"Z",58.398,63,"Q",29,10.946,55.838,44
89.203,"Class2",38.882,54.835,"Y",63.955,39,"I",70,59.505,34.622,60
30.601,"Class1",35.09,33.169,"F",89.492,64,"Y",14,9.873,62.645,21
22.093,"Class1",74.328,46.289,"Z",62.737,64,"Y",27,NA,70.413,66
89.095,"Class2",40.621,61.07,"Y",59.847,48,"H",68,12.556,47.103,57
75.345,"Class3",66.375,20.683,"C",64.041,17,"J",32,65.172,34.264,95
86.521,"Class2",67.686,61.146,"R",66.6,42,"I",68,42.195,46.315,57
27.943,"Class1",19.481,56.215,"U",64.065,65,"K",83,17.818,31.621,76
69.026,"Class3",69.021,36.618,"C",75.965,37,"A",26,67.099,90.689,91
87.725,"Class2",60.549,54.437,"Y",62.263,32,"M",69,36.055,43.615,60
77.323,"Class3",76.105,16.208,"C",81.423,46,"F",48,64.891,54.208,92
88.977,"Class2",47.199,49.765,"K",65.236,35,"M",69,71.254,57.91,58
72.912,"Class3",93.353,30.673,"L",72.326,21,"W",49,68.412,19.864,96
78.926,"Class3",90.777,34.689,"L",46.23,31,"J",24,69.644,80.397,84
84.982,"Class3",85.709,37.313,"L",75.807,61,"S",12,68.199,36.262,88
88.734,"Class2",62.82,62.258,"R",59.9,46,"H",73,44.761,43.324,59
74.579,"Class3",72.296,14.282,"C",46.638,20,"J",29,NA,26.24,86
33.209,"Class1",8.756,26.051,"U",76.044,64,"Q",42,NA,58.192,25
87.881,"Class2",67.165,53.068,"Y",59.825,42,"C",70,1.37,38.163,60
31.839,"Class1",22.793,34.864,NA,53.834,63,"Q",71,3.135,58.614,87
69.853,"Class3",64.138,29.372,"L",55.6,59,"F",47,56.549,85.656,87
76.262,"Class3",86.798,30.235,"L",35.755,58,"W",40,69.225,39.724,88
88.36,"Class2",51.681,56.318,"S",61.147,37,"C",69,14.845,37.657,58
89.338,"Class2",41.523,55.794,"S",61.191,51,"M",69,18.433,50.247,59
88.275,"Class2",59.122,56.417,NA,61.29,51,"M",73,77.177,53.69,59
71.348,"Class3",66.991,37.911,"C",61.035,59,"W",14,71.039,88.54,91
76.075,"Class3",93.274,28.907,"U",28.788,20,"J",53,64.917,31.063,85
4.392,"Class1",43.869,14.98,"U",63.452,64,"K",74,11.854,25.11,34
