"N1","N2","N3","N4","N5","N6","N7","N8","N9","Output13","N10","N11"
54.582,67.407,71,68.911,"J",25,75.823,67.122,"O","Class2",68,71.404
55.043,59.651,40,74.523,"M",18,75.316,88.877,"B","Class2",44,79.225
44.873,57.912,54,71.71,"R",19,75.577,70.423,"O","Class2",65,84.593
22.434,64.199,56,6.771,"W",84,83.974,81.198,"Z","Class1",76,55.822
44.694,45.839,47,NA,"R",17,75.395,74.666,"O","Class2",20,68.205
54.3,81.416,42,73.874,"N",20,75.783,67.919,"B","Class2",56,59.443
45.549,70.741,38,70.793,"R",20,75.007,75.772,"O","Class2",74,73.137
45.751,74.616,59,10.302,"W",79,89.056,11.257,"Q","Class1",78,40.74
34.254,64.911,49,14.735,"X",97,85.426,46.041,"V","Class1",76,56.041
22.776,48.883,57,-0.172,"U",92,74.662,57.038,"V","Class1",77,39.619
43.331,50.901,48,69.983,"O",25,75.506,71.147,"C","Class2",80,84.164
42.451,87.457,57,69.684,"M",21,75.56,83.151,"C","Class2",87,71.089
24.2,56.732,56,9.645,"J",69,76.004,69.848,"V","Class1",77,-7.941
60.682,44.992,59,0.136,"U",90,75.42,64.224,"Z","Class1",72,57.561
32.822,46.24,54,17.208,"W",94,74.545,15.6,"G","Class1",76,22.634
62.19,63.751,54,20.385,"X",74,75.912,67.514,"A","Class1",74,42.441
33.471,71.727,56,NA,"J",88,83.907,90.871,"Q","Class1",78,15.557
42.864,46.232,54,11.483,"W",90,75.859,27.611,"V","Class1",78,39.911
47.882,59.86,38,69.515,"N",21,75.756,71.913,"O","Class2",18,67.692
28.188,55.348,52,12.396,"J",95,80.962,28.324,"G","Class1",75,33.908
40.683,60.257,66,69.657,"J",20,75.846,85.924,"G","Class2",68,72.923
50.925,87.988,43,68.01,"J",18,75.365,74.016,"B","Class2",40,83.695
37.316,43.098,58,14.489,"U",74,73.384,43.953,"V","Class1",73,25.835
54.703,71.621,57,11.808,"X",98,73.79,61.133,"A","Class1",76,25.899
62.879,51.181,53,10.891,"U",86,72.609,34.542,"Z","Class1",72,62.425
49.121,59.572,39,69.084,"M",19,75.52,82.605,"C","Class2",48,74.02
21.872,60.181,54,12.25,"J",85,80.603,27.599,"Z","Class1",73,96.606
42.148,71.726,48,14.82,"R",87,76.526,41.947,"Z","Class1",75,38.894
49.487,92.102,43,68.974,"M",21,75.449,70.417,"B","Class2",45,77.349
52.995,80.51,49,71.459,"N",22,75.998,76.832,"C","Class2",21,68.333
52.792,49.65,67,70.459,"J",22,75.41,83.724,"C","Class2",60,61.288
51.455,48.348,60,70.436,"M",22,75.217,81.298,"O","Class2",69,74.478
18.617,51.442,53,7.893,"U",69,74.337,17.181,"V","Class1",74,6.495
65.049,65.715,59,0.876,"W",76,87.773,46.475,"V","Class1",76,64.705
50.956,51.789,51,3.527,"W",78,85.151,53.569,"Z","Class1",73,32.753
53.148,85.91,54,70.899,"R",21,75.871,77.253,"C","Class2",69,73.221
55.795,71.541,67,69.068,"J",21,75.264,77.459,"C","Class2",73,88.007
45.833,70.023,54,12.243,"X",70,84.682,23.736,"Z","Class1",77,36.65
53.015,49.791,57,7.397,"J",74,84.796,77.467,"Z","Class1",78,29.085
48.962,88.788,42,71.575,"J",19,75.477,73.874,"B","Class2",81,61.138
61.252,64.671,55,71.453,"J",16,75.588,66.044,"C","Class2",41,78.852
47.608,60.57,62,74.594,"J",23,75.884,87.951,"C","Class2",23,66.415
54.789,74.17,65,75.755,"M",16,75.666,81.243,"C","Class2",49,70.839
50.854,75.63,46,68.592,"M",21,75.219,78.566,"G","Class2",82,77.461
12.937,70.371,53,10.668,"R",81,77.753,92.123,"Z","Class1",73,43.044
55.473,73.956,53,11.495,"W",89,89.766,86.188,"Z","Class1",74,36.617
44.153,71.412,57,71.514,"J",19,75.942,72.672,"O","Class2",92,67.118
50.893,55.075,55,72.826,"O",21,75.887,86.069,"C","Class2",64,70.037
34.731,73.374,51,24.814,"R",86,79.239,65.35,"G","Class1",77,37.474
54.368,58.789,55,71.583,"O",17,75.969,69.483,"G","Class2",22,61.815
34.961,57.984,58,15.999,"J",70,90.679,10.48,"Z","Class1",76,23.759
55.978,49.193,48,9.65,"U",72,78.375,53.128,"V","Class1",78,9.84
47.393,51.074,59,69.723,"N",21,75.926,87.11,"B","Class2",78,74.908
53.345,49.227,51,21.206,"X",73,90.946,35.55,"A","Class1",77,101.7
27.495,63.837,54,13.576,"R",94,80.659,92.344,"Q","Class1",72,18.724
53.125,57.384,58,74.659,"J",17,75.859,73.523,"O","Class2",29,76.754
57.911,82.552,57,69.91,"M",22,75.274,88.429,"B","Class2",51,64.236
49.129,67.912,40,71.325,"R",20,75.028,77.906,"E","Class2",56,67.126
38.166,52.586,53,14.131,"J",98,82.738,87.065,"G","Class1",75,110.536
46.405,55.894,56,18.619,"W",86,77.389,57.772,"Q","Class1",77,77.813
46.449,72.468,55,72.347,"O",20,75.65,77.748,"C","Class2",22,70.532
32.988,65.362,51,16.723,"X",86,83.571,55.175,"V","Class1",76,17.803
53.177,63.064,64,71.595,"N",24,75.686,66.798,"B","Class2",85,75.101
46.622,60.881,47,70.995,"R",17,75.412,74.135,"B","Class2",30,74.181
50.59,71.568,44,72.474,"R",21,75.605,85.027,"B","Class2",78,73.298
31.72,48.931,59,12.368,"W",91,90.313,77.625,"A","Class1",74,17.616
37.669,49.517,50,17.378,NA,84,72.754,23.168,"Z","Class1",74,88.418
53.052,51.381,64,70.605,"R",23,75.438,78.568,"C","Class2",48,72.208
50.606,77.748,38,72.334,"N",19,75.224,78.976,"E","Class2",58,72.276
43.454,63.478,45,68.022,"M",20,75.974,82.683,"O","Class2",84,75.132
21.867,49.935,56,7.125,"J",76,86.309,22.65,"A","Class1",73,42.54
27.622,54.872,52,5.642,"R",73,82.302,87.222,"A","Class1",75,76.025
48.904,77.131,60,74.558,"J",16,75.135,78.742,"C","Class2",72,61.986
51.312,89.839,65,69.71,"J",24,75.169,78.731,"B","Class2",65,68.521
50.477,61.322,55,11.119,"R",81,83.7,74.354,"G","Class1",75,55.402
38.344,59.766,51,12.776,"X",87,82.555,70.936,"G","Class1",76,69.472
50.415,53.205,44,71.943,"O",19,75.243,76.109,"B","Class2",45,73.72
54.03,83.954,60,71.318,"O",19,75.958,72.292,"B","Class2",90,63.092
47.892,62.016,52,69.505,"N",18,75.129,82.821,"C","Class2",29,63.909
35.225,45.129,48,2.248,"R",89,79.531,12.825,"V","Class1",74,65.298
56.36,54.457,59,12.683,"U",77,85.845,49.086,"G","Class1",76,36.29
51.135,53.199,49,14.877,"R",69,76.033,85.154,"G","Class1",77,114.4
45.553,53.845,56,12.417,"J",91,85.962,42.962,"V","Class1",78,50.343
27.246,72.916,59,7.27,"J",88,82.471,47.368,"A","Class1",77,19.866
46.912,62.638,54,74.059,"M",24,75.457,84.048,"O","Class2",76,79.946
53.77,45.962,55,68.795,"O",18,75.901,84.503,"B","Class2",88,70.741
55.566,71.343,44,71.12,"M",22,75.768,77.336,"E","Class2",34,68.028
40.318,44.361,53,NA,"J",74,74.056,75.965,"G","Class1",74,-5.653
48.207,45.119,67,71.102,"N",19,75.372,88.049,"E","Class2",85,64.963
67.088,46.136,52,NA,"R",81,84.545,87.271,"Q","Class1",75,49.16
50.35,77.623,42,73.748,"N",25,75.39,82.758,"B","Class2",61,80.23
54.794,46.564,59,6.199,"J",78,73.613,44.572,"V","Class1",75,37.186
54.706,74.669,51,17.021,"U",96,85.02,59.756,"A","Class1",76,74.716
52.865,83.712,42,70.242,"R",25,75.819,83.503,"G","Class2",65,70.117
36.039,57.674,48,9.749,"R",69,89.962,20.938,"G","Class1",76,55.665
51.698,92.556,62,70.229,"N",17,75.611,67.155,"C","Class2",83,66.859
37.644,65.806,56,6.049,"X",82,74.017,24.023,"G","Class1",77,22.606
54.598,56.004,51,7.056,"U",77,72.281,9.159,"V","Class1",75,36.541
52.208,66.987,54,1.201,"J",73,81.678,17.334,"G","Class1",77,45.004
39.693,64.409,43,72.164,"O",18,75.167,70.321,"G","Class2",22,67.008
21.51,52.363,51,11.641,"U",97,84.202,10.467,"G","Class1",73,36.325
51.006,72.206,48,3.223,"W",72,81.144,60.809,"Z","Class1",78,30.112
48.872,66.199,55,69.07,"M",22,75.764,70.172,"B","Class2",63,76.912
49.383,83.028,53,71.073,"M",20,75.205,87.788,"O","Class2",34,74.726
43.602,58.626,52,70.318,"O",16,75.969,72.588,"E","Class2",62,65.825
67.257,74.045,51,6.815,"J",88,80.333,91.231,"G","Class1",74,1.878
50.682,49.88,45,69.704,"N",18,75.041,76.97,"O","Class2",41,74.572
46.928,54.958,52,NA,"R",90,77.567,80.55,"Q","Class1",77,40.355
35.12,45.017,55,15.181,"W",86,80.144,39.936,"Q","Class1",78,55.902
64.394,55.417,52,4.189,"R",87,80.023,36.568,"G","Class1",78,18.476
36.878,69.658,52,15.157,NA,85,75.073,10.828,"Q","Class1",74,-10.6
49.862,44.609,51,7.2,"J",75,74.104,39.466,"V","Class1",76,33.485
50.791,49.207,39,72.077,"O",25,75.116,81.182,"G","Class2",34,64.424
42.095,61.196,57,8.584,"R",84,86.206,45.058,"Z","Class1",77,86.459
49.224,54.562,55,72.308,"R",18,75.576,67.374,"O","Class2",61,86.322
44.345,57.28,51,16.835,"U",71,81.508,29.504,"V","Class1",76,38.654
32.119,47.198,57,4.534,"R",72,79.628,82.344,"Z","Class1",73,52.386
28.735,72.122,59,16.042,"R",87,72.708,38.322,"A","Class1",73,31.64
65.093,43.342,57,20.406,"U",74,77.242,9.518,"Z","Class1",72,21.026
41.823,62.82,52,12.817,"R",78,84.105,52.967,"Z","Class1",76,35.403
56.202,57.302,46,69.276,"O",18,75.05,88.167,"O","Class2",27,74.23
35.673,66.704,53,5.023,"R",80,79.338,23.12,"Q","Class1",77,-10.614
38.991,51.235,59,14.252,"R",88,87.132,66.972,"G","Class1",74,50.574
53.003,73.364,39,71.159,"M",24,75.071,70.011,"O","Class2",71,49.809
56.201,71.366,51,1.287,"W",71,87.042,80.147,"V","Class1",77,59.223
57.29,77.713,54,71.697,"N",22,75.607,83.526,"B","Class2",43,65.292
39.383,66.581,66,71.364,"O",21,75.587,66.031,"C","Class2",84,70.033
36.489,56.758,55,11.955,"R",76,91.594,44.428,"Z","Class1",72,56.205
52.933,63.488,47,73.193,"M",25,75.279,88.044,"O","Class2",62,87.616
50.708,66.539,49,12.999,NA,91,86.201,78.203,"A","Class1",73,64.979
32.479,67.068,53,16.055,"R",95,80.555,60.64,"Q","Class1",75,37.631
49.241,50.119,59,13.274,"X",92,88.62,65.896,"Q","Class1",74,66.491
64.181,54.922,59,-1.963,"R",95,85.738,33.826,"Q","Class1",78,76.323
47.533,70.891,65,72.462,"M",17,75.933,69.515,"E","Class2",19,67.885
53.179,50.439,38,71.112,"O",23,75.229,88.001,"C","Class2",64,75.106
42.715,76.771,42,71.113,"N",18,75.936,82.554,"E","Class2",56,42.151
53.59,53.511,70,73.214,"N",24,75.871,73.016,"G","Class2",47,77.606
52.436,87.152,44,70.594,"O",18,75.459,84.83,"B","Class2",31,73.984
53.26,57.972,59,14.978,"W",93,90.226,58.607,"G","Class1",73,1.41
48.115,72.084,58,3.868,"W",77,88.546,22.892,"G","Class1",78,31.03
37.803,62.526,59,7.675,"J",70,80.013,22.921,"G","Class1",73,60.519
53.221,91.193,36,74.651,"O",21,75.97,84.573,"G","Class2",26,76.426
51.38,73.746,35,70.127,"O",18,75.679,81.869,"C","Class2",56,65.62
45.941,68.413,67,69.842,"M",16,75.926,78.957,"E","Class2",53,69.616
14.04,73.137,59,14.186,"U",95,78.39,44.845,"A","Class1",73,32.455
44.201,63.11,59,9.141,"R",70,84.297,46.583,"Q","Class1",75,30.724
52.566,56.034,53,9.447,"W",90,78.769,74.872,"Z","Class1",76,34.384
50.276,67.81,51,7.179,"J",88,81.604,70.183,"G","Class1",73,32.973
41.489,88.628,37,71.651,"J",21,75.759,75.825,"O","Class2",73,70.375
50.657,79.251,41,72.042,"R",22,75.893,87.951,"B","Class2",87,65.554
46.83,49.041,67,68.954,"M",24,75.899,79.964,"C","Class2",40,74.87
24.668,56.091,56,13.442,"J",83,91.551,59.172,"V","Class1",78,-0.09
42.083,53.212,68,68.561,NA,23,75.809,66.328,"B","Class2",43,73.234
46.429,52.22,64,73.168,"O",18,75.84,73.142,"O","Class2",82,88.296
36.744,45.481,53,8.135,"J",97,83.416,59.386,"Q","Class1",77,42.884
41.4,61.469,50,15.372,"J",94,72.228,17.276,"V","Class1",74,-5.643
48.136,43.953,54,NA,NA,97,88.429,92.302,"V","Class1",72,68.001
46.017,90.192,44,71.343,"O",24,75.832,67.785,"G","Class2",22,71.794
33.889,53.379,54,3.71,"J",95,90.578,17.659,"Z","Class1",76,33.2
49.944,52.534,46,72.419,"J",24,75.219,74.338,"E","Class2",81,85.888
73.653,58.695,48,5.389,"X",84,85.543,43.808,"G","Class1",74,77.828
31.493,73.236,53,4.575,NA,93,73.455,27.938,"Q","Class1",72,24.959
19.605,65.546,48,6.615,"U",72,87.125,12.918,"Z","Class1",74,54.826
43.968,88.932,70,70.512,"R",22,75.742,79.06,"C","Class2",84,69.952
19.55,70.567,53,11.556,"U",89,74.823,58.409,"Q","Class1",77,52.266
26.504,63.617,50,5.293,"X",82,79.666,73.937,"A","Class1",72,31.379
49.756,91.635,49,70.115,"O",16,75.803,71.421,"E","Class2",49,71.195
42.511,90.787,41,69.038,"M",21,75.838,79.864,"C","Class2",24,83.056
44.76,55.502,50,2.422,"J",70,87.58,15.067,"Q","Class1",74,52.724
25.052,45.949,53,-0.011,"J",91,74.553,40.467,"Q","Class1",72,-19.059
58.19,68.127,57,71.359,"R",21,75.07,78.947,"C","Class2",19,69.08
41.302,65.379,48,68.875,"N",20,75.684,66.823,"C","Class2",43,84.393
49.249,68.185,54,73.031,"N",25,75.711,77.482,"O","Class2",47,91.41
53.83,44.349,66,72.46,"M",17,75.437,83.977,"G","Class2",88,56.264
60.85,46.418,52,NA,"W",95,78.316,56.492,"V","Class1",75,45.872
11.038,53.897,58,7.807,NA,84,79.97,64.262,"Z","Class1",72,21.117
48.579,81.398,49,72.834,"M",20,75.442,75.914,"E","Class2",84,79.194
50.315,57.746,69,73.996,"N",19,75.034,82.674,"O","Class2",42,68.458
52.109,57.839,35,71.004,"R",18,75.509,81.346,"B","Class2",76,76.615
31.254,71.405,51,5.267,"R",97,75.299,18.942,"Q","Class1",78,61.731
46.482,46.865,40,69.118,"J",18,75.161,86.58,"O","Class2",44,74.89
44.737,63.124,55,6.138,"R",88,84.417,65.038,"Z","Class1",77,41.826
55.763,57.644,58,10.63,"U",86,90.309,8.716,"G","Class1",77,27.264
38.807,51.942,56,9.804,NA,97,89.603,84.947,"V","Class1",73,2.057
62.892,53.116,54,7.462,"X",83,86.878,79.022,"Z","Class1",76,22.814
33.53,65.447,55,10.478,"R",96,75.917,17.839,"Z","Class1",77,46.811
49.141,75.614,50,70.312,"N",22,75.312,84.945,"B","Class2",85,65.273
59.861,75.734,66,67.88,"O",18,75.835,77.73,"C","Class2",77,68.382
37.218,51.215,58,4.901,"U",90,81.613,48.366,"Z","Class1",75,46.274
9.396,57.911,54,NA,"X",94,86.325,73.415,"Q","Class1",77,5.643
49.356,57.303,50,6.821,"U",81,83.879,82.645,"Q","Class1",73,74.996
28.419,49.884,48,17.118,"W",97,91.633,62.856,"G","Class1",76,40.611
47.422,59.113,69,74.454,"N",20,75.921,76.177,"C","Class2",28,59.68
48.921,53.688,60,70.499,"M",23,75.632,88,"E","Class2",79,67.887
48.327,51.958,60,74.16,"O",16,75.236,71.745,"G","Class2",34,81.381
47.73,66.828,59,2.716,NA,91,75.633,9.215,"A","Class1",72,36.906
18.327,74.165,55,5.036,"X",96,88.569,89.078,"G","Class1",78,38.04
24.036,73.621,52,17.736,"R",84,86.36,52.484,"V","Class1",77,42.139
50.107,63.986,46,68.298,"O",23,75.826,74.869,"C","Class2",74,68.392
47.881,60.538,57,70.621,"R",23,75.322,74.192,"C","Class2",43,73.03
36.039,64.797,53,3.605,"J",77,73.527,21.106,"Z","Class1",73,75.21
41.553,88.64,69,71.007,"M",19,75.873,84.267,"G","Class2",47,85.56
51.018,80.943,57,NA,"N",24,75.176,72.557,"E","Class2",30,67.075
46.927,55.471,50,8.327,"W",98,72.758,71.845,"Z","Class1",75,46.758
27.46,44.271,59,5.484,"W",73,88.564,23.112,"Q","Class1",75,80.887
49.28,66.438,51,NA,"J",77,88.401,44.827,"Z","Class1",77,3.377
53.407,78.267,53,71.527,"N",22,75.424,86.001,"E","Class2",19,73.175
53.226,66.938,37,71.811,"O",25,75.425,80.118,"B","Class2",84,82.442
8.681,65.053,59,10.333,"U",96,88.557,49.322,"Z","Class1",75,48.317
42.845,62.544,54,9.268,"U",79,73.742,61.8,"A","Class1",78,82.899
28.706,45.471,57,NA,"J",82,84.397,34.677,"A","Class1",77,74.519
51.525,60.53,60,71.891,"J",21,75.054,79.008,"O","Class2",23,75.216
19.805,56.585,56,-1.809,"J",71,76.607,53.795,"A","Class1",75,58.188
43.803,49.127,36,72.292,"J",22,75.702,66.376,"B","Class2",90,60.474
46.294,46.114,61,70.628,"O",21,75.877,80.288,"E","Class2",40,74.681
23.052,71.541,48,21.123,"W",85,78.602,26.737,"V","Class1",73,-32.42
64.985,53.777,49,11.665,"J",81,77.017,52.267,"A","Class1",78,38.109
60.145,56.528,41,70.381,"O",17,75.753,78.729,"G","Class2",93,58.251
40.416,71.125,70,70.587,"N",24,75.753,76.237,"O","Class2",42,50.156
47.23,61.021,70,69.414,"M",22,75.152,73.215,"E","Class2",58,83.644
47.529,64.828,53,4.277,"R",78,76.781,92.798,"A","Class1",72,66.891
44.92,49.815,52,70.783,"M",18,75.328,85.789,"E","Class2",23,77.205
47.707,49.453,59,68.386,"N",18,75.562,77.168,"C","Class2",68,91.053
26.965,64.18,54,17.958,"R",71,79.018,34.391,"Z","Class1",74,39.047
49.147,82.044,38,67.486,"J",20,75.228,75.991,"B","Class2",41,56.85
48.348,45.857,49,72.789,"M",19,75.827,69.639,"O","Class2",73,71.605
38.909,51.12,49,13.109,"X",95,75.61,52.072,"Q","Class1",77,41.821
51.656,60.745,54,70.546,"M",25,75.238,86.852,"C","Class2",60,85.452
40.975,58.428,49,12.423,"R",76,82.621,24.195,"Q","Class1",77,83.271
46.646,43.826,55,16.581,NA,75,80.4,28.684,"Q","Class1",72,31.094
58.868,81.587,56,71.402,"M",23,75.525,84.697,"G","Class2",19,72.213
52.901,48.012,56,17.858,"R",82,72.896,43.754,"G","Class1",75,41.107
54.537,66.61,50,23.882,"R",88,88.71,48.381,"Q","Class1",77,20.592
45.662,62.367,43,68.169,"R",23,75.235,75.074,"E","Class2",53,71.004
55.526,74.405,43,69.997,"O",23,75.244,84.608,"G","Class2",36,81.785
65.382,72.496,50,14.576,"U",97,84.972,19.181,"A","Class1",78,54.272
46.793,87.923,63,71.784,"M",25,75.34,67.212,"B","Class2",63,75.102
49.074,86.569,60,NA,"J",19,75.986,79.792,"O","Class2",48,63.898
49.761,44.951,60,69.314,"N",17,75.715,70.702,"C","Class2",31,81.013
43.542,59.196,55,24.068,"W",69,77.795,75.725,"A","Class1",72,79.08
49.565,90.045,63,75.934,"O",21,75.207,78.923,"G","Class2",88,71.518
28.217,64.243,51,10.72,"J",87,75.214,11.517,"Q","Class1",72,-9.955
50.279,60.301,52,12.094,"X",91,80.809,16.207,"Z","Class1",72,42.905
32.252,68.734,57,-1.475,"U",80,79.053,62.892,"Z","Class1",76,26.749
30.651,56.977,58,13.936,"X",92,75.68,14.247,"Q","Class1",77,75.497
54.417,64.039,58,6.163,"X",98,75.252,49.744,"A","Class1",74,46.059
45.446,92.465,42,69.347,"N",21,75.677,89.078,"B","Class2",23,62.331
49.988,59.748,45,73.352,"O",20,75.114,74.237,"G","Class2",38,54.315
37.388,47.196,55,14.982,"R",83,89.966,27.772,"Z","Class1",74,59.479
65.286,62.617,48,4.724,"U",70,82.877,13.825,"Z","Class1",74,67.642
42.149,50.264,44,70.148,"J",22,75.711,80.834,"E","Class2",49,71.285
19.41,47.484,54,13.256,"W",79,74.64,67.869,"G","Class1",77,72.942
55.049,72.319,56,23.198,"R",85,89.517,36.337,"Q","Class1",75,44.249
39.881,93.949,36,71.29,"J",20,75.118,86.033,"E","Class2",44,80.113
48.652,83.667,64,69.353,"R",22,76,82.611,"B","Class2",43,73.806
61.552,72.832,54,20.838,"U",71,87.812,76.006,"Z","Class1",77,16.802
43.782,71.066,71,72.892,"J",21,75.32,87.961,"B","Class2",30,64.688
49.283,82.872,56,71.556,"N",16,75.845,72.874,"O","Class2",53,65.11
50.541,85.842,55,71.122,"R",16,75.843,73.832,"O","Class2",66,77.796
69.33,69.131,54,15.129,"U",98,75.198,29.82,"G","Class1",75,9.571
26.351,46.903,51,-0.124,"J",84,78.098,30.638,"G","Class1",72,0.846
50.978,47.427,54,10.354,"J",73,86.379,55.747,"Z","Class1",74,79.016
57.833,45.779,59,11.438,"R",86,75.311,31.979,"G","Class1",72,36.879
43.172,68.856,49,21.374,"W",72,84.6,40.498,"Q","Class1",72,50.651
42.992,56.166,38,72.594,"O",25,75.631,69.241,"O","Class2",69,77.087
41.219,67.437,55,9.596,"R",93,84.431,64.546,"G","Class1",72,90.569
53.408,60.057,37,71.823,"N",20,75.576,86.318,"E","Class2",84,65.358
56.544,63.492,39,70.779,"N",16,75.544,85.83,"B","Class2",87,64.889
53.794,54.898,57,NA,"R",25,75.932,71.738,"B","Class2",49,89.599
46.383,45.881,53,70.666,"O",19,75.231,77.596,"O","Class2",51,75.874
41.61,91.804,63,72.835,"N",21,75.072,68.552,"E","Class2",91,65.894
58.418,79.63,46,70.95,"M",25,75.566,81.698,"E","Class2",29,67.586
59.802,71.088,59,4.31,"J",81,80.496,47.942,"V","Class1",73,6.287
30.751,63.407,49,9.405,"U",85,83.481,30.777,"Q","Class1",73,37.69
58.746,72.478,59,15.37,"W",87,89.595,38.285,"Z","Class1",73,53.149
36.709,62.192,50,5.453,"R",91,83.006,34.764,"A","Class1",76,62.665
37.012,63.515,53,7.82,"U",88,75.831,33.006,"G","Class1",77,57.242
44.218,69.535,55,16.343,"W",74,89.549,12.275,"V","Class1",73,24.518
53.741,50.057,56,72.824,"O",16,75.612,88.631,"C","Class2",56,72.441
45.746,47.427,39,72.438,"R",16,75.476,79.792,"C","Class2",58,46.592
49.122,82.161,51,69.211,"O",18,75.37,80.097,"E","Class2",74,73.042
34.959,46.165,58,2.689,"R",77,80.702,52.687,"Z","Class1",73,43.47
55.059,86.806,63,70.537,"O",16,75.491,88.553,"O","Class2",59,74.952
35.36,78.916,62,72.868,"J",19,75.111,70.691,"B","Class2",22,67.559
1.394,63.472,53,21.352,"W",96,87.93,24.573,"A","Class1",74,16.174
73.138,66.498,51,12.812,"U",82,73.753,20.699,"G","Class1",77,42.465
69.689,64.27,57,10.56,"W",71,80.295,31.599,"V","Class1",78,71.502
51.732,48.111,58,70.232,"R",17,75.446,80.232,"B","Class2",62,69.344
23.507,55.286,56,14.648,"U",97,89.522,70.632,"V","Class1",74,60.757
4.469,63.285,59,NA,"X",86,74.378,51.881,"A","Class1",75,41.295
17.506,46.999,51,17.304,"X",88,79.531,69.625,"Z","Class1",72,56.029
53.654,66.573,50,NA,"U",72,86.278,34.172,"Q","Class1",74,50.92
42.977,44.117,51,6.833,"W",77,87.729,62.521,"Q","Class1",73,33.371
47.686,59.985,45,70.241,"O",22,75.399,89.911,"G","Class2",49,71.229
33.523,61.184,55,18.054,"J",91,89.158,30.593,"G","Class1",78,65.577
51.534,82.188,60,75.89,"M",21,75.751,75.02,"G","Class2",58,66.148
54.565,82.518,56,72.202,"R",16,75.475,67.044,"C","Class2",40,61.833
44.973,54.366,51,70.556,"R",24,75.417,76.581,"B","Class2",53,73.459
47.376,76.299,47,71.824,"M",16,75.36,89.517,"G","Class2",29,60.306
51.734,90.942,56,73.169,"J",20,75.058,80.25,"C","Class2",85,74.578
20.228,62.533,59,4.066,"W",82,74.361,10.795,"A","Class1",75,24.79
42.756,49.213,47,NA,"J",20,75.274,71.341,"O","Class2",72,62.511
45.118,62.92,56,70.414,"R",17,75.992,66.111,"O","Class2",59,71.182
64.93,45.605,58,6.954,NA,75,80.493,81.586,"Q","Class1",73,31.292
50.514,45.146,68,67.57,"R",16,75.009,73.511,"C","Class2",73,85.032
54.884,43.486,52,14.109,"U",92,81.172,29.571,"Q","Class1",75,52.919
36.652,59.382,53,7.207,"U",70,88.772,79.064,"A","Class1",72,39.787
45.207,90.732,50,72.261,"J",23,75.936,76.9,"G","Class2",88,64.672
47.493,65.101,57,8.648,"J",69,86.496,22.806,"A","Class1",78,53.206
43.819,66.195,53,70.766,"M",25,75.461,78.302,"B","Class2",24,62.714
7.063,60.378,52,6.421,"X",73,76.535,43.799,"G","Class1",73,56.213
39.224,66.422,54,7.358,"W",73,81.835,84.942,"Q","Class1",76,9.518
51.921,90.643,40,67.627,"O",16,75.26,83.694,"B","Class2",22,73.551
50.83,92.602,35,72.021,"J",16,75.832,71.124,"B","Class2",54,85.589
39.142,43.599,53,12.858,"R",71,72.06,39.58,"Q","Class1",73,30.36
37.609,46,51,16,NA,82,90.117,45.163,"V","Class1",73,68.931
46.654,71.98,50,7.543,"W",94,81.948,36.371,"G","Class1",75,27.737
53.071,71.706,55,12.498,"X",83,88.528,84.632,"Z","Class1",78,28.831
53.109,77.453,62,69.919,"J",16,75.45,82.717,"E","Class2",33,68.987
49.77,69.659,35,69.14,"R",18,75.245,81.057,"E","Class2",63,89.898
51.389,64.451,58,72.271,NA,18,75.901,73.809,"B","Class2",28,78.29
41.335,62.143,53,16.792,"U",73,74.39,50.696,"Q","Class1",73,60.154
45.1,88.398,37,71.161,"J",18,75.607,89.632,"E","Class2",90,68.511
51.28,85.741,68,70.541,"O",17,75.152,86.766,"B","Class2",41,63.782
31.756,43.324,56,8.152,"J",78,75.631,73.248,"A","Class1",77,44.991
52.845,57.05,69,71.544,"R",21,75.152,78.269,"O","Class2",43,59.541
45.072,64.088,50,17.406,"R",82,79.42,10.584,"Q","Class1",76,20.681
30.082,66.119,51,12.221,"J",89,91.495,8.939,"A","Class1",78,49.289
54.846,77.732,68,69.688,"J",19,75.834,67.903,"G","Class2",17,68.757
40.112,57.649,55,73.078,"O",19,75.067,69.939,"O","Class2",22,65.519
43.666,70.728,47,74.133,"J",24,75.439,84.127,"C","Class2",68,65.835
19.457,74.083,52,12.834,"R",82,72.337,15.205,"V","Class1",72,24.649
39.828,74.598,48,12.736,"X",87,74.51,92.483,"V","Class1",73,87.026
50.38,63.075,44,69.341,"R",22,75.035,87.99,"G","Class2",84,73.252
43.757,85.942,35,70.846,"O",19,75.275,69.071,"E","Class2",89,66.064
29.096,73.9,58,0.2,"J",76,84.282,35.968,"A","Class1",77,75.334
64.599,57.448,53,5.539,"W",76,74.255,54.556,"G","Class1",78,46.704
40.193,43.096,52,4.357,"X",91,75.977,63.612,"G","Class1",72,38.95
50.453,90.088,49,70.982,"N",23,75.306,66.326,"O","Class2",43,72.409
50.103,67.096,55,70.343,"M",25,75.34,83.318,"E","Class2",51,79.633
42.648,71.301,59,7.216,"X",74,84.581,33.922,"A","Class1",78,31.133
36.582,72.784,54,9.846,"W",86,75.997,42.888,"Q","Class1",76,82.828
17.13,58.26,56,15.675,"X",74,84.698,48.21,"Q","Class1",78,80.216
47.445,62.236,61,73.518,"J",25,75.621,73.031,"B","Class2",51,57.343
39.226,71.901,59,12.855,"U",97,86.529,82.175,"A","Class1",72,68.592
46.038,57.331,46,68.901,"J",19,75.413,80.857,"G","Class2",71,90.736
22.824,63.78,50,10.305,"J",87,86.211,89.605,"Z","Class1",75,9.445
