"J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","Output9"
89.15,78.341,61,"O","S",35,16.394,70.523,7,88.521,62.99,"Class4"
90.37,47.741,16,"I","H",38,85.266,51.032,44,102.147,81.789,"Class2"
65.551,46.389,11,"C","H",51,75.999,85.061,55,91.758,37.159,"Class2"
50.323,57.371,53,"M","T",42,33.645,41.379,47,54.01,45.077,"Class1"
19.835,32.063,4,"A","R",NA,50.536,43.549,47,33.68,46.388,"Class3"
47.172,35.015,36,"M","X",NA,35.873,43.91,63,51.587,44.108,"Class1"
46.293,56.807,23,"T","I",86,74.939,49.717,87,76.429,49.242,"Class5"
46.783,72.168,20,"T","G",77,72.585,48.955,41,80.466,67.504,"Class5"
46.741,73.861,30,"C","H",81,78.076,49.826,74,79.684,51.579,"Class5"
64.895,46.579,63,"T","X",50,48.052,43.132,54,51.003,46.805,"Class1"
31.84,42.479,66,"G","F",47,45.642,41.071,52,48.433,44.643,"Class1"
25.124,48.544,55,"F","K",69,47.442,93.692,55,45.508,38.483,"Class3"
82.922,78.898,74,"X","I",38,18.834,72.192,7,88.369,41.731,"Class4"
46.492,74.954,29,"V","H",78,77.028,48.712,47,83.914,56.017,"Class5"
16.04,32.751,23,"Z","K",62,48.006,94.236,53,35.55,42.913,"Class3"
46.253,65.556,14,NA,"G",85,74.223,49.987,91,81.376,47.179,"Class5"
74.429,61.329,57,"Q","X",37,78.071,44.893,58,56.317,47.029,"Class1"
62.903,58.478,10,"F","X",52,86.759,85.754,54,79.68,87.254,"Class2"
82.948,78.936,39,"B","S",40,12.986,70.425,6,93.431,51.854,"Class4"
79.15,71.475,16,"Y","H",93,83.895,65.765,44,84.022,23.371,"Class2"
41.667,43.517,52,"G","T",39,78.763,41.164,49,32.568,46.873,"Class1"
19.171,48.552,14,"F","K",81,48.605,74.562,54,26.305,34.587,"Class3"
70.35,44.499,15,NA,"H",61,83.217,84.588,52,83.883,73.678,"Class2"
81.554,25.415,51,"T","T",47,61.169,43.524,52,55.705,48.392,"Class1"
25.251,41.442,55,"D","Y",60,48.288,48.012,55,35.381,40.02,"Class3"
76.178,76.951,72,"B","I",41,12.686,55.278,6,88.126,52.338,"Class4"
22.759,38.565,62,"A","R",70,48.114,44.513,58,7.481,54.317,"Class3"
69.529,70.561,8,"I","N",30,83.54,86.656,66,88.986,25.11,"Class2"
46.753,48.995,14,"T","G",85,78.166,48.927,29,83.221,59.493,"Class5"
65.175,77.061,17,NA,"J",35,14.528,72.81,8,87.844,55.288,"Class4"
19.716,35.532,54,"A","C",89,47.14,48.603,64,47.113,16.912,"Class3"
73.599,54.027,12,"O","N",94,85.953,83.351,53,87.889,73.157,"Class2"
79.801,74.295,10,"C","X",74,77.903,70.914,46,80.924,89.818,"Class2"
52.418,36.219,57,NA,"Y",44,81.116,44.649,47,57.394,48.446,"Class1"
67.433,78.987,55,"O","S",38,14.41,59.763,7,91.275,59.114,"Class4"
17.909,44.542,61,"F","Y",83,47.995,48.955,19,18.348,14.49,"Class3"
29.691,48.719,44,"K","T",28,64.714,42.315,54,61.552,47.27,"Class1"
11.432,45.252,40,"D","K",94,50.391,56.032,46,20.201,57.949,"Class3"
89.267,65.273,10,"O","A",75,86.629,52.517,71,83.515,61.496,"Class2"
46.66,52.001,27,"C","H",85,73.228,49.193,76,83.065,44.576,"Class5"
46.229,56.259,13,NA,"H",78,76.439,48.243,58,83.33,68.711,"Class5"
42.43,7.223,59,"M","Y",38,103.329,44.987,58,59.741,47.927,"Class1"
21.084,32.45,34,"Z","C",64,51.477,90.812,59,34.602,30.162,"Class3"
60.234,25.99,28,"Q","P",38,46.65,44.591,63,39.319,48.695,"Class1"
46.205,56.269,13,"C","G",77,79.432,49.921,79,89.143,72.649,"Class5"
30.475,10.074,39,"Q","T",45,81.302,42.35,58,41.613,42.258,"Class1"
83.527,78.062,64,"S","G",40,17.056,55.139,9,89.964,43.838,"Class4"
72.239,57.244,16,"F","J",66,78.779,61.493,47,82.676,22.353,"Class2"
52,30.953,44,"M","T",42,53.989,42.191,59,57.571,42.807,"Class1"
16.955,33.8,54,"A","J",60,51.769,40.096,58,7.027,54.912,"Class3"
17.913,35.432,0,"D","C",56,50.494,74.395,63,35.567,59.6,"Class3"
23.73,42.237,51,"A","R",NA,50.552,68.244,16,26.569,31.656,"Class3"
84.752,74.514,29,"B","J",44,13.016,66.727,8,89.282,35.914,"Class4"
54.799,74.984,35,"O","J",39,11.959,58.478,9,94.115,61.653,"Class4"
14.739,31.582,43,"U","R",80,56.425,80.433,32,35.249,6.899,"Class3"
85.579,70.433,15,"O","A",86,79.31,64.674,54,90.248,82.852,"Class2"
14.757,43.487,25,"D","R",85,51.643,91.161,20,43.328,53.752,"Class3"
71.166,79.639,43,"O","S",39,14.953,51.294,6,93.18,56.322,"Class4"
41.253,59.047,37,"T","X",36,62.049,42.8,53,45.119,46.911,"Class1"
37.841,51.464,29,"G","Y",50,54.528,44.454,62,47.472,44.598,"Class1"
19.886,36.346,3,"D","R",87,46.644,92.259,11,31.429,4.63,"Class3"
46.564,70.414,14,"C","C",85,76.849,48.629,36,82.122,68.879,"Class5"
79.352,78.915,51,"O","S",32,11.746,58.333,9,90.829,32.178,"Class4"
61.4,64.08,15,"O","H",61,84.238,53.804,68,75.656,67.201,"Class2"
46.358,72.229,29,"V","I",84,76.337,49.658,43,86.345,51.636,"Class5"
46.534,68.833,17,"C","I",80,72.765,49.087,38,85.185,72.394,"Class5"
60.095,57.55,11,"C","J",32,86.59,73.576,56,88.218,86.628,"Class2"
42.183,39.196,50,"T","F",36,57.546,42.037,62,57.579,46.575,"Class1"
66.374,70.328,7,"F","X",58,84.639,67.412,45,98.295,14.601,"Class2"
16.923,42.592,51,"F","K",97,49.033,47.732,15,29.709,3.016,"Class3"
37.832,9.779,40,"Q","Y",24,41.127,41.544,62,64.883,45.206,"Class1"
62.035,59.833,14,"I","N",NA,78.381,77.728,70,89.506,63.126,"Class2"
56.297,25.037,62,"M","T",32,45.457,42.684,50,41.047,44.525,"Class1"
46.43,73.525,20,"C","G",79,77.427,49.69,35,79.338,59.779,"Class5"
16.904,46.978,23,"Z","C",82,53.047,60.288,58,23.858,44.188,"Class3"
61.655,58.345,14,"F","X",44,83.938,68.36,47,77.096,74.893,"Class2"
32.699,9.555,48,"G","X",23,44.462,41.467,47,38.119,47.542,"Class1"
46.634,51.127,31,"Q","G",78,75.045,48.524,41,69.319,66.05,"Class5"
68.806,53.933,14,NA,"X",76,79.6,77.407,67,85.485,25.515,"Class2"
82.691,54.171,10,"F","J",89,80.03,73.597,46,85.414,36.422,"Class2"
71.789,63.426,9,"Y","H",97,78.372,49.636,57,83.634,21.772,"Class2"
46.681,58.614,30,"B","C",77,74.436,49.585,68,86.943,64.675,"Class5"
70.884,57.964,9,"O","N",61,85.545,66.481,63,77.769,63.273,"Class2"
83.092,77.918,65,"G","S",40,18.44,56.611,9,90.981,58.907,"Class4"
71.188,77.016,38,"B","J",37,15.106,60.215,8,88.015,54.228,"Class4"
81.525,74.877,37,"S","X",44,18.861,54.203,6,93.335,67.429,"Class4"
39.156,6.843,44,"M","F",32,72.407,41.551,57,42.267,44,"Class1"
72.337,75.147,68,"O","G",40,16.329,70.624,7,90.753,62.245,"Class4"
64.007,49.291,13,"F","H",NA,83.77,81.38,57,91.139,43.829,"Class2"
50.843,15.207,54,"K","Y",45,49.337,41.038,46,63.201,48.264,"Class1"
49.557,41.675,26,"T","X",41,64.885,41.361,49,64.017,47.77,"Class1"
87.153,49.939,12,"I","X",85,84.46,58.808,61,80.409,43.39,"Class2"
60.624,79.157,56,"S","I",38,17.438,67.267,8,88.205,45.625,"Class4"
18.39,31.625,58,"Z","K",75,51.478,68.7,51,28.555,22.112,"Class3"
22.789,40.366,44,"Z","R",NA,53.733,86.207,24,31.329,20.155,"Class3"
46.562,64.243,24,"B","X",86,74.917,49.25,33,88.937,59.479,"Class5"
64.623,47.304,7,"C","H",59,82.639,76.454,61,69.141,70.955,"Class2"
68.932,75.298,66,"S","I",44,14.169,68.519,6,92.529,25.527,"Class4"
46.583,69.365,26,"C","C",84,74.732,49.568,77,85.459,51.986,"Class5"
46.779,70.444,20,"B","H",77,76.804,48.273,31,79.259,61.86,"Class5"
66.029,75.374,34,"G","G",39,13.255,54.136,9,93.013,28.57,"Class4"
56.632,53.507,16,"O","N",48,84.266,62.274,63,91.806,7.143,"Class2"
21.305,30.92,12,"F","R",93,50.429,70.609,24,36.31,14.114,"Class3"
53.922,12.654,62,"G","P",48,63.342,41.628,54,44.964,42.206,"Class1"
75.389,75.536,32,"X","J",38,18.3,52.89,9,89.882,66.415,"Class4"
13.81,43.16,38,"U","R",66,49.916,65.169,53,39.251,37.982,"Class3"
80.674,79.822,71,"O","X",32,11.901,68.613,10,89.871,48.515,"Class4"
35.466,44.173,66,"Q","P",35,68.783,44.469,53,49.463,42.223,"Class1"
86.068,74.32,73,"G","X",41,13.049,60.156,10,92.463,33.712,"Class4"
51.145,5.16,39,"M","F",29,57.597,42.586,58,56.4,43.321,"Class1"
68.462,55.531,8,"O","X",52,84.413,51.921,50,83.107,59.178,"Class2"
69.497,74.37,17,"S","J",40,13.587,67.92,8,93.139,66.12,"Class4"
61.078,77.737,61,"B","X",34,13.046,56.255,10,90.044,39.813,"Class4"
45.393,14.826,54,"Q","F",22,29.282,44.129,62,42.529,45.922,"Class1"
63.907,66.048,15,"O","N",60,84.926,76.616,52,94.295,35.42,"Class2"
70.09,63.908,15,"C","H",47,77.723,56.742,46,63.005,18.854,"Class2"
14.054,41.978,5,"F","J",59,46.75,45.928,46,38.197,37.949,"Class3"
46.104,55.26,23,"V","G",86,74.748,48.847,80,85.202,53.094,"Class5"
46.605,46.538,20,"C","X",81,72.851,48.297,66,78.147,70.892,"Class5"
78.096,55.09,11,"C","N",80,84.257,70.401,46,84.081,88.469,"Class2"
18.654,49.157,22,"A","Y",77,52.85,86.291,59,38.233,4.435,"Class3"
46.45,66.721,24,"C","G",83,73.016,49.389,48,75.774,68.718,"Class5"
21.497,43.211,64,"F","Y",88,53.377,77.052,55,36.752,26.896,"Class3"
64.205,54.951,10,"Y","A",30,81.627,77.075,55,88.811,59.091,"Class2"
50.22,30.035,44,"M","T",51,87.876,43.932,55,33.423,42.587,"Class1"
47.123,60.839,14,"Q","I",82,75.838,48.624,88,81.247,72.61,"Class5"
68.33,48.913,8,"F","A",47,78.436,67.348,71,61.893,77.994,"Class2"
72.045,76.124,72,"G","X",35,15.853,59.942,7,89.772,27.817,"Class4"
22.876,32.665,3,"Z","R",67,51.005,79.918,12,33.467,14.577,"Class3"
58.557,54.121,42,"K","F",38,83.712,42.812,59,58.294,45.686,"Class1"
56.503,55.5,46,"Q","Y",43,52.821,44.362,59,43.832,47.14,"Class1"
80.39,75.682,19,"O","I",40,12.003,57.361,6,94.331,51.735,"Class4"
24.574,35.121,38,"U","J",NA,52.854,91.276,43,25.091,39.726,"Class3"
45.759,55.632,26,"Q","H",84,75.94,48.87,84,75.626,44.571,"Class5"
46.636,71.029,21,"T","I",84,73.479,49.8,37,78.066,50.944,"Class5"
16.332,34.575,32,"U","Y",58,54.283,57.526,63,18.382,18.196,"Class3"
66.729,73.755,9,"O","J",61,77.102,61.282,43,83.266,21.189,"Class2"
72.498,76.113,54,"S","S",35,13.533,53.202,8,86.558,52.258,"Class4"
46.061,65.59,22,"T","X",83,78.132,49.69,20,84.774,59.658,"Class5"
30.009,30.231,50,"A","C",60,51.791,68.706,46,24.118,29.978,"Class3"
77.431,50.721,14,"Y","H",80,79.56,67.007,46,76.99,76.798,"Class2"
46.175,66.465,28,"B","G",84,71.594,48.774,53,82.284,72.839,"Class5"
15.058,30.695,51,"A","R",91,49.437,40.057,37,7.899,31.251,"Class3"
75.744,76.514,63,"X","X",42,15.528,60.619,9,92.688,34.814,"Class4"
75.931,78.373,58,"X","S",40,13.165,53.982,6,96.743,51.517,"Class4"
92.686,78.849,54,"G","I",39,11.831,69.485,6,88.489,28.095,"Class4"
10.937,38.72,57,"Z","C",69,50.925,43.373,62,18.232,26.524,"Class3"
73.001,76.169,53,"B","S",40,12.706,69.967,10,89.106,49.227,"Class4"
89.723,62.628,12,"F","J",50,76.908,54.227,71,82.976,62.128,"Class2"
17.249,44.752,62,"A","K",82,50.351,59.059,12,10.691,51.652,"Class3"
46.385,55.365,16,"T","C",79,77.952,49.868,62,77.992,46.948,"Class5"
21.163,49.988,54,"D","K",70,54.413,93.876,37,29.949,23.168,"Class3"
49.876,62.096,34,"M","F",49,38.442,44.632,62,46.2,45.698,"Class1"
56.155,36.907,35,"T","F",25,77.765,44.325,61,68.028,46.315,"Class1"
71.072,74.199,17,"G","S",40,15.31,62.321,8,86.776,40.479,"Class4"
46.337,63.46,29,"V","H",85,73.015,48.023,80,87.557,53.004,"Class5"
46.342,62.309,13,NA,"G",85,76.735,48.104,66,81.467,62.859,"Class5"
46.278,68.74,27,"C","H",85,75.547,49.13,29,78.448,49.629,"Class5"
46.581,59,26,"B","G",77,71.82,49.609,71,77.505,63.382,"Class5"
46.18,67.795,29,"Q","G",84,71.825,48.88,49,78.638,64.255,"Class5"
18.996,33.894,50,"A","R",60,49.231,64.337,61,14.681,12.351,"Class3"
14.293,32.895,21,"Z","R",72,52.002,78.022,27,37.615,43.475,"Class3"
71.791,74.476,47,"O","G",NA,12.359,64.697,6,90.108,50.061,"Class4"
62.356,51.162,14,"F","A",85,87.517,68.084,57,81.613,85.695,"Class2"
77.018,75.812,72,"B","J",37,15.808,55.452,6,88.268,24.555,"Class4"
70.741,77.376,51,"G","J",32,14.475,57.872,6,95.787,57.243,"Class4"
16.556,49.413,49,"Z","R",88,52.927,83.545,49,1.35,46.077,"Class3"
17.468,35.532,54,"F","R",NA,50.189,89.8,49,35.678,31.905,"Class3"
47.059,64.731,23,"V","C",77,74.656,49.886,77,85.768,44.563,"Class5"
86.084,49.084,12,"F","A",69,81.762,84.531,65,91.502,32.915,"Class2"
61.325,48.26,15,"C","J",NA,82.164,72.624,59,79.446,44.871,"Class2"
71.12,75.224,33,"S","X",40,10.424,63.437,10,90.927,50.528,"Class4"
41.582,26.356,58,"Q","P",37,61.175,41.855,58,44.998,43.688,"Class1"
58.85,59.776,13,"O","H",65,78.364,50.332,62,66.725,23.667,"Class2"
71.863,68.926,12,"O","A",57,82.721,84.804,59,84.802,49.698,"Class2"
64.299,53.447,15,"I","J",31,83.852,64.378,44,82.792,60.815,"Class2"
72.338,47.258,8,"Y","A",64,81.277,79.578,69,86.922,66.352,"Class2"
46.453,64.966,19,"Q","I",81,76.708,48.872,60,81.884,45.428,"Class5"
40.911,6.206,51,"K","F",45,60.984,44.729,57,54.779,48.813,"Class1"
46.688,60.642,17,"Q","H",79,71.354,49.644,25,81.254,64.237,"Class5"
77.8,50.824,7,"F","A",94,83.849,83.603,43,74.115,80.801,"Class2"
46.086,49.951,27,"V","C",84,67.391,48.017,92,80.717,49.924,"Class5"
46.41,45.505,43,"Q","X",30,47.243,42.843,53,56.706,48.118,"Class1"
57.04,76.533,30,"O","J",35,14.362,52.426,7,89.371,31.086,"Class4"
73.44,67.955,9,"Y","A",38,83.076,57.129,56,99.777,25.734,"Class2"
57.539,57.871,13,"I","J",55,81.409,51.437,66,90.821,45.626,"Class2"
18.128,33.482,46,"Z","Y",62,48.233,68.344,68,37.711,13.523,"Class3"
65.989,58.194,15,"Y","N",86,76.87,53.102,60,88.074,4.64,"Class2"
17.148,43.807,10,"U","Y",67,51.199,86.819,55,37.247,60.597,"Class3"
64.513,55.869,28,"M","P",22,57.491,44.883,53,50.35,45.793,"Class1"
58.069,64.019,7,"Y","X",89,80.962,55.027,45,79.66,20.523,"Class2"
69.373,44.175,7,"C","A",44,84.258,73.803,42,75.172,38.096,"Class2"
81.086,56.38,9,"C","A",32,79.538,84.131,58,89.984,40.726,"Class2"
46.64,62.676,24,"Q","C",79,74.532,48.093,68,81.006,53.347,"Class5"
79.296,78.105,30,"X","I",32,18.26,70.979,6,87.572,28.082,"Class4"
22.424,25.435,27,"Q","T",41,48.073,44.566,52,50.736,47.864,"Class1"
84.318,49.773,12,"I","N",97,81.706,59.992,55,79.578,24.694,"Class2"
36.526,11.383,34,"T","P",46,76.656,44.305,51,53.954,45.153,"Class1"
46.42,67.329,28,"Q","H",79,72.9,48.492,61,85.967,45.947,"Class5"
65.487,54.355,15,"O","X",47,87.563,52.961,53,89.346,13.248,"Class2"
69.155,68.996,9,"F","A",30,84.828,87.634,49,71.14,18.805,"Class2"
83.046,54.81,8,"O","A",41,84.917,87.522,42,77.272,63.206,"Class2"
52.262,15.429,27,"K","F",32,69.788,41.989,50,52.688,45.468,"Class1"
19.579,33.829,3,"A","Y",79,52.071,48.729,30,38.982,38.221,"Class3"
79.672,46.943,16,"F","A",58,84.57,75.108,67,78.811,17.681,"Class2"
80.725,78.703,17,"X","J",44,7.871,69.607,7,95.657,56.291,"Class4"
48.428,51.485,32,"K","T",47,85.303,42.564,59,44.114,42.198,"Class1"
74.358,63.54,9,"O","J",NA,73.234,67.21,46,85.814,59.767,"Class2"
91.79,78.906,50,"G","G",39,17.046,66.602,8,88.255,28.102,"Class4"
49.952,31.356,42,"Q","T",47,52.383,41.688,50,49.914,46.847,"Class1"
18.473,33.84,53,"D","J",60,52.906,47.17,24,31.914,59.166,"Class3"
34.604,30.165,64,"Q","Y",42,53.22,43.332,55,59.717,46.58,"Class1"
74.837,75.467,62,"S","S",38,16.703,66.449,6,91.488,25.219,"Class4"
13.162,47.053,22,"D","R",88,50.268,38.202,38,35.368,11.835,"Class3"
54.666,31.744,36,"T","T",47,29.297,42.084,46,43.247,42.292,"Class1"
46.502,66.029,28,"T","I",85,75.64,49.246,34,83.453,47.493,"Class5"
71.293,79.805,74,"X","X",44,10.876,64.254,10,91.814,58.239,"Class4"
44.323,57.739,44,"G","F",23,73.811,41.2,59,52.014,43.665,"Class1"
47.971,58.95,58,NA,"P",38,54.724,41.451,53,58.982,42.43,"Class1"
21.495,49.638,28,"F","K",93,54.344,44.801,50,33.901,6.166,"Class3"
88.421,59.663,12,"F","J",42,84.569,53.964,48,95.217,39.204,"Class2"
46.772,68.42,17,"C","C",82,72.677,48.897,77,83.843,55.694,"Class5"
20.506,46.125,26,"A","J",79,55.817,90.727,16,24.475,36.6,"Class3"
49.48,60.677,67,"G","P",31,27.062,43.501,56,40.799,46.256,"Class1"
44.614,10.603,44,"G","Y",23,24.306,42.405,61,39.959,48.059,"Class1"
12.635,31.169,16,"D","Y",74,50.716,50.211,35,26.656,47.716,"Class3"
67.41,49.663,13,"Y","N",79,77.242,49.262,68,93.917,61.041,"Class2"
71.926,75.726,74,"S","I",40,14.98,56.499,9,92.691,57.604,"Class4"
46.453,48.044,16,"T","H",79,76.459,49.424,92,80.27,56.346,"Class5"
25.81,25.079,42,"M","X",51,74.684,41.245,49,33.882,44.43,"Class1"
22.335,43.455,13,"D","C",72,49.599,91.561,11,35.441,36.334,"Class3"
18.193,33.074,41,"U","C",79,47.476,51.961,38,18.407,30.392,"Class3"
25.217,42.213,20,"D","Y",87,54.377,76.591,67,6.633,3.342,"Class3"
84.858,74.054,23,NA,"I",32,14.534,71.506,7,96.135,30.686,"Class4"
44.754,30.436,39,"G","Y",47,58.494,44.673,49,50.147,48.636,"Class1"
48.398,5.137,51,"T","Y",50,36.129,44.631,58,53.292,46.841,"Class1"
46.705,46.438,30,"V","H",84,72.669,49.541,58,84.328,56.451,"Class5"
46.858,55.853,26,"C","I",82,76.298,49.599,55,84.897,54.077,"Class5"
35.083,32.204,46,"G","Y",30,57.297,41.238,55,67.243,48.846,"Class1"
46.201,48.456,25,"V","H",84,74.832,49.48,86,88.009,47.859,"Class5"
22.984,31.317,31,NA,"J",89,54.489,95.093,30,36.404,53.811,"Class3"
24.757,42.386,66,"A","J",90,49.382,48.155,50,18.687,47.191,"Class3"
69.404,59.896,12,"O","H",85,79.745,85.226,46,95.605,39.128,"Class2"
46.336,53.827,25,"V","C",81,70.936,48.002,91,75.622,58.716,"Class5"
87.269,47.061,11,"C","J",86,87.264,62.423,43,89.065,45.882,"Class2"
46.098,13.511,66,"Q","X",NA,61.15,42.846,54,51.69,48.913,"Class1"
10.109,43.652,23,"Z","R",87,48.926,69.385,18,23.56,3.107,"Class3"
45.997,63.636,17,"Q","X",79,75.946,49.548,65,85.261,60.449,"Class5"
65.995,24.97,46,"G","F",34,95.651,42.883,58,49.875,44.925,"Class1"
78.483,78.036,55,"S","X",41,18.566,62.526,9,91.142,64.868,"Class4"
79.967,68.959,16,"F","H",NA,84.236,51.474,62,91.828,6.523,"Class2"
76.46,78.96,46,"S","S",38,13.259,72.927,6,89.886,30.746,"Class4"
78.161,64.799,8,"I","J",77,84.177,86.272,61,85.224,79.797,"Class2"
33.747,46.011,50,"M","T",49,52.925,44.268,63,58.049,44.631,"Class1"
71.971,74.981,23,"B","G",33,16.01,64.304,10,88.8,51.53,"Class4"
46.744,58.476,13,"V","X",85,75.109,49.084,55,84.073,61.031,"Class5"
46.184,68.493,16,"C","H",77,77.52,49.822,91,79.131,64.537,"Class5"
72.043,72.975,10,"I","J",58,80.111,69.165,69,96.036,11.222,"Class2"
43.683,48.033,10,"Y","J",37,82.718,69.162,50,103.503,33.584,"Class2"
90.681,77.808,17,"S","S",37,11.339,51.146,8,84.587,27.662,"Class4"
46.664,56.956,18,"V","H",82,76.774,48.024,31,81.644,71.827,"Class5"
68.871,74.564,51,"G","J",38,15.079,68.754,8,86.463,27.345,"Class4"
46.841,74.417,19,"V","H",84,73.99,48.541,54,80.883,48.067,"Class5"
46.629,56.705,16,"T","H",80,76.379,48.32,58,93.659,43.371,"Class5"
46.427,55.441,26,"T","I",82,71.337,49.805,41,88.806,45.493,"Class5"
73.756,75.258,14,"S","J",34,20.04,61.644,8,85.572,55.735,"Class4"
82.57,56.639,16,"C","A",89,81.862,61.661,59,75.127,59.953,"Class2"
66.237,43.081,43,"K","X",24,61.611,42.463,47,40.937,47.131,"Class1"
74.231,77.666,24,"S","I",44,12.481,61.049,7,91.503,48.8,"Class4"
68.692,77.076,61,"S","S",34,18.521,55.978,8,94.256,37.407,"Class4"
69.475,79.117,53,"B","I",32,12.249,62.767,7,95.432,25.842,"Class4"
27.898,10.658,64,"G","X",22,59.003,43.974,61,49.097,47.928,"Class1"
76.386,30.833,61,"Q","Y",46,42.184,44.495,61,54.382,43.225,"Class1"
60.323,62.896,8,"O","J",86,87.392,81.074,63,80.296,58.15,"Class2"
66.939,70.422,9,"O","H",69,78.419,60.192,51,70.799,81.126,"Class2"
34.519,45.004,44,"G","T",35,63.684,42.585,46,34.876,43.096,"Class1"
17.866,35.766,36,"Z","J",67,45.87,42.75,14,23.071,42.544,"Class3"
53.555,18.362,61,"M","F",37,64.745,42.261,63,43.52,47.395,"Class1"
74.137,77.644,41,"X","G",43,19.824,51.056,7,92.236,62.879,"Class4"
18.439,31.423,11,"A","C",64,50.691,67.829,53,20.138,17.324,"Class3"
71.769,74.008,16,"O","H",53,80.057,79.903,51,86.446,82.787,"Class2"
35.412,23.616,31,"Q","P",34,50.444,41.527,53,47.787,42.308,"Class1"
12.223,47.523,25,"Z","J",69,52.559,75.282,31,12.252,17.55,"Class3"
69.186,77.266,48,"O","J",32,13.886,71.228,7,91.347,31.642,"Class4"
80.914,73.443,9,"O","X",56,79.014,76.591,67,83.309,25.956,"Class2"
46.803,56.035,13,"C","I",78,73.9,48.453,33,85.626,72.647,"Class5"
82.587,52.691,11,"Y","J",79,80.065,74.754,55,88.722,16.31,"Class2"
60.853,57.912,36,"Q","F",33,61.912,44.636,57,51.028,48.996,"Class1"
48.548,27.333,32,"K","Y",43,71.874,43.705,57,45.938,42.073,"Class1"
78.562,77.332,72,"X","I",36,14.731,56.472,9,88.087,39.752,"Class4"
80.151,76.427,36,"G","X",42,9.143,56.021,9,94.518,40.397,"Class4"
53.937,53.394,65,"M","X",43,89.798,43.802,63,50.105,46.255,"Class1"
35.135,43.791,42,"K","P",33,47.596,44.247,52,51.652,46.677,"Class1"
45.765,56.754,19,"V","H",80,81.618,49.556,71,88.402,64.36,"Class5"
84.181,78.637,51,"X","I",38,17.154,59.393,10,89.267,25.487,"Class4"
16.252,50.834,19,"D","R",81,47.985,51.139,59,29.853,34.476,"Class3"
25.216,36.741,9,"U","Y",94,54.895,55.105,11,19.278,30.969,"Class3"
20.462,41.056,23,"A","R",81,50.779,55.624,18,25.102,3.316,"Class3"
46.458,50.234,27,"C","C",83,74.52,49.401,76,86.693,64.142,"Class5"
20.547,47.157,1,"F","K",70,54.581,79.562,37,28.693,14.535,"Class3"
20.618,40.8,65,"U","R",73,53.071,88.351,54,45.052,18.448,"Class3"
54.614,23.434,33,"Q","F",34,28.159,44.582,56,40.294,46.678,"Class1"
17.094,40.413,5,"D","J",71,51.217,64.064,19,21.11,34.893,"Class3"
33.046,15.994,42,"Q","F",31,73.743,42.818,58,67.832,45.981,"Class1"
70.168,79.675,66,"O","J",37,11.294,72.191,6,90.988,54.604,"Class4"
89.293,59.603,12,"Y","A",79,81.18,65.591,59,92.62,58.839,"Class2"
93.584,79.494,67,"B","G",43,11.85,59.321,6,91.293,40.525,"Class4"
70.799,73.467,10,"Y","A",51,80.333,77.557,71,71.586,49.192,"Class2"
78.577,79.725,47,"S","S",44,13.696,67.063,6,93.783,50.505,"Class4"
60.336,62.121,51,"T","F",30,86.366,44.541,53,40.739,42.303,"Class1"
74.922,66.921,15,"I","X",NA,80.885,64.532,62,73.597,46.077,"Class2"
46.6,73.826,17,"B","H",78,74.529,48.398,30,81.382,59.46,"Class5"
83.46,74.601,18,"G","S",37,17.287,65.094,10,93.107,45.646,"Class4"
44.898,55.393,27,"G","X",27,80.498,42.207,50,61.365,43.766,"Class1"
73.665,78.928,49,"G","S",43,16.066,64.535,10,88.919,59.97,"Class4"
46.326,70.473,29,"Q","C",84,75.905,49.772,36,89.614,59.361,"Class5"
65.904,67.295,8,"I","N",49,83.665,83.433,52,85.711,32.188,"Class2"
56.992,11.097,30,"K","P",22,59.636,42.008,51,71.417,46.688,"Class1"
67.883,78.524,39,"B","I",NA,16.733,69.716,7,87.822,33.025,"Class4"
57.702,38.554,64,"M","P",40,27.091,41.843,51,65.867,46.852,"Class1"
65.894,74.604,8,"I","X",76,86.058,57.73,46,84.336,19.339,"Class2"
53.998,53.177,13,"Y","A",35,77.29,57.718,47,88.975,62.533,"Class2"
21.155,38.317,33,"F","J",83,52.896,77.755,26,32.267,16.801,"Class3"
91.96,76.515,49,"B","S",33,15.115,57.598,10,94.133,53.541,"Class4"
46.514,62.793,20,"B","X",86,74.195,48.367,78,88.23,61.017,"Class5"
46.332,69.529,30,"B","H",NA,74.458,48.702,74,85.838,52.068,"Class5"
65.814,48.236,66,"Q","Y",47,40.579,44.799,48,48.168,47.482,"Class1"
18.984,37.039,5,"Z","C",93,51.875,43.728,25,24.818,11.986,"Class3"
78.029,69.483,12,"F","N",95,82.806,70.181,64,77.539,22.632,"Class2"
84.129,70.304,16,"I","J",44,79.466,77.022,52,87.908,47.604,"Class2"
66.196,70.932,14,"F","A",34,81.55,77.708,62,73.942,47.109,"Class2"
46.578,43.323,38,"T","F",30,76.833,41.285,49,58.551,45.607,"Class1"
46.238,61.419,15,NA,"C",84,75.602,49.756,52,86.948,52.069,"Class5"
41.865,16.61,60,"Q","P",44,24.306,44.811,58,55.142,43.51,"Class1"
14.047,39.246,54,"A","Y",91,49.088,61.53,57,21.809,39.711,"Class3"
69.874,77.154,19,"O","G",NA,18.458,55.87,8,89.292,68.166,"Class4"
66.593,55.975,7,"O","H",51,86.289,53.936,44,84.674,14.351,"Class2"
