"U1","U2","U3","U4","U5","Output20","U6","U7","U8","U9","U10","U11"
31.22,21.73,44,33,48.36,"Class3","T",13.655,23.362,"C",10,34.509
2.053,53.206,35,87,83.707,"Class1","Y",25.398,54.677,"F",20,42.688
20.492,64.521,86,72,31.451,"Class4","Y",89.893,39.335,"W",40,34.594
34.648,47.154,79,71,71.435,"Class4","M",88.611,39.824,"O",52,55.088
9.474,49.146,53,91,51.927,"Class1","K",18.628,25.441,"U",32,85.835
28.615,72.316,57,64,40.945,"Class4","Y",91.613,22.525,"O",36,50.444
40.615,20.944,75,77,-0.245,"Class4","M",92.388,28.879,"J",86,36.701
37.104,75.103,76,71,44.389,"Class4","Y",88.941,28.514,"W",39,57.525
25.573,21.333,47,15,102.289,"Class3","Z",13.109,13.255,"S",21,56.362
49.039,63.583,45,64,38.939,"Class4","J",89.39,36.72,"H",74,50.396
24.632,42.452,45,92,20.87,"Class1",NA,49.116,64.185,"F",27,63.149
59.025,26.592,64,18,22.191,"Class2","O",89.104,89.699,"A",82,45.998
21.221,44.582,74,82,40.053,"Class4","J",88.25,18.008,"J",23,42.222
58.59,18.861,64,55,25.273,"Class2","J",83.557,90.139,"A",78,44.696
62.409,25.938,63,59,19.685,"Class2",NA,85.065,58.622,"A",81,49.262
35.347,46.609,23,75,91.709,"Class1","K",53.91,55.169,"P",49,43.839
71.075,45.666,91,78,19.649,"Class4","N",90.833,35.584,"H",92,36.49
4.468,21.144,49,35,50.753,"Class3","R",9.24,15.184,"I",28,69.615
73.531,57.003,82,79,69.306,"Class4","N",89.114,21.825,"O",22,61.266
22.88,73.72,30,78,88.931,"Class1","K",42.891,43.297,"F",40,74.363
22.58,38.591,36,83,74.415,"Class1","Z",16.615,39.248,"M",30,26.611
32.203,21.529,49,5,37.003,"Class3","Z",14.172,22.206,"C",28,39.361
9.494,21.481,43,37,59.772,"Class3","R",11.064,30.699,"I",33,38.612
24.719,28.306,16,86,40.375,"Class1","Y",36.438,19.481,"C",24,42.018
29.316,68.439,40,79,80.553,"Class1",NA,33.771,52.453,"P",24,2.609
38.338,65.181,60,65,91.419,"Class4","N",91.011,33.724,"S",99,56.038
17.221,21.072,30,18,65.209,"Class3","T",12.714,26.022,"C",14,36.239
5.08,21.637,57,27,68.676,"Class3","G",17.091,33.317,"C",11,56.297
17.84,21.392,29,22,40.489,"Class3","T",12.098,29.859,"O",16,78.221
36.257,82.543,44,93,56.612,"Class1","K",4.722,44.029,"C",43,70.465
54.578,37.234,56,47,20.634,"Class2",NA,82.106,31.93,"L",81,37.091
19.408,21.726,40,8,58.426,"Class3","G",17.017,31.73,"S",15,45.082
18.361,21.665,51,14,76.578,"Class3","Z",14.315,26.102,"O",33,12.873
54.82,46.471,58,41,19.276,"Class2","O",84.522,63.232,"F",83,41.574
53.48,31.587,65,78,24.563,"Class2","Y",88.543,70.412,"P",76,50.167
19.151,21.463,59,10,55.479,"Class3","Z",19.822,13.121,"N",26,62.479
20.395,21.64,35,35,28.269,"Class3","G",20.962,24.068,"O",14,41.785
56.909,33.046,55,NA,17.97,"Class2","U",87.483,91.91,"F",83,50.63
35.278,51.015,25,79,51.058,"Class1","B",25.669,84.095,"M",47,34.683
39.259,75.034,48,70,44.552,"Class4","M",90.609,40.057,"W",89,34.3
12.764,21.484,55,6,78.228,"Class3","G",9.97,25.273,"I",28,46.674
54.24,46.814,61,10,24.211,"Class2","O",91.03,71.573,"F",78,29.592
-1.448,47.467,51,91,52.31,"Class1","Z",47.905,91.443,"P",54,73.559
60.755,31.696,64,6,17.431,"Class2","J",88.698,78.811,"F",78,49.216
57.048,33.408,60,82,18.784,"Class2","J",91.327,21.559,"F",78,48.891
25.109,76.504,91,69,-0.527,"Class4","F",91.476,37.964,"S",25,43.078
62.609,24.439,59,61,21.488,"Class2","J",84.688,72.719,"F",79,35.402
9.019,21.018,32,19,61.516,"Class3","Z",13.731,24.574,"N",39,9.566
63.282,36.939,55,65,51.513,"Class4","N",88.262,40.653,"H",100,45.988
22.739,21.184,44,19,130.789,"Class3","Y",13.093,31.252,"I",22,28.508
30.743,57.52,80,80,79.966,"Class4","F",90.515,29.836,"W",29,45.831
22.687,21.15,58,8,32.481,"Class3","Z",15.841,23.317,"O",8,58.199
12.394,21.461,43,12,29.889,"Class3","R",17.788,12.131,"C",36,27.18
69.449,32.001,61,68,-1.812,"Class4","M",91.826,21.541,"J",51,53.472
24.212,37.869,70,67,66.287,"Class4",NA,92.203,20.565,"S",96,33.905
31.556,68.536,45,75,39.873,"Class1","Z",29.669,42.746,"M",64,93.235
47.449,35.229,54,NA,18.977,"Class2","O",87.302,80.545,"A",76,44.882
50.353,76.518,52,74,12.343,"Class4","M",90.944,19.593,"H",50,43.679
22.708,21.68,32,22,76.393,"Class3","G",19.071,29.224,"I",20,53.169
12.302,21.15,58,19,46.47,"Class3","R",11.41,19.782,"O",36,60.414
24.331,21.363,59,16,65.793,"Class3","G",13.893,32.93,"C",9,32.756
29.213,35.449,39,76,99.972,"Class1","K",42.123,17.107,"U",48,71.049
62.38,21.667,65,61,18.414,"Class2","J",93.179,24.074,"L",82,39.347
50.673,18.967,57,27,21.691,"Class2","J",86.313,24.438,"A",78,35.624
22.978,21.998,44,32,67.655,"Class3","Z",20.179,20.609,"N",39,56.63
24.076,21.509,34,5,48.988,"Class3","Y",10.859,24.617,"C",24,37.454
20.479,21.549,36,17,17.672,"Class3","T",19.24,32.2,"N",6,34.003
15.452,21.476,45,27,106.307,"Class3","R",15.371,12.359,"S",34,70.246
-2.058,20.153,60,77,50.849,"Class4","F",88.572,34.223,"W",62,35.612
30.497,21.957,69,73,23.81,"Class4","F",88.535,21.356,"S",27,38.254
30.144,35.701,62,65,33.362,"Class4","M",91.171,26.201,"H",47,39.34
38.78,36.168,61,93,26.956,"Class2","O",93.02,71.351,"A",76,44.282
31.166,36.71,55,81,113.077,"Class1","C",26.563,19.103,"F",43,88.771
57.606,23.402,64,91,21.613,"Class2","G",87.782,86.918,"P",82,55.014
38.511,27.804,94,82,34.417,"Class4","N",91.049,40.189,"H",96,37.383
5.342,51.138,43,89,54.895,"Class1","K",53.142,49.36,"P",43,63.032
34.351,68.866,33,89,49.979,"Class1","K",53.493,17.624,"C",68,56.275
24.985,21.206,39,31,36.597,"Class3","Z",8.879,32.867,"S",6,54.157
22.468,46.917,34,78,40.495,"Class1","Y",55.886,53.525,"C",54,17.497
18.99,21.426,62,17,41.269,"Class3","R",9.16,24.869,"O",12,38.42
81.249,73.667,88,68,24.412,"Class4","N",89.618,28.648,"W",54,33.421
27.874,42.432,48,65,57.278,"Class4","Y",88.061,32.698,"O",14,52.191
50.261,40.754,59,30,23.63,"Class2",NA,91.932,42.239,"L",76,38.932
24.811,55.198,26,78,98.415,"Class1","Y",28.503,76.447,"U",70,59.128
57.111,42.731,85,79,-9.72,"Class4","J",90.651,38.07,"O",9,34.235
25.129,46.099,42,81,43.269,"Class4","Y",90.621,23.045,"O",40,19.943
8.726,21.557,51,13,73.685,"Class3","T",17.119,28.079,"O",24,75.717
12.017,77.822,27,73,85.654,"Class1","C",31.331,38.293,"U",67,46.118
41.948,33.54,62,14,23.501,"Class2","J",83.982,66.286,"F",81,41.471
38.594,79.894,76,72,15.193,"Class4","N",92.532,38.674,"H",51,35.606
50.285,24.92,66,36,18.778,"Class2","U",91.417,73.602,"F",77,33.689
28.231,21.105,39,23,44.362,"Class3","Y",14.929,30.664,"I",27,1.795
50.279,56.051,74,65,28.791,"Class4","N",90.03,32.42,"H",47,53.373
69.518,43.674,65,61,23.371,"Class2","Y",91.887,74.17,"E",77,33.631
10.642,21.998,40,32,72.616,"Class3","T",19.06,21.768,"C",13,86.793
28.325,69.47,62,67,14.806,"Class4","Y",91.606,36.75,"O",41,75.271
48.317,30.903,53,36,23.968,"Class2","J",93.268,41.156,"P",80,60.068
20.099,21.278,36,23,65.492,"Class3","Z",10.256,28.581,"I",40,43.863
53.623,41.007,66,61,23.024,"Class2","Y",84.827,70.336,"P",77,47.439
32.956,21.67,35,29,34.637,"Class3","Y",13.314,16.109,"I",34,-30.996
44.387,35.262,89,65,66.224,"Class4","F",92.589,32.142,"H",100,50.913
60.327,31.489,53,85,18.043,"Class2","U",84.372,24.896,"P",82,53.4
24.506,21.575,47,19,67.327,"Class3","Y",10.007,33.28,"S",25,17.374
69.102,34.067,65,41,19.111,"Class2","G",83.397,24.528,"F",77,37.232
10.254,21.585,32,6,41.4,"Class3","R",8.512,20.691,"S",12,59.016
20.831,21.564,34,24,20.535,"Class3","T",15.864,33.134,"C",24,28.146
9.03,21.251,39,29,53.946,"Class3","Y",14.416,26.004,"O",22,58.228
39.671,46.954,60,29,21.621,"Class2","J",92.059,65.808,"P",76,43.078
18.102,21.744,59,33,26.268,"Class3","Y",13.632,17.823,"I",15,8.049
29.354,44.978,16,87,49.933,"Class1","Z",20.347,61.857,"U",50,67.624
24.609,36.751,33,74,108.889,"Class1","Z",27.13,26.944,"U",55,44.677
8.29,21.779,50,11,67.826,"Class3","Y",15.933,33.436,"O",22,41.977
61.269,21.098,64,16,23.351,"Class2","J",89.965,90.364,"F",80,41.662
93.229,53.949,81,81,24.532,"Class4","Y",90.947,36.523,"W",43,55.678
7.415,59.006,26,82,51.517,"Class1","K",55.821,34.028,"F",45,45.801
22.721,21.293,50,12,43.918,"Class3","Y",19.018,21.382,"I",15,18.527
25.866,38.981,17,78,64.971,"Class1","C",32.815,75.2,"P",52,71.078
29.496,65.293,29,90,61.999,"Class1","Z",28.261,73.929,"U",27,47.496
62.676,52.726,61,79,44.624,"Class4","N",92.444,20.49,"O",48,35.207
42.036,27.163,85,64,63.694,"Class4","F",88.211,21.958,"S",79,43.047
56.93,55.749,54,66,56.656,"Class4","N",90.624,38.992,"J",12,24.005
16.641,21.785,36,11,87.207,"Class3","R",8.284,33.28,"C",12,21.769
36.455,19.542,64,67,21.803,"Class2",NA,84.919,36.548,"E",83,36.381
58.101,74.885,52,70,56.958,"Class4","F",89.886,31.098,"O",22,58.927
42.294,25.097,51,63,18.7,"Class2","J",87.432,74.456,"L",82,43.956
16.176,21.812,52,36,42.704,"Class3",NA,8.799,16.437,"S",10,37.041
56.954,22.578,52,13,21.623,"Class2","J",85.658,23.913,"E",76,42.577
17.991,65.865,18,79,83.097,"Class1","Z",27.158,44.01,"U",26,68.642
19.499,21.436,45,23,44.505,"Class3","T",20.86,20.848,"I",10,33.908
37.75,57.474,12,79,94.35,"Class1","C",33.79,66.87,"M",66,32.687
43.015,41.099,51,49,25.451,"Class2","O",85.743,53.4,"F",82,52.864
16.776,21.882,36,30,27.951,"Class3","Z",19.492,30.217,"N",9,35.102
48.178,39.082,55,2,19.384,"Class2","G",82.213,85.265,"E",80,43.983
53.549,31.92,71,78,39.843,"Class4","F",91.857,35.495,"H",36,47.6
47.058,72.817,50,74,50.031,"Class4","N",92.249,40.194,"W",21,37.217
27.296,21.706,35,7,65.443,"Class3","T",16.791,16.771,"O",15,48.51
19.348,67.987,51,91,81.833,"Class1","K",55.325,35.198,"F",58,78.916
23.498,21.976,45,31,37.345,"Class3","Y",17.251,12.963,"C",15,11.162
30.534,60.386,15,89,22.813,"Class1","K",15.375,58.632,"F",63,74.199
14.238,21.03,56,14,47.229,"Class3","T",12.592,14.755,"N",20,47.491
73.276,36.044,47,71,71.155,"Class4","F",88.141,26.793,"S",11,45.942
25.253,67.679,41,68,25.448,"Class4","Y",89.89,19.275,"W",91,71.759
33.742,33.908,15,85,25.422,"Class1","C",56.914,83.586,"C",59,40.191
8.159,21.036,37,32,34.622,"Class3","T",20.33,24.325,"O",13,37.118
40.491,44.775,61,9,19.71,"Class2","G",87.462,38.483,"E",76,40.377
41.923,50.545,47,79,50.315,"Class1","Z",27.091,78.415,"P",70,79.067
58.796,38.782,57,82,22.931,"Class2","J",85.937,58.382,"L",79,42.512
51.881,31.975,62,33,21.418,"Class2","O",89.721,95.267,"P",80,47.414
48.38,37.486,55,85,23.165,"Class2","G",85.047,43.445,"P",81,46.008
7.743,46.557,89,65,40.661,"Class4","M",88.687,24.729,"H",48,50.881
22.591,29.44,30,83,35.787,"Class1","K",7.172,87.214,"F",62,67.174
48.515,41.951,58,78,30.738,"Class4","N",88.036,28.086,"O",66,24.511
5.605,48.436,29,85,55.158,"Class1","C",28.577,26.883,"F",40,56.491
74.917,53.555,49,77,29.636,"Class4","M",88.998,18.261,"S",28,24.646
59.776,42.817,51,NA,18.83,"Class2","U",86.99,22.936,"A",79,36.258
42.995,39.577,57,40,23.341,"Class2",NA,91.93,74.938,"E",83,34.38
40.15,35.696,52,14,19.455,"Class2","Y",93.004,70.342,"E",83,43.766
78.361,32.323,76,75,73.374,"Class4","M",88.068,29.607,"O",22,57.747
60.391,34.034,61,29,16.273,"Class2","U",91.01,40.473,"E",77,36.916
36.451,36.787,29,92,101.847,"Class1","K",6.736,58.724,"M",34,73.961
26.325,21.141,39,34,125.86,"Class3","T",17.134,24.607,"N",31,15.417
51.607,36.781,65,45,21.728,"Class2","U",89.727,39.817,"L",82,42.346
16.616,21.283,59,36,66.368,"Class3","Y",17.296,33.713,"N",39,74.937
56.122,35.741,66,17,25.379,"Class2","O",90.601,58.476,"P",77,33.618
24.391,21.641,53,22,17.548,"Class3","R",20.117,21.47,"I",10,23.931
41.88,74.424,27,92,100.12,"Class1",NA,13.519,29.048,"U",59,64.697
46.902,28.094,57,68,25.768,"Class2","Y",83.51,42.117,"A",78,48.938
40.708,35.588,61,80,38.852,"Class4","J",90.723,21.611,"O",65,53.075
20.057,21.489,52,25,78.609,"Class3","R",12.291,24.793,"C",8,38.443
40.863,39.966,42,73,4.335,"Class4","J",89.795,23.549,"O",53,34.946
36.223,46.614,36,82,63.995,"Class1","K",32.811,59.628,"U",23,45.708
57.436,21.019,57,7,30.839,"Class2","J",88.969,27.792,"E",77,42.671
31.054,21.202,31,22,63.256,"Class3","Y",20.956,20.335,"I",12,5.365
65.582,32.143,63,89,20.715,"Class2","G",89.687,95.861,"E",83,36.907
44.685,20.807,55,94,24.556,"Class2","G",92.564,86.781,"P",77,37.811
33.322,40.487,75,69,82.114,"Class4","F",88.67,37.326,"O",40,52.748
22.678,56.088,20,74,71.593,"Class1","C",34.516,54.198,"F",33,74.48
59.157,24.897,51,90,19.439,"Class2","J",85.882,74.075,"F",81,47.349
20.043,21.487,52,22,36.233,"Class3","Z",17.899,21.45,"S",28,50.766
51.868,71.549,29,90,92.593,"Class1","C",33.422,35.782,"F",41,20.778
35.722,59.211,35,87,71.967,"Class1",NA,57.023,89.225,"F",32,29.607
35.257,69.258,23,93,83.274,"Class1","C",39.802,55.776,"F",44,83.971
6.37,21.406,36,NA,86.138,"Class3","T",18.834,19.4,"C",33,56.768
46.846,57.383,66,65,72.768,"Class4","M",92.871,24.626,"J",43,33.057
31.234,75.417,22,78,77.993,"Class1","Y",20.095,71.661,"U",47,53.724
43.751,24.345,83,74,32.918,"Class4","F",89.111,37.155,"H",20,66.898
10.884,34.797,54,89,64.806,"Class1","B",12.45,43.563,"P",22,81.79
38.589,35.08,59,67,22.097,"Class2","U",93.121,85.67,"P",82,39.04
39.519,73.424,41,76,63.313,"Class1","B",44.918,88.859,"U",40,34.494
2.694,21.259,51,26,63.705,"Class3","R",20.026,24.201,"O",12,37.541
74.187,38.439,52,40,22.155,"Class2","G",89.584,53.638,"E",83,40.483
19.326,21.347,61,33,-11.611,"Class3","T",12.627,26.139,"C",39,35.81
15.018,21.04,62,23,19.824,"Class3","Z",13.428,29.444,"I",15,21.674
58.365,37.973,59,46,23.386,"Class2","G",85.095,25.696,"P",77,38.032
42.626,41.692,71,72,48.096,"Class4","M",91.113,20.937,"H",74,43.866
38.089,39.768,66,NA,23.575,"Class2","G",85.291,54.444,"F",79,49.287
10.04,21.072,37,15,46.493,"Class3","R",18.957,26.731,"I",31,49.034
33.753,58.844,47,93,129.509,"Class1","Y",55.808,57.297,"U",26,36.626
46.511,33.247,64,67,27.858,"Class2","J",87.657,34.584,"F",81,37.37
59.332,38.686,65,61,24.867,"Class2","U",83.168,48.632,"L",82,34.685
63.468,28.894,57,61,23.115,"Class2","J",91.071,79.5,"A",83,45.543
13.084,21.724,44,37,63.472,"Class3","Z",15.908,27.449,"I",6,43.345
26.384,73.193,53,NA,24.877,"Class1","C",15.143,57.015,"C",67,78.437
48.912,56.744,44,80,68.754,"Class4","N",88.024,29.645,"H",31,59.595
49.949,42.058,58,NA,25.451,"Class2","J",86.953,80.529,"F",76,46.41
14.713,21.573,33,7,54.348,"Class3","R",18.602,22.89,"N",40,20.865
18.496,53.443,12,93,63.99,"Class1","K",34.752,22.367,"C",56,33.017
45.168,79.591,45,84,53.757,"Class1","Y",50.926,65.713,"C",69,69.973
17.885,21.742,45,15,58.249,"Class3","G",19.256,33.281,"O",12,38.556
7.486,77.316,14,74,73.154,"Class1","Z",21.336,46.76,"P",37,68.032
49.979,32.174,61,75,20.525,"Class2","G",93.324,74.737,"P",78,37.616
43.403,70.855,26,74,48.005,"Class1","B",43.063,73.368,"C",47,35.081
47.477,40.955,89,66,26.847,"Class4","N",91.022,38.936,"O",9,66.012
19.193,21.119,49,25,105.736,"Class3","Z",15.922,23.072,"S",9,71.549
22.297,65.9,51,66,51.644,"Class4","Y",90.862,23.693,"J",19,44.456
25.069,27.905,86,74,33.225,"Class4","M",90.57,26.012,"J",22,42.855
33.985,48.271,50,87,75.581,"Class1","Y",54.282,54.832,"P",29,70.63
11.299,21.348,40,9,86.068,"Class3","Z",8.773,33.065,"O",33,23.955
42.692,47.635,86,67,23.802,"Class4","J",88.267,24.786,"W",44,37.102
42.667,80.618,57,78,51.506,"Class4","F",90.858,33.096,"J",9,43.12
14.554,39.222,41,86,69.342,"Class1","C",57.888,79.994,"P",33,93.753
24.712,21.87,54,9,23.97,"Class3","R",8.028,16.286,"S",40,18.172
52.201,41.392,57,93,21.777,"Class2","O",90.301,64.487,"F",80,40.326
45.879,37.578,57,61,21.056,"Class2","J",85.418,90.835,"F",78,43.297
64.467,24.602,76,75,21.053,"Class4","N",89.52,27.146,"W",48,49.209
49.928,50.898,53,82,73.058,"Class4","J",88.615,32.046,"W",56,38.326
27.305,34.707,39,84,47.718,"Class1","C",14.357,17.58,"P",54,34.926
5.816,81.97,36,87,37.406,"Class1",NA,47.605,40.181,"C",64,90.743
1.741,58.143,14,74,50.748,"Class1","Z",55.439,81.835,"U",69,28.073
25.513,21.085,28,12,31.781,"Class3","Z",16.904,17.199,"N",40,29.043
13.816,21.36,52,12,86.937,"Class3","T",20.224,18.12,"I",26,53.902
20.556,21.795,29,13,52.533,"Class3","Z",13.724,18.996,"C",38,3.584
13.462,21.264,40,NA,63.12,"Class3","G",15.34,20.447,"C",35,63.59
5.972,21.277,33,14,58.193,"Class3","Z",12.051,33.663,"O",16,32.096
49.6,24.24,60,71,38.988,"Class4","F",91.882,29.243,"H",19,32.901
3.372,55.844,22,NA,43.374,"Class1","K",21.468,68.779,"M",38,51.409
50.742,42.327,62,55,21.094,"Class2","Y",83.331,44.153,"P",80,42.581
38.36,43.203,12,92,26.946,"Class1","Z",45.705,38.514,"P",52,45.699
8.259,36.523,40,89,49.686,"Class1","C",56.304,24.049,"P",41,35.176
23.549,32.857,66,72,10.784,"Class4","M",92.418,24.51,"J",87,51.995
34.055,81.936,42,86,64.607,"Class1","Y",36.027,57.152,"M",44,91.355
32.009,81.405,42,79,39.307,"Class1","K",24.448,50.435,"M",44,80.109
45.604,41.959,57,48,15.216,"Class2","J",86.967,22.524,"A",82,53.231
27.908,58.608,18,86,128.327,"Class1","Y",19.726,57.039,"C",29,94.238
48.687,27.655,81,82,30.567,"Class4","N",88.439,25.478,"H",50,52.285
54.623,60.285,58,63,37.787,"Class4","J",91.269,23.573,"H",27,47.487
50.724,20.755,70,73,32.117,"Class4","M",88.223,39.595,"H",35,38.232
48.271,43.35,64,85,23.429,"Class2","O",88.229,85.145,"L",79,44.79
52.561,23.215,63,69,21.958,"Class2","O",85.915,22.148,"L",78,45.388
19.764,66.39,24,89,35.93,"Class1","B",55.064,72.098,"F",70,65.287
29.345,41.259,41,64,91.003,"Class4","N",91.14,22.636,"S",49,21.432
17.553,44.597,11,74,33.268,"Class1","K",40.615,50.02,"P",48,17.789
15.473,80.608,17,82,86.044,"Class1","Y",31.384,59.073,"F",29,79.098
38.781,69.813,55,90,88.872,"Class1","C",54.152,77.615,"C",32,44.059
51.252,29.611,65,46,17.583,"Class2","G",84.63,53.831,"L",83,61.313
16.399,55.915,52,81,38.572,"Class1","K",35.001,32.517,"P",41,69.988
22.717,71.728,38,83,29.138,"Class1","K",40.834,51.302,"M",40,59.836
55.822,42.236,59,23,22.3,"Class2","Y",93.693,86.03,"E",82,43.371
40.582,73.507,35,NA,29.158,"Class1","K",45.315,67.548,"U",44,81.28
43.295,79.395,76,80,12.255,"Class4","M",90.366,22.499,"H",31,46.003
61.246,52.42,64,63,54.008,"Class4","Y",90.478,28.085,"J",47,45.413
23.234,21.904,30,21,45.969,"Class3","G",11.677,13.316,"I",38,60.684
51.401,46.189,62,46,20.993,"Class2","G",86.447,84.41,"P",83,44.27
15.019,21.411,61,18,89.078,"Class3","Z",9.747,21.323,"O",37,51.7
42.609,30.334,50,76,87.833,"Class4","J",89.435,25.091,"J",13,25.438
44.683,23.899,56,NA,27.221,"Class2","J",91.286,91.157,"L",77,50.416
23.251,21.467,46,31,57.409,"Class3","R",10.66,30.542,"I",27,64.682
49.238,29.687,62,NA,19.448,"Class2","Y",82.82,71.053,"F",82,47.361
12.799,21.353,39,31,65.989,"Class3",NA,19.906,19.913,"S",27,67.708
54.487,19.221,52,52,22.087,"Class2",NA,92.473,47.917,"A",82,40.753
14.847,53.471,13,93,100.133,"Class1","Z",31.051,68.371,"F",51,29.599
13.58,21.221,56,11,77.043,"Class3","Z",16.841,15.991,"O",9,70.651
3.453,42.207,42,89,22.178,"Class1","K",10.404,56.363,"P",68,56.973
6.475,58.913,41,NA,69.939,"Class1","C",40.634,69.454,"F",40,36.339
45.836,47.683,59,15,18.117,"Class2","O",85.986,58.986,"A",81,47.676
36.167,66.336,84,79,61.26,"Class4","F",91.304,31.297,"W",57,69.428
59.323,32.786,54,11,20.629,"Class2",NA,88.46,89.619,"A",77,42.403
46.512,25.102,59,34,22.358,"Class2","O",93.252,54.36,"F",77,44.152
17.835,21.422,58,7,53.717,"Class3","R",9.267,21.657,"C",33,50.788
16.532,44.628,51,86,52.495,"Class1","C",38.357,72.862,"F",61,61.117
41.012,61.532,17,NA,24.48,"Class1","B",39.581,18.234,"M",46,34.897
32.226,31.154,42,82,71.512,"Class1","Z",55.026,38.341,"F",22,62.61
51.631,22.815,61,70,21.988,"Class2","J",87.398,55.335,"E",77,46.128
12.132,21.736,30,13,64.927,"Class3","R",15.996,11.191,"O",6,14.871
26.502,38.622,35,88,72.003,"Class1",NA,56.689,81.873,"M",45,118.65
30.786,68.066,36,73,40.468,"Class1","C",29.239,49.351,"F",45,77.262
35.645,32.932,61,64,38.861,"Class4","Y",90.059,18.424,"H",14,29.257
23.805,21.428,61,31,67.013,"Class3","R",18.489,31.717,"N",35,-5.648
49.725,32.968,60,43,22.85,"Class2","G",86.87,34.06,"E",82,39.095
70.701,18.138,66,60,24.983,"Class2","Y",82.679,54.255,"L",80,39.407
19.168,44.088,90,76,66.983,"Class4","Y",90.881,19.09,"W",55,44.546
32.387,56.191,73,67,89.836,"Class4","F",89.519,19.243,"O",94,41.595
54.316,68.254,90,77,38.476,"Class4","Y",88.979,18.212,"W",30,40.158
33.156,78.126,58,82,71.111,"Class4","N",88.707,24.354,"H",39,63.07
30.51,61.054,43,78,20.543,"Class4","Y",88.152,32.898,"O",13,58.911
41.07,47.655,51,76,21.052,"Class2","J",91.53,27.737,"A",83,46.333
20.273,21.856,38,31,58.908,"Class3","R",16.375,19.982,"O",11,42.24
66.692,31.531,65,73,21.482,"Class2","J",89.559,76.873,"E",83,39.709
17.035,21.836,29,20,53.97,"Class3","Z",20.123,14.142,"S",39,59.316
20.168,33.204,44,84,57.179,"Class1",NA,13.925,68.275,"P",53,28.309
47.541,44.895,66,92,22.373,"Class2","O",88.665,66.068,"A",82,41.974
7.919,28.778,49,85,61.721,"Class1","K",53.195,38.885,"P",31,87.179
53.755,17.097,60,62,22.094,"Class2","U",86.74,95.758,"L",76,54.493
59.45,52.043,68,63,17.201,"Class4","N",91.982,31.983,"W",20,38.451
29.033,49.859,83,68,59.674,"Class4","M",89.944,27.752,"H",44,55.762
47.623,40.785,66,51,19.284,"Class2","Y",85.514,42.252,"P",82,38.911
20.795,66.344,33,80,85.255,"Class1","C",32.695,47.204,"C",68,67.959
26.889,21.418,56,22,74.652,"Class3","R",8.857,25.293,"O",21,52.348
51.612,43.634,63,32,17.152,"Class2","G",83.713,45.047,"L",81,50.559
42.425,64.66,18,92,42.076,"Class1","Y",55.831,24.683,"P",40,103.464
72.068,44.373,78,65,71.24,"Class4","M",88.57,18.435,"W",33,52.983
30.059,73.847,67,73,30.454,"Class4","N",90.685,23.752,"O",13,36.392
-7.544,31.031,58,71,92.828,"Class4","N",91.822,31.099,"O",63,36.95
27.809,21.862,46,26,87.848,"Class3","R",8.569,13.276,"O",21,56.096
18.78,52.797,17,82,69.351,"Class1","B",22.148,32.367,"U",39,51.208
30.584,71.9,82,72,60.886,"Class4","J",90.508,40.792,"J",26,57.374
21.985,21.545,30,NA,49.051,"Class3","Y",19.073,19.561,"I",23,42.468
47.536,68.153,61,64,-15.217,"Class4","M",91.264,22.548,"H",45,69.705
-10.291,73.175,42,87,69.141,"Class1","Y",14.449,69.922,"U",36,99.005
47.908,28.39,64,89,20.434,"Class2","G",88.268,89.334,"P",79,46.629
18.508,21.548,51,11,57.45,"Class3","Y",10.126,23.475,"S",30,72.648
39.829,37.114,58,NA,23.259,"Class2","Y",86.217,89.33,"P",78,36.937
40.037,49.178,54,87,78.239,"Class1","Y",8.683,25.112,"F",29,17.51
45.05,56.243,94,67,49.801,"Class4","M",91.407,30.705,"W",41,45.383
22.894,21.582,61,21,37.154,"Class3","T",17.306,26.872,"C",8,79.27
60.135,47.075,58,5,19.665,"Class2","G",91.294,26.287,"L",79,34.932
18.973,21.813,46,11,89.176,"Class3","T",9.827,33.693,"S",27,31.723
43.838,45.621,51,20,20.954,"Class2","Y",82.212,80.404,"E",82,43.031
83.212,50.76,64,69,77.191,"Class4","N",88.277,37.662,"S",11,41.141
54.607,29.207,54,15,20.84,"Class2","U",89.552,39.157,"E",83,43.831
52.159,41.197,57,68,23.503,"Class2","G",93.576,82.866,"A",81,44.673
52.793,43.905,72,68,54.015,"Class4",NA,92.161,35.153,"O",67,35.086
15.124,80.392,91,63,7.462,"Class4","J",91.067,30.625,"S",62,47.363
47.807,73.733,80,73,-32.061,"Class4","Y",91.308,32.344,"H",51,57.707
36.118,67.409,68,76,59.446,"Class4","Y",90.055,26.558,"J",59,30.436
29.909,46.032,39,92,55.183,"Class1","Y",22.064,74.462,"F",32,71.906
28.174,21.809,41,35,63.68,"Class3","R",16.495,27.218,"O",28,40.26
43.864,25.954,83,76,13.024,"Class4",NA,89.359,37.386,"J",34,54.969
28.033,71.491,44,65,51.121,"Class4","Y",88.765,24.268,"O",73,41.308
27.463,21.961,46,9,90.765,"Class3","G",17.313,30.248,"C",15,91.665
3.431,41.284,44,80,64.359,"Class1","K",29.057,88.777,"F",27,87.132
16.91,21.283,49,17,55.371,"Class3","T",9.479,33.572,"O",12,34.63
65.678,78.389,90,82,13.558,"Class4",NA,92.044,26.143,"W",10,36.639
9.803,46.731,53,77,83.258,"Class1","K",54.309,73.163,"F",35,57.664
16.881,76.441,83,79,30.07,"Class4","M",89.282,36.301,"W",42,65.65
