"A1","A2","A3","A4","A5","A6","Output26","A7","A8","A9","A10","A11"
66.978,68,67.523,70.376,47.285,"I","Class2",95.31,"T",78,36.719,88
84.201,66,70.151,83.177,41.815,"I","Class2",52.537,"S",64,20.35,81
98.905,66,62.339,67.398,55.963,"K","Class2",92.353,"W",57,54.94,89
-3.393,17,88.395,87.902,22.952,"J","Class1",29.557,"S",38,7.636,33
59.18,68,45.401,71.633,40.452,"I","Class2",68.417,"T",86,67,90
15.968,22,86.592,NA,24.105,"J","Class1",62.635,"Z",46,6.239,39
10.59,29,85.783,72.182,24.049,"Z","Class1",49.765,"Y",34,8.647,32
7.755,17,83.595,79.759,22.426,"O","Class1",49.726,"R",55,7.032,43
14.391,25,90.39,84.327,24.787,"J","Class1",45.496,"X",36,7.628,27
7.694,24,89.113,81.345,23.443,"Z","Class1",32.259,"Z",41,7.058,47
22.556,27,88.068,88.514,21.552,"K","Class1",33.196,"Z",37,8.256,38
10.392,24,92.808,75.831,22.716,"E","Class1",61.699,"X",57,8.814,28
20.971,28,84.021,73.437,25.063,"E","Class1",42.593,"Z",37,6.031,50
96.7,66,49.079,72.701,49.585,"B","Class2",76.22,"W",63,18.81,87
13.497,17,86.084,72.711,23.171,"E","Class1",51.385,"Z",40,6.968,46
0.858,25,88.852,65.953,23.233,"O","Class1",46.811,"X",52,6.069,32
11.127,22,88.844,78.656,23.444,"O","Class1",49.202,"Z",49,8.618,50
11.903,27,81.751,70.733,21.757,"O","Class1",48.71,"S",58,7.539,28
16.783,19,83.797,71.675,24.129,"Z","Class1",27.027,"Y",56,7.066,34
6.397,22,94.304,71.327,21.739,"Z","Class1",32.238,"R",36,8.382,46
17.247,25,84.97,73.412,21.378,"K","Class1",58.15,"X",44,6.171,28
77.582,69,57.835,79.646,51.224,"A","Class2",54.079,"D",84,31.499,88
20.774,29,86.611,85.495,23.9,"Z","Class1",50.169,"Y",43,8.397,27
21.76,27,87.374,NA,23.26,"K","Class1",39.614,"S",40,7.798,37
87.761,66,28.192,71.541,63.917,"B","Class2",55.208,"Z",86,55.776,89
8.018,30,88.397,69.562,23.024,"K","Class1",54.608,"S",58,8.235,46
86.716,67,57.464,82.593,50.753,"T","Class2",77.591,"T",76,45.062,90
20.121,21,81.773,79.609,23.178,"J","Class1",58.615,"R",40,7.851,34
14.078,22,81.918,88.445,26.208,"Z","Class1",57.098,"S",33,8.045,28
69.166,69,71.832,79.179,36.749,"B","Class2",80.786,"Z",76,50.595,81
74.075,69,58.306,76.841,70.91,"I","Class2",82.918,"Z",82,65.973,82
10.65,29,89.555,83.022,23.218,"O","Class1",51.545,"S",57,7.445,40
10.428,29,85.34,71.078,22.025,"Z","Class1",42.037,"R",53,7.862,44
55.285,68,44.6,72.795,55.739,"I","Class2",78.681,"Z",56,50.968,83
87.162,66,37.687,66.096,54.754,"K","Class2",99.178,"Z",67,27.039,88
74.202,69,60.111,66.281,NA,"T","Class2",91.275,"Z",89,41.378,86
10.281,20,83.24,78.633,22.358,"Z","Class1",50.134,"X",48,8.503,43
72.415,68,53.88,73.153,61.801,"B","Class2",62.388,"S",66,39.637,84
46.834,67,49.29,78.088,46.04,"A","Class2",69.655,"T",63,22.878,85
78.475,69,43.327,70.291,53.347,"K","Class2",82.71,"T",84,62.585,86
11.703,28,78.546,72.923,21.52,"Z","Class1",53.501,"Y",37,7.649,46
2.368,18,85.148,79.586,23.466,"J","Class1",60.265,"S",51,7.589,49
15.46,27,90.207,87.19,22.954,"Z","Class1",47.056,"S",54,7.704,48
64.113,66,81.617,77.039,34.478,"B","Class2",61.094,"D",69,42.546,87
57.255,68,54.553,75.544,60.279,"K","Class2",64.94,"S",80,54.411,86
80.117,67,60.874,68.788,59.492,"T","Class2",58.014,"D",74,62.108,89
10.026,29,94.345,72.693,24.102,"O","Class1",35.652,"R",51,7.258,44
53.089,69,65.588,71.784,31.453,"K","Class2",86.729,"S",97,58.949,90
77.217,66,77.435,70.146,51.993,"K","Class2",96.541,"Z",75,60.349,81
14.487,24,90.678,75.54,21.954,"O","Class1",27.208,"Z",43,6.014,28
9.598,30,90.538,84.82,23.762,"O","Class1",30.351,"Y",58,6.241,31
14.045,18,90.818,81.484,23.11,"Z","Class1",37.677,"Y",43,6.243,32
10.157,27,79.225,76.47,24.67,"O","Class1",44.136,"R",46,7.89,33
55.516,66,57.195,74.483,53.737,"I","Class2",84.623,"T",83,22.645,89
70.818,67,45.629,81.316,47.011,"T","Class2",81.314,"S",65,54.91,84
58.305,68,56.741,68.375,35.279,"A","Class2",89.023,"Z",72,54.29,85
8.767,26,84.912,74.58,22.585,"E","Class1",49.181,"Z",39,8.099,47
16.31,20,92.888,71.622,21.447,"E","Class1",30.515,"R",37,6.882,29
5.544,30,83.651,73.489,22.818,"E","Class1",46.862,"S",42,6.357,34
12.826,25,79.941,80.033,23.823,"E","Class1",43.347,"X",41,7.218,39
10.07,27,87.799,77.564,23.257,"K","Class1",40.304,"R",35,6.445,47
71.504,66,88.924,76.527,46.679,"T","Class2",83.177,"D",57,16.598,87
15.698,23,92.816,85.468,22.239,"E","Class1",52.798,"Y",56,7.134,43
9.349,30,80.018,69.276,20.532,"E","Class1",49.082,"S",45,8.411,35
60.506,69,76.99,81.826,44.486,"T","Class2",57.349,"T",77,19.885,81
14.754,25,94.523,83.676,22.017,"Z","Class1",53.465,"Z",39,8.727,27
11.758,21,87.274,78.349,23.607,"K","Class1",32.745,"Z",42,6.948,46
18.706,23,101.768,75.307,NA,"E","Class1",25.866,"R",49,6.699,27
15.4,17,82.462,67.927,24.132,"E","Class1",42.676,"Z",37,7.653,40
69.161,69,72.246,73.822,35.303,"T","Class2",53.22,"D",56,21.556,82
17.533,22,82.851,68.828,24.061,"O","Class1",59.078,"S",38,7.199,50
12.523,27,100.046,87.244,21.72,"Z","Class1",53.545,"R",44,8.98,47
81.344,67,55.9,68.077,58.898,"B","Class2",57.657,"D",65,45.017,91
7.279,21,88.031,87.226,25.157,"O","Class1",43.304,"Y",58,6.289,40
12.348,20,90.685,67.689,23.758,"E","Class1",45.015,"R",56,6.736,49
73.871,68,59.171,71.118,46.7,"B","Class2",85.492,"D",84,20.877,90
75.159,69,45.443,83.108,59.845,"T","Class2",52.142,"S",97,41.531,91
17.184,30,90.662,68.111,21.231,"J","Class1",55.019,"Z",38,7.942,35
76.346,67,57.341,72.041,38.95,"I","Class2",52.838,"Z",79,17.939,84
10.663,22,91.268,86.515,22.783,"O","Class1",55.355,"X",52,6.828,49
76.081,66,72.384,66.309,52.486,"A","Class2",77.733,"D",60,39.562,84
8.759,18,83.54,70.067,21.725,"O","Class1",26.219,"Z",43,6.782,39
57.983,66,71.531,NA,68.421,"T","Class2",66.054,"W",72,54.734,90
62.28,67,45.035,73.589,40.975,"B","Class2",97.528,"D",95,60.151,90
71.917,69,59.215,83.233,65.502,"I","Class2",66.451,"W",97,16.442,88
67.374,69,49.294,77.001,61.093,"T","Class2",76.155,"S",56,35.955,84
10.446,20,96.04,87.413,21.871,"K","Class1",34.033,"Y",33,8.533,47
11.445,29,91.585,74.155,24.281,"O","Class1",62.318,"Z",34,7.524,27
99.511,69,33.088,77.53,42.776,"B","Class2",85.464,"W",92,40.001,84
6.812,30,82.388,78.37,24.21,"J","Class1",48.513,"R",33,8.645,33
8.853,26,95.161,79.56,23.422,"K","Class1",60.577,"S",39,7.056,39
84.009,69,44.853,65.534,37.236,"A","Class2",83.803,"Z",86,39.009,84
85.28,67,37.406,72.621,47.962,"A","Class2",89.214,"D",76,56.059,86
76.296,66,60.627,70.491,65.375,"I","Class2",74.838,"T",87,50.142,81
81.901,66,61.69,66.469,50.263,"B","Class2",81.213,"D",77,20.372,90
39.843,66,59.441,82.51,47.976,"T","Class2",62.149,"W",73,37.708,90
75.167,66,55.88,72.534,74.653,"I","Class2",62.912,"W",97,64.626,85
12.12,19,89.676,77.616,23.595,"E","Class1",62.799,"Y",35,8.313,34
71.902,66,81.824,NA,43.479,"I","Class2",90.343,"W",94,67.977,85
22.466,20,80.729,81.446,25.076,"O","Class1",25.153,"Y",36,6.591,36
76.876,67,55.083,84.317,41.845,"K","Class2",97.722,"W",78,21.316,81
48.335,69,51.883,83.326,50.369,"A","Class2",97.621,"Z",81,39,91
63.513,68,49.363,77.767,50.703,"I","Class2",79.756,"Z",67,29.702,85
11.931,24,92.282,73.761,22.888,"J","Class1",47.461,"X",44,8.104,36
81.49,67,89.693,76.496,52.813,"B","Class2",56.4,"W",60,23.947,87
75.215,67,52.396,73.735,42.199,"K","Class2",55.437,"T",91,27.204,91
67.745,66,49.109,66.627,53.984,"I","Class2",89.048,"W",85,57.079,82
12.003,22,89.783,77.775,22.407,"O","Class1",42.109,"S",58,8.113,33
22.385,20,94.257,NA,NA,"Z","Class1",58.727,"R",43,6.873,48
81.143,68,43.405,82.345,58.725,"K","Class2",74.625,"T",56,20.627,83
48.14,66,69.438,81.577,58.553,"I","Class2",63.671,"W",56,58.13,90
55.778,66,59.257,83.439,63.437,"A","Class2",63.593,"Z",91,22.137,88
12.363,29,92.873,88.802,22.963,"K","Class1",39.315,"S",40,8.097,49
10.801,17,82.929,69.874,23.459,"J","Class1",51.765,"S",36,8.401,45
15.908,21,93.915,66.887,21.851,"O","Class1",45.256,"Y",33,8.667,30
17.685,22,88.947,85.891,24.828,"E","Class1",58.241,"Y",51,8.778,41
76.063,68,38.243,75.563,44.931,"A","Class2",80.72,"Z",80,35.289,86
87.355,69,77.491,72.579,24.965,"B","Class2",61.645,"T",93,31.419,85
70.614,69,88.726,81.906,54.381,"B","Class2",69.541,"T",68,41.105,91
109.925,69,39.873,NA,53.206,"A","Class2",79.007,"W",82,23.274,84
53.335,69,65.394,75.213,43.836,"A","Class2",67.772,"S",63,22.444,82
16.868,25,82.984,NA,23.046,"J","Class1",24.227,"S",54,7.752,30
14.859,27,84.248,79.179,21.442,"J","Class1",45.067,"S",33,8.02,44
11.569,24,92.126,78.475,22.087,"O","Class1",45.448,"Z",43,7.739,47
61.693,69,57.468,75.677,58.652,"K","Class2",85.201,"D",65,23.117,82
1.956,23,85.539,85.573,25.53,"E","Class1",29.689,"X",39,7.816,40
28.833,23,89.687,85.336,22.492,"Z","Class1",29.562,"Z",44,8.009,32
13.752,22,89.653,78.422,21.061,"Z","Class1",58.873,"Y",53,7.803,27
14.633,21,91.233,78.166,22.667,"J","Class1",52.33,"Z",46,6.584,40
54.776,68,36.21,72.84,57.803,"K","Class2",74.479,"S",62,34.295,91
7.709,26,81.86,85.319,23.907,"J","Class1",56.783,"Z",37,8.777,29
68.476,68,57.257,69.407,46.609,"B","Class2",80.043,"W",76,60.224,87
6.273,28,93.685,NA,23.086,"O","Class1",29.816,"Z",49,8.888,36
12.227,23,82.44,84.867,23.859,"J","Class1",35.739,"Y",51,7.605,35
70.828,68,53.828,68.506,63.932,"I","Class2",81.789,"Z",75,23.056,88
98.011,67,58.696,69.866,35.659,"K","Class2",90.46,"W",71,49.037,84
82.822,67,27.54,73.628,57.952,"I","Class2",65.021,"Z",88,60.982,91
10.921,27,79.322,70.113,22.626,"K","Class1",27.659,"Y",40,8.456,41
49.284,67,75.482,66.087,47.294,"B","Class2",69.253,"D",60,57.383,85
10.215,18,92.007,76.685,21.822,"E","Class1",35.586,"S",52,7.064,32
11.402,18,86.579,79.979,23.896,"E","Class1",34.705,"S",40,7.935,32
61.934,68,40.089,65.164,26.082,"K","Class2",59.632,"D",67,35.548,82
16.026,22,89.619,88.74,21.693,"E","Class1",29.19,"Z",55,6.558,47
17.736,19,91.179,75.724,21.764,"Z","Class1",44.624,"Y",47,7.741,44
70.917,66,51.01,77.79,52.418,"B","Class2",51.056,"W",57,66.801,82
78.503,68,43.669,81.159,41.623,"T","Class2",68.195,"Z",95,44.22,89
51.517,68,47.635,77.05,56.906,"B","Class2",57.645,"Z",56,51.471,85
71.097,67,44.596,74.084,37.478,"T","Class2",68.538,"S",69,48.079,88
84.624,66,55.966,74.997,50.305,"B","Class2",69.113,"S",57,36.86,91
8.748,19,90.635,71.915,22.673,"K","Class1",34.338,"Y",39,7.356,36
73.607,69,37.192,67.549,68.213,"I","Class2",51.539,"D",92,39.349,91
70.718,66,53.955,67.45,48.8,"T","Class2",80.51,"D",91,44.892,91
18.133,19,86.506,79.927,22.557,"K","Class1",34.554,"S",36,8.797,47
14.02,22,87.876,75.033,23.308,"Z","Class1",35.379,"Z",46,6.83,45
61.6,69,45.439,80.431,57.983,"B","Class2",91.319,"T",81,44.723,84
12.256,24,92.328,73.49,25.362,"Z","Class1",35.656,"R",57,6.427,35
16.827,30,90.312,65.306,22.607,"J","Class1",27.473,"X",46,6.401,39
56.738,67,64.81,70.615,33.789,"T","Class2",63.553,"W",97,25.694,81
61.3,68,39.772,82.489,20.588,"I","Class2",60.661,"W",97,39.473,81
18.414,23,87.476,73.751,22.839,"E","Class1",30.268,"Z",48,7.002,35
61.965,69,43.778,72,57.898,"T","Class2",73.406,"S",66,33.267,84
73.32,69,54.515,81.365,68.717,"K","Class2",84.051,"S",74,20.493,83
57.345,66,65.402,82.222,NA,"I","Class2",53.812,"T",70,59.73,89
10.092,21,86.434,88.412,21.525,"O","Class1",44.136,"S",36,6.242,48
73.577,68,56.89,84.644,NA,"I","Class2",91.129,"D",97,41.392,90
10.904,21,85.216,71.322,24.298,"O","Class1",50.396,"Y",47,6.906,29
73.86,67,45.797,73.649,57.55,"T","Class2",55.319,"W",91,40.166,90
4.953,28,96.992,65.132,22.815,"Z","Class1",33.471,"Y",46,7.871,37
8.166,23,82.433,70.312,22.163,"E","Class1",35.313,"R",54,6.757,50
13.522,29,85.434,70.48,23.545,"O","Class1",53.718,"Y",45,6.581,50
3.354,24,80.159,76.87,21.756,"O","Class1",42.657,"R",41,8.006,32
68.085,66,82.819,74.223,50.377,"T","Class2",65.89,"D",66,41.549,86
17.153,20,88.365,82.83,22.551,"K","Class1",24.057,"S",49,8.281,28
52.632,66,50.629,70.95,35.042,"T","Class2",98.683,"W",80,43.96,82
15.872,26,102.807,85.993,21.982,"E","Class1",27.265,"Z",34,7.29,34
8.592,30,87.265,84.412,20.789,"E","Class1",37.495,"R",35,6.701,27
61.879,68,61.347,80.318,37.452,"K","Class2",92.549,"T",87,33.8,84
79.175,67,46.775,71.993,27.603,"I","Class2",59.522,"D",82,42.418,89
76.249,67,50.894,71.141,60.931,"A","Class2",99.175,"T",67,31.149,88
66.112,66,58.237,68.496,87.86,"B","Class2",97.927,"T",61,26.6,89
11.734,29,89.804,70.06,21.899,"J","Class1",30.111,"R",34,6.333,39
22.471,20,89.291,73.856,24.059,"K","Class1",59.459,"Y",54,8.501,31
2.92,26,78.663,86.173,22.511,"E","Class1",57.521,"X",37,7.991,36
66.668,69,51.337,65.135,28.385,"K","Class2",72.459,"T",57,43.979,88
82.149,69,53.94,71.577,48.857,"B","Class2",58.038,"Z",60,18.848,87
58.618,69,52.686,70.536,42.426,"K","Class2",67.89,"Z",89,57.04,84
11.671,25,74.789,68.701,22.968,"J","Class1",34.4,"Z",43,7.243,30
57.46,67,68.533,72.339,49.154,"B","Class2",64.473,"S",80,21.597,85
1.237,25,92.194,66.796,24.703,"J","Class1",52.199,"X",55,7.884,36
19.023,18,86.076,74.53,21.997,"K","Class1",43.266,"X",55,7.283,42
68.103,67,12.466,82.245,50.973,"I","Class2",51.775,"D",67,33.002,91
59.503,69,55.117,84.529,49.301,"K","Class2",74.032,"W",62,44.98,81
23.417,25,88.162,76.353,22.792,"E","Class1",50.128,"Y",34,7.92,40
28.033,22,87.181,72.699,23.303,"E","Class1",29.866,"Y",35,8.449,36
53.502,68,50.674,74.203,62.177,"B","Class2",75.381,"W",85,18.608,81
54.125,67,49.605,69.107,57.432,"B","Class2",71.518,"T",76,27.72,91
73.218,67,29.547,76.131,52.695,"B","Class2",58.023,"W",80,45.478,86
14.66,26,86.383,70.711,22.145,"O","Class1",29.173,"S",55,6.749,44
13.149,26,92.131,72.52,25.651,"K","Class1",59.424,"R",43,8.054,39
11.423,24,92.264,71.715,22.837,"K","Class1",62.682,"R",55,6.443,45
90.235,66,59.214,82.93,49.975,"T","Class2",92.231,"D",58,35.074,85
7.397,25,85.171,72.604,21.053,"E","Class1",29.079,"Z",53,6.215,35
13.231,22,88.001,67.439,NA,"J","Class1",47.266,"S",34,8.518,29
23.235,23,94.742,75.717,23.298,"K","Class1",30.747,"Z",43,7.895,28
13.427,28,85.725,76.502,21.033,"O","Class1",37.298,"Y",37,7.749,29
14.511,20,89.6,75.139,22.983,"K","Class1",33.978,"S",49,7.731,49
2.038,22,85.578,82.4,22.89,"O","Class1",56.634,"S",55,7.402,42
13.179,21,89.013,66.052,21.789,"K","Class1",38.311,"R",45,6.523,50
10.109,23,89.258,79.969,23.148,"J","Class1",32.279,"S",48,8.676,49
14.308,29,85.796,74.759,22.948,"Z","Class1",28.397,"Z",41,8.333,50
8.443,18,78.742,88.44,22.943,"O","Class1",55.022,"R",38,8.155,42
2.153,30,95.347,82.058,22.931,"Z","Class1",52.364,"R",52,7.725,28
62.023,68,64.152,84.241,59.153,"T","Class2",92.171,"D",70,33.735,89
78.93,68,75.346,70.686,50.799,"K","Class2",87.059,"W",77,48.165,82
68.27,69,48.888,82.061,52.418,"I","Class2",93.575,"D",84,31.144,81
9.101,22,83.177,72.993,22.599,"E","Class1",37.69,"S",44,7.733,30
63.206,69,46.448,78.389,63.477,"B","Class2",51.97,"S",81,57.152,82
11.595,23,91.572,81.252,22.127,"J","Class1",60.073,"X",36,8.731,38
12.134,17,94.44,75.349,24.193,"E","Class1",25.469,"R",40,8.004,47
70.461,66,20.617,80.728,NA,"I","Class2",81.986,"W",72,60.33,90
71.867,67,30.488,NA,35.896,"B","Class2",84.109,"T",87,40.475,88
13.285,30,78.246,NA,23.845,"E","Class1",35.558,"X",40,6.111,44
17.593,25,90.768,66.505,22.958,"J","Class1",51.385,"R",53,8.224,27
71.018,69,79.166,67.953,51.851,"I","Class2",98.836,"S",93,46.281,86
8.497,29,88.591,NA,20.997,"O","Class1",42.158,"S",36,8.252,30
66.156,68,50.126,65.937,38.881,"K","Class2",68.776,"S",80,28.914,90
13.529,30,99.722,88.054,24.236,"K","Class1",30.516,"Z",34,6.889,34
14.421,17,93.084,87.961,22.167,"Z","Class1",59.466,"S",43,6.605,40
18.597,28,82.306,68.944,24.276,"O","Class1",37.904,"Z",37,8.967,32
8.525,25,99.718,72.444,25.494,"K","Class1",47.439,"Z",44,8.855,32
60.653,68,59.165,80.979,46.468,"T","Class2",71.994,"T",76,32.056,82
64.756,67,61.204,78.382,38.341,"K","Class2",76.074,"Z",70,54.042,87
21.753,29,86.425,88.916,21.888,"Z","Class1",26.014,"S",43,8.841,38
11.115,22,83.608,87.34,24.446,"Z","Class1",60.913,"X",55,7.86,46
76.1,69,57.208,83.422,38.304,"B","Class2",57.008,"T",60,38.987,87
22.011,17,87.274,81.041,22.935,"K","Class1",59.641,"Z",46,7.827,39
69.021,66,47.123,65.255,49.807,"A","Class2",55.279,"S",88,23.656,91
65.676,69,55.404,NA,23.824,"B","Class2",90.827,"D",60,57.091,84
56.715,69,30.768,70.968,36.723,"I","Class2",65.398,"W",58,31.237,84
10.645,27,79.076,73.795,23.903,"O","Class1",50.565,"Z",54,6.576,30
67.239,66,85.075,71.231,53.18,"K","Class2",66.44,"S",69,59.894,88
68.276,66,71.112,71.555,64.562,"B","Class2",97.689,"S",75,61.172,91
10.564,26,95.65,74.12,22.249,"K","Class1",42.95,"Y",52,8.506,29
19.705,20,92.865,72.972,25.102,"J","Class1",52.743,"Z",50,8.541,42
13.876,23,88.232,77.58,23.975,"Z","Class1",43.034,"R",37,7.566,29
64.996,66,50.021,76.303,50.114,"B","Class2",61.604,"S",63,61.814,87
12.951,21,76.399,68.031,22.831,"O","Class1",61.855,"Z",42,7.178,28
48.69,68,29.579,73.848,40.021,"T","Class2",82.057,"S",87,36.022,86
1.315,28,92.427,87.993,23.722,"K","Class1",52.944,"R",34,6.762,36
23.187,29,93.43,85.24,24.654,"Z","Class1",42.612,"X",43,7.94,28
47.174,66,56.072,76.923,60.278,"K","Class2",79.342,"S",89,22.574,91
17.516,24,87.27,66.072,24.398,"K","Class1",59.374,"S",46,6.442,36
83.827,68,71.663,78.822,43.05,"I","Class2",67.355,"D",96,18.162,84
11.016,22,93.458,84.042,22.474,"K","Class1",51.181,"Y",35,7.874,46
20.482,25,81.726,70.461,NA,"Z","Class1",46.402,"Z",58,7.584,37
11.917,24,89.253,85.364,24.164,"E","Class1",38.379,"Z",43,8.56,45
4.871,27,91.906,66.456,24.229,"Z","Class1",56.643,"Y",49,7.482,48
11.393,17,91.933,81.885,22.689,"Z","Class1",58.865,"X",55,7.254,43
19.301,24,81.921,69.269,24.269,"E","Class1",61.67,"Y",47,6.386,28
12.058,23,89.046,79.862,21.738,"Z","Class1",37.464,"S",43,8.321,31
6.755,27,94.12,79.108,24.301,"E","Class1",50.466,"Y",43,7.926,39
13.197,18,93.362,78.208,21.405,"Z","Class1",38.507,"S",36,7.135,43
10.78,29,89.883,87.186,22.377,"E","Class1",51.881,"X",47,8.807,44
47.063,67,42.026,72.033,33.678,"T","Class2",62.434,"T",90,39.725,87
88.024,67,50.089,73.093,38.404,"I","Class2",59.802,"D",69,63.404,90
57.938,67,68.759,72.411,55.242,"B","Class2",85.837,"Z",87,49.762,88
4.802,18,81.056,84.754,23.25,"O","Class1",45.61,"Z",35,6.273,40
28.098,20,86.905,77.473,21.121,"E","Class1",55.05,"Y",44,8.294,31
12.881,17,85.845,77.222,22.604,"O","Class1",42.672,"X",35,8.58,31
76.7,68,59.863,71.123,37.786,"T","Class2",85.684,"D",93,60.47,90
9.624,29,82.465,78.688,23.93,"K","Class1",27.433,"X",43,8.827,35
62.452,69,42.457,NA,50.748,"T","Class2",86.493,"S",65,60.029,87
67.852,67,56.506,74.286,62.137,"K","Class2",73.801,"D",67,24.064,88
77.412,67,62.155,75.04,46.327,"K","Class2",86.963,"D",80,57.799,87
61.852,67,36.462,70.819,42.747,"T","Class2",64.766,"T",92,29.023,83
16.808,27,88.808,67.265,23.338,"Z","Class1",50.518,"Y",49,6.229,43
63.673,69,36.285,66.054,51.608,"A","Class2",62.961,"W",94,26.549,90
11.538,25,82.493,83.534,22.68,"O","Class1",27.504,"S",44,8.816,30
70.934,69,30.952,69.99,NA,"K","Class2",87.436,"S",66,59.754,87
75.281,66,62.005,77.838,42.307,"B","Class2",52.854,"W",59,19.345,81
44.671,66,56.793,84.309,71.133,"A","Class2",64.094,"D",97,30.913,90
13.841,25,87.546,69.485,21.499,"E","Class1",24.679,"X",40,8.429,38
12.231,23,89.188,83.202,24.332,"K","Class1",27.097,"R",37,8.98,42
6.917,25,89.868,67.337,NA,"K","Class1",51.523,"X",38,7.628,49
48.999,69,75.88,79.146,43.771,"B","Class2",83.816,"W",80,35.871,86
9.125,18,76.706,80.106,23.813,"Z","Class1",44.439,"X",34,7.682,50
14.179,24,87.41,74.1,23.23,"J","Class1",45.986,"Z",33,8.333,33
81.459,69,63.62,82.678,49.913,"I","Class2",61.087,"S",68,51.437,88
13.92,17,87.126,78.396,25.145,"K","Class1",54.543,"S",50,8.215,40
15.032,29,89.541,87.181,20.797,"Z","Class1",33.635,"R",53,6.187,41
23.44,19,91.566,74.472,21.014,"J","Class1",53.896,"S",33,7.509,50
61.839,69,35.885,68.806,63.813,"T","Class2",67.224,"T",91,33.574,81
76.997,66,55.202,71.703,60.056,"A","Class2",62.714,"S",86,17.867,90
22.387,18,87.908,79.39,23.263,"J","Class1",60.247,"Y",38,7.55,34
8.503,20,89.921,75.062,21.093,"J","Class1",59.102,"Z",43,7.579,41
16.771,20,89.869,71.837,NA,"K","Class1",31.288,"Y",57,7.083,34
14.712,25,94.422,71.39,21.059,"E","Class1",40.697,"X",57,6.112,46
12.974,20,98.398,66.346,23.479,"O","Class1",54.662,"Z",46,7.007,37
84.737,67,43.121,65.102,73.383,"A","Class2",53.543,"Z",79,18.002,84
4.285,18,92.456,75.891,NA,"K","Class1",31.989,"Z",50,6.836,44
81.71,66,43.155,74.133,55.497,"B","Class2",90.546,"T",90,60.817,83
48.771,67,68.085,80.678,71.233,"K","Class2",69.352,"S",80,33.927,81
83.688,69,63.467,65.471,53.417,"B","Class2",71.095,"S",74,22.621,87
23.003,27,85.363,76.151,22.88,"O","Class1",24.226,"R",37,6.753,47
53.311,68,50.234,73.619,50.055,"A","Class2",63.049,"Z",60,59.745,90
65.301,66,72.648,NA,43.693,"I","Class2",98.424,"D",65,34.691,90
84.882,68,37.595,66.635,51.147,"I","Class2",76.168,"D",88,38.95,86
17.172,24,83.232,87.539,22.358,"O","Class1",59.316,"Z",42,8.451,47
17.569,17,88.514,72.979,23.676,"O","Class1",51.886,"X",57,6.936,27
20.351,22,96.651,68.017,22.766,"K","Class1",33.514,"Y",33,7.273,42
68.499,67,78.354,71.538,45.539,"T","Class2",84.32,"W",69,18.215,91
18.383,17,91.312,NA,22.42,"K","Class1",54.182,"S",53,8.39,49
57.175,69,83.372,71.902,54.272,"K","Class2",95.969,"Z",86,43.241,87
69.569,69,50.593,82.2,49.592,"T","Class2",67.302,"D",74,20.743,82
71.666,68,52.186,76.845,48.447,"A","Class2",61.102,"T",78,28.862,91
83.805,67,16.171,84.812,49.775,"T","Class2",73.183,"D",62,38.322,88
13.77,30,89.599,87.879,22.752,"K","Class1",62.865,"X",39,7.595,42
62.266,69,27.48,72.556,79.258,"K","Class2",91.011,"T",71,44.66,81
7.489,22,86.294,69.671,22.371,"O","Class1",54.13,"S",50,6.48,38
-2.185,26,89.689,71.912,23.329,"J","Class1",43.892,"Z",53,8.69,27
7.843,30,90.143,79.833,22.534,"J","Class1",45.884,"S",43,7.102,44
83.595,66,43.424,67.46,67.513,"I","Class2",63.924,"W",92,41.469,82
81.732,67,58.743,79.378,34.872,"I","Class2",51.457,"T",59,18.649,90
12.726,19,83.039,69.333,23.451,"Z","Class1",43.941,"S",42,6.263,29
6.082,26,83.439,85.237,22.809,"Z","Class1",62.924,"S",35,7.02,40
6.224,20,80.539,82.737,23.251,"E","Class1",25.195,"X",39,7.777,38
80.846,66,54.312,66.027,41.447,"T","Class2",88.768,"D",61,51.051,86
76.422,67,72.752,81.129,48.659,"B","Class2",76.048,"S",92,38.252,85
8.101,24,89.727,74.091,20.281,"J","Class1",36.89,"Y",51,8.641,37
59.173,69,44.267,69.49,49.004,"I","Class2",78.967,"D",92,65.348,83
56.296,68,54.52,76.65,36.013,"A","Class2",86.312,"S",66,59.524,91
19.678,26,88.23,80.656,23.041,"Z","Class1",46.19,"X",50,6.234,49
7.218,17,82.649,80.802,22.662,"O","Class1",57.573,"S",38,6.945,33
73.068,68,67.826,78.067,71.215,"K","Class2",57.462,"T",94,57.424,90
19.816,21,81.764,79.121,20.37,"O","Class1",59.768,"R",36,7.245,28
83.261,69,65.937,NA,54.997,"T","Class2",73.806,"W",86,25.016,90
59.361,67,72.643,83.044,NA,"A","Class2",64.951,"S",56,40.04,83
9.44,22,93.388,65.117,19.77,"Z","Class1",29.796,"S",51,6.22,43
64.863,67,75.571,68.563,55.499,"B","Class2",65.239,"T",84,51.248,85
17.758,26,79.113,78.698,24.747,"Z","Class1",58.034,"S",39,8.283,36
21.723,25,87.1,77.143,24.338,"E","Class1",52.237,"X",54,8.932,30
62.948,69,72.763,NA,61.68,"A","Class2",94.79,"Z",58,31.415,82
12.874,25,94.108,72.677,21.802,"K","Class1",45.944,"Y",44,7.029,38
84.043,68,80.871,80.83,52.033,"I","Class2",88.682,"Z",81,60.881,88
50.543,68,64.579,84.202,28.973,"B","Class2",70.332,"Z",58,56.794,84
93.085,66,49.936,65.338,48.588,"A","Class2",53.951,"S",92,58.377,82
