"B1","B2","B3","B4","B5","B6","B7","Output1","B8","B9","B10","B11"
35.071,49.632,30.275,60,72,69,40.668,"Class1",80.479,"R","I",92.474
73.458,NA,90.541,28,78,41,29.218,"Class3",35.921,"J","Q",99.48
44.639,75.318,71.996,10,20,45,48.256,"Class2",32.186,"E","P",69.204
34.343,NA,45.755,38,68,37,67.706,"Class4",76.681,"M","Y",50.582
40.716,59.112,89.71,21,69,55,43.313,"Class3",32.425,"F","G",57.153
55.545,46.333,37.602,83,39,65,20.554,"Class5",25.403,"Y","T",90.421
73.194,30.636,45.671,82,38,74,25.4,"Class5",30.543,"C","I",77.484
30.336,57.621,87.676,36,70,56,48.863,"Class3",38.758,"V","O",71.357
32.242,70.769,46.761,31,70,45,56.448,"Class4",76.421,"P","H",54.341
53.696,48.453,47.99,84,38,70,12.866,"Class5",41.442,"R","T",76.511
27.836,68.591,40.775,11,24,39,32.531,"Class2",51.955,"R","T",69.632
58.595,53.84,81.245,83,43,69,51.381,"Class5",38.06,"F","I",89.175
58.076,20.755,74.75,84,38,76,26.411,"Class5",29.686,"R","I",74.736
36.982,49.685,29.934,78,94,77,35.357,"Class1",83.554,"W","E",89.067
51.79,62.096,23.04,9,12,41,38.855,"Class2",24.983,"E","T",54.016
45.501,49.69,29.476,79,77,52,48.181,"Class1",85.147,"W","I",94.065
38.808,24.987,88.499,41,71,38,33.027,"Class3",31.171,"F","Q",87.957
32.826,49.674,29.358,86,95,39,41.047,"Class1",74.181,"M","I",90.108
30.04,77.49,34.341,10,32,67,53.616,"Class4",76.745,"M","H",48.845
33.833,70.857,44.443,9,34,43,31.997,"Class2",23.451,"E","N",64.067
70.317,24.026,56.459,83,38,71,26.911,"Class5",34.838,"R","T",77.818
36.482,81.586,45.665,11,20,69,77.681,"Class4",76.566,"E","Y",58.132
38.774,69.576,30.202,13,6,43,41.768,"Class2",54.159,"Q","C",72.187
59.864,40.047,89.251,27,61,34,42.818,"Class3",35.157,"J","O",70.707
34.437,79.198,41.628,10,32,57,60.659,"Class4",76.406,"E","M",47.573
45.479,74.74,86.236,7,5,50,49.87,"Class2",39.392,"B","N",61.086
44.456,58.184,65.318,12,19,45,35.626,"Class2",39.058,"E","N",61.403
54.659,27.643,53.673,83,45,69,64.475,"Class5",48.751,"F","D",77.727
18.584,71.184,71.068,13,8,50,53.433,"Class2",47.495,"Q","P",64.856
58.382,NA,90.651,34,77,48,41.988,"Class3",39.026,"C","O",68.67
82.994,28.009,90.801,36,69,47,29.729,"Class3",31.023,"F","Q",51.268
NA,33.859,91.848,89,75,53,56.925,"Class3",45.526,"F","V",57.998
67.806,48.18,86.018,26,83,68,37.981,"Class3",47.677,"A","G",48.191
28.969,70.278,35.972,9,40,43,62.752,"Class4",76.916,"P","H",53.511
63.335,52.548,46.683,84,40,65,6.565,"Class5",21.378,"C","T",69.52
31.375,80.208,36.377,12,52,31,67.972,"Class4",76.36,"P","Q",53.52
56.897,NA,59.21,83,38,80,63.546,"Class5",49.36,"C","Y",95.833
31.053,75.163,17.211,16,66,32,62.508,"Class4",76.801,"R","Q",52.629
109.284,70.179,89.651,89,80,50,58.506,"Class3",33.228,"C","V",61.819
56.449,44.41,40.555,82,39,76,12.992,"Class5",40.811,"F","J",72.701
48.421,58.825,88.338,12,12,50,51.663,"Class2",50.11,"E","T",68.578
36.305,71.147,44.142,17,17,43,57.691,"Class4",76.879,"M","I",56.228
34.447,74.679,8.21,17,79,51,51.383,"Class4",76.362,"M","H",57.072
36.632,48.068,29.741,65,73,73,39.02,"Class1",96.879,"R","I",91.192
48.376,5.765,44.006,83,37,80,44.999,"Class5",50.637,"R","Y",84.094
40.81,48.77,28.982,72,73,83,50.701,"Class1",97.475,"M","P",88.778
36.356,NA,32.041,83,45,65,40.346,"Class5",26.886,"F","T",68.571
27.468,15.826,87.082,44,74,59,25.089,"Class3",57.214,"A","O",95.228
41.392,4.89,86.553,83,77,50,31.14,"Class3",31.046,"J","Q",41.778
44.333,47.04,29.909,92,72,88,38.472,"Class1",77.403,"M","P",92.097
35.34,81.158,25.653,22,49,32,74.152,"Class4",76.852,"R","I",51.16
31.043,77.539,49.921,38,28,38,61.32,"Class4",76.141,"M","Y",56.966
67.489,41.073,39.609,84,48,68,4.149,"Class5",22.522,"R","T",75.741
49.15,74.063,35.798,5,30,51,45.328,"Class2",32.294,"B","C",67.618
37.622,71.428,86.641,4,29,42,47.947,"Class2",31.453,"R","C",61.036
73.675,5.449,56.54,83,37,79,42.794,"Class5",40.713,"R","D",83.495
57.483,19.33,48.976,82,37,70,40.985,"Class5",36.991,"R","Y",75.058
39.576,47.327,29.654,82,71,73,50.988,"Class1",86.086,"W","E",97.044
108.892,41.805,89.315,42,67,35,37.383,"Class3",47.306,"F","Q",56.407
NA,48.863,29.042,60,71,40,44.252,"Class1",97.811,"K","E",97.765
31.363,79.849,30.683,11,86,39,64.963,"Class4",76.759,"E","I",62.714
45.566,64.513,91.105,10,7,39,34.682,"Class2",28.079,"B","C",61.794
35.354,75.459,40.016,37,92,49,76.387,"Class4",77,"R","M",59.096
49.731,24.111,67.093,83,38,75,6.975,"Class5",47.571,"F","I",71.413
30.83,27.381,90.679,22,73,47,25.758,"Class3",38.185,"A","O",83.807
58.713,34.524,64.129,83,43,69,32.182,"Class5",45.196,"Y","T",76.728
41.717,8.628,89.513,58,66,61,54.743,"Class3",38.417,"A","B",54.49
NA,69.558,41.742,16,75,36,66.943,"Class4",76.572,"R","I",61.937
74.533,56.644,66.795,84,42,75,28.706,"Class5",32.052,"G","I",80.1
36.435,73.898,44.777,16,55,49,79.549,"Class4",76.046,"Q","Y",59.661
39.783,73.882,31.202,4,35,47,33.705,"Class2",49.85,"S","C",66.333
31.812,80.308,28.635,32,77,31,65.08,"Class4",76.416,"M","I",53.192
36.47,47.241,29.696,75,99,71,43.805,"Class1",92.682,"K","T",91.268
29.254,74.934,50.675,7,20,62,68.221,"Class4",76.582,"P","Q",55.087
56.262,56.873,83.832,41,71,59,24.665,"Class3",36.653,"F","G",77.526
81.493,NA,48.553,82,35,68,44.328,"Class5",34.752,"Y","Y",81.704
58.281,22.373,90.003,55,71,60,58.072,"Class3",58.984,"F","O",15.3
34.818,71.173,36.271,16,23,38,54.224,"Class4",76.05,"E","Q",58.445
45.012,37.273,89.044,48,76,45,42.053,"Class3",37.251,"A","B",41.683
31.982,78.01,8.242,29,45,39,61.393,"Class4",76.683,"E","H",50.385
64.677,27.27,86.003,63,70,46,39.518,"Class3",56.736,"A","G",50.317
31.477,69.295,54.735,10,16,41,41.902,"Class2",24.848,"B","N",59.231
40.197,47.053,29.798,56,73,65,52.232,"Class1",84.896,"R","I",92.91
34.221,75.691,33.908,15,48,58,55.025,"Class4",76.194,"M","Y",51.389
57.433,39.264,82.672,84,45,73,43.831,"Class5",38.086,"Y","I",81.436
66.588,37.295,58.03,82,41,76,10.999,"Class5",45.189,"R","I",85.095
76.172,52.456,77.523,84,36,67,49.739,"Class5",48.673,"F","J",80.525
37.945,71.017,96.64,13,24,39,50.073,"Class2",34.087,"Q","T",54.462
39.289,68.544,84.122,76,57,57,51.799,"Class3",34.072,"V","Q",83.324
37.036,49.752,29.126,84,100,71,50.745,"Class1",87.523,"W","T",89.509
51.722,4.152,69.596,83,42,79,55.093,"Class5",21.699,"C","D",89.683
31.933,47.718,29.478,62,100,66,42.313,"Class1",95.391,"K","E",87.862
36.158,49.179,30.006,63,88,61,43.174,"Class1",78.829,"O","S",95.018
43.052,NA,28.935,55,92,35,39.756,"Class1",99.355,"K","P",89.819
49.428,15.576,84.054,36,67,33,34.38,"Class3",41.602,"A","O",99.195
50.422,58.83,48.861,7,11,41,36.402,"Class2",51.09,"E","M",59.393
59.425,58.104,86.246,19,82,54,38.032,"Class3",33.455,"J","G",62.593
42.857,47.028,29.78,76,76,91,47.392,"Class1",87.357,"M","E",90.123
38.893,48.714,29.637,58,77,46,46.936,"Class1",95.49,"O","T",95.577
30.396,74.306,68.396,34,31,50,72.518,"Class4",76.741,"R","I",57.153
41.322,71.367,63.156,4,19,39,36.217,"Class2",32.598,"Q","M",54.17
62.889,61.838,85.81,70,59,52,31.767,"Class3",35.635,"J","B",55.355
32.36,70.316,33.135,11,50,65,78.938,"Class4",76.704,"Q","Y",50.727
33.608,61.482,78.968,12,20,51,40.434,"Class2",33.339,"E","N",59.205
35.814,47.212,29.08,73,93,46,37.465,"Class1",97.532,"W","T",83.697
42.062,NA,29.765,66,98,62,40.311,"Class1",94.092,"W","P",88.152
57.502,58.439,129.553,10,28,50,41.886,"Class2",20.898,"S","C",52.806
59.683,70.861,87.398,77,71,49,28.616,"Class3",43.583,"F","V",52.491
39.999,49.445,29.433,83,92,76,44.34,"Class1",93.975,"K","P",91.023
32.969,48.385,29.926,77,92,43,45.38,"Class1",98.844,"M","E",90.242
98.838,52.268,91.003,56,58,70,38.598,"Class3",40.881,"C","V",38.585
47.95,47.535,29.66,90,81,61,47.963,"Class1",87.741,"R","I",89.135
45.957,48.656,29.537,60,97,82,50.721,"Class1",97.457,"O","P",95.624
82.283,50.322,52.715,82,47,67,34.09,"Class5",40.422,"C","I",78.002
42.82,63.727,21.766,10,20,47,31.765,"Class2",39.757,"R","P",56.853
31.508,62.145,38.93,13,4,38,34.756,"Class2",44.691,"S","P",57.162
31.307,71.753,51.565,19,18,39,54.57,"Class4",76.468,"E","I",51.481
91.107,24.071,87.608,25,64,65,34.8,"Class3",50.624,"C","V",82.787
67.179,26.738,56.465,84,46,76,21.446,"Class5",35.585,"F","J",78.039
31.743,69.223,29.929,6,20,72,80.059,"Class4",76.462,"R","M",67.576
39.027,48.585,29.55,57,94,37,36.568,"Class1",90.746,"O","P",90.322
80.914,40.75,39.306,83,48,72,10.804,"Class5",41.288,"Y","D",90.04
65.004,13.291,62.718,84,45,78,19.269,"Class5",26.674,"Y","D",69.32
32.581,29.445,89.189,27,62,47,33.691,"Class3",40.271,"C","O",43.475
36.452,48.157,29.57,69,75,92,47.105,"Class1",97.027,"K","I",89.593
51.101,51.896,88.323,47,65,54,57.036,"Class3",54.399,"A","O",52.166
61.562,46.29,86.28,31,81,45,32.579,"Class3",53.593,"J","B",58.357
62.706,53.152,37.213,84,37,66,7.502,"Class5",31.308,"G","T",84.33
NA,60.645,56.787,5,34,45,31.743,"Class2",49.577,"R","M",68.549
39.001,47.292,29.465,74,75,37,38.238,"Class1",90.326,"M","I",88.568
33.788,72.576,75.499,38,21,48,74.671,"Class4",76.677,"P","M",45.146
40.454,48.904,29.126,77,93,54,41.985,"Class1",79.403,"M","S",87.136
50.134,66.782,86.255,87,79,66,22.493,"Class3",45.133,"V","O",71.224
94.749,70.334,89.475,58,60,59,34.93,"Class3",30.957,"F","O",72.498
39.446,48.552,29.678,62,89,52,42.103,"Class1",87.655,"O","T",94.019
39.514,57.194,58.916,4,26,41,37.545,"Class2",41.634,"S","M",63.019
28.644,70.117,52.979,37,56,67,59.07,"Class4",76.578,"M","I",41.791
33.408,76.558,19.77,17,84,35,75.18,"Class4",76.364,"R","Q",55.424
31.385,80.793,54.859,6,55,60,81.261,"Class4",76.759,"P","H",60.861
33.8,77.223,46.558,6,60,57,77.377,"Class4",76.673,"M","Y",57.776
38.925,NA,29.774,67,83,37,51.948,"Class1",87.547,"R","E",89.283
62.703,NA,67.937,84,40,75,56.419,"Class5",36.88,"Y","Y",76.302
NA,62.228,81.152,4,6,44,42.575,"Class2",49.455,"Q","M",66.694
51.979,NA,48.579,82,45,77,0.955,"Class5",50.256,"Y","Y",75.69
81.095,47.73,92.237,52,69,47,44.641,"Class3",40.991,"A","B",61.108
35.542,47.162,29.032,76,88,84,40.582,"Class1",83.508,"K","E",94.405
41.275,47.031,29.515,86,75,83,47.773,"Class1",93.53,"M","E",88.171
55.991,NA,36.046,84,41,77,14.259,"Class5",47.097,"Y","Y",80.887
32.966,70.95,62.94,6,16,64,68.345,"Class4",76.786,"M","H",47.211
62.2,73.543,83.785,86,77,50,47.352,"Class3",41.913,"J","V",78.881
32.014,47.59,29.543,88,78,78,48.873,"Class1",74.307,"R","P",94.604
27.958,15.878,52.215,83,40,76,19.023,"Class5",27.805,"G","D",70.741
32.607,47.62,29.637,55,93,79,44.97,"Class1",96.863,"M","S",89.432
31.687,74.055,49.587,8,6,39,47.894,"Class2",38.495,"S","N",62.327
63.807,54.452,55.151,84,44,79,43.726,"Class5",40.46,"C","I",82.549
30.475,76.091,30.783,15,73,47,79.737,"Class4",76.93,"Q","M",54.413
42.534,76.063,59.606,11,32,41,34.382,"Class2",39.735,"R","T",62.926
61.221,71.638,89.859,57,68,36,29.712,"Class3",46.696,"F","B",59.878
52.544,54.372,82.923,88,70,66,56.287,"Class3",34.739,"A","B",80.295
37.268,48.949,28.982,77,97,58,40.321,"Class1",75.714,"M","E",94.466
37.102,48.844,29.603,63,90,36,43.393,"Class1",88.741,"K","P",88.264
64.311,25.14,87.007,83,82,67,34.584,"Class3",41.071,"A","G",109.747
43.908,49.092,29.889,73,83,39,43.256,"Class1",93.794,"R","P",87.141
30.712,75.805,62.849,24,96,68,67.012,"Class4",76.667,"R","I",49.101
34.461,69.902,37.935,8,19,47,31.576,"Class2",47.25,"Q","N",67.925
35.065,68.563,73.732,13,22,50,43.262,"Class2",32.746,"S","P",67.124
32.881,72.938,39.392,33,26,58,63.903,"Class4",76.762,"R","Y",60.068
38.153,47.254,29.17,61,90,82,38.624,"Class1",83.493,"K","T",94.194
45.129,73.242,38.151,13,25,41,46.743,"Class2",53.764,"S","P",71.89
32.508,73.231,65.715,35,52,53,53.66,"Class4",76.045,"R","I",58.826
19.822,4.152,82.899,51,70,63,21.646,"Class3",30.663,"C","Q",62.775
66.428,54.22,89.222,26,77,33,22.42,"Class3",56.23,"V","V",33.468
NA,56.655,85.762,46,73,71,48.286,"Class3",51.593,"A","V",40.356
62.93,16.15,59.974,83,48,79,69.233,"Class5",46.097,"G","Y",72.076
34.083,67.207,85.667,11,4,43,32.811,"Class2",23.148,"E","P",65.321
39.32,47.855,29.776,55,99,44,50.564,"Class1",86.018,"O","T",84.931
37.802,79.493,32.664,22,63,63,75.801,"Class4",76.573,"E","Q",49.97
45.044,5.058,50.433,83,48,68,14.557,"Class5",20.691,"G","J",80.189
51.872,39.667,61.395,82,38,67,51.38,"Class5",27.094,"Y","T",78.174
35.026,77.059,64.466,10,32,47,32.297,"Class2",36.325,"S","C",66.305
67.53,28.434,48.224,84,47,78,4.337,"Class5",41.395,"Y","I",84.775
60.134,26.472,53.649,82,43,75,12.106,"Class5",43.368,"G","T",73.887
65.059,6.778,87.276,62,74,61,49.846,"Class3",33.537,"V","Q",59.878
38.497,47.368,29.179,84,99,82,52.919,"Class1",79.15,"K","P",88.073
100.932,68.485,89.078,36,60,42,25.897,"Class3",58.684,"V","O",63.712
83.75,9.285,16.963,84,38,80,64.499,"Class5",34.252,"R","T",85.602
40.636,47.942,29.697,81,95,43,38.992,"Class1",90.87,"K","T",90.373
NA,59.051,87.28,66,68,35,45.791,"Class3",36.109,"C","B",68.55
37.366,47.528,29.751,91,92,93,37.987,"Class1",81.723,"W","S",90.69
59.241,45.612,43.94,82,40,71,28.056,"Class5",27.051,"G","J",80.649
41.971,48.677,29.126,72,83,91,43.458,"Class1",75.466,"K","S",87.197
39.718,49.45,29.767,71,88,68,43.572,"Class1",83.809,"M","T",87.094
27.295,72.662,43.541,13,10,51,41.007,"Class2",40.478,"R","P",68.484
38.127,48.098,29.801,74,72,56,52.594,"Class1",90.146,"M","T",91.134
42.202,49.64,29.7,83,95,58,34.003,"Class1",82.184,"K","S",86.939
32.784,80.058,30.816,31,22,43,77.11,"Class4",76.182,"E","I",59.312
28.814,75.257,17.687,10,30,52,60.013,"Class4",76.821,"E","I",52.017
35.058,49.62,29.739,57,88,57,53.129,"Class1",78.926,"M","P",88.923
24.278,73.981,65.973,8,4,38,35.465,"Class2",37.545,"Q","M",64.832
32.523,81.665,59.367,25,18,54,79.046,"Class4",76.749,"Q","H",47.566
17.39,24.224,90.842,45,58,56,31.854,"Class3",54.997,"J","B",65.118
41.3,12.414,30.779,83,48,70,21.58,"Class5",37.15,"Y","I",72.696
42.859,65.581,79.351,8,7,50,46.279,"Class2",44.425,"B","P",67.526
51.243,63.456,85.71,73,69,75,45.823,"Class3",35.893,"J","Q",60.818
44.188,48.269,29.123,72,100,63,34.507,"Class1",78.004,"K","T",95.65
42.171,48.45,29.552,86,76,55,50.441,"Class1",77.342,"M","S",94.931
83.859,62.984,80.947,28,76,66,36.892,"Class3",50.739,"C","V",60.621
48.04,60.684,62.626,5,11,42,49.005,"Class2",24.922,"S","C",68.514
33.848,48.37,29.769,60,79,62,38.982,"Class1",93.857,"W","T",90.729
32.159,75.539,58.885,20,53,43,61.057,"Class4",76.241,"E","Y",57.106
28.965,81.629,45.594,20,13,58,53.853,"Class4",76.944,"R","H",43.737
59.468,37.415,55.369,82,45,72,6.225,"Class5",25.707,"C","D",70.163
29.737,76.031,38.338,22,45,34,69.233,"Class4",76.96,"R","Y",43.525
32.169,69.453,49.394,31,73,69,74.731,"Class4",76.401,"R","I",51.211
35.017,81.266,65.079,8,46,35,63.68,"Class4",76.196,"P","Y",46.205
NA,63.037,49.006,9,15,40,39.813,"Class2",28.128,"Q","P",64.06
NA,71.088,20.466,5,74,65,78.246,"Class4",76.62,"R","Y",58.517
38.182,48.031,29.588,57,89,36,43.483,"Class1",81.652,"K","E",97.058
21.052,64.163,44.468,4,14,40,44.733,"Class2",54.962,"E","C",63.953
82.362,40.038,87.509,50,67,57,41.18,"Class3",43.15,"C","V",43.018
NA,71.013,27.855,9,23,65,52.988,"Class4",76.736,"M","Q",54.529
79.594,NA,88.576,79,78,47,56.666,"Class3",32.033,"C","Q",43.127
69.457,41.154,37.339,83,42,78,7.265,"Class5",21.885,"C","I",91.473
32.759,71.362,47.007,34,62,76,52.523,"Class4",76.333,"E","I",46.957
32.074,74.436,55.668,36,39,72,79.438,"Class4",76.169,"P","M",61.258
38.917,49.845,29.67,79,92,74,42.106,"Class1",85.476,"O","E",92.14
34.302,49.584,30.071,84,85,81,48.713,"Class1",92.476,"K","S",92.078
57.872,11.649,75.873,83,43,72,69.247,"Class5",48.187,"G","I",89.579
38.641,70.2,33.45,6,23,38,46.969,"Class2",26.516,"S","P",54.924
95.844,38.588,85.473,40,63,73,33.502,"Class3",49.701,"V","G",70.181
37.783,44.183,85.581,85,72,62,38.037,"Class3",35.819,"V","G",105.465
44.991,48.63,29.634,87,73,48,44.659,"Class1",89.443,"W","P",92.671
71.73,17.766,89.953,86,76,71,57.153,"Class3",32.879,"V","O",54.258
49.89,23.873,28.748,84,37,70,2.259,"Class5",21.35,"F","T",69.19
69.264,33.547,88.864,21,64,45,24.003,"Class3",33.136,"V","V",94.169
33.523,80.438,34.564,27,58,74,64.076,"Class4",76.858,"E","Y",58.548
51.221,65.526,86.475,73,75,50,21.84,"Class3",49.787,"J","G",53.349
37.557,49.325,29.79,72,96,36,43.407,"Class1",85.692,"K","T",92.442
45.029,48.684,29.931,58,87,51,40.942,"Class1",80.638,"O","E",94.575
18.878,NA,120.659,4,30,40,53.274,"Class2",49.883,"Q","P",63.597
34.342,68.703,45.55,12,32,40,51.473,"Class2",37.448,"R","P",62.905
42.92,70.304,69.03,7,18,49,33.589,"Class2",39.446,"Q","T",71.276
36.865,62.815,29.049,7,28,46,53.639,"Class2",32.158,"Q","N",66.093
38.623,64.635,89.665,66,72,75,41.148,"Class3",44.099,"F","O",72.581
58.861,20.267,37.41,83,46,75,59.508,"Class5",35.346,"R","Y",73.788
43.74,48.933,29.343,73,87,73,51,"Class1",74.863,"W","E",89.766
29.817,79.665,39.285,20,84,65,78.36,"Class4",76.934,"R","Q",47.669
30.948,76.761,49.398,30,17,72,52.751,"Class4",76.602,"Q","H",49.015
63.144,9.828,69.161,84,37,68,51.577,"Class5",42.496,"G","T",78.165
85.97,24.332,41.898,82,41,74,57.271,"Class5",21.709,"Y","D",78.402
33.472,80.841,38.53,27,83,61,57.93,"Class4",76.79,"Q","H",46.795
46.283,48.139,29.407,73,84,36,51.683,"Class1",74.945,"R","P",90.318
NA,72.707,89.004,85,66,38,33.746,"Class3",43.741,"V","G",75.016
71.829,18.347,83.979,42,77,49,24.442,"Class3",42.041,"A","V",79.686
48.403,27.377,33.509,83,39,80,32.207,"Class5",49.997,"G","T",73.381
39.284,72.809,12.848,13,4,41,37.947,"Class2",23.389,"R","P",56.95
33.653,48.777,29.447,65,90,80,43.724,"Class1",74.726,"K","E",87.051
51.533,14.317,53.517,82,44,79,37.369,"Class5",37.222,"G","Y",77.561
62.761,22.653,65.37,82,41,80,15.171,"Class5",27.901,"Y","Y",75.94
61.933,29.061,85.006,63,79,46,38.771,"Class3",53.511,"C","B",67.571
NA,75.751,21.33,38,80,67,70.819,"Class4",76.626,"R","Y",51.674
42.263,59.6,40.485,7,35,51,39.888,"Class2",22.924,"B","T",61.898
64.725,26.582,40.593,83,36,66,16.47,"Class5",44.604,"F","I",69.396
30.582,76.571,65.42,27,44,75,55.283,"Class4",76.631,"R","H",64.388
32.769,78.55,69.451,11,18,46,53.611,"Class2",45.785,"E","P",62.365
65.148,32.373,61.848,82,48,72,18.826,"Class5",22.674,"C","D",74.018
35.39,49.943,30.01,85,91,86,40.466,"Class1",78.146,"O","I",95.665
51.836,10.531,87.312,60,66,67,33.458,"Class3",46.15,"V","G",51.217
62.768,49.405,53.193,82,46,75,29.245,"Class5",33.926,"C","Y",79.186
42.737,47.534,29.06,62,80,39,43.579,"Class1",94.891,"O","P",88.595
62.248,51.379,88.151,28,72,56,22.363,"Class3",51.121,"C","V",77.085
74.536,30.746,52.022,82,43,80,0.564,"Class5",30.644,"G","Y",73.032
81.769,8.892,63.425,83,47,75,49.367,"Class5",26.086,"C","T",84.277
34.739,79.094,48.165,39,16,49,75.897,"Class4",76.452,"P","I",61.642
31.921,69.08,51.942,33,9,64,53.642,"Class4",76.668,"P","Q",53.601
33.502,47.097,29.541,86,75,74,50.069,"Class1",92.838,"K","P",88.648
55.712,22.254,34.702,84,44,74,51.912,"Class5",47.982,"G","J",77.788
37.765,72.871,112.778,13,16,48,39.587,"Class2",54.8,"E","P",54.182
29.798,77.942,47.2,8,27,38,53.056,"Class2",34.164,"B","C",73.898
33.141,79.05,18.633,23,74,48,73.51,"Class4",76.818,"P","H",55.74
34.686,75.881,44.846,10,15,48,53.426,"Class2",54.286,"B","N",71.388
40.36,72.74,26.386,11,12,45,34.33,"Class2",48.607,"R","P",71.84
29.031,71.496,-6.207,11,19,52,51.003,"Class2",31.138,"S","P",52.901
NA,48.168,87.799,79,64,67,51.865,"Class3",44.763,"A","G",49.723
30.239,70.262,37.585,17,76,40,75.876,"Class4",76.576,"P","Y",53.842
NA,25.155,90.105,18,60,75,30.182,"Class3",48.115,"V","B",46.314
38.375,48.617,29.234,62,97,51,36.339,"Class1",74.453,"M","T",88.424
34.444,76.174,39.481,30,79,58,79.642,"Class4",76.884,"R","M",47.122
35.783,40.916,87.023,20,61,64,21.981,"Class3",55.962,"C","V",46.751
46.601,18.022,40.384,83,39,68,15.447,"Class5",36.729,"Y","I",74.39
41.333,48.813,30.114,90,92,77,53.926,"Class1",97.191,"W","S",88.994
75.348,24.606,56.592,84,37,74,41.166,"Class5",25.059,"G","D",74.99
66.532,12.252,88.486,27,71,48,30.404,"Class3",56.487,"C","O",4.13
48.835,70.668,104.509,11,16,45,48.573,"Class2",26.481,"S","N",57.941
32.616,74.846,39.251,4,25,47,37.499,"Class2",51.055,"B","M",62.043
34.119,48.242,29.712,76,90,77,50.146,"Class1",77.595,"W","P",94.827
35.106,76.907,39.874,30,77,54,53.578,"Class4",76.46,"M","H",43.233
120.163,36.799,86.372,25,62,37,43.747,"Class3",47.258,"A","O",75.761
39.968,NA,90.236,29,82,66,46.347,"Class3",54.169,"V","O",56.793
103.223,51.824,86.358,53,81,73,36.712,"Class3",32.348,"V","Q",56.991
43.19,49.222,29.451,57,79,50,52.005,"Class1",95.651,"O","S",92.03
32.792,47.889,29.459,79,74,61,37.63,"Class1",89.123,"M","E",96.719
37.387,49.876,29.328,80,81,72,44.917,"Class1",90.021,"K","P",86.303
63.71,34.504,67.089,82,38,68,17.042,"Class5",37.448,"G","Y",91.354
54.207,17.491,90.314,78,64,45,49.667,"Class3",30.909,"J","V",58.674
31.253,76.468,34.336,14,92,35,51.931,"Class4",76.161,"R","M",60.051
63.143,49.413,56.855,83,41,80,60.988,"Class5",27.445,"R","J",84.521
34.198,81.475,6.394,19,25,35,53.118,"Class4",76.631,"P","H",52.989
34.313,74.478,69.533,17,57,73,76.997,"Class4",76.277,"R","Q",57.722
39.705,43.262,88.515,77,67,75,54.131,"Class3",60.629,"J","G",92.434
55.716,54.703,51.632,84,48,80,0.911,"Class5",46.713,"Y","D",77.647
33.946,80.55,30.154,8,74,47,68.669,"Class4",76.931,"M","Q",55.16
38.521,47.303,29.216,56,95,66,47.595,"Class1",96.762,"K","S",92.847
57.108,70.372,83.064,30,74,70,39.31,"Class3",60.756,"A","G",46.785
36.809,63.326,29.288,6,12,49,42.901,"Class2",43.478,"S","P",72.648
57.044,28.964,89.597,43,82,38,36.496,"Class3",58.321,"V","V",78.334
42.928,NA,29.111,55,74,77,37.684,"Class1",86.758,"W","S",96.258
33.96,75.624,28.497,38,70,69,70.969,"Class4",76.514,"M","I",47.498
27.435,77.994,28.87,8,48,49,69.042,"Class4",76.79,"Q","Q",52.939
42.229,49.845,29.378,60,72,57,45.932,"Class1",74.686,"W","I",90.968
36.07,48.905,29.55,87,81,82,34.535,"Class1",81.785,"R","P",91.727
44.981,61.985,76.119,9,12,49,41.518,"Class2",31.76,"B","T",72.501
58.637,32.364,66.346,82,38,75,37.904,"Class5",37.496,"G","Y",78.387
37.87,49.925,30.07,81,97,37,49.313,"Class1",77.888,"W","P",93.278
38.672,49.057,54.004,83,40,65,6.521,"Class5",29.452,"R","D",71.928
41.355,75.236,52.895,5,11,39,43.977,"Class2",53.827,"S","P",66.389
32.048,71.879,29.622,11,82,38,68.341,"Class4",76.118,"P","H",53.249
35.268,48.906,29.848,75,91,71,47.589,"Class1",90.426,"K","S",88.663
42.183,47.147,29.934,65,91,89,47.995,"Class1",86.68,"W","T",88.094
39.069,47.958,29.059,70,100,74,48.46,"Class1",88.226,"W","T",87.661
33.092,69.22,49.117,10,34,49,33.78,"Class2",41.637,"Q","N",62.457
41.793,39.325,93.15,24,63,61,49.734,"Class3",45.409,"C","B",99.887
36.097,48.224,30.114,87,99,73,36.51,"Class1",86.446,"K","S",92.131
62.869,6.881,70.447,82,43,65,63.939,"Class5",25.367,"G","J",71.894
29.322,63.486,67.589,5,26,40,53.268,"Class2",33.672,"B","P",66.099
67.048,35.014,40.206,82,35,79,3.825,"Class5",43.385,"R","I",86.664
40.449,59.699,33.13,4,32,50,37.356,"Class2",53.42,"S","M",50.885
82.958,51.989,60.715,82,35,71,40.147,"Class5",32.703,"G","Y",83.025
35.32,69.948,31.788,4,21,48,41.41,"Class2",41.413,"S","C",68.631
82.995,8.875,90.8,65,78,76,31.301,"Class3",52.437,"J","B",75.19
44.449,35.11,51.939,82,44,64,15.776,"Class5",49.356,"F","D",70.82
31.073,75.414,39.973,37,94,38,69.689,"Class4",76.078,"M","Q",55.564
46.306,41.115,78.639,83,42,77,56.774,"Class5",39.809,"F","Y",82.042
38.464,47.487,29.08,85,78,70,46.635,"Class1",77.709,"K","T",91.567
75.386,32.714,53.709,82,48,76,60.889,"Class5",44.345,"C","D",77.922
38.571,49.573,29.953,89,85,85,39.32,"Class1",87.814,"O","S",88.044
NA,17.851,87.821,77,77,39,53.736,"Class3",38.93,"F","V",92.485
