"L1","L2","L3","L4","L5","L6","Output11","L7","L8","L9","L10","L11"
24,35,"S",56.359,73.733,15.378,"Class2",29.696,"V",40,18.018,36.251
20,42,"I",63.957,73.253,11.706,"Class2",30.463,"Z",35,18.289,36.682
53,41,"K",65.834,73.962,19.172,"Class2",37.779,"B",23,17.876,23.636
38,96,"J",49.774,61.915,37.575,"Class1",39.414,"O",26,41.085,51.333
38,41,"M",20.717,61.456,31.37,"Class1",68.433,"N",69,46.374,51.712
36,40,"K",12.106,60.132,21.41,"Class1",NA,"Y",63,48.374,49.444
66,47,"S",58.269,77.316,16.147,"Class2",30.888,"B",24,18.44,35.956
24,45,"G",61.583,75.105,18.524,"Class2",NA,"Z",41,18.343,20.924
37,79,"W",65.365,50.717,4.781,"Class1",64.364,"N",21,51.849,51.019
9,21,"Z",56.513,82.09,14.504,"Class2",36.57,"B",28,18.295,23.605
39,16,"W",41.869,54.481,31.633,"Class1",59.764,"N",33,58.951,50.027
44,21,"G",64.122,77.768,13.392,"Class2",37.103,"V",23,18.594,37.043
58,30,"S",59.944,76.834,15.974,"Class2",38.384,"V",34,18.064,22.352
42,22,NA,26.747,43.804,21.342,"Class1",62.382,"N",40,43.302,50.862
39,39,"Y",48.043,40.61,25.414,"Class1",63.613,"S",17,46.976,50.564
69,52,"Z",70.19,78.824,7.147,"Class2",29.358,"V",36,18.586,17.402
38,31,"W",14.172,53.271,6.94,"Class1",53.196,"N",77,48.64,52.031
37,23,"W",56.495,56.313,36.828,"Class1",38.008,"X",9,52.868,52.121
36,66,"K",57.798,46.11,15.143,"Class1",58.379,"S",8,51.494,52.044
16,47,"S",57.19,79.304,22.867,"Class2",38.414,"H",37,18.412,50.333
20,30,"Z",55.649,70.31,18.015,"Class2",35.086,"Z",24,18.731,31.443
36,53,"Y",29.405,53.246,-5.502,"Class1",57.719,"S",51,48.035,52.704
35,25,"K",55.896,44.323,18.679,"Class1",37.8,"Y",76,48.311,49.638
63,25,"K",52.228,85.542,19.423,"Class2",39.131,"H",40,18.192,47.071
63,40,"K",56.411,72.817,8.72,"Class2",29.033,"V",30,18.11,41.067
66,45,"K",71.092,69.398,10.293,"Class2",39.27,"A",26,19.022,34.349
42,67,"Y",65.579,54.476,22.079,"Class1",46.865,"Y",11,51.953,51.733
40,22,"G",62.063,85.503,18.561,"Class2",NA,"B",39,18.668,26.256
25,22,"S",67.499,70.206,11.545,"Class2",33.926,"V",25,18.274,29.246
37,83,"J",8.562,40.205,15.056,"Class1",NA,"X",19,50.166,50.435
13,30,"I",63.791,77.794,18.36,"Class2",36.408,"Z",41,18.445,20.198
34,36,"Y",66.076,59.36,31.036,"Class1",64.046,"O",14,53.431,49.955
41,47,"G",58.494,77.726,18.426,"Class2",33.911,"A",41,18.763,10.156
10,31,"Z",71.511,70.051,15.928,"Class2",34.282,"A",34,18.37,38.611
26,48,"G",69.192,85.034,16.535,"Class2",35.732,"A",24,18.814,24.447
35,60,"W",11.851,52.548,16.957,"Class1",54.875,"Y",59,43.801,49.904
38,44,"G",56.056,79.089,15.126,"Class2",31.369,"V",41,18.385,21.134
37,23,"W",57.824,42.027,54.366,"Class1",79.402,"O",19,50.632,52.688
72,25,"I",56.772,70.142,19.707,"Class2",36.772,"V",42,18.782,37.56
36,47,"M",48.085,61.48,5.81,"Class1",65.237,"S",4,44.723,50.399
10,42,"G",59.593,69.405,11.633,"Class2",34.994,"A",24,18.73,28.344
64,46,"G",53.712,83.72,16.034,"Class2",39.636,"B",40,18.689,21.171
36,89,"J",46.041,54.186,3.21,"Class1",66.043,"N",37,44.473,49.79
34,63,"M",35.871,45.089,29.594,"Class1",62.135,"Y",56,44.426,50.304
64,22,"K",55.414,73.118,14.108,"Class2",34.096,"Z",26,18.384,23.989
42,42,"S",68.185,79.993,15.805,"Class2",31.857,"B",33,18.716,35.956
14,38,"I",69.712,83.077,12.407,"Class2",31.773,"Z",42,18.095,9.775
27,46,"I",52.385,85.932,18.253,"Class2",38.712,"Z",27,18.42,15.182
18,27,"Z",68.75,72.249,15.17,"Class2",37.676,"H",39,18.16,17.81
49,37,"S",49.402,81.664,20.257,"Class2",33.835,"H",38,18.276,31.953
36,53,"W",47.43,36.549,38.824,"Class1",56.539,"X",6,56.763,49.994
40,53,"Y",49.033,41.472,36.893,"Class1",36.926,"X",36,45.795,52.878
56,25,"G",48.313,78.319,26.484,"Class2",37.003,"H",41,17.835,17.783
68,48,"S",52.828,81.37,10.676,"Class2",33.36,"Z",40,18.88,38.147
40,87,"M",56.117,60.383,27.554,"Class1",69.283,"S",59,44.972,49.401
54,43,"S",68.678,77.99,12.411,"Class2",39.079,"V",37,18.354,47.7
56,42,"K",67.929,81.263,23.69,"Class2",35.478,"B",41,18.411,25.874
67,50,"I",62.607,79.098,18.811,"Class2",29.06,"A",28,18.097,14.378
51,23,"I",67.719,72.511,12.328,"Class2",37.658,"B",40,18.563,31.92
36,94,"J",29.495,43.333,17.704,"Class1",39.104,"N",23,52.232,52.008
43,84,"M",47.95,40.501,22.662,"Class1",48.054,"O",28,44.652,52.564
35,68,"W",49.396,52.212,8.305,"Class1",48.143,"X",31,37.686,50.89
15,36,"K",65.102,75.058,11.2,"Class2",37.065,"H",30,18.163,24.788
65,30,"Z",62.454,80.052,13.813,"Class2",39.355,"H",38,18.813,10.118
40,48,"J",50.139,51.936,42.696,"Class1",NA,"O",21,57.483,51.26
38,37,"M",66.128,53.211,8.989,"Class1",71.978,"Y",15,40.902,53.535
68,21,"G",69.956,78.322,21.071,"Class2",34.95,"H",34,18.738,30.204
14,33,"G",66.121,77.371,13.981,"Class2",30.521,"H",39,18.511,15.037
37,90,"J",63.908,46.936,21.147,"Class1",42.237,"O",5,54.965,50.104
40,85,"W",41.831,53.817,31.949,"Class1",65.522,"Y",14,48.279,52.22
70,29,"G",69.39,80.609,16.958,"Class2",31.88,"Z",28,18.456,43.317
39,82,"K",66.745,37.741,4.71,"Class1",79.431,"S",21,40.445,51.877
17,46,"K",68.945,81.314,16.866,"Class2",34.871,"Z",38,18.307,17.876
42,59,"Y",43.739,46.663,27.829,"Class1",66.224,"N",15,46.87,54.211
39,82,"Y",29.363,41.528,8.012,"Class1",36.881,"S",73,47.181,50.517
34,21,"K",29.189,60.199,19.195,"Class1",56.349,"S",22,47.014,49.871
43,32,"Y",68.907,38.275,48.401,"Class1",69.961,"O",35,58.077,50.765
42,16,"J",34.341,50.844,31.332,"Class1",53.734,"O",43,49.484,51.91
25,35,"Z",59.316,78.281,20.82,"Class2",31.928,"H",23,18.84,53.176
43,84,"Y",24.391,50.796,38.366,"Class1",60.454,"S",52,43.305,51.165
40,57,"W",51.695,52.968,-4.476,"Class1",NA,"X",16,46.582,48.788
39,32,"J",29.797,52.831,14.009,"Class1",77.025,"S",60,53.685,52.408
42,83,"W",46.356,61.741,14.699,"Class1",71.676,"N",76,52.668,50.288
42,63,"K",50.17,52.025,26.394,"Class1",67.912,"S",65,54.014,52.872
38,96,"W",38.819,56.096,18.28,"Class1",68.531,"S",24,47.903,51.471
40,64,"K",34.775,44.321,9.976,"Class1",59.641,"N",11,44.956,51.691
40,39,"W",24.824,38.851,45.386,"Class1",51.545,"O",56,42.059,50.783
51,23,"G",48.004,84.107,16.354,"Class2",30.303,"H",26,18.91,31.836
65,27,"S",69.816,82.231,11.047,"Class2",31.524,"H",41,18.579,34.474
63,30,"K",52.82,70.346,15.175,"Class2",31.23,"B",30,18.658,19.258
23,53,"Z",54.067,83.745,11.531,"Class2",38.805,"Z",29,18.421,28.827
61,21,"I",54.367,77.669,20.368,"Class2",36.261,"A",40,18.94,27.228
36,28,"Y",25.256,41.031,38.188,"Class1",56.721,"O",75,53.03,51.145
39,61,"M",43.144,56.761,26.159,"Class1",81.76,"X",28,53.614,50.868
38,72,"K",32.136,55.081,25.387,"Class1",41.667,"O",14,36.678,51.723
18,36,"K",61.139,74.819,16.67,"Class2",33.095,"H",32,18.838,19.043
38,75,"Y",15.105,45.246,10.485,"Class1",NA,"Y",34,49.121,48.704
32,30,"G",66.836,76.33,12.207,"Class2",39.337,"B",27,18.429,35.317
35,25,"J",60.62,47.354,14.428,"Class1",54.411,"O",14,50.567,50.238
17,42,"I",50.415,73.721,14.317,"Class2",29.674,"A",42,18.872,-3.956
12,34,"K",63.067,85.324,15.421,"Class2",34.606,"Z",28,18.336,28.403
34,54,"J",35.584,53.551,37.17,"Class1",35.609,"O",54,50.422,51.186
47,36,"I",49.638,85.186,15.712,"Class2",37.69,"Z",34,18.36,39.933
47,36,"Z",70.654,83.281,19.528,"Class2",NA,"A",35,18.142,9.532
39,53,"Y",25.209,52.227,-14.423,"Class1",53.096,"N",72,48,48.256
20,22,"G",70.407,85.808,12.98,"Class2",36.588,"V",27,18.568,26.889
34,52,"M",63.905,58.868,13.431,"Class1",61.811,"N",17,51.344,49.437
37,32,"J",26.265,57.662,-0.334,"Class1",63.858,"O",73,49.687,52.605
40,29,"K",65.863,43.432,15.374,"Class1",39.594,"N",12,49.105,54.228
47,24,"I",71.244,77.724,19.469,"Class2",39.214,"H",38,18.507,-5.18
36,31,"Y",59.374,54.801,40.389,"Class1",46.259,"X",5,37.232,52.281
70,26,"Z",57.818,74.669,16.622,"Class2",29.081,"V",27,18.476,20.857
28,39,"G",51.832,79.765,17.981,"Class2",34.097,"Z",29,18.546,-4.931
15,43,"I",65.959,79.984,16.238,"Class2",29.338,"A",30,18.278,33.838
70,42,"K",65.034,77.502,20.832,"Class2",32.443,"B",23,18.245,38.68
39,62,"K",19.764,58.635,19.471,"Class1",41.736,"Y",65,46.659,53.574
61,24,"S",55.273,81.249,16.934,"Class2",39.804,"Z",40,18.422,20.034
41,32,"Y",68.797,48.775,14.867,"Class1",NA,"X",69,39.196,51.553
36,82,"J",44.296,57.086,26.952,"Class1",57.476,"O",50,47.026,50.46
37,65,"Y",32.363,40.91,2.426,"Class1",63.488,"S",71,57.719,51.523
36,89,"Y",64.905,53.762,18.093,"Class1",79.518,"N",32,41.085,51.276
70,48,"S",70.766,69.265,19.053,"Class2",30.1,"Z",29,18.472,33.3
43,22,"W",58.967,38.049,17.142,"Class1",61.819,"O",55,49.359,48.918
67,37,"I",61.188,71.108,22.012,"Class2",37.407,"B",35,19.052,19.421
22,22,"G",61.416,75.612,15.729,"Class2",31.15,"Z",36,19.097,42.935
59,36,"G",69.508,77.98,18.669,"Class2",37.14,"A",26,18.573,12.837
34,44,"I",50.776,74.284,20.23,"Class2",35.694,"B",32,18.627,25.431
31,37,"Z",56.413,80.788,28.046,"Class2",35.482,"Z",29,18.567,11.081
39,63,"Y",28.579,44.705,42.47,"Class1",51.151,"N",12,47.14,48.914
20,21,"I",48.915,76.964,19.369,"Class2",29.516,"A",23,18.36,24.542
25,52,"K",67.697,76.306,12.829,"Class2",34.167,"B",42,18.481,21.104
31,29,NA,58.674,83.94,15.069,"Class2",34.505,"A",31,18.346,13.436
38,25,NA,13.12,41.93,38.316,"Class1",43.451,"Y",31,49.493,52.759
36,41,"Z",58.938,76.958,6.226,"Class2",30.406,"Z",42,18.037,15.062
36,27,NA,57.726,48.438,12.017,"Class1",60.983,"O",63,50.841,53.938
39,26,"K",21.445,52.32,22.606,"Class1",74.616,"Y",39,54.785,50.582
71,48,"G",60.73,78.522,17.479,"Class2",37.603,"B",23,18.552,7.256
43,22,"Y",36.078,46.367,-22.848,"Class1",59.324,"X",64,59.543,51.768
43,26,"W",15.19,40.105,7.997,"Class1",73.569,"X",14,48.092,51.772
55,30,"K",49.904,72.71,19.045,"Class2",30.246,"Z",34,17.792,21.014
36,34,"Y",14.312,45.992,20.945,"Class1",69.115,"N",9,57.582,50.622
17,50,NA,56.703,76.771,21.775,"Class2",NA,"H",31,18.111,23.366
15,38,"Z",55.882,79.588,18.069,"Class2",35.216,"H",27,18.014,16.502
40,77,"Y",64.361,57.497,16.92,"Class1",61.411,"O",67,37.787,49.731
42,19,"M",5.829,40.324,21.788,"Class1",80.692,"Y",30,49.945,52.627
40,88,"W",53.183,52.51,7.178,"Class1",75.18,"O",9,47.359,48.923
42,18,"W",42.41,50.223,1.032,"Class1",70.381,"N",19,41.474,50.293
24,28,"I",67.07,74.394,7.268,"Class2",32.266,"Z",41,18.458,7.187
35,75,"Y",64.279,52.439,28.061,"Class1",77.635,"O",31,38.363,50.642
15,49,"K",50.782,78.284,17.165,"Class2",30.662,"A",37,18.604,28.106
71,22,"Z",57.274,71.294,26.391,"Class2",34.676,"H",28,18.465,42.177
17,33,"G",52.589,78.046,22.649,"Class2",31.041,"V",38,18.589,13.428
38,94,"J",43.175,51.098,37.038,"Class1",64.989,"N",71,41.173,48.321
35,84,"W",34.505,38.809,29.808,"Class1",79.661,"O",66,45.508,51.654
41,47,"M",68.056,51.347,29.958,"Class1",40.52,"S",23,45.794,51.742
41,66,"Y",9.045,60.546,11.021,"Class1",49.284,"S",69,48.374,50.266
37,83,"Y",66.54,46.725,4.05,"Class1",68.933,"X",55,50.599,51.364
39,43,"M",45.669,58.402,11.316,"Class1",54.591,"X",9,47.68,49.766
12,24,"Z",61.057,72.142,15.615,"Class2",34.151,"V",31,18.448,25.144
38,84,"J",47.845,58.678,44.771,"Class1",35.746,"N",6,54.927,49.763
61,46,"S",48.31,73.055,17.785,"Class2",32.578,"A",27,18.465,16.015
41,58,NA,50.764,59.217,40.838,"Class1",36.426,"N",23,46.601,49.24
35,50,"J",62.186,61.728,43.608,"Class1",74.778,"N",73,49.237,50.273
43,28,"J",68.666,45.521,19.221,"Class1",52.98,"N",26,36.434,51.882
22,40,"S",61.311,69.178,18.039,"Class2",37.563,"H",31,18.857,11.57
48,47,"I",54.022,74.204,15.687,"Class2",33.821,"H",25,18.2,37.917
39,28,"K",27.933,46.053,12.273,"Class1",37.369,"O",17,52.815,51.682
39,24,"W",31.497,36.476,18.933,"Class1",54.526,"Y",43,45.796,49.435
16,42,"K",69.364,71.506,17.005,"Class2",34.518,"B",34,18.888,30.678
26,30,"G",60.849,85.176,18.646,"Class2",31.244,"V",28,18.236,13.531
41,19,"Y",26.12,58.904,6.767,"Class1",44.277,"X",19,47.24,50.809
37,71,"M",68.175,59.786,13.54,"Class1",40.193,"X",43,50.922,47.957
54,34,"I",58.468,83.634,11.133,"Class2",31.445,"Z",42,18.52,32.942
64,52,"S",53.009,78.488,19.958,"Class2",29.689,"A",40,17.7,25.045
70,40,"S",61.496,80.363,23.848,"Class2",35.97,"B",30,18.47,11.173
56,35,"I",66.766,73.346,28.071,"Class2",NA,"A",41,18.588,52.621
35,51,"K",36.732,37.438,22.706,"Class1",73.984,"X",45,40.931,51.084
12,29,"I",52.152,83.892,14.121,"Class2",34.42,"Z",34,18.693,14.188
68,36,"Z",54.738,78.959,19.101,"Class2",33.099,"B",30,17.893,11.568
38,42,"M",30.174,39.932,5.919,"Class1",43.141,"S",19,46.809,50.705
21,27,"S",51.644,76.556,18.086,"Class2",30.047,"A",33,18.67,28.493
18,37,"I",65.177,82.476,10.048,"Class2",38.673,"B",29,18.471,12.439
37,88,"Y",16.46,36.144,51.761,"Class1",71.501,"Y",66,45.045,50.907
14,36,"S",71.789,72.397,14.061,"Class2",30.425,"V",27,18.702,27.941
39,95,"K",56.269,36.381,20.993,"Class1",73.169,"X",7,45.598,49.438
38,86,"W",57.888,43.726,35.902,"Class1",52.511,"Y",37,48.948,52.34
41,45,"K",59.572,72.163,20.253,"Class2",39.26,"A",28,18.077,31.299
47,29,"I",48.612,73.595,16.747,"Class2",29.862,"H",24,18.587,24.727
22,32,"I",49.456,83.008,17.266,"Class2",29.809,"B",31,19.101,41.661
34,21,"K",56.573,48.26,21.388,"Class1",74.182,"N",35,43.727,51.645
27,40,"K",55.42,77.309,19.501,"Class2",30.197,"A",32,18.943,5.74
27,29,"G",70.551,69.783,16.423,"Class2",37.058,"A",32,19.041,3.39
40,48,"Y",28.655,60.81,12.857,"Class1",69.058,"N",34,55.896,50.331
34,32,NA,56.679,55.876,15.601,"Class1",67.558,"X",74,45.19,51.868
36,88,"J",22.118,59.706,9.795,"Class1",47.219,"O",47,46.421,49.323
41,63,"J",39.427,41.412,37.075,"Class1",80.933,"O",58,51.703,53.238
34,56,"K",18.422,60.544,22.034,"Class1",57.807,"Y",77,44.443,52.417
64,33,"K",59.424,75.917,12.137,"Class2",34.74,"V",34,18.561,35.251
10,46,"Z",57.722,84.294,15.491,"Class2",38.055,"Z",32,18.485,38.398
25,51,"K",50.414,81.86,16.85,"Class2",31.766,"H",35,18.289,27.619
35,74,"K",44.196,53.459,49.636,"Class1",44.825,"S",18,47.996,50.748
34,31,"M",49.561,56.9,24.014,"Class1",59.464,"Y",31,51.422,50.144
64,41,"Z",50.916,80.315,16.752,"Class2",38.215,"V",39,18.948,33.379
40,45,"K",64.608,76.013,10.381,"Class2",29.771,"V",34,18.866,23.902
53,52,"Z",63.111,78.193,20.875,"Class2",32.858,"A",23,17.762,0.958
40,81,"J",46.697,41.784,12.675,"Class1",58.124,"Y",34,46.778,54.681
35,21,"J",34.871,39.355,34.353,"Class1",56.283,"N",53,45.92,50.538
43,55,"J",33.974,59.63,29.765,"Class1",36.173,"S",9,42.3,47.596
40,68,"W",64.901,38.914,-0.172,"Class1",55.466,"Y",19,42.748,50.301
41,84,"J",8.927,56.079,13.119,"Class1",77.272,"N",37,45.484,51.599
39,36,"W",30.724,53.699,32.683,"Class1",75.027,"N",56,49.607,50.369
42,45,"Z",66.359,74.242,25.78,"Class2",30.508,"Z",29,18.324,15.028
36,46,"S",69.37,77.944,18.257,"Class2",29.521,"V",30,18.765,51.072
43,67,"J",52.567,59.663,8.862,"Class1",70.295,"Y",47,44.678,48.993
34,50,"K",32.984,57.09,13.171,"Class1",49.346,"S",63,47.122,51.883
37,54,"W",13.815,44.711,8.601,"Class1",59.515,"O",16,55.109,50.59
34,45,"W",50.421,59.489,18.528,"Class1",45.04,"S",10,47.46,51.647
34,30,"M",10.349,60.628,14.596,"Class1",78.698,"S",38,58.929,49.285
39,87,"Y",47.934,41.716,26.003,"Class1",46.897,"X",49,44.467,53.564
33,49,"K",56.04,71.451,18.538,"Class2",37.508,"H",37,18.584,20.82
35,17,"W",6.645,55.208,21.606,"Class1",76.696,"O",48,47.428,50.166
37,22,"M",23.487,50.131,12.435,"Class1",75.6,"X",10,42.727,52.347
41,19,"Y",55.858,52.405,27.233,"Class1",36.627,"S",33,55.664,53.443
9,29,"S",59.289,73.109,22.494,"Class2",36.746,"V",23,18.697,16.722
67,37,"S",57.066,74.208,18.307,"Class2",35.197,"A",35,18.864,40.942
43,22,"Z",60.991,74.269,22.258,"Class2",34.749,"A",42,18.441,30.284
68,46,"S",66.421,85.261,17.453,"Class2",36.161,"B",23,18.749,47.196
45,25,"Z",69.624,85.242,20.841,"Class2",34.822,"A",23,18.634,43.745
45,38,"I",48.28,81.511,25.292,"Class2",39.23,"B",42,18.725,46.014
69,47,"I",48.976,78.548,24.049,"Class2",30.84,"H",26,17.775,16.803
25,38,NA,53.638,76.242,11.315,"Class2",39.075,"V",32,18.646,25.28
22,53,NA,64.397,84.974,11.71,"Class2",38.464,"Z",37,18.667,48.936
43,52,"Y",9.45,47.629,34.495,"Class1",54.158,"S",15,35.163,52.576
38,44,"J",57.656,42.57,30.576,"Class1",68.18,"O",27,49.809,50.384
41,49,"J",41.181,43.673,7.408,"Class1",72.389,"O",78,39.695,52.105
10,40,"G",60.369,73.93,22.064,"Class2",38.024,"V",37,18.274,38.801
55,39,"S",66.124,73.27,17.038,"Class2",29.477,"V",32,18.248,33.092
9,38,"S",61.388,75.53,21.442,"Class2",33.387,"A",26,18.249,17.27
35,27,NA,50.379,74.59,18.743,"Class2",31.525,"V",30,18.322,25.994
22,37,"K",61.792,73.949,21.789,"Class2",35.429,"V",33,18.399,16.436
40,25,"M",33.441,44.156,25.97,"Class1",69.469,"N",12,54.151,50.586
12,26,"G",51.853,80.568,15.51,"Class2",NA,"V",25,19.392,30.969
34,90,"K",33.406,44.566,10.777,"Class1",48.525,"N",53,46.906,52.657
22,46,"G",71.973,83.184,18.862,"Class2",36.689,"V",30,18.681,14.856
36,49,"J",7.499,42.544,19.127,"Class1",46.239,"N",58,48.977,50.887
42,21,"W",17.392,56.036,23.432,"Class1",44.246,"Y",21,41.417,53.001
49,51,"I",69.023,76.758,12.124,"Class2",37.503,"B",32,18.212,27.053
38,25,"Y",13.164,51.471,19.689,"Class1",76.291,"X",30,43.133,51.517
34,42,NA,68.456,47.82,25.254,"Class1",43.568,"Y",47,57.378,53.337
13,47,"G",49.986,83.752,23.161,"Class2",31.863,"V",30,18.604,26.703
43,71,"M",5.534,40.45,10.315,"Class1",61.983,"Y",66,53.433,49.989
38,27,"W",40.359,47.621,7.329,"Class1",67.041,"X",48,41.103,52.237
41,76,"Y",47.343,36.631,38.867,"Class1",52.666,"S",61,43.133,51.515
8,47,"G",66.54,75.162,25.94,"Class2",NA,"Z",28,18.322,36.615
24,46,"Z",63.32,79.001,20.426,"Class2",38.845,"H",41,18.791,40.497
40,84,"W",57.728,45.089,24.265,"Class1",76.44,"X",55,49.752,52.758
38,18,"Y",43.16,58.128,15.17,"Class1",38.506,"O",44,52.573,51.363
42,73,"K",9.054,41.829,12.465,"Class1",60.973,"N",53,48.343,50.98
43,52,"Y",36.962,57.069,27.412,"Class1",35.432,"O",70,45.064,50.697
42,62,NA,33.389,50.255,19.727,"Class1",62.165,"S",31,46.283,51.912
7,36,"I",52.272,84.498,18.623,"Class2",37.537,"A",30,18.378,12.092
69,28,"S",62.413,85.157,15.666,"Class2",36.904,"A",24,18.146,29.389
26,48,"Z",55.599,74.011,12.629,"Class2",31.451,"V",29,18.097,35.181
52,45,"S",52.81,71.919,17.164,"Class2",31.031,"V",26,18.31,10.79
35,46,"Y",66.022,41.397,32.86,"Class1",44.777,"O",46,50.644,48.293
41,36,"W",6.603,41.81,21.088,"Class1",57.259,"N",72,44.399,49.411
71,37,"K",66.362,74.12,20.162,"Class2",33.008,"H",32,18.303,37.508
65,45,"Z",63.606,78.516,13.834,"Class2",35.541,"B",26,18.413,12.059
35,23,NA,56.713,85.019,16.903,"Class2",34.292,"V",30,18.81,38.254
65,22,"S",52.328,85.593,16.731,"Class2",38.815,"Z",38,19.141,40.745
35,48,"Y",10.164,45.875,41.303,"Class1",57.777,"S",4,41.174,48.104
34,60,"K",24.829,47.13,42.006,"Class1",65.464,"S",4,42.522,51.933
40,48,"Y",33.9,56.138,24.265,"Class1",44.491,"X",78,53.234,47.731
40,21,"M",52.443,60.955,39.416,"Class1",77.558,"S",51,49.943,49.238
14,27,"S",68.488,82.427,19.476,"Class2",30.948,"B",31,17.979,28.462
43,70,"K",7.281,38.515,14.257,"Class1",74.048,"O",7,53.15,51.806
12,35,"G",62.471,71.523,27.479,"Class2",34.086,"Z",28,18.539,25.778
37,68,"Y",50.348,51.479,26.053,"Class1",39.813,"S",17,43.561,51.443
36,19,"W",31.495,56.115,-7.026,"Class1",NA,"O",39,45.802,51.132
33,25,"G",65.63,85.803,20.928,"Class2",33.368,"A",38,17.673,32.236
39,83,"J",55.244,40.332,14.877,"Class1",48.009,"X",24,38.73,50.427
42,51,"Y",66.045,54.117,12.663,"Class1",56.224,"X",59,52.172,49.849
36,40,"M",7.554,51.063,1.2,"Class1",42.832,"S",24,38.851,50.439
39,38,"M",64.175,46.822,17.094,"Class1",80.899,"Y",9,47.049,49.026
36,71,"J",29.867,47.352,9.785,"Class1",51.457,"O",15,54.984,48.497
72,31,"S",64.384,73.308,5.671,"Class2",38.51,"Z",40,18.273,27.658
44,49,"S",70.2,80.94,8.042,"Class2",NA,"A",42,19.228,24.432
34,55,"W",39.265,60.409,-9.422,"Class1",51.131,"X",76,42.594,50.473
34,28,"J",12.129,58.158,24.039,"Class1",36.024,"N",9,48.923,51.307
18,22,"G",62.872,84.237,18.619,"Class2",32.626,"V",32,17.893,30.61
40,65,"J",35.913,53.942,10.377,"Class1",60.369,"S",5,42.555,50.786
38,24,"I",59.559,71.94,21.754,"Class2",33.61,"V",36,18.946,22.44
23,37,"Z",66.626,71.916,14.104,"Class2",30.834,"A",31,18.737,28.042
39,18,"Y",29.186,48.678,30.154,"Class1",NA,"N",32,53.508,52.01
19,29,"S",69.265,80.947,8.232,"Class2",37.409,"H",40,18.48,14.365
9,38,"Z",65.446,77.939,14.543,"Class2",35.077,"B",27,18.636,25.23
35,82,"W",41.816,53.474,24.62,"Class1",70.783,"N",54,44.142,51.529
38,41,"K",69.811,79.81,13.868,"Class2",38.76,"A",39,18.786,14.848
39,49,"J",69.648,52.132,-0.851,"Class1",39.282,"S",11,44.594,49.25
36,65,"Y",57.6,55.062,3.043,"Class1",37.379,"S",17,48.359,54.044
54,39,"I",51.091,85.081,24.144,"Class2",37.861,"A",25,18.023,25.853
40,15,"M",7.574,48.218,53.502,"Class1",38.746,"N",64,48.208,54.121
46,51,"Z",50.861,78.204,18.163,"Class2",37.291,"B",33,19.19,18.469
38,86,"Y",34.183,44.41,19.175,"Class1",75.878,"N",36,47.805,51.367
34,73,"M",20.928,49.986,9.371,"Class1",63.261,"O",15,51.241,51.589
39,47,"Y",15.882,46.361,3.71,"Class1",39.856,"Y",64,48.061,51.077
35,85,"W",61.463,57.671,25.522,"Class1",58.297,"N",13,47.987,52.748
36,51,"K",46.393,57.544,-4.721,"Class1",70.398,"Y",15,42.698,50.926
42,32,"Y",49.23,36.132,10.661,"Class1",43.138,"N",17,50.056,51.254
38,89,"W",40.223,41.802,-7.599,"Class1",76.353,"O",11,55.083,51.275
65,48,"K",63.553,74.744,20.586,"Class2",33.453,"A",30,18.445,18.024
17,25,"K",51.09,85.891,13.096,"Class2",39.187,"B",34,18.842,31.446
8,23,"I",66.713,70.274,13.062,"Class2",39.556,"A",39,18.507,33.458
9,49,"Z",48.763,79.755,15.744,"Class2",29.446,"Z",27,18.935,28.729
62,29,"S",48.239,78.818,24.247,"Class2",34.384,"B",25,18.287,21.397
42,34,"S",55.376,70.903,8.405,"Class2",30.046,"A",28,18.725,28.567
42,43,"W",28.307,56.393,42.468,"Class1",43.412,"S",31,50.482,52.181
41,15,"W",6.992,60.654,32.541,"Class1",69.185,"O",55,43.232,51.2
26,38,"I",65.4,75.459,19.972,"Class2",38.596,"V",29,18.961,50.309
62,39,"Z",62.378,84.875,13.632,"Class2",34.239,"B",29,18.811,25.996
50,51,"I",55.349,70.395,13.251,"Class2",33.819,"V",42,19.112,29.352
38,55,"Y",24.711,49.101,11.821,"Class1",65.714,"O",30,53.441,50.262
34,49,"M",13.906,61.858,11.682,"Class1",64.263,"O",45,44.532,52.633
37,36,"K",23.158,47.909,18.988,"Class1",51.671,"Y",67,34.287,52.194
17,25,"K",62.086,70.891,17.996,"Class2",38.835,"A",41,19.108,30.197
42,40,"J",32.615,59.566,17.903,"Class1",35.088,"Y",33,41.901,50.307
41,61,"W",45.088,60.588,3.391,"Class1",50.694,"O",21,53.137,50.583
38,24,"W",42.353,51.059,20.684,"Class1",79.59,"S",5,44.87,51.857
38,95,"W",59.388,47.209,9.364,"Class1",35.34,"Y",42,45.713,49.894
34,53,"M",42.712,45.331,19.178,"Class1",51.185,"O",42,43.43,51.902
16,38,"G",61.811,84.855,17.639,"Class2",36.07,"A",37,18.652,19.833
42,96,"K",10.441,43.333,9.853,"Class1",77.264,"Y",61,41.594,51.777
37,93,"Y",56.892,52.83,20.674,"Class1",57.931,"N",39,44.491,52.829
22,43,"I",57.157,78.952,13.945,"Class2",35.245,"B",30,18.826,42.461
56,27,NA,56.549,80.283,23.293,"Class2",34.599,"H",27,17.871,45.339
47,47,"K",62.884,77.978,23.555,"Class2",37.981,"V",28,18.41,37.003
36,53,"Z",51.307,77.996,13.296,"Class2",36.441,"B",28,18.639,59.722
