"K1","K2","K3","K4","K5","K6","K7","K8","K9","Output36","K10","K11"
14,81.109,37.693,57,52.986,8.076,36.321,"P",74,"Class3","Q",14.983
41,19.356,NA,86,21.743,47.449,72.542,"J",72,"Class1","A",66.76
69,0.161,79.087,74,27.475,67.807,33.718,"N",60,"Class2","A",37.966
73,0.509,40.975,66,27.111,71.883,44.905,"E",53,"Class2","C",23.963
69,0.619,35.483,51,86.846,60.047,18.063,"E",41,"Class2","L",65.643
43,31.267,68.652,78,17.447,52.586,74.247,"K",75,"Class1","U",60.852
73,0.346,52.173,45,5.102,63.731,30.557,"M",46,"Class2","A",20.415
73,0.6,72.627,76,13.53,65.893,24.523,"Z",37,"Class2","C",15.868
72,0.406,77.243,33,34.027,67.622,20.314,"E",57,"Class2","L",51.592
31,7.02,68.662,62,19.893,57.927,81.117,"Q",64,"Class1","A",59.131
16,91.744,69.775,42,79.672,8.542,16.017,"X",30,"Class3","Q",17.488
69,0.457,54.386,63,41.291,62.455,4.188,"Z",66,"Class2","A",38.647
70,0.945,31.625,41,23.714,64.977,27.588,"N",66,"Class2","L",46.364
80,40.233,52.928,9,22.051,20.555,12.886,"B",47,"Class4","S",84.454
43,38.538,72.51,50,17.899,52.508,86.835,"K",64,"Class1","U",41.117
67,0.081,61.309,83,64.439,53.034,39.68,"M",60,"Class2","L",48.757
14,74.882,91.791,37,47.464,19.107,17.375,"P",15,"Class3","Q",12.115
53,58.249,60.887,59,35.295,15.834,43.634,"U",40,"Class4","J",83.006
38,37.629,71.796,25,16.78,51.989,80.38,"J",65,"Class1","A",52.011
14,83.408,53.167,50,49.084,17.687,16.09,"S",21,"Class3","C",7.072
8,81.278,53.098,28,27.706,NA,21.918,"B",12,"Class3","U",11.476
31,29.286,67.231,39,21.247,46.631,82.488,"Q",62,"Class1","U",71.667
78,76.014,73.837,61,16.121,13.663,60.004,"T",24,"Class4","Q",85.603
45,37.625,73.329,44,16.23,54.698,93.19,"Q",81,"Class1","U",56.371
15,78.516,78.283,56,65.664,9.966,18.076,"P",57,"Class3","E",10.084
49,18.012,72.115,23,17.864,52.742,93.84,"C",66,"Class1","U",49.422
14,88.128,96.19,50,65.68,NA,20.666,"S",63,"Class3","R",17.029
15,79.436,42.395,34,77.854,12.724,18.618,"V",23,"Class3","E",10.784
80,64.797,66.721,21,30.09,13.129,1.254,"T",23,"Class4","Q",85.079
32,41.208,67.109,53,23.096,51.07,73.15,"V",83,"Class1","U",71.196
68,-0.29,42.102,39,23.697,65.682,44.763,"M",39,"Class2","I",15.358
67,0.603,76.798,73,89.309,60.676,14.59,"E",46,"Class2","I",40.851
73,53.079,54.056,37,16.687,17.737,68.503,"P",49,"Class4","G",84.733
70,-0.014,25.424,73,65.828,71.153,32.807,"M",57,"Class2","A",24.145
38,24.71,69.78,57,19.886,46.649,87.956,"K",65,"Class1","D",42.789
72,54.378,70.961,27,23.469,19.937,38.546,"T",37,"Class4","J",85.964
59,58.142,54.563,10,16.094,20.75,56.246,"F",33,"Class4","G",85.713
37,67.96,71.432,81,16.081,NA,82.235,"Q",56,"Class1","R",43.056
9,78.229,87.187,50,77.566,7.636,23.841,"V",46,"Class3","U",9.348
73,78.626,60.216,15,28.306,21.744,-2.766,"P",21,"Class4","S",84.992
10,83.108,79.273,47,19.602,12.796,34.765,"V",40,"Class3","E",17.679
18,88.284,37.818,42,55.249,14.984,8.768,"B",50,"Class3","E",16.727
62,48.009,49.98,46,38.879,19.245,67.857,"P",45,"Class4","S",85.54
66,0.847,23.477,75,40.048,61.269,31.826,"M",53,"Class2","C",12.312
28,41.914,70.341,56,23.213,54.387,70.679,"J",64,"Class1","D",45.31
53,64.037,64.697,21,25.402,19.246,12.452,"P",30,"Class4","S",84.719
79,55.837,70.956,26,38.486,28.09,62.981,"T",31,"Class4","Q",84.759
48,32.25,69.116,29,24.962,53.097,60.936,"J",57,"Class1","F",69.183
70,1.309,91.035,51,35.642,63.37,22.007,"N",39,"Class2","S",14.86
49,40.687,72.214,24,21.787,52.719,92.675,"Q",81,"Class1","R",59.463
9,80.057,75.238,49,45.828,15.781,21.67,"V",57,"Class3","E",10.988
13,98.667,38.244,33,51.174,13.918,42.434,"V",71,"Class3","E",17.296
62,60.476,52.847,54,27.633,20.951,49.201,"P",38,"Class4","V",84.593
47,18.139,73.937,50,22.657,57.911,49.293,"J",57,"Class1","D",42.635
72,0.484,63.153,71,60.336,NA,31.046,"M",55,"Class2","I",33.49
63,47.035,73.537,48,14.302,13.689,9.638,"U",37,"Class4","G",86.221
6,79.258,95.786,35,64.684,13.744,35.502,"X",37,"Class3","E",17.822
80,43.091,71.821,45,16.597,18.996,48.069,"T",32,"Class4","V",86.318
47,48.383,NA,92,16.126,50.997,63.367,"K",74,"Class1","F",42.518
61,68.296,48.13,37,37.275,17.32,39.156,"B",36,"Class4","G",87.907
7,87.347,92.771,56,92.29,20.082,19.956,"V",51,"Class3","R",10.477
81,54.72,64.978,44,34.332,18.091,-10.483,"F",49,"Class4","V",87.941
34,30.563,67.195,44,18.336,54.032,67.019,"K",60,"Class1","A",51.005
68,0.734,NA,69,44.625,NA,41.46,"E",40,"Class2","C",47.597
71,0.413,80.164,48,63.553,67.415,26.031,"D",69,"Class2","S",66.643
68,0.338,NA,50,38.571,58.197,4.397,"N",66,"Class2","A",39.129
71,0.529,NA,61,75.339,58.194,18.331,"D",56,"Class2","S",10.748
46,-0.632,71.844,67,23.725,51.845,81.513,"C",77,"Class1","A",70.647
49,24.717,67.43,31,18.857,52.413,81.595,"C",66,"Class1","U",67.526
33,9.754,70.849,36,21.861,59.278,65.412,"K",59,"Class1","A",56.569
60,67.774,NA,61,15.359,17.41,41.973,"T",33,"Class4","V",83.103
18,100.288,45.223,42,59.332,7.659,17.037,"X",30,"Class3","Q",7.587
73,0.231,44.25,83,93.271,64.898,29.206,"E",43,"Class2","C",11.72
66,0.724,43.682,37,79.033,58.546,35.603,"Z",38,"Class2","L",35.212
34,36.889,69.569,33,21.44,54.024,82.105,"K",65,"Class1","F",61.444
40,29.393,68.118,33,22.782,NA,72.574,"K",56,"Class1","U",48.135
67,0.465,59.309,63,17.669,56.689,28.016,"D",67,"Class2","I",58.577
73,48.006,50.303,8,36.742,20.593,13.956,"U",23,"Class4","G",86.554
68,0.335,39.235,38,56.279,69.325,46.832,"Z",36,"Class2","L",50.33
11,77.523,60.75,72,48.417,15.356,51.941,"B",57,"Class3","Q",12.2
71,0.849,57.786,81,6.796,70.499,14.27,"N",48,"Class2","A",12.787
5,78.163,91.774,61,41.827,10.503,45.26,"X",42,"Class3","R",14.133
70,0.063,69.146,75,22.383,63.848,37.366,"Z",63,"Class2","A",56.999
7,90.657,70.402,29,52.199,22.323,27.019,"S",42,"Class3","E",16.473
35,45.714,68.561,31,20.982,49.889,70.285,"K",67,"Class1","R",54.697
69,64.105,65.246,57,21.369,16.008,47.682,"T",24,"Class4","V",85.105
68,0.593,68.185,73,61.174,64.832,32.665,"Z",65,"Class2","A",48.357
75,39.466,77.608,6,19.396,13.763,41.736,"B",26,"Class4","Q",84.188
45,2.904,70.075,27,16.314,48.351,85.641,"C",75,"Class1","A",48.844
9,78.708,43.588,44,69.792,8.397,23.478,"S",19,"Class3","U",15.934
80,53.469,60.788,52,11.039,17.997,28.395,"F",46,"Class4","J",87.593
18,95.876,66.42,21,30.058,-1.164,21.393,"X",42,"Class3","U",15.53
70,0.15,34.761,76,4.641,67.268,51.349,"E",43,"Class2","L",36.021
66,0.462,82.665,42,54.603,65.377,4.86,"D",62,"Class2","C",59.685
37,30.529,72.945,49,16.521,53.149,76.975,"Q",54,"Class1","F",72.998
70,0.289,35.135,81,37.625,63.302,43.971,"E",45,"Class2","S",33.349
7,73.603,77.055,49,32.52,4.743,31.137,"X",18,"Class3","R",7.691
29,46.437,72.745,42,18.106,54.742,71.27,"V",72,"Class1","D",70.384
73,0.211,92.509,59,0.504,60.324,41.375,"M",43,"Class2","S",11.674
38,32.892,68.363,85,19.415,58.153,86.011,"J",67,"Class1","R",54.043
69,0.333,41.091,58,88.302,67.147,51.755,"D",40,"Class2","A",43.169
64,49.772,54.5,33,26.576,21.377,57.566,"U",32,"Class4","V",86.317
48,19.43,71.676,15,18.986,50.774,78.484,"C",83,"Class1","D",52.352
41,44.4,73.597,47,20.217,57.681,102.141,"V",59,"Class1","R",61.629
49,30.794,67.952,67,21.846,48.219,59.408,"V",55,"Class1","F",54.575
70,0.282,62.927,45,55.225,59.003,19.031,"Z",66,"Class2","I",31.151
65,73.452,77.557,51,21,18.551,17.371,"B",36,"Class4","V",86.994
66,0.617,66.083,67,80.439,67.619,24.094,"M",64,"Class2","C",35.287
72,0.564,45.214,64,77.725,67.383,25.855,"N",44,"Class2","S",20.306
5,89.634,39.959,53,38.855,15.85,26.477,"B",26,"Class3","E",11.857
13,93.335,77.714,19,57.83,10.42,19.04,"B",63,"Class3","E",17.356
48,5.914,68.131,6,24.173,49.081,81.527,"K",68,"Class1","A",71.861
67,59.624,55.952,58,9.819,20.441,56.652,"F",48,"Class4","S",86.56
16,82.33,62.199,49,45.564,18.088,22.344,"S",65,"Class3","E",17.79
13,77.967,NA,47,72.464,16.332,32.236,"V",30,"Class3","Q",16.226
9,91.643,77.736,42,81.857,14.176,9.851,"S",59,"Class3","C",11.217
76,54.332,NA,46,10.957,21.598,6.318,"F",19,"Class4","V",87.161
65,76.589,55.194,11,37.19,18.104,56.26,"T",26,"Class4","V",85.484
16,88.756,68.72,62,43.366,15.068,12.893,"P",24,"Class3","U",10.347
32,20.176,69.008,61,23.587,51.395,92.125,"J",72,"Class1","R",54.372
58,45.086,58.287,8,9.38,21.75,32.429,"P",39,"Class4","Q",87.309
35,38.781,NA,17,20.828,46.156,62.681,"K",68,"Class1","F",53.25
39,46.228,69.331,46,19.778,49.177,61.652,"J",80,"Class1","U",68.457
5,89.453,46.536,44,20.997,7.572,51.376,"P",21,"Class3","Q",16.608
18,77.126,72.127,67,53.957,16.037,34.076,"V",15,"Class3","U",11.991
28,20.065,71.933,51,19.155,48.24,78.41,"Q",66,"Class1","F",40.352
63,58.58,61.462,35,19.215,17.163,-3.374,"B",46,"Class4","J",87.255
10,88.172,70.882,27,80.366,27.241,3.737,"B",30,"Class3","U",17.7
68,1.167,31.389,62,66.703,57.379,18.476,"N",36,"Class2","C",28.145
43,28.367,73.911,33,19.865,48.906,103.064,"C",64,"Class1","U",70.234
68,0.48,51.171,49,21.983,63.779,35.895,"D",48,"Class2","S",12.349
16,68.599,71.627,19,28.322,8.196,18.196,"B",66,"Class3","Q",13.616
69,0.66,79.569,55,21.057,62.821,21.69,"M",43,"Class2","C",47.389
7,86.51,58.01,24,56.941,13.743,21.489,"B",24,"Class3","U",7.998
49,32.042,73.307,34,21.512,51.191,76.155,"V",58,"Class1","A",55.614
12,102.683,42.634,26,66.527,12.733,11.783,"P",53,"Class3","U",12.361
58,45.394,52.265,52,34.88,16.679,15.763,"U",45,"Class4","Q",85.352
41,8.073,NA,10,18.009,49.842,69.21,"J",72,"Class1","D",43.968
38,41.332,69.277,36,24.807,50.828,100.343,"K",76,"Class1","F",66.512
34,5.101,73.241,32,18.761,60.185,64.61,"K",64,"Class1","D",68.451
71,0.587,63.138,82,64.931,65.501,39.59,"E",68,"Class2","S",28.569
69,0.021,44.279,36,87.195,NA,38.315,"M",68,"Class2","L",43.976
69,80.901,54.091,16,16.436,16.672,60.079,"P",19,"Class4","V",83.279
73,0.605,74.026,62,14.451,62.711,9.906,"N",68,"Class2","C",47.501
73,0.509,41.519,49,67.676,66.409,61.558,"E",68,"Class2","L",68.221
8,82.993,81.45,26,84.213,11.504,17.111,"S",22,"Class3","R",11.095
70,0.636,80.404,57,48.213,69.258,31.498,"D",51,"Class2","I",56.919
69,0.286,65.452,64,88.01,61.906,26.672,"N",65,"Class2","A",31.558
14,92.468,43.341,41,56.897,19.306,15.603,"S",73,"Class3","Q",13.226
14,90.872,47.528,40,31.841,14.987,30.152,"X",50,"Class3","U",17.559
67,0.965,87.354,35,11.172,63.888,20.648,"D",49,"Class2","S",65.587
7,93.841,91.278,70,82.783,18.924,3.883,"X",23,"Class3","U",12.311
65,73.309,75.489,42,10.928,19.922,39.716,"T",41,"Class4","Q",85.197
72,82.94,56.51,58,38.023,20.075,29.018,"P",45,"Class4","S",83.103
13,87.471,82.483,44,50.796,NA,27.034,"S",46,"Class3","E",17.257
75,62.701,56.314,24,18.443,14.822,21.584,"U",35,"Class4","G",84.366
12,77.835,57.236,43,74.866,18.022,-24.89,"V",31,"Class3","E",12.614
72,48.079,67.028,61,16.304,20.949,72.583,"U",45,"Class4","G",86.095
11,92.912,54.411,37,29.364,26.992,9.714,"V",30,"Class3","C",17.636
73,0.518,35.743,43,81.166,62.128,11.659,"N",56,"Class2","C",18.804
36,45.923,72.198,37,17.109,50.396,96.584,"J",75,"Class1","U",40.164
16,81.713,70.773,30,87.156,17.954,13.519,"X",27,"Class3","C",17.218
49,33.747,73.742,88,18.67,NA,85.318,"C",55,"Class1","R",55.29
43,20.82,73.031,42,20.84,NA,93.424,"Q",59,"Class1","U",65.49
72,0.916,21.799,54,47.243,58.77,46.677,"D",53,"Class2","A",40.732
66,1.014,44.538,42,17.896,56.364,37.112,"Z",60,"Class2","A",32.136
13,75.363,96.095,28,18.383,24.592,27.763,"B",70,"Class3","Q",14.972
78,40.304,58.225,32,22.362,21.242,41.687,"B",49,"Class4","J",87.799
30,16.175,68.21,41,19.074,55.587,64.212,"C",80,"Class1","A",43.214
82,79.678,48.484,44,20.563,21.107,45.55,"P",22,"Class4","Q",84.075
43,35.589,72.097,26,21.474,54.784,65.831,"J",74,"Class1","F",57.998
52,56.99,58.43,26,26.449,14.661,-0.169,"U",24,"Class4","Q",83.632
64,80.602,72.165,18,12.038,22.989,63.753,"T",25,"Class4","V",83.894
6,85.62,64.794,38,62.13,4.457,6.547,"P",42,"Class3","E",12.825
45,40.621,68.43,45,18.412,55.194,82.473,"Q",68,"Class1","R",64.523
81,68.38,50.991,30,21.871,16.894,50.739,"T",40,"Class4","S",83.091
54,62.366,64,51,38.858,16.355,13.954,"T",47,"Class4","J",87.696
57,65.748,54.959,11,17.534,16.665,19.218,"T",28,"Class4","J",83.392
80,57.936,64.199,30,17.22,21.778,59.374,"B",33,"Class4","G",84.434
40,28.822,67.074,76,16.31,51.862,80.737,"V",71,"Class1","U",67.485
69,0.612,46.621,41,10.954,63.778,28.014,"M",36,"Class2","I",18.966
45,11.603,68.315,27,23.004,53.247,94.298,"V",58,"Class1","F",48.111
70,0.497,NA,81,77.946,61.279,36.354,"D",62,"Class2","L",67.571
6,92.675,70.139,21,93.03,NA,11.547,"P",34,"Class3","U",17.708
55,55.448,63.568,29,29.098,23.901,89.349,"P",44,"Class4","G",87.907
71,0.975,39.145,80,23.629,60.302,4.728,"Z",50,"Class2","L",47.421
18,82.585,56.674,39,36.771,14.463,44.724,"S",36,"Class3","U",8.211
5,85.079,42.498,51,26.864,NA,42.047,"S",54,"Class3","Q",9.968
13,79.483,79.799,23,55.531,11.063,33.281,"V",20,"Class3","R",13.535
34,8.136,73.665,83,24.172,52.128,73.672,"V",63,"Class1","F",56.541
14,84.148,67.596,58,30.991,6.304,4.199,"S",27,"Class3","E",10.662
13,83.777,72.243,68,91.484,20.086,10.492,"V",70,"Class3","C",14.209
69,0.373,58.144,39,2.492,65.128,32.858,"Z",58,"Class2","S",43.587
68,0.407,77.254,46,38.686,59.746,26.819,"D",48,"Class2","C",16.589
63,55.735,57.301,38,11.568,20.578,-1.816,"P",42,"Class4","V",85.858
11,86.973,36.363,60,34.519,17.462,0.635,"X",61,"Class3","E",7.602
43,31.113,73.689,16,24.652,50.457,69.085,"J",80,"Class1","A",53.495
13,86.312,48.498,40,88.399,15.932,13.774,"S",53,"Class3","E",15.649
66,0.74,38.369,64,13.316,61.29,22.85,"E",39,"Class2","C",65.383
44,-10.942,70.2,42,23.992,NA,74.787,"C",65,"Class1","U",68.37
66,0.387,74.327,40,50.579,65.886,24.163,"M",39,"Class2","S",43.609
29,33.642,68.053,55,22.196,51.546,69.289,"V",58,"Class1","F",70.74
13,95.18,64.195,32,21.924,16.884,15.626,"V",43,"Class3","Q",15.958
37,27.311,72.823,10,19.304,53.67,72.614,"J",78,"Class1","A",45.089
48,29.217,72.35,49,23.588,52.038,74.004,"C",70,"Class1","D",43.737
44,35.254,68.517,85,16.593,49.603,73.85,"V",60,"Class1","F",48.376
35,45.497,69.099,74,19.221,53.173,81.209,"V",76,"Class1","F",47.413
76,48.989,64.646,37,16.338,16.084,26.363,"F",30,"Class4","G",85.763
68,0.952,33.337,32,49.225,68.567,30.305,"Z",48,"Class2","A",15.067
69,0.643,37.56,51,72.537,70.237,3.605,"N",67,"Class2","S",52.794
9,84.474,92.658,48,80.144,12.301,19.441,"P",24,"Class3","U",17.889
73,-0.295,61.909,80,38.242,69.751,47.547,"Z",44,"Class2","A",31.584
39,33.354,67.039,30,24.255,52.544,80.645,"C",62,"Class1","A",41.611
73,91.568,60.4,21,32.187,NA,67.156,"P",34,"Class4","Q",86.904
16,84.484,89.281,57,36.32,14.822,18.138,"V",21,"Class3","U",7.887
54,67.416,76.486,48,9.834,14.593,85.932,"T",21,"Class4","G",85.086
37,32.932,69.755,92,16.96,51.011,89.23,"J",82,"Class1","U",40.384
33,29.245,NA,27,22.535,54.707,79.801,"V",79,"Class1","R",49.384
31,50.714,67.871,23,16.94,49.278,91.906,"C",80,"Class1","A",40.99
80,68.574,68.641,39,14.709,16.34,55.766,"U",47,"Class4","S",85.525
45,39.278,72.043,60,19.738,50.64,76.276,"C",64,"Class1","R",52.905
6,78.032,67.193,57,48.915,19.548,18.438,"P",68,"Class3","C",7.435
61,72.887,NA,45,22.392,17.752,55.981,"U",41,"Class4","G",86.15
38,36.529,70.137,85,24.598,53.524,69.548,"C",83,"Class1","U",71.591
42,49.084,NA,37,23.267,51.094,89.803,"K",54,"Class1","R",72.56
72,0.102,21.046,44,33.299,64.858,22.616,"M",37,"Class2","A",16.163
77,49.781,60.89,37,9.934,20.449,78.106,"T",24,"Class4","G",86.556
44,3.541,70.315,16,21.531,58.041,96.639,"C",74,"Class1","R",62.594
37,50.01,70.469,92,24.051,52.711,82.159,"Q",78,"Class1","F",66.621
8,71.338,80.737,47,39.944,16.832,27.655,"S",32,"Class3","R",7.566
12,87.795,44.215,37,79.022,1.181,50.596,"X",72,"Class3","Q",17.408
48,33.476,69.441,61,23.416,55.724,77.795,"K",67,"Class1","R",43.552
8,80.986,60.759,36,57.291,11.612,14.277,"X",27,"Class3","U",10.119
31,25.283,72.279,40,19.28,49.332,85.047,"J",74,"Class1","D",41.099
73,0.26,87.545,76,35.059,65.624,26.777,"M",69,"Class2","S",38.058
29,33.363,70.749,17,20.844,50.732,74.74,"C",75,"Class1","F",41.096
10,76.246,68.13,60,81.14,7.77,37.3,"X",47,"Class3","R",11.588
53,63.88,52.175,15,24.787,20.05,30.311,"U",43,"Class4","V",86.884
80,56.74,59.312,47,23.663,13.633,42.073,"T",23,"Class4","S",85.362
67,0.574,85.215,38,59.249,68.329,27.501,"D",50,"Class2","A",65.039
72,0.286,68.773,67,26.298,53.467,25.331,"M",68,"Class2","A",55.876
54,45.301,75.738,55,23.923,18.699,6.996,"F",26,"Class4","J",84.595
11,82.075,73.032,19,26.85,17.89,5.381,"S",36,"Class3","C",16.729
6,85.095,41.817,65,88.968,11.946,23.896,"X",35,"Class3","R",10.504
57,48.342,61.232,55,35.487,16.461,50.49,"F",28,"Class4","G",87.983
66,0.399,82.238,34,85.51,65.597,41.447,"E",68,"Class2","C",33.458
42,29.337,67.874,78,16.436,55.304,74.066,"V",81,"Class1","U",59.643
72,0.547,28.318,61,81.495,67.966,60.604,"Z",59,"Class2","S",16.819
52,81.348,77.922,11,13.537,15.099,52.303,"U",30,"Class4","J",85.938
9,91.052,64.781,50,34.113,14.966,16.464,"B",49,"Class3","U",16.512
72,76.645,49.756,48,28.525,14.831,31.275,"U",40,"Class4","V",86.281
58,52.81,72.788,31,27.739,19.426,28.703,"F",23,"Class4","J",83.251
68,0.875,83.534,49,70.516,51.983,11.293,"M",55,"Class2","L",63.662
73,0.664,71.903,42,43.092,65.135,35.314,"M",54,"Class2","I",37.42
11,70.825,85.278,29,88.83,NA,37.902,"P",16,"Class3","Q",15.06
71,0.581,77.288,73,34.429,59.712,25.19,"M",38,"Class2","A",24.95
69,54.59,52.785,15,31.573,13.947,69.122,"F",46,"Class4","J",86.972
78,41.919,74.481,35,11.283,NA,53.583,"T",38,"Class4","J",87.09
37,25.313,67.979,74,22.359,48.843,69.607,"J",68,"Class1","A",58.674
66,0.566,22.453,55,86.507,69.552,26.591,"Z",48,"Class2","L",28.437
14,83.432,56.145,71,22.244,10.474,30.2,"P",13,"Class3","C",15.436
71,0.387,91.08,58,71.758,63.671,28.012,"Z",48,"Class2","I",14.173
38,19.312,67.408,14,19.844,54.104,81.126,"C",68,"Class1","D",57.882
41,43.609,71.664,46,17.777,50.386,82.916,"K",61,"Class1","A",53.202
7,94.078,42.234,27,61.535,17.053,31.895,"B",28,"Class3","U",13.434
8,89.561,83.555,47,39.269,18.503,27.037,"V",65,"Class3","U",9.037
5,77.647,58.779,48,84.185,2,21.84,"P",61,"Class3","R",10.128
18,78.065,96.322,70,71.198,2.076,20.959,"X",48,"Class3","R",8.469
49,9.813,70.912,51,18.091,49.399,79.2,"J",79,"Class1","F",66.066
11,85.96,51.013,58,21.201,6.087,28.427,"S",63,"Class3","R",8.337
68,-0.003,32.913,51,72.545,59.6,34.899,"E",46,"Class2","L",67.28
74,75.51,59.733,20,33.803,20.71,35.83,"P",37,"Class4","G",86.58
68,74.734,77.108,27,33.894,17.746,15.715,"P",46,"Class4","J",84.69
28,34.705,72.316,82,18.365,NA,77.497,"Q",67,"Class1","A",65.439
59,42.42,63.698,29,29.724,23.033,74.001,"F",27,"Class4","J",84.737
70,55.921,52.447,16,38.668,16.561,64.324,"B",41,"Class4","Q",84.621
42,26.98,69.232,25,23.448,50.823,95.49,"Q",57,"Class1","U",55.458
71,0.038,83.08,57,69.545,60.199,34.812,"M",57,"Class2","I",63.384
72,55.298,54.794,30,29.3,16.448,64.158,"U",22,"Class4","G",86.484
14,88.87,49.099,23,90.276,19.578,51.231,"P",24,"Class3","R",8.16
69,69.241,49.378,29,32.071,20.978,34.82,"B",39,"Class4","Q",86.604
8,68.742,74.202,39,50.362,18.167,32.835,"V",19,"Class3","E",8.62
42,39.864,68.442,77,23.83,48.591,72.344,"C",56,"Class1","F",42.393
11,98.199,83.784,43,22.433,15.196,4.194,"P",43,"Class3","C",17.158
12,102.756,81.079,50,60.897,9.279,23.145,"X",43,"Class3","E",15.354
66,61.759,NA,35,12.864,16.901,25.542,"U",28,"Class4","G",85.853
58,62.709,68.632,27,8.651,19.056,44.585,"U",33,"Class4","G",86.903
69,0.876,70.468,53,14.141,72.683,29.424,"M",40,"Class2","A",64.652
39,28.07,68.3,16,18.319,53.058,63.59,"V",61,"Class1","U",58.108
59,54.329,74.547,25,33.646,12.755,40.783,"U",34,"Class4","J",85.473
79,48.574,70.935,57,30.08,27.596,44.662,"U",25,"Class4","J",84.249
15,82.522,36.911,49,61.284,12.669,5.411,"P",50,"Class3","C",12.097
47,42.003,70.517,16,23.172,42.613,74.957,"V",60,"Class1","D",65.109
55,47.714,62.988,30,29.259,24.421,42.307,"T",27,"Class4","G",87.946
70,0.67,83.187,34,21.139,63.222,33.053,"Z",55,"Class2","I",36.797
70,0.884,71.43,77,72.587,66.825,27.479,"D",54,"Class2","C",48.617
70,70.72,62.548,44,28.54,16.364,29.335,"U",35,"Class4","V",83.798
82,70.763,76.596,37,14.81,14.218,76.363,"F",40,"Class4","J",86.631
67,52.495,76.072,37,23.653,20.625,3.419,"P",38,"Class4","S",86.525
6,97.526,70.073,57,90.457,NA,25.885,"V",28,"Class3","C",15.267
8,76.035,39.124,51,23.115,9.576,26.344,"B",27,"Class3","R",9.902
72,-0.128,29.852,78,11.749,73.268,8.557,"M",67,"Class2","S",68.061
35,41.475,68.376,77,21.683,48.709,71.22,"J",54,"Class1","R",71.737
70,0.84,29.049,41,54.912,60.769,32.786,"Z",56,"Class2","A",13.816
67,0.745,66.474,83,28.891,63.781,19.847,"M",64,"Class2","C",22.647
70,0.363,29.612,77,57.936,65.435,37.834,"E",36,"Class2","S",14.868
66,0.499,23.084,38,13.629,60.272,38.746,"N",37,"Class2","I",66.467
8,88.982,88.22,50,47.053,11.826,37.735,"S",52,"Class3","E",14.256
12,85.694,65.579,34,32.445,13.62,21.299,"S",34,"Class3","Q",12.474
66,52.555,65.092,60,24.94,13.11,63.744,"T",18,"Class4","G",84.679
66,0.12,87.701,56,28.759,62.743,56.052,"Z",44,"Class2","C",30.157
69,60.811,68.31,44,11.871,19.23,35.961,"F",46,"Class4","S",86.797
36,38.332,NA,39,24.848,45.87,96.021,"J",54,"Class1","A",64.916
29,13.946,71.479,70,21.531,46.019,76.742,"V",81,"Class1","R",47.682
67,0.707,48.868,77,62.792,69.386,22.69,"M",61,"Class2","C",15.095
65,58.436,54.269,17,15.93,15.695,26.529,"T",23,"Class4","J",83.958
67,0.029,91.793,58,18.005,63.22,-6.543,"N",39,"Class2","L",34.753
66,0.65,59.026,73,19.324,60.171,14.362,"D",65,"Class2","C",34.303
16,77.614,52.72,70,54.495,11.309,27.87,"V",54,"Class3","U",8.007
70,0.004,21.342,69,58.412,55.116,23.948,"E",36,"Class2","I",58.074
32,-20.637,72.604,82,22.049,59.922,80.244,"C",56,"Class1","U",65.486
70,54.028,50.023,56,28.093,18.565,49.614,"B",42,"Class4","V",87.11
47,36.032,72.729,82,17.968,47.018,70.296,"V",60,"Class1","A",53.304
11,76.01,41.21,55,47.811,4.375,23.226,"P",56,"Class3","R",16.498
8,89.906,61.329,67,78.715,13.823,7.01,"V",40,"Class3","U",10.44
81,44.729,69.845,34,16.412,17.689,61.146,"B",46,"Class4","V",85.746
72,0.716,49.27,79,56.705,66.769,9.119,"Z",59,"Class2","I",48.695
66,0.757,90.828,77,48.072,61.512,21.475,"E",64,"Class2","I",33.141
36,20.06,72.638,7,18.268,49.232,64.2,"K",58,"Class1","R",69.837
67,0.376,30.319,61,19.45,62.94,12.68,"M",53,"Class2","A",10.951
71,0.615,26.422,65,63.384,60.607,37.536,"N",41,"Class2","S",45.207
33,9.544,67.853,63,18.142,55.484,82.041,"J",69,"Class1","A",43.433
69,1.267,86.674,61,42.538,NA,14.744,"Z",37,"Class2","S",61.343
61,41.58,69.534,21,30.963,18.229,25.244,"F",22,"Class4","S",84.361
6,78.056,70.649,54,48.207,20.587,11.642,"S",62,"Class3","U",7.247
69,69.226,65.897,60,10.003,20.851,54.706,"B",45,"Class4","S",83.404
73,1.221,70.636,58,18.377,60.731,18.681,"N",66,"Class2","I",37.635
68,0.553,65.715,61,76.961,67.55,25.384,"Z",38,"Class2","C",40.646
47,31.682,72.628,44,19.805,54.889,80.488,"J",58,"Class1","F",49.523
52,61.371,57.454,19,38.948,16.143,40.805,"F",33,"Class4","V",85.442
69,0.519,22.527,36,46.111,70.917,49.453,"M",63,"Class2","C",43.419
74,74.072,68.81,58,25.598,19.609,48.319,"T",48,"Class4","S",85.938
17,82.984,57.627,22,37.991,19.544,24.611,"V",10,"Class3","C",11.613
17,82.121,57.932,28,66.096,12.419,17.635,"S",38,"Class3","U",17.793
48,24.179,69.658,50,24.728,41.828,77.698,"J",61,"Class1","F",53.648
39,62.897,68.396,88,24.097,53.469,81.549,"K",74,"Class1","A",70.649
49,19.089,NA,24,16.943,45.833,72.271,"Q",80,"Class1","U",40.721
66,0.353,67.602,52,35.241,62.971,36.973,"E",63,"Class2","L",37.555
