"I1","I2","Output34","I3","I4","I5","I6","I7","I8","I9","I10","I11"
48.875,47.336,"Class2",77,24.889,39,"Z","Z",54.134,50,9.366,29.265
27.233,33.68,"Class3",26,52.443,45,"X","L",33.092,30,30.403,95.447
58.976,37.239,"Class2",55,27.387,38,"M","A",37.767,57,9.634,32.058
76.446,15.434,"Class2",53,24.072,39,NA,"G",41.397,83,9.991,45.046
78.399,45.816,"Class2",46,23.76,39,"Z","L",33.871,48,9.556,61.273
68.983,50.367,"Class1",62,69,80,"M","Y",29.964,37,38.295,49.422
27.345,32.628,"Class3",26,55.808,51,"T","E",36.942,22,33.004,91.011
86.241,72.911,"Class1",71,68.281,74,"M","E",35.945,50,38.529,34.893
63.736,57.382,"Class2",71,25.48,41,"I","C",53.637,61,10.706,32.613
76.396,57.13,"Class1",55,67.851,78,"M","R",33.269,29,41.788,52.15
27.492,35.995,"Class3",43,59.133,23,"N","G",75.913,29,31.016,90.789
79.99,66.723,"Class1",54,67.359,74,"M","H",32.296,78,34.232,53.427
36.062,73.913,"Class2",73,26.593,39,"M","L",86.19,54,7.514,-0.684
27.861,30.425,"Class3",40,72.652,52,"X","I",45.526,25,31.164,94.016
40.392,49.758,"Class2",64,25.205,38,"Z","L",68.481,82,10.019,69.71
63.948,48.89,"Class1",53,68.439,72,"V","H",33.584,48,46.737,48.678
67.892,9.457,"Class2",72,25.741,42,"E","A",83.4,85,11.2,40.499
69.448,54.223,"Class2",75,26.404,40,"I","G",81.503,72,10.923,-19.142
75.527,20.69,"Class2",59,26.428,40,"D","L",48.123,51,11.092,42.122
68.305,20.659,"Class2",65,26.828,42,"E","L",40.759,52,10.872,-34.325
24.926,41.131,"Class1",63,67.86,82,"V","E",33.485,37,37.492,48.421
77.607,10.446,"Class2",67,24.632,38,"I","C",28.235,62,9.398,0.431
28.707,29.09,"Class3",37,61.208,56,"K","E",74.3,23,33.856,90.107
81.249,55.404,"Class1",68,67.849,76,"W","H",30.008,50,37.266,59.667
43.632,51.104,"Class1",53,68.8,68,"W","E",33.776,75,36.324,65.279
89.158,80.848,"Class1",61,68.018,76,"M","K",36.171,40,33.088,57.916
65.064,76.102,"Class1",55,69.103,69,"W","H",34.308,33,42.416,58.163
48.896,52.597,"Class2",71,25.029,43,"D","Z",47.677,48,11.132,49.955
51.649,72.236,"Class2",56,25.519,41,"D","G",30.544,72,11.832,28.631
40.328,41.666,"Class1",60,67.688,70,"M","H",34.476,29,36.517,54.304
75.798,18.75,"Class2",60,25.512,43,"E","Z",52.246,48,10.229,28.084
81.565,54.693,"Class1",59,71.064,84,"V","K",35.628,42,48.627,54.002
75.649,54.464,"Class1",59,69.107,74,"M","E",32.229,49,35.937,54.165
77.044,36.371,"Class2",52,23.315,40,"Z","A",78.366,61,5.314,28.06
28.757,29.475,"Class3",30,54.78,12,"K","E",13.937,32,34.107,90.499
27.661,32.386,"Class3",36,79.61,34,"T","T",22.464,28,31.287,85.493
28.657,33.401,"Class3",39,74.72,72,"Y","L",54.42,22,32.057,89.43
27.861,35.3,"Class3",26,58.704,80,"N","G",18.667,23,31.212,100
38.551,44.89,"Class2",78,25.06,39,"I","G",76.866,85,10.96,46.445
82.63,53.588,"Class1",64,69.869,84,"M","K",35.947,30,32.997,38.669
89.431,44.898,"Class1",58,70.044,80,"V","R",31.769,31,39.756,48.228
28.185,34.628,"Class3",36,102.243,71,NA,"L",57.226,28,32.864,91.899
27.039,32.48,"Class3",31,89.655,80,"T","T",78.323,30,36.43,92.291
28.639,34.539,"Class3",27,90.799,86,"Y","L",70.288,23,34.469,91.332
49.131,19.263,"Class2",72,27.438,38,"Z","L",59.71,70,11.04,54.669
69.566,54.308,"Class1",59,67.695,84,"W","R",36.584,50,36.624,54.028
27.987,30.067,"Class3",42,58.111,86,"T","E",7.64,24,28.913,95.775
67.388,50.198,"Class2",54,24.136,39,"D","C",64.745,83,10.664,35.052
28.005,31.957,"Class3",27,50.391,64,"T","T",53.108,24,31.921,95.297
39.767,48.7,"Class1",67,65.877,76,"N","K",30.411,75,45.598,58.561
27.741,34.73,"Class3",30,32.118,61,"Y","L",20.634,24,33.978,99.29
76.311,53.6,"Class1",59,69.392,80,NA,"H",32.32,56,44.391,51.342
13.907,41.286,"Class1",70,67.288,77,"W","R",33.175,69,35.573,51.548
27.658,35.26,"Class3",29,69.624,83,"K","E",79.97,33,31.205,91.694
31.328,59.332,"Class2",69,24.815,38,"M","G",58.697,69,10.661,24.263
28.325,31.281,"Class3",39,5.132,43,"K","E",24.914,27,29.687,89.319
77.576,71.569,"Class1",70,69.34,71,NA,"R",39.06,43,NA,54.053
75.306,57.24,"Class2",55,25.428,40,"E","C",60.991,71,11.594,54.501
58.256,48.357,"Class2",48,25.354,43,"E","L",53.959,65,12.183,32.82
47.656,37.44,"Class2",66,25.762,43,"E","G",34.401,67,10.728,36.707
27.643,31.316,"Class3",40,85.742,75,"Y","E",66.749,26,33.395,83.046
30.958,65.432,"Class2",64,26.104,40,"M","A",89.371,77,NA,20.262
28.757,34.95,"Class3",43,56.85,36,"N","L",44.486,24,33.194,96.16
28.735,34.601,"Class3",41,62.036,83,"T","G",10.611,28,30.882,97.518
28.422,45.701,"Class1",57,68.838,77,"W","E",33.623,32,37.231,57.163
71.218,66.907,"Class1",60,67.424,80,NA,"H",30.455,72,33.943,39.347
27.878,29.195,"Class3",37,69.963,8,"K","L",60.907,33,31.315,95.076
28.932,30.529,"Class3",40,78.845,29,"T","T",29.142,28,32.113,86.859
89.005,62.492,"Class1",65,69.566,78,"V","E",31.403,49,38.013,52.963
27.951,31.197,"Class3",30,24.349,77,"T","G",38.293,30,32.224,93.016
28.235,33.987,"Class3",34,75.095,21,"T","E",54.272,30,NA,90.839
46.897,14.867,"Class2",61,24.577,38,"D","A",45.856,76,10.82,17.867
34.355,27.532,"Class2",50,25.468,43,"E","Z",67.595,55,8.775,31.085
87.516,78.049,"Class1",59,67.952,77,"V","K",32.712,63,34.631,49.819
63.633,59.904,"Class2",52,23.306,42,"D","C",73.374,65,9.58,28.653
16.154,68.952,"Class1",66,70.564,70,"W","H",36.178,44,36.482,68.09
37.808,77.072,"Class1",59,66.922,69,"O","Y",30.457,53,27.855,51.245
28.681,30.553,"Class3",38,82.899,51,"X","I",27.841,33,31.189,87.282
28.221,29.577,"Class3",28,48.901,80,"K","G",43.381,32,32.632,90.579
27.893,30.668,"Class3",41,40.259,9,"X","G",11.055,31,25.936,97.193
27.908,32.29,"Class3",43,7.174,48,"N","I",63.838,32,30.935,94.769
53.704,46.882,"Class2",61,25.183,43,"I","Z",35.309,67,12.176,22.555
27.689,35.959,"Class3",26,44.82,11,"N","I",31.236,33,34.756,81.137
63.548,26.009,"Class2",77,25.493,38,"E","Z",74.614,59,7.483,34.954
24.098,57.957,"Class1",63,68.416,81,"M","H",30.321,64,43.584,44.275
57.645,25.858,"Class2",74,25.487,41,"E","A",70.927,70,11.236,40.72
27.469,30.121,"Class3",33,82.358,77,"T","G",6.081,22,31.116,95.067
85.118,52.178,"Class1",67,68.408,74,"V","R",30.767,69,40.382,58.031
16.199,70.315,"Class1",66,68.284,84,"V","Y",29.515,70,33.114,49.73
73.938,25.984,"Class2",50,24.691,40,"I","L",58.705,73,8.415,52.45
27.38,29.064,"Class3",43,37.94,64,"X","G",23.157,25,30.671,89.852
76.667,34.636,"Class2",76,26.64,38,"E","G",43.438,71,10.739,37.162
28.066,29.213,"Class3",32,67.325,60,"K","G",76.384,31,NA,97.3
28.717,35.604,"Class3",27,54.438,47,"K","I",3.952,30,33.516,88.951
39.021,32.994,"Class2",48,25.756,39,"D","L",32.109,86,11.982,24.923
52.885,25.985,"Class2",47,24.509,41,"D","Z",57.807,58,10.661,76.996
60.259,51.157,"Class2",52,25.234,40,"E","C",81.517,58,11.759,51.82
79.131,51.924,"Class1",70,68.674,83,"M","H",30.955,55,35.087,56.164
27.099,34.343,"Class3",42,74.639,9,"Y","L",43.399,22,32.409,96.752
63.827,16.695,"Class2",78,26.067,42,"I","G",51.42,54,NA,25.079
70.765,36.925,"Class2",75,25.183,40,"D","G",56.984,56,11.991,-1.953
27.757,35.97,"Class3",29,53.693,10,"K","I",17.881,31,33.995,93.664
34.152,44.987,"Class2",74,24.529,43,"Z","C",54.15,56,7.51,6.034
74.656,50.402,"Class2",59,25.33,43,"Z","G",44.633,49,6.744,10.358
28.229,35.292,"Class3",41,56.373,46,"N","I",67.096,23,35.145,99.319
89.63,51.144,"Class1",52,68.251,75,"W","K",29.513,77,40.135,58.211
70.54,34.035,"Class2",76,23.83,42,NA,"C",44.061,51,9.029,36.344
43.265,18.79,"Class2",64,25.822,39,"E","G",32.06,63,10.432,30.21
28.04,33.944,"Class3",37,64.685,22,"Y","E",41.029,26,32.821,90.543
54.287,63.304,"Class1",54,66.919,76,"W","E",39.674,42,35.753,53.732
18.915,80.869,"Class1",63,69.329,82,"M","H",33.49,43,39.64,42.274
37.059,77.411,"Class1",61,67.997,76,"O","H",29.278,28,33.263,43.642
28.486,30.093,"Class3",31,76.941,48,"T","E",11.743,33,28.878,94.008
45.487,54.431,"Class1",55,67.941,74,"W","R",39.579,29,43.826,52.87
27.062,33.939,"Class3",35,76.923,88,"N","G",76.796,32,30.859,91.6
28.575,34.017,"Class3",37,62.582,62,"Y","I",49.88,27,29.009,93.248
63.71,48.24,"Class2",78,27.41,43,"D","Z",36,62,8.479,-13.073
34.919,60.732,"Class1",70,67.923,73,"N","E",35.136,40,46.361,59.109
30.173,47.472,"Class1",61,68.354,70,NA,"Y",31.826,40,33.037,56.797
39.434,53.853,"Class1",66,66.771,71,"W","E",39.449,46,48.538,44.893
28.006,33.313,"Class3",26,67.261,70,"T","G",47.397,25,NA,95.319
59.917,37.673,"Class2",75,25.542,42,"I","L",48.625,82,8.256,44.292
28.774,31.677,"Class3",40,94.257,13,"N","I",4.41,30,33.552,83.919
46.094,20.46,"Class2",78,26.432,41,"I","G",75.062,67,10.891,21.551
27.545,35.856,"Class3",33,46.14,80,NA,"I",32.967,23,29.74,98.013
82.547,66.592,"Class1",61,69.278,82,"V","H",31.657,29,43.657,59.049
64.002,49.518,"Class2",61,26.58,43,"I","Z",49.442,85,9.603,12.348
28.632,34.907,"Class3",42,61.589,65,"N","E",31.986,29,29.445,95.724
53.965,76.432,"Class1",52,66.313,68,"W","E",32.077,75,28.78,52.263
36.305,8.957,"Class2",68,24.824,43,"I","G",38.027,87,9.963,26.272
77.29,43.152,"Class1",65,69.241,71,"O","Y",29.227,60,51.487,59.335
28.159,29.742,"Class3",35,42.864,58,"T","T",32.617,28,32.948,95.691
62.305,72.979,"Class2",62,27.815,43,"I","A",67.09,83,9.302,26.895
28.624,30.56,"Class3",43,75.449,71,"Y","G",46.465,24,32.078,92.442
52.55,50.83,"Class1",68,68.711,84,"M","E",32.389,59,37.228,51.694
46.303,47.551,"Class1",70,67.694,80,"M","H",30.901,40,32.369,50.32
43.127,21.285,"Class2",74,25.835,39,"M","G",33.419,47,8.952,21.706
27.789,30.309,"Class3",39,77.755,9,"X","T",69.958,28,27.606,89.293
52.204,51.191,"Class1",58,67.637,80,"M","H",30.921,62,35.802,48.178
27.42,32.139,"Class3",41,31.868,51,"Y","G",25.198,32,33.759,97.205
74.922,25.499,"Class2",63,26.282,41,"I","G",86.78,70,10.026,9.258
28.424,30.372,"Class3",27,70.482,83,"K","I",19.56,30,30.959,99.567
78.488,70.337,"Class2",54,26.142,43,"E","L",47.598,61,9.495,82.67
28.871,34.78,"Class3",40,62.721,92,"N","I",77.727,28,30.078,83.808
39.235,49.387,"Class1",64,68.655,81,"N","E",29.321,60,NA,64.237
27.515,35.123,"Class3",39,90.742,28,"N","L",63.762,30,32.859,93.014
66.323,57.945,"Class1",53,69.168,81,"W","R",40.177,46,32.682,50.711
57.839,54.626,"Class2",64,26.731,41,"I","Z",62.673,76,12.566,30.506
27.973,30.21,"Class3",27,35.109,44,"Y","L",12.469,28,32.915,95.511
27.59,29.869,"Class3",43,77.553,92,"K","G",61.372,27,32.271,97.405
41.373,23.572,"Class2",54,25.007,40,"M","Z",57.452,77,10.775,36.112
16.567,54.223,"Class1",66,68.319,73,"O","E",38.387,44,32.127,54.945
32.865,72.295,"Class2",60,24.246,38,"D","C",82.441,66,11.912,46.571
76.993,73.263,"Class2",67,26.242,38,"Z","G",80.581,80,7.34,36.41
78.87,50.332,"Class1",66,69.574,85,"O","Y",32.698,46,39.606,54.992
81.905,67.794,"Class1",59,68.8,77,"O","K",38.631,36,41.579,60.475
58.758,41.373,"Class1",58,67.622,83,"N","R",40.458,31,34.138,46.883
54.862,12.403,"Class2",61,25.727,40,"E","Z",60.521,47,12.143,31.84
28.761,35.034,"Class3",29,71.708,51,NA,"L",79.517,25,32.749,96.125
50.328,64.103,"Class1",70,69.702,69,NA,"K",29.285,70,28.508,52.43
71.984,52.562,"Class2",47,25.158,39,NA,"Z",39.543,79,8.92,35.645
48.69,60.679,"Class2",67,25.957,41,"D","L",78.862,61,9.721,37.103
34.856,42.157,"Class1",57,67.66,76,"O","Y",29.923,51,39.671,59.816
27.587,29.295,"Class3",33,71.637,30,"X","L",39.4,31,30.667,90.68
76.047,63.868,"Class2",54,26.532,38,"M","L",41.19,66,8.248,100.923
54.049,66.727,"Class1",71,69.411,68,"M","E",39.568,57,33.636,62.779
27.814,33.512,"Class3",38,88.513,51,"K","E",27.546,31,31.859,83.827
37.864,43.767,"Class1",54,69.052,83,"M","Y",39.777,70,35.038,44.233
68.659,73.73,"Class2",60,26.178,38,"Z","Z",51.385,50,11.189,39.638
27.22,31.288,"Class3",39,64.598,59,"K","L",29.88,23,36,89.132
67.732,14.861,"Class2",64,25.011,42,"Z","G",61.616,70,11.712,29.355
37.905,57.921,"Class2",74,25.508,38,"E","Z",56.221,80,10.298,-19.519
76.105,45.179,"Class2",57,25.077,38,"Z","G",76.489,82,7.918,46.601
27.331,31.109,"Class3",32,87.533,32,"Y","T",61.5,29,31.508,90.494
27.414,33.666,"Class3",35,93.996,35,"T","E",75.713,26,29.418,104.083
27.61,35.022,"Class3",39,92.008,72,"T","G",63.297,31,32.237,93.388
55.879,64.175,"Class1",56,67.92,80,"W","R",36.986,60,43.716,40.126
40.179,70.221,"Class1",52,68.911,68,"M","H",34.66,33,29.953,50.175
41.563,72.289,"Class2",61,24.41,39,"E","A",89.983,84,10.929,37.884
27.556,35.583,"Class3",40,59.902,76,"T","L",13.424,29,32.067,92.09
86.343,80.687,"Class1",53,68.311,78,"W","K",36.859,55,34.374,41.573
24.345,47.397,"Class1",69,67.285,70,"W","E",33.902,29,40.123,59.261
28.827,31.678,"Class3",32,45.719,77,"X","T",78.47,33,30.6,92.472
66.823,8.253,"Class2",53,25.969,42,"M","A",65.264,84,10.455,22.186
28.215,34.233,"Class3",40,98.753,55,NA,"L",15.186,32,29.788,96.193
57.897,57.313,"Class1",65,69.05,79,"V","R",31.632,66,37.298,48.16
27.081,31.243,"Class3",34,64.284,35,"N","G",35.689,29,31.187,87.335
33.77,51.206,"Class1",64,67.975,83,"M","H",30.115,61,33.442,44.84
61.098,67.902,"Class2",69,24.665,42,"E","G",48.726,47,8.375,60.411
27.062,35.813,"Class3",27,41.302,64,"Y","T",6.349,32,29.038,97.481
37.527,40.473,"Class2",68,26.705,39,"Z","C",82.496,61,10.519,-9.525
54.365,44.619,"Class1",68,68.3,79,"M","E",29.952,78,34.401,51.247
72.858,56.654,"Class2",54,26.249,42,"D","L",81.187,85,9.36,2.673
79.275,44.263,"Class2",70,27.946,43,"D","C",43.747,57,9.216,69.16
21.755,78.128,"Class1",69,66.661,75,"V","Y",30.182,38,36.401,55.21
61.485,59.425,"Class1",59,66.431,73,"W","Y",32.023,69,42.722,44.955
27.955,35.566,"Class3",29,105.091,17,"Y","T",26.92,24,32.255,93.164
51.384,49.117,"Class1",55,68.557,76,"M","H",33.143,29,51.594,54.682
50.971,42.853,"Class1",57,69.105,83,"N","Y",40.961,41,36.777,48.72
43.404,39.214,"Class2",76,23.994,39,"I","Z",48.205,64,11.449,15.461
27.113,29.3,"Class3",32,56.86,26,"T","I",23.626,26,35.244,90.796
27.247,31.335,"Class3",37,62.97,90,"X","G",31.109,28,30.143,97.892
25.212,62.678,"Class1",57,69.478,75,"W","R",37.18,29,40.988,51.831
79.364,31.855,"Class2",46,26.378,41,"D","G",76.639,77,11.959,24.394
20.885,52.05,"Class1",70,68.221,70,"M","K",31.81,51,35.487,49.925
78.59,71.533,"Class1",68,69.669,83,"N","Y",29.023,73,41.86,60.946
27.224,33.96,"Class3",42,101.371,45,"T","G",80.997,27,32.975,98.809
44.555,32.277,"Class2",73,28.233,38,"M","Z",79.398,63,12.512,26.91
61.837,21.669,"Class2",66,24.174,39,"D","G",63.381,86,8.596,34.118
27.544,35.136,"Class3",31,70.038,53,"Y","E",15.822,25,32.621,94.558
20.046,61.599,"Class1",66,68.209,71,"W","H",30.603,46,42.214,58.986
70.23,17.055,"Class2",61,27.629,39,"E","L",53.479,60,7.914,34.312
54.315,34.58,"Class2",62,26.014,41,"I","A",32.878,61,8.727,19.841
27.612,31.375,"Class3",27,62.909,71,"N","I",33.424,33,31.422,101.3
44.22,31.154,"Class2",56,25.419,38,"D","L",44.084,62,8.627,40.098
28.142,29.929,"Class3",33,48.455,24,"X","G",63.126,29,32.031,91.102
41.482,68.962,"Class2",65,25.021,41,"M","L",78.797,51,10.717,28.091
28.508,32.24,"Class3",42,51.721,85,"N","T",48.472,26,31.582,96.597
69.261,70.934,"Class1",70,67.786,72,"N","E",36.308,61,37.26,57.092
28.209,29.636,"Class3",32,89.401,11,"N","I",70.614,26,31.739,97.677
63.263,70.032,"Class1",53,69.682,73,"V","H",40.635,47,NA,50.996
28.95,29.619,"Class3",43,71.078,7,"Y","E",56.202,23,29.942,97.182
27.907,32.47,"Class3",37,133.978,59,"T","E",54.005,24,29.277,97.974
28.179,33.165,"Class3",37,52.928,12,"T","G",46.015,24,32.287,92.18
46.983,46.51,"Class2",47,24.502,41,"E","G",54.202,61,9.167,5.795
47.212,58.274,"Class2",69,25.902,42,NA,"A",58.71,49,8.028,31.716
40.345,42.878,"Class1",70,70.173,85,NA,"E",31.678,77,39.042,52.659
38.639,57.841,"Class2",71,24.379,41,"Z","C",42.027,57,9.37,63.103
28.692,32.041,"Class3",27,64.263,34,"X","T",58.565,31,34.011,95.689
76.631,37.706,"Class2",46,26.692,41,"E","C",74.717,74,10.694,48.859
67.851,26.633,"Class2",58,25.76,41,"I","G",66.489,67,12.723,30.904
49.47,19.559,"Class2",69,26.13,40,NA,"L",55.752,83,10.737,38.428
64.961,42.773,"Class1",68,68.464,84,"W","Y",33.344,75,43.35,58.225
27.81,30.113,"Class3",33,102.281,26,"Y","E",62.921,32,32.88,97.168
17.769,75.447,"Class1",70,67.542,76,"V","H",32.714,57,28.217,61.023
67.292,41.207,"Class1",55,68.72,69,"N","R",29.305,51,38.927,38.755
48.187,65.032,"Class2",46,25.617,40,"M","A",81.458,77,10.815,17.719
19.668,78.619,"Class1",65,66.338,78,"W","Y",29.678,43,36.275,69.831
44.343,68.196,"Class2",48,24.391,42,"D","L",24.836,64,11.648,16.315
35.906,16.566,"Class2",60,25.457,38,"I","C",52.185,87,8.31,23.371
78.032,71.373,"Class2",68,25.295,41,"D","A",79.778,62,10.185,42.774
47.679,62.874,"Class1",69,66.972,75,"O","H",30.954,76,36.174,53.868
56.229,80.483,"Class1",61,68.468,78,"M","H",32.808,54,NA,57.278
27.183,29.169,"Class3",34,79.1,44,"X","I",41.025,32,30.925,90.277
27.885,32.342,"Class3",35,78.929,72,"Y","T",27.943,33,33.39,95.478
22.642,72.492,"Class1",55,68.051,78,"M","K",29.843,79,39.519,50.149
28.665,29.424,"Class3",29,81.515,35,"X","T",14.053,22,27.766,89.984
48.099,47.791,"Class1",64,69.759,84,"W","K",35.717,44,NA,53.699
27.157,30.115,"Class3",32,78.246,81,"K","I",72.658,28,35.279,98.066
44.087,16.01,"Class2",53,25.272,41,"M","Z",45.264,47,10.399,38.318
59.806,70.827,"Class2",70,26.203,40,"I","A",83.125,87,8.23,34.549
28.302,30.137,"Class3",35,58.385,54,"T","T",48.561,22,29.982,88.171
27.861,29.819,"Class3",42,28.463,10,"K","T",19.066,31,34.381,85.805
27.295,33.712,"Class3",38,38.759,10,"X","L",47.622,29,32.008,82.947
67.024,77.668,"Class1",53,68.948,81,"N","R",34.604,38,35.587,55.324
44.768,53.51,"Class2",55,24.883,41,NA,"G",43.158,57,9.354,4.407
72.454,44.103,"Class2",65,24.914,43,"M","C",72.498,65,9.77,-24.089
27.358,29.616,"Class3",33,82.146,37,"K","I",63.29,23,27.515,103.826
69.887,67.59,"Class2",73,25.613,40,"M","L",74.791,67,11.015,32.398
19.975,44.724,"Class1",52,68.719,71,"W","E",32.442,79,33.136,56.412
55.587,54.679,"Class1",70,69.366,71,"W","R",37,79,38.487,56.256
28.722,29.244,"Class3",39,28.44,13,"N","G",75.662,27,29.609,98.262
87.963,74.628,"Class1",53,68.021,79,"N","K",32.971,67,41.308,60.313
31.406,52.983,"Class2",73,27.315,43,"I","C",23.85,83,7.522,55.829
32.701,26.38,"Class2",49,23.473,41,"I","C",86.36,72,10.323,22.814
27.72,29.361,"Class3",39,44.034,8,"T","I",49.995,27,30.543,96.75
44.846,49.927,"Class2",53,25.613,42,"I","L",56.399,62,10.721,40.629
46.708,13.358,"Class2",60,25.848,38,"E","A",43.991,69,10.123,39.873
27.11,35.615,"Class3",40,59.473,76,"X","T",14.162,28,30.203,86.381
73.815,75.192,"Class1",69,68.127,83,"O","E",32.832,78,35.061,67.132
27.336,29.647,"Class3",43,58.174,54,"T","T",34.054,23,NA,91.771
28.391,34.823,"Class3",38,75.233,92,NA,"T",71.104,27,33.367,97.485
44.141,32.412,"Class2",78,26.498,43,"D","A",67.927,86,10.836,16.304
49.743,37.717,"Class2",46,24.893,38,"Z","G",22.772,57,7.713,43.367
36.02,32.122,"Class2",77,24.563,43,"E","A",36.763,77,9.138,47.341
41.521,50.838,"Class1",56,68.374,84,NA,"Y",34.43,50,45.65,57.333
83.958,65.966,"Class1",66,69.521,82,"O","K",38.909,36,39.182,60.071
53.781,58.277,"Class1",55,68.729,73,"M","Y",33.15,65,41.089,61.147
46.696,68.631,"Class1",54,67.672,81,NA,"Y",37.222,45,35.748,43.35
28.381,35.977,"Class3",39,91.463,75,"N","T",36.955,24,30.722,96.395
28.514,34.612,"Class3",26,44.484,70,"T","T",28.891,31,31.88,99.89
62.346,73.416,"Class2",75,26.271,40,"D","A",52.694,77,11.756,30.002
38.432,16.517,"Class2",72,25.565,41,"E","C",64.741,48,11.405,49.492
63.638,25.588,"Class2",52,26.301,38,"D","L",34.878,75,9.56,28.038
49.586,47.926,"Class1",54,67.922,78,"N","K",31.553,47,43.512,55.742
13.969,44.427,"Class1",64,67.158,82,NA,"R",30.875,78,40.142,45.044
75.125,62.585,"Class1",69,68.646,72,"W","H",33.581,71,39.78,51.345
62.457,77.589,"Class1",71,68.309,83,"N","R",35.392,27,43.878,58.599
28.615,29.58,"Class3",29,107.834,58,"N","E",53.2,28,33.088,91.967
27.262,29.353,"Class3",35,33.671,77,"K","T",26.996,25,31.187,87.012
27.342,30.605,"Class3",28,96.712,23,"X","G",74.573,32,30.681,101.82
76.583,10.687,"Class2",59,25.123,43,"I","L",51.342,69,10.462,37.189
78.439,79.586,"Class1",65,68.743,73,"O","E",36.588,65,45.673,68.313
55.308,28.139,"Class2",76,24.387,40,"M","A",40.806,52,9.905,48.588
28.834,35.03,"Class3",42,72.055,9,"K","I",10.457,26,30.559,90.281
68.48,53.954,"Class2",54,25.864,39,"E","A",73.05,82,11.592,8.353
45.902,78.635,"Class1",66,68.991,82,"V","K",31.557,79,45.531,69.859
31.747,39.285,"Class2",58,24.679,43,"D","L",33.171,47,12.114,20.667
31.657,69.186,"Class2",76,24.846,42,"E","C",54.223,80,9.258,56.445
27.724,30.775,"Class3",28,99.499,14,"K","I",5.773,28,30.497,92.619
28.314,34.73,"Class3",35,41.743,74,"K","I",3.187,29,32.391,87.676
40.396,37.476,"Class2",53,26.129,38,"I","C",39.308,81,10.92,63.521
27.211,30.006,"Class3",33,68.451,43,"N","L",59.354,27,33.635,98.722
65.245,69.939,"Class1",52,68.691,80,NA,"E",38.944,50,41.575,50.736
27.145,30.074,"Class3",39,47.338,10,"Y","L",35.261,23,31.663,97.349
46.31,71.984,"Class2",59,26.672,40,"Z","G",23.489,87,8.934,34.638
28.039,46.754,"Class1",53,67.186,79,"O","E",32.686,40,31.184,46.599
42.795,37.595,"Class2",67,25.827,38,"Z","G",48.553,81,11.314,41.852
27.837,33.333,"Class3",29,47.866,84,"X","G",51.385,24,NA,86.096
28.415,35.734,"Class3",35,63.524,23,"T","G",38.099,33,31.195,87.421
65.941,48.968,"Class2",76,24.175,39,"E","A",68.222,59,9.94,-13.769
27.996,30.03,"Class3",27,82.104,75,"K","T",37.447,22,34.88,99.356
27.353,79.855,"Class1",70,68.238,85,"N","K",36.839,54,29.589,45.991
40.732,44.945,"Class1",56,68.193,80,NA,"H",32.679,63,21.366,52.535
28.906,45.824,"Class1",55,68.161,78,"O","H",31.277,35,34.646,66.861
44.71,10.03,"Class2",66,26.126,38,"Z","G",74.716,53,NA,47.204
59.448,73.131,"Class2",75,26.13,42,"I","C",48.462,51,11.618,32.405
38.476,64.457,"Class1",68,67.783,82,"V","H",36.849,72,43.093,51.904
53.666,58.546,"Class2",69,26.6,39,"D","Z",52.162,53,11.599,32.024
53.528,27.855,"Class2",56,24.543,43,"I","Z",72.993,86,10.634,13.238
62.955,60.137,"Class2",48,25.242,38,"D","G",23.95,86,5.865,10.651
29.781,75.885,"Class1",63,68.051,70,"W","E",32.555,68,36.738,54.822
43.554,53.037,"Class1",66,68.388,71,"W","H",29.693,72,38.42,40.295
28.48,35.285,"Class3",39,88.339,45,"K","I",47.016,24,30.535,91.348
28.288,35.354,"Class3",31,76.987,77,NA,"L",64.717,30,30.416,93.417
32.398,61.774,"Class1",58,69.82,71,"V","E",40.323,68,42.546,57.839
73.571,51.948,"Class1",65,68.857,85,"N","E",34.543,78,39.136,56.168
51.485,22.195,"Class2",52,24.921,42,"M","G",31.562,73,9.885,25.323
27.61,32.873,"Class3",26,84.425,17,"X","I",7.625,24,28.627,88.68
28.367,32.036,"Class3",33,83.397,25,"X","I",60.731,23,30.1,99.898
27.427,34.351,"Class3",27,98.601,32,"T","L",6.645,27,31.718,89.022
89.675,73.797,"Class1",57,69.289,69,"V","R",40.993,51,42.682,54.912
27.599,29.67,"Class3",42,68.889,86,"K","L",15.039,22,34.964,91.985
52.694,73.414,"Class2",48,24.444,38,"E","L",30.588,87,8.114,17.91
56.255,54.319,"Class1",52,71.512,81,"V","K",33.205,27,44.994,46.98
36.011,37.19,"Class2",56,25.222,39,"D","L",37.911,71,9.716,34.82
27.8,30.269,"Class3",40,13.222,7,"Y","G",10.463,28,31.737,90.025
51.027,18.327,"Class2",58,24.845,39,"M","Z",77.741,63,8.937,18.236
44.311,31.842,"Class2",62,23.499,42,"D","Z",60.293,63,10.425,77.104
53.235,59.312,"Class1",64,68.695,69,"N","E",39.599,37,35.035,53.877
49.254,37.402,"Class2",51,23.771,43,"I","A",46.009,86,11.059,46.515
71.558,41.626,"Class1",65,67.534,81,"M","K",33.833,54,29.353,58.309
45.264,41.651,"Class2",60,27.258,40,NA,"G",28.367,48,11.199,69.546
79.785,48.291,"Class1",54,67.644,84,"O","K",37.862,73,32.034,46.103
82.985,45.459,"Class1",60,70.058,79,"M","R",30.804,79,42.654,51.556
60.293,39.033,"Class2",77,25.868,39,NA,"G",64.682,73,11.643,39.48
