"V1","V2","V3","V4","V5","V6","V7","V8","V9","Output21","V10","V11"
6.589,19,"O",33.2,37.285,48.473,56,23.36,"F","Class1",44,29.77
74.151,28,"F",45.159,37.865,67.913,10,84.241,"R","Class2",72,90.735
69.817,19,"J",42.346,46.619,41.212,7,85.276,"R","Class2",79,93.357
79.373,20,"J",42.507,40.942,15.662,11,84.503,"I","Class2",78,91.173
6.099,17,"Q",-4.922,30.768,40.009,57,29.714,"M","Class1",54,31.427
6.683,19,"O",23.788,36.297,33.694,65,25.288,"X","Class1",42,36.565
76.116,26,"F",43.252,27.603,45.706,12,86.321,"M","Class2",67,91.612
68.915,32,"F",40.223,43.857,51.67,9,85.7,"I","Class2",83,90.976
66.64,36,"H",41.806,15.551,16.864,7,86.928,"M","Class2",65,90.653
81.414,30,"D",43.064,44.106,52.886,12,86.434,"B","Class2",59,92.161
5.197,15,"O",33.678,29.007,46.579,43,27.003,"F","Class1",19,34.66
80.883,22,NA,43.371,10.973,80.205,7,85.826,"I","Class2",87,90.264
76.505,21,"J",43.639,31.824,29.174,8,85.149,"I","Class2",66,90.219
4.766,19,"O",65.526,37.664,44.002,12,25.627,"M","Class1",43,35.469
4.067,15,"J",46.079,51.179,44.964,19,35.928,"F","Class1",65,29.02
4.686,19,"J",39.393,63.278,49.433,69,41.465,"F","Class1",47,32.291
5.527,16,"A",53.512,64.133,48.265,23,26.397,"F","Class1",33,32.882
67.42,29,"F",43.137,51.305,40.558,7,85.342,"B","Class2",63,92.354
80.156,22,"J",42.888,57.987,17.108,3,85.445,"B","Class2",63,92.179
72.897,32,"F",42.614,48.746,16.301,3,86.036,"R","Class2",74,91.792
2.181,15,"O",43.543,39.873,30.093,49,38.819,"M","Class1",67,30.092
6.532,16,"O",31.662,30.817,56.18,53,28.146,"K","Class1",23,25.581
75.537,31,"H",44.355,33.123,40.049,7,84.785,"B","Class2",52,91.516
4.784,15,"D",22.999,46.798,31.191,34,21.301,"X","Class1",40,32.669
3.119,18,"A",26.185,45.325,54.945,51,26.421,"L","Class1",79,31.357
76.258,23,"H",42.554,51.066,16.415,3,84.126,"G","Class2",NA,90.544
7.048,16,"D",47.064,55.241,30.771,20,33.83,"F","Class1",59,36.229
74.663,32,"X",43.409,37.178,16.01,5,84.742,"M","Class2",90,91.334
4.443,17,"Q",18.609,64.92,47.651,66,41.675,"M","Class1",70,21.267
4.239,16,"D",54.098,66.45,28.092,23,24.565,"M","Class1",NA,32.215
5.731,15,"A",34.198,55.073,40.232,31,27.593,"F","Class1",71,29.012
3.515,19,"Q",44.826,57.126,52.004,58,30.131,"L","Class1",83,29.118
78.784,37,"H",43.724,22.477,50.821,11,85.886,"B","Class2",55,91.251
74.764,37,"X",46.279,11.255,33.599,6,84.856,"B","Class2",78,89.376
86.604,19,"D",41.973,58.5,80.312,4,85.822,"G","Class2",74,92.097
4.329,16,"D",32.823,50.637,47.874,50,35.2,"K","Class1",49,42.968
74.987,29,"D",40.509,56.893,33.688,3,84.377,"G","Class2",74,90.273
78.601,27,"F",42.922,50.313,16.485,12,84.368,"G","Class2",85,90.602
81.009,35,"X",40.912,27.192,31.399,6,84.273,"B","Class2",68,90.925
68.965,39,"D",43.655,25.892,47.797,4,86.476,"B","Class2",86,91.248
81.511,24,"F",43.44,40.074,72.236,11,84.568,"R","Class2",77,90.849
3.85,16,"A",56.746,38.093,32.329,68,28.484,"K","Class1",74,28.255
73.965,23,"D",41.78,12.594,77.022,3,84.26,"B","Class2",57,89.466
72.318,35,NA,43.271,20.428,69.749,7,85.494,"M","Class2",63,91.169
4.678,19,"D",63.07,46.955,33.506,64,29.263,"M","Class1",72,39.85
82.866,26,"D",44.478,59.915,41.624,11,86.642,"B","Class2",81,91.259
4.648,18,"D",45.396,30.217,51.937,50,33.517,"K","Class1",68,35.986
72.802,32,"J",44.457,57.146,73.707,5,84.605,"M","Class2",76,88.736
69.312,31,"J",42.879,33.049,76.181,12,85.827,"B","Class2",92,92.07
4.247,19,"O",62.392,58.696,31.584,15,27.199,"L","Class1",66,38.266
77.84,29,"D",43.887,59.435,35.54,6,84.19,"G","Class2",69,90.571
85.357,24,"F",40.777,14.408,34.473,8,85.633,"G","Class2",74,91.099
4.333,17,"J",35.93,34.398,51.053,36,38.816,"M","Class1",68,28.325
5.599,19,"J",24.245,68.578,55.625,74,31.542,"F","Class1",75,27.359
75.008,23,NA,43.486,13.579,83.826,9,84.74,"B","Class2",68,92.222
3.912,16,"J",55.443,68.906,29.631,12,41.47,"X","Class1",29,23.732
66.505,19,"F",41.761,42.096,56.185,6,85.036,"R","Class2",66,91.786
4.182,19,"O",24.183,45.083,50.664,64,34.283,"L","Class1",55,35.195
72.615,34,NA,43.885,33.352,36.756,9,85.19,"R","Class2",61,90.13
5.363,16,"D",80.689,55.663,32.881,56,41.784,"X","Class1",33,34.691
6.431,19,"O",24.258,48.185,56.636,38,37.134,"L","Class1",27,34.695
5.719,19,"D",90.387,32.74,50.077,67,29.434,"X","Class1",59,28.587
4.487,16,"A",74.342,55.994,44.127,16,30.868,"X","Class1",79,29.029
70.17,18,"J",42.541,9.15,28.906,9,86.942,"M","Class2",90,90.138
5.47,17,"J",40.392,37.476,41.151,15,31.551,"M","Class1",56,32.078
68.747,32,"H",43.686,40.071,76.518,12,86.638,"R","Class2",56,90.428
71.73,17,"H",42.871,26.183,14.219,5,85.462,"G","Class2",77,91.943
75.798,29,"X",42.061,38.711,49.742,7,84.442,"R","Class2",51,89.797
80.343,18,"D",43.514,38.392,47.071,3,85.739,"I","Class2",91,90.774
74.378,32,"D",41.983,28.22,39.511,12,86.789,"I","Class2",59,91.524
68.866,18,"X",44.517,38.886,71.271,3,84.366,"G","Class2",74,90.581
2.858,18,"J",56.691,40.908,36.064,43,25.839,"X","Class1",25,32.884
73.1,30,"D",41.748,19.048,84.543,4,86.933,"R","Class2",65,91.416
73.565,36,"D",42.623,33.255,45.783,4,84.034,"M","Class2",59,91.116
74.376,37,"F",42.074,27.081,69.991,4,85.714,"G","Class2",60,92.842
8.258,19,"Q",98.464,50.785,28.571,22,28.859,"F","Class1",57,34.111
75.587,40,"F",43.688,8.839,73.552,11,86.131,"B","Class2",67,91.861
72.256,36,"H",40.918,13.088,53.345,3,86.561,"G","Class2",74,90.36
80.078,26,"F",44.099,46.554,29.394,3,85.373,"I","Class2",56,91.6
84.69,33,"J",43.349,37.669,26.183,3,85.554,"R","Class2",64,91.427
7.299,16,"Q",42.796,38.515,56.924,10,24.165,"X","Class1",65,37.382
76.631,18,"D",41.256,47.057,27.201,10,86.39,"R","Class2",68,91.167
4.551,17,"O",58.991,32.304,48.511,34,36.121,"F","Class1",43,25.827
5.097,16,"A",19.858,54.301,52.648,59,34.19,"X","Class1",63,26.249
75.657,22,"H",40.313,30.211,60.45,5,86.903,"R","Class2",86,93.207
82.612,19,"X",41.694,49.435,44.286,11,85.961,"G","Class2",83,91.14
83.098,39,"J",40.46,13.986,44.287,5,84.318,"B","Class2",91,90.546
68.281,23,"X",44.87,8.241,54.827,6,86.94,"R","Class2",71,91.807
5.459,18,"Q",56.315,49.27,46.795,52,41.941,"F","Class1",48,30.606
7.519,19,"O",32.509,44.135,34.27,17,39.016,"X","Class1",NA,26.587
4.261,19,"Q",32.684,56.869,40.049,20,36.262,"M","Class1",75,27.93
69.88,35,NA,45.464,17.625,38.746,7,86.274,"M","Class2",83,91.87
71.292,36,"D",43.105,41.125,80.152,3,85.167,"B","Class2",74,90.926
76.395,19,"D",42.567,43.16,27.355,5,85.384,"G","Class2",83,90.653
3.568,18,"O",47.435,50.466,41.627,49,40.319,"K","Class1",61,36.363
74.181,19,"J",44.017,40.286,61.64,5,85.251,"I","Class2",85,90.475
78.22,19,"D",42.579,42.964,69.354,9,84.375,"M","Class2",66,91.688
1.879,17,"O",44.998,53.681,37.547,27,22.779,"K","Class1",69,29.628
72.28,33,NA,43.614,10.646,81.524,8,84.019,"B","Class2",77,91.567
75.779,41,"X",41.484,21.112,73.685,10,84.369,"I","Class2",76,91.137
80.509,19,"H",42.001,57.981,68.867,4,84.592,"G","Class2",75,91.268
73.315,20,"X",43.451,47.224,38.225,10,84.686,"B","Class2",81,91.231
76.756,41,"H",41.845,11.572,14.161,6,85.039,"G","Class2",NA,90.053
75.01,18,"F",43.126,36.695,38.45,4,85.821,"M","Class2",58,90.344
70.155,38,"X",43.457,43.941,73.79,4,84.116,"B","Class2",53,91.918
6.551,19,NA,59.695,50.06,47.023,37,33.899,"L","Class1",36,32.525
8.373,19,"D",37.858,30.248,34.719,61,31.543,"L","Class1",21,30.636
74.861,35,"F",42.743,59.328,47.575,9,84.345,"I","Class2",86,91.198
7.065,16,"O",50.94,39.378,48.892,56,22.729,"F","Class1",37,35.103
85.237,28,"X",43.678,37.369,49.074,4,84.795,"G","Class2",60,92.497
1.087,19,"J",55.835,31.055,50.188,45,28.267,"X","Class1",31,30.404
4.672,19,"D",88.077,60.78,37.664,22,39.34,"F","Class1",30,27.809
73.835,38,"J",43.834,43.43,34.41,6,84.678,"G","Class2",77,91.246
7.086,18,"D",62.242,44.625,39.647,32,33.048,"F","Class1",43,25.758
74.209,32,"D",44.278,29.136,52.148,11,86.534,"M","Class2",63,92.623
71.611,23,"H",43.553,32.667,45.311,4,86.059,"G","Class2",60,92.463
75.46,38,"J",41.06,52.754,72.836,3,84.965,"B","Class2",NA,92.117
74.921,40,"H",41.922,14.064,19.087,3,86.538,"I","Class2",92,92.098
4.081,15,"J",61.679,67.385,32.435,28,32.532,"L","Class1",50,27.488
4.692,17,"D",38.002,54.243,52.583,62,33.294,"L","Class1",42,29.923
82.646,18,"H",43.217,36.078,14.449,12,84.831,"R","Class2",57,92.144
3.443,16,"A",34.803,38.861,45.048,28,38.01,"X","Class1",21,45.725
4.348,16,"J",37.166,40.607,38.55,20,26.861,"X","Class1",22,28.029
4.433,15,"D",44.66,67.689,30.394,69,28.296,"X","Class1",41,31.985
6.366,17,"D",52.375,36.037,38.296,30,22.523,"X","Class1",45,29.413
4.432,15,"O",44.559,43.153,35.382,20,32.302,"L","Class1",73,29.33
3.374,18,"D",55.046,32.721,38.748,14,24.185,"K","Class1",55,32.964
72.422,36,"H",44.246,11.635,55.029,8,85.886,"G","Class2",NA,92.887
6.006,19,"A",43.407,56.586,32.377,37,36.142,"K","Class1",77,43.667
76.124,23,"X",41.815,53.708,73.367,4,86.902,"R","Class2",64,90.45
79.652,32,"D",46.695,14.246,42.015,3,85.767,"G","Class2",75,90.836
74.847,38,"J",42.798,32.863,77.579,4,84.315,"M","Class2",70,90.365
73.193,32,"F",42.991,45.907,61.171,5,86.154,"B","Class2",84,92.43
77.38,27,"H",43.242,30.951,22.771,12,84.199,"M","Class2",52,91.608
4.555,18,"D",77.612,36.927,48.906,71,26.306,"K","Class1",82,35.786
83.636,19,"D",39.729,18.457,58.815,10,84.112,"B","Class2",88,91.798
-0.035,15,NA,67.015,41.699,55.288,20,22.782,"X","Class1",19,30.628
81.026,21,"D",41.351,16.688,56.674,10,85.887,"M","Class2",67,90.689
70.356,22,"H",43.408,17.847,26.097,11,86.002,"R","Class2",87,94.191
76.824,22,"F",43.985,56.809,40.379,11,85.19,"R","Class2",78,90.237
6.553,17,"O",42.118,32.346,39.852,67,27.639,"K","Class1",67,37.008
6.146,16,"A",71.174,68.789,43.335,39,33.895,"F","Class1",NA,32.534
75.127,17,"X",42.721,24.7,84.237,12,85.882,"M","Class2",89,92.06
2.265,18,"A",21.213,66.255,53.381,19,25.155,"K","Class1",46,20.443
80.515,37,"F",42.71,37.68,47.64,4,85.34,"R","Class2",60,91.631
4.423,15,"Q",34.957,38.387,38.988,63,38.352,"K","Class1",73,32.949
72.851,27,"D",43.756,10.379,55.302,9,84.536,"I","Class2",67,92.701
73.997,31,"F",40.959,52.96,50.143,12,84.73,"R","Class2",81,90.909
3.276,16,"Q",76.414,67.777,47.946,17,27.162,"L","Class1",60,38.987
68.164,37,"F",46.458,46.694,45.827,8,86.592,"R","Class2",84,89.814
71.814,38,NA,42.399,16.101,24.967,11,86.293,"B","Class2",90,90.636
68.982,29,"X",41.657,16.097,70.247,8,84.803,"M","Class2",58,91.243
5.35,16,"D",67.043,62.699,43.292,44,33.575,"L","Class1",46,32.17
77.985,32,"X",43.694,19.691,26.831,9,84.936,"B","Class2",87,90.273
4.382,17,"D",51.603,56.346,38.446,59,40.622,"X","Class1",55,35.211
7.361,17,"O",61.635,44.314,37.568,73,40.319,"L","Class1",65,31.167
5.738,17,"A",30.628,30.951,36.146,28,37.828,"X","Class1",33,27.876
75.728,29,"X",44.79,22.026,39.921,9,84.613,"R","Class2",79,92.034
5.753,16,"O",59.66,29.712,30.437,44,24.981,"X","Class1",82,34.262
4.697,17,"A",33.316,41.249,54.225,69,33.93,"F","Class1",49,34.505
3.115,15,"A",16.592,64.688,48.827,67,21.574,"X","Class1",27,34.5
76.993,18,NA,41.2,57.413,72.502,7,84.506,"R","Class2",73,91.589
82.317,28,"F",43.481,23.413,23.029,12,85.596,"M","Class2",77,90.145
77.097,34,"X",41.497,37.907,44.783,9,84.743,"M","Class2",82,91.924
3.368,17,"Q",70.518,36.757,50.042,64,40.867,"M","Class1",72,42.477
74.02,32,"X",44.781,22.277,46.979,7,84.42,"M","Class2",88,91.141
7.566,19,"O",16.55,59.196,44.091,59,31.083,"M","Class1",23,30.566
2.275,17,"D",57.655,52.425,45.005,35,30.193,"X","Class1",63,34.737
2.69,15,"A",44.883,31.028,34.397,16,27.819,"M","Class1",57,21.614
2.24,16,"O",77.935,67.678,35.317,28,34.811,"F","Class1",61,28.113
71.848,31,"H",42.683,56.753,42.413,9,86.464,"M","Class2",81,91.284
6.043,19,"D",41.756,71.128,51.9,15,40.146,"L","Class1",76,31.51
72.55,28,"F",43.522,23.914,78.246,3,85.178,"B","Class2",53,91.861
5.342,18,"J",40.246,41.457,35.71,50,23.776,"L","Class1",48,30.664
75.494,42,"F",44.412,21.131,62.453,10,85.912,"B","Class2",76,92.015
3.516,17,"A",68.485,36.308,39.008,31,30.692,"X","Class1",43,41.666
76.528,24,"F",41.369,25.687,48.533,10,84.648,"G","Class2",70,91.762
75.678,23,"F",44.342,38.656,43.824,5,84.997,"I","Class2",67,91.101
76.735,37,"J",44.045,40.044,27.196,3,84.212,"I","Class2",89,90.05
4.535,17,"Q",50.425,49.867,53.987,44,31.369,"M","Class1",75,30.846
5.718,18,"Q",25.018,47.883,41.966,50,36.101,"L","Class1",63,31.83
77.003,21,"D",42.247,33.001,48.977,8,85.362,"M","Class2",66,92.618
1.229,18,"J",48.116,38.62,38.134,66,40.008,"K","Class1",NA,37.097
73.503,18,"F",41.354,36.435,46.668,11,86.75,"G","Class2",86,93.605
69.433,29,"X",43.651,46.693,71.005,12,86.818,"M","Class2",80,90.838
6.892,17,"O",65.209,61.582,35.709,59,29.916,"X","Class1",41,25.672
77.689,26,"J",43.398,17.279,56.698,4,86.006,"G","Class2",68,91.803
79.63,34,"X",43.004,30.618,23.989,7,85.014,"I","Class2",84,92.952
1.726,15,"D",51.191,39.674,35.701,46,30.349,"M","Class1",NA,42.893
7.654,15,"O",48.862,51.418,29.233,20,37.635,"K","Class1",42,33.562
68.05,32,"H",41.942,49.388,58.168,8,84.093,"R","Class2",68,90.733
72.968,18,"J",43.853,17.666,71.562,3,86.681,"M","Class2",58,91.578
69.503,21,"X",43.036,45.34,24.414,9,85.469,"I","Class2",83,91.97
73.074,17,"H",42.733,44.888,79.77,5,86.789,"I","Class2",70,91.622
5.479,17,"Q",32.313,29.502,42.286,21,24.63,"L","Class1",61,36.78
76.052,26,"F",44.539,53.804,30.039,3,86.461,"R","Class2",77,90.719
72.715,41,"X",41.468,52.825,77.921,7,85.152,"I","Class2",57,90.13
5.891,15,"O",67.421,56.092,48.082,37,36.63,"F","Class1",62,24.799
78.314,32,"X",41.91,42.002,40.832,8,84.565,"B","Class2",NA,92.153
-0.277,18,NA,28.054,35.481,49.394,16,41.155,"L","Class1",66,28.623
2.779,18,"D",71.875,35.116,38.939,17,29.78,"X","Class1",81,37.969
74.939,20,"D",42.539,37.852,68.483,10,86.001,"I","Class2",78,89.62
3.14,16,"A",36.989,38.825,39.529,12,36.927,"M","Class1",58,34.944
72.251,36,"F",44.724,38.452,33.783,12,86.002,"M","Class2",58,91.521
7.174,15,"A",57.486,29.313,42.82,59,33.475,"F","Class1",48,30.604
3.365,18,"O",50.46,70.07,29.156,36,30.068,"L","Class1",83,39.274
6.277,16,"D",45.673,62.377,56.168,65,28.325,"F","Class1",65,28.616
2.529,19,"D",43.305,67.508,50.238,40,22.036,"L","Class1",87,37.13
2.54,15,"J",33.457,33.878,33.307,31,30.062,"K","Class1",59,31.607
76.631,28,"H",45.765,33.772,15.307,7,86.289,"I","Class2",76,91.701
3.637,16,"J",53.089,29.733,44.994,19,31.42,"L","Class1",NA,31.087
4.155,15,"D",58.718,62.903,39.07,59,36.852,"K","Class1",63,35.292
68.591,42,"X",42.86,30.185,44.645,10,85.808,"I","Class2",79,92.665
74.573,34,"D",42.678,57.781,70.326,7,84.487,"M","Class2",67,90.181
3.796,15,"J",76.693,39.16,38.631,71,39.365,"L","Class1",67,32.899
4.6,16,"D",35.751,63.727,34.253,35,35.867,"F","Class1",26,34.876
77.105,28,"J",41.018,40.719,21.057,9,86.02,"B","Class2",63,91.253
2.715,16,"D",25.697,56.962,35.699,27,21.266,"L","Class1",58,32.176
4.497,15,"D",69.378,61,40.569,18,37.235,"K","Class1",24,38.742
4.433,19,"O",43.817,40.14,45.765,71,21.014,"L","Class1",61,39.125
3.472,16,"O",62.608,55.372,45.012,7,39.264,"M","Class1",67,26.694
4.061,17,"O",94.051,37.596,52.122,53,41.482,"M","Class1",52,34.269
70.691,31,"X",42.674,18.108,21.522,9,86.15,"I","Class2",66,92.701
1.804,19,"A",38.505,67.172,37.932,23,27.38,"X","Class1",44,40.242
6.831,18,"A",22.541,50.811,42.154,55,40.923,"F","Class1",31,34.285
5.393,15,"J",55.799,59.791,44.65,41,22.389,"K","Class1",67,25.446
78.53,29,"X",45.039,42.658,18.531,10,84.157,"B","Class2",79,90.606
76.266,32,"J",42.07,12.075,49.842,4,86.254,"B","Class2",89,92.391
4.79,15,"D",79.192,67.446,28.313,54,28.439,"M","Class1",46,17.683
73.484,39,"H",43.594,32.852,55.858,4,86.15,"M","Class2",55,92.683
2.6,18,"D",48.403,39.112,55.201,47,24.071,"L","Class1",19,30.373
75.208,33,"X",41.758,43.15,73.051,11,84.903,"G","Class2",64,92.367
82.252,23,"F",42.149,23.6,39.226,6,84.91,"B","Class2",72,91.78
5.663,18,"J",43.108,36.618,50.125,44,22.444,"X","Class1",50,37.104
4.978,19,"O",13.549,47.545,32.486,57,22.279,"F","Class1",59,34.077
4.949,16,"D",21.17,45.529,38.797,14,38.608,"M","Class1",77,34.582
5.321,16,"Q",58.881,44.312,40.549,69,30.112,"F","Class1",66,31.012
5.691,18,"Q",27.73,63.248,37.836,50,28.97,"X","Class1",66,28.101
5.396,18,"A",79.6,67.594,54.893,58,40.318,"X","Class1",70,32.063
84.359,39,"J",43.785,49.853,28.885,4,86.637,"B","Class2",79,90.718
79.254,40,"J",43.402,9.407,36.791,3,86.504,"M","Class2",NA,89.857
82.784,33,"X",42.9,31.007,54.279,6,84.332,"G","Class2",75,91.897
3.909,16,"D",35.062,65.455,45.326,49,37.065,"X","Class1",32,35.107
81.266,42,"X",44.281,32.631,57.794,8,85.048,"B","Class2",90,91.498
75.625,21,"D",43.495,46.476,38.582,7,86.198,"M","Class2",52,90.46
2.795,19,"Q",69.161,48.321,53.995,11,41.279,"L","Class1",87,37.071
3.067,15,"A",16.997,48.915,30.952,22,37.195,"M","Class1",82,26.967
6.561,16,"O",19.396,62.417,33.913,68,26.356,"K","Class1",31,22.679
5.324,16,"J",69.196,44.278,28.999,70,30.761,"M","Class1",77,28.33
4.608,15,"J",70.712,68.26,29.446,71,27.077,"K","Class1",24,30.699
79.945,34,"J",40.519,30.165,53.156,12,85.756,"G","Class2",84,90.938
73.978,29,NA,42.847,9.366,81.467,5,85.491,"B","Class2",61,91.872
79.114,40,"H",43.957,28.631,60.65,4,85.534,"G","Class2",60,91.75
2.886,15,"J",31.541,63.189,39.929,28,21.427,"F","Class1",66,31.137
74.678,42,NA,42.586,28.958,65.92,10,84.182,"G","Class2",70,92.114
77.746,21,"D",43.755,14.556,83.093,10,86.76,"G","Class2",89,90.586
6.044,16,"Q",25.86,45.171,51.488,44,36.863,"K","Class1",85,34.947
6.094,19,"D",10.502,57.186,35.881,39,29.004,"L","Class1",76,27.89
7.446,16,"D",65.893,41.909,36.362,21,41.176,"F","Class1",37,33.508
2.663,18,"Q",78.002,56.248,44.585,54,27.539,"X","Class1",78,41.029
71.488,19,"J",42.983,43.103,12.189,8,85.118,"R","Class2",84,92.131
5.876,16,"D",-1.035,31.265,35.711,17,36.892,"K","Class1",66,31.399
4.116,16,"D",89.434,70.08,50.663,11,31.81,"X","Class1",44,25.574
75.956,18,"J",40.797,35.813,26.863,3,85.295,"R","Class2",83,90.602
68.383,41,"J",40.576,9.301,81.499,12,86.305,"M","Class2",85,90.872
5.478,16,"A",44.387,34.364,53.29,8,30.191,"L","Class1",20,30.328
5.627,18,NA,31.936,66.346,34.971,72,27.907,"L","Class1",43,42.273
2.923,18,"O",41.256,35.392,56.321,59,38.733,"K","Class1",82,38.997
80.689,31,"H",43.333,21.871,81.889,8,86.739,"M","Class2",58,92.6
1.23,16,"Q",55.931,61.744,44.876,31,38.191,"K","Class1",35,29.515
2.135,18,"J",57.488,54.731,30.413,20,25.356,"F","Class1",22,30.924
66.164,25,"X",44.246,46.457,25.923,7,84.736,"B","Class2",90,90.788
4.741,15,"Q",26.484,45.008,49.23,8,31.652,"F","Class1",67,31.687
4.401,17,NA,35.369,53.877,52.899,24,37.235,"L","Class1",58,31.499
76.507,38,"D",42.084,44.526,24.425,8,84.511,"B","Class2",86,91.673
79.309,35,"J",43.512,42.4,17.88,9,85.448,"M","Class2",55,91.879
5.308,16,"D",49.949,63.128,56.321,42,23.653,"L","Class1",48,31.413
3.363,19,"J",22.701,33.431,48.608,50,33.852,"F","Class1",NA,30.879
4.102,19,"J",35.919,63.555,38.433,37,26.498,"F","Class1",21,37.939
7.115,18,"J",23.933,43.854,50.226,7,36.326,"X","Class1",36,40.821
4.552,18,"A",61.704,41.911,39.489,9,34.91,"M","Class1",NA,36.355
2.423,17,"J",31.916,71.164,41.269,10,39.462,"L","Class1",68,20.699
5.01,18,"J",79.033,49.708,38.839,64,25.315,"K","Class1",57,28.68
4.741,16,"O",54.995,39.767,39.285,48,31.004,"F","Class1",48,33.079
74.707,26,"F",40.945,37.771,27.664,10,85.715,"M","Class2",92,90.322
6.416,15,"Q",42.203,71.947,44.224,18,26.064,"M","Class1",82,22.865
82.429,29,"J",44.13,37.056,53.5,12,85.239,"G","Class2",81,90.734
2.893,17,"J",44.889,51.273,52.889,23,27.655,"F","Class1",40,34.605
5.121,19,"Q",80.077,35.445,56.136,10,39.183,"L","Class1",74,39.785
3.556,18,"D",32.346,37.527,44.229,41,23.112,"F","Class1",31,35.096
67.641,21,"X",43.372,16.05,42.467,4,84.515,"B","Class2",74,92.442
4.941,19,"A",21.838,46.035,36.025,55,25.908,"M","Class1",51,26.135
78.771,24,"F",43.358,37.38,49.783,4,86.555,"B","Class2",60,91.951
74.537,21,"H",41.389,44.515,82.814,3,86.355,"G","Class2",91,90.671
68.912,40,"J",41.702,52.014,41.508,12,84.307,"M","Class2",56,91.482
71.959,41,"F",45.901,12.64,60.771,7,84.054,"G","Class2",NA,91.136
74.262,26,"H",42.918,9.731,49.833,4,85.266,"I","Class2",85,92.095
73.523,20,"J",42.508,19.84,80.645,3,85.957,"M","Class2",70,91.529
75.792,41,"H",42.727,34.926,84.907,6,84.034,"I","Class2",68,91.211
74.973,24,"H",42.22,10.664,33.122,9,84.522,"B","Class2",86,91.386
72.194,33,"H",43.844,59.398,33.275,6,86.925,"G","Class2",NA,90.327
3.292,18,"A",60.069,49.204,41.704,62,36.749,"X","Class1",46,37.082
79.275,26,"D",41.511,33.553,38.435,8,85.418,"I","Class2",61,91.987
74.149,29,"F",41.494,9.797,56.042,4,86.048,"I","Class2",76,91.36
67.443,42,NA,43.665,31.923,69.284,12,86.706,"G","Class2",70,92.159
4.938,15,"Q",77.047,57.255,29.748,71,25.228,"F","Class1",50,27.331
76.962,31,NA,42.788,9.487,12.118,7,84.525,"I","Class2",59,90.808
3.023,18,"O",22.056,53.507,40.987,67,25.089,"F","Class1",78,29.435
4.501,17,"O",41.688,49.329,30.706,45,32.442,"M","Class1",58,29.637
70.629,30,"D",43.659,14.971,79.738,11,86.584,"R","Class2",NA,91.318
4.994,19,"D",82.315,38.7,52.977,8,41.356,"F","Class1",57,41.26
79.806,19,"D",41.329,25.182,21.885,5,84.611,"B","Class2",58,91.307
4.923,15,"D",48.694,62.941,45.692,72,37.335,"X","Class1",83,28.899
5.01,17,"A",32.563,68.388,42.746,16,33.287,"M","Class1",43,34.954
74.652,35,"F",42.166,37.076,77.938,8,86.176,"B","Class2",53,92.064
4.149,15,"A",21.888,37.074,28.72,50,41.221,"K","Class1",63,32.907
3.339,15,"Q",83.453,68.896,54.403,58,39.668,"K","Class1",31,29.21
73.249,25,"F",45.192,17.984,37.896,10,84.899,"I","Class2",65,91.323
6.001,16,"O",25.866,37.992,31.552,10,27.683,"L","Class1",40,38.335
3.335,19,"J",38.264,59.603,46.205,10,41.086,"F","Class1",72,42.784
78.013,36,"H",41.498,58.51,55.462,4,84.059,"R","Class2",86,92.399
1.511,16,"D",55.664,70.971,45.228,36,37.181,"X","Class1",42,33.096
79.34,41,"H",41.178,55.544,23.114,6,86.865,"I","Class2",53,91.514
80.024,33,"D",40.734,50.656,15.28,6,84.714,"I","Class2",65,89.349
4.159,17,"D",62.953,52.969,44.476,16,21.902,"F","Class1",42,36.501
73.599,31,NA,43.64,18.484,55.741,10,86.471,"R","Class2",87,91.258
4.807,19,"J",55.083,35.748,43.299,62,25.178,"M","Class1",20,22.281
71.867,36,"X",42.247,16.389,48.421,4,85.411,"M","Class2",51,92.573
3.387,17,"D",50.059,31.325,41.747,74,34.584,"F","Class1",79,26.05
3.018,17,"O",40.626,68.182,34.013,23,31.582,"M","Class1",45,22.858
5.203,16,"O",23.028,41.789,31.663,7,22.66,"X","Class1",80,34.339
3.998,16,"O",38.928,46.959,31.161,47,35.125,"M","Class1",26,33.591
76.602,39,"D",44.412,52.663,29.569,8,86.291,"M","Class2",50,91.767
7.613,15,"A",9.182,56.027,53.024,33,37.389,"F","Class1",NA,38.598
69.848,42,"H",43.301,35.635,55.121,9,85.231,"I","Class2",76,90.705
2.474,18,"D",35.475,54.311,40.249,25,22.246,"L","Class1",28,39.266
3.373,17,"Q",60.007,54.185,52.821,15,22.035,"X","Class1",79,25.889
73.923,25,"X",42.298,50.62,13.625,11,86.606,"I","Class2",76,91.394
4.33,19,"O",57.364,36.651,50.807,8,40.379,"M","Class1",24,37.297
69.822,21,"X",42.3,50.516,39.043,5,84.604,"M","Class2",63,93.586
80.064,22,"J",43.366,16.539,22.398,5,85.654,"R","Class2",62,91.647
71,31,"F",44.582,18.466,75.933,6,86.027,"I","Class2",63,92.092
70.512,37,"F",43.009,38.987,55.449,5,84.468,"B","Class2",56,90.508
4.005,16,"Q",70.299,69.233,54.372,15,24.592,"L","Class1",31,28.086
74.366,32,"X",42.068,18.192,64.562,8,86.673,"G","Class2",57,90.239
5.16,19,"Q",20.935,33.186,42.207,44,27.763,"M","Class1",33,31.42
4.045,17,"J",62.323,68.817,50.837,27,24.71,"M","Class1",63,29.796
