"H1","H2","H3","H4","H5","Output7","H6","H7","H8","H9","H10","H11"
43.944,75.729,30.605,42.566,15.887,"Class1",65.342,15,"T",60,"C",64
26.1,79.067,85.788,56.107,79.171,"Class2",13.136,19,"K",23,"F",28
67.637,44.04,72.601,58.157,27.638,"Class4",18.143,18,"W",37,"S",25
51.031,21.844,50.211,46.247,24.466,"Class3",8.024,38,"J",41,"H",85
36.124,67.444,21.352,90.938,16.594,"Class1",56.122,24,"I",58,"F",59
58.523,23.599,66.873,79.514,37.817,"Class3",35.803,37,"K",46,"Z",92
40.523,54.124,21.39,52.214,21.77,"Class1",68.697,0,"T",52,"O",78
32.771,42.239,84.564,44.168,77.789,"Class2",12.037,27,"U",15,"V",24
30.36,51.177,85.958,36.133,78.25,"Class2",13.625,24,"Z",16,"N",26
30.631,93.929,77.163,44.043,77.713,"Class2",13.275,22,"A",15,"K",23
34.507,44.378,78.049,46.665,79.599,"Class2",13.217,30,"K",20,"X",34
67.616,63.362,27.762,43.978,16.896,"Class1",66.493,12,"S",35,"C",23
34.977,78.99,81.672,45.15,79.913,"Class2",13.144,25,"A",17,"V",30
53.685,22.313,85.143,59.808,46.762,"Class4",50.646,10,"G",32,"G",22
36.706,36.206,19.966,31.361,18.673,"Class1",60.874,6,"I",48,"O",46
55.687,NA,23.774,-20.6,21.226,"Class1",57.046,13,"S",51,"F",91
3.255,42.224,87.843,55.021,67.569,"Class4",17.3,28,"G",59,"S",27
34.509,26.651,85.651,58.973,78.058,"Class2",13.75,19,"Z",19,"V",28
51.11,20.782,60.373,51.709,34.278,"Class3",57.401,19,"R",47,"O",71
53.289,68.921,30.076,68.628,23.214,"Class1",63.295,10,"T",42,"O",27
29.823,45.552,84.384,46.378,77.304,"Class2",12.713,22,"Z",23,"K",32
57.575,NA,86.337,69,36.617,"Class4",38.31,16,"D",56,"I",27
59.204,38.394,82.612,59.773,75.812,"Class4",21.018,12,"D",51,"I",27
51.184,21.8,49.042,66.717,31.621,"Class3",28.206,19,"H",44,"O",83
32.387,52.798,85.398,48.802,79.871,"Class2",13.08,28,"K",20,"K",19
49.595,51.363,29.735,-0.99,18.091,"Class1",60.326,23,"I",64,"R",19
29.658,67.887,81.147,50.351,78.219,"Class2",13.858,19,"K",16,"K",26
72.73,36.896,76.399,47.505,66.697,"Class4",69.233,29,"G",48,"G",26
30.792,67.166,84.171,57.004,78.702,"Class2",12.045,21,"U",17,"V",29
51.213,34.316,25.652,42.909,20.266,"Class1",68.576,11,"T",60,"O",54
37.934,23.335,70.788,24.877,36.423,"Class3",48.249,33,"H",48,"Z",88
87.337,NA,73.177,67.122,34.959,"Class4",31.652,13,"G",52,"T",23
31.649,66.599,78.561,60.487,78.062,"Class2",13.734,26,"C",23,"V",21
51.755,42.658,23.194,69.671,21.06,"Class1",59.266,15,"V",38,NA,77
33.429,61.9,77.809,70.003,77.479,"Class2",12.573,26,"A",22,"X",34
54.991,22.186,82.576,64.867,23.945,"Class3",83.042,28,"H",44,"U",90
54.012,21.982,76.171,27.668,37.973,"Class3",20.956,41,"Q",42,"H",77
50.811,43.998,31.671,13.344,23.45,"Class1",68.928,7,"S",53,"F",37
34.068,70.946,84.635,57.653,79.826,"Class2",12.713,28,"U",21,"F",33
36.218,67.465,84.223,44.681,77.665,"Class2",12.509,20,"Z",19,"V",24
31.437,46.657,81.841,60.146,77.369,"Class2",12.732,26,"U",15,"X",33
56.587,68.63,26.101,6.088,11.469,"Class1",64.134,15,"S",60,"R",65
34.662,NA,80.09,53.743,79.761,"Class2",13.917,20,"A",18,"V",25
36.339,82.653,85.44,50.702,78.865,"Class2",13.839,25,"A",23,"V",33
62,21.22,60.521,83.358,19.194,"Class3",61.648,27,"K",49,"Q",81
86.099,20.892,78.218,61.93,50.555,"Class4",58.588,8,"V",38,"S",27
60.043,22.606,83.08,54.973,24.757,"Class3",92.465,39,"Q",49,"O",89
29.098,33.901,85.017,54.2,79,"Class2",12.902,22,"K",18,"V",27
63.393,21.08,34.593,44.444,19.124,"Class3",87.92,17,"J",51,"H",82
48.059,NA,25.622,63.142,23.571,"Class1",56.125,21,"V",48,"C",35
45.73,55.915,28.791,74.476,23.129,"Class1",57.141,8,"X",45,"F",90
49.158,21.37,71.923,78.776,34.655,"Class3",37.613,42,"Q",46,NA,92
52.473,35.354,23.295,62.658,23.14,"Class1",63.555,5,"S",36,"C",29
49.612,39.707,29.389,1.941,15.116,"Class1",62.804,5,"I",34,"R",59
54.879,22.376,30.339,85.524,44.027,"Class3",17.077,15,"J",39,"O",91
64.907,73.847,31.033,36.766,15.811,"Class1",58.378,17,"T",73,"O",57
14.312,26.375,73.995,47.025,15.397,"Class4",11.609,11,"J",30,"R",26
70.39,25.337,75.246,46.216,36.889,"Class4",68.009,22,"G",39,"S",24
44.312,74.062,22.462,42.619,19.182,"Class1",66.231,15,"I",74,"C",1
54.355,21.157,58.773,33.66,35.895,"Class3",38.083,31,"R",53,"Q",75
12.678,46.533,71.037,63.624,17.19,"Class4",15.989,21,"W",36,"G",27
107.078,36.377,71.906,60.536,59.083,"Class4",24.961,10,"J",30,"S",24
56.091,22.852,36.57,44.621,35.45,"Class3",37.779,34,"R",52,"Z",67
32.394,80.8,78.88,52.684,77.584,"Class2",12.061,23,"U",16,"K",21
41.363,54.169,22.131,12.939,17.751,"Class1",58.191,23,"X",52,"C",13
46.182,22.724,48.893,57.662,39.481,"Class3",27.733,39,"R",42,"H",71
60.982,22.337,41.514,62.099,42.381,"Class3",24.196,28,"J",48,"Z",77
45.097,44.784,31.578,75.461,21.002,"Class1",64.385,15,"T",33,"O",45
72.913,29.231,82.264,45.338,60.181,"Class4",65.735,25,"W",57,"R",25
30.514,NA,76.721,60.263,79.672,"Class2",12.07,31,"Z",24,"F",26
35.575,21.312,52.563,40.997,27.497,"Class3",20.842,16,"Q",47,"Q",74
43.629,3.205,24.774,43.66,19.89,"Class1",56.679,16,"I",38,"C",77
62.67,16.543,82.765,66.125,50.241,"Class4",45.261,30,"D",39,"G",27
38.518,22.584,87.937,57.189,21.061,"Class3",46.951,16,"J",40,"O",93
80.09,NA,76.61,71.556,78.133,"Class4",29.56,12,"J",27,"I",26
45.94,76.738,31.129,56.188,11.212,"Class1",59.905,15,"V",69,"F",86
31.667,104.298,76.506,45.379,78.441,"Class2",13.409,28,"K",15,"X",34
63.648,7.896,82.69,44.045,73.814,"Class4",51.572,29,"D",43,"R",24
33.337,46.499,81.183,58.838,79.965,"Class2",12.867,31,"C",22,"N",31
74.041,24.013,39.605,70.33,34.981,"Class3",15.146,19,"R",44,"Q",86
16.224,36.652,85.163,68.446,78.417,"Class4",12.064,29,"G",26,"G",23
23.275,44.359,86.801,66.668,70.211,"Class4",66.31,21,"W",59,"R",22
43.992,23.735,74.971,85.347,45.718,"Class3",25.145,18,"R",48,"H",90
51.472,52.448,25.904,33.395,13.469,"Class1",66.666,22,"T",40,"R",20
38.557,46.901,29.187,11.361,12.913,"Class1",58.202,8,"S",32,"R",89
44.468,23.468,77.453,55.319,31.611,"Class3",9.172,35,"J",48,"Z",81
30.749,72.705,79.39,54.488,78.504,"Class2",12.63,26,"K",17,"N",19
63.352,75.399,23.08,23.78,12.556,"Class1",59.872,17,"I",36,"O",53
53.75,74.692,19.507,49.79,21.137,"Class1",67.442,24,"S",66,"O",57
83.467,33.864,71.061,45.434,49.255,"Class4",37.157,15,"W",25,"G",27
56.022,11.438,73.562,61.034,70.805,"Class4",15.743,15,"G",60,"I",27
45.601,21.739,57.845,32.12,41.802,"Class3",62.326,31,"J",44,NA,91
49.588,51.815,32.424,78.361,15.253,"Class1",58.642,5,"T",71,"C",23
42.134,21.069,92.618,48.697,39.306,"Class3",79.927,33,"K",44,"U",71
61.081,NA,30.446,44.287,11.028,"Class1",64.384,21,"S",33,"R",10
31.472,59.54,77.431,38.868,78.917,"Class2",12.2,28,"A",24,"N",29
35.408,85.423,79.198,41.582,77.239,"Class2",13.068,29,"C",21,"K",19
32.836,59.766,76.909,53.449,79.689,"Class2",12.524,27,"U",18,"F",28
50.63,32.625,78.59,54.554,45.583,"Class4",44.669,23,"J",60,"R",24
42.313,23.015,36.076,71.122,37.758,"Class3",15.188,46,"R",51,"Q",89
33.018,66.284,77.857,48.432,77.91,"Class2",12.909,25,"A",18,"V",29
31.869,32.102,77.687,62.107,78.779,"Class2",13.639,31,"C",15,"F",24
48.546,21.429,77.311,63.876,44.097,"Class3",78.089,21,"Q",41,"U",79
31.528,55.488,80.314,44.377,79.449,"Class2",13.073,31,"A",17,"V",33
41.401,11.146,86.602,74.856,48.097,"Class4",27.704,8,"D",58,"T",22
29,78.765,82.662,52.497,77.881,"Class2",12.166,29,"U",24,"K",33
63.406,20.254,77.425,45.391,20.296,"Class3",70.388,35,"Q",50,"O",85
32.821,21.265,23.219,56.429,26.007,"Class3",16.668,41,"R",46,"U",85
50.033,46.418,27.028,17.886,11.259,"Class1",66.63,18,"I",57,"C",28
50.833,21.602,72.041,49.422,47.435,"Class3",72.005,30,"H",41,"H",71
64.2,23.594,74.996,67.947,21.824,"Class3",72.055,33,"K",46,"Q",83
56.589,66.648,24.472,32.868,17.323,"Class1",61.269,4,"V",53,"O",39
92.546,46.608,72.213,64.204,28.917,"Class4",35.401,18,"W",31,NA,22
62.628,22.719,73.188,110.767,50.774,"Class3",64.879,30,"Q",47,"U",72
33.328,54.795,78.728,48.078,79.028,"Class2",13.357,22,"C",21,"N",31
51.838,73.801,31.659,61.725,18.396,"Class1",61.393,15,"V",43,NA,60
25.312,18.789,88.627,50.74,52.254,"Class4",39.205,29,"V",36,"I",23
30.504,NA,82.797,52.193,77.916,"Class2",13.535,23,"U",18,"K",22
30.425,79.645,81.084,49.354,78.625,"Class2",13.962,25,"K",23,"N",20
50.789,29.456,19.24,45.932,16.12,"Class1",56.431,19,"T",57,"O",6
28.189,63.157,76.818,49.516,77.442,"Class2",13.917,19,"C",18,"V",34
21.858,15.918,77.109,56.808,25.999,"Class4",28.181,8,"V",26,NA,22
46.325,53.834,28.055,70.93,14.524,"Class1",67.888,21,"S",73,"F",40
31.515,49.202,83.768,48.684,79.201,"Class2",12.737,25,"K",15,NA,21
48.462,32.055,74.69,74.495,24.267,"Class4",48.538,12,"J",41,"T",25
31.967,59.559,78.599,49.633,77.574,"Class2",13.339,26,"A",20,"V",34
28.178,15.327,77.927,60.073,17.95,"Class4",55.334,23,"W",44,"S",24
53.613,22.518,85.967,53.852,23.782,"Class3",42.794,29,"H",44,"U",90
63.268,51.769,24.266,62.113,21.433,"Class1",57.855,11,"S",58,"C",77
44.683,23.572,34.592,64.854,26.943,"Class3",19.009,23,"H",51,"Q",78
78.283,38.987,84.722,84.351,50.469,"Class4",39.411,11,"W",51,"S",23
30.371,96.113,85.892,51.813,78.751,"Class2",13.102,24,"A",20,"F",23
67.888,91.672,30.814,51.638,17.133,"Class1",67.6,5,"X",35,"R",20
50.763,22.801,27.754,40.069,29.443,"Class3",58.336,24,"Q",42,"Q",72
57.062,57,21.811,32.676,16.363,"Class1",68.911,21,"X",64,"F",90
49.829,22.559,33.312,61.912,45.407,"Class3",71.363,23,"R",44,"Q",84
63.967,44.33,80.574,62.919,62.708,"Class4",37.839,11,"J",50,"I",23
64.551,22.033,74.962,54.401,46.22,"Class3",27.071,44,"J",41,"Z",72
70.579,24.036,82.768,62.061,42.085,"Class4",65.412,10,"D",31,"R",25
58.921,21.816,55.238,63.75,42.298,"Class3",39.352,14,"R",51,"Q",88
13.046,NA,83.795,52.076,26.798,"Class4",39.931,27,"D",59,"R",22
31.356,67.901,82.942,53.153,78.64,"Class2",12.121,24,"A",20,"X",30
27.348,75.156,82.561,54.001,79.828,"Class2",13.107,23,"C",16,"V",32
47.406,47.592,27.632,33.813,15.614,"Class1",60.459,5,"S",56,"P",35
62.351,44.115,20.204,54.334,14.2,"Class1",57.821,9,"V",63,"O",46
65.525,52.165,32.332,65.781,12.637,"Class1",63.392,0,"V",37,NA,27
43.564,21.798,36.875,104.179,33.443,"Class3",22.098,20,"K",48,"H",83
29.769,51.318,81.119,55.799,77.707,"Class2",13.262,22,"K",20,"V",24
32.756,63.894,84.007,57.644,77.919,"Class2",13.235,21,"K",16,"K",22
80.135,37.601,81.456,67.929,48.376,"Class4",63.026,23,"D",50,"R",27
93.313,NA,81.691,49.597,66.141,"Class4",42.11,30,"D",29,"T",22
60.941,22.688,86.582,40.83,43.305,"Class3",49.068,41,"R",42,"H",71
31.623,73.417,76.33,47.924,77.538,"Class2",13.873,27,"C",18,"N",30
27.084,38.713,87.453,36.769,61.139,"Class4",34.458,26,"W",55,"S",25
33.159,35.108,80.579,45.238,77.263,"Class2",13.381,26,"K",22,NA,29
31.106,64.957,83.617,53.108,77.366,"Class2",12.72,26,"U",17,"X",23
61.021,33.742,89.358,54.615,18.569,"Class4",33.946,18,"G",36,NA,24
7.863,21.746,80.318,73.259,38.843,"Class4",60.001,30,"V",49,NA,22
64.5,39.453,77.727,54.587,76.129,"Class4",62.088,30,"D",52,"I",23
58.385,36.985,24.214,88.422,18.953,"Class1",56.996,17,"S",61,"O",86
54.674,29.678,75.13,73.124,15.976,"Class4",33.586,25,"D",25,"G",24
32.381,71.897,79.899,60.089,79.82,"Class2",13.433,25,"A",16,"V",26
31.747,31.098,83.309,56.982,79.252,"Class2",13.407,26,"C",18,"X",20
53.155,22.289,46.559,40.754,34.78,"Class3",26.059,38,"R",42,"U",89
55.185,43.759,80.873,73.463,66.659,"Class4",66.124,18,"J",54,"T",22
57.363,73.774,27.212,51.441,14.129,"Class1",60.134,17,"T",37,"C",1
59.292,22.178,39.254,56.768,30.932,"Class3",7.046,26,"K",49,"U",68
38.408,NA,32.044,26.303,31.426,"Class3",51.885,48,"R",41,"U",73
60.756,23.428,65.319,36.603,36.316,"Class3",31.97,45,"Q",51,"Q",93
63.982,25.478,89.708,57.776,20.288,"Class4",68.029,21,"D",30,"R",23
98.059,34.773,81.058,71.16,65.708,"Class4",34.357,23,"J",37,"I",23
91.7,NA,88.429,72.881,79.943,"Class4",46.701,26,"J",49,"S",24
50.024,22.649,85.533,61.109,43.931,"Class3",79.554,27,"H",50,"Q",68
32.286,NA,28.546,17.996,20.727,"Class1",60.439,5,"T",67,"O",26
44.542,36.692,27.005,64.527,21.443,"Class1",61.621,13,"I",57,"R",77
53.801,5.685,83.826,35.834,78.132,"Class4",44.184,23,"D",48,"S",27
27.401,58.701,77.741,53.229,77.939,"Class2",13.768,28,"K",22,"F",27
31.168,19.891,83.07,46.229,78.356,"Class2",13.111,29,"K",19,"V",34
48.924,22.182,68.189,70.041,40.203,"Class3",26.739,37,"K",39,"U",88
35.207,45.003,87.693,44.698,38.393,"Class4",29.357,8,"J",50,"T",24
56.899,21.187,63.757,62.21,39.334,"Class3",14.575,22,"J",49,"U",82
46.113,22.945,74.39,57.763,20.267,"Class3",51.367,43,"Q",53,NA,84
55.442,22.235,59.692,46.259,25.845,"Class3",66.688,20,"J",41,"Z",80
58.521,22.141,29.628,43.181,28.457,"Class3",27.624,36,"Q",51,"H",80
62.667,18.611,86.908,58.163,53.083,"Class4",23.631,22,"W",50,"T",25
84.715,42.672,75.826,54.466,42.288,"Class4",52.413,29,"G",30,"I",25
52.755,22.538,88.175,52.224,42.752,"Class3",53.917,18,"H",44,"H",67
31.963,77.209,76.151,35.226,79.445,"Class2",12.052,27,"K",18,"K",32
28.795,NA,78.314,43.782,25.598,"Class4",49.822,16,"D",39,"S",25
27.262,19.09,85.172,61.604,77.4,"Class2",13.013,28,"Z",16,"F",23
37.536,36.097,21.887,20.649,15.442,"Class1",60.462,14,"X",37,"C",61
41.248,70.783,20.985,9.3,12.539,"Class1",68.512,4,"T",42,"P",25
29.767,NA,81.963,57.695,78.603,"Class2",13.98,29,"A",15,"X",32
-0.411,37.422,72.782,64.838,60.448,"Class4",20.76,14,"D",42,"S",22
33.522,39.309,82.89,60.897,15.573,"Class4",23.495,10,"W",56,"I",25
53.714,56.943,21.204,63.865,21.915,"Class1",60.642,14,"I",39,"F",77
62.862,23.236,79.289,51.205,50.441,"Class3",66.024,48,"H",46,"H",67
33.473,NA,80.998,77.425,62.393,"Class4",63.074,19,"G",48,"S",22
55.308,22.467,27.702,66.042,48.585,"Class3",34.133,36,"K",49,"O",81
53.781,22.888,62.952,77.347,25.337,"Class3",6.492,48,"J",48,"Q",89
34.004,23.012,68.708,55.327,31.442,"Class3",82.904,16,"J",42,"O",85
57.485,23.6,84.739,24.169,44.058,"Class3",70.622,34,"J",52,"Z",80
75.923,41.691,83.553,58.804,75.751,"Class4",51.517,25,"W",38,"I",22
54.991,22.781,92.425,62.164,21.947,"Class3",23.474,40,"Q",51,"H",83
94.846,NA,89.856,60.926,60.459,"Class4",12.177,19,"J",42,"R",24
21.763,22.364,89.439,61.608,70.528,"Class4",45.385,25,"V",28,"I",24
54.656,50.556,19.544,32.946,23.312,"Class1",67.928,13,"X",46,"C",70
30.484,65.289,78.479,48.848,78.893,"Class2",13.252,23,"Z",20,"K",32
44.01,61.057,31.284,46.409,17.262,"Class1",59.862,0,"V",70,"O",85
55.042,24.492,47.518,41.48,27.645,"Class3",48.684,29,"H",47,NA,87
33.068,65.968,77.685,51.301,77.971,"Class2",12.152,28,"A",18,"K",22
43.471,20.413,70.164,72.154,50.443,"Class3",45.954,39,"J",46,"Z",90
32.261,NA,78.364,51.167,79.007,"Class2",13.918,28,"Z",22,"X",22
31.241,79.015,83.232,59.472,77.585,"Class2",13.079,24,"C",16,"V",30
52.11,7.861,30.233,39.429,16.983,"Class1",67.825,10,"I",69,NA,54
45.173,20.365,35.486,42.49,40.715,"Class3",15.388,40,"J",53,"H",70
64.006,42.874,24.513,73.895,15.786,"Class1",56.098,9,"T",36,"O",27
58.93,22.85,45.385,84.247,21.082,"Class3",49.547,17,"J",41,"Z",70
46.188,49.976,22.234,23.434,16.381,"Class1",62.441,2,"I",57,"C",79
31.335,81.731,78.813,44.257,79.211,"Class2",12.742,23,"U",17,"F",23
54.029,21.592,37.157,42.641,44.967,"Class3",53.11,24,"H",52,"U",85
40.329,57.852,23.18,-24.454,11.934,"Class1",56.731,0,"V",74,"R",23
51.432,24.282,33.054,62.252,18.83,"Class3",53.026,28,"J",51,"U",70
42.202,52.506,19.874,67.133,18.93,"Class1",56.427,16,"S",76,"C",87
61.077,61.488,30.073,37.88,23.813,"Class1",63.037,20,"X",74,"O",40
31.747,54.733,76.314,50.263,77.063,"Class2",12.374,30,"Z",18,"N",22
41.316,21.032,86.893,63.37,47.825,"Class4",26.84,29,"J",28,"R",24
42.539,24.307,85.727,38.991,72.869,"Class4",67.625,29,"V",26,"R",23
41.55,88.376,19.652,8.152,14.067,"Class1",61.232,5,"T",48,"P",76
56.585,24.156,58.946,95.327,25.442,"Class3",9.096,30,"J",49,"Q",86
37.128,NA,76.052,91.585,73.919,"Class4",23.441,25,"J",58,"R",25
65.212,20.789,33.394,38.804,34.817,"Class3",79.284,47,"K",42,"Z",85
33.774,46.21,80.241,62.129,77.983,"Class2",13.576,22,"C",19,"K",27
26.966,40.656,77.53,37.366,20.361,"Class4",22.114,19,"V",50,"T",22
28.128,74.926,80.402,51.279,79.728,"Class2",13.982,28,"U",16,"N",20
68.8,38.613,87.341,43.129,58.595,"Class4",37.204,8,"G",47,"R",24
62.937,42.079,28.621,72.881,11.296,"Class1",60.084,8,"I",35,"P",84
29.207,83.179,81.378,56.439,78.298,"Class2",13.14,29,"Z",18,"K",30
29.794,44.577,73.166,92.269,45.684,"Class4",50.664,23,"W",49,"I",23
53.503,NA,29.313,18.748,18.493,"Class1",62.615,2,"T",41,"C",27
73.669,21.399,73.481,71.901,59.166,"Class4",37.604,18,"G",42,NA,26
47.518,73.055,27.857,41.203,22.891,"Class1",58.461,17,"S",70,"P",85
60.174,22.323,32.337,20.258,48.635,"Class3",14.694,40,"J",49,"H",93
32.748,54.725,83.868,40.3,79.648,"Class2",12.437,27,"K",20,"K",21
29.166,70.386,76.819,52.906,77.126,"Class2",13.463,23,"U",20,"F",32
53.177,55.052,20.505,70.57,12.318,"Class1",67.46,22,"V",48,"F",6
42.45,37.562,84.018,60.277,49.681,"Class4",18.147,17,"W",52,"I",24
83.595,32.007,87.831,65.291,28.269,"Class4",64.04,18,"V",31,NA,27
68.191,23.129,53.092,70.953,49.22,"Class3",50.14,30,"H",41,"O",84
84.174,26.579,89.887,60.154,41.629,"Class4",66.365,19,"V",45,"S",26
59.779,22.309,63.232,34.116,38.933,"Class3",67.179,30,"R",39,"Q",71
63.093,91.295,23.138,20.031,23.642,"Class1",62.16,6,"S",40,"F",49
34.432,65.501,78.49,39.883,79.356,"Class2",12.875,24,"C",24,"F",32
61.108,-0.848,88.916,70.313,22.566,"Class4",17.033,26,"J",37,NA,24
33.357,95.487,78.087,41.855,78.969,"Class2",13.675,30,"A",24,"N",28
46.649,35.488,88.196,38.007,50.94,"Class4",37.08,19,"D",58,"I",23
61.067,41.888,20.377,31.846,11.342,"Class1",66.102,3,"X",72,"P",13
55.666,16.957,79.784,57.66,52.67,"Class4",20.771,24,"W",30,"G",23
75.283,22.2,55.904,35.602,37.813,"Class3",9.558,20,"Q",44,"O",88
51.217,22.26,44.908,26.057,42.78,"Class3",53.958,47,"K",42,"U",86
57.027,66.847,20.76,6.027,13.028,"Class1",59.768,21,"V",44,"R",84
41.212,23.886,36.841,8.706,42.385,"Class3",20.033,15,"R",43,"H",84
56.415,79.737,26.715,80.06,11.014,"Class1",58.113,5,"S",44,NA,5
46.385,22.322,52.367,55.472,32.069,"Class3",94.193,36,"K",47,"O",69
30.004,43.201,77.878,37.567,77.166,"Class2",13.137,21,"Z",22,"X",33
44.592,33.122,75.191,60.033,22.876,"Class4",45.223,19,"D",30,"S",25
87.636,21.7,80.847,52.743,32.26,"Class3",81.331,50,"H",43,"Z",67
56.782,74.168,19.773,53.988,14.981,"Class1",58.421,22,"X",63,"R",49
63.745,20.71,86.719,39.221,42.052,"Class3",34.827,44,"H",52,"Z",89
68.932,41.963,86.033,66.229,48.172,"Class4",20.873,15,"J",60,"S",27
29.194,61.849,85.672,56.996,79.053,"Class2",13.193,27,"U",21,"K",23
31.724,58.689,78.527,56.298,77.471,"Class2",13.329,29,"C",23,NA,30
31.113,73.839,84.793,50.837,77.673,"Class2",12.759,24,"A",24,"F",33
63.942,NA,81.795,70.536,36.617,"Class4",38.276,10,"V",40,"I",25
32.868,NA,83.693,46.905,78.877,"Class2",13.477,30,"K",20,"K",20
28.995,60.068,77.993,56.76,79.93,"Class2",13.418,30,"A",16,"N",23
84.349,NA,79.628,48.993,78.624,"Class4",22.447,12,"G",49,"G",26
31.045,NA,78.334,45.384,79.892,"Class2",12.723,22,"C",20,"N",31
58.243,13.887,87.539,68.209,16.824,"Class4",60.853,21,"D",45,"G",25
35.359,21.281,87.852,86.781,40.668,"Class4",36.312,10,"G",39,"I",27
46.186,79.461,22.343,35.368,12.73,"Class1",68.605,13,"X",61,"F",44
50.6,53.411,19.427,57.579,23.472,"Class1",66.625,22,"I",62,"C",37
33.691,77.541,77.787,57.737,79.814,"Class2",12.134,30,"Z",20,"N",24
61.993,31.749,78.652,54.184,32.163,"Class4",39.593,11,"J",43,"R",27
54.416,23.607,38.535,52.447,32.877,"Class3",23.784,40,"J",50,"H",75
56.646,48.416,22.476,-2.98,22.16,"Class1",59.292,3,"I",61,"P",32
35.222,80.339,84.248,46.27,79.677,"Class2",12.275,30,"U",21,NA,28
47.585,35.276,84.437,70.876,53.781,"Class4",14.925,27,"V",33,"R",27
43.829,71.148,31.525,59.212,20.58,"Class1",65.984,0,"T",69,"O",10
67.266,24.768,42.753,25.21,17.819,"Class3",37.632,38,"K",40,"O",68
64.425,23.715,78.738,72.909,31.551,"Class4",12.367,12,"V",48,"I",24
44.68,40.081,29.476,69.922,23.464,"Class1",68.824,7,"T",39,"F",80
61.02,22.385,34.38,30.789,41.9,"Class3",20.74,46,"Q",41,"U",76
54.929,21.866,42.849,39.929,43.964,"Class3",47.045,16,"J",52,"Z",87
64.875,21.964,37.925,88.921,21.041,"Class3",71.935,19,"Q",50,NA,78
45.806,56.25,28.872,40.927,19.409,"Class1",65.452,4,"T",39,"P",6
29.253,90.671,84.222,43.559,79.891,"Class2",13.376,28,"C",17,"N",33
8.558,43.596,83.799,67.748,40.469,"Class4",55.504,19,"J",34,"I",24
48.484,NA,28.23,54.439,17.363,"Class1",67.823,17,"X",44,"C",86
32.992,51.324,83.3,54.503,78.691,"Class2",13.169,26,"U",21,"F",29
58.436,43.246,21.512,47.369,11.175,"Class1",66.052,10,"I",60,"O",67
65.848,70.27,21.937,60.159,11.512,"Class1",60.434,23,"I",56,"R",7
60.892,22.641,78.399,72.703,77.362,"Class4",56.803,17,"G",29,"S",26
30.695,73.576,80.633,52.008,78.732,"Class2",12.661,20,"C",23,NA,28
39.796,38.323,81.206,75.202,63.983,"Class4",49.485,16,"G",38,"R",27
32.352,57.984,81.857,47.962,77.437,"Class2",12.263,29,"K",21,"X",31
44.184,79.327,29.493,81.186,13.438,"Class1",65.389,12,"X",65,"C",6
58.46,38.553,19.873,66.211,21.137,"Class1",67.16,3,"X",50,"R",8
47.185,31.374,32.864,-39.959,16.339,"Class1",67.298,12,"I",57,"O",39
56.639,46.854,28.076,34.599,20.394,"Class1",56.007,20,"V",64,"R",10
60.353,NA,29.916,36.808,23.876,"Class1",61.081,9,"V",47,"F",47
38.871,21.704,80.249,64.452,56.873,"Class4",62.391,9,"J",34,"T",25
49.792,22.323,32.59,50.72,30.006,"Class3",57.355,38,"H",41,"O",87
50.898,65.364,24.855,36.524,22.243,"Class1",59.933,10,"T",70,"R",52
45.759,41.906,29.733,17.78,23.103,"Class1",68.898,14,"S",61,"F",76
36.875,35.955,83.576,42.342,38.54,"Class4",49.55,29,"D",45,"R",23
58.302,23.076,35.467,50.43,30.132,"Class3",41.265,19,"H",39,"H",76
29.455,54.742,79.94,60.245,79.867,"Class2",13.622,30,"Z",19,"X",29
47.377,47.239,22.108,33.019,18.495,"Class1",61.157,23,"X",46,"F",33
49.405,23.017,83.899,30.193,28.513,"Class3",58.83,21,"J",53,"H",87
59.697,51.025,84.834,62.551,68.588,"Class4",29.885,26,"V",53,NA,24
30.217,32.335,86.075,53.051,65.444,"Class4",25.196,15,"J",44,NA,23
62.454,23.216,80.364,59.239,46.479,"Class3",85.835,45,"Q",46,"Z",67
60.225,24.081,40.674,58.619,37.936,"Class3",50.021,39,"R",51,"Q",70
32.006,45.88,77.02,46.932,78.569,"Class2",13.431,23,"A",15,"N",20
41.992,51.32,23.235,57.776,19.862,"Class1",66.993,24,"I",62,"R",56
42.024,43.924,72.912,40.502,60.136,"Class4",22.959,9,"V",46,"S",25
57.985,19.295,29.148,79.23,15.648,"Class1",66.335,17,"T",72,"O",17
61.465,22.382,74.865,56.515,32.971,"Class3",66.865,17,"Q",45,"Q",68
59.02,21.862,74.858,87.144,37.059,"Class3",94.448,45,"H",53,"U",85
39.42,41.349,80.895,55.19,46.782,"Class4",33.334,10,"W",27,"R",25
71.946,7.995,19.773,52.726,22.971,"Class1",64.545,6,"I",56,"C",84
30.311,61.331,82.34,48.016,77.954,"Class2",13.932,30,"U",20,"K",23
58.595,60.788,20.725,32.48,16.629,"Class1",65.488,11,"V",49,"F",80
56.367,23.717,88.974,53.61,44.786,"Class3",56.947,38,"J",39,"U",73
38.616,33.945,75.808,55.224,20.775,"Class4",43.426,15,"V",37,"G",22
59.358,21.287,45.123,29.652,35.181,"Class3",16.554,40,"R",49,NA,86
30.668,90.091,80.416,55.246,78.741,"Class2",12.862,25,"A",15,"X",31
31.028,85.659,84.332,57.499,78.646,"Class2",12.085,30,"Z",23,"K",31
