"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","Output21"
"W",41,63,67.465,60.693,49.041,43.297,45.326,90.182,"R",58,"Class2"
"Q",89,66,3.173,28.438,32.553,84.98,83.103,42.369,"X",39,"Class1"
"Q",89,74,1.212,25.443,11.557,69.739,84.513,45.871,"F",40,"Class1"
"R",87,27,75.868,19.806,37.274,60.321,9.086,19.08,"G",27,"Class4"
"T",86,89,3.872,29.389,58.584,83.543,85.8,42.988,"F",43,"Class1"
"K",91,54,2.986,15.246,49.356,83.787,81.976,23.092,"N",44,"Class1"
"W",42,62,62.691,60.37,22.58,38.761,49.724,95.058,"I",74,"Class2"
"I",79,78,4.413,18.069,49.481,60.241,85.36,30.209,"X",40,"Class1"
"H",98,33,56.286,22.282,46.292,53.031,21.675,20.189,"L",68,"Class4"
"J",39,30,59.289,15.002,22.181,53.662,29.518,19.066,"G",51,"Class4"
"K",84,96,2.809,31.839,69.457,44.482,81.75,46.656,"N",45,"Class1"
"M",43,56,63.456,60.597,54.939,44.084,53.151,92.625,"R",67,"Class2"
"G",62,33,50.972,22.445,28.633,57.559,7.537,19.95,"V",48,"Class4"
"M",31,61,57.249,60.174,22.801,39.687,52.199,91.105,"H",58,"Class2"
"M",44,59,70.956,60.084,33.081,41.826,48.093,91.514,"I",72,"Class2"
"Y",70,82,57.611,16.219,22.464,42.099,82.722,58.385,"M",59,"Class3"
"R",68,26,56.979,23.473,48.247,54.291,71.91,20.18,"G",NA,"Class4"
"T",62,74,42.534,21.687,9.718,44.634,67.088,30.055,"M",71,"Class3"
"H",66,30,53.025,18.183,31.441,83.924,61.296,20.542,"A",36,"Class4"
"Y",90,47,47.995,17.453,8.415,42.963,72.604,30.824,"M",89,"Class3"
"M",47,64,26.2,61.288,21.672,42.442,58.757,89.254,"P",57,"Class2"
"G",42,26,65.25,21.865,7.385,77.112,40.495,20.213,"A",36,"Class4"
"P",33,68,55.343,60.351,14.826,41.685,53.803,93.155,"L",NA,"Class2"
"F",65,79,41.378,13.555,21.653,33.697,67.233,16.468,"M",81,"Class3"
"E",91,50,40.172,34.065,21.218,41.503,86.56,63.258,"M",74,"Class3"
"W",33,59,73.468,60.438,42.737,43.549,49.553,94.988,"R",70,"Class2"
"K",80,59,-0.099,24.487,64.363,47.037,81.329,32.957,"H",45,"Class1"
"Z",34,56,72.41,61.179,32.881,42.985,56.203,89.87,"R",57,"Class2"
"H",26,28,33.961,19.731,21.835,58.122,11.793,19.07,"G",67,"Class4"
"E",100,24,41.083,22.348,36.647,53.955,83.452,19.055,"G",23,"Class4"
"P",30,66,79.936,60.073,49.098,38.98,58.006,93.976,"H",61,"Class2"
"H",24,26,73.773,22.023,47.016,61.782,36.688,19.307,"A",10,"Class4"
"G",44,NA,48.374,19.309,40.015,71.607,71.262,18.951,"L",42,"Class4"
"H",27,31,54.331,18.766,36.68,68.699,72.63,19.618,"V",57,"Class4"
"D",34,63,52.774,60.065,26.925,41.285,46.545,93.869,"L",63,"Class2"
"G",100,33,72.46,16.312,47.993,84.693,19.095,19.587,"K",61,"Class4"
"P",39,NA,48.731,59.829,40.694,39.898,46.925,89.919,"L",71,"Class2"
"T",71,NA,44.075,36.038,5.236,39.739,74.031,32.567,"C",75,"Class3"
"E",89,70,32.059,24.251,19.97,35.831,87.541,50.722,"M",81,"Class3"
"J",33,26,61.198,21.621,22.247,79.107,10.954,19.226,"G",4,"Class4"
"M",32,NA,42.552,60.115,52.647,41.169,46.001,91.214,"I",56,"Class2"
"W",30,64,71.781,60.731,45.432,40.226,51.466,94.151,"R",65,"Class2"
"X",80,73,51.631,24.365,12.92,41.503,70.525,33.716,"M",68,"Class3"
"T",72,69,60.832,35.896,19.089,32.898,71.427,39.122,"C",83,"Class3"
"E",83,49,41.545,28.536,22.66,43.914,73.929,42.634,"T",83,"Class3"
"G",79,34,0.781,23.85,10.646,53.472,82.132,41.261,"K",NA,"Class1"
"Q",88,79,3.772,21.529,12.332,68.1,81.044,58.43,"K",42,"Class1"
"J",92,29,40.684,27.314,22.399,63.517,64.568,18.853,"L",75,"Class4"
"Y",90,57,35.874,14.894,8.219,36.175,79.498,42.497,"X",87,"Class3"
"E",66,73,43.902,24.511,15.8,39.625,88.413,41.203,"X",95,"Class3"
"P",47,65,38.262,59.851,11.652,41.938,51.299,92.398,"R",73,"Class2"
"E",36,32,82.74,17.937,25.701,88.73,51.849,19.937,"K",75,"Class4"
"X",71,85,57.167,30.862,21.013,39.355,87.417,54.084,"C",71,"Class3"
"P",34,66,40.556,60.611,24.545,39.385,58.414,92.754,"R",56,"Class2"
"Y",90,75,53.934,30.235,12.384,41.496,69.887,49.533,"C",85,"Class3"
"M",36,64,63.017,60.789,16.71,39.725,47.308,92.632,"I",65,"Class2"
"E",86,31,44.191,21.551,14.111,78.153,89.569,19.093,"A",28,"Class4"
"H",57,24,43.92,13.265,27.595,85.405,49.893,19.888,"A",43,"Class4"
"P",33,64,78.583,60.664,32.269,43.482,50.113,90.145,"I",74,"Class2"
"E",89,43,58.537,1.869,22.194,36.38,72.826,37.701,"M",79,"Class3"
"Q",90,36,2.412,24.846,36.907,59.326,84.036,43.191,"F",39,"Class1"
"D",33,57,53.205,61.266,45.647,40.966,47.849,92.785,"P",NA,"Class2"
"P",31,61,66.385,60.606,54.188,44.998,58.156,91.562,"I",58,"Class2"
"T",76,53,39.268,-0.932,21.588,38.002,68.711,40.014,"C",95,"Class3"
"G",51,33,70.799,11.376,22.716,81.163,19.064,20.187,"L",71,"Class4"
"T",86,53,3.517,23.219,15.45,57.28,85.911,25.233,"K",39,"Class1"
"X",78,51,53.715,30.784,8.598,38.185,67.794,39.423,"E",83,"Class3"
"T",85,42,3.366,30.309,7.407,46.334,85.988,54.263,"X",41,"Class1"
"D",29,59,48.484,60.736,28.588,42.089,57.603,93.123,"P",64,"Class2"
"T",89,36,3.688,18.93,58.138,83.452,81.921,57.45,"H",39,"Class1"
"K",83,29,4.886,36.207,25.816,82.99,85.771,50.061,"X",39,"Class1"
"R",49,33,76.136,19.737,30.22,80.322,16.456,19.222,"A",61,"Class4"
"Z",44,64,44.467,60.296,22.357,40.508,49.78,95.475,"L",68,"Class2"
"K",85,79,6.253,26.833,29.335,38.666,84.802,46.851,"N",42,"Class1"
"Y",84,NA,42.818,30.23,11.661,39.753,83.076,38.13,"T",92,"Class3"
"G",91,52,5.583,26.737,25.544,63.37,84.787,28.252,"X",42,"Class1"
"K",83,63,2.426,23.772,32.026,66.084,84.759,58.663,"H",43,"Class1"
"T",90,23,4.236,16.294,48.011,53.902,84.459,21.527,"F",41,"Class1"
"W",43,64,60.238,60.33,15.435,39.192,45.916,93.465,"H",70,"Class2"
"E",65,80,26.279,7.614,9.159,42.336,88.106,38.347,"E",57,"Class3"
"G",92,79,3.987,23.89,82.581,48.043,83.916,49.117,"X",42,"Class1"
"Y",64,NA,35.771,10.086,15.103,36.97,87.538,38.715,"T",81,"Class3"
"X",67,65,49.859,7.725,15.924,38.092,91.018,44.279,"E",73,"Class3"
"E",100,33,61.025,18.417,41.738,74.729,67.576,20.472,"K",81,"Class4"
"F",69,55,45.183,17.611,10.309,34.153,87.742,32.647,"X",88,"Class3"
"G",81,89,3.484,31.43,69.398,69.863,85.554,29.791,"N",41,"Class1"
"G",46,32,71.409,13.249,35.647,74.588,28.262,19.391,"L",31,"Class4"
"K",80,92,3.607,24.695,67.315,62.605,84.983,52.544,"F",42,"Class1"
"H",20,33,72.568,23.475,44.422,75.872,84.644,18.701,"A",7,"Class4"
"G",90,30,58.633,21.403,44.256,87.999,59.624,20.211,"A",62,"Class4"
"W",32,63,69.701,60.447,34.385,38.605,56.292,89.537,"H",60,"Class2"
"Y",63,43,62.81,14.899,9.664,35.297,72.58,42.703,"C",74,"Class3"
"W",37,58,57.477,61.083,16.635,43.288,54.102,92.193,"H",70,"Class2"
"Z",42,60,54.926,61.014,18.274,43.549,57.378,93.699,"H",57,"Class2"
"D",36,63,63.725,60.777,53.213,42.179,58.802,90.82,"I",70,"Class2"
"P",44,66,75.285,60.086,57.995,42.584,57.1,92.366,"H",72,"Class2"
"D",41,62,46.201,60.953,36.227,38.518,53.616,90.543,"L",61,"Class2"
"I",78,29,7.501,19.745,34.489,66.668,82.815,36.71,"K",40,"Class1"
"R",91,27,72.916,27.56,11.599,52.17,41.642,21.163,"K",24,"Class4"
"Q",85,NA,1.822,22.434,82.067,57.187,82.996,48.945,"K",39,"Class1"
"J",57,24,88.024,24.222,43.134,67.152,22.862,20.002,"G",72,"Class4"
"P",36,63,64.746,60.45,43.903,40.2,48.716,89.952,"P",61,"Class2"
"X",80,48,49.464,17.062,23.479,40.388,89.577,30.226,"C",90,"Class3"
"H",31,29,65.167,24.261,39.999,88.851,66.145,21.419,"A",48,"Class4"
"T",93,61,38.627,26.379,23.554,44.814,69.388,46.766,"T",58,"Class3"
"R",84,32,81.393,26.923,44.406,52.957,20.461,20.516,"L",22,"Class4"
"P",31,67,55.246,60.118,54.887,39.623,46.805,95.543,"P",66,"Class2"
"K",86,43,3.703,20.399,63.201,85.567,84.442,49.009,"H",44,"Class1"
"T",77,72,45.32,16.687,13.4,43.412,74.98,57.315,"M",71,"Class3"
"M",33,67,56.306,60.553,47.241,43.129,55.61,92.62,"H",73,"Class2"
"T",77,72,51.752,9.866,20.108,43.154,85.146,40.853,"T",75,"Class3"
"Q",80,58,3.576,30.742,77.62,65.406,85.193,20.823,"K",43,"Class1"
"M",33,64,44.338,60.189,36.015,41.044,50.915,92.447,"I",61,"Class2"
"G",56,27,90.286,29.171,11.651,65.087,54.803,20.769,"V",31,"Class4"
"Y",58,52,28.791,19.952,14.672,44.742,76.091,40.502,"M",63,"Class3"
"M",31,58,52.056,60.171,26.333,41.128,50.411,95.242,"I",73,"Class2"
"P",39,56,57.377,59.972,35.546,39.977,46.624,96.237,"R",62,"Class2"
"M",32,64,39.797,60.577,27.686,43.298,56.435,94.768,"H",62,"Class2"
"F",68,73,46.812,28.801,15.124,43.896,81.259,51.96,"M",80,"Class3"
"Z",42,62,46.482,60.271,27.907,38.778,46.374,88.687,"L",63,"Class2"
"F",67,85,38.729,21.608,4.505,37.064,74.531,30.317,"E",73,"Class3"
"Q",85,24,4.564,15.979,49.297,81.831,85.93,49.422,"K",40,"Class1"
"Z",40,67,60.775,60.847,45.287,41.243,47.713,93.569,"L",NA,"Class2"
"Q",79,32,4.749,22.627,63.132,76.568,84.945,48.479,"H",44,"Class1"
"T",58,75,52.153,29.333,19.115,38.72,74.207,53.049,"X",79,"Class3"
"H",81,28,52.704,23.231,13.492,53.618,77.512,19.901,"V",21,"Class4"
"X",66,79,53.053,17.904,14.712,42.778,90.441,15.216,"X",72,"Class3"
"G",80,31,59.143,26.99,5.059,66.047,47.08,18.676,"K",77,"Class4"
"T",80,61,3.162,25.609,28.423,41.278,85.598,51.356,"N",42,"Class1"
"D",46,62,47.494,60.139,35.827,38.709,45.379,91.287,"I",70,"Class2"
"T",80,52,44.732,26.118,19.907,42.462,71.874,50.04,"M",NA,"Class3"
"Q",85,28,3.795,25.938,32.759,46.638,85.892,62.106,"H",40,"Class1"
"E",72,63,38.977,31.381,23.383,33.688,75.5,42.172,"T",NA,"Class3"
"M",34,61,77.575,60.303,11.469,43.564,57.604,92.841,"I",65,"Class2"
"Z",39,68,72.409,60.861,49.065,40.778,56.255,91.985,"L",69,"Class2"
"M",36,68,75.266,60.209,33.334,39.076,47.967,93.568,"L",69,"Class2"
"K",90,35,0.662,25.758,75.159,78.514,85.604,46.52,"X",39,"Class1"
"T",83,49,3.512,31.136,65.412,74.926,85.99,32.316,"N",45,"Class1"
"R",55,27,50.472,20.054,22.644,54.872,66.99,19.473,"A",77,"Class4"
"E",94,44,37.546,31.35,22.44,41.501,69.593,23.93,"T",59,"Class3"
"R",20,28,75.32,24.884,17.127,63.63,13.579,19.514,"L",25,"Class4"
"J",47,24,87.957,23.385,34.899,85.379,66.191,19.471,"V",65,"Class4"
"T",79,58,3.133,17.147,45.742,41.702,83.992,2.584,"X",45,"Class1"
"T",82,92,3.815,21.519,70.769,77.964,84.001,38.047,"N",39,"Class1"
"G",29,31,67.033,23.22,42.77,71.066,81.653,20.781,"K",54,"Class4"
"D",29,68,66.709,59.722,15.007,42.901,58.648,93.029,"R",NA,"Class2"
"Y",85,63,41.127,14.514,4.191,41.867,91.682,53.287,"T",68,"Class3"
"M",34,67,65.92,60.848,31.75,39.554,51.425,87.713,"H",72,"Class2"
"Q",90,33,2.287,11.957,65.385,54.538,82.701,35.756,"K",44,"Class1"
"M",39,65,64.883,59.952,25.325,39.388,57.749,93.945,"L",67,"Class2"
"W",40,58,60.923,60.607,24.34,41.783,56.722,93.673,"H",69,"Class2"
"Y",67,77,52.588,24.433,8.351,36.697,90.444,43.774,"C",65,"Class3"
"T",62,63,37.979,34.727,19.813,40.333,68.457,42.42,"E",68,"Class3"
"Z",40,64,32.89,59.805,15.645,38.289,51.958,92.765,"R",63,"Class2"
"F",92,78,46.641,22.62,19.302,32.057,76.076,51.248,"X",NA,"Class3"
"J",90,24,68.332,22.949,46.25,66.771,32.624,20.127,"L",NA,"Class4"
"K",85,50,-0.575,32.489,40.683,80.782,81.289,54.447,"H",44,"Class1"
"D",36,57,65.674,60.577,28.732,38.583,54.758,93.458,"I",69,"Class2"
"D",36,66,57.285,60.652,14.965,39.192,52.007,91.505,"H",67,"Class2"
"F",78,72,55.014,33.083,20.516,34.562,91.324,36.351,"T",66,"Class3"
"Z",38,59,61.522,60.052,48.4,44.854,50.994,90.958,"I",58,"Class2"
"D",31,66,67.262,60.507,22.001,42.159,46.616,90.791,"H",66,"Class2"
"M",35,64,60.423,61.132,14.73,41.432,53.547,94.203,"H",61,"Class2"
"G",92,NA,3.85,10.844,44.596,36.749,84.668,17.548,"X",45,"Class1"
"J",51,33,55.29,25.344,30.305,76.026,84.961,19.038,"K",78,"Class4"
"G",84,37,2.699,20.892,61.56,61.511,84.097,33.995,"F",39,"Class1"
"R",39,27,46.738,21.426,18.743,46.618,73.686,20.398,"L",5,"Class4"
"T",90,92,4.805,7.457,63.155,66.587,82.063,22.894,"N",41,"Class1"
"D",33,56,53.306,59.937,46.585,43.202,58.627,86.671,"I",59,"Class2"
"J",97,30,77.314,17.449,43.055,80.401,42.629,19.985,"G",74,"Class4"
"K",90,87,1.925,14.667,29.689,51.782,85.946,42.829,"X",40,"Class1"
"J",45,27,73.947,23.365,36.358,79.258,63.979,21.206,"A",75,"Class4"
"Q",89,48,2.955,25.309,28.385,82.862,82.016,45.758,"F",44,"Class1"
"W",34,65,29.622,60.154,22.039,40.455,47.202,92.973,"R",58,"Class2"
"J",62,33,91.17,27.044,5.48,51.798,44.206,19.409,"K",71,"Class4"
"D",31,68,41.169,59.748,57.005,43.323,49.437,91.642,"L",61,"Class2"
"F",79,70,31.584,27.37,5.507,43.237,67.044,51.025,"C",NA,"Class3"
"P",34,59,53.232,60.893,31.656,43.398,47.968,90.505,"I",60,"Class2"
"R",49,31,60.107,12.212,39.766,56.027,38.561,20.112,"A",71,"Class4"
"P",35,67,52.907,60.455,58,41.458,57.572,92.192,"P",72,"Class2"
"G",92,29,69.743,15.851,46.662,48.281,21.948,19.946,"K",11,"Class4"
"G",21,29,62.211,29.487,10.115,67.181,58.471,19.88,"L",14,"Class4"
"M",47,56,67.308,60.745,30.087,44.592,46.99,94.043,"L",56,"Class2"
"J",92,32,65.777,16.949,38.223,72.507,60.443,20.771,"K",47,"Class4"
"F",65,77,42.467,29.07,9.266,33.187,67.367,30.211,"M",86,"Class3"
"D",37,56,56.055,60.457,49.753,43.378,46.607,90.631,"P",61,"Class2"
"E",93,82,33.218,24.479,18.584,45.729,76.423,46.844,"E",68,"Class3"
"Q",88,27,4.087,35.605,38.674,43.5,81.841,57.111,"X",44,"Class1"
"W",41,57,62.317,60.03,33.99,44.777,51.051,94.736,"P",58,"Class2"
"P",39,64,67.377,60.481,17.557,42.949,56.669,90.535,"L",62,"Class2"
"P",46,67,57.208,61.094,49.043,43.685,46.448,92.589,"L",56,"Class2"
"G",19,25,93.184,23.266,35.513,82.12,77.505,19.182,"V",35,"Class4"
"T",65,NA,47.692,22.052,14.741,41.246,70.586,45.223,"X",NA,"Class3"
"D",40,66,40.048,60.393,50.004,41.799,56.244,87.532,"P",66,"Class2"
"I",85,80,1.009,29.395,60.567,51.307,82.841,45.174,"F",NA,"Class1"
"D",39,68,42.527,60.455,46.715,42.232,57.271,92.175,"P",68,"Class2"
"I",81,30,1.347,27.714,11.375,61.219,82.1,39.106,"X",43,"Class1"
"I",91,37,2.659,28.864,41.599,43.203,82.551,68.788,"H",44,"Class1"
"D",44,56,63.88,60.621,19.222,43.372,52.146,93.383,"H",70,"Class2"
"P",31,64,69.129,60.58,40.17,39.518,51.495,94.165,"I",68,"Class2"
"W",35,57,102.669,60.608,43.163,44.939,58.227,94.166,"H",70,"Class2"
"R",42,30,74.096,22.182,28.548,46.532,52.554,20.288,"G",9,"Class4"
"R",59,29,60.089,13.449,12.947,52.57,46.86,19.548,"A",64,"Class4"
"Y",77,44,41.552,22.578,8.614,45.762,71.271,60.291,"C",86,"Class3"
"I",85,83,3.229,26.413,58.354,58.547,83.266,55.859,"F",42,"Class1"
"K",90,73,1.974,19.126,46.59,67.869,84.145,34.925,"H",40,"Class1"
"Y",58,80,26.008,26.502,23.716,45.901,72.581,39.85,"C",62,"Class3"
"Q",91,NA,3.726,28.078,16.013,80.582,82.779,43.582,"X",44,"Class1"
"M",39,64,75.708,60.73,56.793,42.876,57.496,90.59,"I",66,"Class2"
"I",92,87,3.602,29.044,8.105,56.505,85.63,47.31,"X",42,"Class1"
"M",30,58,70.77,60.318,12.322,39.861,58.662,90.473,"L",66,"Class2"
"Q",78,23,2.262,13.055,31.492,82.114,83.896,37.811,"X",40,"Class1"
"G",92,25,4.107,12.265,77.594,42.712,83.135,41.278,"X",39,"Class1"
"H",47,31,51,11.383,49.273,55.609,46.386,20.027,"G",5,"Class4"
"Z",37,66,50.683,60.129,45.065,39.384,55.539,91.669,"I",62,"Class2"
"E",44,27,51.504,25.544,35.233,83.921,85.775,21.157,"K",39,"Class4"
"G",36,26,54.767,18.422,7.733,72.386,17.983,20.08,"A",78,"Class4"
"T",72,57,45.152,28.897,8.818,31.198,67.737,35.292,"T",67,"Class3"
"M",39,62,62.212,60.359,34.194,42.746,58.689,93.652,"L",61,"Class2"
"E",74,51,44.493,19.442,7.059,39.025,70.799,44.399,"T",72,"Class3"
"Y",58,82,49.059,23.218,11.288,37.015,68.251,47.089,"C",70,"Class3"
"E",24,26,48.58,17.715,6.016,74.022,82.99,19.385,"V",41,"Class4"
"D",40,56,62.294,60.865,39.635,38.611,55.077,92.151,"I",63,"Class2"
"E",79,32,75.157,20.093,35.263,68.456,14.895,20.582,"G",44,"Class4"
"X",58,47,38.593,19.703,23.447,33.238,76.544,42.55,"M",61,"Class3"
"W",43,63,68.86,59.886,52.726,43.531,47.548,91.475,"I",74,"Class2"
"T",94,57,41.43,19.798,20.302,44.723,88.638,48.599,"M",84,"Class3"
"K",85,25,2.513,24.852,8.5,63.449,85.223,33.792,"N",39,"Class1"
"P",30,60,39.677,60.439,45.681,38.47,46.116,90.264,"H",66,"Class2"
"Y",93,68,43.518,14.294,15.25,45.386,73.596,41.546,"M",58,"Class3"
"R",28,28,57.289,23.643,36.221,57.467,12.123,18.723,"V",77,"Class4"
"F",65,83,34.008,24.984,4.717,35.627,82.287,41.196,"C",84,"Class3"
"X",74,85,52.07,31.742,11.989,42.015,69.832,27.054,"T",92,"Class3"
"I",86,57,5.166,14.507,17.704,51.746,81.558,10.321,"K",39,"Class1"
"Q",87,71,3.727,27.727,42.877,41.519,81.15,38.66,"X",42,"Class1"
"T",78,36,5.913,27.85,71.831,83.506,84.411,39.743,"F",39,"Class1"
"Y",89,50,38.269,9.854,16.342,33.27,70.254,40.078,"E",NA,"Class3"
"P",34,56,46.691,60.316,20.485,39.746,46.778,97.625,"L",74,"Class2"
"R",28,24,65.685,21.192,18.205,52.641,66.681,20.158,"G",47,"Class4"
"E",73,74,43.328,33.213,21.671,34.652,75.46,51.115,"E",62,"Class3"
"Q",89,84,4.584,10.35,75.778,71.109,83.474,47.773,"X",NA,"Class1"
"M",31,65,45.863,60.794,56.761,40.506,48.976,90.439,"I",61,"Class2"
"I",80,54,5.503,27.516,48.647,82.532,82.575,34.611,"F",40,"Class1"
"D",30,61,62.12,60.424,14.882,44.692,49.971,92.817,"P",60,"Class2"
"X",92,63,42.087,19.289,15.67,44.316,90.273,52.41,"T",89,"Class3"
"X",75,49,52.833,17.213,11.498,44.151,90.871,44.002,"E",67,"Class3"
"E",61,29,48.8,17.302,7.26,62.4,91.823,20.492,"L",62,"Class4"
"Q",88,71,4.336,24.302,33.02,75.745,83.56,66.658,"F",43,"Class1"
"P",40,63,59.191,60.788,58.674,42.824,58.94,91.838,"H",72,"Class2"
"E",37,31,79.26,12.176,6.571,62.076,34.571,19.362,"K",48,"Class4"
"Z",43,68,65.72,60.789,60.524,41.496,45.066,88.605,"I",72,"Class2"
"D",38,65,62.597,60.39,14.529,38.298,49.535,93.813,"L",59,"Class2"
"D",33,67,70.369,60.433,37.899,40.423,45.844,92.717,"P",62,"Class2"
"G",89,30,43.541,22.71,36.803,86.334,78.211,19.64,"V",41,"Class4"
"Z",38,57,53.974,60.008,38.497,44.777,45.927,93.933,"I",61,"Class2"
"M",41,58,63.962,60.33,58.809,43.991,50.125,93.543,"R",70,"Class2"
"E",48,30,84.093,20.865,17.043,68.116,21.38,19.76,"L",61,"Class4"
"X",90,64,33.78,37.474,8.249,44.108,79.56,56.515,"X",64,"Class3"
"Y",69,60,27.967,24.847,11.078,36.649,72.859,44.054,"M",72,"Class3"
"Z",33,60,70.915,60.195,30.426,41.252,48.263,95.705,"R",73,"Class2"
"E",73,78,49.064,36.528,12.233,32.92,68.035,44.311,"C",80,"Class3"
"G",86,26,72.179,26.847,24.499,88.632,87.464,18.644,"G",39,"Class4"
"Y",85,67,50.561,13.188,15.788,42.275,80.273,27.685,"C",70,"Class3"
"H",36,30,56.202,13.423,21.372,49.216,67.787,20.248,"V",55,"Class4"
"H",90,25,56.928,22.822,34.423,76.758,33.137,19.348,"K",9,"Class4"
"I",89,52,2.992,14.953,80.863,59.986,82.009,32.118,"K",42,"Class1"
"X",86,61,43.355,10.283,6.906,36.458,84.284,34.461,"C",81,"Class3"
"Y",91,55,41.43,26.495,14.61,40.106,67.741,27.939,"M",56,"Class3"
"Y",82,65,48.369,20.871,19.804,44.784,84.508,30.862,"X",73,"Class3"
"G",83,NA,5.356,17.442,52.408,77.218,85.916,47.354,"K",40,"Class1"
"G",87,24,64.21,15.265,33.09,76.565,66.576,19.9,"V",66,"Class4"
"P",40,68,59.338,60.838,12.47,40.277,50.175,91.912,"L",73,"Class2"
"E",78,27,74.931,18.985,37.706,79.574,27.629,19.403,"A",47,"Class4"
"W",47,61,59.823,60.237,47.945,40.736,48.892,92.756,"H",68,"Class2"
"D",40,67,55.834,60.898,46.219,41.92,52.248,90.689,"I",62,"Class2"
"Y",94,50,55.951,24.33,20.043,32.26,80.02,44.741,"E",56,"Class3"
"T",87,67,51.21,28.418,14.747,41.331,88.495,41.075,"T",87,"Class3"
"R",38,31,55.196,13.369,11.645,61.753,71.97,21.018,"A",13,"Class4"
"T",78,39,4.57,26.139,40.96,49.253,82.683,37.571,"X",43,"Class1"
"X",85,51,37.19,19.714,17.021,42.64,81.489,51.202,"E",83,"Class3"
"T",61,52,46.901,21.776,19.656,42.682,77.016,36.242,"E",93,"Class3"
"H",74,25,53.67,31.311,5.219,54.88,38.49,20.671,"A",60,"Class4"
"T",87,92,5.926,23.953,54.451,43.123,82.469,61.787,"K",40,"Class1"
"T",87,93,2.944,16.004,40.85,50.028,84.581,47.851,"K",42,"Class1"
"W",32,58,94.024,60.096,41.901,38.002,57.474,94.918,"L",67,"Class2"
"G",100,32,78.771,17.262,6.564,80.36,81.534,20.76,"G",44,"Class4"
"T",82,71,4.518,30.723,50.48,84.735,85.192,22.595,"F",40,"Class1"
"K",86,90,3.949,24.813,55.217,64.138,83.004,33.217,"N",41,"Class1"
"D",35,65,65.572,60.349,16.3,38.777,45.002,91.58,"L",71,"Class2"
"E",59,65,42.248,23.707,17.242,32.594,85.655,46.903,"E",71,"Class3"
"G",45,33,36.857,28.704,43.905,66.404,41.545,20.041,"L",54,"Class4"
"T",89,87,4.572,18.358,55.124,75.124,83.649,58.64,"K",44,"Class1"
"P",31,60,75.831,60.491,38.595,40.188,52.888,92.532,"H",72,"Class2"
"M",30,63,48.621,60.838,27.597,38.788,45.269,97.491,"L",59,"Class2"
"Q",91,NA,1.931,31.248,82.581,48.431,85.75,68.597,"N",40,"Class1"
"H",48,27,76.236,22.018,24.313,46.887,50.292,19.556,"V",24,"Class4"
"J",100,26,61.705,25.247,16.096,66.851,81.793,21.334,"A",13,"Class4"
"E",92,45,54.786,20.077,19.616,32.323,67.972,46.942,"C",88,"Class3"
"Q",89,80,3.236,13.918,68.758,56.067,81.316,34.391,"N",41,"Class1"
"I",86,90,1.319,18.673,7.109,79.544,83.406,43.771,"H",43,"Class1"
"T",64,NA,42.541,16.587,13.23,38.455,90.516,39.946,"X",78,"Class3"
"Z",29,64,67.415,60.932,35.807,42.649,57.334,90.458,"R",69,"Class2"
"E",57,31,35.949,17.127,22.228,49.602,35.89,20.354,"V",76,"Class4"
"R",70,26,56.384,23.434,43.587,69.922,13.337,19.362,"A",17,"Class4"
"Y",85,54,47.184,22.027,12.271,38.653,84.656,31.721,"T",60,"Class3"
"E",59,48,43.639,28.068,11.367,40.438,77.161,42.419,"T",91,"Class3"
"H",44,31,53.857,22.027,14.488,68.332,45.978,20.607,"V",22,"Class4"
"M",43,62,64.894,59.88,11.396,38.388,52.89,93.813,"I",62,"Class2"
"P",45,58,69.514,60.153,20.59,38.406,54.61,92.858,"H",59,"Class2"
"R",44,33,101.553,13.464,32.832,72.399,27.932,19.842,"L",12,"Class4"
"X",88,61,29.913,12.131,17.856,37.734,76.542,45.325,"T",NA,"Class3"
"W",43,67,52.269,60.149,49.572,42.251,48.641,93.021,"L",57,"Class2"
"I",81,34,4.663,7.886,6.993,67.384,82.165,68.775,"K",41,"Class1"
"Z",38,64,57.846,60.334,16.519,43.638,49.019,94.511,"R",63,"Class2"
"H",31,33,87.773,19.891,18.646,47.357,51.382,20.762,"G",23,"Class4"
"E",19,33,54.822,17.12,41.021,63.87,15.981,19.09,"G",71,"Class4"
"H",31,31,79.379,20.595,14.865,52.569,90.446,19.201,"K",36,"Class4"
"W",37,57,66.441,59.925,41.192,42.636,50.396,90.618,"P",72,"Class2"
"E",74,32,75.653,18.495,26.954,73.622,44.745,20.216,"V",7,"Class4"
"M",39,58,73.84,60.698,33.83,41.451,56.837,98.248,"I",67,"Class2"
"X",72,69,52.289,33.769,20.796,37.657,88.435,46.91,"T",70,"Class3"
"I",84,60,5.009,19.979,27.613,38.634,81.478,56.149,"K",40,"Class1"
"P",30,61,70.379,60.248,14.83,41.211,55.686,91.785,"P",61,"Class2"
"H",36,29,68.24,24.62,12.211,65.75,20.622,19.056,"L",80,"Class4"
"H",77,24,70.401,18.209,19.539,62.334,48.787,20.646,"L",25,"Class4"
"D",38,61,80.643,60.2,54.613,38.071,53.87,93.41,"R",71,"Class2"
"W",45,57,68.269,60.433,13.285,43.75,53.376,92.766,"L",72,"Class2"
"E",89,79,35.282,6.348,22.246,38.177,67.605,47.729,"E",92,"Class3"
"X",67,61,40.465,31.335,9.152,41.908,83.529,45.711,"M",71,"Class3"
"T",90,82,2.212,16.93,37,64.036,84.018,25.957,"F",43,"Class1"
