"C1","C2","C3","C4","C5","C6","C7","C8","Output2","C9","C10","C11"
55,"F",29.626,63.863,32,"C",25.129,49,"Class3",92.966,46.544,84.625
28,"M",61.307,79.99,74,"H",80.36,35,"Class2",55.525,45.727,95.022
50,"C",56.882,65.043,30,"R",21.039,39,"Class3",91.989,69.446,84.257
6,"A",44.086,81.174,91,"I",22.96,74,"Class1",43.022,87.208,32.009
50,"C",55.556,70.962,37,"A",37.592,18,"Class3",76.229,47.919,84.022
43,"F",43.922,59.643,38,"R",38.517,21,"Class3",94.482,26.227,84.02
79,"M",62.974,66.817,62,"O",79.899,33,"Class2",54.761,45.952,93.781
56,"Y",44.206,70.683,94,"I",80.322,40,"Class2",54.52,45.135,90.403
42,"F",35.372,74.547,38,"R",-8.234,42,"Class3",93.208,52.511,84.748
5,"X",38.315,83.986,81,"Y",22.41,49,"Class1",46.128,83.816,68.289
43,"F",73.423,64.033,36,"A",1.376,17,"Class3",93.156,74.72,84.357
34,"P",68.154,2.614,91,"L",60.591,62,"Class4",48.84,56.581,20.349
30,"Y",40.016,3.918,93,"N",50.247,61,"Class4",75.14,53.561,NA
41,"Y",52.042,2.597,92,"R",47.499,37,"Class4",52.012,52.94,23.857
76,"Y",71.329,73.469,97,"W",80.226,32,"Class2",54.937,45.777,95.137
8,"D",50.686,81.076,82,"Y",11.269,73,"Class1",46.63,86.614,72.339
7,"D",36.098,78.912,85,"H",23.323,68,"Class1",60.617,80.304,57.708
32,"X",54.049,3.227,96,"R",49.678,45,"Class4",56.538,37.849,30.431
39,"M",31.998,64.775,94,"I",80.079,49,"Class2",55.203,45.919,92.921
69,"Y",67.745,73.294,67,"W",79.035,37,"Class2",55.765,45.656,90.488
48,"M",82.162,77.814,77,"I",79.371,29,"Class2",54.032,45.257,93.674
27,"L",54.858,69.509,94,"L",79.705,30,"Class2",56.947,45.432,95.62
9,"D",30.551,82.231,91,"I",12.735,44,"Class1",47.031,82.361,47.334
9,"X",41.076,80.699,89,"H",30.014,67,"Class1",46.498,79.445,41.201
32,"Y",59.179,4.657,93,"L",40.06,59,"Class4",59.322,41.842,36.316
57,"C",27.901,68.693,35,"U",38.628,51,"Class3",89.071,27.541,84.213
34,"L",63.132,68.556,87,"H",79.879,47,"Class2",54.396,45.973,95.54
28,"X",53.689,4.352,95,"K",48.259,62,"Class4",72.259,54.036,39.104
30,"P",35.027,3.486,96,"R",44.058,39,"Class4",53.978,53.471,41.569
47,"X",73.414,4.81,94,"K",49.089,40,"Class4",51.973,73.103,27.558
9,"A",55.155,69.735,88,"B",9.893,44,"Class1",62.627,87.57,32.161
72,"L",83.457,67.411,82,"H",79.057,28,"Class2",56.83,45.344,95.706
7,"A",55.424,76.582,90,"L",23.363,72,"Class1",57.652,77.071,52.647
54,"B",28.522,60.856,42,"I",49.309,48,"Class3",77.436,58.922,84.595
52,"B",55.015,63.446,34,"I",62.298,61,"Class3",91.052,32.121,84.545
38,"M",100.705,74.249,83,"I",80.052,32,"Class2",56.78,45.655,93.781
53,"C",31.485,68.894,34,"C",23.601,83,"Class3",82.033,50.357,84.824
54,"U",34.886,66.955,30,"U",24.522,61,"Class3",81.978,49.581,84.292
67,"L",58.913,61.952,85,"L",80.23,27,"Class2",54.146,45.491,NA
54,"C",22.754,58.828,40,"A",23.689,32,"Class3",77.902,25.887,84.86
55,"Z",35.548,63.926,30,"I",33.538,26,"Class3",76.879,54.65,84.695
53,"C",15.013,71.008,38,"U",2.086,9,"Class3",77.975,45.754,84.43
40,"X",46.643,4.246,96,"M",44.56,60,"Class4",66.531,62.233,34.834
47,"U",43.083,65.332,32,"R",23.357,86,"Class3",83.376,60.728,84.871
59,"P",83.382,3.054,92,"K",66.744,50,"Class4",55.132,57.927,39.172
10,"X",50.998,84.078,92,"I",14.677,71,"Class1",48.304,80.507,47.486
62,"Y",42.882,2.806,93,"K",52.803,37,"Class4",49.339,66.803,46.609
43,"U",38.256,70.027,40,"A",20.53,82,"Class3",83.504,30.823,84.97
9,"X",19.336,83.187,86,"B",15.375,55,"Class1",64.314,83.294,NA
53,"F",32.021,66.816,35,"A",30.226,25,"Class3",85.595,40.06,84.528
9,"A",36.848,81.354,89,"I",13.34,46,"Class1",44.217,79.774,36.526
9,"Q",38.275,80.041,76,"Y",19.533,55,"Class1",44.783,76.898,68.286
73,"U",88.177,64.28,58,"W",80.356,43,"Class2",56.632,45.04,93.914
49,"Z",63.131,62.737,43,"C",20.974,19,"Class3",82.855,44.005,84.188
56,"C",61.59,71.021,33,"C",3.17,13,"Class3",77.01,31.613,84.16
10,NA,34.057,91.102,82,"H",16.42,55,"Class1",59.702,76.085,NA
76,"M",45.58,72.005,73,"O",80.15,48,"Class2",54.724,45.653,91.071
10,"Q",38.41,77.123,79,"B",23.477,53,"Class1",51.507,76.807,45.165
78,"M",40.786,68.629,57,"L",80.274,37,"Class2",54.758,45.555,93.921
57,"Z",21.67,60.956,38,"C",44.759,86,"Class3",94.96,56.879,84.674
5,"X",45.327,76.501,82,"H",16.637,78,"Class1",58.879,83.077,47.403
28,"V",26.752,5.551,93,"M",49.486,54,"Class4",43.593,78.906,28.982
43,"C",47.336,64.737,29,"U",38.788,50,"Class3",86.094,32.527,NA
36,"U",72.178,84.115,83,"H",80.053,27,"Class2",56.404,45.094,93.363
43,NA,75.713,78.05,85,"O",79.798,24,"Class2",56.04,45.446,92.471
50,"B",53.093,50.221,34,"A",14.306,39,"Class3",81.244,30.063,84.287
24,"H",58.425,74.789,84,"H",79.387,31,"Class2",56.596,45.427,95.159
52,NA,43.463,4.215,94,"N",67.346,64,"Class4",61.033,58.28,45.027
43,"B",34.13,64.286,32,"I",29.057,81,"Class3",83.196,55.427,84.808
8,"X",27.503,83.881,86,"I",14.419,66,"Class1",54.69,85.672,49.22
48,"C",47.104,56.316,27,"C",11.384,67,"Class3",76.426,25.321,84.097
7,"X",33.325,82.919,85,"I",20.322,80,"Class1",61.063,78.688,37.144
51,"X",55.735,4.089,96,"R",36.582,58,"Class4",49.905,59.894,26.51
36,"H",86.884,80.969,74,"O",78.886,42,"Class2",55.736,45.774,94.879
9,"A",48.058,82.527,93,"B",20.738,60,"Class1",48.69,86.215,48.072
50,"F",40.471,69.706,29,"A",52.042,49,"Class3",83.129,36.346,84.471
48,"Z",49.977,63.935,37,"R",40.43,23,"Class3",77.016,59.83,84.213
57,"F",30.021,78.397,36,"I",21.171,73,"Class3",77.565,52.121,84.148
59,"P",38.778,3.715,91,"L",54.62,59,"Class4",54.115,54.173,44.432
8,"Q",46.907,74.868,78,"I",18.964,79,"Class1",49.831,79.803,67.321
6,"H",44.61,82.518,92,"Y",16.518,65,"Class1",61.153,81.91,55.43
27,"V",10.616,3.913,94,"K",50.204,58,"Class4",58.282,41.186,30.634
10,"D",44.011,89.918,77,"L",24.172,67,"Class1",47.577,80.146,61.197
48,"V",47.372,3.839,91,"K",37.448,51,"Class4",66.259,37.931,38.933
52,"Y",38.165,2.78,92,"M",50.104,37,"Class4",69.693,47.904,43.116
41,"H",69.953,78.613,61,"I",79.672,28,"Class2",55.769,45.091,95.656
52,"U",43.131,71.378,42,"C",54.256,55,"Class3",84.817,65.364,NA
51,"Z",53.294,66.86,39,"U",32.068,78,"Class3",85.759,66.64,84.552
51,"Y",53.081,3.978,96,"M",45.927,50,"Class4",55.771,52.766,27.644
55,"C",38.738,70.035,31,"U",38.82,35,"Class3",85.355,60.75,84.018
45,"F",34.601,66.969,34,"U",3.338,34,"Class3",83.743,61.836,84.373
7,"D",34.81,75.65,93,"B",16.415,50,"Class1",61.017,77.017,47.42
53,NA,59.845,75.66,96,"W",79.658,41,"Class2",56.067,45.932,92.304
42,"F",6.602,62.54,27,"A",61.102,66,"Class3",94.506,53.909,84.743
58,"M",56.213,78.427,83,"L",79.655,45,"Class2",54.544,45.81,93.447
7,"H",20.835,77.094,86,"Y",15.987,80,"Class1",42.336,84.039,67.759
43,"F",27.786,58.945,28,"U",14.648,85,"Class3",82.701,36.013,84.951
58,"G",40.81,5.323,94,"N",66.489,47,"Class4",73.847,73.399,48.203
56,"U",50.941,65.133,40,"R",23.756,34,"Class3",85.215,68.844,84.218
56,"U",69.94,72.92,82,"O",79.801,26,"Class2",56.024,45.266,92.523
72,"M",43.564,76.572,79,"O",79.367,25,"Class2",56.645,45.249,95.332
6,"Q",41.31,78.782,79,"I",20.07,60,"Class1",50.116,77.717,38.907
51,"F",55.446,73.72,28,"A",40.341,11,"Class3",95.471,74.697,84.177
23,"U",36.768,62.167,63,"O",79.424,40,"Class2",56.759,45.741,90.893
36,"P",1.415,5.11,93,"N",49.543,42,"Class4",73.634,37.251,32.27
5,"X",55.621,85.884,83,"I",9.13,63,"Class1",63.633,82.678,56.791
55,"L",66.262,79.12,77,"W",79.947,24,"Class2",56.799,45.219,NA
9,"X",37.204,75.316,75,"H",22.195,75,"Class1",50.042,79.659,46
42,"F",21.131,68.247,40,"I",34.956,60,"Class3",96.663,33.706,84.921
75,"Y",67.1,72.019,91,"H",78.19,20,"Class2",54.083,45.436,94.87
5,"H",45.162,85.845,78,"H",24.034,54,"Class1",41.096,84.411,63.599
9,"Q",43.474,79.522,89,"Y",17.678,59,"Class1",52.554,84.936,38.388
8,"H",35.131,81.728,85,"B",27.617,44,"Class1",49.184,81.608,34.122
9,"A",36.393,79.908,75,"L",18.086,48,"Class1",45.869,81.27,36.092
32,"V",26.469,4.945,94,"R",50.903,40,"Class4",73.589,65.349,24.352
41,"Y",34.062,65.323,82,"H",79.159,30,"Class2",54.343,45.585,94.001
48,"Z",35.921,55.919,34,"I",42.877,52,"Class3",89.476,59.45,NA
64,"U",72.662,82.065,92,"O",78.949,27,"Class2",54.965,45.633,92.68
8,"A",35.666,69.665,83,"B",19.499,51,"Class1",42.405,79.113,49.015
47,"M",66.1,56.515,68,"I",81.096,44,"Class2",56.29,45.025,90.362
31,"P",23.77,3.73,93,"L",41.756,62,"Class4",44.947,37.388,45.115
45,"Y",36.913,60.732,67,"I",79.49,25,"Class2",55.9,45.87,90.674
5,"Q",47.348,73.885,88,"L",17.926,56,"Class1",64.058,83.123,58.483
46,"X",35.288,3.213,94,"L",55.181,43,"Class4",56.619,45.76,49.913
49,"F",21.034,60.217,28,"A",8.755,59,"Class3",88.14,61.772,84.351
8,"D",36.653,81.513,80,"H",11.13,77,"Class1",41.107,87.928,46.547
71,"M",61.851,46.131,90,"L",80.158,34,"Class2",54.392,45.98,94.973
20,"U",60.6,60.682,57,"W",79.061,28,"Class2",55.589,45.22,91.554
44,"U",32.42,57.897,32,"A",22.14,71,"Class3",81.522,39.622,84.614
47,"F",22.258,64.506,40,"C",28.63,22,"Class3",83.231,42.005,84.346
8,"Q",60.079,88.894,91,"H",12.323,46,"Class1",42.217,78.324,65.058
35,"U",53.91,88.727,72,"I",80.135,20,"Class2",54.199,45.109,93.887
45,"L",70.072,65.218,97,"I",80.382,39,"Class2",56.541,45.278,95.95
7,"H",41.159,85.039,79,"I",14.076,55,"Class1",38.022,87.251,72.492
46,"F",31.835,59.624,27,"I",47.196,29,"Class3",88.696,57.075,84.655
18,"Y",78.578,76.458,94,"W",79.969,31,"Class2",54.176,45.71,93.55
10,"A",68.001,85.539,92,"Y",18.105,77,"Class1",47.814,85.015,38.886
9,"D",52.342,83.989,83,"I",13.833,74,"Class1",58.316,76.164,55.219
57,"C",62.537,72.668,29,"C",21.433,9,"Class3",96.031,24.841,84.255
9,"H",33.278,88.541,93,"I",22.727,69,"Class1",56.004,77.601,35.601
6,"X",25.476,70.364,93,"I",10.388,46,"Class1",59.912,81.613,53.186
7,"H",64.042,82.875,78,"L",7.408,80,"Class1",39.848,86.034,67.271
14,"M",66.606,63.254,57,"O",80.33,43,"Class2",56.04,45.82,NA
6,"X",21.05,81.091,90,"L",23.662,69,"Class1",44.055,77.309,32.704
62,"U",73.692,67.819,86,"L",79.92,46,"Class2",56.813,45.724,NA
10,"A",55.042,80.979,82,"L",21.89,45,"Class1",57.471,83.892,39.766
9,"X",47.518,75.225,82,"L",24.357,52,"Class1",57.46,82.838,58.724
67,NA,76.064,70.595,64,"H",79.929,48,"Class2",56.316,45.077,93.088
38,"U",50.904,72.223,82,"I",79.933,47,"Class2",54.056,45.137,93.414
46,"F",33.311,57.846,27,"R",41.612,91,"Class3",87.723,53.154,NA
71,"H",72.793,70.559,72,"I",80.124,47,"Class2",55.406,45.32,NA
43,"V",40.962,5.006,92,"K",41.701,49,"Class4",70.812,44.678,48.547
60,"U",60.06,66.568,74,"H",80.804,48,"Class2",54.336,45.159,95.24
32,"P",46.008,2.506,93,"R",56.419,64,"Class4",63.11,55.69,42.688
62,"X",42.633,3.639,96,"R",57.794,45,"Class4",62.502,50.461,32.127
16,"L",82.121,57.177,64,"L",79.955,32,"Class2",54.575,45.28,91.425
62,"V",71.798,5.465,91,"M",49.45,42,"Class4",65.378,48.035,19.996
42,"B",67.758,73.8,27,"C",31.814,9,"Class3",95.531,71.089,84.069
14,"M",38.488,64.393,71,"I",79.985,44,"Class2",55.677,45.609,91.588
29,NA,50.4,56.57,83,"H",80.778,40,"Class2",55.246,45.138,90.927
19,NA,66.239,79.945,86,"I",79.303,26,"Class2",56.157,45.019,95.072
43,"B",54.444,69.436,39,"U",25.04,75,"Class3",81.283,60.576,84.289
42,"X",34.336,4.578,92,"R",52.659,52,"Class4",49.933,76.032,NA
45,"V",69.104,4.284,96,"N",52.74,41,"Class4",73.32,51.08,50.884
76,NA,42.553,74.432,89,"I",79.081,46,"Class2",56.182,45.206,94.521
51,"Y",68.998,4.035,92,"L",50.575,46,"Class4",48.295,49.605,39.596
49,"H",40.716,67.392,73,"L",80.296,44,"Class2",54.397,45.059,93.602
52,"P",33.761,4.315,91,"L",69.166,64,"Class4",66.641,47.12,42.248
54,"P",56.086,3.32,94,"N",48.676,54,"Class4",70.986,66.464,19.983
6,NA,32.608,71.36,84,"B",29.339,74,"Class1",37.457,79.707,61.026
32,"X",73.652,3.382,96,"K",55.048,50,"Class4",73.056,45.446,44.655
45,"M",40.126,71.391,67,"O",79.695,35,"Class2",56.173,45.061,92.502
5,"D",78.215,84.032,88,"B",26.463,79,"Class1",51.659,86.874,56.298
49,"U",56.598,64.725,38,"R",69.814,62,"Class3",91.194,58.041,84.628
33,"P",71.966,4.67,96,"M",57.146,50,"Class4",70.753,66.297,39.7
24,"H",73.984,74.405,72,"H",80.757,49,"Class2",55.093,45.009,94.945
10,"X",42.271,77.466,76,"H",15.343,79,"Class1",59.209,81.096,67.528
55,"U",32.983,61.206,40,"U",39.346,63,"Class3",96.554,48.849,84.379
57,"C",28.662,77.687,37,"A",44.145,74,"Class3",92.189,32.754,84.557
22,"L",82.188,78.61,97,"L",79.736,32,"Class2",54.745,45.234,91.939
32,"H",48.566,67.443,84,"W",80.885,35,"Class2",54.479,45.105,91.455
6,"D",30.547,83.578,90,"H",16.34,80,"Class1",37.364,82.917,NA
5,"A",41.878,77.391,89,"B",8.603,74,"Class1",43.144,83.79,64.344
51,"X",52.991,4.365,94,"L",54.828,41,"Class4",54.317,60.683,22.05
55,"F",45.561,55.531,44,"U",43.869,56,"Class3",90.926,70.313,84.741
42,"F",35.928,78.604,33,"C",75.608,82,"Class3",91.87,76.524,84.463
8,"A",47.316,85.08,86,"H",27.077,60,"Class1",37.582,80.132,64.86
6,"X",20.017,79.225,93,"B",11.087,67,"Class1",45.368,87.858,43.097
28,"X",19.667,3.596,91,"M",51.353,37,"Class4",61.653,49.299,27.674
55,"C",22.815,69.378,43,"R",23.689,85,"Class3",79.299,25.046,84.721
61,"P",30.244,3.88,95,"K",49.163,53,"Class4",50.596,49.519,48.963
8,"Q",45.427,82.024,76,"H",22.939,77,"Class1",48.514,84.183,41.451
42,"Z",25.583,62.869,39,"R",33.121,64,"Class3",82.443,23.228,84.008
24,"V",31.978,3.726,92,"N",53.076,48,"Class4",54.748,61.297,49.145
9,"A",31.317,71.104,92,"H",19.137,46,"Class1",38.668,81.238,62.54
54,"L",51.891,62.184,78,"L",79.32,39,"Class2",55.438,45.714,95.512
8,"X",51.154,74.929,89,"B",26.016,44,"Class1",43.593,83.335,43.242
9,"Q",43.995,75.874,77,"H",10.941,69,"Class1",62.763,80.504,35.25
43,"G",49.514,3.096,96,"N",59.387,44,"Class4",59.307,73.637,19.806
44,"G",64.179,4.307,96,"M",53.755,60,"Class4",46.019,53.795,43.413
6,"Q",53.707,85.976,84,"H",22.122,47,"Class1",57.151,80.314,NA
22,"Y",83.901,82.169,86,"W",79.562,43,"Class2",54.172,45.606,90.995
57,"Y",9.491,4.682,96,"L",51.39,52,"Class4",50.359,53.239,NA
9,"A",72.771,81.129,87,"H",13.201,59,"Class1",56.255,87.265,56.836
6,"Q",48.457,72.732,82,"B",14.192,77,"Class1",50.085,81.245,37.871
7,"A",37.718,87.534,75,"Y",12.767,45,"Class1",60.954,84.912,54.064
42,"G",68,3.744,96,"N",56.127,60,"Class4",58.697,76.927,24.574
52,"U",42.709,73.864,77,"O",81.096,28,"Class2",56.922,45.023,91.842
56,"X",59.878,3.157,91,"L",48.818,53,"Class4",62.849,52.457,49.467
38,"P",58.107,5.634,92,"K",48.488,60,"Class4",71.28,47.757,32.205
53,"M",46.48,83.823,80,"O",79.41,27,"Class2",55.64,45.491,95.743
7,"X",47.099,85.34,85,"H",4.5,74,"Class1",50.169,78.319,36.746
9,"Q",47.666,85.572,87,"Y",8.306,58,"Class1",61.537,85.819,68.326
67,"L",62.977,90.33,62,"I",80.136,45,"Class2",55.84,45.824,94.862
60,"V",75.086,4.16,95,"L",62.28,44,"Class4",56.484,53.505,34.76
9,"X",43.091,88.32,90,"L",20.115,67,"Class1",37.453,76.479,57.784
32,"X",44.253,2.936,91,"M",40.356,51,"Class4",54.811,74.123,21.514
50,"U",39.776,74.113,29,"U",57.812,83,"Class3",85.056,53.886,84.538
50,"X",43.944,3.295,92,"N",51.254,60,"Class4",65.218,36.466,21.615
38,"X",51.518,4.654,92,"R",59.416,63,"Class4",66.781,61.532,46.556
46,"C",49.616,61.856,37,"A",38.693,32,"Class3",79.386,65.662,84.246
68,"M",35.161,86.447,57,"O",79.364,33,"Class2",54.086,45.533,95.189
74,NA,26.845,68.204,74,"W",80.615,27,"Class2",54.11,45.577,93.784
10,"H",52.671,82.413,84,"B",19.654,57,"Class1",43.117,78.829,67.326
53,"B",51.919,63.892,31,"R",49.245,47,"Class3",78.178,36.454,84.857
52,"X",63.792,4.402,92,"L",46.069,50,"Class4",62.38,40.596,21.013
6,"A",26.246,76.744,82,"B",24.247,68,"Class1",37.432,87.401,71.776
68,"Y",45.583,66.713,67,"O",79.539,41,"Class2",54.088,45.379,92.52
40,"H",38.387,81.069,96,"H",79.853,22,"Class2",54.577,45.49,91.495
7,"D",40.801,89.218,84,"Y",16.632,47,"Class1",55.844,80.942,45.637
20,"Y",69.811,49.459,90,"O",79.249,31,"Class2",56.61,45.835,91.046
33,"P",49.685,3.805,94,"L",43.181,60,"Class4",47.06,37.688,20.182
26,"Y",26.707,4.988,96,"L",45.822,42,"Class4",55.541,41.589,39.852
8,"A",51.867,88.534,81,"H",27.625,54,"Class1",45.608,82.557,34.546
5,"Q",43.433,75.617,77,"I",20.521,52,"Class1",41.857,80.966,48.468
32,"G",39.073,4.293,94,"N",44.898,61,"Class4",74.016,77.762,22.703
57,"B",31.587,71.398,40,"C",4.256,23,"Class3",94.907,48.723,84.113
10,"A",44.585,73.203,90,"B",17.594,77,"Class1",38.588,81.031,53.05
27,"V",32.67,4.356,93,"L",43.785,64,"Class4",47.323,38.007,19.352
31,NA,45.231,3.297,94,"L",43.422,47,"Class4",75.718,50.238,18.997
33,"Y",22.226,5.052,93,"L",58.492,58,"Class4",57.316,72.807,NA
56,"Z",8.552,63.154,29,"I",42.917,29,"Class3",96.627,52.048,84.621
51,NA,30.282,2.852,91,"K",57.529,37,"Class4",44.173,57.972,45.26
27,"H",91.61,67.84,69,"O",80.947,34,"Class2",54.595,45.645,94.138
58,"M",51.436,70.92,78,"W",79.212,39,"Class2",55.916,45.753,92.657
9,"X",55.262,76.427,79,"Y",23.761,67,"Class1",61.673,81.126,42.947
8,"X",37.385,76.986,86,"L",20.899,80,"Class1",52.34,80.761,37.794
44,"F",36.729,62.27,40,"U",46.023,66,"Class3",79.24,63.725,84.003
48,"C",41.894,65.942,34,"R",69.829,35,"Class3",87.624,45.043,84.311
29,"P",39.154,4.051,93,"M",54.461,60,"Class4",75.578,74.925,31.969
10,"H",48.726,85.509,88,"L",12.999,44,"Class1",49.21,79.375,46.414
54,"B",51.835,67.688,36,"A",29.738,64,"Class3",79.379,75.208,NA
6,"A",56.673,76.034,79,"B",17.251,65,"Class1",64.996,86.476,54.194
6,"A",41.215,76.647,85,"I",15.261,73,"Class1",52.63,81.721,70.784
10,"X",34.71,82.882,84,"I",11.406,65,"Class1",49.303,83.323,34.594
7,"Q",55.835,82.905,79,"I",21.588,60,"Class1",59.716,84.498,56.702
25,"V",22.6,3.168,94,"R",40.666,54,"Class4",70.184,69.115,19.638
7,"H",35.403,82.645,90,"Y",24.791,62,"Class1",47.835,77.063,37.628
47,"F",24.094,64.902,37,"C",21.558,39,"Class3",77.757,27.661,84.416
27,"H",44.12,51.953,90,"W",78.959,26,"Class2",55.427,45.471,91.852
31,"Y",45.166,3.06,94,"M",43.999,51,"Class4",47.921,42.373,28.111
31,"G",27.187,3.029,94,"K",41.583,61,"Class4",49.56,74.388,38.14
44,"F",64.454,62.487,30,"U",63.41,92,"Class3",79.053,24.055,84.952
8,"A",40.704,75.348,88,"L",19.244,72,"Class1",50.983,76.997,66.934
38,"L",37.195,54.363,79,"O",79.786,39,"Class2",54.235,45.836,NA
55,"U",31.013,53.43,30,"R",32.18,32,"Class3",84.562,41.894,84.033
62,"G",46.243,4.264,95,"R",36.748,39,"Class4",64.268,71.847,40.317
28,"L",47.3,78.252,94,"O",79.027,20,"Class2",54.191,45.789,90.978
46,"X",27.843,3.16,94,"N",50.887,52,"Class4",44.205,39.351,48.846
5,"H",40.924,79.213,86,"H",15.668,72,"Class1",57.562,87.032,69.854
54,"L",77.83,74.188,88,"O",79.892,26,"Class2",54.811,45.937,92.365
74,"Y",52.335,63.248,84,"O",80.675,46,"Class2",55.596,45.449,90.721
9,"D",39.428,80.339,75,"H",10.2,68,"Class1",61.453,86.417,51.263
66,"H",66.534,59.805,60,"O",80.354,38,"Class2",55.056,45.704,92.861
55,"F",48.806,65.948,40,"I",15.792,60,"Class3",94.259,62.519,84.495
7,"A",32.05,79.468,84,"L",12.503,80,"Class1",51.566,81.483,56.78
46,"F",35.734,68.198,43,"I",42.361,57,"Class3",95.404,60.228,84.375
49,"F",20.686,68.395,37,"U",17.818,84,"Class3",88.103,38.331,84.789
7,"X",35.031,77.777,77,"L",18.949,50,"Class1",38.562,78.611,41.512
46,"H",71.299,72.849,91,"H",79.96,39,"Class2",54.951,45.584,92.022
65,"H",65.62,78.811,55,"H",80.049,49,"Class2",56.154,45.941,95.815
30,"V",53.61,2.959,96,"L",51.809,49,"Class4",52.831,46.656,19.006
66,NA,45.612,52.186,83,"I",80.337,32,"Class2",54.587,45.052,NA
5,"Q",41.323,82.967,89,"H",20.875,73,"Class1",52.301,79.951,72.362
41,"M",41.787,81.733,77,"L",80.471,32,"Class2",56.726,45.536,93.009
33,"G",58.362,4.028,92,"K",56.93,60,"Class4",65.963,38.08,25.061
57,"H",54.859,67.143,92,"H",80.346,39,"Class2",56.161,45.987,92.31
5,"D",45.926,77.442,85,"I",23.776,65,"Class1",38.299,77.482,53.938
54,"Y",58.374,4.506,92,"K",58.78,48,"Class4",72.776,58.028,36.547
50,"Y",45.587,55.287,95,"L",79.786,28,"Class2",54.019,45.522,92.189
57,"P",56.89,4.338,94,"N",63.273,58,"Class4",73.7,67.419,19.761
42,"F",53.187,74.005,31,"R",31.213,29,"Class3",96.545,48.138,84.768
46,"L",94.516,85.884,76,"H",79.702,26,"Class2",54.646,45.701,NA
53,NA,38.173,63.034,40,"A",23.826,78,"Class3",93.992,47.924,84.582
5,"D",32.565,78.404,81,"H",22.843,78,"Class1",63.249,87.482,72.124
10,"D",54.475,89.284,78,"L",16.209,61,"Class1",48.524,79.701,66.763
42,"F",30.315,67.596,44,"I",26.252,13,"Class3",79.751,57.409,NA
53,"H",43.066,70.189,73,"H",80.883,36,"Class2",54.767,45.037,94.307
56,"C",5.396,56.77,38,"I",56.612,26,"Class3",87.822,56.221,NA
14,"L",41.404,60.975,84,"W",80.363,35,"Class2",55.315,45.129,93.567
47,"C",52.411,68.163,37,"R",24.119,28,"Class3",85.898,31.853,84.889
7,"X",49.439,75.851,76,"Y",17.95,62,"Class1",44.382,78.902,56.278
52,"C",48.489,70.713,42,"U",5.153,73,"Class3",93.19,47.711,84.318
73,"M",54.252,63.383,69,"W",79.962,43,"Class2",55.962,45.728,95.797
56,"V",25.112,4.237,96,"N",55.475,50,"Class4",50.593,67.001,33.289
49,"V",21.614,3.22,95,"M",48.843,53,"Class4",67.931,36.178,39.605
30,"Y",46.74,3.526,93,"N",48.252,51,"Class4",57.143,52.381,25.39
24,"Y",84.073,3.781,92,"R",44.166,60,"Class4",44.839,67.976,48.275
50,"X",43.615,3.5,92,"M",36.446,57,"Class4",66.227,62.745,37.555
9,"Q",38.61,77.597,88,"B",22.847,52,"Class1",53.925,87.581,54.856
60,NA,52.792,4.054,91,"K",62.709,38,"Class4",51.569,40.724,24.664
27,"Y",50.717,64.239,74,"H",79.167,31,"Class2",54.209,45.179,90.615
5,"A",52.314,86.516,91,"H",17.258,60,"Class1",43.875,82.384,40.1
57,"B",54.368,77.928,34,"C",23.901,21,"Class3",92.943,75.718,84.113
5,"X",36.304,72.999,84,"I",26.611,60,"Class1",40.885,77.002,56.555
46,"F",20.599,55.411,43,"I",16.299,19,"Class3",95.595,35.202,84.676
5,"X",26.735,86.211,79,"B",21.991,69,"Class1",52.72,85.441,38.867
54,"X",73.567,5.1,94,"L",56.837,61,"Class4",76.706,72.863,50.646
69,"U",43.548,63.216,83,"L",79.421,26,"Class2",55.24,45.061,93.701
7,"D",26.763,81.513,87,"B",4.656,75,"Class1",44.614,76.66,35.456
6,"H",43.574,82.428,88,"I",19.898,73,"Class1",42.328,81.391,53.23
55,"V",53.694,4.804,91,"N",72.705,62,"Class4",47.289,35.879,25.891
51,"V",41.52,4.942,93,"L",62.03,42,"Class4",54.49,76.632,35.853
42,"B",27.476,60.092,36,"U",64.134,79,"Class3",88.884,74.637,84.708
34,"G",37.328,3.393,93,"K",40.963,60,"Class4",67.402,47.009,32.477
48,"B",50.137,55.71,41,"U",56.733,80,"Class3",93.051,34.759,84.795
43,"U",60.171,61.586,33,"I",62.422,70,"Class3",93.659,66.395,NA
24,"L",42.547,86.77,92,"O",81.034,28,"Class2",56.486,45.497,95.602
39,"V",21.347,4.592,91,"R",50.729,60,"Class4",45.197,39.943,36.601
46,"Y",62.845,4.234,96,"R",47.627,43,"Class4",56.93,62.962,32.102
27,"P",23.559,3.417,92,"N",62.637,39,"Class4",61.124,62.382,35.142
51,"G",39.761,3.32,94,"R",67.703,50,"Class4",73.544,72.095,22.521
33,"P",58.547,4.254,96,"M",47.123,54,"Class4",72.332,36.157,26.215
5,"D",28.92,78.885,85,"Y",20.771,72,"Class1",46.939,82.635,32.375
49,"C",46.209,69.649,33,"U",39.852,33,"Class3",79.433,34.101,84.871
5,"Q",37.303,87.567,83,"B",21.309,46,"Class1",41.852,82.47,69.59
5,"D",59.139,68.362,76,"I",16.551,78,"Class1",39.643,83.076,42.623
10,"A",47.852,77.938,87,"H",20.477,77,"Class1",50.521,86.707,69.191
45,"Z",44.264,66.103,39,"I",67.783,49,"Class3",96.12,26.002,84.359
