"H1","H2","Output7","H3","H4","H5","H6","H7","H8","H9","H10","H11"
50,22.9,"Class1",81.806,58.619,14,48.398,41.802,"E",79.202,"L",74
49,5.985,"Class1",79.947,72.247,60,48.801,28.202,"E",88.558,"R",26
24,49.649,"Class1",79.958,26.288,57,48.633,51.935,"S",83.938,"R",3
49,97.42,"Class2",79.034,NA,36,22.869,33.787,"X",3.171,"Q",2
55,44.585,"Class1",81.836,11.879,18,48.943,11.844,"S",82.539,"L",16
55,90.968,"Class2",63.544,101.707,37,2.194,31.818,"K",3.211,"Q",2
46,14.347,"Class1",86.628,28.683,38,48.567,17.51,"Q",84.283,"R",35
36,94.881,"Class2",76.422,42.397,45,21.741,26.991,"K",3.079,"G",2
20,23.934,"Class1",79.008,51.272,32,49.486,27.127,NA,78.438,"L",90
28,90.105,"Class2",71.625,62.541,46,10.72,20.24,"O",3.47,"F",4
57,55.297,"Class1",78.106,3.935,63,49.249,56.543,"A",83.347,"C",75
27,44.193,"Class1",80.686,69.809,12,48.753,23.73,"A",85.113,"R",1
44,20.955,"Class1",90.731,62.347,19,49.156,26.065,"Q",90.017,"C",68
34,39.24,"Class1",82.018,34.6,12,48.888,29.904,"Y",79.385,"C",19
78,86.301,"Class2",71.183,42.317,33,10.433,24.391,"K",3.831,"Y",5
57,13.259,"Class1",85.667,NA,25,49.748,56.931,NA,77.716,"L",29
42,26.659,"Class1",85.533,8.791,14,48.118,48.555,"Y",80.795,"C",55
48,15.824,"Class1",82.681,66.457,17,48.652,36.705,"S",88.126,"V",22
52,92.143,"Class2",70.391,53.074,39,8.402,26.618,"T",3.703,"Y",5
26,95.071,"Class2",75.506,86.212,38,11.163,27.458,"K",3.039,"G",5
85,94.179,"Class2",74.336,56.52,45,5.186,18.865,"K",3.568,"U",4
21,27.33,"Class1",77.867,44.658,31,49.055,44.834,"E",80.117,"L",70
52,33.115,"Class1",80.543,-1.452,25,48.655,38.101,"Q",86.072,"R",47
56,22.017,"Class1",77.483,35.91,64,48.931,12.213,"S",91.808,"R",89
36,91.469,"Class2",73.721,45.071,44,13.769,33.441,"X",3.088,"G",5
28,43.947,"Class1",88.57,61.315,45,48.325,45.515,"A",81.761,"U",82
42,31.501,"Class1",87.765,22.499,22,49.81,42.43,"A",80.342,"V",83
36,93.027,"Class2",70.109,27.839,39,19.744,28.734,"X",3.043,"U",6
37,22.704,"Class1",83.261,NA,50,48.424,26.244,"Q",89.099,"C",36
45,95.429,"Class2",77.322,65.46,44,11.87,15.01,"T",3.471,"F",6
50,5.328,"Class1",78.667,13.913,46,48.968,16.226,"S",80.061,"U",44
60,28.155,"Class1",84.776,83.665,28,48.813,35.181,"Y",87.873,"C",2
91,90.982,"Class2",68.287,46.47,34,25.684,25.274,"T",3.394,"F",6
54,53.159,"Class1",87.996,50.023,57,48.311,12.965,"Y",81.527,"U",46
77,91.691,"Class2",73.617,-2.283,37,17.081,21.243,"W",3.817,"G",5
59,20.615,"Class1",89.582,29.97,25,48.795,20.992,"S",92.864,"R",59
29,32.102,"Class1",78.451,68.684,55,49.533,29.475,"Q",85.516,"R",24
54,41.654,"Class1",82.246,27.07,14,49.309,37.822,"A",79.978,"L",82
93,93.628,"Class2",70.208,100.801,39,1.287,24.141,"W",3.332,"F",3
19,12.66,"Class1",83.068,31.248,18,49.363,49.671,"A",77.978,"L",80
49,90.863,"Class2",66.902,26.609,42,11.673,29.044,"X",3.762,"Q",2
23,29.458,"Class1",83.632,43.732,61,49.489,11.987,"S",79.542,"U",77
42,16.405,"Class1",75.182,66.121,31,49.211,13.27,"E",87.077,"U",50
27,25.188,"Class1",78,35.57,42,48.526,10.78,"Q",92.811,"C",64
55,24.719,"Class1",78.122,40.044,43,49.2,16.912,"Y",82.861,"U",64
46,4.436,"Class1",97.074,41.504,20,49.681,55.86,"Q",89.824,"C",26
76,97.444,"Class2",67.279,28.929,43,25.46,17.942,NA,3.043,"F",5
51,35.446,"Class1",81.547,76.987,31,48.69,36.788,"Q",83.316,"R",48
73,89.652,"Class2",66.02,71.805,33,5.132,29.689,"X",3.582,"Q",3
71,90.114,"Class2",73.379,NA,45,2.537,34.474,"K",3.029,"Y",2
92,94.005,"Class2",75.471,60.422,42,25.46,11.466,"W",3.368,"Y",3
87,91.141,"Class2",75.289,64.443,38,11.843,34.64,"X",3.8,"G",3
50,44.819,"Class1",78.438,63.353,35,48.95,10.292,"S",86.663,"R",53
25,13.318,"Class1",82.531,44.971,38,49.714,16.364,"Q",77.561,"C",34
89,96.009,"Class2",71.436,31.239,39,17.328,32.141,"T",3.269,"G",5
38,14.491,"Class1",88.358,44.634,50,49.288,13.928,"S",92.301,"L",96
69,90.92,"Class2",68.994,80.832,35,21.42,28.022,"T",3.921,"F",2
91,90.39,"Class2",72.505,157.016,33,18.625,24.474,"T",3.783,"Y",2
50,44.314,"Class1",82.833,94.499,16,48.445,37.207,"S",89.228,"L",75
21,95.617,"Class2",66.949,86.406,44,11.44,29.234,"K",3.666,"Q",2
81,91.755,"Class2",80.2,70.967,39,18.065,12.101,NA,3.791,"F",6
32,92.039,"Class2",66.457,23.346,39,1.41,30.32,"W",3.749,"Y",4
26,48.942,"Class1",83.141,77.355,18,49.583,39.705,"A",77.402,"R",57
71,88.045,"Class2",70.607,47.234,35,1.908,34.218,"K",3.928,"Q",6
55,63.499,"Class1",82.947,52.133,38,49.677,21.638,"Y",83.163,"V",42
89,101.173,"Class2",65.695,41.482,35,1.617,35.936,"O",3.12,"F",2
28,99.986,"Class2",68.73,NA,39,12.054,27.834,"T",3.1,"U",2
42,33.658,"Class1",83.719,39.652,55,49.697,57.37,"S",92.95,"V",63
35,0.71,"Class1",84.281,43.707,36,49.487,35.209,"A",82.126,"R",21
94,94.49,"Class2",71.948,31.21,39,20.807,11.679,"X",3.108,"G",5
45,27.272,"Class1",84.316,73.795,65,48.539,45.665,"Y",77.122,"C",9
91,98.82,"Class2",68.45,65.625,38,25.685,35.937,"T",3.037,"Y",5
64,96.061,"Class2",68.683,95.959,36,19.638,17.452,"K",3.767,"G",2
84,93.059,"Class2",77.542,NA,34,3.461,21.998,"O",3.357,"G",5
89,91.429,"Class2",62.819,78.79,38,4.65,23.266,"T",3.145,"F",4
55,94.134,"Class2",71.201,32.643,40,8.144,17.011,"W",3.586,"Y",2
37,49.413,"Class1",83.443,60.632,46,49.181,35.711,"S",78.798,"C",74
23,95.858,"Class2",71.717,22.731,35,8.302,14.991,NA,3.599,"Q",2
90,97.742,"Class2",74.245,35.569,44,12.751,31.609,"O",3.218,"Q",4
61,43.272,"Class1",79.943,82.004,25,49.424,37.662,"E",78.309,"U",32
49,91.655,"Class2",69.735,14.36,35,7.931,32.893,"K",3.504,"Q",5
56,28.333,"Class1",85.046,20.432,54,49.182,39.932,NA,81.689,"R",24
24,26.373,"Class1",80.79,23.575,43,49.185,11.061,"Y",78.859,"V",33
22,102.677,"Class2",76.082,56.269,34,14.196,13.112,"X",3.223,"G",6
44,51.818,"Class1",86.087,61.078,36,49.878,16.998,"Q",87.356,"V",3
42,103.059,"Class2",78.04,98.682,43,23.127,21.783,"W",3.887,"G",6
50,93.031,"Class2",63.55,69.917,36,15.638,15.559,"X",3.073,"Y",2
67,87.968,"Class2",70.452,47.41,42,7.061,24.756,"X",3.573,"G",5
38,37.21,"Class1",84.195,49.165,25,48.317,50.469,"E",82.719,"V",80
78,95.292,"Class2",74.644,117.948,39,19.105,14.339,"T",3.317,"G",2
39,95.825,"Class2",76.485,14.144,44,26.555,16.599,"O",3.268,"U",5
27,22.903,"Class1",82.422,49.888,12,48.713,28.684,"E",77.959,"V",14
31,97.226,"Class2",73.899,30.893,36,26.214,20.791,"X",3.736,"U",2
65,97.386,"Class2",71.782,96.875,45,1.118,17.578,"T",3.067,"Q",3
93,97.828,"Class2",69.343,41.03,38,9.648,15.834,"K",3.953,"G",6
28,51.98,"Class1",79.695,87.676,33,48.859,52.407,"S",79.915,"U",19
20,98.85,"Class2",72.901,-5.328,37,2.863,15.282,NA,3.049,"U",5
51,98.651,"Class2",74.93,43.712,43,7.189,31.207,"T",3.221,"U",6
25,20.859,"Class1",83.397,NA,14,49.515,15.048,"Y",79.26,"R",37
58,87.881,"Class2",66.225,84.264,41,26.399,21.066,"W",3.284,"F",4
20,55.461,"Class1",83.205,67.232,17,48.333,44.908,"E",91.59,"C",78
40,26.194,"Class1",86.014,45.361,30,49.745,22.576,"Y",77.743,"R",12
94,98.439,"Class2",72.166,100.041,37,22.892,24.186,"T",3.76,"F",2
26,91.891,"Class2",73.484,90.326,37,24.131,15.418,"W",3.09,"U",2
40,31.775,"Class1",82.213,16.213,48,48.495,12.677,"A",89.195,"V",5
29,18.245,"Class1",75.773,59.443,14,48.567,25.663,"E",81.827,"C",34
38,32.565,"Class1",76.441,59.347,22,48.544,24.414,"A",80.683,"R",59
24,39.392,"Class1",91.428,56.561,55,48.503,41.801,"Q",91.136,"V",18
23,53.843,"Class1",85.063,39.611,44,48.24,48.082,"Y",79.388,"R",67
32,90.322,"Class2",79.01,108.791,39,9.435,21.113,"O",3.43,"U",5
61,23.525,"Class1",84.764,38.871,41,49.769,46.582,NA,87.984,"U",61
23,31.772,"Class1",81.991,18.591,49,49.237,25.979,"Q",87.202,"C",90
46,90.239,"Class2",69.437,2.799,37,16.983,12.043,"X",3.952,"G",6
52,93.609,"Class2",79.703,27.545,37,7.687,25.52,"W",3.871,"Q",5
21,34.591,"Class1",84.77,45.885,26,49.35,31.315,"E",86.376,"L",75
47,96.378,"Class2",78.49,49.588,40,10.105,28.411,"K",3.551,"Y",5
27,0.667,"Class1",82.507,34.699,17,48.885,54.604,"Y",82.089,"C",67
51,6.768,"Class1",77.267,NA,36,49.909,35.293,"Q",78.269,"C",63
61,36.826,"Class1",82.706,55.007,56,48.814,20.264,"Q",87.598,"R",81
40,38.233,"Class1",80.189,NA,68,49.159,16.213,"E",78.674,"C",8
44,26.339,"Class1",74.723,64.792,45,49.08,28.615,"S",79.953,"U",73
49,96.462,"Class2",64.52,14.544,41,5.061,28.238,NA,3.1,"Y",2
37,93.171,"Class2",72.876,15.901,35,11.421,26.047,"T",3.123,"F",6
20,93.198,"Class2",78.895,58.945,35,3.395,30.832,"O",3.673,"Y",2
92,98.258,"Class2",71.426,61.579,36,25.926,32.449,"T",3.738,"F",5
46,92.828,"Class2",66.825,34.564,33,8.971,35.446,"K",3.135,"Y",2
48,95.68,"Class2",69.859,101.322,46,20.879,11.716,"W",3.448,"G",5
44,34.738,"Class1",84.754,27.375,68,48.594,24.953,"E",86.327,"U",21
68,95.432,"Class2",74.952,73.871,44,26.175,11.599,"X",3.855,"Y",3
43,10.34,"Class1",81.197,13.254,47,48.253,25.212,"Q",92.048,"L",53
59,25.542,"Class1",68.096,91.161,19,49.177,52.667,"A",81.239,"U",39
40,96.284,"Class2",74.176,59.749,37,6.771,29.719,"X",3.182,"G",6
22,91.026,"Class2",73.455,58.262,42,15.495,20.418,NA,3.847,"U",6
25,6.784,"Class1",78.559,16.538,18,48.57,14.458,"A",90.628,"V",48
25,97.093,"Class2",73.706,NA,39,26.053,18.363,"T",3.465,"F",3
64,91.084,"Class2",71.367,45.957,45,25.233,13.047,"X",3.486,"G",2
75,92.128,"Class2",78.313,NA,35,26.332,25.427,"W",3.683,"Q",2
76,93.761,"Class2",65.123,69.747,39,14.667,16.069,"X",3.75,"G",6
94,91.19,"Class2",68.454,69.834,42,12.377,34.65,"T",3.936,"U",2
19,94.03,"Class2",74.763,66.725,39,4.825,30.595,"T",3.825,"F",3
36,95.078,"Class2",73.289,57.93,34,16.816,31.237,"W",3.016,"Q",5
61,34.987,"Class1",83.78,45.376,56,48.603,38.883,"E",87.804,"C",89
59,40.731,"Class1",75.974,75.21,18,48.458,57.21,"Q",79.808,"C",41
54,95.852,"Class2",74.256,68.708,46,2.293,32.365,"W",3.922,"Q",2
27,94.973,"Class2",56.364,21.41,35,1.236,17.457,"X",3.065,"G",3
19,91.17,"Class2",73.068,53.974,46,16.964,26.556,"X",3.986,"G",2
36,18.758,"Class1",78.898,34.425,56,48.4,18.168,"Q",80.075,"V",14
44,95.012,"Class2",82.079,12.569,41,1.086,33.764,"X",3.505,"G",2
41,30.639,"Class1",78.852,40.733,35,48.717,18.087,"Y",89.536,"U",97
75,94.555,"Class2",68.398,102.237,39,22.857,20.885,"O",4,"G",6
60,94.8,"Class2",79.215,121.548,42,10.344,34.32,"O",3.172,"F",2
34,46.272,"Class1",80.532,27.159,28,48.959,18.815,"Y",88.283,"U",55
60,98.438,"Class2",74.285,34.296,38,2.907,29.521,"T",3.521,"U",3
45,35.271,"Class1",88.326,25.179,65,49.382,30.155,"Y",88.29,"V",24
44,15.414,"Class1",81.208,93.406,19,48.43,55.228,"Y",82.823,"R",53
39,20.19,"Class1",83.682,78.779,29,48.591,26.464,"Y",86.898,"C",17
34,32.81,"Class1",79.508,67.047,18,49.084,21.754,"Q",78.772,"R",15
44,16.189,"Class1",83.729,48.191,40,48.969,19.116,"Q",83.602,"V",59
64,94.949,"Class2",71.758,34.142,39,8.507,24.036,"O",3.181,"F",6
61,89.835,"Class2",73.011,57.387,44,13.318,14.194,"O",3.064,"Q",4
45,50.415,"Class1",81.67,58.228,25,49.763,55.487,"Y",78.121,"R",68
55,30.576,"Class1",80.837,77.171,31,49.362,23.429,NA,78.16,"C",45
43,99.898,"Class2",66.999,26.592,44,13.359,33.779,"O",3.616,"F",5
30,98.055,"Class2",66.681,34.589,45,17.741,28.753,"O",3.731,"G",2
71,95.638,"Class2",70.751,87.517,40,21.966,33.248,"T",3.934,"U",4
21,100.539,"Class2",70.023,95.925,34,23.941,32.541,"W",3.884,"Y",3
87,96.516,"Class2",61.145,-2.949,35,6.519,13.215,"X",3.499,"U",4
31,45.023,"Class1",79.889,31.178,13,49.698,50.644,"S",81.919,"C",26
27,38.083,"Class1",81.32,38.957,35,49.891,46.113,"A",87.191,"U",60
73,93.439,"Class2",74.324,NA,41,16.073,31.286,"O",3.074,"Y",4
26,1.069,"Class1",80.273,62.889,60,49.063,44.097,"S",81.089,"R",47
30,7.518,"Class1",82.877,34.722,15,48.57,35.924,"A",82.103,"V",57
20,13.028,"Class1",87.092,61.403,48,48.412,28.049,"Q",79.177,"R",54
28,13.41,"Class1",79.905,51.752,64,48.227,17.096,"Q",81.073,"L",92
87,95.878,"Class2",73.364,50.666,46,6.739,21.511,"W",3.616,"Q",2
50,92.32,"Class2",71.126,57.736,34,26.277,31.314,"K",3.468,"G",5
56,59.725,"Class1",77.476,71.078,33,48.719,36.22,"Q",79.508,"U",26
71,95.528,"Class2",70.27,58.604,37,5.025,12.48,"W",3.363,"F",5
60,97.008,"Class2",72.529,61.672,44,22.104,33.559,"X",3.179,"Y",2
51,33.451,"Class1",71.299,12.441,25,48.708,21.782,"Y",79.813,"U",33
20,52.545,"Class1",76.833,NA,32,49.932,21.738,"Y",81.776,"C",40
72,93.521,"Class2",70.916,65.361,43,13.867,16.211,"W",3.205,"Q",2
44,91.163,"Class2",69.686,80.894,42,3.129,30.478,"X",3.234,"F",6
40,50.758,"Class1",84.107,68.297,20,48.755,39.418,"Q",80.491,"V",63
89,95.655,"Class2",69.683,105.576,39,16.078,29.051,"K",3.965,"F",3
76,92.122,"Class2",71.154,69.865,44,14.234,11.148,"T",3.758,"F",2
38,93.504,"Class2",73.438,61.703,42,5.451,29.626,"W",3.516,"Q",2
26,15.435,"Class1",75.023,79.211,28,48.917,47.477,"S",90.203,"C",88
32,96.761,"Class2",79.813,71.985,46,10.739,25.296,"K",3.768,"Y",6
88,94.35,"Class2",76.207,60.7,36,15.136,33.071,"O",3.703,"G",4
21,100.994,"Class2",80.809,59.154,33,10.8,13.978,"T",3.2,"G",5
60,92.757,"Class2",69.136,135.454,43,25.962,24.145,"O",3.671,"U",6
53,4.285,"Class1",78.202,60.936,59,48.224,20.588,"E",86.214,"R",1
21,-1.25,"Class1",88.603,19.304,38,49.159,35.341,"Q",78.355,"L",2
31,52.156,"Class1",83.089,45.413,31,48.263,33.79,NA,87.146,"R",71
46,43.174,"Class1",72.939,2.372,67,49.134,13.458,"S",82.422,"U",85
75,97.176,"Class2",77.163,42.439,37,19.059,24.567,"K",3.424,"Y",5
57,3.384,"Class1",78.865,63.948,62,49.007,14.223,"Q",78.383,"R",88
37,93.829,"Class2",73.011,63.836,38,23.56,15.568,"T",3.411,"G",2
35,94.5,"Class2",81.014,30.086,46,6.779,22.487,"W",3.111,"F",3
57,94.711,"Class2",71.749,20.137,36,25.479,34.582,"W",3.101,"Q",3
60,91.841,"Class2",69.218,62.299,36,12.268,34.211,"X",3.976,"F",3
49,54.663,"Class1",76.343,52.172,52,48.763,17.429,"E",82.477,"C",33
20,48.037,"Class1",87.783,55.268,21,49.14,41.301,"E",88.829,"L",26
67,94.997,"Class2",78.646,60.816,41,6.6,28.158,"T",3.836,"G",6
53,34.344,"Class1",84.982,46.422,47,49.563,42.595,"Y",84.386,"R",95
26,96.899,"Class2",68.473,82.486,33,21.088,23.039,"T",3.49,"F",2
58,14.459,"Class1",85.399,54.004,12,49.436,33.272,"A",89.357,"R",62
33,78.282,"Class1",79.541,60.422,68,49.172,38.242,"Y",89.191,"L",83
24,13.767,"Class1",82.328,71.413,51,48.909,57.053,"Y",80.02,"R",38
72,90.995,"Class2",66.49,58.331,38,8.871,31.459,"O",3.047,"Y",3
47,92.457,"Class2",76.117,48.625,44,20.899,26.02,"W",3.047,"U",6
47,58.074,"Class1",72.419,54.052,48,49.104,37.619,"A",80.168,"C",64
57,97.702,"Class2",65.299,61.586,45,17.341,11.113,"T",3.035,"U",4
35,38.79,"Class1",86.39,83.592,43,48.129,38.351,"E",84.978,"R",11
33,95.408,"Class2",66.293,45.819,40,22.647,13.743,"W",3.883,"U",2
26,27.522,"Class1",81.775,67.649,44,48.028,57.094,NA,80.098,"U",46
60,47.912,"Class1",79.821,60.511,35,49.788,52.456,NA,81.455,"R",30
93,89.797,"Class2",78.315,10.726,38,19.33,23.281,"X",3.39,"U",2
38,24.081,"Class1",85.046,43.114,22,48.256,11.075,"Y",83.192,"V",65
56,92.238,"Class2",65.252,53.047,46,3.472,18.77,"O",3.485,"G",2
26,98.911,"Class2",68.057,74.699,43,9.107,34.431,"O",3.163,"F",4
41,98.234,"Class2",77.833,91.182,41,23.031,33.25,"K",3.262,"G",4
75,92.881,"Class2",72.735,58.543,33,10.424,27.849,"X",3.551,"Q",5
55,23.332,"Class1",85.552,18.091,17,48.138,16.466,"E",87.215,"U",60
61,90.86,"Class2",68.629,83.508,46,10.41,25.689,"T",3.248,"F",5
55,94.202,"Class2",76.459,59.581,33,10.223,33.62,"K",3.387,"U",4
72,93.113,"Class2",75.759,69.772,37,26.083,16.188,"T",3.959,"F",5
29,42.444,"Class1",76.348,79.519,37,48.097,57.636,"A",83.314,"U",44
55,100.633,"Class2",77.399,44.559,33,26.124,28.436,"O",3.257,"U",4
30,96.005,"Class2",64.729,29.05,40,10.428,21.309,"O",3.514,"F",2
23,34.239,"Class1",76.743,46.268,46,48.859,34.863,"E",92.652,"V",52
61,95.251,"Class2",73.141,35.678,34,13.022,13.163,"W",3.435,"U",5
37,92.617,"Class2",68.591,85.111,43,11.231,30.252,"K",3.766,"Y",3
21,41.371,"Class1",82.352,17.261,43,49.183,52.464,"Q",92.717,"U",29
54,47.306,"Class1",82.271,71.07,49,48.628,30.18,"Y",84.709,"L",69
20,89.95,"Class2",66.793,NA,40,9.715,24.341,"W",3.268,"Y",5
61,95.008,"Class2",77.529,57.04,44,23.933,30.267,"T",3.04,"Y",6
76,96.403,"Class2",72.276,44.547,33,25.639,20.848,"K",3.47,"Q",5
63,88.173,"Class2",65.139,87.1,36,12.289,35.689,"O",3.471,"U",2
32,68.243,"Class1",82.045,28.653,58,48.771,33.679,"Y",92.019,"C",94
53,32.542,"Class1",79.436,NA,61,49.082,12.778,NA,89.601,"R",39
28,99.79,"Class2",80.701,42.41,35,10.755,23.308,"W",3.193,"U",4
52,49.144,"Class1",82.917,42.746,14,49.084,18.381,"S",82.204,"L",86
43,92.028,"Class2",71.224,88.377,44,10.73,14.356,"W",3.138,"G",5
46,28.1,"Class1",77.387,46.559,12,48.957,15.187,"S",77.948,"C",40
61,100.459,"Class2",72.64,31.988,40,6.234,23.638,"T",3.703,"F",3
53,50.298,"Class1",81.752,59.487,20,49.458,20.038,"Q",81.016,"V",60
22,31.454,"Class1",80.616,42.299,18,49.052,35.94,"A",77.821,"V",63
21,25.292,"Class1",78.728,74.082,15,49.303,24.535,"Y",89.488,"R",72
48,26.164,"Class1",85.11,52.341,54,49.379,21.862,"S",81.484,"L",17
33,52.439,"Class1",77.575,51.085,28,49.816,50.975,"Q",85.913,"C",74
56,24.135,"Class1",80.726,47.202,21,48.009,57.739,"Q",81.919,"L",87
19,17.422,"Class1",82.957,21.481,49,49.541,55.192,"Y",88.365,"L",43
45,61.391,"Class1",79.45,45.627,50,48.265,52.911,NA,88.288,"C",30
38,23.423,"Class1",83.73,66.815,24,48.998,26.759,"E",85.994,"L",96
52,48.394,"Class1",79.368,84.583,38,48.328,41.681,"Q",89.856,"C",29
86,92.849,"Class2",66.909,49.401,41,22.59,21.134,"O",3.926,"G",5
56,88.956,"Class2",77.046,31.177,36,24.815,12.852,"K",3.515,"Y",6
23,29.999,"Class1",77.495,NA,55,48.652,10.866,"Q",90.295,"U",52
74,93.687,"Class2",73.225,6.507,41,9.058,25.181,"O",3.001,"G",6
50,92.381,"Class2",70.891,2.395,46,14.507,34.957,"O",3.497,"Q",5
86,95.945,"Class2",71.904,-23.878,46,1.16,35.834,"O",3.742,"F",3
86,94.495,"Class2",77.001,85.321,33,8.387,12.192,"O",3.146,"G",4
32,24.846,"Class1",77.536,89.424,20,49.847,37.04,"Y",81.887,"U",12
84,98.535,"Class2",74.819,38.679,33,6.03,35.13,"O",3.048,"Y",3
60,15.884,"Class1",75.956,56.232,22,48.81,43.151,"A",79.871,"L",62
53,16.689,"Class1",80.689,63.315,33,49.524,12.898,"A",82.504,"V",74
25,4.642,"Class1",77.86,66.505,41,48.968,37.813,"Q",85.038,"C",22
59,56.102,"Class1",72.426,NA,63,48.119,27.956,"S",80.869,"U",5
22,7.686,"Class1",82.068,40.922,28,48.53,13.867,"S",83.048,"V",44
20,40.758,"Class1",84.004,53.979,17,48.832,36.623,"Y",88.68,"R",73
45,92.402,"Class2",78.192,63.722,37,25.783,28.715,"O",3.904,"G",5
87,92.918,"Class2",68.169,57.814,34,2.935,22.519,"W",3.464,"Y",2
50,30.696,"Class1",79.457,74.062,48,48.433,33.169,"E",79.183,"C",13
53,91.584,"Class2",67.454,23.606,42,3.782,15.726,"W",3.91,"Y",2
53,26.373,"Class1",82.243,17.979,32,49.425,11.851,"Q",86.895,"C",3
64,95.204,"Class2",74.849,28.052,41,23.808,30.872,"T",3.154,"Q",4
52,95.991,"Class2",77.088,46.684,33,13.896,31.215,"W",3.542,"G",5
83,94.829,"Class2",67.378,49.388,33,14.516,24.497,"X",3.482,"G",6
79,98.916,"Class2",76.454,32.349,45,15.351,11.722,"T",3.094,"Q",6
45,94.351,"Class2",73.58,90.705,45,3.127,26.109,"X",3.878,"Y",3
35,92.202,"Class2",68.373,22.659,46,6.871,16.887,"K",3.41,"F",6
58,95.624,"Class2",66.176,NA,42,1.044,15.423,"K",3.529,"F",3
34,95.397,"Class2",71.903,81.8,42,10.613,25.061,"K",3.091,"Y",3
73,95.389,"Class2",68.471,58.37,36,4.826,22.35,"T",3.3,"Y",4
36,22.629,"Class1",86.605,87.23,66,48.337,54.991,"E",88.531,"L",24
26,21.145,"Class1",84.76,74.054,54,48.962,14.552,"A",81.867,"C",95
84,92.055,"Class2",74.928,36.675,43,7.931,12.497,"K",3.31,"G",2
45,94.585,"Class2",75.324,30.617,43,13.501,11.599,"O",3.412,"Y",5
23,89.807,"Class2",73.795,48.46,39,10.048,33.505,"W",3.646,"Y",4
47,47.347,"Class1",85.858,80.765,38,49.154,32.827,"S",87.135,"V",94
23,18.454,"Class1",82.071,24.455,61,49.312,42.484,"E",91.734,"U",45
29,57.461,"Class1",88.978,37.571,13,48.602,14.206,"A",84.608,"C",95
29,44.294,"Class1",75.341,31.109,67,49.552,36.316,"E",90.436,"R",85
42,52.357,"Class1",84.965,80.971,31,48.07,10.826,"A",80.382,"R",85
29,94.566,"Class2",81.792,53.127,38,22.254,27.366,"K",3.852,"F",5
66,101.94,"Class2",82.788,14.177,46,2.355,31.458,"X",3.824,"F",4
83,86.56,"Class2",64.496,NA,34,12.464,23.363,NA,3.852,"Q",4
57,94.752,"Class2",82.982,81.891,39,21.777,22.759,"X",3.804,"G",6
45,94.086,"Class2",65.95,19.16,46,7.49,26.515,"K",3.216,"G",2
34,63.31,"Class1",81.666,64.458,62,49.855,43.456,"E",78.011,"R",77
38,99.897,"Class2",77.928,67.043,42,15.012,20.208,"W",3.856,"F",4
94,90.002,"Class2",75.943,82.74,33,7.524,23.398,"X",3.247,"Q",6
93,94.257,"Class2",79.353,101.852,38,13.498,17.294,"W",3.401,"G",5
52,93.344,"Class2",70.037,73.902,38,11.105,17.101,"W",3.409,"G",3
52,12.524,"Class1",79.008,45.087,53,48.616,53.878,"Y",77.046,"R",22
70,99.008,"Class2",74.181,64.26,37,20.001,13.641,"T",3.769,"Y",6
32,43.442,"Class1",80.235,21.796,66,48.882,14.395,"Q",81.482,"U",8
42,-10.654,"Class1",85.264,27.828,49,49.712,21.915,"E",84.703,"U",57
46,20.044,"Class1",91.054,82.924,49,49.549,21.064,"Q",92.102,"L",56
25,44.757,"Class1",88.095,30.068,13,49.569,42.645,"E",85.927,"V",36
58,94.239,"Class2",76.18,61.212,43,25.083,31.044,"W",3.432,"Q",5
45,24.518,"Class1",91.008,35.35,25,49.44,48.753,"A",84.381,"L",19
25,66.553,"Class1",80.796,45.774,28,49.117,49.854,"Q",89.711,"U",93
52,95.104,"Class2",73.813,64.077,40,7.278,15.664,"W",3.351,"Y",3
82,91.961,"Class2",70.628,43.214,44,7.882,28.264,"O",3.797,"Q",5
44,-1.481,"Class1",88.382,16.603,38,49.659,27.607,NA,80.594,"V",22
83,97.081,"Class2",69.86,87.635,35,19.074,33.125,"X",3.09,"F",4
48,53.093,"Class1",79.02,47.693,55,48.276,41.986,"Y",87.589,"V",29
34,94.797,"Class2",82.288,67.182,44,14.748,17.455,"T",3.186,"G",6
83,88.896,"Class2",64.665,32.671,44,11.116,28.687,"O",3.186,"Q",4
54,53.389,"Class1",86.921,76.686,32,49.756,49.669,"Q",85.74,"R",43
20,100.005,"Class2",77.804,81.903,46,15.021,27.613,"X",3.427,"F",5
22,97.165,"Class2",74.338,17.588,37,9.226,22.118,"T",3.88,"U",2
44,89.78,"Class2",75.873,51.047,42,5.208,29.321,"X",3.146,"Q",2
81,93.495,"Class2",69.923,43.1,40,18.994,15.797,"W",3.337,"Y",6
44,97.168,"Class2",73.698,42.42,34,11.033,34.583,"X",3.123,"Y",3
25,28.809,"Class1",84.719,56.105,37,48.604,48.935,"Q",78.68,"U",18
89,92.604,"Class2",72.779,37.167,34,10.223,28.445,"O",3.526,"U",4
37,94.589,"Class2",73.082,36.728,34,12.217,15.451,"X",3.739,"Y",6
20,51.005,"Class1",72.333,47.503,53,48.314,42.238,"E",84.391,"R",10
41,50.869,"Class1",83.842,22.544,42,48.655,42.501,"Q",81.555,"C",91
27,36.38,"Class1",76.289,102,51,49.888,44.845,"Q",90.759,"L",82
57,50.307,"Class1",83.898,17.345,18,49.786,11.351,"Q",88.84,"R",87
20,35.493,"Class1",79.221,24.303,63,49.625,52.483,"Q",85.193,"R",59
49,5.44,"Class1",82.401,65.651,24,49.783,32.72,"A",90.706,"C",18
