"M1","Output12","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11"
55.289,"Class2",17.788,111.904,46.163,53,"L",56,88.733,81.783,38,"I"
18.447,"Class1",50.769,66.991,66.998,31,"Q",14,85.585,38.746,26,"Y"
16.68,"Class1",67.574,66.907,46.664,30,"S",2,78.897,32.418,10,"U"
37.332,"Class3",30.781,29.011,9.932,92,"X",63,37.153,40.793,27,"Q"
60.829,"Class2",8.329,72.078,61.405,39,"L",10,74.68,78.906,37,"T"
54.15,"Class3",27.105,30.92,76.751,93,"U",64,50.729,24.746,25,"U"
56.138,"Class3",27.582,29.393,45.422,91,"D",67,27.81,31.12,21,"B"
NA,"Class1",65.699,65.901,35.087,31,"Q",6,79.606,51.847,18,"Z"
20.254,"Class1",71.49,65.047,30.442,18,"F",15,74.486,60.495,15,"I"
20.564,"Class1",73.544,69.842,47.474,25,"Q",12,84.507,11.481,7,"I"
74.46,"Class2",6.479,-10.78,51.128,56,"E",50,64.08,82.193,38,"T"
11.521,"Class1",52.357,80.427,38.574,7,"E",23,76.864,51.21,13,"U"
53.18,"Class2",18.625,59.262,76.143,59,"M",18,39.038,88.072,37,"T"
70.826,"Class2",13.882,42.57,66.578,25,"V",33,94.938,74.315,37,"H"
53.069,"Class3",29.453,29.577,41.055,70,"X",68,44.764,21.105,32,"B"
11.371,"Class1",72.797,68.189,16.628,4,"B",5,87.107,24.813,17,"U"
43.49,"Class3",25.279,28.64,92.403,80,"U",67,10.635,25.518,29,"B"
55.926,"Class2",6.841,42.962,77.669,98,"V",41,46.683,81.664,38,"H"
24.239,"Class1",67.05,68.337,14.485,4,"B",9,79.83,50.109,7,"Z"
68.43,"Class2",11.83,35.539,49.635,40,"E",9,40.511,77.629,38,"I"
57.192,"Class2",7.966,15.796,91.495,50,"M",32,74.419,80.517,37,"Z"
11.02,"Class1",45.199,71.725,-13.19,32,"F",13,83.831,32.085,25,"Z"
72.117,"Class2",15.911,85.534,75.998,26,"E",52,93.398,78.574,37,"I"
10.899,"Class1",60.844,75.896,77.796,32,"B",5,63.038,5.379,14,"N"
70.044,"Class2",12.798,41.968,87,61,"V",53,95.254,77.713,38,"I"
52.459,"Class3",32.281,29.39,44.989,90,"J",74,60.041,21.368,23,"Q"
NA,"Class2",8.062,31.292,60.751,97,"M",21,61.642,80.748,38,"K"
63.884,"Class2",16.951,73.793,60.256,86,"E",23,86.456,83.574,38,"Z"
75.134,"Class2",7.241,70.497,69.76,98,"M",36,65.382,82.132,37,"Z"
50.238,"Class2",9.994,95.137,53.338,40,"E",44,85.48,81.126,38,"H"
54.183,"Class3",25.048,31.451,35.778,65,"U",73,46.848,29.328,23,"U"
51.275,"Class3",27.925,29.939,74.856,72,"O",66,13.923,28.812,20,"A"
55.495,"Class3",28.775,27.644,107.317,77,"X",79,66.834,24.585,29,"B"
13.782,"Class1",41.71,68.577,-2.929,15,"B",15,74.783,64.492,13,"U"
47.565,"Class3",31.471,29.156,69.423,89,"D",70,41.451,26.522,26,"D"
37.152,"Class3",26.544,30.804,61.418,91,"U",64,27.328,20.497,27,"B"
43.703,"Class3",28.828,NA,31.304,90,"O",80,13.869,19.016,25,"B"
17.157,"Class1",70.711,64.982,86.469,9,"B",7,67.673,46.747,25,"Y"
22.782,"Class1",57.924,58.961,61.789,39,"E",5,72.819,40.7,5,"U"
NA,"Class1",77.62,68.514,23.245,33,"E",14,66.163,7.4,14,"I"
74.123,"Class2",13.616,7.157,90.126,62,"V",58,95.604,81.433,38,"I"
15.629,"Class1",43.099,64.04,47.821,18,"E",11,65.914,45.193,6,"Y"
10.002,"Class1",63.039,69.567,81.298,15,"Q",4,86.425,49.539,17,"I"
53.255,"Class2",18.501,47.959,65.068,68,"M",11,40.729,82.662,38,"T"
NA,"Class3",28.949,28.584,70.755,85,"O",82,30.931,26.003,22,"Q"
20.456,"Class1",41.054,58.679,94.648,30,"E",20,75.727,42.867,13,"Y"
52.17,"Class3",32.412,31.325,95.777,73,"X",73,40.081,22.109,25,"B"
40.299,"Class3",26.838,30.112,8.142,79,"X",64,18.798,30.9,26,"Q"
38.283,"Class3",26.36,28.622,65.9,60,"O",82,16.497,28.277,23,"A"
10.049,"Class1",48.328,65.426,74.454,28,"E",24,77.593,16.862,6,"Y"
57.374,"Class2",18.199,74.312,78.738,67,"M",36,70.445,83.007,37,"Z"
17.913,"Class1",55.25,67.061,25.146,32,"S",21,82.073,23.483,21,"U"
62.226,"Class2",16.887,NA,90.999,91,"L",33,60.487,83.334,37,"I"
41.415,"Class3",29.361,34.553,26.642,88,"J",81,40.302,16.229,21,"D"
38.064,"Class3",28.269,NA,79.454,57,"D",79,37.401,29.518,24,"Q"
71.804,"Class2",16.65,90.998,63.132,67,"V",46,47.1,75.483,37,"Z"
66.626,"Class2",17.399,39.647,81.668,98,"K",36,76.97,80.303,38,"K"
61.522,"Class2",6.95,-10.127,66.106,40,"L",17,92.321,81.839,38,"H"
20.689,"Class1",52.073,62.637,34.251,39,"S",8,81.174,43.201,23,"I"
21.496,"Class1",77.129,67.554,77.13,10,"E",22,70.133,31.015,19,"U"
63.891,"Class2",15.885,114.228,68.261,94,"M",53,49.423,77.914,38,"H"
45.953,"Class3",28.04,31.311,51.354,57,"J",65,66.183,31.592,24,"B"
16.24,"Class1",56.925,68.948,88.703,19,"S",23,67.232,32.53,10,"I"
54.998,"Class2",13.467,30.086,72.402,41,"V",42,56.235,82.446,38,"T"
50.395,"Class3",26.271,27.392,54.088,58,"O",64,11.4,28.059,30,"Q"
74.68,"Class2",7.638,114.87,107.286,31,"L",16,90.982,77.738,37,"H"
10.97,"Class1",54.065,68.567,61.602,24,"S",18,77.674,49.503,7,"Y"
49.295,"Class3",30.804,33.259,100.298,80,"J",63,13.017,22.222,27,"A"
75.513,"Class2",15.23,9.421,83.996,97,"L",22,62.006,87.248,37,"I"
35.125,"Class3",26.182,NA,41.142,84,"U",71,61.183,18.313,27,"B"
NA,"Class3",27.246,31.213,94.328,79,"U",66,53.152,25.255,27,"B"
15.024,"Class1",71.058,70.607,9.245,24,"B",10,75.791,30.442,24,"U"
17.202,"Class1",69.869,64.155,24.889,28,"B",16,69.406,35.794,13,"N"
39.502,"Class3",25.42,29.43,67.733,76,"O",84,10.974,23.697,28,"D"
37.506,"Class3",27.628,33.079,87.05,67,"J",80,26.354,40.39,20,"U"
58.601,"Class2",11.502,32.272,78.74,56,"L",33,68.027,80.685,37,"I"
53.166,"Class2",10.85,66.892,57.466,62,"K",35,66.12,80.794,37,"H"
52.085,"Class3",26.253,27.498,29.223,73,"U",80,34.743,23.348,24,"D"
44.31,"Class3",31.627,NA,48.921,59,"D",80,48.966,24.42,31,"U"
14.89,"Class1",56.287,68.186,46.09,8,"E",14,63.009,45.378,16,"Z"
18.785,"Class1",69.576,69.947,54.063,31,"E",17,77.177,42.983,8,"N"
44.092,"Class3",28.612,32.547,52.058,66,"X",70,26.78,28.352,27,"D"
53.422,"Class2",6.236,53.617,94.597,60,"M",46,76.922,81.848,38,"H"
66.437,"Class2",18.173,53.876,66.408,21,"E",58,67.493,82.446,38,"H"
45.739,"Class3",30.268,30.642,59.487,90,"U",76,32.916,23.526,24,"Q"
55.896,"Class3",30.398,30.395,98.208,76,"X",82,10.8,22.076,23,"D"
51.522,"Class2",11.124,113.803,46.481,88,"V",40,44.528,78.509,38,"T"
20.961,"Class1",42.079,67.802,23.718,20,"B",16,82.921,67.743,26,"Z"
48.836,"Class3",27.073,32.08,62.932,70,"U",72,37.999,15.704,29,"B"
59.48,"Class2",11.685,NA,68.299,21,"M",29,80.889,80.563,38,"T"
56.189,"Class2",14.537,24.618,63.747,90,"V",37,73.643,79.807,38,"T"
42.826,"Class3",25.094,27.977,51.555,93,"O",74,40.511,24.648,31,"D"
41.41,"Class3",28.883,31.076,60.404,54,"X",71,68.356,18.031,27,"Q"
44.192,"Class3",27.311,29.602,45.413,75,"D",63,42.969,20.465,31,"Q"
13.508,"Class1",63.428,67.477,16.233,36,"F",8,64.285,24.379,5,"Y"
19.583,"Class1",74.718,62.254,42.893,9,"B",2,78.488,61.963,14,"Z"
68.029,"Class2",9.795,57.112,85.896,73,"M",38,53.454,82.876,38,"Z"
45.386,"Class3",32.89,28.548,-14.13,77,"D",61,62.333,10.69,26,"U"
39.44,"Class3",26.757,31.681,64.163,76,"O",78,41.748,20.85,24,"U"
18.347,"Class1",63.157,76.078,19.49,32,"Q",6,74.384,29.588,16,"Z"
77.473,"Class2",14.054,66.552,64.038,56,"E",46,85.17,77.76,38,"I"
11.417,"Class1",72.645,66.093,37.891,19,"B",8,66.363,81.045,18,"Z"
74.991,"Class2",12.68,19.314,88.417,49,"L",49,75.217,81.987,38,"K"
13.611,"Class1",64.611,71.301,29.344,30,"S",3,76.211,67.113,22,"N"
69.946,"Class2",6.013,45.743,73.654,89,"K",29,83.475,80.151,38,"K"
53.698,"Class2",15.509,57.288,87.238,40,"L",32,92.287,83.241,37,"K"
11.641,"Class1",72.307,71.079,41.868,25,"F",5,81.464,44.706,26,"I"
18.358,"Class1",57.701,63.675,2.91,30,"B",17,76.925,43.27,4,"I"
15.04,"Class1",72.031,70.079,84.536,34,"S",19,66.319,14.192,23,"I"
42.023,"Class3",26.159,NA,105.649,63,"O",74,24.349,23.631,24,"Q"
17.783,"Class1",70.968,64.133,30.146,19,"E",5,67.478,25.3,14,"I"
NA,"Class1",50.5,69.382,39.839,8,"S",8,85.483,74.816,23,"U"
53.498,"Class2",14.989,82.376,78.633,48,"V",37,86.691,77.809,38,"Z"
17.402,"Class1",71.018,66.542,73.756,30,"B",6,84.802,71.35,7,"Z"
65.924,"Class2",12.032,55.832,72.56,73,"K",58,71.537,81.28,37,"K"
52.804,"Class3",27.935,31.137,63.455,82,"J",76,50.267,30.863,21,"A"
51.583,"Class3",29.393,30.211,52.912,64,"O",60,18.349,35.537,27,"A"
56.439,"Class3",30.377,27.249,32.352,91,"O",62,54.903,26.072,21,"B"
71.763,"Class2",8.727,25.104,59.374,36,"K",31,46.763,79.006,37,"T"
49.543,"Class2",11.973,48.955,55.235,42,"V",20,49.099,76.227,37,"Z"
16.226,"Class1",53.604,NA,49.845,33,"S",23,86.931,29.56,26,"Z"
55.747,"Class2",6.664,58.831,53.88,32,"V",50,60.088,82.698,37,"H"
40.66,"Class3",25.567,29.451,75.162,67,"J",70,30.764,36.615,32,"B"
39.474,"Class3",27.126,29.187,88.432,56,"X",64,59.662,24.306,23,"Q"
56.303,"Class3",25.97,26.556,70.202,65,"D",79,16.491,21.963,28,"U"
16.291,"Class1",60.364,67.594,48.314,14,"S",13,82.824,70.012,24,"I"
13.468,"Class1",61.212,68.514,23.868,29,"E",23,88.5,107.274,5,"N"
24.187,"Class1",59.791,76.568,54.064,14,"F",19,85.632,34.903,14,"N"
NA,"Class1",42.961,62.24,-14.482,22,"F",18,80.384,51.216,17,"U"
51.769,"Class3",27.881,29.088,82.47,90,"X",72,11.035,32.473,24,"Q"
65.599,"Class2",16.828,-6.133,72.795,52,"V",38,54.224,79.609,38,"H"
24.252,"Class1",67.536,61.453,62.814,25,"F",9,78.727,1.885,5,"I"
74.681,"Class2",18.847,35.781,72.641,30,"K",8,80.427,77.911,37,"I"
46.968,"Class3",32.18,NA,71.384,78,"J",66,13.585,17.317,30,"B"
67.841,"Class2",18.71,76.73,78.596,46,"V",17,43.837,80.361,38,"Z"
42.753,"Class3",27.399,29.888,84.517,59,"X",60,70.217,31.249,30,"D"
57.758,"Class2",12.734,43.03,58.665,54,"E",14,49.405,83.209,38,"K"
39.607,"Class3",32.386,32.952,48.285,83,"J",81,38.559,27.672,24,"Q"
48.885,"Class3",32.506,30.324,39.404,54,"O",76,55.514,35.452,26,"B"
54.41,"Class3",32.116,27.859,76.473,67,"D",74,33.317,21.308,27,"Q"
49.185,"Class2",11.265,15.006,68.888,35,"M",9,70.766,80.073,37,"Z"
23.774,"Class1",54.994,65.807,78.148,21,"B",15,63.867,24.59,9,"U"
71.051,"Class2",16.437,44.487,103.102,67,"L",50,68.27,79.235,37,"Z"
41.178,"Class3",28.569,28.682,39.892,85,"D",73,34.803,17.952,29,"Q"
38.974,"Class3",26.06,32.255,25.713,84,"D",77,19.843,27.902,20,"D"
42.912,"Class3",31.511,29.69,49.532,80,"U",61,7.697,32.291,29,"A"
16.913,"Class1",64.845,63.605,28.346,30,"F",14,72.537,29.4,16,"N"
39.815,"Class3",29.88,30.953,39.516,59,"U",63,34.911,28.189,24,"U"
70.767,"Class2",13.566,35.414,69.02,41,"M",53,48.799,82.858,38,"K"
47.793,"Class3",28.965,32.875,80.037,68,"D",70,51.994,27.796,26,"B"
54.548,"Class2",11.488,40.144,72.798,28,"V",50,95.182,80.107,38,"Z"
58.192,"Class2",16.761,-2.33,41.074,75,"M",54,75.013,81.861,38,"T"
58.981,"Class2",7.839,101.007,80.737,69,"K",58,51.075,79.205,37,"Z"
75.281,"Class2",10.633,38.482,92.129,81,"K",52,80.654,84.622,37,"K"
54.841,"Class3",30.342,31.552,71.392,71,"D",62,22.495,26.536,27,"Q"
NA,"Class3",25.617,32.108,38.355,85,"O",61,54.82,27.392,27,"U"
77.938,"Class2",6.658,40.683,87.771,29,"V",57,62.427,77.823,37,"T"
57.437,"Class2",7.78,NA,67.592,50,"E",29,77.248,85.774,38,"T"
73.161,"Class2",17.521,31.895,70.425,56,"L",11,61.176,82.13,37,"Z"
58.605,"Class2",17.999,32.391,70.364,65,"L",4,82.511,81.367,37,"T"
68.828,"Class2",12.928,13.086,43.72,27,"V",11,42.521,82.258,37,"I"
57.541,"Class2",14.105,43.007,63.703,73,"E",12,77.67,77.294,38,"Z"
40.05,"Class3",30.243,NA,33.146,69,"J",71,40.247,15.734,21,"Q"
55.762,"Class3",27.199,30.996,59.26,58,"D",75,25.809,23.993,24,"B"
15.5,"Class1",50.938,54.866,67.032,28,"B",11,65.876,42.45,13,"N"
50.964,"Class2",18.077,92.548,69.315,96,"L",22,37.132,79.569,38,"I"
65.621,"Class2",18.146,5.528,66.916,65,"L",30,80.977,82.034,37,"H"
77.041,"Class2",7.662,11.928,78.324,26,"M",54,82.863,78.93,38,"I"
48.385,"Class3",26.622,30.814,52.331,63,"X",80,52.089,20.604,27,"D"
59.178,"Class2",16.339,-6.132,71.453,60,"E",33,70.927,79.394,38,"I"
38.064,"Class3",28.398,32.802,44.266,77,"U",76,36.332,17.679,21,"U"
42.297,"Class3",26.751,NA,24.763,70,"X",72,53.541,31.634,26,"Q"
47.004,"Class3",32.432,27.642,48.25,63,"D",69,20.436,35.291,26,"Q"
18.451,"Class1",53.018,NA,44.986,16,"B",20,68.118,32.164,19,"Z"
38.007,"Class3",25.011,29.16,75.068,73,"J",84,29.346,33.634,25,"Q"
55.555,"Class3",31.201,29.828,22.39,92,"U",71,43.963,22.447,25,"B"
55.231,"Class2",10.351,-1.483,93.185,82,"V",44,49.554,81.025,37,"Z"
53.926,"Class3",31.358,30.175,60.002,64,"X",62,51.589,19.242,20,"Q"
16.436,"Class1",69.381,70.771,73.932,30,"B",14,68.572,17.714,6,"N"
73.23,"Class2",16.25,70.857,82.12,52,"L",50,52.953,78.743,37,"H"
20.856,"Class1",42.127,NA,48.291,6,"Q",23,74.313,61.891,15,"I"
38.154,"Class3",31.031,29.69,48.429,75,"U",74,25.124,25.27,20,"Q"
24.32,"Class1",65.013,66.91,27.312,4,"E",19,63.112,57.566,25,"Y"
14.445,"Class1",60.441,64.081,32.55,21,"E",24,67.032,35.613,13,"N"
63.303,"Class2",7.529,37.777,67.649,25,"M",10,69.278,82.404,38,"I"
41.76,"Class3",31.649,29.147,39.797,61,"D",72,33.331,32.464,30,"B"
73.026,"Class2",13.007,69.606,89.864,31,"E",49,63.278,81.953,38,"H"
73.115,"Class2",10.555,18.793,77.172,33,"L",44,53.404,81.01,37,"H"
22.327,"Class1",77.924,72.061,35.516,9,"Q",16,88.536,22.951,10,"I"
64.105,"Class2",14.761,105.427,72.929,80,"L",11,72.154,82.893,38,"Z"
11.332,"Class1",58.165,60.92,51.962,13,"Q",7,76.244,41.741,23,"N"
16.749,"Class1",71.688,59.329,57.119,8,"F",14,80.835,18.185,14,"U"
17.539,"Class1",46,69.161,76.179,3,"F",7,86.949,58.686,23,"I"
37.382,"Class3",26.018,32.687,90.136,78,"O",64,53.988,25.665,28,"U"
69.766,"Class2",12.069,70.191,65.87,24,"M",21,54.739,82.564,37,"T"
18.568,"Class1",77.883,60.361,76.458,34,"E",5,86.962,27.118,14,"N"
18.915,"Class1",44.379,64.259,39.461,32,"B",24,75.346,13.592,20,"Z"
NA,"Class2",14.903,88.621,88.351,35,"K",13,77.922,80.817,38,"I"
44.415,"Class3",30.444,29.256,74.223,87,"X",84,40.482,18.567,28,"D"
19.819,"Class1",54.737,65.835,26.136,16,"E",18,70.657,18.907,13,"N"
22.455,"Class1",73.267,63.818,61.231,36,"Q",18,70.496,40.014,20,"I"
57.117,"Class2",13.024,72.361,91.151,97,"E",22,89.414,83.968,38,"I"
12.491,"Class1",74.541,56.705,42.777,16,"S",24,63.759,49.745,4,"U"
20.386,"Class1",68.972,56.491,44.574,28,"E",14,80.17,83.038,17,"U"
17.82,"Class1",49.587,67.423,37.318,23,"Q",22,80.868,39.502,6,"U"
49.285,"Class3",26.788,30.532,55.816,75,"O",70,32.677,28.012,27,"A"
52.955,"Class2",11.694,64.93,59.643,26,"E",52,76.267,77.373,38,"H"
64.682,"Class2",6.416,65.864,88.416,45,"V",32,69.515,78.748,37,"I"
73.874,"Class2",16.296,78.889,64.806,71,"V",20,85.235,84.563,38,"I"
NA,"Class3",27.388,30.316,47.283,60,"U",66,40.925,22.149,26,"B"
72.604,"Class2",15.595,110.533,94.574,68,"E",26,80.981,84.471,38,"T"
22.023,"Class1",67.418,67.856,47.493,32,"B",23,77.919,54.272,12,"Z"
44.254,"Class3",32.799,31.417,50.386,56,"J",60,66.967,24.14,28,"D"
16.748,"Class1",71.474,60.271,69.592,36,"E",19,71.139,31.442,4,"N"
13.187,"Class1",50.992,64.201,34.744,5,"Q",18,78.059,50.212,26,"I"
39.998,"Class3",32.119,28.928,61.307,93,"J",80,37.959,21.178,24,"A"
76.097,"Class2",11.797,42.852,63.372,44,"M",45,52.401,77.824,38,"I"
23.11,"Class1",54.072,62.811,39.421,26,"F",17,79.824,47.291,11,"U"
52.254,"Class2",12.899,94.966,87.27,62,"M",40,53.356,79.552,37,"K"
55.794,"Class2",16.256,56.002,52.809,38,"E",33,57.438,81.815,37,"H"
16.783,"Class1",42.946,66.008,80.044,28,"F",14,86.09,8.589,22,"N"
17.974,"Class1",52.876,69.961,60.197,39,"F",22,81.553,5.486,8,"U"
48.999,"Class2",15.439,27.883,75.394,51,"L",38,50.867,81.765,37,"T"
46.532,"Class3",28.483,32.127,62.171,67,"J",60,54.992,33.854,23,"Q"
18.618,"Class1",51.59,62.225,40.402,32,"B",14,85.245,52.855,20,"U"
67.523,"Class2",13.791,26.279,70.362,56,"K",12,64.129,76.117,37,"I"
49.904,"Class3",32.473,30.165,51.381,81,"X",70,66.71,13.514,22,"B"
50.13,"Class2",10.324,-20.863,68.679,36,"E",27,85.218,78.089,37,"K"
24.203,"Class1",67.09,71.275,59.264,37,"F",18,84.87,31.957,8,"U"
15.373,"Class1",65.015,64.707,30.567,39,"Q",16,83.378,56.359,9,"U"
NA,"Class1",54.501,68.91,61.356,14,"S",18,70.981,31.121,23,"Y"
70.993,"Class2",13.215,53.249,63.404,67,"L",47,81.635,83.153,37,"Z"
69.668,"Class2",9.646,38.986,58.702,53,"E",54,82.41,83.773,37,"I"
16.323,"Class1",72.84,63.309,35.399,12,"F",13,66.556,30.734,19,"I"
51.9,"Class3",29.771,27.592,57.518,83,"O",81,50.857,14.859,29,"Q"
66.808,"Class2",15.281,62.158,93.754,81,"L",37,82.9,87.397,37,"Z"
15.065,"Class1",47.869,61.741,90.793,9,"B",22,78.107,5.198,6,"I"
17.781,"Class1",61.172,71.83,65.098,26,"S",12,82.051,70.651,8,"Y"
NA,"Class3",32.51,30.249,112.867,57,"J",61,12.711,24.91,25,"U"
10.503,"Class1",67.238,69.801,28.758,6,"E",18,71.706,30.912,4,"I"
12.711,"Class1",55.786,65.008,25.256,36,"E",9,82.849,27.094,16,"Y"
59.233,"Class2",7.261,88.541,64.507,68,"L",31,68.227,82.175,38,"H"
56.672,"Class2",6.043,65.706,66.594,96,"K",53,41.413,80.191,38,"K"
20.53,"Class1",41.812,60.397,9.785,3,"Q",13,67.59,66.325,21,"Z"
38.53,"Class3",32.828,29.1,65.073,61,"X",84,18.313,19.55,25,"U"
46.008,"Class3",28.133,28.618,79.605,60,"U",76,63.016,30.751,27,"A"
NA,"Class3",26.783,29.969,56.749,88,"J",68,48.916,33.817,29,"D"
71.822,"Class2",13.202,43.94,75.368,35,"V",39,63.363,83.125,37,"Z"
77.56,"Class2",11.668,63.43,76.564,59,"L",39,73.546,82.476,37,"Z"
39.349,"Class3",31.019,28.657,99.645,79,"O",74,39.809,11.906,20,"B"
61.147,"Class2",15.723,67.206,85.557,66,"M",5,49.111,80.568,37,"Z"
47.65,"Class3",28.094,34.196,21.941,66,"D",65,62.348,27.986,31,"Q"
11.459,"Class1",77.808,59.456,54.683,11,"S",6,68.486,-15.554,23,"Y"
15.756,"Class1",54.504,60.225,47.593,27,"S",4,75.512,43.315,16,"N"
54.242,"Class2",16.544,-35.993,77.754,46,"V",23,37.752,82.119,37,"Z"
36.599,"Class3",28.671,30.588,62.514,62,"U",63,17.996,22.067,32,"A"
11.716,"Class1",77.298,69.924,82.921,14,"S",13,79.622,25.089,11,"U"
42.275,"Class3",25.751,29.51,45.995,92,"U",64,62.076,22.259,21,"D"
67.951,"Class2",11.175,64.831,35.662,63,"V",52,96.78,82.172,37,"H"
37.616,"Class3",30.657,30.365,54.456,86,"X",82,37.929,19.669,21,"A"
20.187,"Class1",52.629,60.468,8.612,21,"F",10,74.551,48.793,6,"I"
23.383,"Class1",71.863,66.214,6.136,11,"Q",5,79.757,46.796,10,"U"
49.766,"Class2",18.083,65.372,96.515,96,"E",55,77.704,77.222,37,"H"
24.161,"Class1",48.035,62.137,75.213,4,"E",16,63.096,43.004,11,"Z"
56.007,"Class3",31.861,29.934,9.943,70,"J",78,13.508,29.171,29,"A"
16.053,"Class1",48.992,62.493,46.859,4,"S",10,80.814,50.426,6,"N"
75.592,"Class2",7.244,54.998,74.098,50,"L",25,41.679,82.901,37,"H"
54.194,"Class2",10.662,18.679,63.858,45,"K",27,40.072,82.06,37,"H"
76.215,"Class2",13.316,8.854,64.819,58,"E",16,64.406,81.74,37,"T"
12.284,"Class1",70.799,62.118,40.163,17,"E",13,71.706,10.107,14,"Z"
50.568,"Class3",26.083,28.003,73.504,68,"O",72,41.489,18.898,26,"Q"
52.715,"Class3",25.134,NA,52.048,61,"D",81,14.005,17.206,28,"B"
12.318,"Class1",57.912,67.086,50.71,31,"B",20,72.682,21.015,20,"U"
41.996,"Class3",30.561,28.685,71.605,60,"O",71,24.113,34.02,20,"Q"
52.44,"Class3",29.023,33.584,41.92,69,"O",82,50.217,31.005,21,"B"
44.025,"Class3",29.313,29.648,45.877,91,"U",71,67.501,26.267,24,"A"
10.516,"Class1",46.627,65.814,40.492,10,"S",23,84.696,18.437,17,"Y"
77.351,"Class2",15.765,64.721,88.969,85,"L",8,64.386,81.114,38,"Z"
40.48,"Class3",29.411,28.642,62.523,71,"O",72,54.37,26.794,27,"Q"
59.599,"Class2",14.462,87.195,42.782,75,"L",9,59.482,80.375,37,"T"
63.795,"Class2",10.086,76.854,74.337,47,"E",30,96.803,83.875,38,"T"
23.417,"Class1",71.701,64.554,65.921,25,"F",18,89.295,25.804,25,"Z"
NA,"Class2",9.595,46.205,65.512,85,"V",37,89.355,84.078,38,"T"
10.811,"Class1",44.154,70.264,70.268,16,"S",5,69.533,53.568,24,"N"
57.122,"Class2",12.865,44.633,59.629,92,"E",58,62.537,76.366,38,"Z"
58.615,"Class2",18.608,37.767,59.659,76,"K",47,87.866,81.15,37,"Z"
63.893,"Class2",10.928,89.647,50.574,23,"L",16,67.592,83.084,37,"K"
69.15,"Class2",16.554,-27.473,63.166,38,"E",13,40.466,78.48,38,"Z"
16.988,"Class1",51.854,73.038,-10.826,37,"S",21,64.955,5.007,21,"N"
68.042,"Class2",15.908,56.635,76.413,54,"K",58,96.866,78.817,38,"I"
11.949,"Class1",52.444,68.414,37.156,12,"B",19,67.127,25.895,10,"Y"
23.743,"Class1",58.264,71.403,60.53,30,"E",8,65.1,24.863,24,"Z"
50.457,"Class3",29.602,31.67,85.175,57,"D",80,18.288,34.127,22,"B"
42.811,"Class3",29.522,32.087,69.6,75,"X",83,67.174,31.306,32,"A"
42.866,"Class3",31.374,30.045,69.741,89,"U",71,55.647,19.082,28,"D"
56.27,"Class3",25.977,29.835,48.186,76,"O",62,62.081,23.529,29,"D"
20.324,"Class1",73.661,67.137,38.055,5,"F",22,82.28,68.591,6,"U"
11.963,"Class1",61.554,68.141,39.652,14,"E",6,89.915,43.323,4,"Y"
51.981,"Class3",26.313,30.454,49.627,65,"U",79,48.443,17.231,20,"Q"
40.326,"Class3",29.876,29.705,48.623,77,"U",74,69.04,26.725,20,"D"
75.254,"Class2",12.144,11.998,94.648,72,"E",39,51.729,81.27,38,"Z"
17.89,"Class1",45.531,67.58,59.451,18,"E",24,84.608,47.145,23,"U"
55.137,"Class2",16.369,99.986,52.078,93,"M",41,62.843,80.6,37,"K"
11.234,"Class1",68.588,57.88,63.887,31,"S",7,77.509,65.56,24,"U"
22.035,"Class1",48.462,63.017,44.152,30,"B",15,76.738,34.88,14,"N"
NA,"Class1",45.816,72.962,13.677,12,"B",7,76.505,1.199,16,"I"
16.421,"Class1",74.287,62.405,62.023,13,"E",9,64.646,43.738,9,"N"
NA,"Class1",76.265,73.01,90.78,13,"E",24,88.285,9.087,14,"N"
37.524,"Class3",31.703,30.475,76.122,75,"X",82,36.55,34.105,22,"U"
51.517,"Class2",11.791,36.407,73.707,93,"L",49,94.713,84.737,38,"Z"
54.321,"Class3",25.847,NA,73.953,76,"U",63,20.117,17.053,27,"Q"
65.034,"Class2",10.261,16.9,57.13,62,"K",51,52.085,85.578,37,"T"
NA,"Class2",14.386,129.47,54.158,51,"K",54,61.392,84.373,37,"K"
66.211,"Class2",6.205,58.35,96.529,59,"K",37,54.591,80.836,38,"Z"
53.614,"Class2",12.789,57.74,71.336,61,"M",40,96.483,79.771,38,"K"
60.697,"Class2",10.684,5.457,102.194,54,"L",31,36.098,79.818,38,"Z"
57.458,"Class2",11.581,71.971,58.28,72,"M",31,42.373,79.69,37,"T"
51.077,"Class2",17.733,69.256,78.45,25,"M",13,82.362,80.519,38,"I"
12.455,"Class1",63.428,66.866,81.708,39,"F",15,79.611,8.661,6,"Y"
19.424,"Class1",54.923,58.759,70.616,31,"F",13,78.18,43.213,10,"U"
17.194,"Class1",59.677,69.8,54.66,29,"F",21,67.378,78.931,12,"Z"
21.513,"Class1",52.184,64.267,92.274,8,"F",11,80.651,24.684,13,"I"
41.758,"Class3",26.724,28.894,28.698,61,"D",68,23.398,22.057,32,"B"
71.654,"Class2",9.748,41.166,59.123,25,"M",47,48.663,80.301,37,"I"
35.446,"Class3",25.015,31.689,47.862,76,"D",66,13.789,16.691,24,"B"
20.053,"Class1",76.795,68.995,52.252,38,"Q",20,68.433,-4.491,4,"I"
18.332,"Class1",51.635,65.158,91.791,14,"Q",12,86.34,54.362,23,"N"
61.63,"Class2",14.828,63.587,70.443,74,"K",26,75.252,81.84,37,"I"
56.537,"Class2",6.494,NA,70.943,42,"L",6,44.33,81.075,38,"T"
46.668,"Class3",31.707,32.506,57.263,71,"U",73,19.115,21.83,29,"D"
