"K1","K2","K3","K4","K5","K6","K7","K8","K9","K10","Output10","K11"
"Y",18,36,83.458,91,39.07,57.021,35.927,"G",6.484,"Class3",83.212
"I",60,30,31.991,28,47.437,47.218,72.651,"G",52.314,"Class2",76.859
"M",72,54,41.646,78,85.02,62.959,59.981,"C",19.442,"Class1",74.06
"V",73,38,88.512,90,84.232,71.705,41.1,"O",6.091,"Class3",60.75
"N",60,43,19.556,67,53.662,10.85,13.61,"H",76.076,"Class4",12.301
"T",74,37,9.192,28,26.914,46.073,61.909,"V",65.979,"Class2",65.356
"W",79,39,92.225,90,61.888,91.416,58.32,"R",7.995,"Class3",32.899
"A",72,33,37.388,24,66.946,24.679,74.287,"G",44.621,"Class2",58.189
"O",66,43,93.678,27,35.891,35.229,73.351,"V",64.07,"Class2",66.665
"I",49,37,84.42,92,48.469,75.991,66.14,"O",2.269,"Class3",37.147
"A",17,44,82.139,92,42.329,66.034,71.566,"N",8.257,"Class3",84.665
"I",12,39,98.012,91,70.517,78.854,53.609,"K",2.028,"Class3",59.741
"V",17,38,84.785,91,88.72,84.251,42.883,"N",15.608,"Class3",56.288
"Y",24,36,90.65,91,63.99,80.891,51.451,"G",10.766,"Class3",38.165
"M",62,44,27.531,71,52.094,7.197,5.679,"Y",76.502,"Class4",14.257
"V",29,44,86.925,90,75.254,88.442,51.421,"R",10.751,"Class3",72.737
"W",15,42,90.182,92,56.341,89.397,42.966,"N",8.847,"Class3",54.884
"F",71,52,47.69,83,37.13,89.926,56.285,"Z",27.263,"Class1",55.547
"F",73,27,16.87,82,78.972,62.717,46.148,"C",33.322,"Class1",64.205
"V",22,40,99.023,90,52.142,66.637,57.478,"K",10.379,"Class3",35.842
"I",63,59,42.445,35,26.317,14.899,65.11,"V",59.136,"Class2",45.69
"A",71,35,61.599,32,68.611,49.571,74.09,"C",43.343,"Class2",48.965
"O",47,79,33.227,36,42.9,9.052,66.748,"C",59.19,"Class2",54.355
"T",79,56,43.111,23,69.235,36.676,84.56,"C",52.249,"Class2",47.498
"E",71,65,31.371,31,65.845,35.236,80.365,"U",57.228,"Class2",34.547
"G",80,20,65.31,NA,45.408,75.515,63.12,"Z",23.981,"Class1",82.878
"W",79,88,33.101,76,55.929,60.095,59.646,"V",29.859,"Class1",70.19
"I",67,42,59.7,24,35.773,43.336,77.568,"U",71.667,"Class2",76.783
"T",64,28,95.814,29,51.78,12.751,NA,"G",63.248,"Class2",70.855
"X",63,14,54.896,87,56.866,10.188,15.692,"P",34.76,"Class4",9.345
"F",78,70,59.231,90,45.122,78.489,62.798,"Z",25.739,"Class1",69.437
"I",51,43,91.662,90,58.047,86.362,NA,"G",5.815,"Class3",75.715
"V",43,43,87.059,92,69.194,90.379,38.034,"N",3.94,"Class3",75.858
"M",60,9,39.889,77,52.353,14.43,14.003,"Y",-14.483,"Class4",17.133
"F",72,64,72.822,73,84.5,88.89,63.142,"C",22.697,"Class1",74.347
"N",61,8,56.298,71,49.952,7.706,12.511,"P",79.435,"Class4",19.566
"B",60,23,67.063,85,58.293,9.109,4.758,"V",29.331,"Class4",17.717
"A",78,41,88.703,91,48.568,90.467,42.051,"K",4.056,"Class3",75.122
"T",50,37,46.229,37,31.248,40.464,67.686,"C",40.615,"Class2",36.815
"B",60,45,21.346,66,58.96,7.495,17.75,"P",86.91,"Class4",14.741
"G",79,21,-3.592,66,39.548,59.344,59.424,"V",23.114,"Class1",58.659
"I",47,52,51.501,23,28.344,20.788,61.812,"H",66.647,"Class2",41.893
"J",73,15,33.011,77,44.271,71.557,72.945,"Z",32.001,"Class1",63.151
"V",69,35,103.419,92,47.398,53.5,85.859,"N",9.462,"Class3",46.431
"Y",67,46,85.405,92,53.718,75.287,23.752,"G",4.581,"Class3",60.917
"Y",41,40,92.499,91,42.712,80.246,31.144,"K",12.747,"Class3",72.037
"A",79,37,20.438,28,43.449,21.229,73.143,"U",49.213,"Class2",44.68
"B",60,3,32.686,78,56.207,12.961,15.507,"P",60.554,"Class4",11.007
"W",66,42,102.022,90,55.526,70.401,33.013,"G",8.434,"Class3",67.525
"F",74,19,65.215,62,45.491,82.154,61.733,"F",31.904,"Class1",75.518
"W",79,70,54.051,79,60.208,76.366,60.621,"Z",29.25,"Class1",76.732
"F",73,71,73.94,65,56.069,82.101,54.407,"V",18.587,"Class1",65.412
"B",63,11,35.616,79,55.475,14.466,9.733,"P",79.416,"Class4",15.521
"A",69,30,65.835,35,28.842,36.966,75.328,"U",74.636,"Class2",45.53
"O",68,67,11.337,28,67.029,27.192,78.122,"V",41.283,"Class2",39.256
"X",60,11,31.08,75,46.96,10.723,15.436,"S",66.484,"Class4",19.735
"A",76,72,38.767,22,65.271,40.19,64.828,"V",58.133,"Class2",57.338
"X",60,15,71.215,76,46.468,9.27,12.046,"H",33.908,"Class4",19.048
"I",50,55,39.798,26,57.897,6.698,69.616,"V",65.305,"Class2",71.189
"Z",63,45,21.032,83,57.822,8.111,20.187,"H",74.905,"Class4",11.901
"I",71,57,57.965,19,37.747,6.907,69.47,"H",68.84,"Class2",76.514
"W",28,36,88.386,91,66.14,82.476,48.504,"R",13.298,"Class3",46.061
"Y",50,36,90.465,91,41.295,60.606,53.773,"K",11.643,"Class3",74.788
"V",14,43,103.982,92,36.682,73.167,NA,"O",13.9,"Class3",63.889
"G",75,76,52.014,91,42.934,62.686,56.036,"V",34.987,"Class1",55.907
"A",82,44,88.177,92,84.684,90.206,61.104,"G",6.144,"Class3",42.999
"E",62,35,58.695,28,41.218,47.811,65.164,"H",47.561,"Class2",62.282
"E",58,54,46.915,28,37.889,4.953,82.438,"C",60.571,"Class2",56.033
"M",78,75,53.265,78,58.444,62.108,52.216,"C",31.119,"Class1",73.999
"Z",61,39,7.467,73,48.98,5.259,5.035,"P",62.414,"Class4",12.987
"B",63,38,18.114,70,53.778,10.217,10.417,"H",112.901,"Class4",14.094
"E",53,58,72.299,20,52.179,37.993,71.257,"C",87.144,"Class2",72.901
"T",55,65,54.889,23,42.332,22.65,69.38,"V",29.779,"Class2",63.329
"F",74,81,52.585,75,84.01,72.657,60.338,"H",24.652,"Class1",73.359
"Z",60,41,65.149,80,52.259,7.677,5.08,"V",64.071,"Class4",14.764
"W",54,41,101.273,92,83.627,73.888,57.379,"G",8.551,"Class3",78.304
"W",71,85,23.571,58,42.025,74.331,52.393,"C",23.499,"Class1",84.952
"I",59,47,98.239,NA,36.667,73.733,71.248,"R",11.488,"Class3",53.38
"G",79,37,89.476,77,47.185,93.235,52.998,"C",24.374,"Class1",72.291
"F",77,92,31.856,76,65.745,81.911,52.69,"F",24.353,"Class1",68.207
"T",55,30,56.952,37,45.268,19.675,69.197,"U",54.203,"Class2",76.08
"W",76,72,14.877,64,51.053,70.029,48.659,"V",23.33,"Class1",51.753
"A",70,36,88.912,92,66.328,77.477,NA,"O",5.222,"Class3",42.433
"V",46,47,94.097,91,78.696,71.049,43.263,"G",6.562,"Class3",78.246
"G",79,28,30.485,66,57.767,74.948,65.552,"V",27.44,"Class1",70.058
"F",79,75,25.686,79,77.551,80.322,52.319,"C",27.244,"Class1",63.464
"A",20,48,89.29,92,88.989,71.97,45.539,"R",7.74,"Class3",47.973
"M",79,60,-2.428,87,72.744,68.519,55.404,"C",30.087,"Class1",71.068
"A",14,41,93.247,92,61.753,55.76,70.213,"R",11.133,"Class3",68.386
"V",36,38,97.38,92,74.885,80.895,50.043,"N",7.167,"Class3",41.244
"E",69,81,62.702,38,24.981,34.123,70.137,"H",62.815,"Class2",42.219
"G",77,20,53.09,85,82.503,65.14,70.268,"Z",21.986,"Class1",78.976
"N",63,5,51.797,76,48.774,9.374,10.297,"P",71.622,"Class4",10.788
"I",74,32,-10.592,37,26.477,50.132,66.181,"H",48.484,"Class2",48.298
"M",60,3,29.64,71,51.362,11.766,12.191,"S",2.291,"Class4",11.166
"Z",63,37,33.268,79,47.435,12.927,2.997,"S",44.472,"Class4",14.031
"B",60,12,22.218,67,49.538,6.699,13.233,"Y",52.165,"Class4",9.548
"W",78,89,59.306,72,85.265,92.861,54.98,"H",20.556,"Class1",72.488
"N",62,38,45.562,80,50.725,12.124,8.995,"H",16.741,"Class4",9.218
"J",71,67,35.693,86,67.644,75.199,66.986,"V",25.853,"Class1",83.525
"I",15,48,91.712,NA,56.814,60.945,48.706,"G",9.56,"Class3",38.896
"G",80,28,38.556,63,61.452,71.082,55.54,"V",26.585,"Class1",71.387
"W",54,39,90.948,90,85.884,79.834,NA,"O",5.284,"Class3",64.699
"M",63,39,55.087,69,49.224,7.743,8.677,"H",51.657,"Class4",8.276
"O",70,43,64.75,36,44.536,28.956,70.294,"V",68.682,"Class2",39.788
"M",80,11,39.078,91,61.047,80.068,54.227,"V",26.409,"Class1",85.724
"I",12,47,89.619,90,69.39,53.308,70.147,"O",7.824,"Class3",82.202
"B",62,25,21.572,78,53.628,9.216,10.129,"Y",95.331,"Class4",9.109
"Y",12,47,94.794,91,58.662,60.853,67.157,"O",9.779,"Class3",47.083
"A",71,29,93.73,33,41.534,17.292,71.007,"V",63.931,"Class2",57.699
"J",73,57,41.721,92,38.98,81.441,66.681,"F",23.566,"Class1",68.326
"I",70,39,93.46,91,53.014,80.003,47.619,"O",8.124,"Class3",66.899
"T",74,73,-28.837,24,27.236,32.903,71.023,"H",82.407,"Class2",58.38
"I",64,40,85.509,90,46.908,76.913,51.952,"R",3.028,"Class3",56.951
"Z",63,26,28.207,82,57.112,10.469,12.177,"S",46.475,"Class4",13.173
"W",52,40,100.158,90,81.508,68.728,58.202,"G",4.647,"Class3",36.846
"W",22,40,93.959,91,47.105,91.526,38.428,"N",9.191,"Class3",78.228
"F",77,92,35.346,78,83.512,77.17,51.066,"Z",33.574,"Class1",81.423
"M",75,48,38.897,65,44.655,91.079,61.097,"V",14.36,"Class1",72.988
"N",63,5,34.679,74,52.684,10.29,12.789,"S",46.633,"Class4",13.301
"I",34,42,89.171,90,51.107,55.357,49.572,"O",6.079,"Class3",50.431
"I",76,68,50.476,34,52.317,34.475,78.806,"U",61.851,"Class2",56.214
"M",62,7,21.084,70,51.184,13.146,16.422,"H",31.201,"Class4",11.663
"F",80,88,6.254,70,72.676,60.44,63.875,"Z",30.231,"Class1",68.789
"N",63,10,29.607,70,56.094,8.496,9.073,"V",51.829,"Class4",8.22
"J",80,14,77.542,76,78.104,82.133,43.942,"H",31.436,"Class1",85.363
"A",56,70,54.286,22,32.056,40.366,63.325,"C",58.099,"Class2",76.694
"B",61,14,36.884,78,50.903,5.998,5.512,"V",75.602,"Class4",16.83
"Z",63,20,39.731,85,49.078,11.848,16.576,"S",41.598,"Class4",11.533
"X",62,38,43.182,83,49.897,11.412,10.135,"P",64.037,"Class4",10.787
"Z",60,40,20.03,81,55.245,9.802,16.151,"V",38.379,"Class4",19.674
"B",62,33,51.924,86,53.721,5.081,12.996,"Y",44.61,"Class4",15.015
"I",46,44,97.861,92,82.527,85.119,NA,"K",11.036,"Class3",76.704
"A",48,53,17.861,32,69.034,12.971,75.501,"C",68.901,"Class2",40.589
"W",81,45,82.942,NA,46.922,69.345,61.046,"K",6.558,"Class3",35.467
"I",18,45,87.531,91,81.931,81.424,NA,"G",7.488,"Class3",62.503
"N",62,14,39.896,67,52.003,14.06,16.701,"V",26.454,"Class4",10.46
"V",22,39,96.079,91,48.499,83.836,28.44,"R",9.899,"Class3",57.921
"M",61,14,33.945,NA,48.094,11.815,13.914,"S",85.169,"Class4",19.718
"Y",18,48,97.576,NA,63.539,86.503,52.474,"N",9.466,"Class3",72.969
"W",39,35,88.075,91,68.508,86.49,79.05,"O",1.019,"Class3",48.743
"A",23,47,81.118,92,63.192,75.185,81.15,"G",6.402,"Class3",70.126
"M",73,50,31.824,NA,73.041,87.013,60.487,"F",23.007,"Class1",73.795
"Y",54,43,95.629,NA,89.777,82.806,48.251,"N",4.633,"Class3",69.024
"G",75,37,82.908,90,66.707,85.709,62.454,"Z",27.588,"Class1",75.257
"N",60,15,44.915,67,51.102,14.06,13.243,"Y",76.327,"Class4",10.997
"X",60,30,40.93,82,52.224,8.697,9.892,"S",31.947,"Class4",13.759
"I",28,43,96.535,92,46.383,70.404,59.886,"K",8.24,"Class3",36.254
"O",71,45,16.211,24,51.944,49.321,NA,"G",73.051,"Class2",36.228
"T",67,26,8.061,32,30.653,22.198,70.42,"H",74.27,"Class2",74.668
"V",61,47,93.377,90,58.272,61.357,27.177,"K",8.335,"Class3",58.912
"Z",61,16,62.794,NA,51.758,12.928,11.682,"Y",38.687,"Class4",14.049
"O",78,77,49.779,26,28.311,49.74,63.157,"H",69.454,"Class2",50.047
"M",74,17,35.857,92,80.742,75.502,66.328,"C",28.377,"Class1",60.226
"A",50,62,42.074,35,67.002,37.629,62.135,"C",85.44,"Class2",65.119
"J",72,23,58.29,55,55.786,62.912,61.472,"F",27.514,"Class1",76.938
"M",76,93,43.246,72,53.419,83.663,68.798,"V",27.826,"Class1",63.736
"W",75,83,21.993,84,85.216,74.771,59.189,"H",20.837,"Class1",59.628
"W",73,52,48.587,78,66.144,61.983,NA,"V",20.916,"Class1",57.125
"T",57,25,22.441,26,27.735,49.879,74.624,"C",74.664,"Class2",44.753
"G",72,59,8.98,64,64.311,74.158,62.977,"F",19.366,"Class1",53.201
"I",56,37,-19.809,32,36.813,30.187,63.208,"H",60.533,"Class2",51.943
"V",32,46,89.667,91,64.339,65.316,45.368,"O",2.429,"Class3",78.752
"V",36,45,91.854,90,69.31,55.608,55.676,"O",6.582,"Class3",32.937
"I",28,42,98.478,91,83.791,87.696,37.482,"O",7.903,"Class3",78.008
"J",80,53,42.743,55,72.385,87.825,59.121,"F",21.759,"Class1",82.662
"E",51,79,16.108,35,59.112,37.822,79.905,"U",41.521,"Class2",46.043
"E",55,53,25.463,31,56.5,48.985,70.782,"V",96.143,"Class2",71.093
"I",71,40,93.148,91,89.186,71.053,78.19,"R",12.068,"Class3",35.087
"E",60,35,44.388,31,50.811,50.832,67.041,"H",54.606,"Class2",41.21
"G",70,24,60.638,78,76.767,88.096,58.198,"F",30.649,"Class1",54.039
"T",49,30,43.682,30,65.513,42.403,87.873,"H",75.948,"Class2",76.602
"G",72,45,10.242,62,50.765,67.096,72.347,"Z",26.507,"Class1",58.447
"T",79,64,47.046,28,56.366,33.85,74.789,"H",51.202,"Class2",53.165
"I",15,44,103.112,92,59.422,59.791,36.696,"R",13.977,"Class3",71.958
"F",77,64,66.128,77,41.419,85.829,62.956,"H",30.115,"Class1",53.462
"O",69,56,54.572,23,33.879,36.269,78.389,"U",68.596,"Class2",64.18
"J",70,11,36.169,83,80.257,67.356,47.725,"Z",23.22,"Class1",76.576
"W",30,45,88.45,92,75.011,72.71,42.171,"O",6.847,"Class3",70.421
"M",63,14,59.973,80,49.53,12.341,9.801,"V",32.427,"Class4",15.327
"Y",67,47,91.223,92,79.974,74.804,51.484,"R",7.767,"Class3",84.137
"W",70,44,23.837,86,51.326,60.081,62.454,"Z",29.251,"Class1",62.155
"T",49,41,54.378,31,24.185,44.253,76.558,"H",70.889,"Class2",73.587
"M",61,31,12.521,68,49.813,10.451,10.158,"V",-10.72,"Class4",16.337
"O",78,28,75.469,36,55.652,23.915,78.851,"H",64.016,"Class2",42.448
"N",60,27,41.683,87,47.963,12.252,19.319,"H",109.606,"Class4",10.747
"W",75,84,27.798,77,47.886,88.798,55.097,"C",32.3,"Class1",54.45
"B",62,19,28.852,75,58.681,8.68,NA,"V",22.568,"Class4",14.723
"O",77,46,36.483,33,61.691,48.178,71.531,"V",58.337,"Class2",44.424
"M",60,21,42.978,81,58.917,11.769,5.266,"Y",18.957,"Class4",13.935
"I",80,46,92.215,92,63.714,78.725,64.46,"R",8.931,"Class3",47.65
"T",63,42,7.863,30,55.238,27.049,73.186,"U",59.767,"Class2",72.767
"M",75,83,56.499,74,39.66,80.353,53.481,"Z",25.259,"Class1",60.611
"F",75,76,37.59,68,55.942,67.383,56.38,"Z",25.427,"Class1",59.475
"G",78,59,83.639,67,64.146,87.651,51.261,"F",21.032,"Class1",60.184
"N",61,38,49.033,84,58.834,10.428,4.81,"V",75.245,"Class4",12.318
"B",61,14,43.249,85,48.268,10.057,3.142,"P",51.743,"Class4",13.369
"W",74,44,64.783,83,53.035,92.575,61.314,"V",22.655,"Class1",64.734
"W",27,43,89.517,90,50.667,73.019,78.533,"N",8.257,"Class3",73.832
"X",60,45,24.135,NA,56.243,11.129,15.039,"Y",66.51,"Class4",14.623
"G",71,82,73.543,87,41.514,84.525,54.544,"C",27.137,"Class1",57.019
"J",73,68,28.578,75,48.193,77.19,49.852,"V",20.824,"Class1",63.808
"F",77,40,23.033,NA,52.931,79.95,53.777,"F",30.773,"Class1",66.621
"O",56,76,58.41,19,27.198,17.801,70.53,"V",74.488,"Class2",52.845
"X",62,2,-1.047,80,55.071,7.367,12.129,"P",8.14,"Class4",10.151
"T",49,66,22.523,21,46.121,50.353,58.704,"V",74.952,"Class2",70.264
"B",61,34,16.068,75,54.816,14.859,-0.46,"Y",85.801,"Class4",18.407
"T",46,35,33.675,21,33.941,36.321,79.274,"U",43.62,"Class2",70.814
"T",60,57,14.795,NA,61.055,24.865,77.89,"U",49.951,"Class2",40.767
"I",47,55,77.898,19,36.125,50.723,67.439,"G",47.655,"Class2",58.753
"I",57,57,48.04,20,53.168,36.41,73.298,"H",65.746,"Class2",75.548
"E",60,71,15.048,23,60.434,13.52,73.439,"G",76.501,"Class2",47.462
"Z",62,17,46.973,81,57.436,5.243,11.322,"P",38.69,"Class4",16.104
"G",79,8,33.871,57,44.337,61.234,60.568,"F",16.041,"Class1",76.799
"A",63,82,38.322,20,39.918,16.273,70.766,"C",66.974,"Class2",54.189
"G",79,9,4.452,NA,40.799,79.199,68.308,"F",25.35,"Class1",77.588
"Z",63,16,31.411,88,49.805,14.144,9.653,"Y",63.593,"Class4",18.994
"M",63,26,25.043,72,49.222,5.229,14.876,"Y",39.338,"Class4",14.438
"W",35,45,86.605,92,57.255,53.447,40.695,"N",5.642,"Class3",75.82
"J",71,76,52.927,72,43.792,77.781,55.443,"C",33.062,"Class1",72.34
"M",73,36,36.437,80,67.556,71.354,54.884,"H",19.277,"Class1",61.361
"A",45,61,-10.954,38,25.934,5.505,66.954,"H",61.836,"Class2",48.728
"M",62,19,43.155,77,49.738,11.042,4.738,"H",15.552,"Class4",16.163
"X",60,26,20.532,78,57.928,14.119,10.883,"S",22.352,"Class4",9.928
"T",49,67,77.706,33,60.167,47.525,75.65,"H",34.542,"Class2",74.093
"I",66,39,103.438,91,82.857,54.129,54.275,"R",3.499,"Class3",55.472
"T",65,50,28.168,29,37.727,38.082,68.38,"H",65.096,"Class2",56.228
"Z",60,10,36.296,81,46.221,13.055,12.316,"H",41.727,"Class4",19.858
"I",54,39,85.493,90,82.683,78.404,67.21,"O",4.989,"Class3",77.026
"G",76,25,73.859,63,47.368,74.942,60.838,"F",17.233,"Class1",62.733
"N",60,6,55.521,76,54.811,9.575,12.372,"Y",34.418,"Class4",17.843
"Z",63,42,27.198,85,58.836,12.556,7.892,"P",15.055,"Class4",19.617
"B",62,10,62.748,69,48.548,14.385,5.189,"P",83.948,"Class4",17.145
"B",61,17,39.618,82,53.729,9.251,11.802,"V",15.017,"Class4",16.363
"O",51,64,-4.905,24,48.773,29.525,73.464,"U",56.408,"Class2",65.196
"I",62,59,-10.852,23,38.545,20.296,70.324,"H",39.125,"Class2",70.131
"W",74,41,71.155,79,72.565,70.844,53.783,"C",23.179,"Class1",55.669
"W",50,37,97.311,90,54.226,79.942,43.785,"R",7.826,"Class3",68.026
"W",59,44,88.58,90,65.719,87.285,49.61,"R",12.344,"Class3",70.177
"X",62,19,53.551,88,49.355,12.086,6.328,"V",37.475,"Class4",14.444
"Y",65,46,100.78,91,48.363,60.697,52.731,"G",2.624,"Class3",83.043
"T",51,50,31.084,21,26.857,23.548,72.096,"G",77.666,"Class2",59.538
"I",30,38,94.829,92,76.789,67.061,45.252,"R",13.358,"Class3",79.352
"A",65,79,50.265,NA,52.401,31.511,NA,"H",53.16,"Class2",34.055
"J",79,66,54.555,72,60.48,74.686,54.636,"V",22.584,"Class1",54.33
"W",75,93,53.529,66,38.252,67.556,58.059,"H",29.136,"Class1",74.309
"Y",60,38,96.051,92,65.036,86.213,100.624,"G",13.78,"Class3",59.724
"T",69,40,54.051,28,30.406,20.274,62.756,"C",50.417,"Class2",54.971
"F",74,78,48.312,62,58.728,74.416,59.75,"F",30.402,"Class1",54.43
"N",63,41,16.342,66,51.973,12.938,6.755,"Y",61.433,"Class4",15.453
"X",60,39,18.474,NA,46.954,8.3,10.666,"S",58.121,"Class4",9.212
"O",56,37,75.715,29,66.703,32.374,66.709,"V",42.466,"Class2",72.201
"G",73,83,82.011,91,60.689,68.218,64.707,"Z",27.841,"Class1",81.259
"Y",32,41,84.997,91,57.524,79.571,64.3,"O",-1.936,"Class3",40.141
"I",70,58,69.874,29,46.045,39.728,69.119,"G",59.531,"Class2",56.523
"N",61,27,26.073,77,48.465,6.54,11.14,"H",67.245,"Class4",10.653
"E",68,28,42.577,31,58.25,47.143,64.932,"C",62.201,"Class2",53.621
"A",35,43,108.568,90,81.449,76.912,74.254,"G",9.994,"Class3",34.656
"G",76,72,-13.483,84,44.404,65.524,61.337,"H",22.579,"Class1",70.183
"M",77,14,24.791,89,37.71,76.385,55.484,"C",25.287,"Class1",78.605
"O",63,39,32.684,NA,41.737,39.04,74.377,"G",69.316,"Class2",61.902
"W",54,40,97.923,91,71.677,91.615,54.509,"G",9.142,"Class3",75.668
"I",48,72,43.486,36,33.954,45.806,71.413,"G",61.847,"Class2",43.721
"G",74,84,32.053,64,38.393,77.514,54.445,"Z",22.749,"Class1",69.532
"O",72,40,81.783,30,69.231,5.339,76.909,"G",66.378,"Class2",72.652
"O",52,71,72.738,38,54.781,20.545,67.644,"G",62.338,"Class2",69.099
"O",75,54,43.99,22,26.474,8.878,64.752,"V",70.428,"Class2",43.321
"N",60,18,38.064,87,54.191,11.014,12.164,"H",37.065,"Class4",10.555
"F",73,60,21.488,67,70.003,65.359,59.566,"H",19.644,"Class1",75.703
"E",49,51,0.219,19,42.591,40.015,72.104,"V",60.93,"Class2",51.59
"E",64,52,29.748,37,64.76,29.979,74.678,"H",75.49,"Class2",71.918
"Z",60,37,38.653,77,58.68,12.477,-0.226,"H",52.694,"Class4",16.294
"V",38,35,85.74,90,78.042,76.685,61.673,"O",5.843,"Class3",35.074
"N",63,2,19.639,67,50.733,14.583,7.117,"V",34.334,"Class4",13.186
"I",25,38,90.438,90,91.903,66.932,32.983,"N",11.28,"Class3",52.744
"Y",42,48,98.25,92,48.941,67.82,39.817,"K",8.763,"Class3",45.746
"I",71,41,98.894,90,67.318,88.912,36.986,"N",8.049,"Class3",33.347
"X",60,19,62.99,NA,47.437,13.626,5.83,"P",27.731,"Class4",12.659
"I",71,51,54.706,28,39.073,38.161,69.242,"G",59.945,"Class2",58.253
"Z",61,30,64.958,67,50.742,13.753,11.273,"V",53.339,"Class4",19.127
"X",60,8,21.195,84,46.236,5.244,9.437,"S",53.01,"Class4",10.123
"J",74,29,73.498,81,44.476,82.869,61.358,"Z",21.716,"Class1",67.991
"G",74,86,46.61,79,82.818,92.368,66.475,"C",31.699,"Class1",70.712
"A",69,35,87.352,92,68.97,90.693,59.713,"R",2.671,"Class3",71.76
"A",48,53,60.057,22,51.966,23.511,72.616,"V",55.197,"Class2",70.525
"A",64,52,42.21,36,30.212,26.582,61.386,"G",60.177,"Class2",76.413
"I",38,44,95.553,91,53.119,57.308,46.145,"G",5.354,"Class3",35.144
"B",60,3,30.051,70,50.559,10.991,10.537,"V",51.549,"Class4",18.139
"F",79,39,33.047,82,39.558,81.472,58.018,"F",20.723,"Class1",69.101
"M",60,26,20.581,73,55.114,10.488,16.27,"S",20.407,"Class4",15.233
"T",78,40,40.398,25,48.254,20.97,68.563,"V",77.661,"Class2",58.346
"Y",50,37,95,91,38.126,62.57,75.166,"G",7.829,"Class3",78.059
"W",58,35,85.85,90,36.25,76.514,46.995,"O",4.499,"Class3",71.064
"B",63,34,53.593,80,46.138,8.09,6.925,"V",17.835,"Class4",19.407
"A",56,38,81.382,90,56.57,57.446,29.385,"K",10.872,"Class3",74.692
"Z",62,44,45.282,79,47.856,6.241,14.449,"V",37.15,"Class4",9.503
"M",76,88,89.749,73,60.112,75.839,60.071,"Z",25.715,"Class1",55.166
"M",62,45,62.338,69,52.506,7.797,9.321,"Y",57.698,"Class4",16.272
"N",63,24,70.314,71,54.366,5.051,8.894,"Y",42.876,"Class4",15.149
"Z",60,40,43.192,74,48.018,12.067,12.48,"Y",31.271,"Class4",8.058
"O",64,27,45.896,28,64.262,39.62,69.254,"V",54.76,"Class2",35.004
"M",70,46,90.364,59,75.902,70.417,60.898,"F",23.552,"Class1",85.602
"G",72,44,23.16,89,37.242,59.672,63.703,"V",22.91,"Class1",57.052
"M",70,58,25.552,86,61.517,89.902,68.574,"H",18.516,"Class1",56.281
"A",68,45,18.582,23,52.114,29.796,72.299,"H",78.417,"Class2",32.556
"I",74,41,104.142,NA,61.493,77.262,NA,"R",3.985,"Class3",35.385
"T",77,61,25.364,38,41.422,20.495,71.741,"U",72.067,"Class2",55.694
"M",73,14,41.401,84,66.536,71.929,65.727,"Z",21.328,"Class1",65.514
"I",74,39,92.78,NA,89.511,89.324,49.115,"K",8.271,"Class3",75.274
"E",57,78,28.676,23,32.03,48.51,74.312,"V",71.295,"Class2",34.166
"A",73,40,92.837,91,65.95,77.735,31.732,"G",7.693,"Class3",70.482
"O",78,35,32.07,28,63.299,26.781,68.548,"U",58.676,"Class2",66.387
"Z",62,3,24.522,79,56.145,13.526,NA,"Y",74.633,"Class4",9.8
"B",63,15,40.407,75,51.966,7.225,4.959,"P",7.521,"Class4",8.777
"Z",60,9,21.341,75,48.731,9.658,8.718,"S",58.182,"Class4",12.279
"Y",18,39,93.376,92,91.707,68.014,56.216,"R",5.03,"Class3",77.106
"V",54,48,93.079,91,80.318,81.555,50.833,"N",4.249,"Class3",47.48
"A",51,47,98.212,90,52.632,88.04,54.484,"G",4.62,"Class3",33.572
"X",62,8,27.549,67,49.978,12.864,20.015,"V",61.895,"Class4",13.329
"B",60,14,26.68,82,52.437,5.19,10.071,"V",56.263,"Class4",10.176
"M",62,27,44.218,85,51.742,8.846,11.617,"V",114.127,"Class4",14.775
"B",63,7,50.226,72,51.438,6.959,NA,"H",42.866,"Class4",15.926
"W",70,68,76.707,84,55.605,84.675,66.304,"F",29.028,"Class1",77.886
"X",60,4,69.748,87,57.003,5.282,15.604,"P",66.123,"Class4",14.015
"N",60,19,42.79,80,52.235,13.387,12.036,"H",57.663,"Class4",18.334
"G",71,70,15.611,78,42.2,72.953,54.486,"F",25.231,"Class1",54.347
"M",75,47,92.093,92,43.623,87.544,64.847,"Z",20.773,"Class1",73.705
"J",78,25,47.491,55,55.214,63.268,62.501,"F",27.952,"Class1",77.863
"Z",61,6,59.19,68,56.661,7.127,16.232,"H",34.004,"Class4",14.581
"Z",63,34,66.948,87,47.804,8.987,20.377,"H",54.529,"Class4",17.103
"Z",61,2,41.112,65,50.757,9.601,12.78,"S",27.658,"Class4",13.102
"E",61,42,39.76,28,40.564,9.69,65.794,"U",64.92,"Class2",62.028
"A",50,40,57.166,NA,41.599,15.992,80.233,"U",69.669,"Class2",61.858
"A",44,48,109.32,92,80.34,81.901,55.046,"G",10.71,"Class3",58.217
"Z",60,9,20.296,68,55.592,12.571,5.126,"Y",71.55,"Class4",15.256
"B",60,10,53.982,68,57.441,9.919,17.07,"Y",59.888,"Class4",16.23
"N",60,30,57.454,79,53.546,5.612,14.276,"P",4.041,"Class4",16.288
"W",30,42,82.4,91,82.402,86.589,84.617,"G",8.465,"Class3",48.554
