"F1","F2","F3","Output31","F4","F5","F6","F7","F8","F9","F10","F11"
"F",5.802,60.775,"Class2",49,49,33.606,61.002,"Y",-11.377,44.384,42
"X",52.902,53.474,"Class1",66,33,36.674,1.375,"C",NA,46.012,24
"S",68.139,75.858,"Class2",41,29,34.291,53.771,"Z",64.927,48.762,40
"U",31.713,35.69,"Class2",68,20,43.193,56.79,"M",60.964,40.934,38
"Z",50.668,60.493,"Class1",64,45,60.007,8.318,"M",59.418,55.253,37
"F",71.732,60.891,"Class2",33,31,40.153,58.628,"A",14.672,41.178,39
"J",52.306,50.722,"Class2",69,35,59.526,55.58,"A",43.546,41.314,40
"X",51.38,67.422,"Class1",64,35,60.122,7.606,"M",75.446,67.438,27
"Z",48.239,61.485,"Class1",69,40,51.944,5.223,"M",96.902,61.844,NA
"J",49.302,80.272,"Class2",66,37,49.368,60.43,"M",NA,40.394,43
"Z",44.713,53.834,"Class1",64,49,29.015,6.613,"C",68.363,81.013,23
"J",31.749,62.394,"Class2",78,31,86.76,59.906,"A",37.689,38.573,41
"Z",33.133,51.317,"Class1",66,32,57.064,8.949,"Z",76.757,53.292,6
"X",56.877,78.642,"Class1",65,68,46.389,2.108,"M",58.436,62.154,NA
"U",42.541,68.384,"Class2",49,47,57.309,50.258,"Z",0.536,41.896,41
"J",60.852,52.396,"Class2",48,40,93.738,50.751,"Y",55.481,39.112,38
"G",62.131,73.113,"Class1",70,78,37.536,7.282,"C",NA,46.639,11
"S",49.527,75.014,"Class2",69,37,50.085,49.362,"R",95.251,40.258,37
"G",54.161,82.042,"Class1",67,48,47.448,6.142,"Z",96.154,49.041,3
"G",27.238,66.482,"Class1",66,61,29.777,10.359,"C",70.919,67.506,29
"S",62.314,92.228,"Class2",33,44,91.641,48.625,"A",68.121,39.695,37
"X",49.798,85.052,"Class1",67,49,49.941,7.753,"R",74.076,58.025,16
"F",55.232,28.932,"Class2",31,17,43.753,54.521,"Z",21.861,47.692,43
"S",49.676,45.393,"Class2",43,20,82.424,49.156,"R",31.671,48.235,43
"U",75.849,82.972,"Class2",60,25,71.428,53.572,"Z",27.82,44.813,41
"U",95.914,103.943,"Class2",51,44,55.099,50.836,"A",64.087,40.491,36
"X",46.77,71.952,"Class1",64,69,22.216,5.491,"M",70.511,36.089,25
"H",32.604,64.115,"Class1",65,27,34.376,2.997,"Z",98.06,39.007,32
"A",42.493,119.795,"Class2",58,24,66.984,52.998,"R",26.303,44.849,38
"J",76.69,20.075,"Class2",71,37,50.441,60.165,"M",89.727,38.938,43
"J",56.833,52.526,"Class2",52,53,69.206,55.059,"R",61.073,39.531,39
"X",53.973,61.478,"Class1",69,45,40.366,2.016,"Z",69.283,45.429,12
"A",46.38,99.462,"Class2",42,28,34.507,60.162,"R",61.302,45.453,36
"R",43.048,65.518,"Class1",67,79,60.552,10.174,"R",52.928,62.802,5
"Z",38.808,64.719,"Class1",67,79,12.303,0.779,"C",81.111,49.909,NA
"A",63.046,40.305,"Class2",36,32,66.229,53.741,"R",46.144,42.228,38
"G",44.692,61.031,"Class1",68,23,41.198,4.318,"C",69.609,68.488,2
"R",47.815,49.625,"Class1",64,43,48.832,9.543,"M",63.582,57.119,10
"S",45.131,71.511,"Class2",54,46,62.38,52.093,"Z",58.51,43.828,40
"H",56.66,76.895,"Class1",69,60,29.011,6.799,"Z",61.521,87.127,17
"Z",45.109,66.336,"Class1",63,45,21.778,1.914,"C",64.189,38.572,7
"H",43.463,67.221,"Class1",65,51,43.848,5.992,"M",59.209,64.567,11
"Z",42.64,58.08,"Class1",68,79,48.606,10.811,"R",74.73,75.341,31
"A",29.618,78.427,"Class2",71,44,74.141,60.548,"Y",75.52,39.962,37
"H",52.539,72.977,"Class1",68,55,45.238,8.563,"Z",81.197,32.323,17
"U",81.187,64.115,"Class2",50,29,37.39,55.669,"Z",69.88,40.891,37
"Z",55.842,93.627,"Class1",64,55,51.687,1.493,"Z",39.081,63.913,8
"H",44.653,80.521,"Class1",66,81,37.153,4.888,"C",72.967,51.931,35
"H",36.755,67.626,"Class1",65,35,18.655,2.338,"M",73.388,61.474,8
"F",46.789,54.849,"Class2",78,45,92.484,50.815,"R",58.768,46.975,42
"S",34.548,70.927,"Class2",68,15,67.502,53.223,"R",74.341,44.546,42
"F",62.581,80.375,"Class2",67,22,53.566,62.657,"M",35.969,48.77,41
"U",28.183,92.456,"Class2",46,38,41.937,61.124,"Y",19.006,42.146,39
"F",62.2,119.427,"Class2",27,25,71.93,53.939,"A",NA,46.002,39
"Z",51.993,61.502,"Class1",65,65,22.33,9.816,"R",74.577,39.546,33
"R",50.713,63.798,"Class1",70,84,45.022,2.394,"R",91.179,89.688,16
"Z",41.339,58.274,"Class1",67,40,45.165,5.447,"M",67.148,62.545,NA
"U",71.081,41.318,"Class2",27,49,27.346,59.58,"Y",23.54,45.393,40
"S",37.761,47.215,"Class2",65,17,62.159,58.054,"Z",52.731,47.586,39
"G",61.138,56.741,"Class1",69,24,51.049,1.733,"C",62.993,36.943,10
"G",42.937,64.763,"Class1",65,66,26.368,9.896,"C",88.364,56.12,5
"Z",50.709,60.375,"Class1",65,46,18.663,1.24,"Z",61.557,67.478,34
"A",92.971,80.458,"Class2",59,18,57.017,56.331,"M",10.712,44.858,42
"X",43.617,68.032,"Class1",70,53,30.477,5.946,"C",76.867,70.293,25
"J",21.209,39.056,"Class2",31,21,55.787,60.053,"Z",46.941,40.591,39
"J",69.848,44.477,"Class2",31,50,31.065,52.603,"Z",54.91,41.638,42
"A",61.956,27.859,"Class2",44,39,78.689,62.341,"Z",52.01,45.262,36
"S",62.452,100.913,"Class2",27,27,41.92,56.943,"A",18.704,47.639,42
"Z",33.012,72.902,"Class1",63,36,58.659,5.041,"Z",62.952,86.94,24
"Z",48.039,75.572,"Class1",68,69,49.448,6.315,"R",59.511,57.174,28
"U",22.296,23.293,"Class2",84,19,63.845,56.869,"A",41.519,45.042,NA
"Z",46.593,60.884,"Class1",70,30,20.288,9.839,"C",71.707,42.568,2
"G",48.289,68.35,"Class1",69,77,18.068,6.942,"C",64.463,73.509,24
"R",55.315,63.386,"Class1",70,26,50.375,10.528,"X",58.525,71.939,8
"S",45.279,52.154,"Class2",84,51,81.993,57.665,"M",60.187,42.394,43
"H",30.744,54.194,"Class1",68,52,32.775,2.751,"X",57.298,61.243,34
"G",60.477,67.07,"Class1",68,28,39.845,9.232,"C",69.68,82.52,18
"U",70.109,79.211,"Class2",63,15,42.13,51.018,"M",68.022,39.603,43
"X",42.571,63.29,"Class1",66,39,47.702,5.511,"R",82.012,73.708,8
"H",43.457,85.357,"Class1",67,67,25.772,4.335,"C",69.027,73.848,5
"Z",58.215,63.637,"Class1",63,30,39.482,3.282,"Z",68.72,78.487,2
"A",89.894,47.185,"Class2",40,26,45.82,54.799,"Y",63.32,44.166,36
"R",34.444,81.216,"Class1",68,63,52.75,4.222,"X",67.513,45.876,13
"J",46.603,80.273,"Class2",33,17,47.82,62.18,"Y",47.175,48.5,41
"Z",52.047,79.741,"Class1",69,70,43.81,10.656,"C",84.897,37.748,33
"U",38.849,69.326,"Class2",45,51,43.38,52.678,"R",42.462,41.199,38
"J",35.425,86.027,"Class2",27,37,37.627,60.924,"A",65.908,39.454,41
"A",42.711,51.949,"Class2",72,42,92.733,58.835,"A",54.205,46.025,NA
"X",44.595,50.162,"Class1",63,36,44.962,1.258,"C",94.127,45.404,7
"X",56.322,64.612,"Class1",66,70,15.504,10.287,"X",59.514,61.731,29
"H",27.864,76.648,"Class1",68,78,47.319,2.078,"Z",66.943,32.929,26
"F",70.737,37.754,"Class2",27,37,20.627,57.155,"A",65.867,42.655,41
"S",44.504,66.117,"Class2",78,47,75.057,53.483,"M",27.225,45.163,41
"R",32.191,77.505,"Class1",69,51,31.035,0.716,"R",65.269,78.911,4
"R",54.893,65.069,"Class1",69,62,9.991,7.828,"C",NA,58.077,26
"S",48.97,39.499,"Class2",84,51,25.09,57.345,"Z",-1.995,39.638,39
"J",62.816,40.292,"Class2",34,16,33.114,49.234,"A",54.371,46.011,41
"A",3.78,50.328,"Class2",36,18,86.667,57.987,"M",NA,45.025,37
"X",49.49,65.52,"Class1",70,31,53.455,6.424,"X",96.635,72.739,9
"J",59.422,14.57,"Class2",82,42,28.621,58.51,"A",40.759,41.618,36
"S",65.581,25.101,"Class2",57,17,59.121,58.805,"Z",56.473,48.731,41
"H",51.766,69.698,"Class1",68,32,28.638,1.606,"M",NA,64.547,35
"A",59.08,98.205,"Class2",43,20,73.475,50.927,"R",49.406,45.171,40
"F",26.945,43.138,"Class2",57,27,75.104,59.771,"M",NA,45,41
"R",29.278,73.576,"Class1",66,64,22.038,4.631,"Z",91.708,73.683,23
"J",37.926,69.522,"Class2",37,38,30.923,49.591,"Z",63.463,42.275,36
"S",44.74,39.276,"Class2",46,41,49.961,51.799,"R",NA,45.335,37
"F",63.484,62.389,"Class2",83,43,48.626,59.634,"Z",67.129,42.375,38
"U",47.392,55.222,"Class2",68,34,66.269,52.291,"Y",51.418,47.91,38
"R",57.375,64.547,"Class1",68,68,15.703,1.221,"C",84.195,69.294,7
"A",48.765,102.843,"Class2",64,25,58.895,54.38,"Z",49.472,45.929,43
"R",48.581,71.09,"Class1",70,65,38.117,8.125,"X",87.891,56.516,21
"U",30.631,54.873,"Class2",32,46,48.44,62.316,"M",44.703,43.582,42
"S",46.279,67.688,"Class2",27,49,84.192,50.209,"Z",49.759,41.103,39
"Z",33.673,51.312,"Class1",65,81,40.391,4.2,"X",91.514,72.019,3
"S",55.202,55.079,"Class2",39,32,91.533,59.414,"Y",47.303,40.095,43
"S",46.689,26.294,"Class2",28,23,80.281,56.96,"Z",45.008,46.245,40
"S",23.553,56.12,"Class2",74,38,48.296,56.362,"Z",78.212,47.664,36
"J",56.841,88.617,"Class2",41,16,48.003,61.494,"A",41.785,45.739,38
"Z",51.048,71.776,"Class1",69,25,55.179,1.26,"X",77.713,48.756,18
"H",53.212,57.645,"Class1",67,68,34.102,6.507,"X",77.509,57.048,10
"A",59.016,37.253,"Class2",66,33,57.523,59.766,"Z",96.712,44.453,37
"F",25.446,7.048,"Class2",63,29,57.198,58.68,"M",8.768,47.258,37
"R",48.973,84.478,"Class1",69,27,60.961,4.382,"Z",56.885,50.541,35
"G",31.77,70.494,"Class1",69,78,42.645,4.967,"C",87.296,33.689,7
"X",55.79,63.98,"Class1",65,52,18.001,0.722,"M",47.307,61.339,26
"R",54.064,60.046,"Class1",68,74,41.609,0.227,"X",87.84,72.556,21
"S",56.859,48.926,"Class2",33,40,21.81,54.343,"Z",28.595,42.065,37
"J",50.05,64.964,"Class2",54,24,43.921,58.55,"Z",32.532,38.25,37
"X",49.596,72.551,"Class1",64,65,32.248,8.578,"C",101.493,37.283,21
"R",29.535,47.752,"Class1",63,52,26.8,2.66,"R",55.91,46.566,16
"S",27.215,22.534,"Class2",28,46,70.753,56.462,"A",54.675,47.486,41
"R",52.9,73.292,"Class1",68,76,15.178,10.377,"R",83.184,55.841,NA
"F",41.145,28.972,"Class2",35,32,30.903,50.571,"Y",4.443,46.447,36
"J",76.402,35.335,"Class2",70,36,44.301,51.975,"A",53.153,45.367,NA
"F",61.691,96.872,"Class2",70,27,35.548,53.938,"A",NA,45.569,36
"Z",52.082,61.924,"Class1",67,74,17.497,3.501,"C",59.622,40.435,9
"Z",46.801,76.448,"Class1",64,70,49.223,7.087,"C",51.786,33.295,37
"H",41.314,79.902,"Class1",67,48,51.734,3.069,"X",73.895,57.609,20
"F",73.551,61.93,"Class2",41,51,19.862,62.11,"R",30.647,48.219,40
"J",46.22,65.785,"Class2",46,39,85.655,51.57,"Z",-2.311,45.749,42
"J",62.848,84.518,"Class2",69,25,63.706,62.342,"A",96.749,43.406,38
"J",47.073,87.64,"Class2",55,50,53.31,53.322,"Z",86.108,47.278,42
"R",42.282,59.99,"Class1",65,45,41.678,4.331,"M",NA,80.545,34
"U",61.911,43.15,"Class2",53,48,23.46,57.23,"A",67.873,44.382,41
"U",43.788,33.193,"Class2",56,38,49.045,53.559,"Y",56.856,48.086,36
"G",51.027,70.72,"Class1",67,59,18.369,3.042,"X",65.901,63.38,NA
"H",49.345,69.456,"Class1",65,68,28.27,1.28,"R",67.227,80.989,21
"J",39.547,54.193,"Class2",74,42,85.764,60.742,"R",34.725,39.591,37
"R",54.875,54.407,"Class1",68,31,15.123,4.661,"Z",75.89,58.966,24
"G",48.249,70.996,"Class1",64,63,30.758,5.886,"R",99.085,58.884,14
"X",35.576,75.302,"Class1",67,59,43.545,1.967,"X",70.677,85.858,24
"G",53.173,63.292,"Class1",65,64,44.489,8.238,"M",94.918,50.989,20
"F",43.617,69.579,"Class2",33,42,52.891,60.96,"A",47.499,44.565,39
"A",55.602,55.859,"Class2",36,39,85.078,51.857,"A",39.701,44.496,42
"G",37.799,79.964,"Class1",66,61,14.858,6.634,"Z",50.916,73.111,11
"S",36.009,30.425,"Class2",81,53,46.154,61.166,"M",44.139,42.147,39
"Z",41.583,72.136,"Class1",65,50,60.731,1.657,"Z",46.802,69.47,18
"S",48.545,29.401,"Class2",57,53,36.251,55.923,"R",57.033,41.774,43
"Z",44.678,72.297,"Class1",65,62,16.583,2.677,"M",84.957,40.428,3
"S",58.462,45.361,"Class2",35,30,46.1,59.94,"M",22.731,41.402,41
"U",46.53,27.226,"Class2",40,53,37.891,57.897,"R",69.405,46.11,37
"J",42.48,40.877,"Class2",27,44,44.92,60.557,"R",41.29,45.312,42
"G",39.39,52.677,"Class1",67,40,51.026,1.136,"Z",41.116,33.443,NA
"S",55.416,27.103,"Class2",39,34,23.773,57.928,"Y",64.26,39.486,38
"F",23.638,65.549,"Class2",73,47,70.479,52.068,"R",38.776,44.471,39
"J",38.924,15.794,"Class2",67,32,21.383,49.48,"Y",54.729,39.094,39
"S",57.049,33.722,"Class2",61,17,92.231,61.253,"R",5.719,45.506,37
"F",59.448,99.631,"Class2",66,26,84.179,56.833,"A",27.212,40.46,37
"S",77.849,47.647,"Class2",56,20,76.038,57.148,"R",16.106,45.9,40
"X",28.725,66.385,"Class1",70,35,49.234,0.326,"C",52.327,82.522,24
"S",72.022,42.898,"Class2",43,29,59.915,58.261,"A",50.808,44.108,36
"Z",42.494,52.152,"Class1",66,63,30.036,7.361,"C",58.939,46.932,15
"Z",45.007,51.625,"Class1",65,84,47.295,3.939,"R",79.393,86.823,36
"X",68.885,80.689,"Class1",63,54,26.97,10.927,"X",76.798,37.285,21
"F",48.692,10.616,"Class2",40,25,26.387,51.037,"R",-10.752,40.9,36
"R",35.478,59.742,"Class1",65,30,17.349,6.648,"M",87.826,47.715,6
"G",45.798,77.702,"Class1",66,37,54.884,2.847,"M",67.81,74.387,19
"X",57.839,56.2,"Class1",68,53,30.541,0.255,"X",52.367,33.994,23
"X",62.026,60.374,"Class1",67,61,59.611,2.587,"C",83.863,33.253,17
"G",56.597,71.622,"Class1",68,69,37.997,2.166,"Z",89.943,56.072,9
"G",39.851,68.234,"Class1",69,67,10.484,3.497,"Z",64.95,81.907,2
"Z",52.673,66.156,"Class1",66,29,36.998,0.636,"Z",62.227,74.062,25
"G",53.682,58.746,"Class1",68,72,41.975,3.536,"X",72.118,39.428,29
"A",50.647,51.293,"Class2",66,24,60.013,58.644,"R",58.213,45.818,NA
"S",84.802,60.487,"Class2",51,32,82.442,61.538,"Z",33.793,38.378,40
"H",46.477,79.07,"Class1",70,40,38.751,4.15,"Z",59.967,65.869,7
"F",60.601,68.556,"Class2",48,35,47.454,53.034,"R",67.808,46.792,39
"H",46.498,60.306,"Class1",69,54,39.564,0.417,"X",87.464,76.536,25
"F",72.851,60.04,"Class2",57,29,21.807,60.16,"Y",38.712,40.59,40
"R",20.024,60.136,"Class1",68,52,9.35,5.472,"C",65.887,78.243,32
"F",37.369,57.192,"Class2",42,37,40.246,62.924,"A",16.777,40.425,38
"A",65.082,62.574,"Class2",83,40,34.377,61.148,"Y",83.803,38.788,43
"S",69.3,79.417,"Class2",35,25,76.923,48.7,"Z",38.323,42.111,37
"U",47.825,78.723,"Class2",69,17,75.423,55.29,"A",54.658,47.13,39
"G",57.881,67.338,"Class1",64,51,20.093,6.442,"Z",89.288,46.304,13
"U",55.556,29.389,"Class2",58,48,50.58,62.474,"A",71.949,38.246,39
"J",69.914,72.301,"Class2",38,53,63.708,60.133,"R",66.175,38.045,41
"X",46.223,65.364,"Class1",70,84,24.173,2.245,"X",48.327,83.897,6
"G",48.315,70.71,"Class1",64,85,53.941,1.435,"C",91.696,54.099,22
"G",48.647,52.642,"Class1",64,26,15.855,8.552,"M",74.712,42.815,NA
"G",51.343,71.517,"Class1",70,69,22.38,0.17,"X",52.838,69.444,32
"J",36.314,59.303,"Class2",53,27,54.337,57.026,"Z",87.319,39.142,40
"H",46.173,56.504,"Class1",69,28,53.58,8.03,"Z",74.107,39.125,19
"U",59.466,74.989,"Class2",72,44,57.715,51.308,"Y",54.614,39.847,39
"S",49.86,74.908,"Class2",69,30,78.762,48.025,"R",60.385,38.155,43
"G",36.46,82.516,"Class1",63,62,28.121,4.915,"M",100.48,32.5,5
"F",62.868,89.339,"Class2",64,19,48.341,49.415,"R",23.997,42.957,43
"A",59.747,53.013,"Class2",55,38,74.061,54.816,"A",74.555,43.205,41
"A",57.368,104.999,"Class2",72,20,78.015,53.361,"M",11.54,47.67,42
"R",55.769,70.172,"Class1",69,36,36.135,6.211,"Z",53.281,63.122,29
"F",60.153,65.315,"Class2",50,41,49.894,50.128,"Z",72.027,46.209,43
"U",42.235,55.919,"Class2",38,28,65.794,50.301,"A",44.418,39.764,39
"G",34.743,79.821,"Class1",63,54,19.596,5.365,"C",81.709,67.481,32
"A",44.619,103.824,"Class2",45,34,50.62,55.306,"A",63.516,48.131,40
"U",46.193,51.172,"Class2",80,50,47.969,53.06,"Y",26.002,38.261,41
"F",28.329,75.326,"Class2",74,43,43.138,56.33,"Y",43.449,42.549,41
"R",37.524,54.633,"Class1",66,64,46.771,2.361,"M",44.342,55.677,16
"G",56.305,64.592,"Class1",67,78,21.575,10.034,"C",71.549,75.159,10
"U",72.172,99.124,"Class2",69,40,47.906,59.815,"Z",21.334,39.825,42
"S",58.694,65.989,"Class2",65,25,65.852,49.344,"A",48.625,43.201,39
"F",81.886,46.604,"Class2",54,42,65.859,55.253,"Y",60.039,40.155,43
"G",30.582,61.336,"Class1",69,75,47.514,7.732,"X",80.311,35.811,11
"R",40.987,72.702,"Class1",63,32,57.05,5.321,"R",77.247,79.077,4
"U",20.629,47.021,"Class2",68,36,47.575,55.717,"R",48.636,42.809,41
"F",60.664,7.152,"Class2",53,46,93.888,55.614,"Y",62.609,47.326,40
"A",23.405,36.441,"Class2",28,30,24.912,49.879,"R",80.882,38.985,39
"U",41.95,81.745,"Class2",64,18,48.12,57.217,"R",23.985,40.818,37
"A",51.497,72.287,"Class2",35,19,86.796,58.004,"Y",29.387,46.147,39
"J",51.713,64.329,"Class2",58,24,91.813,59.187,"M",34.687,44.043,38
"R",55.37,55.639,"Class1",67,82,34.963,10.553,"R",83.879,32.544,17
"A",41.667,40.744,"Class2",58,50,43.368,60.402,"R",68.123,46.67,NA
"X",52.76,79.343,"Class1",68,77,60.228,6.974,"C",83.481,60.23,13
"J",58.764,44.632,"Class2",79,35,24.146,52.012,"Z",51.756,48.916,39
"J",32.416,77.023,"Class2",65,21,64.379,55.387,"R",NA,46.691,36
"X",40.935,69.534,"Class1",67,78,21.412,5.671,"R",81.2,50.796,2
"S",54.457,46.683,"Class2",38,44,45.084,51.538,"R",61.095,39.49,40
"U",70.361,102.02,"Class2",70,34,93.741,49.901,"Z",32.143,46.97,38
"R",46.863,76.462,"Class1",64,52,14.655,9.023,"C",66.317,77.255,36
"Z",44.801,76.324,"Class1",65,43,48.683,7.165,"M",60.417,76.567,35
"G",48.372,82.067,"Class1",66,37,54.285,4.73,"Z",67.525,74.082,33
"R",52.263,50.281,"Class1",69,45,60.781,10.364,"C",68.891,41.457,2
"U",57.439,56.622,"Class2",27,53,67.816,51.451,"Z",28.145,44.668,43
"G",46.464,57.832,"Class1",63,23,11.306,0.261,"Z",65.563,46.04,31
"J",43.162,76.599,"Class2",28,33,49.903,52.966,"Z",33.943,46.664,40
"S",83.029,48.467,"Class2",52,28,45.704,51.355,"Y",47.687,48.106,NA
"A",29.662,80.698,"Class2",73,30,83.794,54.317,"Y",NA,43.812,41
"Z",41.53,78.926,"Class1",65,26,13.067,6.63,"X",55.911,35.936,10
"U",57.566,66.405,"Class2",76,52,61.506,50.177,"R",53.599,40.261,39
"H",51.213,85.258,"Class1",68,49,28.13,3.06,"C",85.047,74.139,27
"F",64.814,49.466,"Class2",67,30,55.777,57.46,"Y",48.516,47.393,43
"X",26.713,59.669,"Class1",69,68,25.427,2.825,"Z",85.109,59.577,NA
"R",57.593,59.131,"Class1",66,37,45.664,3.305,"R",86.282,35.127,20
"H",61.802,75.373,"Class1",70,45,21.153,10.952,"M",64.242,35.28,24
"U",44.088,90.969,"Class2",51,37,46.807,51.692,"Z",23.422,45.719,41
"S",37.642,80.713,"Class2",39,28,25.797,58.55,"M",32.093,39.186,40
"H",59.586,64.398,"Class1",68,46,39.598,1.629,"R",71.886,71.886,33
"A",58.277,24.815,"Class2",73,30,72.284,57.861,"Z",6.025,47.412,42
"Z",35.961,61.382,"Class1",70,66,41.146,2.824,"M",70.767,74.19,11
"H",50.599,71.54,"Class1",67,37,59.184,9.064,"M",82.624,78.707,22
"Z",40.871,76.19,"Class1",65,32,13.738,8.74,"R",80.496,85.164,21
"R",57.156,71.475,"Class1",70,82,9.092,10.286,"Z",68.024,85.912,14
"G",31.899,64.871,"Class1",70,26,19.981,1.443,"C",70.117,76.925,8
"A",41.854,59.93,"Class2",47,40,20.41,49.586,"Z",87.148,44.921,38
"Z",41.933,75.873,"Class1",68,40,30.291,7.526,"Z",74.119,38.337,16
"F",82.04,59.383,"Class2",63,23,92.345,57.517,"Z",41.589,47.576,37
"G",48.282,52.764,"Class1",63,32,11.795,6.696,"R",72.613,77.668,9
"G",43.473,54.509,"Class1",66,70,32.376,10.858,"C",70.942,33.608,24
"Z",42.987,61.193,"Class1",67,40,51.429,5.797,"X",79.845,76.311,21
"A",38.891,47.039,"Class2",49,32,94.926,52.068,"Z",-6.139,38.838,36
"X",48.146,59.259,"Class1",69,40,28.409,10.075,"Z",74.231,48.438,NA
"U",52.082,59.608,"Class2",35,42,67.469,60.475,"A",64.852,42.579,37
"G",51.757,80.911,"Class1",63,85,37.635,9.045,"X",NA,52.902,4
"S",61.947,65.895,"Class2",61,44,51.318,52.441,"M",74.96,43.139,37
"G",42.798,67.088,"Class1",68,60,10.667,10.544,"X",54.781,51.653,19
"G",42.581,65.55,"Class1",68,84,48.858,8.59,"C",62.23,53.149,35
"H",56.086,71.702,"Class1",67,83,40.542,5.611,"M",94.479,39.813,16
"F",56.709,83.97,"Class2",72,26,73.976,49.765,"Y",34.352,40.197,37
"R",58.94,44.95,"Class1",70,64,32.777,5.132,"X",62.139,53.933,15
"R",31.25,61.517,"Class1",70,35,18.201,1.556,"M",81.223,63.892,5
"R",46.554,63.887,"Class1",63,23,10.771,1.286,"X",83.894,37.653,21
"G",38.386,73.289,"Class1",65,82,48.91,5.567,"C",89.264,44.864,20
"S",86.446,26.724,"Class2",44,23,78.666,56.829,"M",29.245,38.932,42
"R",43.676,47.791,"Class1",66,48,60.027,9.657,"C",57.381,87.953,21
"F",84.443,64.34,"Class2",80,35,86.313,60.773,"Z",28.872,44.869,40
"F",48.152,97.671,"Class2",64,40,86.545,57.366,"Z",2.708,47.573,38
"S",74.692,48.599,"Class2",32,54,86.377,52.056,"R",0.473,45.563,40
"G",28.72,59.333,"Class1",64,82,37.059,4.332,"Z",75.176,49.565,18
"A",34.643,81.879,"Class2",67,20,31.466,53.313,"A",46.749,45.609,36
"X",46.668,40.643,"Class1",67,30,13.107,0.704,"M",95.716,73.919,16
"J",75.355,73.519,"Class2",30,35,94.041,51.108,"M",NA,43.753,42
"A",33.253,67.999,"Class2",30,17,19.644,48.336,"R",NA,47.666,36
"Z",49.042,84.335,"Class1",63,35,16.764,0.354,"R",78.736,54.403,8
"Z",38.09,74.277,"Class1",70,68,46.813,8.159,"R",49.805,87.455,31
"J",79.252,51.062,"Class2",78,21,63.68,62.283,"R",47.012,45.517,42
"Z",48.903,72.906,"Class1",65,42,23.226,7.867,"X",97.361,80.505,14
"G",46.912,56.215,"Class1",69,50,31.414,1.858,"M",75.5,57.379,3
"X",47.819,48.825,"Class1",63,63,59.023,1.508,"Z",68.213,47.327,16
"J",57.5,45.311,"Class2",74,44,66.907,62.508,"A",35.058,47.838,42
"F",28.609,98.437,"Class2",36,46,76.445,49.368,"M",10.209,48.363,36
"A",94.821,75.495,"Class2",75,16,33.474,57.468,"Y",73.341,39.516,38
"F",51.304,91.707,"Class2",41,52,65.461,60.037,"Y",12.944,38.302,38
"Z",61.896,52.35,"Class1",65,81,53.516,0.073,"C",68.376,83.973,NA
"J",85.256,92.352,"Class2",83,47,52.066,56.996,"A",47.208,47.32,NA
"Z",49.068,55.475,"Class1",64,61,30.923,1.871,"C",68.526,81.113,25
"F",56.168,96.139,"Class2",67,35,31.673,56.636,"A",83.399,39.81,38
"Z",29.067,73.19,"Class1",70,67,39.628,6.497,"X",89.288,64.254,9
"F",85.233,61.579,"Class2",69,43,33.669,62.305,"Y",23.064,40.848,38
"S",21.587,56.58,"Class2",64,38,66.6,50.605,"M",-10.302,40.773,41
"X",54.748,75.023,"Class1",64,82,29.415,6.3,"Z",85.727,39.546,20
"X",36.697,61.164,"Class1",67,70,32.977,6.002,"M",65.524,83.001,25
"R",38.897,72.885,"Class1",64,23,30.868,10.58,"X",53.19,73.383,34
"S",50.512,36.684,"Class2",70,46,33.747,62.265,"Z",57.449,47.119,42
"A",66.158,50.312,"Class2",33,41,69.705,52.966,"Y",42.873,46.841,39
"H",53.233,76.143,"Class1",67,62,60.105,6.182,"X",78.355,86.349,24
"A",40.298,71.978,"Class2",56,20,37.332,57.634,"R",52.361,39.262,43
"Z",28.836,65.352,"Class1",68,49,31.674,8.452,"Z",NA,49.52,30
"A",59.387,70.796,"Class2",54,27,95.113,57.808,"Z",61.484,40.344,39
"H",41.706,72.323,"Class1",67,41,24.741,9.32,"X",51.056,57.552,35
"J",57.57,19.128,"Class2",75,16,20.443,55.574,"Z",39.344,40.311,41
"U",93.689,65.82,"Class2",68,31,38.299,58.965,"Z",125.076,43.776,41
"A",77.046,59.164,"Class2",41,15,41.668,56.08,"Z",83.207,45.381,37
"R",43.231,78.993,"Class1",64,66,52.845,2.71,"C",73.379,52.138,30
"H",48.864,67.821,"Class1",66,46,41.028,4.478,"C",116.949,77.145,8
"X",57.405,68.057,"Class1",69,57,37.255,0.653,"R",81.417,69.257,10
"U",45.149,38.006,"Class2",40,35,20.617,59.74,"R",58.603,41.335,40
"Z",59.905,64.807,"Class1",63,62,22.604,2.823,"X",76.175,43.815,13
"Z",34.127,78.989,"Class1",64,39,10.849,8.407,"C",56.856,41.646,36
"F",45.847,78.901,"Class2",30,36,48.881,53.3,"A",42.79,40.359,41
"U",87.695,73.687,"Class2",75,27,37.63,54.586,"Z",27.535,39.571,43
"U",55.514,43.654,"Class2",76,29,62.924,56.855,"M",34.834,46.634,41
"J",60.962,24.046,"Class2",44,20,78.926,50.69,"Z",60.306,39.372,41
"S",55.516,41.25,"Class2",60,29,59.583,54.979,"M",53.202,44.85,37
"U",30.102,98.374,"Class2",58,48,81.641,56.587,"A",64.867,45.155,38
"G",43.227,56.496,"Class1",67,76,44.478,0.242,"C",62.444,77.181,17
"F",70.319,51.006,"Class2",44,35,24.868,60.504,"Z",50.625,38.741,38
