"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","Output32","G11"
62.384,5.297,83,34.293,"X",87.587,54,45,2.494,22.52,"Class1","T"
53.567,54.018,31,6.84,"C",57.231,71,24,44.933,0.976,"Class3","L"
68.481,7.938,77,41.837,"B",70.193,59,45,5.862,26.887,"Class1","R"
22.882,73.242,74,58.915,"Y",38.188,85,78,77.998,65.055,"Class2","B"
18.931,76.952,74,73.486,"L",50.084,87,59,89.082,6.703,"Class2","V"
48.889,75.03,51,120.319,"M",76.92,39,40,43.433,8.126,"Class3","L"
67.919,5.93,87,34.761,"B",53.093,60,44,1.269,25.628,"Class1","T"
65.363,15.676,82,50.957,"Q",89.699,70,44,2.708,28.284,"Class1","E"
67.031,13.203,78,32.011,"X",39.633,53,46,NA,11.752,"Class1","T"
20.631,86.656,77,62.576,"U",64.956,84,54,79.884,95.636,"Class2","B"
18.951,89.254,79,66.445,"U",NA,87,69,75.919,64.628,"Class2","C"
68.944,7.452,73,37.557,"X",40.735,51,44,NA,24.495,"Class1","R"
67.656,10.183,73,29.686,"R",40.308,53,43,8.697,26.486,"Class1","R"
62.847,10.004,88,32.595,"R",49.71,55,44,11.409,13.343,"Class1","U"
25.882,79.289,80,72.625,"L",54.66,83,92,83.092,36.134,"Class2","B"
31.192,88.512,71,65.635,"U",58.214,87,61,82.817,97.549,"Class2","E"
11.029,65.743,79,72.805,"U",62.872,88,78,82.73,37.057,"Class2","B"
63.347,13.257,78,51.4,"L",36.826,50,46,2.145,36.927,"Class1","R"
62.343,10.209,91,39.867,"B",81.227,73,43,13.862,8.572,"Class1","E"
14.159,84.18,74,35.141,"D",61.403,88,74,83.19,91.137,"Class2","C"
44.94,41.726,58,35.594,"A",61.335,37,42,42.428,50.467,"Class3","L"
62.673,13.145,89,42.479,"X",97.708,72,46,0.661,8.344,"Class1","E"
62.216,12.215,82,48.863,"L",51.393,67,43,NA,17.6,"Class1","R"
57.576,50.224,89,115.023,"C",50.849,30,32,41.274,48.1,"Class3","L"
66.035,7.573,82,40.23,"Q",96.247,66,45,5.852,20.696,"Class1","E"
54.119,86.141,67,103.995,"D",53.48,39,31,41.945,35.48,"Class3","J"
53.734,39.345,46,69.691,"M",NA,48,39,47.126,68.539,"Class3","G"
52.45,89.08,68,56.284,"A",51.649,60,36,48.024,-11.277,"Class3","Z"
63.052,16.817,86,12.903,"B",46.511,73,43,3.61,10.453,"Class1","E"
62.513,6.288,74,39.968,"R",88.541,64,46,15.488,29.119,"Class1","E"
35.528,95.471,65,35.028,"M",77.567,55,30,39.039,51.496,"Class3","Z"
25.509,86.543,80,37.464,"Y",57.172,87,56,85.467,73.435,"Class2","B"
24.174,71.856,75,62.282,"N",63.72,85,87,82.877,32.257,"Class2","H"
30.596,78.236,76,33.943,"Y",41.648,86,45,87.464,41.395,"Class2","H"
61.457,64.032,48,73.443,"C",64.302,51,21,45.909,61.147,"Class3","L"
51.452,67.368,61,49.456,"A",42.249,77,21,43.54,47.913,"Class3","J"
68.879,91.408,50,97.968,"D",51.077,74,44,44.188,47.45,"Class3","J"
72.283,90.906,46,32.678,"M",61.843,35,24,48.207,37.163,"Class3","L"
65.041,9.914,79,46.351,"R",89.952,50,46,2.664,17.873,"Class1","T"
24.596,71.879,77,70.879,"L",62.32,82,51,81.299,80.507,"Class2","B"
19.593,71.356,78,79.648,"N",51.103,86,51,88.386,47.032,"Class2","B"
63.016,16.931,71,39.7,"X",90.858,50,44,1.993,11.928,"Class1","U"
66.094,6.361,85,39.595,"X",54.574,62,46,12.607,26.362,"Class1","U"
64.602,12.122,73,35.497,"L",61.137,53,43,9.05,28.891,"Class1","U"
75.909,50.395,87,69.12,"L",80.002,30,36,44.893,24.619,"Class3","G"
17.49,74.86,71,63.571,"D",NA,84,50,85.954,42.629,"Class2","C"
42.056,53.26,48,-17.077,"A",60.751,66,25,49.524,62.882,"Class3","J"
57.701,69.009,39,27.372,"A",70.329,45,24,41.406,55.404,"Class3","Z"
67.009,11.641,89,34.415,"X",95.091,61,46,7.171,11.445,"Class1","R"
23.019,67.51,73,70.208,"U",38.308,82,68,78.496,84.885,"Class2","E"
58.609,76.031,29,7.418,"A",72.137,47,44,42.434,4.142,"Class3","Z"
62.083,10.482,90,32.09,"B",45.836,55,43,5.446,10.241,"Class1","B"
27.41,77.384,75,54.957,"D",NA,86,78,83.081,53.486,"Class2","V"
11.789,66.106,82,73.597,"L",61.724,85,52,81.567,69.238,"Class2","B"
26.061,88.608,78,51.008,"U",60.886,87,82,83.984,61.606,"Class2","V"
61.67,63.55,31,51.723,"A",77.315,50,23,51.64,64.965,"Class3","Z"
73.923,45.52,70,65.438,"C",50.427,66,32,NA,69.718,"Class3","L"
29.237,82.468,40,-9.324,"C",56.088,39,20,46.907,52.278,"Class3","G"
64.041,8.013,77,27.499,"R",37.662,73,43,5.587,34.822,"Class1","U"
22.987,83.813,78,58.15,"L",62.533,82,84,85.358,36.97,"Class2","E"
54.722,39.531,71,53.583,"A",70.647,55,37,48.298,54.907,"Class3","L"
64.931,12.1,75,29.578,"X",42.703,73,45,7.21,26.435,"Class1","B"
50.669,65.354,77,93.443,"M",74.945,72,28,43.861,55.454,"Class3","G"
31.183,71.309,73,65.907,"U",47.041,82,84,84.072,59.803,"Class2","E"
50.232,46.858,90,52.838,"D",36.044,38,43,51.302,11.323,"Class3","C"
66.008,9.328,76,41.621,"Q",32.128,63,44,6.496,2.339,"Class1","U"
64.721,14.024,81,41.836,"R",56.931,70,43,8.799,0.425,"Class1","R"
22.739,80.16,75,64.869,"Y",64.559,86,83,86.993,35.032,"Class2","E"
20.462,75.564,76,56.043,"L",53.271,85,77,81.451,46.14,"Class2","C"
67.039,7.558,89,38.452,"B",56.615,61,43,6.473,27.669,"Class1","E"
73.894,51.164,64,67.463,"L",79.886,55,17,41.812,35.226,"Class3","J"
71.524,65.851,85,56.32,"L",34.271,37,25,37.551,25.638,"Class3","Z"
24.019,50.406,52,105.343,"C",49.559,56,43,52.861,76.077,"Class3","L"
26.022,85.455,72,63.306,"N",57.021,87,64,79.791,49.507,"Class2","H"
63.011,88.076,79,70.512,"L",64.034,43,24,47.925,72.836,"Class3","G"
62.382,11.109,85,31.103,"B",93.777,51,45,8.797,30.153,"Class1","R"
11.414,82.188,82,63.096,"U",59.166,86,54,NA,30.572,"Class2","C"
66.168,16.022,85,39.843,"R",98.467,70,44,NA,14.345,"Class1","E"
26.916,71.491,91,64.108,"D",47.873,46,31,46.35,82.121,"Class3","L"
28.249,71.371,75,49.31,"N",65.662,85,66,81.115,15.269,"Class2","H"
14.831,85.25,71,57.19,"D",57.638,88,87,81.842,60.711,"Class2","B"
27.171,72.637,75,110.378,"L",40.395,85,52,79.881,48.443,"Class2","C"
65.178,11.61,91,32.098,"L",79.412,67,43,10.611,9.627,"Class1","B"
68.523,79.471,36,35.477,"L",79.372,58,27,41.912,36.361,"Class3","C"
75.535,69.47,91,72.801,"L",73.648,67,30,41.498,74.68,"Class3","L"
68.8,5.714,76,21.948,"Q",31.578,63,45,5.93,5.763,"Class1","B"
27.625,58.893,55,58.391,"D",43.115,71,28,NA,59.375,"Class3","L"
62.673,10.521,91,39.268,"L",59.309,59,45,-2.758,41.192,"Class1","E"
34.491,65.06,84,87.088,"L",51.555,34,36,49.529,18.703,"Class3","J"
11.31,69.983,76,62.097,"D",43.095,85,80,86.038,67.102,"Class2","V"
35.256,93.366,74,74.133,"A",48.279,70,41,37.865,35.842,"Class3","L"
18.83,67.391,73,48.504,"D",62.025,87,84,79.282,71.366,"Class2","E"
65.549,73.337,77,57.122,"M",64.69,59,32,48.88,88.549,"Class3","C"
31.257,80.83,73,59.189,"D",42.516,85,81,88.509,54.834,"Class2","H"
68.199,12.434,90,18.552,"Q",71.632,65,45,7.949,16.419,"Class1","R"
85.432,38.205,63,27.886,"M",45.404,58,27,NA,60.139,"Class3","Z"
15.32,91.706,79,58.596,"Y",36.777,86,45,NA,53.092,"Class2","B"
51.268,94.219,88,21.084,"A",57.915,48,37,41.723,28.896,"Class3","G"
68.951,10.091,80,32.886,"Q",49.633,61,45,7.444,43.339,"Class1","R"
65.419,13.589,89,43.133,"B",88.351,67,46,3.58,15.587,"Class1","T"
43.155,40.394,32,22.303,"M",62.328,36,33,NA,61.386,"Class3","Z"
63.938,11.356,72,39.641,"B",72.262,62,44,1.446,8.37,"Class1","B"
22.785,81.821,78,46.897,"U",43.968,87,81,82.799,28.848,"Class2","H"
85.752,43.512,70,50.276,"C",NA,30,40,42.147,14.755,"Class3","Z"
78.969,95.561,80,53.245,"D",33.242,39,20,50.235,80.312,"Class3","Z"
63.902,18.193,85,23.8,"Q",56.955,63,46,2.651,14.917,"Class1","R"
75.693,44.339,57,70.88,"L",43.806,49,22,40.293,30.785,"Class3","C"
54.44,85.1,88,-0.413,"L",69.49,55,35,40.889,45.046,"Class3","G"
67.89,14.511,86,38.436,"B",33.739,48,45,8.502,15.333,"Class1","U"
28.59,88.316,82,75.122,"U",48.908,83,63,85.928,50.886,"Class2","V"
49.828,90.562,72,45.586,"D",77.319,64,43,47.76,63.815,"Class3","L"
62.292,11.361,78,33.476,"B",30.991,48,46,5.538,34.97,"Class1","E"
64.859,15.057,75,31.164,"B",81.85,70,45,6.628,20.252,"Class1","R"
30.447,76.778,56,24.079,"D",34.764,70,18,43.434,43.301,"Class3","G"
87.997,68.401,38,44.669,"A",67.38,64,36,52.663,14.106,"Class3","G"
12.865,91.185,77,60.025,"U",53.647,88,49,82.389,50.208,"Class2","H"
19.171,86.506,77,45.989,"U",35.001,85,80,83.45,52.47,"Class2","C"
43.05,39.515,38,51.04,"C",43.548,72,31,47.4,53.137,"Class3","G"
28.522,88.386,72,74.818,"N",65.07,83,79,81.972,52.617,"Class2","C"
68.414,14.732,89,41.448,"X",46.763,50,45,7.118,20.919,"Class1","B"
29.864,76.343,77,57.921,"L",61.535,86,87,81.003,63.74,"Class2","H"
62.478,56.459,47,58.744,"L",34.654,38,19,33.861,60.656,"Class3","C"
82.701,48.075,70,95.638,"C",33.018,53,39,48.568,18.894,"Class3","L"
66.023,11.308,87,35.483,"Q",92.994,64,45,3.934,22.663,"Class1","B"
18.289,72.16,73,70.075,"N",53.821,86,45,83.944,75.097,"Class2","C"
69.386,71.174,88,100.685,"D",33.833,46,22,42.597,79.398,"Class3","L"
30.122,77.546,81,55.762,"D",56.949,87,48,80.575,49.055,"Class2","B"
64.85,13.208,72,41.1,"R",97.871,66,46,0.024,7.901,"Class1","U"
19.769,90.808,82,62.866,"Y",51.449,83,80,84.587,16.198,"Class2","V"
29.115,73.618,77,55.756,"L",45.722,86,63,86.06,60.383,"Class2","E"
17.061,65.012,80,62.554,"N",56.451,85,49,82.911,45.145,"Class2","B"
66.637,8.219,85,38.416,"X",98.82,59,45,1.678,29.162,"Class1","T"
25.533,71.427,71,66.544,"Y",41.482,88,70,83.353,64.09,"Class2","B"
12.484,67.648,82,60.091,"N",38.115,84,52,81.346,61.609,"Class2","E"
30.482,67.914,76,50.094,"U",60.079,87,75,80.73,73.412,"Class2","H"
47.718,85.5,30,123.684,"C",73.894,54,36,48.059,101.518,"Class3","L"
28.221,89.233,74,60.538,"L",NA,83,93,NA,50.118,"Class2","V"
65.82,7.182,84,37.927,"L",34.247,55,45,6.611,16.787,"Class1","B"
13.339,75.573,75,60.903,"N",41.83,82,55,80.323,62.098,"Class2","E"
62.224,11.242,78,47.238,"R",NA,62,45,3.998,6.398,"Class1","T"
63.944,19.563,79,13.651,"Q",85.945,61,44,4.487,13.363,"Class1","T"
20.956,92.196,81,66.946,"U",39.778,85,81,81.218,61.505,"Class2","C"
29.396,75.002,79,55.339,"D",42.853,85,93,83.588,49.858,"Class2","E"
65.994,5.917,77,42.212,"X",91.031,61,43,6.363,43.844,"Class1","B"
34.791,78.46,61,50.471,"D",65.261,72,30,NA,65.554,"Class3","G"
54.662,86.63,62,19.722,"M",79.248,61,31,50.174,13.359,"Class3","C"
58.194,62.973,29,68.772,"A",67.53,33,21,45.999,45.821,"Class3","G"
17.186,83.618,76,74.958,"D",38.978,83,76,79.31,56.464,"Class2","C"
62.412,17.976,80,33.58,"Q",91.129,62,44,5.493,1.382,"Class1","T"
12.938,71.694,72,79.893,"D",64.819,86,81,81.819,37.22,"Class2","H"
62.653,7.685,77,21.471,"L",86.637,57,46,NA,41.443,"Class1","U"
23.131,88.033,78,46.211,"D",48.15,86,54,83.762,52.743,"Class2","V"
52.704,93.918,29,68.974,"L",62.966,40,17,47.076,133.626,"Class3","L"
28.921,66.732,79,60.029,"U",36.599,86,72,87.806,59.959,"Class2","E"
33.583,65.229,69,44.018,"D",76.51,58,32,46.753,1.562,"Class3","G"
16.679,66.192,77,50.365,"L",NA,83,51,83.957,56.758,"Class2","H"
15.858,82.109,74,56.821,"U",36.148,82,59,84.322,69.94,"Class2","V"
63.165,10.278,74,30.715,"B",77.792,57,46,9.385,4.39,"Class1","R"
29.981,73.705,72,62.351,"D",55.861,87,77,82.742,80.133,"Class2","C"
11.285,84.334,72,57.608,"L",38.975,85,76,84.383,58.065,"Class2","E"
13.061,87.345,77,60.16,"Y",41.6,84,48,85.335,50.677,"Class2","C"
46.942,83.966,58,35.921,"L",NA,57,42,43.11,58.309,"Class3","Z"
62.01,8.538,91,39.84,"Q",96.854,58,46,9.604,8.941,"Class1","U"
34.122,78.324,29,30.575,"L",46.872,70,26,51.494,51.157,"Class3","L"
30.595,80.038,80,56.656,"D",64.583,82,91,85.681,40.406,"Class2","B"
62.542,53.066,44,50.684,"D",39.318,51,22,44.322,60.501,"Class3","C"
48.16,86.479,55,63.939,"M",47.597,51,21,51.901,45.217,"Class3","G"
18.681,84.996,77,65.633,"D",48.371,88,58,84.106,8.103,"Class2","B"
12.843,92.865,72,75.328,"Y",38.614,84,45,76.341,52.997,"Class2","H"
66.385,11.708,71,30.861,"R",62.956,53,43,12.175,10.132,"Class1","T"
63.593,19.447,80,39.278,"R",86.595,49,46,1.41,32.535,"Class1","U"
47.203,77.416,37,17.68,"L",53.113,73,43,39.614,38.554,"Class3","G"
65.069,9.711,82,25.864,"L",37.921,61,46,12.725,4.332,"Class1","B"
19.745,87.262,76,64.57,"Y",49.787,86,58,85.373,79.277,"Class2","C"
21.519,76.821,79,54.684,"Y",40.237,88,67,84.825,66.101,"Class2","B"
64.967,9.601,90,28.249,"B",41.709,52,44,6.922,3.33,"Class1","U"
64.086,7.254,90,42.244,"Q",87.726,48,44,5.091,4.94,"Class1","E"
77.864,51.224,49,32.436,"L",77.581,40,22,41.71,20.766,"Class3","Z"
19.238,69.275,78,74.064,"D",37.887,83,65,83.9,71.818,"Class2","B"
27.661,89.536,71,80.239,"L",44.456,83,74,80.252,77.841,"Class2","C"
60.588,80.616,76,66.096,"M",79.068,34,23,52.931,17.654,"Class3","J"
23.634,75.204,75,80.95,"D",57.025,84,52,84.743,54.947,"Class2","C"
26.349,82.916,73,74.049,"N",48.16,86,89,84.341,37.203,"Class2","C"
68.956,13.819,90,22.367,"B",NA,67,44,7.649,26.33,"Class1","R"
28.572,68.714,71,56.824,"U",53.539,88,74,81.683,20.194,"Class2","C"
62.595,19.363,70,26.321,"B",54.439,71,44,0.758,33.991,"Class1","R"
14.486,69.652,78,76.4,"Y",63.264,84,51,84.565,96.648,"Class2","V"
25.518,93.484,72,71.297,"L",60.905,82,50,86.044,77.837,"Class2","V"
65.67,11.735,85,35.562,"B",33.951,52,46,1.71,17.34,"Class1","E"
66.01,12.565,72,17.163,"B",29.632,67,45,5.657,15.485,"Class1","T"
64.165,10.625,77,28.048,"B",63.611,59,43,5.088,20.924,"Class1","E"
77.248,94.19,77,98.491,"D",52.982,33,26,52.497,89.051,"Class3","J"
63.251,17.839,70,37.668,"L",44.428,54,43,NA,19.753,"Class1","B"
67.99,11.527,86,41.306,"B",66.719,65,46,11.535,3.88,"Class1","E"
64.619,13.111,71,40.278,"Q",73.768,58,44,-1.839,16.083,"Class1","U"
73,39.681,45,12.359,"L",61.324,33,28,50.85,67.452,"Class3","L"
55.077,82.148,71,27.631,"C",69.41,55,24,42.791,47.447,"Class3","G"
64.427,5.557,87,28.238,"L",93.216,60,46,12.953,29.431,"Class1","B"
66.228,7.202,76,33.284,"X",73.011,72,46,7.736,11.326,"Class1","U"
72.648,78.221,29,78.857,"D",39.697,61,41,41.93,80.537,"Class3","L"
66.21,18.47,77,38.963,"L",46.246,51,44,11.354,26.474,"Class1","B"
29.451,80.311,74,56.29,"L",NA,85,59,80.184,67.781,"Class2","E"
17.802,65.771,72,64.928,"U",36.441,88,80,NA,60.135,"Class2","C"
16.145,92.095,77,55.859,"N",43.582,83,69,77.267,82.258,"Class2","E"
43.562,47.122,70,37.156,"A",48.212,39,33,41.147,69.574,"Class3","J"
20.478,67.975,76,51.654,"L",54.338,87,68,NA,89.065,"Class2","B"
73.233,70.772,38,67.109,"L",NA,42,26,44.901,79.517,"Class3","G"
64.501,8.992,89,29.334,"Q",54.508,72,46,7.476,26.112,"Class1","B"
62.203,15.395,83,25.058,"X",61.944,64,46,3.616,26.495,"Class1","T"
64.897,18.09,87,30.458,"X",NA,49,46,1.572,26.904,"Class1","E"
27.732,89.519,73,53.434,"N",65.127,82,70,82.54,70.153,"Class2","E"
21.866,66.475,80,58.268,"U",37.596,86,77,83.082,74.838,"Class2","H"
12.729,72.601,79,78.022,"L",60.367,82,88,84.603,92.123,"Class2","H"
65.031,17.979,74,34.68,"L",72.088,52,43,-2.442,21.133,"Class1","B"
19.456,85.355,79,64.102,"L",61.618,85,90,84.124,38.116,"Class2","B"
16.872,69.116,73,61.582,"D",38.361,87,63,74.498,52.516,"Class2","B"
64.599,14.152,86,34.792,"B",51.765,54,45,9.009,15.743,"Class1","T"
68.136,7.701,88,32.401,"R",94.707,64,46,11.246,10.661,"Class1","U"
12.523,65.695,78,48.494,"N",40.182,83,62,85.139,48.19,"Class2","E"
11.033,86.421,76,53.16,"L",64.503,82,55,80.959,72.435,"Class2","B"
41.613,91.881,65,72.907,"L",35.825,33,27,46.428,44.845,"Class3","L"
70.52,76.325,44,36.957,"M",43.048,51,24,NA,-18.511,"Class3","G"
37.938,45.421,73,22.406,"C",61.182,58,33,47.676,95.195,"Class3","L"
67.491,8.645,71,38.781,"L",82.161,55,45,0.724,1.924,"Class1","E"
62.059,5.244,75,31.105,"L",85.16,71,44,12.041,9.827,"Class1","T"
83.828,38.383,71,50.558,"D",40.312,77,17,49.497,71.896,"Class3","Z"
66.237,9.54,77,30.451,"B",40.535,57,43,12.156,29.023,"Class1","E"
29.664,70.796,52,66.222,"D",45.848,47,23,48.114,78.624,"Class3","L"
50.092,86.675,66,-10.001,"M",79.899,34,26,44.101,48.328,"Class3","C"
18.275,70.235,74,65.432,"D",50.732,88,87,84.73,60.522,"Class2","V"
65.166,66.458,74,13.64,"L",47.796,56,41,46.973,26.087,"Class3","L"
64.472,5.141,76,41.579,"B",94.625,62,43,6.34,26.318,"Class1","U"
64.367,13.976,88,21.989,"R",33.981,51,43,11.773,32.903,"Class1","E"
64.223,6.887,78,34.592,"Q",92.544,58,46,8.877,33.286,"Class1","E"
29.406,89.28,72,72.333,"L",61.471,86,75,85.651,44.425,"Class2","V"
39.134,72.362,76,77.572,"D",46.921,74,33,42.294,112.42,"Class3","C"
24.951,90.798,45,75.87,"A",44.424,77,43,44.449,65.436,"Class3","C"
62.741,41.595,38,23.747,"C",78.711,44,39,42.3,31.581,"Class3","J"
35.101,84.747,69,78.183,"L",74.187,38,24,42.836,68.098,"Class3","J"
13.708,92.64,82,79.623,"U",47.213,86,92,86.783,99.806,"Class2","H"
64.494,5.141,88,24.434,"B",47.616,60,46,9.183,33.325,"Class1","T"
29.225,82.4,80,60.522,"U",51.038,88,84,80.155,57.596,"Class2","C"
24.422,74.185,75,63.902,"D",54.026,85,63,86.006,67.551,"Class2","E"
14.728,68.972,82,51.402,"Y",46.118,85,86,87.887,45.62,"Class2","V"
74.193,58.456,43,10.411,"L",73.45,66,25,39.394,58.43,"Class3","Z"
25.125,92.893,74,63.399,"D",46.935,86,47,83.388,62.228,"Class2","V"
36.528,87.39,90,70.806,"A",40.554,49,25,47.356,-22.514,"Class3","J"
30.623,85.383,77,74.075,"U",57.242,83,57,81.979,36.577,"Class2","H"
18.984,81.001,81,52.953,"Y",38.972,86,54,84.667,61.736,"Class2","V"
68.433,14.512,90,31.528,"R",89.192,53,43,3.093,19.547,"Class1","B"
31.296,74.304,82,62.299,"N",61.615,85,55,91.164,67.742,"Class2","E"
63.123,6.663,88,24.061,"B",76.007,62,46,11.412,-1.886,"Class1","R"
17.514,74.699,71,72.498,"L",39.096,83,84,82.408,69.139,"Class2","V"
34.113,90.213,50,86.156,"C",56.274,51,43,45.503,13.173,"Class3","J"
62.204,19.845,84,38.629,"X",NA,58,46,10.669,29.705,"Class1","E"
65.032,7.271,70,53.029,"X",89.1,57,45,8.167,43.826,"Class1","B"
85.66,59.122,51,75.207,"L",64.342,41,41,41.671,1.775,"Class3","J"
85.29,68.001,67,31.765,"M",74.541,72,41,50.919,66.232,"Class3","C"
21.332,69.553,80,63.362,"D",45.239,87,76,84.161,53.573,"Class2","V"
41.509,82.657,56,4.656,"M",49.778,75,28,41.188,43.559,"Class3","C"
17.024,70.157,79,55.318,"L",63.423,86,66,79.972,81.562,"Class2","E"
65.081,13.772,77,18.463,"X",47.525,58,45,-0.569,55.76,"Class1","R"
63.436,14.882,89,58.191,"L",96.991,50,45,3.567,25.498,"Class1","T"
48.351,68.493,33,65.839,"M",44.681,44,28,NA,37.898,"Class3","C"
55.085,65.135,34,14.214,"M",69.49,38,20,42.655,36.752,"Class3","C"
63.792,9.391,76,37.739,"R",34.869,73,43,6.882,19.974,"Class1","U"
55.463,85.431,43,38.546,"C",32.36,64,21,45.795,77.808,"Class3","J"
76.34,50.101,30,51.686,"A",43.357,68,31,47.258,32.928,"Class3","Z"
65.68,10.267,76,23.338,"X",38.555,53,44,3.279,21.584,"Class1","E"
13.11,66.464,73,66.816,"Y",64.927,85,55,79.42,37.899,"Class2","B"
65.928,17.144,72,32.281,"X",92.812,70,46,2.929,4.129,"Class1","R"
49.527,59.346,40,60.356,"D",80.567,42,27,48.412,63.638,"Class3","J"
15.185,93.662,75,76.034,"D",44.26,86,50,82.75,58.206,"Class2","H"
67.257,19.805,77,17.369,"L",90.704,51,46,10.944,15.871,"Class1","B"
24.561,85.908,79,69.67,"U",36.807,88,69,87.208,54.3,"Class2","C"
13.872,92.207,80,65.995,"L",39.506,87,73,80.582,56.932,"Class2","E"
77.867,90.822,40,49.372,"M",42.884,75,25,45.322,83.317,"Class3","L"
67.804,11.243,80,23.241,"X",40.19,60,46,5.954,11.458,"Class1","U"
65.593,16.216,80,23.238,"X",64.731,51,46,6.309,22.377,"Class1","T"
20.331,88.943,79,52.651,"L",57.607,88,77,82.327,30.587,"Class2","C"
64.522,5.998,74,62.879,"R",30.322,55,43,2.135,7.364,"Class1","B"
21.237,71.806,76,69.172,"Y",61.982,86,53,80.641,54.045,"Class2","H"
58.772,56.714,59,45.291,"A",77.588,40,34,38.787,63.908,"Class3","G"
84.709,38.172,54,40.371,"D",68.595,35,43,43.661,59.126,"Class3","C"
62.317,19.794,81,33.804,"L",59.065,65,46,11.867,25.258,"Class1","E"
19.883,68.848,74,67.015,"D",58.657,88,88,83.97,78.721,"Class2","H"
46.362,71.09,64,37.484,"M",37.615,75,42,45.772,19.569,"Class3","L"
31.357,66.181,77,48.719,"U",65.765,82,79,85.949,64.725,"Class2","B"
14.771,85.185,73,50.931,"L",37.949,82,73,86.749,50.954,"Class2","C"
68.762,50.394,78,-10.886,"D",76.485,50,39,45.482,48.066,"Class3","J"
67.254,10.661,78,34.298,"B",30.056,59,46,5.488,16.806,"Class1","B"
15.595,69.697,76,76.617,"D",60.413,87,79,87.577,81.766,"Class2","B"
63.88,13.512,75,43.631,"X",67.456,55,43,3.787,49.869,"Class1","T"
64.521,15.521,79,26.983,"B",91.124,66,45,3.86,15.96,"Class1","U"
64.584,45.543,58,59.613,"C",74.012,43,31,36.546,30.383,"Class3","L"
13.624,68.62,79,43.992,"N",39.223,82,87,87.501,92.652,"Class2","C"
52.605,84.098,79,70.14,"M",76.706,47,41,47.712,82.43,"Class3","C"
24.654,65.025,73,61.647,"L",49.389,84,61,83.002,47.677,"Class2","V"
24.484,92.22,80,70.552,"N",51.673,87,66,82.348,88.609,"Class2","C"
14.821,77.173,74,74.419,"L",40.095,85,88,83.331,53.125,"Class2","H"
40.941,51.164,63,74.15,"L",65.403,40,35,48.589,79.584,"Class3","G"
67.853,14.768,85,45.138,"Q",38.64,52,43,10.891,32.222,"Class1","U"
71.549,62.565,61,36.293,"A",53.551,52,43,38.921,26.466,"Class3","L"
24.886,76.378,86,38.003,"A",40.109,31,29,48.657,32.996,"Class3","Z"
78.473,78.535,63,57.506,"A",36.883,41,44,47.168,62.348,"Class3","J"
52.02,83.912,60,38.186,"M",NA,42,44,47.562,41.455,"Class3","C"
32.69,59.549,65,65.156,"A",40.357,51,23,43.014,47.191,"Class3","L"
50.217,77.803,32,48.744,"A",60.49,54,17,42.982,74.965,"Class3","C"
45.548,91.24,53,77.898,"L",68.267,54,31,45.853,30.502,"Class3","C"
37.28,74.724,43,45.959,"L",33.041,56,42,42.006,90.505,"Class3","Z"
67.326,15.225,83,54.459,"Q",39.085,73,45,7.802,15.874,"Class1","T"
68.291,9.824,76,38.23,"X",59.841,48,43,7.407,24.963,"Class1","T"
66.133,5.969,74,18.281,"X",68.644,52,46,5.643,23.899,"Class1","B"
30.579,84.826,79,53.214,"D",41.116,82,47,78.334,56.792,"Class2","B"
64.7,7.244,74,40.036,"L",85.234,52,46,8.103,35.221,"Class1","T"
22.165,73.968,82,76.197,"Y",42.512,84,83,82.291,49.065,"Class2","V"
25.551,88.175,81,53.456,"L",43.427,84,48,86.68,66.227,"Class2","H"
63.266,61.486,47,42.481,"A",66.803,57,30,45.878,61.171,"Class3","L"
40.151,50.255,57,0.448,"D",40.019,39,28,42.882,45.738,"Class3","G"
82.907,55.793,86,61.959,"C",43.99,41,42,50.304,29.94,"Class3","J"
25.297,91.473,78,49.7,"Y",50.782,82,72,83.741,64.632,"Class2","H"
64.707,10.545,77,26.49,"L",44.719,54,46,10.211,18.451,"Class1","R"
66.657,15.258,89,43.158,"B",90.227,55,45,7.099,5.927,"Class1","T"
64.923,13.66,90,32.754,"B",32.493,62,45,1.216,36.816,"Class1","T"
20.333,68.962,81,75.05,"D",63.27,86,86,84.088,69.649,"Class2","C"
20.255,84.733,72,44.018,"N",50.549,84,52,81.41,110.092,"Class2","H"
65.518,18.391,82,29.41,"Q",82.236,58,46,0.938,2.621,"Class1","U"
31.034,73.768,71,69.448,"U",43.436,87,54,86.428,92.918,"Class2","H"
66.908,14.471,91,19.332,"B",NA,53,45,-2.458,19.757,"Class1","R"
64.608,7.537,80,32.192,"Q",76.474,66,46,8.179,32.539,"Class1","U"
64.107,11.806,71,27.659,"B",64.284,49,46,8.138,23.58,"Class1","T"
65.897,17.655,83,29.509,"B",52.835,63,45,6.849,21.41,"Class1","E"
29.492,87.216,81,67.992,"U",56.025,86,77,82.348,43.277,"Class2","V"
68.093,19.622,78,24.016,"Q",69.611,60,46,10.136,14.508,"Class1","R"
77.719,87.356,85,98.329,"D",54.083,69,34,50.614,48.99,"Class3","C"
21.145,69.29,80,46.19,"L",40.619,87,84,88.004,67.712,"Class2","B"
62.014,8.343,72,44.986,"R",48.154,49,43,5.995,23.145,"Class1","R"
15.113,74.811,75,68.284,"Y",58.168,88,51,79.142,86.543,"Class2","E"
66.365,16.573,83,47.354,"B",92.786,56,46,7.753,2.896,"Class1","E"
