"O1","Output14","O2","O3","O4","O5","O6","O7","O8","O9","O10","O11"
40,"Class4",52.782,67.411,47.916,35.762,13.262,"H",30,25,17.712,NA
91,"Class3",32.995,10.21,61.303,84.021,9.039,"N",47,76,20.362,"L"
24,"Class2",67.642,65.417,26.977,43.464,16.657,"L",39,87,89.146,"U"
51,"Class4",50.625,73,30.803,54.257,25.907,"D",34,18,17.667,"D"
65,"Class4",54.715,67.224,29.267,51.439,31.949,"Q",62,34,17.576,"F"
91,"Class4",15.868,68.694,32.931,53.322,33.47,"H",19,30,17.078,"D"
13,"Class1",57.667,89.511,67.876,84.375,83.617,"R",63,27,10.728,NA
53,"Class4",34.666,71.892,43.874,38.18,36.585,"H",35,40,17.842,"D"
50,"Class3",45.899,17.374,50.476,75.208,17.834,"L",41,50,19.308,"D"
62,"Class3",79.152,10.616,57.503,63.697,17.31,"W",29,57,67.41,"N"
22,"Class1",44.717,89.418,52.116,94.409,93.059,"R",91,51,7.619,"L"
81,"Class3",46.256,13.937,56.657,64,15.909,"P",23,61,33.208,"L"
34,"Class2",52.394,77.331,-12.203,78.802,62.754,"A",45,87,91.26,"K"
12,"Class1",52.156,87.833,49.568,81.873,92.522,"C",34,53,6.222,"B"
52,"Class1",72.595,91.793,61.318,81.906,93.151,"Q",42,40,6.178,"L"
37,"Class3",73.628,8.359,42.191,63.945,16.416,"X",25,84,73.644,"N"
32,"Class2",57.685,91.778,35.419,60.294,62.892,"D",44,87,90.76,"B"
27,"Class2",-2,85.391,22.523,60.383,53.931,"A",41,87,89.931,"B"
20,"Class1",56.75,79.92,42.831,94.119,65.301,"M",72,44,10.176,"B"
41,"Class1",59.453,85.125,32.045,87.202,81.605,"M",69,45,5.388,"H"
73,"Class3",100.953,12.869,59.339,77.449,21.796,"X",26,49,62.931,"D"
54,"Class1",67.13,86.802,58.073,94.174,83.877,"J",38,44,6.808,"L"
29,"Class2",54.225,70.137,21.497,74.965,26.854,"A",39,86,84.532,"K"
90,"Class4",43.76,69.165,29.963,46.042,5.282,"D",59,42,17.027,"Y"
22,"Class1",59.821,90.407,77.436,92.117,83.332,"J",54,34,8.44,"L"
20,"Class1",65.691,99.902,103.851,82.513,72.01,"J",34,51,8.491,"P"
84,"Class4",58.436,69.668,33.315,60.348,35.737,"H",39,39,17.857,"K"
29,"Class2",68.489,70.537,39.539,56.029,89.955,"R",42,86,89.305,"B"
34,"Class3",70.208,12.582,54.023,76.169,18.712,"L",34,79,55.138,"L"
80,"Class3",77.45,15.926,64.272,89.63,13.363,"P",36,86,67.839,"G"
27,"Class2",57.904,86.138,44.407,80.559,55.585,"A",45,86,87.199,"B"
82,"Class4",59.264,67.009,37.954,20.472,23.913,"Z",61,12,17.251,"K"
38,"Class2",60.988,69.688,37.181,82.164,84.079,"R",41,86,93.277,"I"
76,"Class4",36.021,69.249,36.562,37.346,41.094,"H",55,38,17.004,"Y"
21,"Class1",23.78,83.21,73.046,88.927,74.074,"C",NA,35,9.377,"B"
80,"Class4",-14.811,68.762,42.295,30.191,14.742,"Q",47,23,17.338,"F"
51,"Class3",35.962,18.11,48.789,72.1,16.52,"L",32,82,43.225,"H"
23,"Class2",57.406,88.258,21.129,50.017,41.179,"D",39,86,84.694,"E"
29,"Class2",39.09,84.941,16.682,56.86,46.048,"A",39,86,84.038,"I"
10,"Class1",56.295,93.281,92.642,92.196,80.599,"M",88,50,8.931,"P"
57,"Class4",63.708,67.386,29.502,34.449,14.544,"Z",33,45,17.68,"D"
94,"Class3",71.815,18.771,61.527,68.523,11.394,"L",63,58,53.373,"D"
83,"Class3",75.496,16.284,59.44,80.599,20.781,"X",59,86,16.996,"L"
96,"Class3",54.958,18.379,43.98,74.815,16.459,"W",64,81,39.237,"G"
65,"Class3",52.242,20.923,52.394,62.894,13.977,"N",NA,92,90.989,"D"
75,"Class3",44.972,13.91,58.142,68.168,13.333,"X",48,61,45.519,"G"
24,"Class2",73.472,72.172,25.943,60.716,80.749,"R",40,86,92.988,"U"
30,"Class3",-0.038,14.768,57,70.581,24.89,"P",27,59,70.721,"G"
55,"Class1",80.083,83.144,35.014,86.648,90.545,"C",41,28,11.218,"H"
33,"Class1",45.9,86.203,65.749,83.228,88.76,"J",33,51,11.269,"G"
59,"Class1",43.084,79.641,42.404,79.94,84.277,"R",56,47,9.181,"P"
28,"Class2",68.357,73.707,33.338,58.555,43.272,"D",42,87,91.529,"U"
23,"Class2",78.082,83.676,28.563,75.286,60.165,"A",40,86,87.369,"E"
18,"Class1",50.27,86.037,102.375,86.468,80.986,"R",65,37,11.05,"B"
65,"Class4",75.047,67.015,33.834,61.831,17.047,"Z",51,29,17.637,"F"
72,"Class4",51.427,72.77,36.22,21.905,17.212,"D",42,32,17.202,"K"
67,"Class4",47.101,71.946,33.115,63.624,37.221,"D",62,36,17.26,"F"
38,"Class2",61.288,80.991,43.851,68.585,53.809,"B",40,87,92.479,"U"
68,"Class4",29.976,69.317,41.875,39.226,29.561,"P",60,41,17.611,"E"
9,"Class1",65.31,83.411,-11.632,79.524,83.154,"Q",71,34,8.672,"B"
69,"Class4",54.637,72.24,34.28,46.935,24.263,"Q",40,25,17.691,"Y"
49,"Class4",37.414,67.066,31.606,35.782,21.948,"Z",43,26,17.808,"Y"
41,"Class3",59.029,20.867,54.605,79.605,18.732,"W",27,88,22.911,"D"
49,"Class4",30.877,72.594,33.868,39.169,0.609,"D",43,41,17.537,"D"
90,"Class3",85.526,18.29,55.9,78.961,11.649,"W",62,47,57.59,"H"
31,"Class2",62.235,91.352,34.645,54.09,145.58,"R",40,87,91.957,NA
93,"Class3",53.992,12.747,76.896,82.713,13.737,"P",33,60,40.824,"G"
53,"Class4",55.839,69.95,45.8,31.726,46.424,"H",54,31,17.093,"F"
38,"Class2",46.776,79.217,9.716,69.221,65.394,"D",39,86,86.614,"U"
44,"Class3",23.163,20.807,57.368,62.69,19.031,"P",28,56,81.216,"N"
77,"Class4",46.985,72.454,35.126,53.867,27.921,"H",38,39,17.576,"D"
73,"Class3",36.031,8.378,47.452,72.047,22.49,"W",35,49,32.12,"N"
90,"Class4",29.115,68.078,33.852,40.674,25.908,"P",49,19,17.324,"F"
34,"Class1",53.992,90.684,14.292,84.509,73.483,"C",44,50,11.548,"B"
20,"Class1",47.476,97.036,95.474,86.863,86.934,"M",35,36,10.349,"B"
52,"Class1",45.793,94.226,49.248,90.674,80.91,"Q",43,39,5.188,"L"
81,"Class3",59.64,11.603,60.083,68.914,17.718,"W",52,57,18.442,"G"
55,"Class4",41.221,69.984,38.867,32.334,29.667,"Q",43,44,17.6,"E"
86,"Class4",63.417,70.368,43.11,35.365,33.084,"Q",39,48,17.193,"D"
26,"Class2",32.775,75.587,16.646,78.378,32.168,"B",42,87,93.09,"E"
59,"Class3",114.68,14.261,58.266,63.707,8.717,"X",53,43,83.539,"G"
71,"Class4",49.854,72.366,33.162,50.458,25.695,"P",37,42,17.228,"D"
29,"Class2",25.806,82.549,27.748,47.549,94.869,"B",39,86,87.257,"B"
36,"Class3",66.966,9.103,55.498,84.323,9.748,"P",16,62,64.76,"H"
35,"Class2",72.411,80.142,7.666,72.338,26.143,"A",NA,86,89.3,"B"
88,"Class4",40.731,72.422,49.234,57.578,34.595,"Q",32,19,17.472,"F"
51,"Class3",55.268,15.357,50.664,69.645,11.774,"X",46,48,33.69,NA
88,"Class3",66.6,15.156,59.756,83.672,25.49,"L",41,88,45.713,"G"
50,"Class1",43.367,86.473,34.71,90.997,86.98,"Q",35,26,5.69,"G"
63,"Class3",65.461,9.868,62.514,63.29,19.285,"X",57,92,93.513,"D"
44,"Class4",47.427,68.796,37.956,13.915,19.049,"D",20,15,17.496,"E"
72,"Class3",25.668,11.035,57.72,75.528,15.467,"N",61,66,82.145,"L"
33,"Class1",61.985,88.197,81.156,94.592,73.801,"R",68,55,5.525,"G"
15,"Class1",71.164,94.489,116.155,79.638,79.339,"Q",45,53,10.622,"P"
83,"Class3",60.288,16.574,67.6,89.668,10.956,"W",18,45,47.541,"D"
32,"Class2",67.254,70.144,37.762,51.732,92.927,"D",43,86,88.653,"U"
46,"Class4",52.683,69.447,33.602,16.409,24.475,"Z",56,34,17.838,"F"
69,"Class3",49.534,14.158,58.243,63.482,21.131,"P",36,57,90.519,"L"
79,"Class3",79.605,12.456,50.059,81.285,20.689,"P",42,90,37.297,"L"
92,"Class3",120.917,17.123,64.11,71.667,17.69,"W",40,80,68.576,"D"
26,"Class2",66.549,79.85,17.729,74.228,78.868,"A",44,86,86.788,"B"
47,"Class1",60.894,80.812,43.751,92.349,72.027,"R",79,43,5.764,"G"
59,"Class4",36.025,70.397,46.968,35.396,17.874,"D",51,27,17.377,"E"
48,"Class3",21.991,20.872,62.963,89.565,14.199,"P",19,59,19.903,"H"
91,"Class3",75.803,19.737,64.212,66.276,23.062,"X",62,79,19.092,"D"
35,"Class2",25.234,81.424,7.122,79.185,39.234,"A",40,86,93.548,"K"
57,"Class1",40.7,85.529,45.239,94.969,93.321,"R",73,51,8.327,"H"
88,"Class3",42.384,11.309,58.063,81.118,9.511,"N",20,75,29.731,"H"
80,"Class3",37.055,8.163,63.022,62.687,9.717,"X",58,57,66.286,"N"
40,"Class3",41.668,8.926,55.518,63.282,13.772,"W",39,46,66.478,"D"
89,"Class3",50.186,12.933,54.586,72.116,14.637,"W",24,85,86.72,"D"
42,"Class1",69.55,92.496,47.037,91.212,81.396,"J",76,50,7.482,"B"
87,"Class3",32.583,20.804,54.302,83.61,9.523,"W",61,81,88.833,"D"
46,"Class4",53.461,71.273,39.543,45.076,42.043,"P",53,46,17.921,"F"
18,"Class1",59.535,92.267,70.319,80.211,79.238,"R",53,45,10.205,"L"
24,"Class2",55.382,93.32,32.906,72.111,48.018,"A",45,86,90.382,"I"
54,"Class1",56.58,92.796,28.366,80.384,78.714,"M",44,52,8.312,"P"
44,"Class3",31.577,9.428,62.708,85.587,8.291,"N",17,89,14.044,"H"
94,"Class3",38.809,12.104,68.293,64.116,21.165,"P",37,92,55.751,"D"
30,"Class3",86.266,11.077,53.601,64.181,7.664,"W",63,77,73.94,"H"
35,"Class2",88.421,87.258,20.159,85.283,78.068,"R",42,86,92.028,"I"
23,"Class2",53.6,91.968,23.139,73.875,77.223,"B",44,86,87.016,"K"
53,"Class1",55.565,95.047,37.569,90.145,78.623,"M",42,25,9.578,"P"
41,"Class1",66.561,97.988,31.071,84.191,57.575,"Q",89,54,5.104,"B"
31,"Class1",80.728,80.443,26.554,84.303,89.249,"C",85,33,7.218,"B"
23,"Class2",45.302,64.758,29.391,44.793,73.062,"B",43,86,84.978,"I"
42,"Class1",62.99,90.65,45.253,90.378,80.53,"J",53,41,6.804,"H"
88,"Class3",94.546,15.268,64.216,83.31,17.139,"N",51,92,76.734,"H"
90,"Class3",17.293,10.261,56.64,75.288,12.89,"N",30,50,81.167,"H"
40,"Class4",63.826,70.036,36.881,44.167,34.594,"H",29,33,17.338,"D"
25,"Class1",48.863,98.865,70.576,91.008,91.779,"Q",68,38,10.577,NA
74,"Class3",78.467,20.396,53.281,68.649,17.355,"N",21,43,95.27,"H"
77,"Class4",38.619,70.05,35.848,44.387,29.379,"P",59,20,17.885,"Y"
27,"Class2",21.162,77.453,51.827,55.883,50.135,"A",41,86,92.074,"I"
68,"Class3",52.198,13.169,50.285,75.671,11.951,"P",30,91,34.485,"L"
50,"Class3",76.993,16.549,66.369,69.84,20.462,"N",48,77,23.921,"G"
32,"Class2",95.093,84.728,18.91,49.058,45.723,"D",43,86,88.536,"B"
44,"Class1",33.138,82.838,21.916,85.219,87.762,"R",33,35,7.533,"L"
93,"Class4",45.792,68.792,43.813,50.255,-1.446,"Z",19,44,17.829,"D"
50,"Class1",41.541,87.616,-20.436,94.319,98.286,"Q",55,50,7.101,"P"
12,"Class1",60.117,95.608,95.852,91.975,78.277,"M",59,54,5.162,"B"
31,"Class1",64.053,80.341,34.393,91.258,86.129,"C",30,45,11.666,"P"
81,"Class4",61.019,72.468,37.218,50.826,21.538,"H",39,38,17.886,"E"
80,"Class4",38.704,69.752,29.603,14.805,28.452,"Q",54,45,17.236,"K"
24,"Class2",36.749,74.367,12.223,42.828,71.127,"D",40,86,92.39,NA
54,"Class4",41.957,68.98,33.884,30.14,7.795,"Z",28,18,17.529,"F"
45,"Class4",57.413,70.915,40.962,45.743,30.365,"Q",33,21,17.808,"E"
57,"Class1",50.204,86.636,106.659,84.123,76.919,"R",30,47,8.232,"B"
59,"Class1",40.457,84.174,72.094,91.633,102.94,"R",49,24,6.103,"G"
46,"Class1",34.673,86.656,33.188,89.627,78.993,"C",55,43,5.062,"P"
27,"Class2",42.296,75.956,1.265,75.02,35.817,"B",45,87,84.838,"K"
17,"Class1",43.067,96.463,9.4,82.877,80.42,"Q",45,40,6.594,"L"
30,"Class2",33.614,85.362,41.902,59.649,70.804,"R",41,86,84.472,"E"
26,"Class2",56.766,86.707,39.266,50.107,44.924,"D",41,86,91.369,"U"
77,"Class4",13.778,67.047,35.764,49.955,32.95,"D",50,37,17.286,"E"
73,"Class4",36.866,70.487,44.891,61.719,26.778,"P",24,45,17.665,"D"
47,"Class1",50.758,87.217,49.045,81.337,75.163,"C",49,49,10.924,"G"
82,"Class3",67.337,18.171,74.48,85.958,15.181,"P",61,52,17.804,"D"
31,"Class2",72.641,77.686,41.686,47.92,69.36,"R",45,87,87.992,"K"
59,"Class3",16.384,12.519,60.015,85.217,19.126,"P",36,65,41.561,"L"
55,"Class1",53.824,86.111,45.11,81.318,87.087,"Q",61,46,10.17,NA
52,"Class3",40.233,17.929,68.356,66.591,20.196,"P",41,49,25.116,"G"
55,"Class4",56.008,68.092,38.377,32.926,21.739,"Q",34,27,17.686,"K"
43,"Class3",55.687,13.373,60.181,79.785,13.705,"N",18,70,34.635,"G"
21,"Class1",47.875,81.133,71.234,80.871,80.069,"M",90,37,9.764,"G"
71,"Class3",43.154,20.736,70.186,68.248,16.77,"X",20,47,46.847,"H"
36,"Class2",54.355,92.86,30.277,69.202,48.671,"L",40,86,89.249,"B"
57,"Class1",72.484,87.718,27.828,80.917,76.195,"Q",52,34,8.45,"P"
61,"Class4",4.388,68.784,34.215,62.139,10.112,"Z",42,19,17.112,"F"
9,"Class1",44.569,93.977,75.586,80.466,77.685,"J",37,33,6.74,"B"
37,"Class1",35.263,81.455,19.603,80.769,83.157,"J",88,52,10.756,"G"
48,"Class3",116.117,18.014,57.21,78.969,9.432,"L",26,84,35.868,"N"
59,"Class4",33.987,71.965,44.848,41.944,18.578,"P",36,20,17.376,"K"
34,"Class2",82.235,92.31,24.472,71.157,41.815,"A",39,87,84.95,"B"
29,"Class1",58.771,83.178,94.204,93.227,97.353,"C",62,30,5.997,"L"
77,"Class3",54.275,13.589,67.971,72.163,16.622,"L",16,89,63.358,"H"
68,"Class4",70.784,68.6,36.495,20.22,22.308,"H",39,25,17.282,"D"
38,"Class2",16.338,83.247,-1.696,34.138,34.627,"R",45,87,92.039,"I"
40,"Class3",25.829,14.202,46.638,66.55,9.215,"W",28,86,11.351,"G"
18,"Class1",49.769,91.517,70.781,90.549,87.691,"R",62,46,5.863,"P"
65,"Class3",42.584,14.607,57.788,73.608,13.685,"L",17,82,11.646,"G"
48,"Class3",53.629,13.006,50.887,62.763,13.627,"P",23,86,69.042,"G"
49,"Class4",43.226,68.071,47.214,28.381,23.048,"Z",NA,29,17.484,"Y"
67,"Class3",26.844,8.699,60.121,83.428,23.218,"X",25,88,23.477,"H"
48,"Class1",33.255,88.819,112.514,94.709,89.523,"C",83,35,7.89,"G"
30,"Class2",59.994,80.417,13.586,75.884,81.764,"R",42,87,88.283,"K"
23,"Class2",41.372,65.589,5.311,37.968,57.683,"A",41,87,86.737,NA
38,"Class2",29.363,92.571,35.325,72.765,85.537,"R",45,87,91.528,"K"
34,"Class2",-9.237,75.843,23.36,61.881,68.602,"L",43,86,85.867,"E"
35,"Class2",67.929,92.019,42.712,71.693,54.528,"A",45,87,93.859,"K"
61,"Class4",45.08,72.105,43.015,46.914,24.688,"D",NA,30,17.893,"E"
83,"Class4",35.126,69.336,40.939,13.772,33.907,"D",52,28,17.06,"D"
94,"Class3",103.02,14.504,59.035,73.538,18.718,"W",32,56,30.039,"N"
30,"Class2",59.579,68.111,30.117,78.677,37.817,"L",40,86,91.858,"B"
29,"Class1",46.911,93.666,12.339,82.853,83.79,"C",45,25,9.217,NA
43,"Class4",61.392,67.556,39.166,61.459,10.511,"D",19,22,17.066,NA
73,"Class4",55.111,69.001,37.078,51.696,34.236,"Q",38,27,17.525,"Y"
44,"Class3",32.668,17.948,55.563,70.017,17.626,"X",16,90,22.171,NA
81,"Class4",34.789,67.887,37.944,39.082,19.273,"H",27,16,17.446,"K"
71,"Class4",39.221,67.67,39.137,54.451,12.678,"Z",30,14,17.53,"Y"
36,"Class3",47.934,19.453,62.841,63.393,15.78,"X",59,45,38.059,"G"
55,"Class3",58.924,8.952,51.906,80.193,13.084,"N",42,54,53.994,NA
11,"Class1",49.098,80.231,19.893,79.157,76.292,"M",57,44,9.577,"G"
23,"Class2",52.485,86.013,13.718,60.868,39.902,"R",42,87,85.217,"I"
58,"Class4",46.843,67.136,35.523,58.177,14.875,"H",61,24,17.628,"F"
53,"Class4",60.365,67.647,34.334,32.942,21.87,"Q",42,31,17.052,"F"
35,"Class2",55.416,63.131,31.868,71.829,79.656,"L",45,87,93.291,"U"
46,"Class4",0.489,69.696,36.686,33.478,16.936,"H",53,46,17.642,"E"
91,"Class3",59.922,20.166,61.5,68.011,20.106,"P",41,61,33.615,"N"
56,"Class4",52.977,71.476,34.737,55.031,14.258,"P",36,15,17.432,"E"
14,"Class1",52.702,85.006,-12.48,80.525,76.042,"Q",39,27,11.077,"H"
47,"Class4",60.072,68.18,44.411,39.13,16.302,"P",52,39,17.065,NA
49,"Class3",17.79,11.522,48.887,71.219,13.77,"L",54,73,50.177,"L"
15,"Class1",68.981,80.584,61.996,79.837,81.721,"Q",78,46,7.218,"L"
56,"Class4",49.032,71.444,31.576,30.467,24.833,"Q",22,33,17.297,"K"
84,"Class4",3.918,70.979,31.673,26.843,11.881,"P",56,33,17.826,"D"
83,"Class4",49.734,72.768,44.517,36.401,34.172,"P",57,35,17.179,"Y"
92,"Class4",42.154,68.202,30.522,47.481,34.749,"Z",44,48,17.047,"E"
25,"Class2",67.653,82.891,23.799,63.239,65.074,"L",41,87,85.242,"U"
13,"Class1",43.176,96.569,62.134,88.527,66.036,"M",34,34,5.058,"B"
37,"Class2",64.007,92.068,40.481,53.985,100.545,"A",44,87,91.184,"I"
67,"Class4",31.448,67.863,31.335,36.089,34.663,"Z",39,40,17.377,"K"
25,"Class2",76.046,79.353,57.038,76.199,62.616,"D",42,86,93.434,"E"
76,"Class4",28.13,72.13,44.253,51.517,8.29,"H",49,16,17.593,"K"
35,"Class2",62.825,70.961,8.711,65.635,59.254,"A",40,87,85.483,"E"
12,"Class1",63.678,86.18,58.493,80.98,72.302,"C",68,32,5.822,"H"
33,"Class3",17.727,14.343,65.566,88.8,18.676,"N",35,92,93.48,NA
68,"Class4",44.424,71.041,33.407,46.03,9.601,"Q",48,39,17.349,"Y"
58,"Class3",61.232,10.793,55.91,73.566,16.007,"X",39,79,94.581,"H"
34,"Class2",36.135,78.171,0.421,67.772,78.9,"D",43,87,87.563,"K"
52,"Class1",40.27,83.527,41.601,86.349,70.629,"C",41,51,10.998,"L"
42,"Class3",48.896,12.657,71.554,90.235,14.244,"N",50,46,15.495,"D"
25,"Class2",68.54,68.029,16.204,77.74,57.376,"B",41,87,89.906,"B"
40,"Class3",76.411,20.344,54.164,88.33,16.955,"X",36,63,77.564,"G"
29,"Class2",42.393,74.608,27.514,59.798,43.21,"B",NA,86,84.39,"U"
77,"Class3",12.838,20.371,58.925,63.815,12.845,"N",51,45,46.55,"H"
18,"Class1",71.123,94.575,98.04,80.929,86.932,"C",75,53,9.437,"P"
36,"Class2",49.614,85.702,27.127,41.458,103.852,"A",44,87,87.278,"B"
73,"Class3",81.473,12.456,56.435,62.875,15.766,"X",36,60,95.205,"N"
45,"Class4",21.585,70.563,33.993,50.123,11.692,"D",29,22,17.693,"K"
72,"Class3",71.236,11.833,62.934,61.049,16.705,"W",44,85,78.261,"N"
86,"Class4",2.555,67.806,32.886,50.217,27.621,"P",44,14,17.962,NA
29,"Class2",83.86,73.875,-15.976,69.685,83.925,"A",NA,86,86.445,"U"
24,"Class2",64.19,83.377,25.617,45.186,56.228,"B",40,86,93.586,"K"
32,"Class2",82.376,63.664,25.591,47.739,59.027,"A",41,87,85.49,"B"
95,"Class3",29.527,11.141,56.761,83.323,13.224,"L",52,71,48.186,"L"
40,"Class1",53.595,88.372,117.92,91.585,92.404,"J",90,45,5.482,"B"
36,"Class2",79.008,63.817,50.923,47.037,76.366,"L",41,87,86.969,"I"
45,"Class4",54.187,72.081,43.028,40.522,30.848,"Z",47,48,17.523,"K"
89,"Class4",53.339,67.985,33.389,54.421,45.493,"P",23,20,17.365,"K"
49,"Class1",65.637,88.73,95.83,80.69,69.209,"M",70,33,10.632,"B"
60,"Class4",17.231,70.95,37.036,60.277,32.45,"Z",35,27,17.864,"D"
40,"Class4",35.302,68.51,34.464,31.348,22.574,"Z",57,36,17.57,"F"
82,"Class4",22.123,72.451,40.372,41.462,28.972,"D",21,33,17.003,"D"
84,"Class3",39.166,15.111,67.431,66.474,20.671,"W",20,69,34.491,"H"
53,"Class4",34.923,68.645,38.557,19.52,9.085,"D",NA,16,17.939,"D"
35,"Class1",60.003,85.962,33.651,79.092,85.187,"J",74,26,11.051,"H"
23,"Class2",63.622,68.133,5.929,38.977,54.484,"B",41,86,91.86,"U"
42,"Class4",45.371,68.147,41.006,36.662,21.552,"D",34,37,17.327,"F"
65,"Class3",71.579,20.235,65.62,72.994,14.398,"W",27,78,90.601,"D"
33,"Class1",28.879,81.64,55.099,93.076,85.698,"C",63,45,7.631,"P"
24,"Class2",68.16,63.068,1.23,56.29,121.219,"R",39,86,90.267,"K"
28,"Class1",80.291,80.651,71.802,95.845,78.589,"M",66,45,5.322,"P"
46,"Class1",50.517,90.708,72.551,88.846,83.346,"Q",76,36,9.729,"H"
33,"Class2",37.578,88.723,22.411,82.296,78.718,"L",45,86,88.707,NA
36,"Class1",64.885,88.796,56.724,85.87,80.144,"C",39,26,8.614,"B"
87,"Class4",41.929,69.666,29.111,45.793,19.35,"D",48,20,17.822,"D"
67,"Class3",89.117,14.355,51.929,64.301,12.183,"W",29,76,32.015,"D"
58,"Class4",15.167,71.803,37.685,60.057,8.251,"Q",30,40,17.549,"D"
76,"Class4",35.977,70.289,41.412,23.133,39.34,"H",25,48,17.075,"K"
46,"Class3",8.823,10.755,59.856,77.546,12.537,"P",45,77,13.235,NA
43,"Class4",53.685,68.913,42.98,14.145,40.128,"Z",55,46,17.138,"Y"
62,"Class4",1.112,67.089,37.22,30.414,35.308,"Z",23,29,17.225,"F"
36,"Class2",52.828,65.142,14.692,47.108,63.717,"D",45,86,89.497,"E"
29,"Class1",44.844,88.699,39.362,91.24,77.884,"M",NA,34,6.004,"H"
26,"Class2",106.321,92.256,3.459,43.402,68.336,"L",40,87,90.586,"U"
85,"Class4",56.349,71.736,35.921,53.055,20.295,"H",56,17,17.431,"K"
64,"Class3",52.124,20.976,61.106,69.387,15.329,"X",44,58,15.191,"N"
35,"Class3",64.82,13.985,46.997,68.489,31.381,"N",53,44,53.468,"L"
65,"Class4",0.763,71.56,33.323,46.353,23.133,"Q",33,48,17.956,"D"
62,"Class3",86.52,8.539,50.091,87.262,19.173,"X",22,63,51.381,"D"
79,"Class4",49.625,72.736,33.336,57.97,39.313,"H",NA,25,17.915,"Y"
11,"Class1",51.725,99.927,50.851,88.042,89.964,"J",64,35,9.483,"B"
37,"Class2",52.315,83.235,23.64,69.308,44.352,"L",43,87,92.862,NA
83,"Class3",84.007,15.295,51.052,66.869,4.164,"W",20,73,54.426,"G"
30,"Class2",83.984,81.041,8.903,76.265,9.008,"B",40,86,92.634,"U"
49,"Class3",74.4,13.006,56.871,61.396,17.031,"P",33,73,39.288,"L"
30,"Class3",15.631,12.934,50.817,66.091,20.742,"P",26,88,77.106,"H"
92,"Class3",33.984,16.083,61.356,77.419,16.121,"W",53,63,18.678,"D"
34,"Class2",70.74,84.254,-7.95,76.042,73.027,"L",42,87,93.784,NA
52,"Class1",65.116,87.112,50.073,91.534,79.857,"J",50,29,8.045,"G"
68,"Class4",61.431,71.962,41.492,17.417,15.236,"P",31,42,17.635,"E"
54,"Class4",44.429,71.85,28.214,51.135,16.062,"H",58,39,17.398,"F"
27,"Class1",37.695,95.402,100.483,85.819,88.061,"M",49,55,7.633,"B"
62,"Class3",86.972,20.565,52.876,89.169,14.465,"X",36,83,50.307,"L"
46,"Class3",43.562,15.781,58.326,79.287,3.484,"L",37,46,66.356,"L"
81,"Class3",53.655,14.552,58.731,76.752,15.831,"P",28,85,75.095,"H"
33,"Class3",76.656,15.573,45.189,68.869,9.81,"X",20,79,91.377,"N"
42,"Class1",46.459,96.602,53.432,94.093,97.142,"M",29,34,9.479,"L"
69,"Class4",53.086,70.915,43.467,51.866,7.549,"P",53,30,17.236,"Y"
55,"Class1",53.779,89.281,32.911,85.3,81.23,"R",49,49,11.442,"B"
13,"Class1",68.151,88.322,36.511,88.824,68.683,"M",90,30,8.164,"P"
11,"Class1",58.087,92.325,19.559,81.966,91.497,"J",74,35,10.468,"B"
58,"Class4",39.085,70.198,36.806,15.828,4.836,"Q",37,43,17.535,"K"
27,"Class1",61.432,86.481,23.313,86.116,71.347,"J",79,24,11.322,"B"
55,"Class1",56.693,92.978,99.62,93.281,77.441,"J",39,46,8.585,"G"
37,"Class1",36.649,87.626,19.037,82.434,86.895,"M",54,31,6.329,"G"
67,"Class4",45.433,67.887,41.238,18.684,-2.119,"D",42,20,17.239,"F"
81,"Class4",1.537,72.298,30.432,26.161,31.798,"Z",32,12,17.014,"E"
43,"Class3",20.875,17.981,52.683,87.268,14.693,"X",NA,76,11.413,"H"
35,"Class2",65.025,68.239,39.056,64.03,30.182,"A",NA,86,89.334,"I"
60,"Class4",43.556,68.589,30.751,54.711,24.806,"P",32,13,17.896,"K"
20,"Class1",50.543,97.972,36.708,87.656,73.011,"J",29,44,8.596,"B"
30,"Class2",64.134,82.04,32.737,44.285,53.723,"B",39,87,88.244,"B"
33,"Class1",63.811,96.22,10.057,92.118,91.075,"C",77,36,10.135,"L"
83,"Class3",66.733,8.274,54.549,81.684,19.885,"L",30,91,11.024,"H"
14,"Class1",53.166,96.059,40.427,92.161,72.645,"J",72,34,9.571,"P"
37,"Class2",37.261,91.585,1.769,43.269,70.208,"D",43,86,92.919,"B"
31,"Class2",87.918,74.385,16.695,34.165,59.532,"D",39,87,85.226,"B"
44,"Class4",26.013,72.87,37.538,20.539,41.459,"D",44,20,17.503,"K"
24,"Class2",41.05,86.212,16.026,43.396,92.389,"D",43,86,87.859,"U"
53,"Class4",13.57,67.332,38.659,58.302,41.322,"D",49,25,17.921,"Y"
24,"Class2",49.37,88.639,23.111,70.745,76.917,"L",41,87,93.885,"E"
69,"Class4",15.636,72.105,33.897,42.51,17.85,"P",23,38,17.873,"F"
47,"Class1",64.248,89.996,45.885,86.294,87.561,"Q",37,52,6.946,"P"
35,"Class2",63.263,90.746,24.561,43.022,102.401,"D",40,87,92.414,NA
75,"Class4",64.981,70.785,41.143,17.368,48.547,"Q",38,35,17.693,"K"
32,"Class3",77.814,19.584,56.883,67.708,6.562,"W",17,90,21.837,"L"
35,"Class3",66.918,10.698,58.205,65.055,12.843,"L",54,69,60.423,"L"
36,"Class2",43.821,69.574,36.57,41.964,72.282,"A",45,87,90.328,"B"
