"S1","S2","S3","S4","Output18","S5","S6","S7","S8","S9","S10","S11"
16,62.302,55.127,69,"Class2",6,66.687,67.181,"I","J",69.562,62.186
28,70.894,43.407,64,"Class2",84,59.098,87.903,"I","R",80.563,44.057
32,54.143,45.872,74,"Class2",39,82.932,71.806,"I","C",80.602,31.208
50,56.053,45.045,39,"Class3",32,95.48,13.46,"W","D",66.245,29.267
50,55.102,43.052,49,"Class3",27,96.775,29.679,"O","O",67.597,46.091
44,68.229,66.208,66,"Class2",22,62.692,43.927,"C","Y",74.383,21.088
6,45.485,70.336,66,"Class2",69,68.726,55.06,"C","C",74.936,75.8
39,60.641,22.466,71,"Class2",79,59.759,55.535,"F","Y",71.976,34.09
77,77.074,68.179,25,"Class1",57,31.305,19.416,"F","G",45.682,57.596
76,78.771,64.366,39,"Class1",46,30.322,16.749,"P","G",57.995,56.848
47,56.581,51.962,43,"Class3",23,92.054,1.077,"K","Q",65.883,47.085
80,77.797,69.569,46,"Class1",47,32.552,32.94,"N","Y",69.317,45.016
43,54.292,51.321,49,"Class3",27,95.293,4.247,"W",NA,66.485,64.422
46,56.604,53.441,48,"Class3",32,93.948,-2.888,"O","D",67.038,25.686
81,80.415,72.627,45,"Class1",41,32.241,37.082,"F","Y",40.022,54.045
3,78.199,31.78,70,"Class2",27,60.883,74.637,"C","Y",69.783,78.138
30,37.483,29.035,68,"Class2",61,77.489,68.539,"I","J",68.205,59.038
79,80.788,73,21,"Class1",46,26.963,36.523,"U","O",31.494,52.399
82,79.989,63.601,8,"Class1",47,32.024,22.698,"F","G",38.924,49.377
42,55.562,75.818,NA,"Class2",61,94.145,62.483,"C","K",73.589,7.087
30,77.702,45.829,68,"Class2",34,53.895,56.914,"V","C",63.577,66.919
81,72.237,67.478,16,"Class1",50,29.971,18.777,"F","G",49.043,53.377
77,72.622,71.926,16,"Class1",57,26.855,33.738,"H","O",42.034,51.443
42,50.299,48.519,44,"Class3",19,92.174,28.241,"R","H",65.65,93.479
42,21.469,34.122,72,"Class2",15,57.395,62.487,"L","K",63.522,65.766
50,55.014,40.34,NA,"Class3",18,96.925,5.01,"N","D",67.48,31.338
51,50.68,45.127,38,"Class3",33,93.956,4.32,"R","O",67.297,60.528
50,55.433,56.269,46,"Class3",33,97.518,15.948,"K","F",66.044,37.045
10,85.798,89.917,64,"Class2",75,91.859,54.435,"V","R",71.517,58.925
46,55.882,50.24,50,"Class3",26,96.861,-0.535,"N","H",67.631,95.312
44,58.23,45.591,35,"Class3",20,93.347,4.808,"K","Q",67.594,55.64
12,59.154,59.546,73,"Class2",53,51.13,59.494,"I","Y",77.268,13.599
77,74.486,71.207,22,"Class1",48,30.356,30.724,"N","J",53.728,42.064
23,82.079,29.442,73,"Class2",13,59.998,56.813,"F",NA,79.174,6.96
42,53.439,54.515,46,"Class3",29,96.766,26.955,"K","O",66.454,62.75
38,60.654,33.978,72,"Class2",73,80.073,46.916,"I","Y",75.536,75.62
48,58.405,35.981,76,"Class2",5,66.059,70.379,"F","Y",84.325,19.387
44,56.207,37.328,41,"Class3",22,93.75,28.104,"N","O",66.693,83.948
82,77.894,63.168,24,"Class1",52,27.269,21.7,"N","Y",48.261,57.383
7,42.237,81.379,69,"Class2",73,90.764,60.767,"I","K",66.06,17.315
6,43.79,69.385,74,"Class2",8,80.957,65.555,"I","K",69.724,92.714
76,72.01,62.949,36,"Class1",57,29.433,26.369,"U","G",60.849,42.629
9,63.321,89.955,65,"Class2",52,82.116,85.287,"V","R",75.921,19.908
44,56.608,52.806,35,"Class3",32,95.243,3.988,"R","O",67.084,79.026
78,77.113,66.749,32,"Class1",55,27.314,28.921,"F","G",33.447,56.108
43,55.181,86.104,76,"Class2",24,74.986,75.909,"F","C",72.973,17.207
25,52.182,29.098,64,"Class2",88,73.158,63.851,"F","R",76.349,60.294
32,57.039,77.799,76,"Class2",95,86.894,62.092,"L","R",73.242,27.485
81,76.454,67.275,17,"Class1",49,30.484,18.78,"H","G",58.111,41.199
35,76.929,52.353,66,"Class2",19,67.401,65.679,"I","K",68.022,56.037
14,79.555,81.266,70,"Class2",88,91.074,74.266,"L","C",69.194,84.438
49,56.063,43.168,50,"Class3",33,96.545,20.666,"R","H",67.271,64.171
77,78.813,68.061,9,"Class1",55,30.511,11.781,"P","G",52.379,41.851
46,53.378,38.079,41,"Class3",24,94.835,32.688,"W","O",67.081,61.936
80,83.385,62.94,11,"Class1",54,29.256,35.957,"H","X",64.562,54.275
76,75.531,72.531,33,"Class1",46,26.921,25.615,"N","Y",38.431,51.071
48,54.794,35.168,42,"Class3",20,96.158,21.349,"N","O",66.529,38.638
82,77.501,62.374,7,"Class1",57,33.315,38.304,"P","J",42.619,40.014
44,50.855,61.207,73,"Class2",11,70.799,56.145,"L","C",77.351,89.603
46,50.919,53.238,70,"Class2",75,63.962,34.046,"V","C",78.325,24.963
48,54.7,51.684,NA,"Class3",32,97.44,22.026,"K","D",67.075,49.93
24,97.462,47.516,70,"Class2",61,53.529,66.048,"V","J",73.088,21.245
82,73.533,72.575,40,"Class1",52,33.9,13.229,"P","G",35.39,52.365
79,75.823,72.162,26,"Class1",49,26.764,39.74,"H","G",48.708,58.587
76,83.003,74.621,17,"Class1",57,26.533,18.047,"F","J",42.511,56.364
4,71.845,62.455,NA,"Class2",45,79.089,79.226,"F","Y",73.501,43.817
44,53.747,59.443,44,"Class3",28,92.85,13.658,"N","O",66.889,85.314
45,58.451,43.944,44,"Class3",23,92.607,14.574,"R","H",66.171,35.087
78,73.443,63.911,6,"Class1",58,27.808,23.671,"H","O",51.462,56.469
76,83.023,64.782,45,"Class1",44,27.846,30.881,"U","Y",44.226,47.117
38,75.883,60.453,65,"Class2",38,78.335,44.64,"L","J",67.303,33.655
81,72.232,63.647,44,"Class1",40,27.254,37.803,"N","G",63.062,57.444
80,79.471,73.333,15,"Class1",55,32.366,36.384,"H","Y",59.832,41.747
44,56.005,42.095,34,"Class3",29,97.31,5.436,"K","F",65.991,40.966
79,80.21,70.153,43,"Class1",40,31.12,32.273,"P","Y",50.223,44.82
80,83.361,62.052,39,"Class1",55,33.61,29.19,"N","X",79.374,58.425
46,52.404,38.922,35,"Class3",26,92.791,21.299,"O","D",66.06,34.21
4,54.188,32.488,64,"Class2",60,84.547,65.02,"I","C",75.858,10.077
50,57.441,52.357,40,"Class3",25,97.365,21.526,"O","H",67.675,64.332
79,76.974,68.638,32,"Class1",58,30.194,34.723,"N",NA,48.375,43.806
51,55.184,59.251,37,"Class3",26,93.018,15.106,"K","F",66.762,71.884
49,51.702,38.984,35,"Class3",32,95.412,16.705,"K","D",67.454,71.602
45,54.45,59.983,NA,"Class3",29,92.85,12.542,"K","O",66.873,68.684
45,53.021,59.547,34,"Class3",21,97.487,10.018,"R","D",67.269,71.188
76,73.111,67.406,24,"Class1",48,31.579,30.092,"F","Y",61.784,42.598
81,75.17,74.558,27,"Class1",47,32.277,9.034,"U","O",64.183,43.944
3,77.24,91.442,66,"Class2",13,79.103,68.258,"F","J",71.127,55.025
78,74.088,64.861,27,"Class1",55,30.079,31.092,"U","X",51.369,59.289
80,80.414,72.784,42,"Class1",52,28.666,23.873,"U","J",55.737,52.644
21,64.007,23.484,70,"Class2",79,86.61,68.29,"I","Y",71.725,72.043
46,67.592,71.748,64,"Class2",8,84.267,51.569,"F",NA,86.249,51.871
42,57.846,44.779,42,"Class3",26,96.364,17.456,"W","H",65.365,54.302
10,90.438,56.77,68,"Class2",69,67.252,55.816,"V","R",71.927,30.465
81,76.649,71.141,NA,"Class1",54,31.609,16.409,"U","G",49.257,40.067
82,78.594,65.24,23,"Class1",42,31.845,18.608,"F","J",40.639,47.681
81,74.109,71.715,30,"Class1",57,28.118,27.56,"P","Y",49.186,57.806
79,80.564,64.754,28,"Class1",47,32.625,31.883,"U","G",53.561,40.441
38,65.082,50.961,71,"Class2",28,70.912,75.561,"C","R",75.341,6.579
9,49.929,54.47,74,"Class2",92,52.775,42.027,"I","K",76.508,48.174
19,51.245,55.141,73,"Class2",71,52.069,84.565,"F","J",62.833,8.624
7,48.659,86.34,70,"Class2",12,56.311,54.961,"I","C",68.155,81.674
76,76.111,66.827,20,"Class1",42,26.931,42.644,"F","O",46.022,44.225
42,52.609,39.495,46,"Class3",22,93.4,14.444,"O","Q",67.89,30.768
46,56.417,58.058,39,"Class3",22,95.205,6.904,"R","O",67.316,76.715
80,81.911,66.292,29,"Class1",54,26.617,16.411,"N","X",57.712,39.973
3,59.962,30.488,69,"Class2",88,83.888,81.868,"F","Y",75.233,61.39
44,59.233,62.927,66,"Class2",91,73.595,35.239,"V","K",61.345,12.984
46,58.352,55.574,40,"Class3",26,93.55,3.698,"N","Q",66.986,34.399
39,84.725,37.962,73,"Class2",60,73.76,77.352,"V","K",64.263,85.165
78,81.188,72.504,12,"Class1",45,28.469,21.62,"P","Y",44.923,53.7
33,77.407,26.543,67,"Class2",13,77.286,63.86,"I","R",79.201,16.62
51,53.708,44.658,33,"Class3",25,96.561,18.031,"O",NA,67.382,27.455
48,55.932,35.76,48,"Class3",30,92.284,3.904,"O","H",66.677,45.011
50,56.102,35.451,47,"Class3",20,92.18,11.424,"W","O",66.014,52.144
46,56.337,56.88,48,"Class3",23,94.479,16.818,"O","H",67.555,92.141
50,51.071,39.066,47,"Class3",24,95.518,17.245,"N","H",67.679,29.883
78,77.783,63.251,13,"Class1",41,33.734,21.144,"H","O",34.599,54.015
45,74.995,55.607,74,"Class2",63,85.809,75.421,"L",NA,67.318,57.938
82,76.263,69.953,NA,"Class1",41,33.493,14.489,"H","X",49.049,60.997
45,52.318,39.639,48,"Class3",26,92.021,10.845,"K","O",67.624,83.053
78,74.176,70.714,10,"Class1",45,28.278,49.044,"H","Y",63.678,57.764
25,38.992,82.694,70,"Class2",85,75.386,54.88,"F","J",68.279,43.232
18,76.214,84.849,72,"Class2",64,81.033,77.556,"L","J",75.204,74.729
25,91.651,78.913,72,"Class2",96,62.082,55.371,"F","R",69.476,25.633
78,74.223,66.99,21,"Class1",52,26.84,27.578,"P","X",51.677,58.556
12,24.416,32.331,75,"Class2",96,84.997,82.636,"L","R",69.969,72.359
43,71.014,85.14,68,"Class2",42,88.757,59.676,"V","C",68.868,78.122
0,49.945,54.587,75,"Class2",61,55.07,82.372,"C","C",74.445,40.583
44,53.795,53.135,35,"Class3",33,97.735,6.337,"R",NA,67.301,85.129
77,78.432,71.015,19,"Class1",58,33.892,21.77,"P","G",42.142,41.001
51,53.956,40.344,50,"Class3",24,93.721,6.458,"W","D",68.235,56.626
47,57.492,46.994,39,"Class3",31,93.083,22.87,"K","H",66.675,54.226
76,74.32,68.382,17,"Class1",47,27.024,20.077,"F","J",55.237,54.828
79,84.941,74.163,7,"Class1",42,33.771,15.383,"F","J",42.108,40.11
47,55.54,49.857,30,"Class3",24,94.999,16.34,"K","Q",67.311,52.711
76,72.13,71.51,46,"Class1",42,31.079,5.599,"N","J",44.231,51.322
42,58.442,52.869,65,"Class2",4,69.275,53.736,"V","Y",74.381,39.768
46,54.186,45.89,NA,"Class3",22,96.377,8.064,"N","Q",67.667,26.754
77,75.375,62.013,39,"Class1",44,26.356,12.016,"F","J",48.122,39.838
44,51.836,47.196,30,"Class3",21,92.506,15.373,"K","F",65.764,94.918
80,78.086,63.848,28,"Class1",48,33.115,30.361,"U","Y",22.647,39.66
48,24.237,83.072,68,"Class2",58,80.439,60.552,"C","K",71.901,58.624
79,74.049,62.719,24,"Class1",44,26.577,12.51,"F","Y",40.966,55.204
82,83.305,64.086,7,"Class1",44,31.434,28.202,"P","X",61.515,50.132
50,52.106,54.804,37,"Class3",20,94.963,21.221,"W","Q",66.905,53.737
44,55.196,50.159,41,"Class3",20,93.169,13.857,"O","F",67.305,30.512
76,70.476,62.669,43,"Class1",49,30.409,16.042,"P","G",55.075,50.158
43,55.204,56.735,31,"Class3",32,94.609,12.56,"N","Q",67.571,78.717
27,49.662,21.022,64,"Class2",22,84.337,61.458,"C","Y",74.305,89.738
34,50.171,30.431,NA,"Class2",91,56.582,31.567,"C","Y",62.131,43.784
76,75.736,68.123,17,"Class1",57,28.442,35.737,"F","O",23.851,43.654
8,50.81,86.907,68,"Class2",22,69.472,67.544,"F","Y",74.569,14.972
79,79.659,74.483,8,"Class1",48,28.92,24.63,"N","J",42.471,47.487
42,53.568,38.359,47,"Class3",28,97.42,11.268,"O","F",67.998,43.154
43,53.558,56.363,30,"Class3",29,94.217,8.179,"O","H",68.165,77.649
43,55.155,52.994,44,"Class3",20,97.944,3.653,"K","F",66.861,41.565
3,72.775,62.175,70,"Class2",34,72.49,49.719,"L","J",68.271,47.355
45,56.884,58.926,40,"Class3",18,94.494,1.314,"N","O",67.65,60.913
79,80.05,69.864,32,"Class1",41,28.129,23.638,"U","Y",52.364,54.582
77,74.713,70.534,33,"Class1",49,26.972,26.461,"F","X",42.29,45.315
81,76.122,69.077,NA,"Class1",49,30.149,33.865,"F","X",45.159,51.078
79,79.455,62.138,12,"Class1",41,31.016,32.854,"H","O",39.397,57.894
27,29.889,29.72,71,"Class2",33,85.699,60.768,"V","K",74.033,48.584
51,56.78,48.024,35,"Class3",25,94.416,9.783,"R","D",67.936,81.119
76,77.817,71.508,19,"Class1",41,28.071,26.31,"P","G",49.589,58.384
20,19.687,52.06,72,"Class2",60,81.401,50.879,"F","R",75.078,7.33
51,56.658,50.4,NA,"Class3",27,97.8,1.214,"N","F",67.111,49.34
47,55.42,44.59,45,"Class3",27,94.246,17.742,"N","F",66.981,25.805
47,56.334,36.964,50,"Class3",30,94.351,-2.314,"K","Q",66.355,79.191
43,55.392,41.784,32,"Class3",24,92.663,14.474,"W","F",66.743,92.998
51,56.813,58.95,33,"Class3",30,96.744,5.936,"W","H",67.428,75.764
46,54.397,40.568,30,"Class3",28,92.157,6.912,"O","H",65.957,67.242
42,53.72,58.829,37,"Class3",21,97.624,20.847,"N","Q",67.278,77.921
1,75.43,90.946,69,"Class2",5,83.36,45.386,"F","C",72.058,9.366
45,51.974,36.006,36,"Class3",29,96.284,24.539,"W","Q",68.088,87.985
79,71.609,62.702,43,"Class1",51,32.833,34.524,"N","O",51.6,59.095
5,73.871,36.983,73,"Class2",9,72.445,67.221,"V","C",84.095,29.089
82,75.978,63.961,10,"Class1",44,33.404,28.891,"H","O",29.957,46.312
77,77.141,66.278,40,"Class1",45,30.84,31.943,"P","J",59.048,51.847
45,54.034,40.845,NA,"Class3",28,93.148,15.163,"O",NA,65.904,75.406
45,53.957,42.214,34,"Class3",25,96.946,25.176,"R",NA,66.037,30.509
79,76.662,69.807,34,"Class1",42,27.232,22.252,"F","O",48.349,57.407
19,23.809,43.845,71,"Class2",62,72.525,52.975,"I","C",70.684,53.7
21,38.12,23.516,71,"Class2",91,50.604,50.522,"V","R",60.076,46.69
45,57.063,54.157,50,"Class3",31,95.914,8.915,"O","Q",67.717,94.765
49,55.391,44.688,45,"Class3",22,95.597,12.225,"R","Q",67.984,25.062
21,54.816,60.269,74,"Class2",85,83.068,38.863,"F","C",74.394,24.242
45,58.243,58.296,63,"Class2",98,72.475,55.914,"C","K",63.145,65.494
82,78.002,73.693,13,"Class1",51,31.97,19.802,"P","Y",47.747,60.354
47,57.814,48.891,33,"Class3",31,97.454,1.503,"O","D",67.021,27.673
40,61.682,58.623,68,"Class2",44,94.704,38.733,"I","K",78.924,88.217
47,53.739,54.246,41,"Class3",20,95.719,18.773,"K","F",67.043,71.486
79,74.525,71.821,39,"Class1",49,28.275,36.311,"U","X",59.779,42.108
13,63.788,77.364,73,"Class2",85,92.843,23.734,"V","Y",77.365,53.08
77,79.184,65.727,35,"Class1",50,29.023,16.688,"H","X",47.916,39.64
46,52.806,57.952,40,"Class3",20,93.076,-0.686,"R","H",67.74,89.848
81,75.086,62.971,8,"Class1",53,30.291,26.141,"U","J",51.098,41.824
46,52.694,42.738,30,"Class3",28,92.586,12.445,"R","Q",67.593,41.707
46,55.51,47.002,31,"Class3",24,97.296,-2.87,"O","Q",66.254,85.434
25,49.641,34.383,70,"Class2",96,81.485,70.194,"V","Y",66.598,77.312
45,59.332,37.002,30,"Class3",32,92.562,8.334,"K",NA,67.174,74.364
79,74.222,71.706,23,"Class1",55,33.774,19.438,"H","G",52.556,45.245
80,77.684,66.011,6,"Class1",46,32.898,18.802,"N","Y",32.829,47.999
82,72.311,65.984,36,"Class1",53,27.408,39.173,"P","X",52.155,40.11
80,75.216,68.167,37,"Class1",53,28.484,26.376,"U","X",48.899,58.959
46,55.167,45.517,37,"Class3",21,96.976,2.335,"N","F",67.109,60.912
77,80.193,62.417,20,"Class1",57,32.196,29.269,"F","Y",39.949,46.156
30,64.42,37.281,NA,"Class2",97,60.255,43.122,"I","Y",69.022,47.098
44,52.338,53.223,41,"Class3",20,95.506,10.375,"O","D",66.628,83.736
51,70.601,56.549,76,"Class2",82,83.192,41.653,"C","C",77.108,89.096
50,52.888,57.168,36,"Class3",29,92.6,16.669,"W","F",68.05,32.127
50,56.542,46.039,46,"Class3",21,93.972,24.187,"N","O",66.027,55.618
16,48.872,27.398,69,"Class2",12,72.71,64.991,"I","C",79.219,52.826
46,76.845,23.351,64,"Class2",29,84.641,56.664,"C","J",65.987,11.274
77,73.684,63.609,15,"Class1",46,29.796,19.66,"P",NA,54.04,56.191
17,59.555,65.865,65,"Class2",71,74.386,62.965,"L","R",74.938,68.418
76,81.562,68.721,20,"Class1",47,31.573,18.474,"F","J",59.777,53.378
81,81.816,64.053,NA,"Class1",56,33.177,35.045,"H","G",36.13,52.716
30,28.532,33.852,72,"Class2",34,75.612,56.258,"I","Y",75.354,69.62
7,39.924,55.678,70,"Class2",55,60.968,52.89,"I","Y",64.568,61.326
40,48.773,71.359,69,"Class2",7,51.306,40.555,"F","R",70.876,27.706
42,55.477,57.183,44,"Class3",23,94.134,12.187,"O","Q",66.916,43.616
27,46.618,62.205,76,"Class2",42,62.692,79.139,"F","J",80.164,32.139
44,55.814,41.008,41,"Class3",23,95.539,15.709,"N","F",66.59,86.689
79,79.838,65.47,31,"Class1",57,29.626,51.065,"U","X",45.724,53.199
44,54.871,37.388,47,"Class3",33,94.248,10.523,"R","F",68.215,69.182
6,74.702,60.005,66,"Class2",69,79.128,58.388,"C","J",76.837,42.797
76,73.318,74.855,42,"Class1",46,28.626,35.33,"U","J",44.771,41.493
30,47.16,31.248,74,"Class2",40,76.008,60.025,"C","R",66.474,52.46
78,76.648,64.757,8,"Class1",41,33.992,25.051,"U","J",77.04,43.162
50,53.553,44.582,30,"Class3",28,94.111,25.695,"O","H",67.587,70.564
41,62.355,53.34,64,"Class2",51,84.742,66.991,"C","K",66.954,13.251
79,77.478,73.184,38,"Class1",45,32.009,24.638,"F","G",32.73,55.759
45,92.43,69.121,74,"Class2",54,50.556,75.421,"V","Y",74.012,86.386
45,55.139,44.941,41,"Class3",22,95.369,22.161,"K","O",67.328,35.613
1,73.556,55.576,70,"Class2",59,89.067,57.286,"I","R",69.84,28.115
8,61.247,49.233,64,"Class2",4,70.31,79.371,"C","Y",59.153,81.926
81,72.88,68.586,8,"Class1",40,30.515,19.419,"H","X",53.526,59.006
50,56.09,44.678,NA,"Class3",24,93.46,11,"N","O",67.291,93.957
77,74.413,64.049,45,"Class1",40,28.691,33.221,"N","X",53.821,56.747
42,54.907,47.495,35,"Class3",26,95.028,19.665,"K","D",66.573,30.027
77,86.506,71.905,NA,"Class1",40,27.54,25.552,"P","G",48.787,40.455
0,75.389,56.456,74,"Class2",41,52.876,64.136,"L","K",75.289,18.023
44,55.745,52.248,NA,"Class3",32,97.864,14.318,"N","F",66.984,32.472
77,75.627,72.749,23,"Class1",44,28.299,24.728,"N","X",61.472,47.318
11,47.234,79.871,70,"Class2",80,87.824,43.482,"V","K",72.984,14.71
6,67.306,25.789,74,"Class2",8,70.44,63.998,"L","Y",68.33,32.811
79,73.532,62.176,43,"Class1",46,30.218,38.78,"P","J",42.669,55.673
45,54.26,48.934,38,"Class3",28,95.076,8.15,"K","H",66.509,27.376
78,78.647,67.92,NA,"Class1",47,29.629,33.014,"N","J",41.744,42.216
28,40.441,53.837,64,"Class2",67,84.557,47.136,"F","R",74.304,65.424
43,56.432,44.144,38,"Class3",21,93.99,12.817,"R","D",67.419,87.118
4,60.847,34.47,71,"Class2",37,61.548,96.627,"I","Y",72.572,34.955
50,56.669,50.941,42,"Class3",26,95.704,25.227,"K","O",66.746,72.726
44,55.121,47.296,31,"Class3",21,93.975,10.239,"O","F",65.863,33.019
14,38.386,75.31,76,"Class2",34,92.495,53.315,"I","R",76.146,7.118
78,81.551,73.799,36,"Class1",42,28.995,16.868,"F","G",34.268,51.665
50,53.736,38.662,31,"Class3",20,95.187,16.062,"K","Q",66.942,79.987
47,55.718,44.641,35,"Class3",27,96.319,14.294,"K","F",67.127,87.129
82,78.479,71.005,10,"Class1",44,30.424,34.977,"H","X",57.948,49.325
22,80.667,40.706,70,"Class2",21,64.197,65.845,"C","J",77.077,22.299
42,55.246,46.009,30,"Class3",22,94.853,21.164,"K",NA,66.995,52.707
44,58.065,47.939,49,"Class3",29,93.033,20.418,"W",NA,67.398,61.883
46,54.698,38.885,38,"Class3",31,95.976,19.893,"O","D",66.824,63.025
46,19.681,38.538,66,"Class2",50,81.077,64.952,"I","Y",68.234,17.312
46,53.136,59.886,47,"Class3",30,94.835,-1.064,"O","O",67.493,75.179
47,55.504,51.037,36,"Class3",29,95.808,2.32,"R","D",67.815,30.578
46,59.703,88.178,71,"Class2",64,54.905,48.151,"F","J",74.173,27.479
44,51.368,45.016,48,"Class3",18,96.023,12.733,"O","H",65.222,61.585
79,76.64,73.902,9,"Class1",58,26.727,12.662,"H","J",39.728,59.509
81,75.984,64.119,20,"Class1",49,31.29,17.923,"H","J",52.353,43.127
36,82.186,38.27,69,"Class2",79,75.772,73.045,"I","C",79.588,33.143
80,81.4,69.016,35,"Class1",45,26.791,21.289,"N","Y",58.729,49.513
79,72.777,70.312,16,"Class1",41,28.778,39.221,"H","J",26.977,57.723
42,53.631,51.061,NA,"Class3",21,94.565,5.633,"O","Q",67.581,38.563
47,56.57,47.252,47,"Class3",31,95.728,17.993,"O","D",66.449,40.525
28,53.95,57.22,68,"Class2",36,59.031,51.324,"F","C",71.512,32.085
44,33.205,43.004,68,"Class2",79,81.488,43.96,"I",NA,67.987,73.136
80,75.868,62.994,36,"Class1",43,27.477,37.003,"U","Y",53.278,58.819
76,71.804,68.615,26,"Class1",58,30.953,46.397,"P","X",49.031,43.104
33,81.714,42.805,73,"Class2",56,60.355,49.056,"V","K",76.766,76.435
78,77.5,64,24,"Class1",56,26.126,42.126,"H","Y",39.432,59.217
14,37.177,85.475,70,"Class2",80,93.632,45.453,"F","J",76.34,23.84
28,61.852,52.016,76,"Class2",52,54.263,52.928,"I","C",71.723,81.716
50,51.429,53.89,34,"Class3",20,96.08,5.615,"N","O",66.408,91.596
42,55.723,48.493,34,"Class3",22,95.901,11.001,"W",NA,66.486,39.705
80,75.2,66.427,44,"Class1",53,27.645,27.24,"P","G",41.593,45.588
81,76.093,70.374,12,"Class1",49,30.332,43.842,"U","X",60.561,54.998
19,44.524,38.459,75,"Class2",65,65.492,80.92,"F","C",66.297,20.413
18,8.448,72.266,70,"Class2",87,88.942,44.971,"I","Y",69.403,58.979
78,78.385,72.978,31,"Class1",52,26.35,40.211,"F","X",26.932,50.71
33,72.744,50.171,67,"Class2",49,90.316,59.451,"I","K",64.174,75.326
50,57.28,36.073,68,"Class2",85,92.495,62.345,"V","K",69.053,34.844
80,71.947,67.915,15,"Class1",47,29.426,20.174,"N","Y",56.948,55.809
78,73.95,63.95,46,"Class1",40,31.612,24.725,"F","Y",40.556,55.181
44,53.919,56.707,36,"Class3",26,94.24,23.719,"W","O",66.183,53.711
77,79.191,66.621,6,"Class1",53,33.931,16.655,"H","Y",43.635,56.744
28,80.626,23.568,66,"Class2",37,85.997,82.069,"V","K",70.019,36.57
76,74.358,74.477,16,"Class1",41,27.072,23.527,"U","J",48.735,44.301
45,56.826,43.364,37,"Class3",19,95.226,1.885,"R","H",65.739,64.259
78,79.216,67.202,14,"Class1",53,32.454,1.385,"H","J",44.014,41.144
82,76.877,71.422,33,"Class1",55,29.922,-3.715,"U","Y",44.421,53.528
76,78.076,69.816,11,"Class1",51,29.306,24.57,"P","G",64.711,58.451
41,68.332,63.158,68,"Class2",23,72.299,64.225,"C","J",70.12,72.953
79,82.712,65.676,12,"Class1",47,27.182,28.446,"P","Y",47.029,43.037
24,25.731,81.426,68,"Class2",85,93.933,41.569,"L","J",71.547,64.009
76,78.954,62.892,NA,"Class1",46,30.056,16.537,"N","G",46.408,41.157
80,76.407,64.662,23,"Class1",55,28.262,26.123,"P","O",56.364,52.46
42,53.519,44.389,39,"Class3",26,93.671,21.372,"K","O",66.22,58.761
81,71.649,68.91,28,"Class1",46,27.287,37.059,"F","X",56.927,41.022
11,75.51,66.476,66,"Class2",84,78.277,80.551,"F","J",62.146,18.486
49,95.803,65.403,72,"Class2",34,54.211,71.992,"F","C",71.527,22.211
81,77.216,73.348,41,"Class1",47,32.164,14.262,"U","Y",49.344,44.104
80,81.094,69.334,43,"Class1",48,31.024,7.008,"P","J",44.499,56.076
76,82.687,67.714,44,"Class1",46,30.751,25.479,"N",NA,57.87,51.553
78,75.16,65.017,45,"Class1",52,28.225,34.277,"H","J",68.083,56.893
79,71.586,71.581,7,"Class1",48,28.189,24.986,"F","G",39.458,47.19
32,45.1,26.575,70,"Class2",49,54.811,49.9,"F","K",66.303,42.981
77,80.859,63.778,12,"Class1",50,32.114,34.87,"N","G",36.837,52.87
80,78.34,73.038,11,"Class1",57,32.489,22.372,"F","O",43.437,47.182
24,74.145,76.048,63,"Class2",56,75.163,53.817,"L","K",73.208,44.19
80,76.613,73.66,41,"Class1",45,29.151,35.767,"H","J",48.919,43.922
35,83.551,81.144,73,"Class2",32,92.1,55.115,"F","J",75.566,86.786
10,59.263,89.935,72,"Class2",94,64.372,63.338,"L","C",63.147,74.411
78,73.458,74.725,18,"Class1",49,27.146,37.253,"P","J",42.201,51.368
28,58.396,42.214,68,"Class2",84,74.642,80.475,"L","C",80.215,82.583
82,75.665,69.654,37,"Class1",50,33.923,40.601,"U","G",41.463,40.378
80,73.982,71.392,34,"Class1",54,33.857,30.103,"F","O",49.719,51.662
76,74.495,69.035,40,"Class1",47,33.617,15.476,"U","G",43.46,46.218
79,79.173,65.61,44,"Class1",57,28.699,36.953,"H","O",56.487,43.324
44,57.113,52.738,44,"Class3",24,95.901,19.753,"O","O",67.053,46.806
48,55.164,50.548,31,"Class3",23,95.344,20.175,"W","F",67.281,45.156
78,73.695,64.329,29,"Class1",52,33.362,10.585,"H","X",42.514,43.26
50,56.681,41.912,39,"Class3",31,92.819,6.217,"K",NA,67.564,80.101
29,52.316,73.697,71,"Class2",86,56.637,58.172,"C","C",59.216,87.946
10,77.044,31.519,72,"Class2",59,93.733,62.604,"I","C",71.019,59.364
47,51.861,52.477,47,"Class3",27,95.734,16.624,"N","Q",67.49,92.236
78,71.798,70.699,10,"Class1",41,27.403,22.68,"N","O",60.767,54.031
33,48.177,45.188,69,"Class2",52,65.126,74.133,"L",NA,71.761,23.285
37,55.101,54.294,67,"Class2",50,49.465,52.789,"C","K",78.214,51.488
76,75.133,62.107,39,"Class1",51,33.025,10.264,"H","X",41.079,42.008
15,44.404,24.381,70,"Class2",25,96.614,38.066,"L","J",69.622,23.91
78,79.59,67.338,19,"Class1",53,33.627,25.544,"H","X",43.32,51.038
8,56.671,92.116,67,"Class2",48,75.276,49.905,"V","C",73.672,64.252
30,96.412,46.721,63,"Class2",52,82.223,66.113,"I","Y",70.686,11.365
76,81.239,70.692,43,"Class1",44,27.145,9.228,"F","Y",53.389,40.458
