"H1","H2","H3","H4","H5","H6","H7","H8","H9","Output33","H10","H11"
30.204,73.735,52.544,45,92.879,"U",41.994,39,53.67,"Class2",21,"I"
31.491,59.839,77.818,52,95.96,"X",60.537,36,53.619,"Class2",26,"N"
30.46,58.691,43.483,22,80.129,"T",16.108,39,44.288,"Class2",19,"I"
31.451,71.133,73.021,52,30.45,"N",16.347,50,16.63,"Class2",33,"I"
29.285,63.574,66.355,86,86.686,"S",74.583,12,82.279,"Class1",13,"T"
30.538,63.073,80.28,15,46.246,"T",27.942,54,45.723,"Class2",28,"R"
28.753,61.018,21.197,66,85.479,"B",25.572,86,66.241,"Class1",11,"G"
32.222,52.792,82.18,31,61.836,"N",22.833,47,24.102,"Class2",30,"X"
27.667,61.677,24.917,71,83.233,"M",65.112,55,68.853,"Class1",37,"G"
30.848,79.14,77.649,28,31.184,"N",56.105,50,33.743,"Class2",18,"R"
29.626,65.962,61.832,68,86.565,"H",12.825,60,76.506,"Class1",37,"A"
31.369,55.653,87.324,36,68.314,"M",58.15,38,76.722,"Class2",18,"R"
26.165,62.966,95.82,85,85.398,"G",85.295,18,55.612,"Class1",9,"T"
28.311,65.917,107.731,86,83.218,"H",82.083,53,29.024,"Class1",34,"V"
24.279,63.259,57.868,74,86.585,"H",39.39,58,81.599,"Class1",36,"T"
31.861,63.895,58.793,27,49.424,"U",43.445,40,59.019,"Class2",21,"R"
30.003,47.458,61.378,42,53.082,"X",11.349,37,45.094,"Class2",29,"I"
30.541,63.199,43.071,80,84.99,"B",18.758,45,102.722,"Class1",26,"V"
31.519,65.492,69.511,44,38.668,"U",26.874,52,20.62,"Class2",21,"N"
26.957,61.915,35.329,87,86.03,"G",69.034,82,43.311,"Class1",28,"V"
31.222,52.004,57.389,24,53.586,"X",-8.259,52,80.964,"Class2",33,"I"
31.941,58.035,41.411,25,92.12,"N",24.763,53,48.626,"Class2",29,"N"
23.774,61.907,107.27,87,85.85,"S",45.714,71,65.704,"Class1",25,"V"
27.18,63.839,82.06,87,83.435,"M",85.117,23,62.471,"Class1",30,"Y"
28.625,62.559,84.113,73,87.736,"G",53.41,36,118.548,"Class1",24,"A"
31.711,51.406,34.692,33,84.515,"T",24.385,48,13.923,"Class2",32,"X"
32.435,71.278,75.878,53,72.594,"T",11.229,42,48.355,"Class2",18,"X"
32.118,66.043,9.666,48,87.255,"T",35.399,42,69.204,"Class2",26,"I"
30.35,54.521,72.804,28,65.082,"X",52.658,39,23.23,"Class2",32,"R"
32.857,50.599,87.87,14,73.451,"X",65.821,36,53.784,"Class2",32,"U"
25.415,63.73,53.357,86,83.235,"H",44.394,65,83.122,"Class1",31,"V"
30.322,72.053,35.597,31,32.713,"T",53.254,54,81.307,"Class2",17,"R"
29.781,65.137,69.203,71,83.259,"G",90.45,50,95.147,"Class1",13,"G"
30.803,55.348,65.688,27,72.368,"U",44.976,42,40.944,"Class2",31,"R"
29.893,62.905,62.442,77,84.981,"G",20.846,29,59.187,"Class1",25,"G"
28.696,64.274,69.04,66,85.284,"G",88.951,39,83.927,"Class1",18,"V"
30.792,NA,17.828,13,63.48,"M",39.557,53,36.989,"Class2",23,"R"
25.112,64.122,38.356,74,86.905,"G",53.763,39,60.798,"Class1",11,"Y"
31.227,66.975,71.917,42,92.098,"N",38.914,42,32.871,"Class2",34,"I"
29.308,62.754,46.364,83,86.589,"M",76.431,30,64.991,"Class1",38,"G"
30.057,72.196,84.616,41,63.573,"T",45.014,46,64.991,"Class2",24,"N"
31.474,73.882,63.083,26,83.367,"U",32.149,52,68.534,"Class2",29,"N"
31.446,52.099,49.619,15,41.589,"N",4.351,45,48.737,"Class2",17,"R"
30.663,48.707,38.384,30,67.928,"X",53.778,39,51.312,"Class2",18,"I"
30.225,NA,66.187,20,53.313,"X",37.811,50,59.749,"Class2",21,"X"
32.695,79.141,34.838,44,70.628,"X",37.95,52,62.331,"Class2",33,"N"
24.516,62.119,64.782,80,87.491,"M",38.171,45,77.75,"Class1",15,"G"
27.242,61.484,61.39,78,87.244,"M",73.349,37,68.454,"Class1",10,"G"
26.592,65.824,119.033,66,84.124,"B",54.148,35,63.8,"Class1",11,"Y"
26.035,62.363,52.883,74,85.428,"M",40.334,84,68.94,"Class1",20,"Y"
31.745,NA,48.174,35,83.307,"X",64.913,39,48.086,"Class2",27,"N"
23.496,65.405,67.194,69,84.405,"S",72.023,36,65.772,"Class1",36,"G"
30.551,47.077,30.826,38,54.227,"X",72.63,39,48.75,"Class2",23,"N"
23.732,63.036,77.375,87,84.371,"M",41.728,43,60.271,"Class1",25,"G"
31.714,79.03,72.019,13,29.641,"U",62.283,48,48.557,"Class2",18,"R"
32.666,51.969,84.535,13,51.336,"N",17.229,54,38.159,"Class2",23,"N"
29.579,65.105,85.049,85,84.03,"H",13.67,30,74.915,"Class1",10,"A"
24.198,62.741,85.863,69,83.982,"S",88.373,54,45.999,"Class1",32,"V"
30.654,47.923,17.016,35,85.666,"X",68.517,48,56.984,"Class2",NA,"U"
32.665,47.482,69.627,30,51.83,"U",47.446,40,68.136,"Class2",32,"X"
30.124,62.29,104.31,80,86.757,"B",30.616,67,71.33,"Class1",30,"A"
30.016,50.89,13.732,39,34.917,"X",56.907,41,78.689,"Class2",17,"X"
28.06,62.529,66.905,86,83.575,"G",55.662,81,70.647,"Class1",32,"Y"
29.825,64.608,29.713,85,87.905,"B",59.034,55,80.022,"Class1",13,"A"
32.12,73.383,49.105,15,34.306,"X",43.283,50,38.221,"Class2",21,"N"
30.979,77.801,55.778,34,92.882,"N",4.452,39,40.62,"Class2",27,"R"
32.597,52.5,84.848,29,74.13,"M",30.365,53,58.288,"Class2",25,"U"
28.094,64.728,77.734,79,83.511,"B",30.845,42,88.601,"Class1",28,"A"
32.259,56.761,101.252,22,52.924,"M",37.896,46,59.424,"Class2",19,"U"
31.887,NA,60.292,46,39.382,"M",27.827,37,39.007,"Class2",29,"R"
31.791,50.301,41.779,23,61.747,"X",16.964,45,52.754,"Class2",31,"X"
30.715,62.805,68.549,73,86.871,"H",59.544,62,68.535,"Class1",15,"V"
31.564,53.701,48.947,50,74.569,"U",52.449,43,82.503,"Class2",NA,"N"
29.579,65.096,73.041,67,83.005,"H",39.297,62,43.986,"Class1",33,"G"
31.903,66.947,85.225,30,47.757,"N",17.167,38,75.215,"Class2",17,"R"
31.585,65.075,61.281,50,90.208,"M",38.255,54,52.112,"Class2",20,"X"
30.635,64.733,60.364,49,57.052,"T",33.044,41,61.536,"Class2",28,"N"
32.001,NA,32.302,42,40.727,"N",60.887,38,76.196,"Class2",32,"N"
27.623,62.194,81.016,69,85.27,"S",31.554,73,82.984,"Class1",34,"Y"
31.198,80.06,88.92,35,86.521,"X",19.876,50,47.373,"Class2",27,"R"
23.145,61.141,50.948,69,87.712,"G",45.101,31,61.241,"Class1",36,"T"
31.721,57.108,71.203,19,36.081,"M",18.859,45,77.339,"Class2",17,"X"
30.607,62.885,99.054,74,85.728,"S",19.284,29,73.157,"Class1",11,"A"
26.049,60.428,62.207,72,86.521,"G",4.098,18,82.601,"Class1",26,"V"
29.5,64.554,37.306,87,84.253,"M",53.302,31,69.76,"Class1",38,"A"
31.219,47.516,64.783,14,92.084,"T",92.396,40,53.454,"Class2",21,"U"
30.997,49.714,15.955,23,56.681,"M",10.861,54,22.719,"Class2",17,"U"
31.332,64.398,121.939,36,94.989,"U",34.842,40,55.78,"Class2",18,"N"
23.868,61.576,49.675,83,87.853,"H",39.262,22,47.809,"Class1",22,"G"
32.348,64.631,80.241,34,74.532,"M",53.415,43,61.749,"Class2",17,"N"
23.325,63.803,80.866,71,85.275,"M",73.328,80,67.115,"Class1",9,"T"
23.912,64.328,104.717,66,85.283,"B",32.514,68,101.087,"Class1",35,"Y"
30.626,62.451,74.25,18,98.398,"U",23.804,41,57.555,"Class2",20,"R"
31.262,70.381,103.881,38,55.357,"N",27.99,41,60.285,"Class2",29,"X"
32.076,49.165,56.01,44,77.673,"T",44.803,45,38.31,"Class2",21,"R"
29.376,64.782,57.773,71,86.968,"H",23.915,53,74.81,"Class1",23,"G"
25.117,62.047,61.304,68,87.152,"H",45.723,27,64.423,"Class1",38,"T"
31.168,57.505,69.54,18,44.527,"X",21.944,43,80.574,"Class2",25,"X"
30.353,74.715,60.366,31,96.681,"X",45.947,44,55.755,"Class2",31,"I"
26.797,65.267,53.945,71,86.627,"B",15.565,64,68.45,"Class1",18,"A"
29.915,63.04,76.318,73,87.938,"G",89.269,33,62.816,"Class1",16,"Y"
28.905,61.342,77.316,70,85.288,"G",51.615,53,87.73,"Class1",32,"A"
25.388,64.602,88.472,68,84.745,"M",53.809,64,46.548,"Class1",24,"T"
29.637,62.218,69.144,79,86.631,"B",59.708,22,70.721,"Class1",23,"Y"
32.769,62.716,28.645,37,62.643,"M",54.35,45,35.6,"Class2",25,"X"
30.294,44.621,40.937,35,76.768,"U",31.767,39,68.679,"Class2",21,"N"
32.87,49.959,86.971,23,69.196,"M",54.248,42,96.917,"Class2",31,"U"
29.824,62.393,92.646,72,87.205,"B",57.918,58,82.604,"Class1",21,"V"
23.897,61.351,95.925,67,85.5,"M",63.768,28,76.759,"Class1",NA,"T"
31.334,59.127,54.004,21,65.88,"N",26.823,55,31.78,"Class2",19,"I"
29.422,62.082,47.82,66,87.745,"H",27.842,89,62.84,"Class1",10,"A"
29.961,60.213,64.953,69,87.24,"S",43.1,85,65.727,"Class1",33,"A"
27.024,65.248,89.323,71,86.066,"S",72.195,81,74.079,"Class1",39,"G"
23.071,63.136,60.911,64,86.397,"B",69.443,49,98.662,"Class1",14,"V"
32.571,60.151,34.837,31,49.19,"X",14.773,41,34.792,"Class2",17,"U"
30.629,62.146,85.31,76,85.022,"B",86.132,68,58.083,"Class1",30,"G"
26.24,65.345,69.453,67,84.771,"G",61.134,64,64.697,"Class1",30,"Y"
29.842,65.803,44.685,85,87.644,"B",67.555,47,54.463,"Class1",8,"V"
23.596,NA,62.597,65,87.476,"M",57.084,46,58.586,"Class1",25,"Y"
29.466,62.563,70.572,80,83.043,"G",64.649,37,41.847,"Class1",NA,"V"
27.097,65.09,40.105,73,84.235,"G",52.454,19,70.329,"Class1",29,"A"
32.312,79.723,54.616,46,40.164,"U",32.317,54,20.275,"Class2",32,"I"
30.068,NA,61.216,25,98.343,"N",10.201,37,34.626,"Class2",32,"R"
23.171,63.804,72.633,80,86.075,"B",43.032,14,64.776,"Class1",24,"T"
32.121,78.017,76.61,15,83.783,"X",33.696,51,86.311,"Class2",20,"U"
30.727,63.856,109.514,75,83.298,"M",47.793,32,47.692,"Class1",38,"Y"
24.454,65.514,106.123,74,86.575,"S",54.044,63,43.811,"Class1",38,"Y"
31.93,66.569,67.944,46,58.547,"N",27.288,38,25.186,"Class2",28,"N"
23.573,65.606,94.954,69,85.083,"M",90.912,21,67.477,"Class1",8,"T"
30.194,46.249,95.502,48,97.592,"N",28.014,50,39.602,"Class2",20,"R"
25.491,60.788,114.251,87,84.263,"H",73.908,36,97.268,"Class1",24,"T"
25.731,61.702,86.288,65,86.069,"M",71.357,15,46.396,"Class1",15,"V"
30.393,44.316,50.686,26,99.323,"X",11.081,51,52.46,"Class2",20,"R"
26.783,65.96,59.418,84,85.394,"S",92.47,44,53.76,"Class1",NA,"T"
28.34,62.65,64.902,73,85.595,"H",4.213,13,48.077,"Class1",10,"G"
24.097,64.116,66.589,83,85.794,"G",42.473,39,62.492,"Class1",NA,"T"
30.497,50.012,65.792,50,81.541,"M",64.592,45,63.264,"Class2",20,"X"
32.736,57.043,55.752,35,56.2,"T",29.034,40,63.239,"Class2",32,"I"
25.167,61.278,61.83,79,86.778,"B",22.412,58,53.243,"Class1",27,"V"
30.805,62.291,84.14,16,96.693,"U",42.53,53,26.789,"Class2",18,"U"
32.803,61.511,46.562,17,42.51,"X",13.831,40,73.924,"Class2",33,"X"
30.447,50.451,46.353,36,43.83,"U",12.764,50,56.505,"Class2",18,"R"
26.468,63.871,73.555,82,83.392,"S",45.037,32,76.568,"Class1",36,"A"
32.021,72.273,38.834,46,39.838,"M",37.69,47,42.449,"Class2",NA,"R"
32.034,79.034,87.129,34,84.178,"X",52.135,54,25.054,"Class2",22,"I"
25.333,65.481,27.895,65,83.41,"B",69.772,50,62.101,"Class1",16,"V"
23.539,NA,80.938,87,84.36,"H",94.987,71,76.775,"Class1",20,"G"
31.12,69.309,72.786,33,97.077,"T",29.211,48,50.261,"Class2",32,"R"
26.946,63.609,57.173,67,84.739,"B",29.099,61,70.92,"Class1",33,"V"
30.084,77.818,97.555,23,61.425,"X",32.277,37,66.99,"Class2",22,"I"
31.754,80.796,68.786,34,41.532,"T",41.604,36,55.758,"Class2",30,"X"
32.967,77.214,91.717,48,45.359,"M",22.839,54,69.405,"Class2",28,"U"
31.632,70.999,99.171,29,61.036,"M",8.388,48,53.782,"Class2",20,"R"
26.593,65.088,74.099,78,86.112,"G",75.39,70,74.556,"Class1",34,"V"
31.874,55.554,94.699,31,57.607,"T",64.625,53,83.032,"Class2",27,"X"
30.849,73.512,17.892,47,84.381,"U",42.257,47,31.186,"Class2",28,"R"
32.199,77.62,97.603,12,92.137,"M",49.647,46,40.354,"Class2",27,"I"
23.007,64.645,50.37,69,86.111,"S",41.281,51,60.813,"Class1",31,"A"
30.865,53.04,48.443,13,64.037,"T",69.432,52,71.84,"Class2",20,"R"
30.413,64.038,109.346,67,87.717,"B",76.568,47,44.617,"Class1",35,"V"
31.964,61.842,63.723,25,29.286,"X",48.097,48,23.431,"Class2",30,"N"
31.448,64.248,39.402,39,89.643,"U",47.86,45,67.298,"Class2",30,"U"
25.97,63.628,74.068,82,83.005,"M",36.652,69,69.969,"Class1",38,"A"
27.488,NA,96.851,74,86.952,"S",55.608,81,63.277,"Class1",38,"V"
30.103,60.764,53.428,79,83.401,"G",38.826,70,60.673,"Class1",18,"G"
30.842,60.642,56.374,83,86.486,"M",44.425,56,100.888,"Class1",37,"T"
31.352,67.054,36.894,27,71.047,"T",32.162,45,42.964,"Class2",17,"U"
26.615,63.575,98.995,85,83.256,"S",72.835,57,59.751,"Class1",NA,"T"
30.475,65.444,54.155,65,86.072,"S",94.424,55,71.533,"Class1",35,"Y"
30.141,62.051,23.268,40,72.287,"N",33.288,49,41.075,"Class2",33,"I"
28.246,NA,76.11,64,83.642,"G",66.612,61,36.665,"Class1",30,"V"
30.288,78.145,88.098,44,38.328,"U",64.127,37,33.853,"Class2",28,"N"
30.245,50.552,40.757,27,31.857,"X",11.602,40,55.717,"Class2",28,"X"
24.092,64.293,100.34,76,84.178,"B",88.954,63,61.849,"Class1",36,"V"
26.835,62.436,79.95,71,84.139,"B",19.197,44,61.156,"Class1",21,"G"
30.627,74.399,62.878,44,43.759,"N",14.649,51,44.229,"Class2",26,"R"
30.358,65.453,59.815,37,71.656,"U",69.883,41,47.081,"Class2",29,"N"
28.25,65.911,81.503,83,87.363,"S",33.617,78,64.569,"Class1",10,"G"
30.858,60.595,78.053,85,87.354,"S",44.953,32,64.42,"Class1",19,"T"
26.865,65.287,75.425,77,85.5,"H",54.706,19,49.398,"Class1",26,"Y"
31.427,64.659,26.03,12,43.822,"N",21.595,49,40.214,"Class2",30,"R"
26.687,NA,59.387,77,85.973,"H",-13.911,25,93.837,"Class1",14,"Y"
25.529,64.712,78.998,81,84.898,"G",67.118,18,82.148,"Class1",16,"G"
27.971,63.516,68.437,75,84.106,"H",98.432,78,65.977,"Class1",18,"G"
27.689,63.71,33.626,71,85.88,"M",59.268,24,60.463,"Class1",NA,"A"
31.839,50.636,61.216,16,39.349,"U",55.696,39,46.208,"Class2",20,"U"
25.139,62.223,23.338,83,85.542,"H",58.569,41,49.75,"Class1",25,"A"
30.676,44.033,54.324,25,31.87,"X",42.995,50,46.306,"Class2",25,"R"
31.651,77.229,76.582,30,62.374,"N",39.188,48,89.691,"Class2",31,"U"
32.52,46.821,68.15,46,93.148,"T",27.739,39,39.145,"Class2",33,"U"
24.474,63.271,76.703,68,86.064,"B",71.038,60,71.651,"Class1",NA,"A"
31.142,74.481,57.823,53,86.287,"M",71.698,47,40.422,"Class2",19,"R"
24.986,61.064,74.892,75,83.097,"G",59.187,69,70.669,"Class1",39,"Y"
27.404,63.478,101.222,71,86.507,"B",68.546,70,67.357,"Class1",39,"T"
23.587,62.283,70.187,72,87.84,"S",79.051,80,43.81,"Class1",13,"Y"
32.294,51.637,50.784,44,44.546,"N",51.265,52,29.214,"Class2",19,"N"
26.955,64.767,53.33,86,86.091,"G",58.466,80,54.253,"Class1",13,"A"
25.098,62.297,64.887,65,84.891,"H",101.398,52,60.853,"Class1",26,"V"
32.384,65.916,36.18,40,35.081,"U",29.745,39,69.034,"Class2",25,"R"
32.483,73.65,46.473,34,76.15,"X",62.563,53,58.187,"Class2",29,"X"
31.594,68.632,55.76,34,29.612,"T",42.955,51,90.71,"Class2",21,"R"
30.785,52.756,98.38,49,76.092,"X",15.002,44,54.842,"Class2",25,"I"
24.34,61.203,86.602,65,85.553,"S",62.913,31,55.894,"Class1",12,"T"
32.7,50.678,58.739,29,99.016,"X",24.534,48,36.746,"Class2",27,"X"
32.228,NA,86.674,24,64.492,"M",38.088,39,52.921,"Class2",29,"I"
27.118,64.356,52.539,66,84.324,"M",73.96,68,50.906,"Class1",20,"V"
30.694,77.762,47.535,21,75.514,"N",50.306,37,55.685,"Class2",29,"R"
28.146,63.471,74.762,72,86.868,"H",35.881,18,67.952,"Class1",9,"Y"
32.055,77.649,60.084,35,50.834,"T",33.173,48,50.939,"Class2",18,"R"
26.386,64.444,81.549,65,84.015,"H",7.361,27,65.688,"Class1",27,"Y"
30.292,59.628,42.013,39,65.693,"N",-7.168,54,53.755,"Class2",NA,"I"
32.053,66.022,75.241,48,64.486,"M",12.205,49,37.765,"Class2",29,"R"
32.178,78.45,71.327,22,38.274,"M",8.657,55,64.215,"Class2",34,"N"
31.962,65.101,71.488,53,62.177,"T",8.863,55,70.332,"Class2",27,"R"
30.131,56.28,50.785,28,69.343,"U",19.822,48,49.933,"Class2",24,"R"
27.246,61.214,84.51,79,86.847,"G",85.372,72,45.739,"Class1",37,"G"
31.834,56.562,46.053,53,59.842,"T",44.105,45,27.827,"Class2",27,"N"
31.087,57.443,77.902,35,91.253,"T",39.291,41,45.291,"Class2",18,"X"
30.585,61.443,85.268,13,44.125,"N",36.75,44,69.263,"Class2",27,"X"
32.692,64.902,87.709,35,31.675,"M",34.351,43,98.454,"Class2",29,"U"
31.489,78.283,18.549,23,69.419,"N",34.116,52,40.068,"Class2",21,"N"
32.071,62.293,65.64,27,73.398,"T",57.607,43,75.735,"Class2",NA,"U"
28.906,62.39,86.591,74,87.994,"G",47.15,42,75.599,"Class1",15,"A"
28.379,62.996,78.043,73,87.777,"H",13.317,74,90.833,"Class1",29,"T"
24.325,60.705,65.084,87,85.316,"H",47.067,89,53.59,"Class1",39,"A"
32.934,72.965,54.081,32,57.642,"T",55.825,45,62.941,"Class2",33,"N"
30.014,80.23,83.035,50,33.34,"T",22.561,39,42.924,"Class2",32,"I"
28.491,64.704,100.272,64,87.09,"S",74.859,49,64.058,"Class1",NA,"A"
30.182,78.022,40.589,33,75.272,"U",49.678,48,57.754,"Class2",29,"N"
30.487,50.298,72.211,29,32.169,"X",19.475,40,15.342,"Class2",NA,"N"
30.463,46.709,44.622,21,99.434,"N",42.829,55,79.819,"Class2",19,"N"
27.175,65.687,83.993,69,85.474,"S",64.3,37,58.891,"Class1",27,"V"
31.631,73.855,35.457,37,44.225,"T",6.743,36,59.116,"Class2",33,"R"
30.166,62.933,78.312,84,87.413,"H",5.412,16,34.998,"Class1",27,"T"
31.47,45.375,88.697,46,83.741,"T",41.713,37,76.727,"Class2",21,"U"
25.824,62.413,97.893,68,85.367,"S",43.792,66,36.196,"Class1",9,"V"
30.347,51.179,13.566,29,95.914,"X",24.551,39,66.858,"Class2",32,"N"
32.041,64.775,76.515,40,39.863,"T",46.476,38,71.702,"Class2",29,"N"
25.773,64.053,64.035,83,86.15,"M",65.097,86,70.777,"Class1",39,"A"
31.952,NA,21.384,44,80.936,"M",6.163,54,39.17,"Class2",30,"U"
29.424,65.453,53.576,85,85.153,"H",52.008,80,116.788,"Class1",27,"Y"
31.913,71.963,55.725,29,84.591,"M",37.962,41,61.016,"Class2",17,"N"
30.767,51.359,86.444,47,46.063,"M",2.058,36,50.19,"Class2",28,"R"
32.877,75.561,46.996,45,77.259,"M",50.64,44,11.127,"Class2",33,"N"
25.804,61.754,86.743,77,83.97,"H",38.434,13,46.811,"Class1",15,"V"
31.994,69.39,41.609,37,45.464,"M",36.465,36,62.601,"Class2",32,"R"
32.968,49.298,71.891,42,89.44,"U",54.821,47,44.082,"Class2",NA,"X"
32.914,55.675,35.67,23,61.708,"U",23.275,48,65.963,"Class2",19,"R"
32.191,66.855,82.93,50,57.445,"X",47.402,37,53.227,"Class2",20,"R"
28.331,64.527,64.679,74,83.826,"B",61.302,30,51.438,"Class1",13,"V"
29.906,64.488,101.128,87,86.448,"M",94.277,61,65.048,"Class1",24,"A"
25.871,63.822,77.614,66,85.865,"S",40.385,13,80.912,"Class1",12,"Y"
27.365,60.799,71.611,75,86.962,"M",46.789,62,65.992,"Class1",30,"G"
31.06,75.169,30.638,12,37.699,"X",40.515,50,76.393,"Class2",19,"N"
32.311,44.767,57.379,17,69.155,"X",9.481,45,61.333,"Class2",25,"N"
24.181,62.76,66.043,67,83.853,"G",42.441,19,83.045,"Class1",25,"G"
31.925,49.656,74.128,49,97.583,"U",28.949,45,58.891,"Class2",NA,"N"
26.608,63.946,50.041,75,85.765,"H",28.223,75,53.885,"Class1",14,"V"
30.775,74.336,75.111,16,58.149,"N",38.65,47,25.341,"Class2",30,"I"
29.497,64.66,54.964,68,84.103,"B",53.705,78,75.788,"Class1",26,"V"
23.185,63.674,61.47,72,83.797,"S",46.099,57,79.103,"Class1",22,"Y"
32.568,55.192,68.794,49,49.62,"T",36.65,38,34.513,"Class2",17,"N"
31.755,76.093,40.683,27,93.826,"X",62.683,41,41.656,"Class2",23,"I"
30.983,69.983,92.212,52,89.518,"T",53.447,37,27.494,"Class2",NA,"I"
32.322,63.241,73.23,12,70.243,"N",45.772,45,77.739,"Class2",28,"N"
25.959,65.21,77.892,70,85.598,"B",48.986,35,87.965,"Class1",30,"A"
30.061,64.901,68.755,53,77.88,"T",60.618,54,59.065,"Class2",33,"N"
30.839,65.386,38.496,86,84.839,"B",36.144,67,47.487,"Class1",15,"A"
30.678,47.212,73.62,32,66.687,"U",2.984,48,39.677,"Class2",18,"U"
31.155,68.892,62.492,48,75.668,"T",43.369,36,97.51,"Class2",17,"X"
32.863,66.18,47.2,12,68.488,"X",15.051,48,52.611,"Class2",19,"R"
31.251,71.485,88.67,20,70.808,"U",35.966,49,41.659,"Class2",34,"I"
23.339,60.169,75.678,80,87.124,"B",43.172,77,57.551,"Class1",28,"V"
32.923,45.348,81.138,17,91.418,"X",14.775,50,43.76,"Class2",29,"R"
30.247,60.707,75.239,73,86.998,"G",42.698,64,76.278,"Class1",16,"T"
30.635,51.42,82.294,22,39.548,"U",40.65,38,69.305,"Class2",23,"R"
24.792,60.204,66.596,82,85.456,"M",79.707,71,93.52,"Class1",18,"A"
25.11,62.862,64.998,64,85.85,"B",11.8,48,70.289,"Class1",21,"V"
32.336,NA,61.923,29,43.325,"X",42.107,49,73.167,"Class2",17,"X"
24.162,62.844,77.882,64,84.433,"G",87.559,67,80.124,"Class1",28,"V"
30.741,57.041,92.619,36,52.382,"T",55.155,38,45.712,"Class2",32,"X"
32.112,55.374,82.928,48,98.745,"T",85.867,37,73.094,"Class2",28,"R"
29.455,62.828,103.644,75,85.744,"H",89.91,12,95.648,"Class1",11,"Y"
32.385,58.846,88.696,31,73.563,"T",28.287,45,56.662,"Class2",33,"X"
25.462,63.654,55.019,73,83.005,"H",53.194,75,62.525,"Class1",38,"Y"
31.645,63.819,62.331,27,56.572,"X",29.256,43,30.04,"Class2",32,"N"
27.67,62.159,63.539,65,87.654,"M",114.173,19,49.638,"Class1",NA,"G"
32.737,71.83,75.37,24,57.171,"T",59.478,43,47.385,"Class2",33,"N"
31.884,71.538,35.147,30,69.943,"T",74.393,40,45.814,"Class2",29,"X"
31.982,51.919,67.157,15,51.389,"T",25.683,54,66.147,"Class2",24,"N"
31.982,62.871,90.668,22,82.059,"N",49.573,41,54.817,"Class2",26,"R"
32.619,58.866,81.371,45,76.295,"M",26.051,52,73.686,"Class2",21,"I"
31.023,67.597,60.109,53,66.262,"N",20.998,42,36.898,"Class2",23,"N"
24.453,63.463,47.68,73,83.872,"G",79.424,21,76.422,"Class1",31,"T"
29.978,62.21,52.814,83,84.177,"G",65.368,89,74.025,"Class1",18,"V"
30.941,76.846,59.297,45,72.169,"M",85.143,52,48.247,"Class2",23,"U"
31.685,56.612,63.694,15,86.517,"N",-5.442,40,44.775,"Class2",30,"X"
30.274,69.191,76.596,23,57.437,"T",33.146,52,43.235,"Class2",33,"R"
26.191,64.26,88.242,78,83.322,"H",53.642,15,86.597,"Class1",12,"V"
32.944,79.617,46.113,40,89.941,"U",24.453,53,65.966,"Class2",27,"R"
31.778,60.023,94.244,14,30.34,"N",0.436,44,33.263,"Class2",23,"I"
29.285,61.499,67.541,75,87.29,"B",20.384,80,62.912,"Class1",39,"T"
26.439,65.217,51.551,69,86.256,"S",84.85,21,85.081,"Class1",25,"T"
30.963,50.244,39.31,32,38.652,"X",23.548,45,42.347,"Class2",18,"N"
28.301,65.24,56.469,84,83.246,"B",54.419,86,56.077,"Class1",39,"A"
30.488,77.155,59.613,36,63.519,"N",22.347,39,44.195,"Class2",24,"N"
24.397,61.799,76.398,86,84.348,"S",62.144,27,59.417,"Class1",22,"G"
30.304,65.385,95.804,77,87.467,"G",55.719,23,65.772,"Class1",24,"V"
32.76,77.259,38.771,20,62.732,"X",42.451,46,68.52,"Class2",30,"U"
26.902,64.172,71.04,81,86.025,"B",37.887,67,57.091,"Class1",15,"Y"
30.201,60.47,85.306,77,83.743,"H",70.205,48,88.121,"Class1",27,"T"
23.05,63.149,79.864,80,86.208,"G",87.134,64,83.412,"Class1",37,"G"
29.359,NA,86.304,70,87.157,"G",63.082,39,83.401,"Class1",22,"G"
32.847,45.071,65.277,21,32.529,"X",53.474,53,37.16,"Class2",22,"N"
32.165,61.865,67.027,34,46.377,"X",50.887,43,28.752,"Class2",34,"U"
28.713,65.852,76.43,75,86.402,"B",49.945,16,104.037,"Class1",34,"A"
24.19,61.014,67.023,83,83.324,"M",24.673,43,56.469,"Class1",15,"G"
30.938,71.886,61.253,12,41.855,"M",51.781,41,37.956,"Class2",33,"U"
30.036,NA,54.424,53,45.435,"U",16.753,47,34.199,"Class2",NA,"N"
23.261,62.703,43.483,79,84.763,"G",53.59,14,67.444,"Class1",35,"V"
32.782,45.263,56.593,21,50.811,"M",90.112,37,43.585,"Class2",25,"I"
30.177,64.29,29.219,69,87.702,"B",26.095,67,53.868,"Class1",20,"T"
31.896,79.962,33.126,12,40.305,"T",20.214,41,32.021,"Class2",19,"I"
29.992,62.233,64.803,73,84.32,"G",13.972,71,74.246,"Class1",11,"A"
30.028,60.623,58.06,82,84.702,"H",58.296,52,61.44,"Class1",27,"G"
23.435,61.177,50.22,80,83.552,"M",85.766,59,42.391,"Class1",39,"A"
29.076,NA,98.92,75,84.351,"G",53.442,49,46.421,"Class1",NA,"A"
32.083,79.521,70.034,44,77.987,"N",57.677,48,59.489,"Class2",20,"X"
31.108,59.341,60.553,34,75.807,"M",43.442,37,33.654,"Class2",31,"N"
30.311,60.1,49.707,74,85.702,"M",90.119,23,48.577,"Class1",NA,"Y"
32.201,52.492,67.682,45,43.048,"N",38.456,47,37.891,"Class2",24,"I"
