"K1","K2","K3","K4","K5","K6","Output10","K7","K8","K9","K10","K11"
85,71.412,28.152,39.732,60.395,35,"Class3",34,"W",92.756,49.334,"F"
74,94.857,38.569,98.968,85.281,85,"Class1",53,"L",55.136,40.092,"I"
64,43.063,35.284,75.894,17.273,64,"Class2",69,"C",96.055,34.791,"X"
73,34.421,43.664,39.893,17.668,64,"Class2",71,"B",99.107,16.361,"L"
53,91.994,30.447,98.185,92.502,72,"Class1",59,"A",51.964,36.87,"V"
47,92.419,43.213,98.662,86.731,67,"Class1",10,"T",53.25,40.89,"V"
79,67.667,32.951,67.27,61.462,62,"Class3",59,"H",55.567,47.974,"E"
49,64.473,27.921,32.716,66.848,81,"Class3",NA,"Q",74.162,46.782,"E"
50,91.837,40.471,97.336,81.151,87,"Class1",10,"L",53.31,70.88,"X"
65,79.289,33.406,58.678,63.807,66,"Class3",63,"G",19.631,64.479,"E"
48,101.241,33.638,44.16,77.703,71,"Class3",8,"B",54.164,34.749,"D"
53,95.275,39.608,97.825,93.074,85,"Class1",40,"Z",95.664,56.108,"V"
76,62.974,34.75,59.897,14.72,47,"Class2",69,"R",94.727,23.956,"L"
51,89.947,28.727,14.582,61.821,58,"Class3",52,"Q",72.022,-9.654,"E"
61,84.485,30.736,7.613,75.003,67,"Class3",58,"G",31.23,49.472,"D"
70,87.041,41.584,98.909,95.481,87,"Class1",NA,"T",60.357,42.512,"N"
29,60.102,35.614,67.357,13.482,39,"Class2",69,"B",93.919,20.445,"I"
81,41.511,37.24,47.407,19.146,49,"Class2",69,"R",95.63,31.15,"D"
63,80.483,31.696,69.133,78.769,40,"Class3",18,"B",75.102,15.347,"P"
61,60.324,34.75,57.686,67.233,35,"Class3",18,"Q",49.354,42.12,"E"
42,48.476,32.063,7.928,16.324,90,"Class2",69,"C",93.25,12.235,"M"
74,36.293,35.263,72.194,14.297,43,"Class2",72,"B",93.39,33.872,"L"
65,92.705,29.275,97.536,75.868,85,"Class1",16,"B",40.028,63.463,"I"
74,94.848,44.217,98.33,87.789,87,"Class1",38,"L",47.102,59.042,"N"
46,63.454,31.008,73.645,73.014,13,"Class3",60,"G",38.941,69.172,"E"
35,26.738,31.595,45.45,13.349,77,"Class2",66,"Z",93.637,34.68,"I"
63,49.297,41.968,52.24,15.336,81,"Class2",68,"Z",91.725,16.206,"L"
41,113.399,31.43,24.711,65.83,86,"Class3",31,"H",41.765,32.616,"E"
41,79.684,33.988,23.305,69.689,17,"Class3",39,"H",74.572,19.336,"D"
77,50.046,41.418,66.09,15.962,73,"Class2",66,"B",96.407,22.764,"D"
85,99.241,34.616,97.077,82.18,88,"Class1",47,"B",80.064,-3.965,"V"
68,83.378,30.084,69.909,73.394,40,"Class3",53,"H",51.159,64.014,"D"
59,91.506,23.878,98.109,79.687,76,"Class1",41,"T",60.361,20.916,"W"
81,88.931,29.638,98.033,78.443,86,"Class1",15,"T",81.215,107.08,"X"
69,51.03,30.193,27.594,66.066,62,"Class3",54,"G",115.099,17.733,"F"
67,79.282,30.188,59.998,71.754,12,"Class3",30,"B",36.108,31.487,"E"
85,74.885,31.929,68.443,67.964,57,"Class3",24,"B",94.4,33.343,"D"
54,87.06,25.495,98.248,94.384,69,"Class1",46,"A",53.297,104.322,"X"
39,83.799,33.168,19.307,59.747,61,"Class3",45,"W",51.858,84.85,"F"
74,65.343,33.026,48.493,64.958,12,"Class3",35,"W",58.986,37.301,"F"
43,86.116,32.684,29.816,62.004,85,"Class3",18,"H",20.034,53.074,"E"
58,74.531,31.63,38.246,69.25,58,"Class3",47,"Q",90.137,64.748,"D"
78,65.338,34.969,49.601,77.068,52,"Class3",46,"G",52.575,31.642,"E"
56,47.319,29.849,21.887,67.729,42,"Class3",21,"W",72.889,34.16,"F"
47,85.512,29.064,38.307,60.329,33,"Class3",53,"W",45.082,37.976,"E"
59,90.23,20.767,97.718,85.263,79,"Class1",8,"B",27.305,49.476,"X"
38,50.557,46.254,53.155,18.471,48,"Class2",72,"C",90.768,26.343,"X"
52,92.973,42.756,97.032,97.137,82,"Class1",52,"A",53.022,53.3,"V"
37,100.334,19.838,97.808,94.464,89,"Class1",53,"A",62.748,47.801,"I"
54,91.021,36.489,97.958,70.036,67,"Class1",63,"B",78.121,11.883,"I"
61,37.181,38.269,53.487,19.708,83,"Class2",73,"T",96.161,24.917,"D"
87,17.863,36.438,57.477,17.357,57,"Class2",68,"Z",96.619,29.634,"I"
9,46.695,46.521,55.102,18.778,46,"Class2",65,"C",93.37,21.635,"X"
29,58.666,43.159,53.261,13.654,74,"Class2",69,"R",98.076,42.148,"L"
87,47.659,31.052,22.316,19.997,76,"Class2",70,"C",96.415,23.63,"D"
43,55.484,33.359,13.062,77.465,41,"Class3",26,"W",88.463,42.376,"W"
38,74.012,30.913,10.607,72.718,59,"Class3",39,"G",-3.737,53.938,"E"
62,85.924,40.602,98.769,76.82,66,"Class1",15,"T",83.843,48.602,"I"
54,88.393,26.767,98.909,76.848,89,"Class1",26,"T",44.466,29.389,"X"
60,92.271,36.296,98.451,91.472,78,"Class1",71,"Z",74.131,58.092,"X"
22,32.386,35.949,31.005,18.128,40,"Class2",70,"B",94.155,23.58,"M"
64,63.204,30.36,11.755,64.57,31,"Class3",37,"H",31.037,-0.777,"W"
77,69.528,33.936,6.219,NA,83,"Class3",28,"W",10.342,18.286,"E"
63,95.201,29.522,98.221,90.748,74,"Class1",66,"L",50.497,21.607,"I"
22,51.661,46.627,77.217,18.312,91,"Class2",67,"Z",95.902,8.649,"X"
82,68.259,33.456,39.507,72.761,27,"Class3",45,"G",59.034,51.498,"F"
40,91.623,20.1,98.114,80.042,80,"Class1",6,"Z",41.258,61.557,"X"
85,54.948,34.257,71.161,NA,16,"Class3",64,"W",90.806,-0.331,"E"
42,78.923,33.674,30.413,NA,17,"Class3",36,"H",50.162,63.32,"P"
54,90.729,36.387,97.406,76.188,85,"Class1",37,"B",69.656,24.909,"N"
40,97.093,36.702,98.216,72.684,79,"Class1",49,"B",64.005,35.654,"N"
59,96.594,24.702,98.215,89.207,84,"Class1",78,"B",59.268,65.773,"X"
61,85.457,35.521,28.989,73.474,43,"Class3",64,"B",64.023,25.442,"W"
76,99.634,20.186,98.4,71.098,79,"Class1",53,"T",51.223,66.829,"X"
64,52.56,33.491,20.593,17.433,61,"Class2",71,"Z",92.629,13.344,"M"
70,93.684,37.717,98.513,84.101,65,"Class1",30,"Z",56.306,25.125,"X"
83,74.296,33.847,54.632,76.977,89,"Class3",55,"Q",34.033,31.179,"E"
83,50.939,44.906,82.279,14.704,48,"Class2",72,"T",95.423,29.039,"X"
61,86.985,30.988,3.142,69.713,12,"Class3",62,"W",7.523,91.025,"E"
56,60.204,27.318,4.193,65.649,91,"Class3",44,"H",95.615,23.716,"W"
53,78.469,27.758,64.101,NA,87,"Class3",39,"G",68.114,4.54,"F"
84,48.285,36.789,90.449,18.09,47,"Class2",73,"B",96.789,23.246,"X"
43,83.791,27.967,11.132,71.296,60,"Class3",54,"B",57.865,13.271,"D"
85,90.595,44.297,97.562,73.735,83,"Class1",36,"L",54.701,68.824,"X"
48,90.454,30.49,98.332,79.329,77,"Class1",79,"T",66.021,39.019,"W"
44,53.652,44.539,62.235,15.144,64,"Class2",66,"B",96.424,10.928,"L"
88,37.132,33.729,74.263,18.333,84,"Class2",67,"C",94.998,18.838,"X"
27,37.816,42.259,82.641,15.223,47,"Class2",73,"R",93.497,22.594,"L"
84,90.509,45.255,98.874,NA,81,"Class1",50,"B",65.752,92.381,"N"
77,90.752,29.483,39.797,59.438,54,"Class3",17,"Q",35.846,24.958,"W"
62,32.392,34.798,20.041,19.965,76,"Class2",65,"T",94.305,17.972,"I"
65,88.809,20.619,98.804,79.026,68,"Class1",21,"T",69.053,58.621,"I"
82,81.223,29.242,64.222,77.24,68,"Class3",58,"G",57.903,64.429,"P"
45,75.274,30.921,42.102,74.039,73,"Class3",41,"B",24.242,36.043,"P"
50,94.835,30.929,37.506,73.457,61,"Class3",18,"G",-4.889,33.335,"F"
44,47.223,46.41,69.439,13.686,66,"Class2",73,"Z",93.601,26.799,"D"
43,85.525,45.301,97.761,74.047,83,"Class1",4,"T",61.664,51.842,"N"
75,99.583,36.102,97.079,90.686,83,"Class1",39,"B",64.732,66.132,"X"
18,60.47,32.219,82.849,18.543,51,"Class2",67,"R",97.995,12.705,"L"
70,21.331,44.602,30.854,16.185,46,"Class2",68,"B",93.551,36.574,"I"
83,41.543,41.252,80.388,16.98,64,"Class2",64,"Z",94.201,14.288,"I"
38,84.639,45.452,98.249,70.493,84,"Class1",11,"Z",77.279,96.257,"W"
73,56.832,28.142,31.585,67.274,23,"Class3",36,"B",100.593,10.78,"P"
48,96.153,19.432,97.033,78.13,75,"Class1",50,"A",56.314,68.653,"N"
50,66.09,27.677,65.675,76.751,50,"Class3",44,"Q",54.378,9.507,"E"
58,101.031,31.702,97.56,74.447,66,"Class1",20,"L",69.493,32.548,"I"
86,90.439,39.468,97.621,97.454,77,"Class1",66,"B",59.038,82.768,"I"
16,56.881,32.375,24.1,16.012,87,"Class2",70,"Z",95.378,27.41,"D"
18,44.227,43.886,52.909,15.887,52,"Class2",72,"T",93.853,42.47,"X"
83,78.136,34.336,32.575,68.879,54,"Class3",51,"B",88.136,30.889,"D"
12,57.168,38.035,56.019,13.31,39,"Class2",66,"Z",96.126,19.202,"L"
8,57.176,32.339,28.641,NA,72,"Class2",73,"R",97.281,16.73,"X"
76,92.576,39.835,97.668,82.924,88,"Class1",69,"A",54.693,-35.542,"X"
79,63.874,27.994,33.579,NA,35,"Class3",40,"B",48.698,56.352,"D"
41,64.843,30.768,14.577,66.378,18,"Class3",35,"G",76.526,58.756,"D"
82,32.199,31.433,71.389,17.456,86,"Class2",68,"B",95.401,14.43,"X"
10,45.289,41.398,69.341,15.716,63,"Class2",68,"C",94.964,28.158,"D"
19,55.431,40.905,6.121,19.361,42,"Class2",73,"C",95.044,23.465,"X"
39,89.722,24.379,97.064,86.436,74,"Class1",40,"L",34.159,69.662,"V"
64,95.232,35.598,48.405,76.045,18,"Class3",29,"G",65.985,20.112,"F"
41,50.021,31.126,78.701,NA,48,"Class3",8,"H",28.512,33.713,"D"
89,48.169,34.935,75.885,14.021,89,"Class2",67,"R",94.943,9.56,"I"
72,89.083,29.558,98.35,79.394,65,"Class1",46,"B",73.181,45.28,"X"
42,83.998,29.498,44.513,70.405,22,"Class3",19,"W",32.173,75.563,"D"
20,43.03,45.108,7.287,14,49,"Class2",70,"T",92.855,21.812,"D"
49,32.747,44.276,79.476,16.7,45,"Class2",71,"T",95.548,22.242,"X"
51,74.437,31.775,30.199,62.256,13,"Class3",39,"W",56.22,51.482,"E"
76,86.065,19.523,97.398,82.35,81,"Class1",63,"L",41.446,67.22,"N"
31,58.314,32.147,30.64,13.245,88,"Class2",69,"R",94.256,10.371,"X"
59,84.647,31.078,53.822,62.035,6,"Class3",NA,"H",50.523,6.421,"E"
58,95.302,31.286,98.958,73.117,84,"Class1",28,"A",51.523,11.965,"V"
38,45.955,39.37,16.602,15.697,82,"Class2",72,"T",92.596,11.237,"X"
70,89.385,29.954,78.555,71.519,89,"Class3",31,"H",77.545,19.033,"P"
16,24.582,43.552,49.699,17.608,50,"Class2",71,"T",93.215,27.662,"L"
81,84.143,20.532,97.807,96.318,87,"Class1",21,"L",50.176,102.275,"I"
43,55.025,43.107,33.372,16.604,88,"Class2",65,"Z",94.519,35.85,"L"
40,60.344,27.44,36.501,60.183,34,"Class3",46,"W",73.686,0.522,"F"
10,78.409,41.218,22.886,15.509,61,"Class2",66,"C",92.447,24.157,"I"
31,33.398,40.412,75.915,13.27,69,"Class2",67,"R",97.359,34.776,"D"
48,98.401,22.498,97.23,74.772,80,"Class1",24,"Z",67.696,87.203,"W"
76,38.112,32.63,49.031,19.38,49,"Class2",67,"C",94.902,25.727,"X"
48,98.326,31.306,98.813,77.031,71,"Class1",19,"T",88.823,66.288,"X"
81,82.566,27.051,23.406,66.37,64,"Class3",60,"Q",66.167,41.882,"D"
80,75.699,34.584,39.631,64.063,11,"Class3",14,"Q",72.606,27.879,"D"
73,69.697,33.947,75.49,75.286,54,"Class3",10,"Q",11.284,53.592,"E"
40,82.681,28.836,32.965,71.583,6,"Class3",NA,"Q",91.968,64.939,"P"
27,27.702,42.977,84.004,NA,85,"Class2",69,"T",97.653,36.737,"M"
60,64.253,34.725,63.76,74.742,9,"Class3",43,"Q",101.499,74.988,"W"
74,90.188,37.34,98.674,88.466,83,"Class1",45,"B",41.417,92.348,"W"
60,96.982,23.689,97.289,77.634,76,"Class1",65,"T",62.385,65.411,"N"
81,49.605,40.995,10.755,17.573,57,"Class2",66,"R",96.268,26.016,"D"
55,94.269,23.051,97.855,96.953,81,"Class1",10,"L",57.203,9.811,"X"
49,55.897,42.408,95.314,19.432,65,"Class2",64,"Z",96.049,26.752,"M"
54,91.574,40.552,98.913,89.66,87,"Class1",60,"B",55.667,40.769,"V"
48,94.354,44.392,97.168,80.493,84,"Class1",73,"B",68.514,76.982,"N"
41,88.519,37.241,97.417,75.345,73,"Class1",9,"A",50.199,62.037,"V"
65,29.736,44.835,41.316,14.835,39,"Class2",69,"T",91.564,22.431,"X"
40,26.989,38.064,8.862,NA,71,"Class2",71,"C",94.732,38.203,"X"
69,99.425,41.287,98.277,81.142,89,"Class1",35,"L",87.64,18.757,"W"
60,92.955,35.31,97.836,88.466,87,"Class1",59,"B",20.498,71.596,"W"
40,50.302,34.651,59.702,64.578,40,"Class3",19,"Q",26.071,56.833,"D"
61,67.48,32.284,36.253,62.118,18,"Class3",35,"B",58.996,18.604,"E"
17,57.18,43.482,28.451,NA,42,"Class2",67,"B",95.994,22.753,"M"
83,50.186,32.904,9.289,67.77,14,"Class3",25,"H",66.955,21.787,"D"
42,70.805,31.252,34.551,77.09,25,"Class3",17,"H",30.379,9.546,"F"
38,68.742,30.129,26.95,74.944,14,"Class3",57,"W",20.998,-9.603,"W"
63,96.829,21.871,97.07,87.014,68,"Class1",NA,"L",72.667,43.716,"I"
38,94.802,42.602,98.561,91.996,89,"Class1",11,"A",65.866,47.266,"W"
85,86.598,36.808,97.515,74.327,87,"Class1",2,"A",72.554,-11.353,"X"
46,72.755,34.651,68.398,78.788,21,"Class3",49,"H",84.113,73.74,"W"
54,70.803,32.87,62.367,74.341,45,"Class3",25,"W",15.271,22.379,"W"
68,90.302,31.944,98.118,90.95,82,"Class1",17,"A",63.181,74.225,"W"
52,94.453,29.202,98.418,91.209,72,"Class1",32,"L",67.786,72.646,"V"
37,72.731,34.253,63.738,61.273,73,"Class3",37,"W",54.152,28.965,"F"
49,45.887,45.413,93.28,18.52,88,"Class2",64,"R",93.904,43.73,"X"
62,97.779,44.051,97.919,77.353,81,"Class1",45,"A",72.973,49.151,"N"
25,47.928,38.666,32.797,16.565,51,"Class2",66,"B",92.788,17.739,"L"
73,86.19,35.468,98.312,81.697,83,"Class1",72,"L",59.496,68.301,"W"
40,39.141,31.577,91.611,16.632,60,"Class2",67,"R",92.464,19.344,"M"
34,55.184,38.73,36.755,17.97,39,"Class2",66,"Z",94.183,8.582,"X"
75,40.65,46.19,38.422,15.818,87,"Class2",70,"Z",96.445,21.4,"D"
61,80.151,28.473,57.433,77.151,79,"Class3",24,"G",-12.53,4.338,"P"
27,58.679,46.136,30.931,18.728,51,"Class2",70,"T",94.537,9.739,"M"
64,99.469,28.28,98.807,92.167,81,"Class1",49,"B",58.143,44.629,"N"
79,55.731,32.878,78.727,59.082,54,"Class3",26,"H",74.951,48.16,"E"
57,75.247,32.209,30.078,67.295,77,"Class3",48,"W",55.304,40.892,"E"
64,85.594,40.677,98.407,82.933,88,"Class1",59,"T",64.611,30.378,"W"
75,35.895,31.539,68.13,66.275,69,"Class3",17,"H",49.255,42.398,"W"
46,78.386,29.157,42.471,64.351,38,"Class3",54,"H",79.263,42.946,"D"
53,92.052,29.658,98.822,88.788,65,"Class1",NA,"L",45.641,36.295,"V"
71,57.071,42.439,12.398,14.323,84,"Class2",68,"Z",93.868,28.135,"L"
44,91.113,19.391,98.259,70.222,84,"Class1",14,"Z",41.661,73.415,"V"
16,27.352,36.065,81.594,19.239,81,"Class2",65,"R",95.065,32.456,"L"
75,70.101,45.715,8.555,14.051,45,"Class2",68,"R",90.035,22.713,"I"
78,92.596,46.832,98.525,81.326,68,"Class1",16,"B",39.741,-3.93,"W"
55,93.992,37.387,98.835,91.494,81,"Class1",22,"L",42.593,86.178,"W"
79,84.218,29.382,97.933,93.58,80,"Class1",73,"A",39.241,58.495,"V"
43,97.443,34.054,97.633,80.037,72,"Class1",31,"T",64.118,106.53,"W"
36,53.704,41.108,9.3,19.934,72,"Class2",64,"Z",94.171,30.787,"L"
80,72.592,31.89,49.468,66.578,13,"Class3",15,"Q",42.866,27.997,"E"
40,55.5,30.344,10.383,71.368,15,"Class3",27,"G",36.672,74.678,"E"
73,98.321,34.098,98.841,79.788,69,"Class1",49,"L",66.62,14.18,"I"
61,85.144,45.105,97.265,78.895,77,"Class1",53,"T",60.293,45.818,"W"
84,76.456,29.515,33.456,73.596,53,"Class3",21,"W",89.094,36.935,"D"
43,57.055,29.656,72.632,70.732,34,"Class3",28,"G",72.362,48.19,"F"
83,88.491,34.822,77.719,75.957,71,"Class3",17,"G",104.453,62.1,"F"
39,89.655,21.331,98.912,84.829,68,"Class1",3,"A",61.14,-5.348,"V"
24,22.874,34.759,90.859,17.44,59,"Class2",67,"B",92.725,27.231,"M"
51,84.729,33.388,15.46,68.61,24,"Class3",15,"G",29.863,32.841,"E"
42,42.854,44.26,21.945,18.647,60,"Class2",64,"R",90.799,22.315,"X"
57,54.287,35.349,75.703,67.615,41,"Class3",60,"H",22.324,71.042,"F"
48,48.12,37.191,52.312,18.036,64,"Class2",64,"Z",94.969,31.105,"D"
80,89.92,37.885,97.19,85.398,79,"Class1",76,"L",53.578,35.718,"X"
72,75.714,35.351,3.779,60.153,65,"Class3",24,"B",-7.515,42.436,"W"
79,74.741,32.204,67.098,72.187,68,"Class3",42,"G",35.451,59.969,"W"
18,72.47,36.742,39.857,15.634,55,"Class2",69,"Z",94.877,23.387,"I"
58,79.316,28.781,7.79,66.977,80,"Class3",37,"Q",27.208,45.623,"P"
73,95.433,43.92,98.884,91.535,85,"Class1",70,"A",74.847,24.387,"W"
55,91.131,44.199,97.043,87.027,74,"Class1",7,"T",70.92,15.838,"W"
59,43.197,33.292,23.431,60.5,69,"Class3",39,"H",41.45,17.488,"W"
62,40.166,44.595,37.69,19.112,48,"Class2",67,"B",94.964,17.043,"D"
29,31.494,38.273,57.977,17.463,44,"Class2",64,"T",93.181,34.217,"D"
66,94.025,37.974,98.883,70.29,73,"Class1",73,"L",50.126,15.235,"X"
47,47.93,33.924,17.767,63.584,17,"Class3",48,"W",78.072,59.001,"F"
49,72.982,30.239,55.098,75.505,33,"Class3",52,"G",33.116,84.818,"W"
75,93.812,40.038,98.484,72.251,84,"Class1",34,"L",59.31,84.098,"X"
46,82.481,33.874,45.122,78.888,61,"Class3",52,"Q",69.05,29.429,"F"
58,64.576,41.466,14.283,17.339,59,"Class2",65,"R",93.188,42.217,"X"
64,87.069,28.767,55.374,66.237,53,"Class3",24,"G",47.919,13.594,"F"
46,63.626,35.513,52.282,66.196,80,"Class3",48,"H",30.013,-9.76,"W"
57,100.161,33.578,97.784,86.599,65,"Class1",23,"B",61.502,19.808,"X"
33,38.747,32.125,68.671,19.562,48,"Class2",64,"R",94.641,29.386,"L"
52,93.387,21.223,98.022,82.754,88,"Class1",41,"A",67.431,29.172,"I"
49,37.292,44.354,74.927,15.139,65,"Class2",66,"T",95.48,32.05,"X"
78,98.175,35.515,98.678,96.32,70,"Class1",62,"A",67.079,113.914,"W"
60,93.485,39.853,97.485,73.626,67,"Class1",57,"L",67.319,38.824,"V"
61,70.766,29.213,28.854,64.792,7,"Class3",37,"W",46.487,84.394,"E"
70,38.738,31.388,14.745,13.198,53,"Class2",72,"C",93.446,30.46,"L"
61,33.732,34.033,79.168,13.482,88,"Class2",67,"B",93.187,24.422,"D"
76,97.709,22.81,97.537,93.695,79,"Class1",26,"B",50.714,43.649,"W"
36,47.945,39.54,89.056,14.473,45,"Class2",66,"C",92.978,35.876,"X"
50,44.923,41.807,91.735,19.528,92,"Class2",67,"C",93.317,29.908,"I"
50,37.515,33.435,6.37,18.354,54,"Class2",71,"Z",95.202,38.816,"M"
48,55.759,33.404,65.764,65.72,77,"Class3",30,"W",41.718,44.364,"F"
53,75.935,27.738,67.577,59.033,47,"Class3",18,"B",45.253,59.493,"F"
65,41.704,34.602,45.613,16.51,88,"Class2",71,"R",94.552,29.906,"D"
74,32.678,39.164,37.728,19.186,68,"Class2",66,"B",93.119,12.2,"I"
86,101.999,38.476,98.777,71.595,76,"Class1",NA,"B",83.147,79.892,"I"
63,25.172,43.039,16.374,17.413,84,"Class2",68,"Z",98.042,20.548,"I"
72,93.881,29.157,97.293,84.335,78,"Class1",61,"Z",46.771,34.217,"V"
52,75.088,32.127,22.956,72.327,66,"Class3",20,"B",111.152,26.959,"W"
49,42.29,40.538,6.05,15.58,86,"Class2",66,"B",91.496,26.39,"I"
69,69.527,45.06,44.692,18.096,90,"Class2",64,"C",97.432,33.191,"M"
84,63.238,29.934,12.955,71.395,18,"Class3",45,"G",92.027,57.261,"P"
40,96.709,40.564,98.881,70.963,85,"Class1",40,"A",59.761,35.97,"V"
68,94.906,35.055,56.078,71.85,87,"Class3",16,"B",54.671,43.122,"E"
70,96.669,27.646,98.066,85.968,79,"Class1",79,"L",39.73,31.477,"V"
46,83.349,34.193,26.72,62.31,70,"Class3",30,"B",28.777,-12.993,"E"
47,28.141,35.402,67.739,15.262,46,"Class2",65,"R",93.006,22.109,"X"
39,92.527,27.766,98.598,73.078,65,"Class1",37,"T",56.735,12.901,"I"
52,97.693,34.557,98.744,84.281,68,"Class1",19,"L",59.708,75.355,"X"
42,96.303,21.659,97.289,86.688,84,"Class1",9,"L",44.031,68.112,"V"
59,44.998,37.077,88.994,NA,77,"Class2",NA,"B",93.887,22.115,"I"
84,98.202,38.548,97.487,82.319,88,"Class1",69,"A",44.29,60.789,"V"
55,41.844,33.416,10.971,18.713,68,"Class2",NA,"C",90.731,42.33,"M"
80,71.254,34.015,62.782,64.282,15,"Class3",13,"B",71.28,28.885,"P"
67,38.229,39.607,26.014,17.767,66,"Class2",66,"B",95.838,28.466,"I"
50,91.744,21.114,97.496,81.344,75,"Class1",8,"Z",61.641,-4.858,"I"
79,82.241,39.682,98.81,74.092,78,"Class1",20,"Z",67.85,79.576,"X"
75,77.303,35.183,78.018,78.238,79,"Class3",28,"H",98.254,30.854,"D"
77,80.922,34.885,45.608,67.075,80,"Class3",57,"Q",68.16,8.642,"W"
25,48.937,39.947,81.176,13.211,49,"Class2",70,"R",96.911,13.614,"D"
39,65.469,28.245,29.953,67.014,68,"Class3",15,"W",57.474,-10.077,"W"
38,90.118,36.527,98.862,81.536,88,"Class1",29,"A",70.831,26.399,"I"
81,84.135,45.798,98.745,94.66,73,"Class1",63,"Z",37.5,30.311,"N"
49,36.236,40.377,62.658,17.589,46,"Class2",66,"B",92.87,33.399,"M"
58,100.385,26.823,98.598,85.284,78,"Class1",42,"A",80.857,60.383,"W"
26,38.371,33.886,36.833,16.088,90,"Class2",66,"C",94.391,21.95,"D"
84,69.573,35.88,19.162,72.347,40,"Class3",52,"B",28.382,56.025,"W"
55,84.451,30.252,98.907,93.013,70,"Class1",32,"T",41.661,39.82,"X"
90,63.519,40.701,23.825,14.35,88,"Class2",66,"R",96.207,16.995,"I"
61,76.187,35.476,16.11,64.643,41,"Class3",NA,"Q",71.094,87.012,"W"
56,92.085,32.643,29.313,77.063,9,"Class3",38,"G",7.341,54.704,"P"
11,52.506,36.306,95.17,15.057,92,"Class2",69,"T",94.37,12.515,"X"
40,96.611,37.258,97.036,73.53,70,"Class1",16,"L",60.426,49.749,"V"
65,74.928,34.485,49.01,77.006,48,"Class3",NA,"W",71.266,33.535,"F"
63,97.955,44.309,98.954,85.416,89,"Class1",39,"T",48.963,70.489,"I"
64,94.556,27.944,98.567,88.712,80,"Class1",36,"Z",45.004,56.083,"N"
64,70.655,28.125,25.464,72.805,19,"Class3",57,"G",100.982,13.299,"F"
27,41.319,46.462,64.98,18.497,40,"Class2",69,"R",91.69,25.752,"D"
79,101.431,33.107,8.757,69.157,8,"Class3",40,"W",31.238,55.373,"P"
50,89.144,31.031,76.296,68.764,88,"Class3",24,"Q",41.014,3.807,"D"
41,86.915,26.548,97.353,78.457,78,"Class1",11,"B",52.939,8.857,"I"
44,76.207,29.476,14.734,75.706,26,"Class3",60,"G",38.556,29.127,"W"
76,87.029,21.946,98.662,84.194,82,"Class1",68,"T",66.387,30.305,"V"
8,22.484,37.979,16.923,15.165,54,"Class2",71,"T",91.113,29.543,"I"
46,104.794,30.622,64.39,65.603,53,"Class3",51,"H",130.1,77.345,"D"
73,83.547,30.034,72.188,76.56,77,"Class3",10,"Q",68.528,26.529,"D"
64,93.135,28.864,4.147,77.664,8,"Class3",63,"G",66.207,54.508,"D"
46,87.367,30.31,97.687,93.392,75,"Class1",28,"T",41.21,35.45,"X"
33,43.791,35.458,17.282,16.66,78,"Class2",71,"C",93.455,24.476,"X"
84,107.307,32.221,27.837,78.302,62,"Class3",10,"H",70.359,4.198,"E"
34,52.194,37.494,46.613,16.209,77,"Class2",67,"B",93.443,23.535,"M"
35,44.745,34.126,61.152,15.046,70,"Class2",65,"T",96.422,22.132,"M"
51,63.795,27.861,14.724,73.057,58,"Class3",61,"W",59.029,42.754,"P"
73,90.179,32.014,98.141,92.819,88,"Class1",43,"B",73.841,41.315,"W"
58,86.805,22.811,97.391,93.734,82,"Class1",28,"T",60.023,35.539,"V"
49,93.181,25.233,97.162,76.976,79,"Class1",19,"A",52.878,65.74,"X"
77,52.417,39.161,95.971,18.115,77,"Class2",69,"C",94.585,13.955,"D"
71,41.791,40.747,79.799,18.653,43,"Class2",70,"T",94.812,16.412,"X"
70,39.139,31.1,48.004,64.826,91,"Class3",19,"W",90.523,53.856,"D"
58,91.832,43.267,97.363,85.89,85,"Class1",8,"L",40.731,88.52,"V"
72,70.154,34.459,6.007,63.973,43,"Class3",51,"H",49.13,11.956,"W"
80,75.376,30.788,25.626,73.665,8,"Class3",32,"H",73.274,49.163,"W"
33,36.748,37.727,62.324,15.538,92,"Class2",70,"Z",95.728,15.336,"X"
45,54.141,31.583,17.072,13.999,65,"Class2",69,"Z",96.774,30.392,"I"
49,86.824,30.098,52.576,67.589,20,"Class3",39,"W",25.662,94.971,"F"
86,93.01,32.038,98.361,75.701,73,"Class1",12,"T",51.389,23.279,"N"
51,75.719,32.827,65.675,72.098,53,"Class3",14,"Q",62.101,51.41,"F"
41,96.862,24.712,97.015,84.713,87,"Class1",47,"Z",48.621,107.089,"V"
86,37.033,43.93,19.271,19.3,75,"Class2",72,"Z",92.219,28.536,"D"
41,41.482,43.459,83.564,16.948,77,"Class2",71,"Z",90.491,21.989,"X"
26,50.273,45.117,42.368,13.777,54,"Class2",71,"R",94.312,14.472,"I"
77,31.36,43.146,58.014,19.345,41,"Class2",69,"Z",95.812,33.628,"D"
83,94.166,36.168,97.7,96.44,82,"Class1",22,"A",45.361,69.363,"I"
72,85.491,21.764,97.321,88.787,79,"Class1",32,"B",83.211,-1.513,"V"
84,31.665,32.1,70.258,16.921,56,"Class2",70,"T",94.879,32.453,"X"
64,91.162,37.376,97.015,79.207,67,"Class1",73,"L",47.197,127.281,"X"
34,35.552,37.278,41.933,15.522,56,"Class2",64,"T",96.299,32.061,"D"
15,49.059,40.049,59.251,18.953,42,"Class2",67,"B",91.101,35.211,"I"
