"Q1","Q2","Q3","Q4","Output16","Q5","Q6","Q7","Q8","Q9","Q10","Q11"
6.072,51,84.234,59.516,"Class2","G",27.827,71,66.034,75.617,70,"E"
11.493,53,70.933,78.924,"Class2","G",31.531,76,41.074,68.981,50,"E"
66.443,20,43.696,16.221,"Class3","I",60.476,55,63.93,71.355,16,"K"
75.367,23,44.626,7.071,"Class3","X",61.455,53,64.724,72.377,19,"F"
58.276,45,39.562,61.04,"Class1","B",80.614,48,41.353,24.514,92,"B"
60.1,21,32.13,14.485,"Class3","I",58.213,54,64.572,61.229,15,"G"
59.709,32,57.518,60.579,"Class1","W",86.5,83,44.053,40.072,88,"I"
60.071,40,40.446,54.17,"Class1","K",87.519,91,42.806,25.439,93,"B"
25.081,51,71.213,71.793,"Class2","O",23.259,83,68.697,70.224,88,"Y"
31.199,21,56.117,15.613,"Class3","I",61.569,56,62.599,69.407,17,"K"
58.437,24,35.149,69.588,"Class1","D",85.003,66,44.164,42.292,96,"W"
59.568,52,44.742,73.568,"Class1","D",82.962,78,45.109,43.026,94,"G"
58.914,24,NA,11.896,"Class3","S",60.478,56,62.126,66.442,18,"S"
16.237,51,69.156,72.881,"Class2","O",49.417,72,63.332,68.863,77,"F"
8.15,52,64.834,62.253,"Class2","J",24.431,65,66.915,76.869,80,"F"
22.101,53,68.153,59.054,"Class2","L",37.861,81,33.227,71.533,77,"Y"
58.831,35,47.683,66.916,"Class1","W",77.438,55,42.312,34.011,84,"G"
60.648,76,24.349,61.782,"Class1","F",81.708,80,42.154,29.563,92,"G"
62.471,24,41.274,11.328,"Class3","L",61.831,53,63.483,65.252,18,"A"
58.48,10,37.732,59.343,"Class1","K",88.023,44,44.518,49.888,88,"W"
17.02,52,63.262,74.483,"Class2","F",50.275,82,42.034,71.572,55,"S"
80.069,23,54.627,24.627,"Class3","X",61.756,57,64.691,55.473,18,"S"
36.809,52,58.32,55.136,"Class2","F",41.519,70,50.334,75.051,48,"Y"
58.83,27,45.714,64.933,"Class1","W",88.561,43,42.477,35.427,87,"G"
12.019,51,51.043,71.612,"Class2","G",24,76,37.764,74.636,65,"T"
60.374,18,24.611,60.402,"Class1","W",80.084,67,42.357,26.722,89,"W"
76.966,27,-1.603,15.567,"Class3","L",61.295,55,64.277,60.069,17,"K"
51.851,23,31.318,16.648,"Class3","I",59.086,57,64.115,57.877,17,"F"
40.959,27,5.343,12.114,"Class3","I",61.962,53,64.362,61.043,16,"G"
70.83,20,58.529,8.986,"Class3","Y",58.848,57,63.286,70.355,16,"S"
74.272,21,68.257,19.407,"Class3","L",58.275,57,64.241,61.429,19,"S"
60.049,18,41.983,71.665,"Class1","K",86.901,83,45.949,44.718,88,"J"
10.031,51,81.667,72.144,"Class2","O",57.093,64,64.848,74.805,74,"F"
59.668,73,28.667,76.916,"Class1","W",81.138,79,41.842,30.281,91,"G"
106.563,23,72.45,2.482,"Class3","S",58.791,56,63.922,61.009,NA,"S"
55.234,24,49.351,16.569,"Class3","L",61.801,55,63.65,56.245,18,"F"
58.975,54,28.771,74.301,"Class1","B",82.099,56,45.047,23.707,94,"J"
12.895,53,54.268,59.754,"Class2","O",43.123,69,35.237,68.374,57,"E"
59.636,62,45.789,69.233,"Class1","D",91.953,59,46.892,33.616,97,"B"
61.446,23,46.026,6.628,"Class3","Y",58.607,55,62.43,53.955,18,"F"
57.865,29,33.833,55.801,"Class1","K",79.54,73,46.795,34.198,96,"I"
7.441,51,63.062,79.496,"Class2","O",27.607,73,65.558,70.035,86,"E"
71.351,24,67.801,18.315,"Class3","Y",61.591,57,63.326,67.786,15,"A"
59.172,33,54.403,68.526,"Class1","D",75.281,67,44.704,49.213,NA,"J"
9.417,51,NA,52.942,"Class2","G",28.1,82,68.878,75.526,74,"E"
45.834,20,58.556,15.425,"Class3","S",59.186,55,62.198,71.751,15,"K"
59.612,23,NA,6.673,"Class3","L",59.976,54,62.156,58.429,19,"S"
59.885,66,NA,65.665,"Class1","F",89.494,77,43.295,32.76,87,"W"
62.467,24,10.367,11.833,"Class3","S",58.721,53,64.533,69.503,19,"F"
60.079,61,52.153,68.8,"Class1","W",74.823,65,46.437,30.338,96,"W"
10.479,51,65.9,74.036,"Class2","L",27.967,78,64.345,71.359,54,"F"
15.242,51,38.289,57.493,"Class2","J",59.374,65,30.041,71.903,57,"S"
35.685,20,1.968,14.165,"Class3","I",59.084,55,64.555,54.353,18,"A"
14.742,53,67.488,61.916,"Class2","O",43.206,80,67.167,77.761,68,"Y"
61.563,34,45.533,58.246,"Class1","D",76.347,59,42.826,42.518,97,"G"
60.552,55,50.333,63.051,"Class1","W",93.552,74,45.236,34.671,95,"G"
59.546,74,38.686,66.843,"Class1","D",80.631,88,42.952,43.072,87,"J"
60.22,31,40.471,58.876,"Class1","K",82.966,56,45.521,30.04,93,"I"
51.738,22,105.912,6.289,"Class3","L",58.555,54,64.842,63.881,17,"F"
58.831,23,80.8,20.872,"Class3","S",60.714,55,62.864,63.489,18,"F"
19.014,53,72.891,70.276,"Class2","F",39.155,67,40.039,71.471,78,"Y"
60.344,17,43.602,67.131,"Class1","D",91.2,59,46.673,40.33,85,"I"
4.079,51,69.846,59.764,"Class2","O",42.268,83,63.682,77.404,71,"E"
58.883,46,29.143,61.377,"Class1","D",74.235,67,42.16,21.842,97,"I"
70.668,22,64.881,20.637,"Class3","L",58.058,54,63.777,62.508,17,"A"
8.591,51,58.486,63.848,"Class2","J",35.872,79,32.177,74.373,78,"S"
58.864,53,49.015,67.684,"Class1","B",78.369,79,46.64,21.399,98,"B"
19.391,53,65.992,66.652,"Class2","J",36.085,80,66.392,72.349,70,"S"
12.995,53,61.202,64.786,"Class2","G",54.497,78,30.909,73.901,57,"F"
59.856,59,22.924,55.306,"Class1","D",91.192,58,46.692,26.831,91,"J"
97.692,21,70.112,14.761,"Class3","I",61.878,57,64.956,56.481,19,"G"
60.412,10,37.038,69.201,"Class1","W",79.422,54,43.745,42.867,98,"G"
80.804,25,53.475,13.959,"Class3","X",60.68,53,63.41,60.162,17,"K"
72.365,22,59.762,10.799,"Class3","I",59.788,57,62.992,61.1,19,"S"
58.355,75,35.91,63.325,"Class1","F",83.471,65,42.501,32.805,95,"B"
68.392,22,92.797,10.221,"Class3","S",58.82,53,62.722,66.468,16,"F"
59.287,67,34.84,81.194,"Class1","K",80.657,90,45.495,26.07,95,"W"
12.263,53,67.104,77.391,"Class2","O",33.188,84,35.834,68.575,NA,"Y"
18.59,53,85.382,79.004,"Class2","G",48.57,83,53.823,75.098,47,"E"
75.386,23,101.288,15.715,"Class3","L",59.793,53,62.731,65.509,16,"F"
67.059,20,47.769,1.149,"Class3","L",58.696,55,62.528,60.1,18,"S"
9.192,51,61.229,68.65,"Class2","G",50.653,67,33.743,68.022,77,"S"
61.667,37,28.185,73.222,"Class1","F",80.38,49,45.685,41.599,95,"W"
8.687,52,NA,85.306,"Class2","J",52.185,74,66.291,76.214,73,"T"
60.275,14,46.386,70.423,"Class1","D",84.47,79,41.136,38.442,96,"W"
59.109,6,54.548,67.205,"Class1","D",76.831,54,43.923,32,89,"J"
59.03,50,51.383,64.135,"Class1","F",85.972,48,45.163,37.616,88,"J"
-3.88,53,52.852,76.793,"Class2","L",39.444,82,42.602,67.082,67,"E"
72.833,26,45.507,13.652,"Class3","I",58.84,57,62.189,61.154,17,"G"
59.376,13,32.679,65.327,"Class1","F",81.783,91,44.129,36.225,94,"B"
41.871,27,117.918,12.189,"Class3","Y",59.675,56,63.525,58.627,17,"F"
2.232,52,73.334,73.857,"Class2","F",38.35,81,57.594,74.166,NA,"F"
14.029,53,NA,68.54,"Class2","J",38.285,65,29.674,74.494,83,"E"
59.942,20,31.826,62.451,"Class1","B",81.721,68,42.068,39.416,98,"W"
88.552,23,32.908,6.809,"Class3","I",59.714,53,62.24,63.805,19,"K"
67.404,23,54.245,12.501,"Class3","I",61.031,55,63.43,55.974,19,"F"
4.516,52,54.858,68.265,"Class2","L",52.731,68,42.982,75.885,88,"F"
2.864,53,52.563,82.566,"Class2","O",34.634,77,68.917,73.027,80,"T"
15.378,51,73.021,70.638,"Class2","G",41.272,78,43.101,68.929,65,"S"
17.577,53,75.222,60.14,"Class2","F",27.194,78,31.606,70.401,70,"F"
58.761,72,39.591,65.956,"Class1","K",82.472,90,44.114,24.213,96,"B"
8.123,51,63.727,53.986,"Class2","F",32.568,65,38.654,73.075,48,"E"
10.713,51,81.852,70.2,"Class2","L",46.872,78,68.936,77.793,53,"Y"
60.485,57,36.532,56.492,"Class1","F",86.848,69,44.881,35.187,NA,"I"
58.312,24,26.881,68.265,"Class1","W",86.67,56,42.251,23.323,91,"J"
81.764,25,64.765,10.926,"Class3","L",58.953,57,62.518,59.243,17,"G"
75.868,27,31.684,9.322,"Class3","X",61.445,57,62.601,72.884,15,"K"
58.659,68,28.888,73.979,"Class1","D",85.553,62,43.391,38.663,92,"G"
22.566,52,74.608,75.601,"Class2","F",21.023,73,54.87,67.81,53,"Y"
59.254,55,56.44,59.232,"Class1","F",85.431,88,46.182,22.3,97,"W"
92.955,24,42.74,9.425,"Class3","L",59.161,55,64.936,66.895,15,"A"
56.721,23,105.455,21.206,"Class3","X",60.821,57,62.248,57,16,"S"
54.745,20,76.512,17.228,"Class3","I",59.288,54,62.856,66.378,16,"A"
80.251,22,33.021,10.001,"Class3","L",58.485,56,62.308,53.412,16,"S"
8.856,53,61.855,74.887,"Class2","L",36.211,67,61.553,69.368,79,"E"
21.759,53,69.189,66.833,"Class2","L",39.443,81,68.761,72.641,53,"S"
60.187,63,29.677,73.946,"Class1","D",91.188,55,42.568,31.099,91,"W"
58.832,42,45.327,62.751,"Class1","D",83.098,47,41.465,41.085,85,"W"
-7.6,53,75.149,83.374,"Class2","L",43.675,76,34.229,68.175,54,"T"
58.965,47,23.172,61.51,"Class1","W",80.358,82,46.717,42.21,NA,"I"
56.275,26,39.971,12.498,"Class3","L",60.536,57,64.884,72.459,19,"A"
31.692,22,56.341,15.473,"Class3","I",58.26,57,62.311,62.818,15,"S"
64.795,26,59.154,10.158,"Class3","Y",58.738,54,63.666,64.874,16,"F"
12.458,52,81.384,79.102,"Class2","O",20.112,70,62.254,70.181,45,"T"
82.894,20,24.269,20.151,"Class3","X",59.729,54,64.876,64.712,19,"A"
59.556,57,39.222,66.025,"Class1","K",93.193,43,42.742,34.594,86,"J"
12.775,51,63.033,71.55,"Class2","O",59.606,75,55.643,69.912,65,"F"
60.782,74,52.964,72.859,"Class1","F",92.914,88,41.89,36.993,96,"W"
26.501,52,69.466,67.624,"Class2","F",28.872,67,60.918,69.469,62,"E"
14.755,52,72.56,70.949,"Class2","J",25.061,75,40.875,68.219,57,"E"
58.821,61,55.455,59.836,"Class1","K",82.858,69,45.206,39.39,87,"J"
58.404,70,50.885,59.365,"Class1","D",77.902,70,41.585,24.759,91,"B"
59.491,75,28.073,66.03,"Class1","W",74.41,92,41.463,37.497,96,"B"
65.913,20,70.181,14.589,"Class3","I",61.676,57,63.383,53.028,16,"F"
66.478,21,60.781,10.061,"Class3","L",61.513,56,63.339,53.065,17,"G"
59.939,52,55.242,63.945,"Class1","W",74.37,49,43.709,38.161,87,"G"
62.675,26,47.298,9.338,"Class3","X",58.399,54,63.408,72.887,18,"G"
50.202,24,132.542,25.572,"Class3","Y",61.92,55,64.222,67.652,19,"K"
51.512,22,91.336,12.798,"Class3","S",59.638,56,63.901,62.272,15,"A"
43.26,23,27.249,6.819,"Class3","S",61.835,54,62.366,60.974,17,"G"
19.975,52,74.641,59.143,"Class2","O",39.902,77,60.857,70.478,55,"T"
59.986,59,39.316,60.896,"Class1","W",93.678,79,46.858,49.914,87,"G"
3.078,51,68.274,72.783,"Class2","J",36.921,67,40.255,73.266,47,"S"
86.725,25,NA,13.873,"Class3","L",60.862,56,63.374,71.002,19,"F"
59.953,15,30.035,65.679,"Class1","D",74.254,85,42.008,29.642,98,"B"
67.988,23,43.605,16.048,"Class3","X",59.606,53,64.088,65.388,18,"S"
16.125,51,75.795,72.426,"Class2","L",25.454,83,30.279,72.532,47,"S"
99.649,22,1.905,5.985,"Class3","L",60.817,53,62.466,58.061,15,"G"
16.01,52,62.609,72.233,"Class2","L",25.983,67,69.353,77.232,56,"T"
21.862,52,82.558,75.147,"Class2","O",36.014,75,52.205,72.974,81,"F"
59.192,10,37.502,56.464,"Class1","K",75.904,40,45.124,23.679,92,"W"
56.318,60,28.83,67.898,"Class1","W",85.718,61,45.026,26.525,98,"I"
57.334,47,40.553,61.161,"Class1","W",90.882,64,41.013,29.872,86,"I"
58.771,26,4.401,11.682,"Class3","S",61.443,53,63.015,72.003,16,"K"
18.575,53,66.951,85.295,"Class2","G",57.543,81,37.117,67.286,77,"Y"
77.738,24,89.085,9.399,"Class3","I",59.741,57,63.31,71.363,17,"F"
59.049,74,41.369,66.345,"Class1","D",85.432,63,41.785,36.784,97,"J"
78.902,23,65.353,16.673,"Class3","L",61.346,55,62.074,56.024,17,"F"
6.844,53,71.426,66.806,"Class2","G",47.307,74,62.561,67.134,48,"T"
6.3,53,58.566,67.72,"Class2","G",46.724,76,50.833,70.899,88,"S"
17.699,53,NA,72.326,"Class2","G",49.731,71,65.813,73.519,57,"S"
60.586,25,35.715,26.326,"Class3","X",59.398,57,64.019,72.267,16,"G"
77.524,22,86.773,12.738,"Class3","X",58.686,56,64.673,60.267,16,"S"
9.918,52,88.13,57.39,"Class2","O",21.024,74,40.617,74.084,55,"T"
61.125,20,36.69,12.211,"Class3","L",59.582,57,62.452,59.135,19,"A"
10.105,52,65.407,63.977,"Class2","O",48.113,67,63.759,77.522,46,"Y"
11.741,53,62.23,79.434,"Class2","F",43.423,76,37.339,77.5,45,"T"
58.811,46,54.181,63.745,"Class1","D",85.216,45,44.041,22.742,86,"I"
85.605,21,60.827,18.778,"Class3","L",59.91,57,63.227,69.615,18,"S"
51.678,27,NA,15.662,"Class3","X",59.756,57,62.876,68.769,16,"A"
7.465,53,42.625,82.376,"Class2","G",30.502,82,40.584,70.031,58,"F"
62.004,23,7.774,14.494,"Class3","I",61.923,54,62.307,71.579,17,"G"
64.062,27,85.043,9.919,"Class3","L",60.861,54,62.076,61.937,16,"G"
59.831,27,38.962,5.76,"Class3","I",59.882,56,63.642,60.322,16,"K"
75.1,26,46.938,14.917,"Class3","X",58.425,53,64.213,68.992,17,"K"
60.812,47,17.14,61.213,"Class1","W",85.825,57,46.31,48.412,NA,"J"
61.619,34,35.515,60.717,"Class1","D",86.117,66,43.536,47.078,95,"W"
14.99,53,69.713,84.167,"Class2","L",58.964,70,41.203,68.687,62,"E"
13.538,52,82.273,75.579,"Class2","F",42.933,75,59.785,68.79,81,"F"
64.56,27,69.889,18.404,"Class3","L",59.291,55,64.499,60.905,15,"G"
59.81,72,31.378,66.332,"Class1","F",87.23,88,45.866,34.223,97,"G"
34.473,53,70.837,79.173,"Class2","O",48.116,84,54.418,67.788,75,"Y"
64.635,21,75.766,2.649,"Class3","L",60.21,57,64.509,58.845,18,"A"
71.376,26,73.646,14.511,"Class3","I",58.314,53,64.868,57.003,16,"S"
64.56,27,48.927,11.424,"Class3","L",58.815,55,62.853,69.581,17,"G"
57.823,15,35.56,81.353,"Class1","K",85.602,75,45.399,39.521,93,"W"
65.869,24,103.642,15.26,"Class3","L",59.843,53,64.695,69.834,15,"A"
10.467,52,47.147,70.16,"Class2","L",41.865,65,50.839,75.521,70,"E"
72.487,24,51.397,13.261,"Class3","I",61.491,53,62.445,55.981,16,"K"
2.053,53,66.689,67.699,"Class2","L",22.972,65,59.159,67.791,65,"T"
1.243,52,68.881,77.306,"Class2","F",49.879,80,46.36,77.815,NA,"F"
59.42,23,36.896,64.428,"Class1","K",79.174,56,42.586,29.523,98,"G"
44.29,27,95.523,12.386,"Class3","I",59.84,57,64.399,62.866,16,"A"
60.47,43,28.944,63.05,"Class1","F",87.014,59,43.585,45.556,NA,"G"
58.884,14,31.362,70.418,"Class1","D",82.876,87,43.505,45.403,NA,"W"
23.18,53,69.597,72.721,"Class2","F",35.789,65,53.898,69.527,66,"F"
60.362,74,38.077,59.253,"Class1","B",90.202,84,45.578,23.52,90,"J"
89.984,25,NA,12.38,"Class3","X",61.124,55,62.215,54.833,19,"F"
19.156,51,65.926,70.342,"Class2","L",40.42,78,62.71,76.055,77,"S"
14.5,52,66.129,72.662,"Class2","G",29.999,84,42.324,75.982,86,"F"
57.575,20,102.565,15.832,"Class3","Y",58.785,54,62.686,59.179,15,"S"
7.671,52,55.564,51.593,"Class2","J",20.182,77,54.392,69.444,53,"Y"
1.315,52,63.195,72.038,"Class2","O",44.882,84,51.217,67.954,84,"E"
22.536,53,74.011,65.734,"Class2","J",27.271,81,55.212,71.449,62,"E"
59.748,28,38.113,67.162,"Class1","W",88.346,52,42.051,38.862,97,"G"
14.635,51,59.756,80.123,"Class2","J",56.077,83,52.984,74.342,76,"Y"
56.295,23,35.284,17.413,"Class3","Y",61.503,57,63.759,59.296,18,"F"
47.99,20,51.307,13.248,"Class3","I",60.896,55,62.652,53.721,15,"K"
83.872,23,30.43,12.288,"Class3","S",58.71,54,64.811,62.827,15,"S"
9.339,51,70.988,78.567,"Class2","F",43.91,83,45.158,76.641,67,"E"
11.97,51,82.133,62.756,"Class2","F",32.7,68,67.378,69.254,85,"F"
59.496,49,41.194,58.339,"Class1","B",81.122,52,45.43,42.259,98,"J"
61.603,41,37.537,58.908,"Class1","W",77.436,51,46.388,42.652,94,"I"
57.719,69,40.144,79.153,"Class1","D",75.491,83,44.645,31.231,90,"G"
58.821,62,38.101,66.943,"Class1","W",77.718,66,42.529,34.676,96,"I"
56.82,24,22.835,14.109,"Class3","Y",58.285,55,63.428,64.575,16,"G"
77.35,21,81.086,11.811,"Class3","S",59.199,57,63.386,64.518,17,"F"
27.141,51,59.671,68.204,"Class2","J",28.241,70,35.162,71.753,76,"S"
0.834,53,69.663,74.402,"Class2","F",48.391,69,29.13,71.642,48,"S"
66.178,24,28.623,16.753,"Class3","X",59.356,56,62.207,66.341,15,"G"
46.713,22,89.847,13.412,"Class3","X",58.992,55,62.637,60.656,17,"F"
12.675,53,60.244,71.313,"Class2","F",32.921,77,64.158,74.676,54,"F"
55.932,23,15.447,12.607,"Class3","Y",58.307,54,64.792,68.884,19,"F"
54.64,22,109.257,16.362,"Class3","S",61.131,56,63.919,71.804,18,"K"
42.001,20,113.887,7.194,"Class3","X",58.853,53,64.554,65.706,19,"K"
58.212,16,38.998,69.718,"Class1","B",78.904,84,44.546,37.359,95,"W"
66.559,24,65.903,8.229,"Class3","X",59.615,57,63.585,67.883,19,"K"
58.981,21,27.191,68.431,"Class1","D",86.665,67,43.708,31.958,97,"J"
15.762,52,79.655,75.839,"Class2","F",44.394,70,42.718,73.73,71,"S"
8.484,51,63.935,69.591,"Class2","J",21.661,74,57.285,77.37,81,"E"
2.322,53,71.907,61.654,"Class2","J",42.553,75,42.816,77.415,74,"T"
2.918,53,71.523,69.636,"Class2","L",58.107,82,59.624,71.25,56,"E"
13.473,53,74.379,70.391,"Class2","F",43.318,77,63.02,67.735,64,"S"
23.387,53,74.098,67.403,"Class2","G",35.149,83,55.499,75.376,48,"Y"
104.314,21,68.681,12.703,"Class3","L",61.231,57,64.296,61.191,18,"S"
62.531,13,39.799,75.613,"Class1","K",77.811,68,46.942,32.904,86,"G"
16.432,52,71.527,73.096,"Class2","J",44.882,64,50.257,76.976,67,"F"
57.109,21,28.926,8.865,"Class3","I",61.293,54,64.407,59.693,16,"A"
58.957,20,39.195,63.885,"Class1","D",78.298,74,46.479,47.731,89,"B"
59.112,59,NA,65.341,"Class1","B",74.932,57,44.272,29.682,92,"B"
60.517,4,42.847,64.227,"Class1","K",79.805,47,41.341,41.141,92,"G"
10.104,53,61.854,51.654,"Class2","J",52.718,71,63.95,67.186,86,"E"
60.602,71,27.3,66.319,"Class1","W",88.577,45,43.059,29.589,93,"W"
59.156,75,57.192,73.033,"Class1","K",90.704,52,42.584,36.917,85,"I"
76.424,20,NA,13.491,"Class3","X",59.04,56,63.216,60.762,16,"S"
59.474,12,19.734,57.809,"Class1","F",73.657,66,41.094,46.041,85,"W"
58.568,33,NA,70.371,"Class1","W",81.193,50,46.664,28.8,94,"B"
69.379,24,27.164,14.331,"Class3","I",60.236,53,62.378,61.175,17,"G"
21.553,52,77.672,64.137,"Class2","O",59.136,71,38.678,69.15,65,"F"
6.859,53,47.358,69.097,"Class2","L",56.714,81,39.287,77.647,52,"F"
36.249,25,50.955,21.952,"Class3","Y",61.205,57,63.11,57.439,18,"G"
58.204,25,48.545,5.086,"Class3","Y",58.629,54,63.272,70.201,18,"G"
58.164,59,36.118,61.293,"Class1","F",80.528,81,42.175,37.246,95,"W"
53.352,22,78.578,12.817,"Class3","Y",61.79,53,62.905,61.702,18,"G"
60.741,43,61.134,60.947,"Class1","W",78.987,43,43.96,28.073,95,"J"
0.831,53,48.756,67.936,"Class2","F",46.444,77,32.02,70.505,77,"S"
86.131,27,NA,13.225,"Class3","Y",60.54,55,64.626,72.962,17,"S"
16.784,53,64.463,64.935,"Class2","J",44.613,71,51.529,68.492,73,"S"
15.664,53,60.421,66.794,"Class2","O",58.239,78,53.717,76.131,74,"F"
85.277,23,54.19,14.404,"Class3","L",61.122,57,62.413,68.745,15,"G"
3.298,53,80.814,74.947,"Class2","O",59.502,73,68.678,69.03,76,"E"
60.836,56,22.449,54.53,"Class1","W",86.877,43,45.122,32.069,97,"B"
51.095,22,34.366,10.783,"Class3","S",61.96,56,64.592,71.627,16,"S"
29.259,51,43.769,73.847,"Class2","L",44.047,77,47.08,71.411,72,"E"
51.194,22,57.137,5.238,"Class3","I",58.641,54,62.177,62.457,15,"F"
70.561,21,61.861,12.332,"Class3","X",61.549,55,62.111,54.091,18,"G"
60.306,22,31.672,58.177,"Class1","B",81.123,53,46.376,28.044,90,"I"
18.08,51,62.166,82.433,"Class2","L",58.286,73,63.523,73.434,49,"F"
59.43,70,38.314,59.2,"Class1","K",93.944,91,43.589,24.517,93,"I"
79.811,20,9.818,5.368,"Class3","L",61.836,57,63.679,59.631,17,"F"
59.445,62,38.801,56.212,"Class1","B",73.8,64,41.373,36.482,89,"G"
59.864,67,41.943,72.35,"Class1","D",87.953,91,46.706,43.524,90,"W"
17.376,53,68.009,64.941,"Class2","L",53.879,82,31.877,77.903,68,"T"
49.925,26,106.289,16.177,"Class3","L",61.706,57,64.973,66.57,16,"A"
60.13,23,48.824,73.779,"Class1","B",80.428,51,46.029,37.249,87,"J"
60.461,21,94.863,5.754,"Class3","S",58.451,55,63.404,60.58,18,"K"
3.05,51,66.781,76.008,"Class2","F",34.355,84,53.71,67.407,82,"F"
5.335,53,68.067,65.115,"Class2","O",35.373,77,55.746,67.969,47,"T"
81.863,23,32.049,18.594,"Class3","L",60.999,56,63.517,66.174,17,"A"
12.349,51,72.518,72.243,"Class2","L",50.875,65,65.705,67.828,50,"T"
59.926,35,40.002,62.034,"Class1","F",92.962,73,46.754,42.463,85,"J"
12.466,51,59.404,76.937,"Class2","L",57.254,77,66.181,75.12,82,"Y"
40.412,20,40.274,20.258,"Class3","L",58.292,54,62.337,67.379,18,"F"
17.936,52,84.097,75.798,"Class2","G",51.84,83,33.49,67.943,45,"S"
11.838,53,59.917,79.001,"Class2","L",29.061,68,56.125,72.883,50,"F"
-0.836,52,57.183,66.479,"Class2","O",42.881,77,69.096,69.275,50,"E"
22.811,53,76.61,71.411,"Class2","G",42.106,69,41.141,70.81,71,"S"
13.167,52,51.462,76.031,"Class2","J",23.819,74,49.636,74.467,66,"Y"
59.548,62,43.045,69.724,"Class1","K",82.163,85,46.11,49.627,87,"I"
72.371,23,2.318,14.588,"Class3","I",59.84,54,64.778,71.467,17,"K"
7.792,51,74.969,70.665,"Class2","O",45.269,73,66.27,75.023,68,"Y"
76.702,21,62.267,11.175,"Class3","Y",59.65,57,62.614,67.583,15,"S"
23.337,51,82.86,63.099,"Class2","L",49.893,64,34.191,76.988,78,"Y"
6.524,53,69.948,76.23,"Class2","L",35.554,71,36.009,70.569,55,"S"
-0.43,52,59.4,67.144,"Class2","J",22.795,70,62.734,76.03,75,"S"
87.4,22,79.251,12.007,"Class3","Y",60.31,54,63.781,55.838,19,"G"
65.034,21,81.425,15.053,"Class3","X",58.055,54,62.725,63.484,19,"G"
58.676,46,35.795,59.977,"Class1","D",78.773,68,46.556,36.424,84,"J"
-6.107,51,74.592,62.008,"Class2","O",51.076,80,59.826,73.498,58,"S"
85.597,23,NA,19.482,"Class3","X",60.875,53,62.053,55.483,16,"K"
10.565,51,58.316,55.674,"Class2","F",37.397,74,50.945,72.937,54,"Y"
19.027,21,79.621,13.723,"Class3","Y",59.302,54,64.168,59.079,15,"F"
26.494,52,55.834,67.458,"Class2","L",47.03,77,38.508,74.922,71,"S"
77.66,24,28.376,16.96,"Class3","L",60.887,54,63.386,69.383,16,"K"
17.942,53,NA,77.581,"Class2","G",56.871,81,52.041,70.405,70,"T"
60.158,13,60.513,70.207,"Class1","B",84.547,47,43.425,40.07,84,"G"
65.446,27,73.794,14.961,"Class3","S",59.577,55,62.621,61.675,16,"K"
23.79,51,56.915,56.163,"Class2","J",26.094,64,56.403,67.228,59,"E"
73.933,25,88.765,13.383,"Class3","I",61.774,57,62.721,65.102,NA,"S"
59.881,42,39.883,79.699,"Class1","B",88.85,68,42.505,32.188,NA,"B"
19.546,53,68.66,76.2,"Class2","G",58.607,84,48.94,76.251,82,"E"
2.226,53,70.727,71.315,"Class2","J",43.293,64,42.771,72.893,63,"S"
60.677,36,25.494,64.333,"Class1","B",91.547,57,42.189,22.147,97,"B"
58.665,34,35.492,66.84,"Class1","D",82.229,85,42.456,24.072,87,"G"
14.478,52,79.887,70.696,"Class2","G",21.172,84,37.06,67.962,68,"T"
23.729,51,86.106,68.331,"Class2","G",24.431,76,61.456,71.276,NA,"E"
52.176,23,64.643,12.38,"Class3","I",60.241,56,63.376,69.013,16,"A"
58.902,54,23.69,65.851,"Class1","F",85.292,53,42.713,26.65,85,"W"
13.683,53,73.519,74.252,"Class2","F",31.775,69,61.189,74.112,49,"T"
57.668,5,19.567,65.762,"Class1","W",76.621,57,43.405,26.706,91,"W"
0.982,53,56.868,72.839,"Class2","F",43.331,77,47.788,75.413,53,"S"
13.832,52,71.015,64.198,"Class2","F",54.374,81,47.789,75.918,80,"S"
35.647,20,NA,15.194,"Class3","Y",61.751,53,62.361,62.623,18,"F"
59.799,24,64.375,66.666,"Class1","F",82.226,64,42.129,41.635,88,"W"
59.962,27,40.674,57.9,"Class1","W",80.729,90,43.81,49.442,87,"I"
14.159,53,55.066,70.695,"Class2","F",27.81,79,30.285,73.243,63,"Y"
58.24,50,22.682,69.28,"Class1","W",80.427,83,42.668,35.75,95,"J"
66.348,26,NA,19.151,"Class3","L",61.604,54,63.85,67.609,18,"A"
68.406,21,56.172,14.593,"Class3","S",60.797,53,64.864,63.039,19,"G"
6.8,53,66.226,66.448,"Class2","J",36.86,66,66.41,75.055,60,"S"
59.465,5,NA,72.722,"Class1","K",88.815,53,43.928,42.707,97,"W"
30.706,26,63.103,10.375,"Class3","X",58.032,56,64.869,53.113,17,"K"
67.633,23,69.154,14.641,"Class3","Y",61.907,57,63.828,62.842,15,"S"
59.064,53,48.464,60.268,"Class1","D",92.117,79,46.316,26.99,90,"J"
59.599,67,53.507,63.943,"Class1","F",87.021,53,42.891,33.991,96,"I"
59.794,59,31.866,69.267,"Class1","B",89.415,45,42.872,33.973,95,"W"
63.161,21,69.18,18.139,"Class3","Y",59.234,57,64.961,65.819,19,"K"
-1.702,52,66.826,67.816,"Class2","J",42.581,80,60.144,74.134,88,"F"
21.084,51,70.855,74.971,"Class2","L",49.72,78,54.081,74.225,50,"E"
