"W1","W2","W3","W4","W5","W6","W7","Output22","W8","W9","W10","W11"
39,76,76.26,33.442,76.396,86.503,"J","Class2",99,33.188,20.156,"B"
2,78,35.55,87.58,29.355,55.441,"X","Class3",64,67.959,58.067,"Z"
37,35,45.755,42.105,2.897,88.582,"K","Class2",98,48.676,13.273,"F"
36,17,85.06,29.216,80.743,84.382,"I","Class5",76,6.151,27.165,"B"
75,36,31.78,57.579,71.462,20.687,"C","Class4",89,80.815,23.162,"Q"
25,81,77.583,89.742,29.516,55.271,"S","Class1",70,20.645,60.113,"U"
24,80,39.33,NA,37.464,47.529,"J","Class1",72,24.562,85.233,"G"
54,43,68.742,36.835,21.437,89.426,"J","Class2",92,57.288,2.103,"B"
43,31,50.257,37.508,71.907,57.874,NA,"Class4",78,79.066,21.184,"K"
25,84,-2.846,86.438,36.168,49.174,"S","Class1",82,0.752,78.828,"N"
34,71,75.851,40.081,70.37,80.799,"I","Class5",74,20.575,28.004,"L"
2,77,35.494,71.292,25.583,64.536,"L","Class3",59,50.839,64.059,"O"
53,38,54.175,39.474,20.235,82.158,"E","Class2",97,86.226,7.805,"Y"
26,38,-1.144,57.338,71.937,57.346,"K","Class4",77,12.777,17.001,"K"
36,73,75.976,NA,80.601,81.286,"I","Class5",87,11.245,29.643,"F"
60,63,29.818,40.498,72.092,33.267,"B","Class4",76,7.052,28.568,"M"
45,63,81.547,42.142,53.598,89.904,"J","Class2",94,33.919,3.825,"P"
29,83,38.439,89.606,31.205,47.068,"J","Class1",76,25.141,63.194,"N"
24,85,61.4,82.308,38.061,55.123,"L","Class1",81,1.695,80.794,"N"
2,78,35.697,90.64,39.039,71.932,"H","Class3",44,66.496,61.606,"K"
12,50,51.258,55.674,71.042,51.46,"B","Class4",90,16.595,17.428,"T"
36,65,65.462,60.234,78.057,78.085,"O","Class5",67,2.971,28.914,"F"
32,52,63.94,29.263,69.455,89.541,"S","Class5",87,16.803,22.329,"B"
24,83,32.125,86.11,29.775,64.881,"L","Class1",71,3.671,61.737,"U"
45,59,58.133,42.275,26.615,83.338,"O","Class2",98,41.879,7.474,"Y"
46,21,59.643,48.043,71.631,27.764,"K","Class4",77,14.407,14.502,"M"
34,50,85.493,51.424,73.565,88.69,"I","Class5",91,20.052,31.009,"F"
2,77,35.186,12.701,24.668,73.319,"F","Class3",66,55.967,46.841,"Z"
3,78,34.64,33.937,28.184,69.71,"H","Class3",58,68.867,54.067,"Z"
34,47,56.169,38.93,41.905,83.9,"E","Class2",92,60.062,7.935,"P"
2,78,35.26,62.279,30.91,56.454,"F","Class3",57,62.815,66.336,"X"
63,24,24.833,NA,71.205,26.568,NA,"Class4",75,38.564,-2.373,"Q"
48,43,73.355,32.224,34.226,78.103,"O","Class2",92,84.067,12.049,"G"
10,59,46.642,46.961,71.186,58.295,"K","Class4",83,23.687,20.087,"Q"
32,16,80.973,45.996,64.74,84.317,"I","Class5",91,2.514,29.458,"F"
35,36,79.565,28.792,89.298,87.401,"R","Class5",75,19.569,22.886,"K"
23,86,53.239,86.531,38.432,50.471,NA,"Class1",68,20.971,87.651,"N"
28,83,53.044,83.815,35.668,59.017,"W","Class1",75,7.7,37.845,"G"
9,30,48.175,46.111,71.003,54.281,"T","Class4",92,68.545,21.973,"T"
78,32,41.611,56.192,71.187,53.417,NA,"Class4",88,18.429,10.403,"K"
35,64,48.176,50.937,77.116,88.961,"R","Class5",91,16.563,23.445,"B"
67,53,16.377,46.303,71.763,51.9,"T","Class4",84,47.022,15.277,"M"
3,78,35.651,7.856,20.689,59.815,"H","Class3",51,68.877,44.731,"Z"
40,27,56.583,37.262,91.846,86.149,"H","Class2",100,60.771,4.148,"F"
29,85,64.108,88.603,32.872,68.903,"B","Class1",78,26.517,74.885,"W"
6,41,62.703,47.19,71.744,31.726,"K","Class4",77,73.21,23.475,"M"
4,78,35.697,77.133,23.856,59.149,"H","Class3",43,49.063,48.614,"O"
24,85,18.926,86.643,30.457,58.523,"W","Class1",66,5.079,85.875,"W"
23,81,70.087,93.181,28.696,60.524,"W","Class1",83,18.457,86.917,"N"
24,82,55.643,NA,30.483,54.206,"L","Class1",71,23.298,63.308,"G"
82,23,51.812,39.956,71.711,54.942,"B","Class4",77,58.964,23.286,"H"
34,63,65.138,NA,65.45,78.744,"C","Class5",94,6.019,23.039,"L"
40,52,33.745,48.528,71.842,20.421,"T","Class4",94,28.918,17.134,"K"
34,17,66.862,32.118,79.656,88.164,"O","Class5",90,6.604,26.727,"F"
59,19,54.887,36.903,71.649,25.24,"C","Class4",82,20.605,26.45,"Q"
58,49,79.866,41.735,80.139,79.659,"E","Class2",94,58.662,11.563,"G"
2,77,35.452,71.764,38.913,57.073,"F","Class3",47,78.677,72.448,"X"
71,46,78.412,48.148,71.897,48.965,"K","Class4",91,16.602,25.739,"T"
3,77,35.804,10.576,38.552,73.725,NA,"Class3",58,89.475,56.281,"Z"
27,80,36.357,93.531,39.418,56.767,NA,"Class1",76,11.527,95.382,"N"
27,83,72.458,83.465,31.565,57.365,"J","Class1",74,21.14,77.216,"B"
32,94,84.393,42.708,70.144,87.745,"I","Class5",69,15.34,15.915,"L"
43,47,42.964,42.727,17.52,82.439,"K","Class2",97,32.9,10.676,"P"
34,53,59.606,46.228,98.27,88.906,"O","Class5",97,4.611,29.112,"B"
4,78,35.671,59.304,29.505,67.046,"X","Class3",52,79.717,47.244,"X"
29,86,66.185,84.904,36.746,47.582,"L","Class1",69,14.615,66.669,"N"
4,77,35.798,72.377,25.089,57.587,"X","Class3",62,84.512,56.867,"I"
33,73,48.391,33.149,73.585,79.021,"C","Class5",86,2.144,16.408,"B"
32,31,52.922,43.931,76.458,80.018,"C","Class5",94,7.292,21.558,"F"
33,52,55.476,77.181,81.71,83.646,"C","Class5",70,2.347,18.418,"L"
42,18,30.267,44.12,70.834,43.444,"C","Class4",75,36.581,19.692,"K"
34,33,61.128,30.722,91.451,86.899,"C","Class5",85,20.418,27.338,"B"
54,54,68.347,55.692,71.354,52.178,"T","Class4",90,67.589,31.554,"M"
33,23,47.112,54.384,71.323,39.892,"K","Class4",93,75.086,0.214,"T"
46,17,59.621,57.136,71.621,23.603,"T","Class4",76,61.891,14.816,"H"
2,77,35.214,94.194,32,68.743,"M","Class3",66,56.798,46.998,"X"
77,50,48.367,54.551,71.142,28.004,"K","Class4",75,6.868,13.768,"H"
66,52,53.322,52.527,71.369,25.543,"P","Class4",94,64.133,32.037,"H"
3,78,35.835,77.57,33.867,56.501,NA,"Class3",57,79.318,35.244,"X"
4,78,35.799,37.294,30.999,69.31,"F","Class3",59,65.65,53.038,"X"
4,77,35.392,13.139,34.966,66.615,NA,"Class3",57,91.202,56.735,"O"
37,35,35.937,56.82,71.208,47.694,"K","Class4",87,20.222,18.534,"K"
7,54,63.017,44.16,70.976,51.117,"C","Class4",77,27.429,23.613,"T"
68,62,10.909,NA,71.421,53.995,"T","Class4",87,55.357,20.473,"Q"
31,26,60.465,46.583,71.273,29.205,"K","Class4",77,43.946,19.027,"H"
34,59,49.714,50.409,64.673,79.027,NA,"Class5",71,12.619,20.814,"L"
56,29,64.537,33.866,22.937,83.787,NA,"Class2",100,65.459,14.674,"Y"
2,77,35.828,56.058,37.603,72.545,"L","Class3",65,51.37,45.975,"X"
46,22,49.768,41.488,29.321,87.989,"H","Class2",92,50.153,10.973,"G"
32,65,48.926,42.411,73.062,87.094,"R","Class5",94,18.769,26.08,"S"
2,77,35.629,34.441,28.731,59.446,"M","Class3",58,64.566,56.647,"X"
49,21,58.827,34.927,11.238,84.606,"J","Class2",98,62.598,18.883,"F"
55,32,43.818,38.858,15.124,86.62,"E","Class2",91,80.843,8.627,"F"
32,42,78.297,49.839,57.578,80.724,"O","Class5",66,10.916,36.875,"B"
32,64,53.827,83.245,89.212,88.728,NA,"Class5",62,10.015,30.765,"B"
10,51,36.392,52.085,71.425,25.781,"B","Class4",91,54.133,18.501,"Q"
25,85,47.169,NA,36.334,68.411,"B","Class1",74,12.109,66.74,"W"
2,78,35.716,NA,38.449,71.879,"L","Class3",64,54.005,53.529,"O"
3,78,35.183,29.27,35.215,73.4,"F","Class3",67,52.175,53.074,"Z"
2,78,35.244,91.535,39.587,65.757,"L","Class3",46,50.192,81.483,"Z"
35,18,48.145,49.97,66.887,81.064,"O","Class5",86,6.241,35.565,"F"
33,33,71.493,NA,76.581,86.549,"O","Class5",91,10.6,17.27,"K"
29,84,57.529,88.602,33.139,67.523,"W","Class1",81,12.756,83.476,"N"
26,85,12.298,91.646,28.768,51.645,"J","Class1",81,25.24,89.923,"N"
43,22,39.061,57.407,71.081,50.311,"P","Class4",78,66.686,29.079,"H"
3,77,35.934,25.078,28.699,73.288,"H","Class3",43,54.952,59.981,"Z"
32,38,82.464,84.926,64.738,88.474,"S","Class5",59,18.456,25.311,"S"
42,41,64.489,37.485,72.031,81.687,"H","Class2",91,79.976,19.2,"F"
27,84,47.837,83.17,38.311,60.923,"S","Class1",77,20.026,85.979,"N"
2,77,35.644,15.338,29.454,66.266,"M","Class3",49,69.056,47.971,"O"
33,40,78.492,28.25,82.387,88.664,"I","Class5",62,9.663,22.848,"B"
56,41,47.515,33.236,37.282,82.214,"K","Class2",99,80.226,5.306,"P"
43,43,47.542,42.42,28.489,83.157,NA,"Class2",95,47.261,13.034,"F"
55,46,49.75,35.069,9.776,78.658,"J","Class2",95,40.198,4.51,"P"
36,35,60.56,77.407,52.726,87.937,"O","Class5",61,14.134,26.412,"F"
43,26,41.086,43.566,57.591,86.097,"O","Class2",96,68.675,16.276,"F"
3,78,35.818,20.385,18.365,71.674,"L","Class3",60,69.757,58.666,"K"
33,73,89.95,70.235,65.469,78.973,"R","Class5",78,8.282,20.207,"B"
4,77,35.5,81.874,36.018,56.357,"F","Class3",70,65.132,62.605,"K"
35,54,69.346,32.124,64.116,80.683,"C","Class5",91,4.546,31.521,"L"
69,25,42.857,36.394,71.488,42.505,"K","Class4",86,71.677,20.399,"K"
4,77,35.217,31.282,35.133,65.702,"H","Class3",49,87.112,38.492,"I"
13,61,29.043,44.437,71.412,37.781,"P","Class4",92,17.803,16.439,"H"
46,30,42.663,37.355,71.88,29.327,"C","Class4",74,36.664,10.827,"T"
34,90,66.8,78.999,88.192,89.112,"C","Class5",96,19.868,17.325,"B"
4,78,35.451,67.373,28.9,60.148,"L","Class3",48,49.438,62.019,"Z"
36,56,71.934,71.228,59.479,88.084,"S","Class5",63,13.223,23.629,"L"
23,59,23.696,52.947,71.415,33.167,"P","Class4",77,77.163,11.967,"T"
3,78,35.107,23.179,28.296,72.122,NA,"Class3",71,65.695,66.69,"K"
2,77,35.377,43.361,28.261,73.169,"F","Class3",46,69.667,47.728,"O"
17,21,58.97,54.252,71.824,43.201,"P","Class4",82,44.764,14.822,"K"
36,25,77.442,67.052,61.483,88.679,"O","Class5",64,10.697,29.621,"S"
34,73,81.405,49.092,84.957,78.568,"I","Class5",73,17.028,31.304,"B"
58,41,46.268,37.061,40.127,91.493,"H","Class2",91,34.172,16.754,"P"
37,53,49.421,42.757,49.468,79.488,"E","Class2",97,32.056,6.954,"Y"
28,84,67.681,91.202,36.844,64.979,"L","Class1",82,24.668,65.248,"G"
11,25,37.192,48.155,71.804,51.825,"T","Class4",92,6.281,22.497,"H"
4,78,35.653,78.911,33.864,74.453,"M","Class3",65,57.45,57.837,"O"
41,67,48.706,40.284,37.428,80.4,"H","Class2",96,68.077,17.501,"F"
32,70,54.574,80.803,78.706,78.935,"I","Class5",62,20.264,28.405,"S"
71,60,25.142,53.106,71.114,53.539,"P","Class4",78,62.853,0.829,"H"
26,84,67.878,92.353,29.845,51.001,"B","Class1",82,1.108,66.911,"W"
55,24,70.875,33.761,39.339,90.823,"J","Class2",92,64.48,2.875,"F"
48,75,58.461,39.429,41.95,83.231,"K","Class2",99,42.853,13.294,"B"
45,54,44.321,38.504,71.24,60.299,"P","Class4",94,68.248,16.598,"K"
19,25,22.284,49.368,71.907,49.699,"B","Class4",79,75.82,14.652,"K"
60,22,36.277,43.801,61.759,88.465,"K","Class2",93,70.668,9.351,"B"
4,77,35.891,18.704,27.226,58.207,"X","Class3",54,89.646,67.99,"X"
24,84,-13.925,83.405,30.359,66.498,"W","Class1",74,0.624,48.645,"G"
2,77,35.22,40.463,30.913,73.631,"M","Class3",55,84.856,48.824,"X"
32,50,60.183,74.34,76.691,89.011,"O","Class5",94,15.888,26.647,"L"
25,80,31.85,90.807,31.494,58.252,"J","Class1",81,4.468,81.825,"G"
49,73,63.705,42.578,48.491,86.53,"J","Class2",95,38.14,15.192,"F"
17,36,42.924,40.954,71.069,28.131,"T","Class4",90,9.248,20.594,"Q"
43,30,29.603,32.367,28.069,77.132,NA,"Class2",92,47.478,16.684,"P"
33,33,64.082,71.116,80.941,88.743,"I","Class5",87,13.965,31.487,"L"
47,26,33.806,36.169,61.716,83.361,"H","Class2",94,35.965,15.978,"F"
27,81,43.397,82.778,36.495,66.834,"J","Class1",79,4.868,59.418,"G"
71,36,28.01,39.528,71.408,39.82,"B","Class4",77,45.786,14.164,"M"
25,83,41.236,81.221,34.525,67.028,"J","Class1",75,22.723,101.84,"G"
32,56,80.908,78.601,80.727,78.361,"R","Class5",60,10.309,19.467,"L"
3,77,35.18,61.204,34.672,70.339,"F","Class3",69,49.285,56.299,"O"
23,84,55.651,87.471,31.864,62.76,"J","Class1",68,12.667,63.735,"N"
2,78,35.513,75.842,29.239,58.987,"X","Class3",41,66.214,60.388,"K"
28,86,51.687,88.278,35.888,68.017,"W","Class1",70,20.248,63.991,"B"
25,86,80.788,90.496,34.954,48.253,"S","Class1",71,18.392,85.771,"N"
3,78,36.074,10.57,26.76,58.283,"L","Class3",48,84.985,53.568,"Z"
52,20,23.867,35.128,2.447,82.453,NA,"Class2",100,64.454,8.972,"B"
35,57,76.851,69.804,72.73,81.391,"R","Class5",64,19.791,23.089,"S"
32,81,65.926,77.373,78.325,86.085,"S","Class5",88,4.146,29.151,"F"
27,82,42.558,89.011,34.162,48.643,NA,"Class1",80,24.276,57.842,"G"
32,34,54.101,32.353,64.795,81.022,"C","Class5",65,14.746,28.207,"K"
33,60,65.874,33.858,65.472,87.974,"C","Class5",85,9.102,18.854,"F"
35,63,46.939,43.82,19.98,78.833,"K","Class2",92,51.179,12.889,"P"
28,84,30.277,84.741,34.713,64.913,"W","Class1",79,19.366,56.647,"B"
18,38,63.319,36.56,71.847,22.628,"B","Class4",86,23.384,19.269,"T"
4,77,35.017,20.05,32.242,68.187,"F","Class3",50,63.323,74.016,"O"
2,77,35.684,30.775,33.532,66.953,"F","Class3",67,62.272,62.912,"X"
4,78,35.292,40.595,41.815,64.69,"M","Class3",42,75.751,59.5,"O"
62,22,61.89,34.744,52.333,78.702,"O","Class2",100,75.4,18.485,"F"
57,45,49.719,47.563,71.48,49.083,"P","Class4",93,49.675,32.321,"K"
29,86,27.21,89.207,38.908,66.137,"J","Class1",74,16.762,49.412,"G"
3,77,35.738,32.546,38.796,74.957,"M","Class3",62,63.358,64.258,"Z"
25,40,24.326,38.008,71.703,37.503,"C","Class4",75,76.248,30.886,"K"
35,27,40.639,56.978,71.331,38.818,"K","Class4",89,14.616,16.623,"K"
2,78,35.263,83.662,27.275,57.016,"L","Class3",55,63.014,40.924,"X"
57,39,35.733,NA,45.371,80.723,"H","Class2",95,54.335,4.672,"Y"
13,54,34.656,55.038,71.893,23.306,"P","Class4",79,39.894,14.438,"T"
33,90,79.702,80.981,62.036,87.68,"S","Class5",71,10.416,29.044,"S"
62,38,57.7,36.609,32.236,81.49,"O","Class2",94,65.132,5.317,"G"
25,82,24.412,90.933,36.547,55.353,"L","Class1",72,18.563,104.947,"B"
72,44,23.202,36.332,71.306,55.626,"P","Class4",83,52.836,-7.782,"K"
5,38,54.992,40.522,71.587,54.851,"B","Class4",89,52.752,22.927,"H"
3,77,35.3,11.597,43.143,56.396,"M","Class3",57,90.806,71.629,"O"
27,83,27.187,82.937,38.58,66.84,"J","Class1",72,0.157,105.644,"B"
9,47,28.547,54.711,71.253,22.397,"K","Class4",79,75.485,27.434,"T"
36,64,59.876,53.463,92.661,81.933,"I","Class5",93,15.363,18.67,"B"
32,77,39.083,86.056,88.3,78.995,"C","Class5",86,2.182,34.209,"S"
3,77,35.336,64.657,28.106,56.228,"M","Class3",57,69.51,51.213,"Z"
36,37,50.839,82.364,83.708,82.484,"C","Class5",64,2.65,22.415,"F"
25,80,36.134,84.535,31.662,69.394,"W","Class1",78,14.333,80.526,"G"
41,41,35.36,50.537,71.794,40.027,"P","Class4",80,74.386,30.457,"M"
27,84,69.355,90.003,42.433,58.789,"B","Class1",67,24.497,41.972,"G"
2,77,35.612,83.574,42.564,56.232,"L","Class3",64,48.083,37.619,"X"
29,81,56.907,90.682,36.195,66.817,"L","Class1",70,4.772,94.859,"B"
26,84,27.018,85.808,34.09,65.472,"W","Class1",80,25.748,88.143,"G"
58,57,24.271,43.671,58.084,82.161,"J","Class2",91,40.234,8.074,"F"
36,25,85.872,28.927,88.82,78.363,"S","Class5",76,16.396,33.229,"S"
20,44,27.041,51.434,71.459,31.956,"P","Class4",91,69.514,31.028,"H"
27,84,64.198,91.928,35.2,58.164,"J","Class1",82,26.845,66.109,"B"
2,78,35.369,39.783,22.263,55.898,"F","Class3",54,65.746,38.655,"O"
75,16,56.114,36.726,71.542,59.771,"K","Class4",80,44.089,14.439,"K"
10,61,12.893,54.189,71.732,41.457,"K","Class4",84,22.86,6.264,"M"
26,83,43.481,87.57,29.181,56.816,"W","Class1",78,18.186,79.718,"G"
45,42,79.402,35.042,47.341,81.231,NA,"Class2",99,43.907,6.947,"G"
2,78,35.667,60.547,20.547,56.673,"M","Class3",51,53.025,53.414,"O"
2,78,35.52,19.802,34.28,72.955,"F","Class3",54,70.607,56.003,"X"
26,81,17.635,82.589,32.969,66.604,"S","Class1",80,4.888,87.288,"B"
39,27,22.836,37.542,50.264,88.293,"E","Class2",95,67.608,10.97,"F"
61,46,28.487,33.008,29.139,81.692,"O","Class2",91,77.474,15.257,"G"
70,20,73.323,56.787,71.273,46.196,"P","Class4",80,50.951,21.926,"K"
39,23,47.9,40.549,70.977,21.393,"K","Class4",75,39.863,17.242,"K"
4,77,35.79,80.846,33.195,70.733,"F","Class3",58,91.729,63.802,"K"
4,78,35.705,NA,25.2,66.358,"M","Class3",69,93.239,59.938,"O"
58,36,9.795,49.657,71.444,42.958,"C","Class4",74,77.303,-8.38,"K"
42,36,70.716,35.531,31.906,81.006,"H","Class2",95,83.758,9.837,"Y"
56,59,63.448,50.054,71.389,52.908,"B","Class4",91,12.37,24.835,"T"
36,23,89.744,NA,93.114,86.119,"O","Class5",81,5.608,23.07,"B"
36,36,74.923,29.087,95.986,87.536,"S","Class5",93,15.271,18.125,"L"
18,46,56.734,40.189,70.708,59.316,"P","Class4",92,44.775,14.566,"T"
54,24,56.287,41.701,62.039,87.13,"E","Class2",93,45.525,7.221,"F"
63,63,23.644,36.124,71.404,38.777,"C","Class4",74,8.955,21.582,"T"
3,78,35.617,74.64,34.637,72.522,"H","Class3",62,73.433,64.065,"Z"
54,21,63.677,38.044,15.908,91.715,"K","Class2",93,56.347,12.718,"P"
32,17,55.617,45.551,61.916,79.9,"I","Class5",76,6.116,16.415,"L"
46,33,47.901,NA,18.686,77.186,"O","Class2",100,85.044,6.921,"F"
4,77,35.39,70.862,35.642,73.245,"L","Class3",68,75.32,40.61,"X"
26,80,60.779,88.996,30.645,61.648,"B","Class1",73,25.33,72.014,"G"
6,33,44.794,56.744,71.283,52.3,"T","Class4",88,27.328,10.134,"K"
10,38,67.156,57.975,71.133,36.009,"C","Class4",87,10.862,20.072,"M"
36,33,87.196,76.014,62.721,83.133,"I","Class5",92,11.535,25.647,"L"
3,78,35.39,90.066,34.889,71.681,"H","Class3",67,70.788,55.329,"Z"
4,78,35.655,41.684,27.799,70.899,"F","Class3",66,86.358,57.53,"Z"
7,45,61.738,57.94,70.587,25.792,"B","Class4",76,72.811,16.489,"K"
28,82,63.126,82.363,32.308,54.157,"S","Class1",67,4.568,68.688,"N"
47,30,58.293,37.38,58.483,85.579,"O","Class2",99,61.009,7.44,"B"
32,18,50.716,75.6,81.881,85.064,NA,"Class5",79,12.034,30.51,"K"
33,20,76.729,73.519,78.761,86.013,"C","Class5",61,4.885,33.177,"F"
3,77,35.406,45.334,26.296,74.897,"M","Class3",57,93.267,66.326,"I"
62,23,37.677,41.781,26.117,88.598,"J","Class2",94,70.196,10.454,"Y"
49,75,32.04,42.122,24.532,85.702,"J","Class2",95,41.194,7.939,"P"
81,46,67.58,44.135,71.042,59.188,"C","Class4",74,36.873,10.82,"M"
29,21,24.585,46.986,71.131,44.066,"K","Class4",76,72.959,25.244,"H"
23,84,26.971,87.01,36.916,57.406,"L","Class1",82,3.893,68.881,"N"
3,77,35.256,87.364,32.991,60.897,"L","Class3",67,60.561,61.8,"O"
3,78,35.009,49.079,40.086,62.716,"H","Class3",59,48.564,46.626,"K"
10,51,37.977,46.138,71.943,43.97,"P","Class4",94,58.367,23.628,"K"
51,41,65.6,35.161,22.131,84.411,"E","Class2",94,48.035,6.625,"B"
3,78,35.31,NA,17.991,62.581,"M","Class3",45,68.441,51.338,"O"
6,57,34.827,45.075,71.055,40.775,"P","Class4",88,29.491,21.939,"H"
36,57,75.534,53.206,83.267,79.156,"I","Class5",61,9.823,28.554,"B"
55,58,73.789,36.613,25.58,91.545,"O","Class2",93,37.088,11.636,"P"
72,33,64.002,48.882,71.77,37.603,"P","Class4",89,9.455,16.16,"Q"
61,76,62.244,33.611,25.981,89.689,"J","Class2",96,45.253,6.465,"G"
55,68,42.783,34.385,49.185,90.002,"K","Class2",94,67.121,4.062,"P"
65,49,55.545,55.21,71.839,52.712,"B","Class4",80,63.051,19.235,"K"
51,34,60.369,39.799,71.495,26.856,"P","Class4",93,59.547,14.709,"T"
4,77,35.359,48.024,27.327,69.233,"M","Class3",65,70.147,62.431,"O"
3,78,35.898,82.677,31.805,68.612,"M","Class3",63,61.737,55.904,"O"
25,84,64.693,90.92,30.606,47.209,"L","Class1",80,19.438,77.576,"N"
35,62,60.689,46.206,74.006,79.936,"C","Class5",80,17.897,25.758,"K"
43,27,65.59,NA,66.697,87.462,"E","Class2",98,77.281,7.255,"F"
62,49,81.546,39.438,10.232,80.793,"O","Class2",96,64.763,10.598,"P"
24,86,18.906,83.276,34.274,53.505,"W","Class1",72,4.9,93.295,"W"
81,29,42.365,36.804,71.882,25.316,"P","Class4",78,8.702,20.78,"M"
4,51,36.443,46.818,71.201,34.635,"B","Class4",75,20.415,20.416,"K"
48,44,46.28,51.884,71.286,60.466,"K","Class4",76,24.705,18.389,"K"
41,32,38.306,50.028,71.853,51.763,"K","Class4",78,65.221,18.899,"T"
33,29,59.305,76.668,97.133,78.769,"I","Class5",97,6.627,31.02,"B"
34,21,83.888,39.772,2.515,82.178,"J","Class2",96,46.796,16.582,"B"
62,64,56.708,34.204,72.289,79.342,"E","Class2",95,48.54,10.526,"P"
59,64,68.825,37.182,72.268,85.874,"K","Class2",98,75.473,10.32,"Y"
38,38,21.62,54.4,71.57,43.85,"C","Class4",92,40.841,14.839,"M"
28,81,70.827,87.537,30.152,55.84,"J","Class1",83,21.717,55.924,"B"
58,78,83.956,43.879,30.482,87.089,"O","Class2",100,31.594,17.999,"G"
28,86,28.054,87.842,31.006,65.418,"W","Class1",82,15.526,90.005,"B"
10,56,54.731,52.332,71.475,47.28,"C","Class4",83,50.781,16.549,"M"
23,80,52.827,86.616,34.183,58.484,"L","Class1",80,6.068,73.146,"W"
36,43,44.865,69.749,79.039,79.057,"C","Class5",68,6.153,27.435,"K"
34,15,64.66,56.1,72.866,81.362,"C","Class5",87,18.623,30.258,"S"
77,29,59.294,45.047,71.811,32.101,"K","Class4",84,67.339,22.046,"M"
39,47,59.908,40.939,34.083,86.342,"H","Class2",96,66.633,14.09,"B"
35,38,77.006,45.186,71.721,84.856,"O","Class5",82,16.571,19.93,"F"
53,58,53.456,38.361,15.229,87.458,"K","Class2",99,71.404,13.713,"Y"
25,81,19.611,85.366,29.471,66.136,"L","Class1",70,6.629,80.139,"N"
2,77,35.666,96.765,35.554,68.46,"F","Class3",41,81.874,48.151,"K"
4,77,35.577,54.633,31.301,70.937,"F","Class3",45,66.366,50.335,"O"
56,38,74.239,43.528,35.063,88.67,"J","Class2",96,78.821,11.912,"F"
54,39,31.258,37.708,71.87,58.02,"K","Class4",92,37.61,19.099,"M"
45,54,53.305,41.243,37.553,91.705,"H","Class2",95,39.208,15.714,"F"
4,77,35.349,22.213,30.387,63.51,"H","Class3",69,78.923,68.069,"O"
56,39,61.339,41.139,64.221,88.848,"H","Class2",91,78.327,12.666,"Y"
33,25,50.197,50.812,62.508,89.999,"R","Class5",86,16.315,21.794,"B"
83,37,80.7,38.648,71.562,37.965,"P","Class4",83,56.348,29.071,"T"
3,77,35.519,23.894,23.917,70.877,"X","Class3",69,65.126,58.304,"I"
29,82,32.473,83.476,33.285,50.061,"L","Class1",74,26.197,115.256,"U"
4,78,35.92,83.15,26.366,59.149,"H","Class3",53,54.707,83.016,"K"
35,53,64.92,63.369,56.808,89.556,"C","Class5",96,11.146,26.14,"L"
29,84,28.312,90.177,38.163,47.514,"B","Class1",82,22.142,100.566,"G"
83,19,43.433,47.362,72.072,53.603,"P","Class4",81,47.465,18.827,"H"
28,83,53.675,87.741,38.279,53.233,"W","Class1",69,1.305,47.834,"W"
2,77,36.425,85.965,27.891,64.881,"L","Class3",60,50.072,43.941,"X"
3,77,35.432,71.269,27.517,63.618,"F","Class3",55,50.44,53.632,"Z"
3,78,35.783,89.194,31.711,56.297,"X","Class3",61,86.269,58.393,"X"
35,91,51.378,66.359,102.177,89.148,"I","Class5",93,15.17,19.848,"L"
26,81,45.464,84.525,34.176,49.784,"S","Class1",70,0.24,50.791,"G"
4,77,35.416,75.001,35.265,55.53,NA,"Class3",61,92.429,50.509,"Z"
32,30,20.485,55.78,71.622,34.102,"K","Class4",86,45.8,9.522,"T"
26,85,26.322,NA,36.96,66.854,"S","Class1",76,10.721,53.5,"N"
23,81,48.725,82.927,28.697,55.12,"J","Class1",68,24.586,63.108,"W"
41,37,34.089,33.554,-46.894,83.547,"O","Class2",93,46.829,16.066,"Y"
25,86,2.657,92.395,37.584,62.112,"L","Class1",66,10.635,85.248,"B"
61,31,42.811,32.838,46.848,77.001,"H","Class2",96,81.001,13.148,"B"
61,50,63.848,34.297,79.883,80.84,"J","Class2",92,57.418,12.368,"G"
29,81,51.231,81.075,37.155,67.053,"J","Class1",77,22.544,67.36,"G"
27,81,34.306,NA,34.559,66.266,NA,"Class1",69,20.233,84.142,"G"
59,22,19.825,56.313,71.579,39.365,"B","Class4",77,67.281,24.411,"H"
29,83,58.038,92.194,35.787,47.725,"L","Class1",78,10.121,56.035,"N"
2,78,35.032,14.799,30.055,65.723,"X","Class3",63,52.704,61.371,"O"
80,41,41.734,54.088,71.127,30.017,"C","Class4",83,41.897,12.033,"T"
82,58,73.905,50.703,71.092,25.159,"C","Class4",80,33.722,27.276,"Q"
37,63,67.204,41.489,35.774,89.944,"O","Class2",97,29.46,4.432,"F"
29,83,40.398,89.808,31.552,67.54,"W","Class1",68,23.273,68.934,"W"
44,37,71.397,36.008,51.793,78.479,"J","Class2",93,76.646,12.749,"G"
53,22,39.841,38.864,17.75,91.775,"E","Class2",99,54.692,10.477,"Y"
37,38,60.851,37.064,19.126,90.66,"O","Class2",97,83.115,12.808,"G"
76,17,40.747,54.64,71.983,44.425,"K","Class4",86,39.606,29.413,"K"
3,77,35.345,32.4,23.363,56.536,"M","Class3",61,64.881,67.722,"K"
49,25,55.534,NA,71.119,23.921,"K","Class4",94,54.013,27.727,"T"
