"B1","B2","B3","Output27","B4","B5","B6","B7","B8","B9","B10","B11"
92,54.502,31.86,"Class5","A",31.036,99.365,29.532,25,58,70.629,"S"
45,37.758,16.679,"Class3","Z",23.042,59.275,51.397,52,74,62.726,"S"
76,76.89,21.187,"Class1","L",27.44,49.514,21.675,60,71,44.673,"C"
85,76.396,17.423,"Class1","H",27.585,44.602,55.71,57,67,50.247,"G"
85,81.395,17.121,"Class1","D",27.698,41.111,91.404,58,85,33.513,"T"
65,79.032,21.082,"Class1","G",27.445,43.058,40.149,62,68,26.925,"G"
84,78.093,34.19,"Class1","L",27.188,51.94,72.517,60,59,59.822,"C"
43,33.548,28.697,"Class3","L",23.751,17.196,55.851,80,73,57.668,"B"
89,55.167,37.513,"Class5","V",37.685,65.952,26.998,34,58,69.181,"N"
36,1.579,31.271,"Class3","L",21.776,20.278,55.283,45,74,60.108,"B"
48,22.46,31.307,"Class3","L",25.141,38.734,53.745,61,73,65.959,"S"
47,27.208,28.905,"Class3","Z",20.517,29.04,54.267,63,75,63.315,"J"
95,41.13,73.399,"Class2","J",61.069,83.176,27.392,70,29,41.977,"O"
38,52.383,37.964,"Class5","V",70.603,72.391,39.262,13,58,92.481,"S"
68,83.835,33.818,"Class1","Z",27.939,41.26,46.481,59,74,61.842,"C"
6,13.767,66.936,"Class4","P",50.905,15.394,64.961,52,47,29.886,"S"
8,18.237,71.147,"Class4","P",16.119,33.653,24.316,73,52,38.552,"D"
59,79.734,13.672,"Class1","G",27.752,63.623,26.048,62,59,48.379,"C"
90,59.435,75.85,"Class2","A",41.99,48.879,27.47,70,32,52.182,"C"
3,16.792,76.342,"Class4","Z",4.683,17.243,59.151,61,49,54.717,"W"
6,9.718,72.342,"Class4","P",46.492,24.267,49.61,77,40,40.701,"N"
92,53.387,75.275,"Class2","U",66.461,52.711,40.333,72,28,62.882,"C"
95,47.26,69.369,"Class2","G",80.521,89.953,45.808,74,31,56.034,"L"
43,38.395,31.659,"Class3","L",26.927,42.524,52.216,65,75,58.01,"B"
69,74.964,16.821,"Class1","L",27.603,26.328,80.337,61,61,44.307,"Q"
65,84.723,20.834,"Class1","G",27.495,35.483,82.509,62,70,55.223,"T"
8,24.184,62.333,"Class4","S",30.418,27.634,56.591,96,52,43.019,"J"
56,71.502,27.533,"Class5","Z",56.907,95.154,32.575,24,62,64.227,"S"
78,42.274,80.557,"Class2","E",73.24,75.713,43.532,68,30,30.486,"L"
85,76.198,21.089,"Class1","G",27.333,30.897,82.224,59,80,53.639,"Q"
45,NA,33.591,"Class5","Z",17.106,59.759,30.136,29,58,70.499,"H"
62,71.156,13.027,"Class1","H",28.213,46.057,36.694,63,78,38.612,"Q"
68,59.339,27.921,"Class5","L",54.514,80.137,36.496,31,63,82.372,"K"
96,66.812,70.312,"Class2","E",62.073,75.342,31.518,69,30,52.233,"O"
87,53.449,81.588,"Class2","A",51.259,71.753,35.024,69,29,41.398,"U"
8,32.884,64.842,"Class4","P",37.929,20.996,47.218,83,49,72.805,"J"
70,73.529,18.183,"Class1","L",27.721,47.562,18.61,62,71,39.51,"C"
9,12.444,81.167,"Class4","B",24.839,8.863,44.934,80,40,55.176,"W"
NA,59.626,33.946,"Class5","O",28.673,92.115,30.737,34,57,44.194,"D"
47,43.306,29.265,"Class3","H",26.142,42.776,53.903,51,74,55.493,"G"
9,23.004,74.886,"Class4","P",83.665,34.834,25.854,94,48,41.307,"S"
96,54.593,70.896,"Class2","U",70.021,51.991,48.56,68,33,30.024,"O"
4,17.173,76.707,"Class4","C",10.169,11.291,64.573,65,34,68.985,"D"
39,-7.157,16.292,"Class3","H",25.811,56.691,52.543,79,75,62.171,"I"
90,60.036,68.014,"Class2","E",64.161,55.397,36.005,70,30,12.692,"L"
81,64.29,70.273,"Class2","E",60.848,57.843,27.132,70,30,44.287,"A"
51,53.753,24.017,"Class5","V",25.375,72.416,36.176,30,61,60.248,"D"
88,72.8,76.727,"Class2","G",76.138,63.411,44.94,72,31,36.819,"L"
39,65.457,24.695,"Class3","H",25.628,23.307,54.644,79,73,68.829,"G"
2,19.153,76.558,"Class4","Z",35.534,34.75,58.774,93,47,50.44,"D"
98,59.51,78.799,"Class2","U",33.023,81.916,37.634,70,30,64.746,"L"
9,15.534,66.061,"Class4","S",37.384,41.523,62.231,41,38,65.372,"D"
81,78.069,27.704,"Class1","Z",27.29,42.534,59.53,58,77,56.865,"C"
93,NA,38.75,"Class5","Z",71.027,93.603,23.29,18,59,76.356,"K"
92,NA,68.06,"Class2","G",66.781,84.432,40.88,74,30,57.568,"C"
41,20.292,22.511,"Class3","H",23.271,16.477,51.848,45,74,56.685,"G"
72,76.818,34.304,"Class1","G",27.175,44.578,51.003,58,76,56.861,"H"
8,NA,59.587,"Class4","B",4.772,5.162,13.261,49,34,67.31,"D"
61,74.55,28.023,"Class1","Z",27.616,63.764,70.402,60,89,44.181,"G"
49,20.28,12.546,"Class3","L",23.724,46.932,53.113,82,74,65.531,"S"
86,73.077,68.145,"Class2","G",60.926,51.817,44.6,74,29,50.29,"L"
68,78.301,30.574,"Class1","L",27.445,45.254,73.699,59,71,49.295,"G"
90,70.512,75.454,"Class2","A",45.313,63.65,27.244,72,31,34.613,"C"
40,43.504,24.737,"Class3","W",23.712,31.281,52.8,67,73,59.332,"B"
72,78.272,33.39,"Class1","L",28.067,59.612,77.568,59,62,59.849,"C"
5,31.769,58.603,"Class4","S",32.774,23.807,56.732,96,44,55.2,"J"
40,46.088,32.855,"Class5","L",40.36,86.955,36.401,24,62,92.539,"N"
87,69.428,82.63,"Class2","U",63.601,93.227,35.669,71,32,48.943,"C"
5,27.731,77.063,"Class4","S",31.705,23.521,27.295,68,47,71.801,"S"
71,77.141,21.473,"Class1","Z",27.388,33.644,59.735,61,54,36.524,"G"
86,58.454,78.113,"Class2","E",65.21,78.404,46.574,70,33,16.479,"L"
50,49.246,15.977,"Class3","Z",23.153,25.999,54.466,66,73,66.697,"B"
62,80.575,28.805,"Class1","L",27.735,45.859,47.211,62,60,58.737,"C"
97,57.455,76.465,"Class2","U",46.468,54.822,37.198,68,28,45.398,"O"
51,42.599,33.94,"Class3","I",26.694,59.244,53.068,46,74,61.425,"B"
86,53.644,81.4,"Class2","J",64.284,90.482,41.481,72,32,44.349,"L"
65,59.949,37.723,"Class5","Z",99.526,73.114,30.442,11,61,80.764,"K"
49,23.783,32.584,"Class3","W",26.764,25.45,52.49,68,75,58.056,"G"
8,12.601,73.436,"Class4","Z",44.036,31.763,52.959,76,42,67.233,"J"
88,64.541,72.102,"Class2","J",48.778,73.433,29.237,68,32,64.982,"A"
67,70.298,20.518,"Class1","Z",27.189,50.152,52.784,59,80,33.724,"Q"
68,57.927,33.807,"Class5","L",58.046,63.238,35.056,27,62,38.573,"D"
86,79.335,30.921,"Class1","L",27.585,31.905,40.138,57,54,57.042,"Q"
99,61.737,67.508,"Class2","J",64.657,81.74,27.632,74,30,62.135,"A"
89,62.174,68.278,"Class2","E",60.98,56.703,38.695,72,29,23.674,"O"
80,49.413,77.738,"Class2","A",59.063,79.175,39.942,70,30,33.353,"U"
67,NA,26.783,"Class1","D",27.457,38.253,45.125,59,66,56.826,"H"
98,42.296,74.041,"Class2","U",60.723,109.698,26.69,71,32,36.878,"U"
37,59.4,26.58,"Class5","V",40.849,81.945,40.778,12,57,38.251,"S"
80,76.083,27.697,"Class1","H",27.929,48.563,75.546,59,66,61.913,"T"
59,80.064,19.826,"Class1","G",26.942,47.425,92.598,59,84,25.165,"T"
39,47.292,24.911,"Class3","Z",21.584,62.254,51.309,56,74,62.763,"B"
NA,34.392,29.323,"Class3","Z",27.855,42.777,54.757,54,74,56.235,"J"
91,62.623,69.669,"Class2","E",79.968,72.72,36.476,68,33,37.66,"A"
86,75.5,14.125,"Class1","H",27.759,38.05,32.598,63,68,63.34,"C"
NA,17.396,80.21,"Class4","B",34.913,33.428,50.639,70,40,33.333,"W"
64,52.131,33.99,"Class5","L",21.024,65.916,31.78,32,64,89.122,"H"
96,66.298,82.7,"Class2","U",64.18,78.522,33.997,73,29,53.562,"A"
67,79.469,21.243,"Class1","D",26.682,53.725,50.491,63,75,64.376,"Q"
72,62.088,35.754,"Class5","V",15.985,66.684,36.298,25,60,74.667,"N"
76,76.083,13.923,"Class1","Z",26.873,37.095,53.621,58,80,64.203,"H"
100,58.697,67.738,"Class2","A",72.47,74.345,32.874,68,29,60.861,"U"
83,53.662,79.931,"Class2","U",59.35,71.606,41.015,70,33,25.008,"U"
51,33.791,12.109,"Class3","L",23.024,51.716,55.642,43,73,62.477,"J"
9,25.625,69.532,"Class4","C",32.727,23.978,8.228,48,39,54.786,"W"
87,74.984,19.753,"Class1","G",27.37,38.442,41.333,58,63,45.072,"G"
7,16.182,59.817,"Class4","Z",31.386,22.204,20.738,67,37,69.067,"S"
82,77.519,33.639,"Class1","H",27.92,38.301,83.668,63,65,29.619,"G"
83,73.492,13.118,"Class1","H",27.929,47.45,63.402,61,60,58.177,"H"
3,13.693,78.939,"Class4","C",30.809,17.867,14.58,44,37,41.9,"D"
88,60.409,73.187,"Class2","A",61.088,60.302,26.806,71,29,25.073,"O"
81,62.619,71.991,"Class2","G",44.274,45.745,27.382,70,32,57.19,"A"
42,26.373,17.232,"Class3","H",25.746,72.648,55.32,77,73,62.231,"G"
3,15.726,57.028,"Class4","B",26.439,43.141,27.922,78,36,64.426,"W"
8,10.777,62.104,"Class4","Z",45.895,23.713,31.576,67,38,54.347,"W"
60,66.141,27.908,"Class5","V",80.373,75.335,24.694,10,64,36.693,"D"
77,76.44,34.14,"Class1","D",27.148,44.886,72.897,62,89,24.234,"H"
40,65.121,31.796,"Class3","Z",24.734,4.877,54.514,43,74,68.162,"G"
86,55.068,66.116,"Class2","G",59.773,87.626,43.538,71,33,19.533,"L"
37,42.685,24.005,"Class3","L",26.932,41.196,51.023,83,73,63.138,"J"
NA,77.004,79.72,"Class2","G",70.771,74.868,47.902,74,32,60.879,"C"
4,35.527,67.547,"Class4","B",25.24,18.737,22.588,71,39,35.791,"D"
NA,80.206,16.578,"Class1","H",27.4,45.993,65.844,57,79,53.454,"T"
4,23.72,68.952,"Class4","C",23.85,20.78,49.165,52,49,43.667,"D"
48,6.852,16.788,"Class3","I",26.172,49.191,53.523,44,74,65.35,"I"
5,18.85,75.522,"Class4","P",42.582,17.599,37.952,72,41,72.584,"J"
6,22.705,82.324,"Class4","B",56.976,41.523,11.012,64,45,66.157,"N"
92,47.412,78.963,"Class2","U",58.857,66.743,42.894,74,31,44.843,"A"
66,77.777,21.321,"Class1","L",27.809,31.432,52.312,61,87,48.423,"H"
3,18.732,59.709,"Class4","S",17.147,36.409,37.958,86,39,40.428,"S"
8,19.208,67.435,"Class4","Z",40.054,18.936,65.21,70,48,70.398,"S"
42,23.503,26.331,"Class3","Z",25.453,24.76,54.005,59,74,60.713,"B"
87,78.345,22.22,"Class1","G",27.92,53.698,91.122,57,62,24.756,"Q"
36,51.388,33.57,"Class3","W",26.293,0.437,53.539,62,75,63.29,"J"
60,84.318,37.82,"Class1","G",27.67,63.31,35.141,59,82,28.624,"H"
86,57.687,24.491,"Class5","L",54.764,97.621,30.208,23,63,79.065,"S"
2,23.004,61.86,"Class4","Z",-5.209,17.56,8.804,50,43,36.3,"N"
96,52.862,75.026,"Class2","A",48.632,57.069,45.392,69,32,32.576,"L"
68,80.053,13.791,"Class1","G",26.954,41.969,45.117,63,64,57.901,"H"
70,87.766,30.163,"Class1","Z",27.615,63.452,88.04,61,84,43.36,"H"
61,75.548,25.628,"Class1","D",27.399,56.014,46.833,60,89,62.183,"T"
83,78.75,19.887,"Class1","Z",27.277,43.042,65.647,60,57,40.787,"C"
83,52.732,35.825,"Class5","L",36.329,99.31,23.08,25,63,61.586,"H"
82,57.845,81.089,"Class2","U",58.534,68.806,32.819,74,32,31.604,"O"
42,45.935,15.044,"Class3","H",24.316,34.147,52.586,69,75,63.997,"I"
72,77.963,32.7,"Class1","L",26.823,42.307,21.039,57,86,44.738,"H"
96,49.836,28.856,"Class5","L",73.991,80.324,33.219,14,57,41.35,"S"
3,30.515,61.064,"Class4","S",40.559,31.919,19.197,96,52,61.38,"N"
84,65.925,78.712,"Class2","G",53.946,103.984,31.846,72,31,39.161,"O"
69,72.464,37.198,"Class1","L",27.379,44.462,36.374,63,80,51.633,"Q"
8,NA,80.205,"Class4","P",47.785,32.646,26.596,50,44,47.184,"S"
45,29.154,34.38,"Class3","L",21.536,-13.245,53.523,57,75,57.278,"I"
62,79.734,28.306,"Class1","L",28.153,43.247,83.892,57,75,24.647,"T"
36,39.288,12.512,"Class3","L",26.664,19.559,54.336,69,75,61.505,"G"
97,45.737,68.946,"Class2","G",59.828,77.727,46.283,68,32,17.234,"A"
82,78.539,28.364,"Class1","D",27.762,31.132,60.088,60,79,58.5,"Q"
42,45.483,28.8,"Class3","Z",25.139,2.107,51.665,48,74,66.556,"G"
84,77.22,35.841,"Class1","Z",27.534,41.534,76.6,63,83,42.907,"T"
85,84.905,28.125,"Class1","L",27.274,43.438,62.208,60,59,42.459,"C"
3,NA,72.607,"Class4","Z",50.253,21.342,14.75,56,43,61.791,"W"
80,54.86,38.454,"Class5","Z",62.903,72.855,39.983,35,58,62.72,"K"
45,17.136,33.327,"Class3","Z",25.23,40.476,55.464,41,74,58.263,"J"
60,70.191,32.314,"Class5","A",45.223,79.291,34.593,32,57,91.978,"K"
83,54.959,76.325,"Class2","E",60.699,66.592,32.213,72,28,53.482,"C"
83,NA,71.508,"Class2","A",54.341,72.558,48.373,70,33,16.457,"U"
49,43.656,35.409,"Class3","Z",25.383,32.336,52.139,43,73,55.036,"J"
78,40.423,66.365,"Class2","A",60.46,62.282,43.579,74,28,58.487,"U"
50,35.016,30.214,"Class3","W",27.827,22.847,55.013,74,73,58.032,"B"
49,39.418,13.883,"Class3","Z",28.495,41.008,52.989,71,75,58.216,"S"
78,78.556,13.411,"Class1","D",26.919,45.526,74.578,63,72,48.25,"C"
90,61.918,36.846,"Class5","O",60.271,62.128,37.545,26,58,78.97,"H"
76,80.351,29.841,"Class1","Z",27.642,43.685,48.548,61,76,53.426,"H"
3,18.488,57.814,"Class4","S",7.725,49.717,33.163,47,49,58.101,"N"
94,63.026,27.909,"Class5","L",101.565,78.622,28.399,26,59,52.107,"K"
43,52.332,25.265,"Class5","Z",57.749,69.162,27.778,25,58,40.932,"K"
78,57.041,82.45,"Class2","E",77.307,81.788,32.865,68,31,17.011,"L"
82,73.455,18.435,"Class1","D",27.477,32.659,52.209,57,89,62.306,"T"
78,84.828,21.668,"Class1","L",28.118,47.028,25.994,57,70,49.411,"G"
79,81.681,14.516,"Class1","D",27.937,37.273,59.2,62,80,52.766,"T"
7,29.048,75.468,"Class4","Z",62.45,27.49,9.847,86,52,65.512,"W"
3,23.773,74.491,"Class4","C",51.851,37.905,16.735,52,50,43.752,"J"
5,17.933,69.598,"Class4","P",24.961,18.225,17.179,48,41,48.264,"D"
42,27.828,16.111,"Class3","W",21.327,21.815,54.906,59,75,62.903,"I"
6,NA,66.389,"Class4","Z",41.079,40.691,28.622,66,40,69.079,"D"
61,84.516,35.35,"Class1","H",28.427,39.345,89.314,61,71,41.321,"G"
NA,57.301,69.4,"Class2","A",70.611,46.501,45.216,68,29,39.092,"C"
85,63.162,79.759,"Class2","U",40.457,64.425,41.366,73,30,36.993,"A"
80,77.974,24.629,"Class1","H",27.786,55.43,91.074,62,76,32.648,"G"
94,56.029,72.594,"Class2","E",32.05,54.952,40.678,73,32,25.723,"C"
36,25.306,16.907,"Class3","I",22.056,54.655,52.897,73,75,64.35,"I"
96,53.838,77.697,"Class2","J",74.799,84.979,33.33,74,32,27.775,"L"
8,21.384,79.495,"Class4","Z",38.516,23.443,17.728,83,45,58.429,"J"
92,55.953,70.753,"Class2","A",74.562,96.371,40.39,72,30,36.021,"L"
83,56.529,66.521,"Class2","G",67.754,72.38,45.107,74,32,23.47,"C"
86,54.57,71.874,"Class2","E",68.121,46.542,36.979,70,33,60.176,"C"
81,NA,71.696,"Class2","E",60.51,71.045,28.806,74,30,23.726,"U"
79,70.217,26.769,"Class5","A",65.515,86.941,24.355,15,58,85.316,"H"
42,25.156,26.434,"Class3","H",24.717,34.976,53.46,68,73,62.785,"G"
89,58.607,28.216,"Class5","O",100.277,74.131,33.321,14,60,71.395,"H"
85,50.086,72.437,"Class2","U",61.794,63.348,43.793,70,29,44.335,"A"
86,82.525,35.438,"Class1","H",27.776,29.651,42.628,60,75,34.953,"G"
67,81.839,22.408,"Class1","G",27.36,42.49,53.922,57,81,42.928,"H"
5,18.228,66.108,"Class4","Z",27.841,21.132,54.939,52,42,56.664,"J"
82,64.164,80.348,"Class2","J",75.852,64.407,43.948,70,28,22.806,"L"
74,80.423,13.846,"Class1","H",27.308,30.394,67.228,63,85,42.807,"C"
7,19.526,77.628,"Class4","C",-8.414,57.845,51.665,67,48,43.73,"S"
77,76.499,21.704,"Class1","G",26.735,51.65,46.322,63,62,26.567,"H"
51,64.183,15.922,"Class3","W",28.31,17.385,55.915,72,74,62.558,"J"
3,25.922,57.46,"Class4","Z",51.376,25.854,24.794,40,41,44.241,"D"
87,42.186,66.86,"Class2","E",48.605,43.434,40.656,72,29,56.912,"L"
2,18.58,80.185,"Class4","B",51.723,32.159,10.34,95,48,44.419,"D"
81,75.822,19.031,"Class1","D",26.794,28.245,41.877,60,65,62.754,"T"
53,59.244,28.539,"Class5","O",-5.449,69.059,23.172,14,64,84.786,"N"
65,82.063,29.436,"Class1","D",27.646,39.9,33.342,60,85,52.182,"G"
89,67.809,73.134,"Class2","U",54.311,39.469,33.978,71,28,24.815,"O"
6,34.496,57.664,"Class4","S",39.685,39.328,48.177,76,42,49.465,"J"
NA,74.677,33.553,"Class1","H",27.996,42.852,67.297,57,54,24.754,"C"
59,48.505,31.654,"Class5","Z",86.549,88.353,23.291,29,57,53.5,"K"
64,70.297,34.985,"Class5","Z",56.196,57.483,26.95,15,60,64.743,"H"
36,39.686,13.049,"Class3","I",25.075,30.016,55.57,44,75,62.531,"J"
3,19.127,66.679,"Class4","Z",22.251,11.466,7.414,89,39,41.762,"N"
72,NA,23.816,"Class1","L",27.27,43.742,56.594,61,61,29.355,"Q"
63,76.524,22.671,"Class1","L",27.265,51.768,65.593,63,74,63.667,"T"
2,41.379,67.844,"Class4","B",26.338,37.748,35.626,94,45,66.887,"D"
48,NA,34.38,"Class3","I",26.641,-0.364,54.378,80,73,64.009,"J"
5,19.007,74.254,"Class4","C",4.566,10.058,58.35,80,41,45.05,"J"
73,65.075,40.732,"Class5","V",75.532,66.465,30.986,12,62,64.315,"N"
43,25.742,14.985,"Class3","Z",22.778,11.592,54.968,43,73,56.99,"S"
2,29.652,80.623,"Class4","C",27.244,35.537,18.043,59,51,36.321,"W"
8,NA,63.551,"Class4","C",56.55,35.123,58.231,90,44,49.165,"W"
36,72.681,26.81,"Class5","Z",62.031,77.171,31.2,28,61,78.964,"D"
NA,18.369,73.827,"Class4","S",51.924,23.073,39.145,84,41,70.493,"W"
9,5.257,68.107,"Class4","C",17.396,21.693,19.928,90,52,54.872,"W"
49,NA,16.931,"Class3","L",24.629,45.517,54.279,45,75,60.992,"J"
92,66.084,37.359,"Class5","V",29.171,96.466,36.369,13,60,48.336,"S"
47,23.593,17.079,"Class3","H",23.236,-15.988,53.356,55,74,61.237,"G"
70,83.383,27.975,"Class1","H",27.505,33.424,53.108,59,71,25.074,"H"
85,59.469,68.207,"Class2","G",69.676,53.887,44.729,68,29,17.556,"U"
69,67.443,27.268,"Class5","O",50.366,81.526,39.253,21,61,44.001,"H"
39,27.399,16.598,"Class3","W",25.726,2.397,51.806,77,73,65.986,"S"
63,79.522,22.202,"Class1","D",27.274,38.265,68.582,62,86,52.962,"H"
80,81.066,37.244,"Class1","Z",27.342,41.823,21.518,60,84,27.174,"H"
6,28.26,80.322,"Class4","S",32.153,17.156,22.926,88,39,69.684,"S"
59,77.382,25.401,"Class1","L",27.755,40.742,65.075,58,61,24.607,"G"
44,61.972,12.479,"Class3","H",26.498,21.639,51.286,40,75,64.163,"J"
61,51.205,37.922,"Class5","A",25.188,74.002,37.134,33,64,50.025,"D"
2,23.543,60.091,"Class4","Z",1.567,13.382,52.362,82,50,42.924,"S"
52,35.038,32.858,"Class5","Z",46.564,86.699,34.31,27,58,90.827,"N"
81,83.37,37.204,"Class1","L",27.852,52.647,70.546,58,65,60.614,"H"
62,78.06,33.455,"Class1","Z",27.597,39.2,69.735,58,79,52.146,"Q"
85,55.087,36.258,"Class5","V",38.231,63.847,31.944,30,61,87.699,"D"
86,58.565,75.909,"Class2","E",65.592,57.901,45.021,68,28,10.705,"O"
92,57,39.025,"Class5","L",71.691,97.661,37.267,19,60,91.344,"H"
5,10.693,59.737,"Class4","P",21.229,64.926,51.528,82,49,54.198,"J"
4,24.944,61.033,"Class4","Z",37.766,9.08,18.206,89,39,63.568,"J"
81,49.687,69.528,"Class2","G",55.624,48.425,40.374,73,31,37.27,"L"
80,44.046,80.925,"Class2","U",45.385,61.689,30.594,73,28,54.339,"L"
44,-9.24,36.059,"Class3","I",26.661,20.167,52.255,46,74,63.471,"I"
6,11.183,61.374,"Class4","B",34.657,31.418,33.001,94,52,53.941,"S"
81,54.097,69.836,"Class2","E",64.889,56.302,41.694,68,28,55.187,"C"
6,40.152,74.315,"Class4","P",28.343,26.919,64.929,40,46,39.672,"S"
96,67.305,80.941,"Class2","A",61.761,107.165,37.067,69,31,60.383,"A"
6,29.789,66.806,"Class4","S",42.146,30.88,48.244,71,37,53.361,"D"
47,45.228,18.632,"Class3","H",23.168,39.356,53.717,78,73,63.579,"G"
55,68.873,39.882,"Class5","V",2.399,73.419,26.281,31,57,74.564,"S"
41,18.836,27.912,"Class3","Z",23.522,38.73,53.324,57,75,66.939,"I"
93,53.883,33.264,"Class5","L",53.33,83.264,36.683,15,58,62.636,"D"
37,34.208,14.54,"Class3","Z",27.211,0.673,52.152,41,75,60.821,"I"
42,4.502,31.661,"Class3","L",28.102,22.831,55.286,60,75,55.67,"S"
68,71.372,30.206,"Class1","L",26.977,59.41,59.324,63,63,62.533,"Q"
83,52.804,40.127,"Class5","O",47.794,82.38,39.027,14,63,52.65,"S"
69,54.041,28.44,"Class5","V",16.039,84.935,24.354,10,64,58.136,"K"
37,40.242,19.366,"Class3","H",26.084,31.774,55.775,68,75,59.99,"J"
38,8.011,30.115,"Class3","W",19.834,44.928,54.784,49,74,61.103,"G"
5,19.944,77.215,"Class4","P",32.877,-2.224,32.8,91,39,66.002,"W"
86,55.003,81.014,"Class2","G",50.783,73.565,32.66,70,30,58.256,"C"
3,28.217,62.732,"Class4","P",50.51,32.603,46.906,44,44,45.881,"S"
9,29.626,79.163,"Class4","P",43.078,42.309,33.64,57,41,62.618,"J"
93,70.698,30.988,"Class5","L",26.513,69.273,34.804,10,59,77.171,"S"
NA,31.115,74.813,"Class4","C",23.388,16.597,7.324,61,39,69.999,"J"
93,54.327,74.565,"Class2","E",68.4,63.854,36.025,70,31,39.506,"O"
43,47.913,13.143,"Class3","H",28.082,32.858,54.561,55,75,64.278,"J"
38,47.309,24.684,"Class5","L",36.801,80.01,37.13,33,63,74.089,"K"
90,48.002,36.136,"Class5","L",31.886,89.111,27.05,28,60,90.295,"S"
43,26.435,15.364,"Class3","L",26.275,67.185,54.723,49,75,55.056,"J"
62,80.91,32.049,"Class1","H",27.525,48.29,47.841,62,81,54.166,"Q"
87,78.212,33.56,"Class1","H",27.255,50.646,68.903,58,61,36.573,"Q"
2,28.068,71.783,"Class4","Z",-10.303,32.211,23.642,68,37,57.674,"J"
89,55.522,67.893,"Class2","G",50.086,55.441,36.585,68,32,54.696,"O"
5,30.357,80.062,"Class4","P",-2.016,20.533,65.409,89,47,29.983,"S"
NA,79.256,32.261,"Class1","Z",27.692,44.647,84.473,58,77,28.487,"C"
80,63.054,72.401,"Class2","U",72.258,82.793,30.764,70,28,40.901,"C"
92,65.539,79.276,"Class2","E",50.83,68.786,37.64,74,30,24.579,"L"
9,15.059,80.12,"Class4","P",10.572,53.281,42.897,65,49,57.608,"W"
99,51.452,71.659,"Class2","U",49.194,68.74,36.954,71,28,39.709,"C"
8,37.455,72.899,"Class4","B",26.798,43.736,64.825,67,40,73.334,"D"
68,77.036,30.168,"Class1","L",27.367,48.325,36.432,59,81,51.682,"T"
46,58.44,32.514,"Class5","A",54.645,78.806,28.988,31,60,65.52,"D"
77,57.918,38.034,"Class5","O",36.864,85.809,26.362,32,58,66.966,"H"
36,47.595,31.128,"Class5","V",37.465,70.448,27.389,30,58,73.836,"H"
47,46.625,13.141,"Class3","L",27.16,17.019,52.11,76,73,63.253,"G"
87,49.671,73.102,"Class2","A",38.323,51.86,37.351,70,31,55.267,"U"
48,54.881,31.223,"Class5","V",32.001,69.58,31.966,31,61,55.002,"N"
38,47.977,28.141,"Class3","L",21.16,12.462,55.782,60,75,66.859,"J"
44,45.171,28.126,"Class5","Z",24.93,98.466,39.864,21,62,74.588,"H"
6,13.985,82.864,"Class4","B",-9.787,-2.224,57.234,52,52,63.813,"J"
92,66.78,73.412,"Class2","G",64.335,40.541,48.337,71,29,49.739,"A"
95,65.511,81.338,"Class2","J",48.474,82.096,34.355,71,28,27.537,"U"
51,16.682,19.762,"Class3","W",24.688,35.397,52.49,82,73,67.997,"I"
53,42.322,35.772,"Class5","O",38.232,65.521,23.347,22,63,78.646,"D"
46,19.608,26.641,"Class3","I",27.968,65.905,51.809,55,73,66.051,"S"
NA,1.131,74.442,"Class4","C",37.353,31.225,22.507,45,45,42.181,"D"
9,17.488,70.158,"Class4","C",19.314,17.885,21.677,84,46,36.804,"D"
63,77.623,34.9,"Class1","Z",27.314,62.85,58.195,57,57,30.993,"Q"
40,50.879,33.244,"Class3","L",26.572,34.502,53.63,78,75,65.696,"G"
88,67.689,36.187,"Class5","L",67.909,65.15,29.023,32,62,65.677,"D"
NA,NA,28.716,"Class3","W",22.737,-18.615,55.647,72,75,61.123,"I"
76,80.232,19.45,"Class1","D",27.531,59.857,58.148,63,63,61.573,"C"
94,69.611,76.811,"Class2","E",57.201,30.023,38.714,71,29,35.095,"L"
80,77.874,27.327,"Class1","Z",27.322,45.932,86.59,61,88,30.09,"G"
85,76.327,13.711,"Class1","H",27.824,38.309,57.786,61,58,46.895,"C"
56,55.257,37.546,"Class5","L",1.651,67.379,30.631,15,57,74.331,"S"
87,62.434,67.298,"Class2","A",50.526,73.253,48.632,74,33,46.301,"O"
69,78.808,27.052,"Class1","D",26.761,47.72,20.153,59,86,51.907,"H"
39,68.896,24.901,"Class5","L",83.428,74.221,39.72,16,60,37.91,"H"
81,68.508,74.522,"Class2","U",84.868,61.976,29.915,72,32,60.948,"C"
41,47.475,21.382,"Class3","I",28.106,7.297,53.933,73,73,56.043,"I"
61,49.262,34.726,"Class5","O",39.18,71.853,32.386,12,59,43.784,"S"
84,58.62,66.126,"Class2","U",67.427,78.576,29.568,72,28,41.762,"A"
68,78.533,22.757,"Class1","G",26.841,41.641,74.699,60,65,24.283,"G"
84,80.872,17.425,"Class1","D",27.614,47.918,92.281,60,64,62.766,"H"
7,22.876,72.11,"Class4","P",48.717,42.393,61.3,77,44,34.155,"J"
78,55.786,24.675,"Class5","L",42.757,86.73,38.963,30,58,39.826,"K"
4,30.772,75.641,"Class4","P",27.938,11.626,64.199,81,46,72.834,"W"
51,51.387,30.6,"Class3","I",28.354,18.357,51.789,67,73,58.338,"J"
84,80.083,22.414,"Class1","G",27.404,54.012,60.305,57,74,52.201,"G"
NA,NA,24.666,"Class1","D",27.678,44.889,88.555,57,70,59.637,"C"
62,76.784,36.678,"Class1","Z",27.587,51.521,65.76,62,59,61.686,"H"
