"G1","G2","G3","G4","Output6","G5","G6","G7","G8","G9","G10","G11"
70,4.69,"S",66,"Class4",52.238,46.534,57.045,5.011,35,"I",68.854
19,92.809,"X",33,"Class1",39.52,92.136,58.115,85.473,20,"G",20.924
67,2.47,"G",75,"Class4",54.85,75.48,55.962,5.089,34,"J",70.698
27,84.33,"D",32,"Class1",73.884,93.88,56.83,88.327,27,"R",10.227
47,51.795,"D",36,"Class1",55.446,92.628,37.291,82.037,24,"P",18.802
55,20.999,"W",74,"Class4",55.237,35.153,61.121,5.318,35,"K",79.654
93,20.773,"G",60,"Class3",25.214,54.287,79.858,31.823,12,"Z",59.972
93,35.496,"B",49,"Class3",16.128,7.547,89.155,15.594,36,"W",17.504
NA,60.773,"I",34,"Class1",95.68,85.332,46.496,84.877,15,"G",1.667
83,27.9,"G",82,"Class4",51.958,42.869,62.572,5.324,33,"K",72.927
63,28.698,"S",71,"Class4",59.107,69.463,74.94,5.363,34,"J",63.496
71,19.365,"P",64,"Class4",50.667,60.433,35.535,5.365,33,"I",70.139
94,15.988,"G",57,"Class3",49.306,31.583,89.312,85.589,74,"R",81.739
66,15.47,"X",73,"Class2",80.509,46.908,84.327,33.263,72,"F",68.926
61,2.002,"V",62,"Class4",56.932,21.346,52.733,5.974,34,"Y",81.121
75,4.653,"P",66,"Class4",60.267,46.728,35.732,5.82,33,"J",69.522
85,54.159,"C",72,"Class2",39.786,47.337,83.789,29.089,77,"G",32.4
14,7.534,"C",72,"Class2",46.722,46.147,81.113,42.17,76,"Z",77.307
72,18.06,"G",81,"Class4",58.209,56.692,63.974,5.044,33,"Y",66.226
42,3.57,"S",78,"Class4",52.306,80.808,43.931,5.057,33,"K",59.687
31,70.102,"D",33,"Class1",54.254,89.379,55.925,82.757,16,"N",3.751
52,NA,"C",72,"Class2",65.482,46.177,85.951,23.661,77,"Z",47.785
NA,63.227,"U",29,"Class1",54.644,88.805,67.794,90.705,24,"G",11.695
53,NA,"N",30,"Class1",97.101,94.887,47.266,89.687,14,"B",22.164
67,8.053,"U",72,"Class2",49.168,47.123,87.139,24.996,74,"Z",47.325
25,22.808,"N",73,"Class2",79.362,45.44,86.325,40.293,75,"Z",71.429
93,33.004,"G",53,"Class3",17.853,3.134,90.946,52.078,65,"Z",-11.546
45,47.859,"U",29,"Class1",45.313,88.648,37.471,83.432,11,"N",13.179
34,41.331,"V",72,"Class2",39.229,47.01,83.514,47.733,71,"F",67.73
96,74.908,"B",41,"Class3",17.358,14.541,93.077,15.604,20,"R",71.364
74,22.216,"S",76,"Class4",57.371,48.291,47.331,5.375,33,"I",74.155
94,22.141,"Q",35,"Class3",33.952,15.973,92.349,15.452,72,"R",34.928
93,36.458,"L",49,"Class3",14.471,36.082,90.24,66.231,29,"P",42.688
32,6.252,"P",62,"Class4",58.54,67.912,55.151,5.793,35,"K",78.621
37,42.834,"X",72,"Class2",34,46.566,87.364,11.572,76,"F",57.621
94,48.42,"B",45,"Class3",44.719,46.838,87.149,21.776,49,"S",42.53
58,20.544,"G",80,"Class4",57.545,8.571,39.521,5.495,35,"Y",55.069
96,13.517,"L",50,"Class3",65.971,66.44,91.387,54.568,40,"Z",47.084
78,25.507,"G",81,"Class4",49.015,62.207,52.771,5.502,34,"J",72.438
40,20.513,"V",69,"Class4",49.465,50.85,64.126,5.177,34,"P",65.454
18,54.646,"U",40,"Class1",47.56,98.316,54.982,89.767,13,"P",22.435
49,20.718,"V",72,"Class2",62.38,45.392,87.055,35.236,78,"H",45.219
7,57.962,"N",34,"Class1",37.462,92.633,53.561,81.952,15,"B",26.679
28,69.06,"I",42,"Class1",97.287,86.405,71.793,85.098,25,"N",6.397
15,46.739,"U",72,"Class2",57.072,46.942,83.568,38.284,72,"G",47.448
40,14.842,"V",73,"Class2",63.556,48.502,89.95,42.462,76,"U",25.289
72,NA,"P",72,"Class4",50.42,65.423,71.226,5.653,35,"P",82.491
29,46.818,"X",41,"Class1",80.07,87.333,45.44,84.271,25,"B",19.26
42,48.017,"X",35,"Class1",73.814,88.081,54.124,92.319,29,"R",16.382
26,48.678,"X",39,"Class1",62.823,94.147,54.317,86.194,24,"B",22.563
55,13.13,"N",73,"Class2",61.413,47.272,86.788,32.796,78,"Z",50.814
56,50.291,"V",73,"Class2",48.243,45.359,80.572,57.057,76,"G",55.115
69,23.711,"V",73,"Class2",33.547,47.016,87.028,53.448,77,"H",66.352
62,54.065,"X",73,"Class2",55.448,46.648,85.228,28.968,74,"U",41.658
47,18.834,"V",65,"Class4",49.844,68.862,70.551,5.687,34,"Y",58.962
48,36.775,"C",72,"Class2",54.712,47.994,85.617,53.606,71,"G",61.186
27,4.741,"U",72,"Class2",38.091,47.262,87.275,56.093,72,"F",47.112
40,44.268,"X",29,"Class1",47.058,85.03,52.124,88.687,23,"G",13.507
94,25.807,"B",56,"Class3",68.411,41.757,80.846,57.359,9,"S",5.082
68,14.355,"G",60,"Class4",58.848,57.78,62.206,5.745,35,"I",67.99
52,8.706,"S",72,"Class4",50.156,55.067,38.904,5.083,34,"J",84.963
96,NA,"K",32,"Class3",80.276,21.639,90.925,21.132,47,"W",62.704
96,15.14,"L",32,"Class3",77.049,31.464,86.874,86.091,13,"Z",34.812
43,18.915,"P",74,"Class4",56.307,61.37,48.843,5.411,33,"I",68.695
44,2.803,"W",74,"Class4",54.247,37.149,48.349,5.841,35,"P",79.058
33,35.787,"V",72,"Class2",63.384,45.032,83.862,47.698,74,"F",49.614
NA,56.068,"N",42,"Class1",68.104,93.943,59.719,88.63,27,"G",15.902
95,78.361,"Q",42,"Class3",68.353,43.488,89.048,16.497,49,"S",74.113
36,20.385,"X",72,"Class2",75.909,44.453,85.854,23.321,72,"F",48.891
70,7.096,"N",72,"Class2",70.14,45.334,85.211,46.654,75,"F",61.536
67,19.517,"V",78,"Class4",58.744,21.205,46.289,5.734,34,"K",63.502
44,48.262,"N",41,"Class1",37.627,89.983,50.806,82.555,27,"N",16.509
58,17.911,"S",66,"Class4",58.021,14.034,73.942,5.991,34,"I",74.897
52,9.936,"G",82,"Class4",51.284,31.018,59.732,5.443,34,"K",73.682
55,60.348,"V",72,"Class2",56.529,48.147,87.793,49.486,71,"G",44.378
96,46.709,"K",41,"Class3",15.595,31.807,88.986,65.924,65,"S",27.127
56,26.732,"V",59,"Class4",52.264,35.682,68.324,5.135,34,"Y",66.518
93,53.395,"L",52,"Class3",76.216,41.497,86.666,27.352,71,"W",19.994
50,78.952,"D",39,"Class1",99.104,88.795,54.225,86.151,26,"N",16.792
42,28.56,"W",70,"Class4",54.185,97.58,70.731,5.216,35,"P",76.436
53,93.796,"N",42,"Class1",89.534,99.627,59.45,83.856,21,"R",-1.937
54,64.571,"X",39,"Class1",84.537,84.694,52.132,91.883,12,"N",6.368
93,45.521,"K",55,"Class3",52.4,0.172,86.284,13.748,47,"P",23.818
68,15.925,"W",59,"Class4",58.941,37.338,45.223,5.573,34,"Y",76.962
NA,38.163,"G",59,"Class3",57.164,17.54,94.146,70.421,36,"Z",38.213
54,15.477,"G",75,"Class4",53.375,68.905,43.927,5.174,35,"Y",59.109
23,76.233,"D",29,"Class1",86.542,91.272,50.193,85.771,12,"R",19.023
68,9.695,"P",75,"Class4",54.605,53.195,52.684,5.449,33,"J",47.062
41,26.161,"G",75,"Class4",57.275,22.818,54.987,5.143,35,"J",72.196
43,56.715,"I",34,"Class1",40.053,92.193,33.453,84.973,19,"P",7.037
96,58.554,"Q",32,"Class3",47.101,57.149,92.971,87.302,40,"S",55.339
46,13.908,"V",73,"Class4",61.05,75.363,47.728,5.833,33,"K",70.933
7,47.625,"N",37,"Class1",90.054,88.645,41.945,89.384,23,"N",17.973
33,12.725,"V",72,"Class2",70.532,44.71,82.73,34.443,73,"H",46.041
43,59.517,"N",72,"Class2",52.014,45.073,80.879,31.859,75,"F",60.776
58,9.937,"P",66,"Class4",57.68,81.721,33.799,5.868,35,"J",59.336
24,84.922,"D",41,"Class1",50.896,94.35,50.911,85.324,26,"P",9.778
72,10.524,"W",80,"Class4",61.086,76.644,52.383,5.102,34,"J",85.598
55,NA,"N",73,"Class2",60.012,46.119,83.593,26.454,71,"Z",46.118
52,5.141,"S",77,"Class4",57.91,53.293,70.749,5.364,35,"K",56.146
65,10.527,"G",77,"Class4",59.4,56.313,70.036,5.905,35,"K",62.288
44,67.51,"I",30,"Class1",78.9,96.98,66.489,88.327,15,"N",6.184
33,75.344,"N",42,"Class1",93.421,89.928,77.356,81.646,26,"G",6.821
51,50.272,"N",35,"Class1",34.217,81.602,50.211,87.615,16,"B",15.101
59,12.185,"N",72,"Class2",40.016,46.726,88.306,22.211,70,"Z",21.147
67,39.88,"C",73,"Class2",36.948,47.546,82.03,31.862,76,"U",45.789
59,18.558,"V",82,"Class4",53.085,38.27,31.083,5.292,33,"I",70.527
93,22.177,"G",54,"Class3",20.018,37.106,86.839,36.672,20,"W",23.904
55,20.018,"G",65,"Class4",50.015,39.855,46.424,5.67,34,"K",67.719
96,NA,"B",64,"Class3",50.463,81.538,88.734,46.721,72,"P",58.706
22,44.733,"D",36,"Class1",62.607,89.546,53.277,84.432,26,"P",9.23
95,31.468,"G",36,"Class3",59.632,67.063,88.474,30.767,52,"P",7.708
51,65.209,"U",40,"Class1",38.994,90.256,53.511,83.745,17,"R",11.677
NA,2.17,"V",82,"Class4",53.802,41.394,48.053,5.323,34,"J",65.198
11,26.827,"V",73,"Class2",39.506,47.239,85.709,52.726,77,"G",36.42
96,68.176,"L",29,"Class3",13.439,17.2,86.921,12.469,32,"S",17.829
52,81.546,"U",36,"Class1",77.483,79.072,56.85,82.91,25,"R",8.763
40,83.99,"D",28,"Class1",42.569,95.863,63.332,85.066,24,"N",13.126
68,6.355,"X",73,"Class2",52.45,48.202,84.875,52.645,77,"U",46.808
96,73.574,"G",55,"Class3",28.217,29.607,86.07,35.057,43,"S",57.055
39,NA,"V",73,"Class2",70.212,44.976,91.858,48.485,77,"G",55.034
47,44.757,"U",33,"Class1",61.715,87.405,41.965,87.968,16,"P",19.423
94,50.299,"G",32,"Class3",18.538,34.844,85.945,14.568,45,"S",54.496
94,63.976,"G",39,"Class3",29.55,53.138,83.774,12.983,8,"W",33.005
51,55.659,"X",40,"Class1",45.535,82.523,46.072,87.552,29,"P",14.36
93,63.189,"L",35,"Class3",30.305,22.716,84.099,40.026,44,"Z",65.498
93,53.861,"L",65,"Class3",22.083,3.437,87.059,46.42,40,"R",21.842
94,42.754,"Q",38,"Class3",55.288,31.388,89.34,85.11,53,"P",87.109
49,14.212,"S",74,"Class4",47.619,33.991,55.336,5.408,33,"I",60.943
49,13.889,"G",76,"Class4",58.48,56.844,40.56,5.178,33,"Y",72.646
60,39.952,"V",72,"Class2",54.194,47.714,88.055,54.941,72,"F",36.555
93,13.409,"K",46,"Class3",69.607,80.845,86.203,74.277,75,"Z",4.73
75,24.315,"S",66,"Class4",56.746,55.059,61.128,5.729,34,"P",59.195
NA,66.126,"D",35,"Class1",41.752,89.19,53.07,81.538,15,"P",27.414
39,5.026,"S",59,"Class4",61.246,28.294,61.938,5.093,34,"Y",77.63
48,12.834,"G",74,"Class4",56.872,62.618,41.176,5.965,33,"K",79.787
57,64.511,"C",72,"Class2",80.329,46.063,90.545,26.956,72,"H",57.702
72,4.656,"G",61,"Class4",50.334,29.996,49.891,5.923,34,"I",72.274
96,73.653,"B",43,"Class3",76.378,56.933,89.346,19.705,7,"W",24.791
63,14.328,"G",78,"Class4",51.776,16.147,54.029,5.304,33,"K",71.751
63,27.293,"X",72,"Class2",75.459,47.317,83.919,29.52,72,"H",64.871
96,14.838,"K",58,"Class3",18.778,38.204,89.032,43.947,7,"R",42.517
13,NA,"V",73,"Class2",73.279,47.579,89.589,47.166,72,"U",54.344
95,42.991,"K",49,"Class3",12.861,50.265,94.004,22.999,42,"Z",45.758
33,71.211,"I",41,"Class1",92.018,91.955,34.091,92.884,13,"P",6.789
93,32.795,"L",61,"Class3",54.508,42.409,85.523,65.24,15,"P",30.096
94,NA,"Q",54,"Class3",46.827,34.331,88.657,13.401,14,"R",-0.282
95,41.693,"L",34,"Class3",51.364,37.621,86.668,14.787,15,"W",89.514
96,76.899,"G",39,"Class3",64.113,36.784,82.783,55.152,52,"W",43.101
94,23.803,"G",65,"Class3",59.704,15.107,89.967,22.466,9,"R",7.576
29,48.057,"X",34,"Class1",70.553,94.409,48.068,87.784,11,"P",11.378
94,NA,"Q",48,"Class3",11.484,30.295,91.948,74.835,19,"Z",51.842
28,23.953,"U",73,"Class2",47.504,46.551,89.365,54.181,73,"Z",36.854
93,16.3,"G",46,"Class3",21.446,17.502,90.078,41.462,7,"R",51.238
95,14.897,"G",61,"Class3",76.98,79.296,89.305,49.683,6,"Z",52.137
47,13.039,"P",73,"Class4",61.956,77.149,61.893,5.262,34,"K",61.233
73,45.042,"C",73,"Class2",50.209,47.051,85.89,32.54,76,"H",37.664
51,23.844,"C",72,"Class2",78.56,48.249,82.582,20.41,76,"G",47.861
75,27.236,"G",81,"Class4",53.161,51.447,62.625,5.629,33,"K",61.15
95,80.253,"B",33,"Class3",19.33,28.2,89.708,39.96,60,"R",20.544
42,10.477,"V",73,"Class2",72.011,48.438,83.946,22.712,71,"Z",48.553
24,62.577,"U",43,"Class1",43.347,82.736,40.923,84.016,24,"G",29.521
73,22.01,"X",72,"Class2",44.406,46.312,80.895,43.942,77,"U",8.527
95,51.96,"Q",63,"Class3",27.88,-38.575,89.8,38.774,54,"R",20.097
44,60.952,"V",73,"Class2",56.292,46.308,87.267,38.913,75,"Z",16.055
94,80.575,"Q",35,"Class3",50.31,53.752,90.599,25.35,57,"S",34.84
33,24.327,"P",71,"Class4",53.027,21.565,26.298,5.149,34,"I",76.564
39,19.598,"G",76,"Class4",54.238,19.898,42.086,5.377,35,"Y",63.424
29,56.651,"X",73,"Class2",65.419,45.926,87.648,47.147,73,"H",58.143
25,50.992,"U",33,"Class1",90.747,82.86,25.016,86.273,15,"P",20.278
64,28.126,"S",62,"Class4",51.463,63.937,61.29,5.534,33,"J",78.315
47,47.608,"C",72,"Class2",66.64,46.192,85.247,32.939,72,"G",49.731
96,48.76,"Q",42,"Class3",26.036,43.857,87.308,65.11,9,"W",-20.95
65,8.844,"P",64,"Class4",60.931,25.758,42.986,5.564,34,"Y",49.813
53,89.849,"U",30,"Class1",67.239,92.669,37.01,86.829,18,"G",5.459
93,53.254,"L",52,"Class3",43.045,40.406,89.305,84.634,35,"R",-4.135
74,8.963,"P",69,"Class4",48.298,41.069,48.844,5.896,34,"I",68.464
93,19.692,"K",40,"Class3",61.815,8.734,89.005,26.052,26,"W",81.271
31,91.513,"N",34,"Class1",41.034,98.332,46.503,83.577,24,"R",20.061
43,4.735,"W",71,"Class4",58.319,108.291,67.881,5.203,34,"J",65.815
14,63.804,"N",38,"Class1",66.634,89.197,40.074,92.999,26,"B",17.647
84,57.072,"X",73,"Class2",71.917,47.013,86.746,10.462,75,"Z",52.467
12,71.779,"N",29,"Class1",75.692,90.694,70.419,82.516,13,"N",9.979
50,13.207,"W",75,"Class4",51.147,76.756,61.881,5.614,34,"K",64.56
93,60.649,"B",65,"Class3",23.66,65.791,92.923,45.337,35,"P",33.262
43,36.101,"X",72,"Class2",46.295,46.807,81.373,57.483,78,"G",61.017
95,24.594,"Q",58,"Class3",72.786,58.06,87.583,60.408,70,"W",60.122
14,20.719,"X",72,"Class2",53.959,45.36,89.6,34.055,77,"H",47.037
80,15.582,"V",60,"Class4",57.23,47.868,54.463,5.096,33,"J",81.514
57,25.006,"N",72,"Class2",53.734,45.911,91.811,24.553,72,"F",77.616
NA,8.563,"U",72,"Class2",43.413,46.613,82.91,36.399,74,"U",37.726
57,18.254,"X",72,"Class2",54.268,47.28,86.335,12.392,76,"U",37.757
76,8.491,"G",77,"Class4",48.246,26.275,64.71,5.223,33,"I",63.107
66,18.336,"P",79,"Class4",52.7,20.637,80.604,5.267,33,"P",71.344
40,21.648,"C",73,"Class2",67.023,47.03,81.676,13.846,76,"Z",73.412
96,25.898,"G",60,"Class3",24.699,40.559,89.22,50.184,68,"S",32.699
10,84.414,"X",40,"Class1",33.314,88.305,41.534,85.861,27,"N",8.958
93,31.772,"B",47,"Class3",40.97,55.789,84.895,62.779,55,"P",77.639
43,17.121,"P",79,"Class4",57.723,38.555,44.076,5.008,33,"K",53.975
14,93.921,"D",43,"Class1",45.402,88.1,59.231,85.152,16,"P",16.837
47,4.133,"S",79,"Class4",55.693,69.523,51.318,5.58,33,"I",70.812
53,50.624,"C",73,"Class2",76.167,45.017,85.168,53.384,78,"H",52.652
60,2.987,"S",64,"Class4",56.071,34.195,46.74,5.907,35,"P",52.919
96,NA,"Q",47,"Class3",19.388,82.874,91.863,80.272,66,"Z",40.987
32,58.757,"X",28,"Class1",67.327,95.412,57.791,90.358,29,"N",6.355
41,59.6,"C",72,"Class2",38.205,46.833,86.367,17.919,72,"Z",73.063
83,15.213,"X",72,"Class2",43.574,46.116,82.608,53.593,72,"U",64.58
54,19.786,"U",72,"Class2",33.794,46.075,84.538,23.8,70,"H",16.847
67,48.266,"C",72,"Class2",59.118,46.952,89.921,12.041,71,"U",30.14
45,26.613,"V",67,"Class4",48.975,72.753,66.123,5.861,35,"P",65.813
33,18.538,"W",82,"Class4",56.586,52.606,61.074,5.997,33,"Y",68.432
31,NA,"D",29,"Class1",71.783,91.353,53.935,82.856,20,"P",19.65
NA,13.369,"G",76,"Class4",49.213,4.618,51.549,5.427,35,"J",73.579
94,45.607,"Q",34,"Class3",50.146,46.147,90.003,79.957,36,"W",73.818
95,79.367,"G",58,"Class3",13.957,24.518,90.605,52.523,31,"W",18.879
12,55.9,"U",72,"Class2",74.171,45.678,81.58,34.884,70,"H",40.926
19,81.562,"U",30,"Class1",32.531,90.544,49.486,87.823,13,"G",2.637
78,58.416,"C",72,"Class2",38.631,47.222,80.37,14.942,73,"Z",76.086
93,26.426,"Q",61,"Class3",12.844,53.912,84.601,84.197,54,"P",43.828
79,14.155,"S",73,"Class4",52.622,43.867,53.123,5.493,33,"I",69.521
39,75.659,"X",33,"Class1",55.453,93.96,68.341,83.792,16,"B",7.118
8,75.328,"N",35,"Class1",57.09,89.92,31.745,83.992,11,"B",8.862
9,89.571,"I",28,"Class1",92.428,91.864,57.901,81.406,15,"R",18.216
13,53.553,"D",28,"Class1",31.542,84.324,59.373,90.207,16,"R",15.057
39,NA,"X",72,"Class2",72.091,46.396,83.712,58.05,70,"Z",23.289
45,81.207,"N",30,"Class1",51.064,86.814,58.781,90.934,13,"R",15.999
79,18.01,"N",72,"Class2",45.943,45.994,82.016,24.99,78,"Z",55.288
20,NA,"X",35,"Class1",97.168,89.125,51.68,87.831,27,"P",11.01
78,14.844,"S",80,"Class4",53.797,30.392,70.068,5.885,34,"K",56.466
8,55.733,"X",39,"Class1",94.57,85.595,47.269,88.955,14,"B",12.338
93,40.847,"B",65,"Class3",55.776,43.956,92.825,68.206,58,"W",-20.965
53,16.717,"V",80,"Class4",50.008,43.344,68.859,5.751,34,"Y",66.616
15,70.56,"D",29,"Class1",76.961,89.698,80.562,89.151,19,"P",7.413
57,21.339,"W",81,"Class4",61.262,12.474,57.695,5.642,33,"K",61.351
79,26.465,"S",82,"Class4",57.886,48.473,63.155,5.69,33,"J",41.83
71,28.807,"S",73,"Class4",49.913,40.805,43.561,5.15,35,"Y",55.5
95,78.638,"G",32,"Class3",71.167,33.687,86.747,85.334,11,"W",51.692
44,30.105,"X",73,"Class2",58.827,47.245,84.117,24.408,75,"G",59.317
76,15.228,"V",76,"Class4",55.574,12.035,68.06,5.147,35,"P",73.958
NA,11.531,"S",82,"Class4",48.303,71.803,46.627,5.351,33,"P",77.925
93,38.671,"L",53,"Class3",71.892,23.068,82.114,51.217,43,"Z",72.35
49,58.507,"U",30,"Class1",53.99,91.356,69.769,92.017,26,"P",24.069
19,NA,"I",43,"Class1",89.176,94.629,57.187,84.552,29,"R",20.736
94,66.316,"B",59,"Class3",17.95,15.137,88.803,43.44,36,"P",49.618
84,27.678,"W",78,"Class4",50.742,75.82,74.628,5.306,33,"J",73.474
NA,46.976,"G",28,"Class3",74.229,17.361,94.638,18.165,52,"W",70.298
96,80.738,"G",62,"Class3",54.713,42.863,93.086,59.038,71,"P",36.841
31,45.039,"V",73,"Class2",36.406,46.138,85.459,22.706,71,"G",45.458
NA,81.918,"N",38,"Class1",74.926,86.48,49.362,91.169,16,"R",10.22
9,68.413,"I",36,"Class1",50.624,83.603,55.103,89.396,12,"B",17.264
56,2.487,"V",64,"Class4",58.246,32.293,48.528,5.989,33,"Y",70.259
14,36.617,"C",72,"Class2",50.886,46.711,82.226,45.054,72,"Z",38.539
94,50.365,"L",49,"Class3",54.96,47.967,83.751,83.95,26,"R",73.054
96,67.471,"B",57,"Class3",46.911,39.871,83.011,77.382,49,"P",42.808
NA,17.297,"G",74,"Class4",55.355,31.431,68.737,5.797,33,"J",74.592
94,55.26,"L",60,"Class3",35.143,23.996,87.01,32.003,51,"Z",59.879
51,17.787,"G",65,"Class4",58.31,45.973,75.507,5.724,33,"P",85.974
53,75.042,"I",31,"Class1",89.678,87.114,49.723,87.512,24,"N",10.18
52,10.366,"W",60,"Class4",59.115,61.832,57.263,5.312,35,"Y",71.532
31,51.714,"N",28,"Class1",66.358,96.753,57.335,86.326,16,"R",13.101
32,14.282,"W",64,"Class4",58.307,27.227,47.579,5.633,33,"P",63.063
43,77.22,"I",28,"Class1",86.438,105.352,53.604,87.884,29,"N",20.117
86,29.863,"X",72,"Class2",65.098,45.823,82.198,41.015,71,"F",54.407
48,57.675,"V",73,"Class2",67.32,44.752,92.776,13.696,75,"Z",67.605
93,28.029,"B",41,"Class3",23.171,45.603,85.694,12.647,76,"S",-17.027
24,82.991,"X",33,"Class1",82.781,87.987,62.288,86.713,19,"R",18.352
46,50.686,"X",73,"Class2",34.104,45.979,83.883,27.219,75,"F",58.935
68,2.687,"V",71,"Class4",51.788,27.487,34.631,5.321,33,"P",63.379
47,58.69,"C",72,"Class2",57.622,46.78,84.31,42.055,73,"U",53.875
7,68.77,"I",29,"Class1",35.06,86.505,46.364,90.182,27,"B",7.579
45,93.238,"X",32,"Class1",96.836,88.932,37.083,84.539,29,"P",16.232
79,16.579,"S",73,"Class4",47.229,53.469,44.355,5.164,35,"J",74.602
38,39.522,"U",72,"Class2",33.069,45.685,84.21,21.95,77,"U",54.568
95,42.523,"K",58,"Class3",46.139,-0.77,97.123,40.773,36,"S",2.168
24,21.933,"U",73,"Class2",77.774,47.99,87.26,50.875,78,"F",34.1
15,64.525,"N",28,"Class1",61.026,91.858,55.251,85.72,19,"B",23.271
11,64.263,"I",41,"Class1",46.561,84.278,71.126,87.019,20,"P",3.631
93,NA,"Q",50,"Class3",22.851,24.1,90.523,24.485,10,"R",7.496
95,73.745,"G",55,"Class3",46.458,45.245,85.728,69.392,31,"S",1.128
48,36.654,"X",73,"Class2",78.533,45.407,85.42,36.921,77,"H",53.473
94,77.783,"K",57,"Class3",67.444,29.842,84.633,86.724,40,"Z",42.839
93,22.796,"B",45,"Class3",37.31,7.51,83.71,85.362,42,"R",73.433
33,85.997,"U",35,"Class1",99.613,99.207,54.721,85.563,29,"G",23.838
95,71.884,"Q",52,"Class3",11.911,9.459,90.769,82.659,44,"W",49.93
28,17.181,"V",72,"Class2",49.576,48.039,81.612,19.196,77,"F",82.324
50,15.02,"G",60,"Class4",47.156,33.081,56.486,5.786,34,"K",65.188
77,12.095,"W",59,"Class4",50.317,31.936,48.161,5.085,33,"Y",71.754
NA,44.477,"B",59,"Class3",18.865,2.738,90.837,56.337,61,"Z",1.896
45,67.603,"U",36,"Class1",76.61,88.689,51.422,85.678,15,"P",17.874
36,27.231,"G",80,"Class4",59.442,82.762,49.801,5.911,33,"J",57.39
96,43.455,"B",32,"Class3",71.068,-23.37,83.149,50.419,16,"W",57.638
25,70.186,"X",30,"Class1",61.516,89.973,50.428,83.205,29,"G",17.68
93,17.6,"B",49,"Class3",16.416,65.349,82.186,59.318,46,"W",-2.872
95,76.172,"Q",51,"Class3",18.464,36.864,93.79,33.927,21,"R",43.088
NA,49.031,"K",64,"Class3",60.901,14.442,92.932,63.971,37,"W",45.611
44,22.885,"P",64,"Class4",61.148,53.252,56.857,5.147,34,"P",73.965
37,26.3,"W",81,"Class4",49.427,51.306,59.181,5.604,34,"J",72.748
NA,71.391,"U",40,"Class1",87.46,86.75,53.029,89.647,18,"B",8.859
52,28.469,"S",60,"Class4",61.407,46.635,59.609,5.382,33,"I",65.394
55,6.357,"P",77,"Class4",55.565,47.875,54.787,5.804,34,"J",73.845
96,67.162,"G",38,"Class3",27.299,26.675,88.265,37.717,7,"Z",74.602
62,24.657,"S",67,"Class4",54.617,58.736,55.08,5.848,33,"Y",71.58
NA,19.291,"V",68,"Class4",51.457,80.407,52.154,5.154,35,"I",48.425
67,12.572,"C",72,"Class2",69.685,46.17,87.932,55.615,75,"F",62.947
94,34.664,"Q",52,"Class3",64.309,53.668,93.175,21.786,13,"P",75.532
53,16.006,"S",60,"Class4",59.961,59.362,41.566,5.33,35,"I",70.556
74,18.14,"G",67,"Class4",52.567,70.262,53.499,5.748,35,"Y",65.91
79,11.478,"P",65,"Class4",50.475,28.166,48.818,5.434,33,"I",82.278
96,77.136,"G",49,"Class3",61.324,31.248,84.149,66.963,30,"P",51.956
61,34.485,"U",72,"Class2",47.104,46.757,87.457,56.972,70,"H",28.148
33,63.758,"I",37,"Class1",94.653,91.734,61.946,89.127,19,"G",4.648
71,29.12,"V",72,"Class2",63.221,48.286,79.096,12.134,73,"F",42.878
56,19.037,"V",64,"Class4",51.412,26.341,38.544,5.869,33,"J",80.17
60,13.262,"G",75,"Class4",61.226,77.862,55.521,5.834,35,"P",67.021
31,82.12,"X",38,"Class1",45.341,91.146,63.312,87.98,15,"P",6.241
93,50.365,"L",52,"Class3",57.587,65.685,82.62,64.249,68,"S",-1.233
95,29.169,"L",34,"Class3",51.141,61.14,86.666,32.87,44,"R",0.89
48,24.998,"G",70,"Class4",60.25,74.314,58.666,5.569,34,"Y",70.88
96,25.423,"L",31,"Class3",14.707,48.666,85.009,21.358,27,"R",72.734
58,5.772,"V",71,"Class4",58.354,6.864,66.402,5.778,33,"K",47.427
93,33.087,"L",50,"Class3",55.408,2.072,87.802,67.966,75,"Z",52.684
86,21.701,"U",72,"Class2",77.902,47.757,83.782,23.952,72,"F",27.979
42,17.959,"G",63,"Class4",47.493,29.17,51.138,5.181,33,"J",73.26
39,48.404,"C",73,"Class2",46.149,48.022,84.221,41.642,78,"Z",24.42
40,20.559,"N",72,"Class2",46.861,46.367,88.335,47.826,72,"U",61.066
96,54.132,"K",30,"Class3",25.49,47.508,89.142,70.448,48,"S",34.322
49,55.143,"N",73,"Class2",51.99,46.597,87.656,19.507,72,"U",49.831
95,67.768,"G",41,"Class3",21.425,44.576,89.996,74.722,44,"Z",89.793
32,79.027,"D",37,"Class1",78.625,96.964,73.376,92.06,22,"N",24.38
95,77.066,"B",31,"Class3",17.54,13.05,89.524,17.026,61,"P",73.548
66,25.162,"V",70,"Class4",51.507,56.699,47.351,5.74,33,"P",70.688
38,NA,"D",32,"Class1",60.345,82.415,43.694,86.578,15,"P",8.649
43,80.549,"N",36,"Class1",98.34,95.844,56.699,82.41,12,"P",21.873
34,41.986,"X",73,"Class2",53.659,46.541,86.26,36.305,77,"H",47.827
95,63.276,"L",39,"Class3",41.487,50.836,93.549,58.253,71,"W",19.824
76,14.788,"W",59,"Class4",52.717,12.577,46.485,5.375,35,"P",80.473
75,44.934,"N",72,"Class2",36.484,46.958,87.575,12.099,70,"U",65.148
84,22.396,"P",81,"Class4",47.827,35.626,30.997,5.179,35,"J",69.089
