"E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","Output30"
16.583,37.525,"F","H",68,65.608,47,82.098,79,40.506,69.276,"Class3"
87.193,50.128,"L","H",10,92.219,39,25.637,34,16.143,69.025,"Class2"
4.6,15.145,"E","F",NA,10.593,78,20.343,19,28.801,19.832,"Class1"
20.261,57.934,"Y","W",73,67.98,26,60.936,80,45.737,65.06,"Class3"
66.437,5.33,"T","D",38,9.113,65,29.356,22,52.727,78.463,"Class1"
32.986,61.008,"S","P",74,56.5,50,57.114,64,45.695,62.806,"Class3"
15.446,48.774,"L","K",77,65.707,34,60.27,61,29.22,74.918,"Class3"
96.987,24.011,"E","F",40,-10.795,79,28.899,16,34.079,41.18,"Class1"
81.601,46.422,"D","Z",25,78.359,42,55.196,46,16.71,62.278,"Class2"
78.409,12.103,"T","B",38,15.529,76,26.207,48,24.055,19.71,"Class1"
20.498,69.397,"Y","W",74,77.717,53,65.486,69,38.423,77.194,"Class3"
14.184,59.349,"F",NA,67,84.72,42,71.145,80,25.706,77.648,"Class3"
78.695,45.844,"T","H",6,83.005,61,25.322,35,17.116,10.604,"Class2"
18.374,29.491,"F","P",72,71.226,48,66.103,79,41.991,83.342,"Class3"
-5.554,13.653,"K","D",37,15.151,72,2.96,71,48.02,56.532,"Class1"
9.916,37.868,"S","K",69,79.378,40,69.36,61,64.349,65.974,"Class3"
68.921,12.857,"E","B",38,29.324,70,14.706,80,40.805,57.055,"Class1"
18.545,38.722,"F","P",63,58.365,30,66.999,73,59.915,75.442,"Class3"
15.207,12.03,"X","H",74,58.784,37,64.836,64,43.805,63.287,"Class3"
78.354,26.168,"F","W",0,83.402,51,36.513,40,16.026,29.008,"Class2"
26.326,25.219,"F",NA,77,49.358,45,70.443,67,35.024,76.359,"Class3"
103.771,21.473,"K","G",40,19.783,68,23.551,64,37.712,75.233,"Class1"
21.362,24.339,"X","I",72,51.188,34,68.703,75,61.076,71.545,"Class3"
78.667,52.797,"U","G",10,85.467,66,16.341,59,17.813,19.71,"Class2"
80.085,34.45,"L","H",17,75.937,36,21.905,60,17.332,23.898,"Class2"
2.191,42.659,"X","H",NA,65.862,48,50.412,65,27.529,73.341,"Class3"
75.028,42.989,"D","H",5,80.277,64,23.115,47,17.437,68.885,"Class2"
78.063,19.625,"Q","N",40,10.996,65,17.425,17,16.831,72.373,"Class1"
80.447,49.633,"T","H",6,83.441,33,46.331,69,16.994,26.152,"Class2"
27.497,9.294,"S","P",72,51.402,36,58.284,75,61.332,69.021,"Class3"
22.351,11.253,"K","F",40,27.783,56,9.352,42,37.556,19.818,"Class1"
4.573,71.342,"X","K",65,69.331,43,70.372,70,21.615,77.766,"Class3"
35.068,21.64,"E","N",37,23.397,59,36.416,45,15.1,37.799,"Class1"
77.45,23.859,"T","H",0,87.325,57,43.094,71,16.686,29.065,"Class2"
10.749,13.186,"Q","G",35,-0.194,60,28.676,66,51.188,40.476,"Class1"
21.505,40.491,"L","P",67,53.131,44,73.222,72,47.626,68.437,"Class3"
79.508,15.172,"Q","D",37,14.016,81,19.287,22,35.027,25.879,"Class1"
14.847,45.712,"X","W",68,67.55,43,57.464,65,41.732,77.715,"Class3"
96.833,5.55,"N","D",39,4.766,57,21.23,77,42.227,34.722,"Class1"
-9.834,13.072,"K","F",36,2.748,77,31.851,27,36.692,74.728,"Class1"
6.711,12.719,"S","I",61,78.972,48,61.033,61,29.403,77.48,"Class3"
22.127,9.536,"T","B",40,5.18,70,10.175,15,24.411,19.129,"Class1"
10.446,66.97,"L","H",NA,67.715,45,76.094,79,62.687,60.845,"Class3"
82.016,44.792,"F","G",8,88.213,59,38.943,60,16.402,29.891,"Class2"
79.621,36.193,"D","Z",6,84.89,55,36.194,43,16.826,65.449,"Class2"
83.217,43.918,"T",NA,26,82.09,41,44.514,63,16.324,57.335,"Class2"
87.851,24.884,"K","F",38,9.118,85,3.03,80,53.337,72.953,"Class1"
30.742,4.912,"T","G",39,4.229,80,6.223,20,33.526,24.208,"Class1"
13.548,40.67,"Y",NA,75,55.077,51,62.716,77,57.253,75.051,"Class3"
22.425,46.891,"S","I",67,58.819,42,55.812,75,56.842,65.246,"Class3"
72.591,31.021,"L","Z",11,84.202,30,34.068,58,16.311,11.701,"Class2"
37.415,2.489,"K","F",36,13.228,55,38.748,31,44.144,68.954,"Class1"
14.041,38.641,"Y","W",69,80.509,30,51.082,70,48.469,83.232,"Class3"
2.888,6.502,"E","N",40,3.216,55,25.123,61,43.371,64.794,"Class1"
51.353,23.79,"N","G",39,19.228,76,37.951,30,36.363,63.211,"Class1"
80.695,54.393,"D","Q",10,83.75,72,25.996,74,17.073,15.394,"Class2"
15.823,42.313,"Y","P",64,54.292,43,58.316,61,62.933,70.663,"Class3"
83.006,47.979,"T","W",22,88.386,67,40.234,23,16.35,49.323,"Class2"
20.091,21.109,"X","P",62,46.063,25,70.821,70,38.886,80.143,"Class3"
80.312,35.186,"D","Q",16,87.718,44,32.845,62,17.834,11.022,"Class2"
-12.645,5.414,"N","F",38,8.623,77,18.27,44,28.839,36.413,"Class1"
17.093,30.169,"F","I",64,58.091,37,64.9,80,30.499,63.797,"Class3"
20.414,29.224,"F","W",74,71.384,29,69.629,68,21.226,79.389,"Class3"
-4.847,43.496,"L","W",66,45.292,38,56.052,76,47.399,70.271,"Class3"
77.516,57.749,"D","Z",22,77.831,68,36.891,40,17.88,61.834,"Class2"
35.228,2.538,"Q","N",36,9.552,83,17.39,59,14.893,80.695,"Class1"
8.905,14.577,"Q","N",39,26.248,56,24.252,32,23.799,92.802,"Class1"
75.734,21.56,"T","Q",5,76.781,36,42.196,53,17.042,13.277,"Class2"
69.423,18.736,"T","N",NA,10.714,65,15.611,81,24.359,54.476,"Class1"
56.464,11.214,"E","G",38,16.82,72,24.587,75,41.848,84.253,"Class1"
22.153,14.392,"Y","H",62,64.426,37,62.705,66,27.724,62.154,"Class3"
81.207,49.872,"L","H",8,74.443,68,36.515,79,16.639,33.978,"Class2"
77.022,31.622,"T","Q",12,81.867,68,27.759,48,17.2,25.866,"Class2"
84.563,47.514,"L","Q",14,78.842,52,20.371,43,17.653,62.529,"Class2"
83.379,54.638,"D","Q",26,88.366,54,39.781,86,16.333,63.322,"Class2"
40.47,19.72,"E","D",40,13.249,84,11.998,64,29.54,65.428,"Class1"
6.336,10.355,"L","H",66,64.099,51,64.9,80,37.008,58.162,"Class3"
19.793,51.14,"Y","I",67,66.932,42,71.067,79,61.819,74.561,"Class3"
28.725,11.366,"T","B",38,11.328,75,20.557,55,53.478,63.444,"Class1"
11.071,42.6,"F","H",72,52.326,48,75.253,69,35.159,81.74,"Class3"
34.854,3.811,"E","G",38,15.947,63,14.619,23,42.921,34.293,"Class1"
15.732,67.857,"X","P",65,72.5,42,64.461,78,51.552,71.904,"Class3"
26.987,65.81,"X","H",77,49.873,39,66.964,76,51.009,73.776,"Class3"
81.625,52.843,"U","Q",11,78.848,66,47.063,23,16.224,57.432,"Class2"
66.176,9.432,"K","F",38,4.095,59,31.586,15,16.002,59.243,"Class1"
15.408,66.357,"X","W",79,59.734,35,66.25,69,28.85,65.609,"Class3"
78.298,49.341,"D","G",6,82.047,67,29.635,45,17.78,35.37,"Class2"
44.234,19.848,"Q","G",35,9.741,60,30.336,34,36.15,56.085,"Class1"
77.241,20.735,"U","Z",15,81.062,29,35.199,74,17.856,64.977,"Class2"
46.155,2.194,"E",NA,38,6.958,80,19.766,75,26.505,70.663,"Class1"
49.412,4.816,"K","F",35,18.168,85,27.473,28,14.66,88.174,"Class1"
42.82,14.51,"K","G",37,20.378,71,44.521,44,26.03,81.826,"Class1"
84.365,44.323,"L","W",25,73.804,55,30.764,29,16.301,51.973,"Class2"
50.847,20.908,"Q","B",35,16.978,56,22.299,19,51.423,42.381,"Class1"
80.505,16.508,"L","W",21,86.575,72,21.335,51,17.487,58.045,"Class2"
57.099,13.118,"E","F",39,14.567,74,42.34,15,38.878,92.722,"Class1"
52.346,24.436,"N","N",35,17.462,85,22.432,78,25.903,59.987,"Class1"
90.601,18.174,"E","B",39,16.421,55,-2.49,58,41.715,44.023,"Class1"
78.289,26.496,"D","H",5,79.346,55,18.745,30,16.045,8.718,"Class2"
7.62,9.138,"Y","K",76,78.633,28,52.153,70,54.802,76.952,"Class3"
82.108,48.544,"L","Z",7,94.186,50,21.476,23,16.65,51.717,"Class2"
84.227,51.19,"U","W",2,78.475,34,26.5,43,16.053,31.992,"Class2"
14.478,12.916,"F","H",68,68.566,29,71.634,79,64.915,69.461,"Class3"
104.117,10.8,"E","G",36,1.438,66,15.467,33,42.878,21.516,"Class1"
77.236,38.461,"D","Z",11,72.495,45,31.62,45,17.605,54.562,"Class2"
77.746,39.272,"L","Z",10,81.587,39,41.017,23,16.454,55.246,"Class2"
81.106,13,"D","Q",26,80.526,52,34.717,33,16.222,61.346,"Class2"
95.938,12.204,"Q","D",38,-2.133,57,22.244,55,52.67,27.419,"Class1"
81.611,37.565,"F","G",15,80.063,39,13.558,84,17.415,76.999,"Class2"
76.006,52.782,"L","Q",11,80.829,36,46.176,82,17.849,69.516,"Class2"
10.261,37.253,"F","I",77,56.097,34,65.938,73,29.993,60.776,"Class3"
77.176,27.491,"L","Z",26,83.047,46,43.146,34,16.574,57.469,"Class2"
37.521,14.176,"N","D",39,8.379,63,27.869,37,16.305,21.471,"Class1"
80.398,48.92,"L","G",17,78.092,28,36.594,54,16.391,83.218,"Class2"
3.103,54.977,"L","I",71,58.843,36,56.617,61,45.7,62.698,"Class3"
68.416,2.368,"T","B",40,23.08,62,26.358,28,21.521,26.543,"Class1"
4.769,38.721,"S","I",67,56.798,25,67.555,67,46.432,63.977,"Class3"
43.823,5.622,"Q","B",38,-9.246,84,27.167,44,50.011,51.995,"Class1"
25.534,23.584,"N","D",38,9.86,68,25.935,72,11.594,84.763,"Class1"
79.141,15.157,"D","W",26,79.498,39,44.235,68,16.904,47.4,"Class2"
15.949,34.699,"F","I",76,76.086,46,73.835,64,23.169,59.499,"Class3"
11.576,13.892,"S","K",76,57.026,28,69.119,77,22.194,59.372,"Class3"
17.666,31.587,"X","K",78,61.195,47,58.319,78,60.625,81.151,"Class3"
43.133,20.044,"Q","B",37,12.349,70,12.063,70,26.303,63.347,"Class1"
28.581,17.227,"N","G",36,8.056,57,31.466,71,28.014,19.778,"Class1"
76.948,55.51,"F","G",20,89.7,33,23.054,35,16.307,54.069,"Class2"
27.74,8.921,"T",NA,37,23.65,71,21.507,77,25.647,31.456,"Class1"
11.508,71.178,"X","I",75,78.585,30,61.128,62,43.754,64.827,"Class3"
80.488,12.62,"D","G",14,81.549,59,39.807,33,17.99,53.35,"Class2"
54.416,17.219,"Q","D",38,4.834,60,15.841,76,19.318,81.399,"Class1"
83.76,41.035,"U","Z",16,80.117,36,18.333,30,16.617,17.049,"Class2"
80.08,50.483,"T","Q",4,77.95,44,19.034,23,16.355,8.756,"Class2"
10.415,10.109,"F","K",62,67.361,42,58.974,77,45.654,67.022,"Class3"
-4.534,21.566,"T","F",36,0.452,61,11.775,16,16.601,65.266,"Class1"
56.522,17.915,"N","G",36,0.501,59,32.545,66,52.056,48.769,"Class1"
71.421,52.021,"U","G",14,89.762,30,30.998,78,16.21,58.826,"Class2"
74.494,46.225,"L","Z",23,83.505,66,33.41,31,17.337,29.93,"Class2"
97.976,13.933,"E","F",40,15.975,68,2.393,20,21.445,81.291,"Class1"
79.112,52.338,"F","W",22,80.894,52,46.63,78,16.605,21.62,"Class2"
80.151,22.7,"L","Q",12,72.897,71,27.951,22,17.073,78.117,"Class2"
81.932,32.85,"L","W",3,70.044,27,19.545,33,16.81,39.417,"Class2"
17.708,59.841,"S","P",64,60.572,34,60.908,63,42.735,81.923,"Class3"
86.276,42.948,"U","G",4,78.014,41,49.047,85,17.733,51.567,"Class2"
77.994,48.577,"T","H",12,81.759,38,44.463,40,17.089,48.42,"Class2"
52.935,20.169,"E","B",36,14.214,65,22.818,20,26.017,64.346,"Class1"
9.914,43.384,"S","I",73,46.668,48,66.852,70,59.928,74.732,"Class3"
72.693,8.235,"Q","N",40,14.445,64,22.967,81,18.075,26.533,"Class1"
4.06,60.101,"X","K",78,57.227,39,68.154,73,23.417,77.833,"Class3"
7.852,53.96,"L","P",73,67.964,39,51.935,73,31.3,65.814,"Class3"
25.924,51.688,"Y","P",69,50.072,43,76.827,75,62.498,67.652,"Class3"
46.949,20.436,"E","F",NA,10.281,69,10.175,42,53.835,39.221,"Class1"
38.676,22.925,"E","B",37,13.949,75,34.538,29,41.743,79.549,"Class1"
40.663,23.067,"K","F",40,2.487,61,34.778,27,51.089,63.355,"Class1"
16.656,38.525,"X","I",76,60.257,51,72.475,75,39.055,66.711,"Class3"
8.529,10.787,"S","I",70,69.493,51,54.464,74,36.232,69.84,"Class3"
9.734,62.943,"L","W",71,64.426,29,72.789,66,27.777,61.477,"Class3"
83.521,52.995,"D","H",26,77.742,42,24.017,86,17.237,63.622,"Class2"
24.386,8.611,"Y","W",61,57.447,28,64.612,68,53.047,58.001,"Class3"
82.891,49.079,"D","H",3,82.457,70,23.23,38,17.234,38.626,"Class2"
17.588,14.034,"T","G",38,6.277,78,13.318,43,30.323,25.93,"Class1"
78.46,39.72,"D","Q",14,83.169,45,34.088,36,17.593,35.825,"Class2"
5.451,62.543,"L","H",69,62.046,52,60.94,79,37.271,70.584,"Class3"
15.794,16.94,"F","I",79,61.63,34,75.944,68,34.335,62.517,"Class3"
84.793,22.998,"F","Q",7,83.195,61,34.072,82,17.984,39.16,"Class2"
1.064,7.137,"Y","H",73,80.701,48,61.655,76,23.446,75.449,"Class3"
77.902,51.417,"U","Q",15,79.271,51,27.192,78,17.295,28.782,"Class2"
80.1,53.105,"T","H",9,76.035,53,36.254,65,17.979,21.831,"Class2"
11.055,31.178,"F","H",NA,52.621,46,68.257,61,39.211,68.83,"Class3"
10.945,47.064,"S","I",79,89.755,53,72.654,66,59.052,76.077,"Class3"
11.939,22.371,"Q","B",37,20.513,61,37.915,35,12.094,39.867,"Class1"
81.172,15.256,"D","W",17,80.555,31,52.202,86,16.633,31.848,"Class2"
110.656,12.934,"K","F",40,15.931,83,23.07,36,48.243,18.578,"Class1"
76.987,31.193,"D","Q",16,81.329,68,44.383,70,17.388,52.377,"Class2"
81.297,56.899,"F","W",16,89.655,42,45.1,74,16.634,65.718,"Class2"
6.716,58.522,"L","K",67,67.689,53,58.096,74,47.053,78.725,"Class3"
6.285,14.546,"L","P",78,80.314,39,54.614,66,22.374,64.719,"Class3"
18.535,54.327,"F","I",61,63.083,53,60.824,68,21.515,78.146,"Class3"
77.989,49.257,"T","Q",0,79.446,37,34.696,85,16.798,45.319,"Class2"
81.437,31.194,"T","H",19,85.092,39,34.402,74,17.405,65.862,"Class2"
79.118,37.783,"F",NA,8,83.252,26,41.842,27,16.838,43.271,"Class2"
53.181,23.468,"Q","B",35,23.324,66,22.973,56,20.477,74.799,"Class1"
44.636,18.545,"T","N",37,16.037,66,15.674,26,36.405,57.736,"Class1"
11.457,16.065,"F","K",65,68.223,40,63.177,67,29.48,59.64,"Class3"
-15.385,9.333,"K","D",37,19.222,66,38.948,43,15.701,30.722,"Class1"
75.641,13.719,"T","H",12,73.782,32,46.194,71,16.561,22.206,"Class2"
26.651,37.483,"X","W",73,38.442,36,67.576,65,52.789,75.478,"Class3"
13.257,54.754,"S","I",76,72.35,38,41.62,75,30.023,82.642,"Class3"
76.515,19.68,"U","Z",0,83.73,69,34.518,40,17.802,48.899,"Class2"
63.053,7.29,"N","B",38,12.353,83,17.47,18,20.191,62.4,"Class1"
55.83,12.946,"T","F",35,10.168,66,24.589,41,42.685,55.171,"Class1"
1.46,14.987,"S",NA,69,64.505,41,64.678,76,31.998,69.753,"Class3"
77.594,11.728,"D","W",13,83.876,48,39.906,31,17.66,29.444,"Class2"
81.176,20.011,"L","Z",16,84.781,39,36.659,68,17.502,50.378,"Class2"
23.668,11.69,"T","D",35,18.084,76,26.248,51,30.893,25.686,"Class1"
79.06,43.652,"T","Q",9,73.623,26,57.121,38,17.249,20.971,"Class2"
14.294,48.666,"S","H",70,81.435,42,74.888,72,32.106,82.764,"Class3"
76.289,11.789,"L",NA,23,84.44,66,50.579,55,16.515,61.445,"Class2"
9.377,39.549,"L","H",67,73.189,35,55.402,61,62.093,80.99,"Class3"
26.381,11.369,"Y","H",63,67.134,49,63.549,79,56.902,64.644,"Class3"
83.702,34.7,"F","Q",25,78.987,66,41.376,36,17.285,78.829,"Class2"
67.459,12.222,"E",NA,40,20.634,74,39.381,27,39.881,86.249,"Class1"
53.649,20.163,"N","D",38,10.47,73,22.713,80,46.361,39.257,"Class1"
77.386,36.548,"D","H",26,77.254,37,24.3,50,16.155,73.303,"Class2"
86.455,47.515,"F",NA,11,79.419,64,41.91,52,17.234,41.248,"Class2"
76.933,38.427,"L","Z",26,77.872,52,35.002,76,16.441,15.661,"Class2"
39.072,9.426,"T","N",38,3.843,56,55.35,35,28.256,89.206,"Class1"
14.486,21.49,"Q","F",38,18.748,85,27.048,48,14.702,62.155,"Class1"
66.845,9.376,"T","F",38,17.815,60,21.84,37,51.1,43.071,"Class1"
16.608,53.753,"Y","W",77,42.033,29,60.309,80,43.917,80.529,"Class3"
97.061,7.75,"T","B",38,16.667,61,31.095,70,21.797,24.914,"Class1"
83.831,48.819,"T","Q",13,76.284,48,30,57,17.02,53.292,"Class2"
95.838,16.274,"K","B",38,10.713,61,26.692,59,28.019,82.459,"Class1"
17.611,42.104,"S","H",70,79.418,38,67.649,73,58.037,64.693,"Class3"
16.927,8.374,"Q","F",37,10.788,72,34.401,66,45.2,42.027,"Class1"
14.435,35.06,"X","W",72,55.505,50,71.041,75,35.313,69.347,"Class3"
65.89,18.204,"K","D",35,11.295,67,20.107,67,32.291,75.097,"Class1"
22.159,49.103,"X","H",71,60.962,33,71.176,73,32.614,75.228,"Class3"
26.587,10.218,"T","D",36,27.974,82,30.797,41,29.655,51.752,"Class1"
76.391,16.746,"D","Z",16,82.257,47,41.381,61,17.166,47.551,"Class2"
-4.99,21.921,"N","B",39,8.316,56,22.327,80,28.465,73.025,"Class1"
79.572,39.036,"U","G",16,82.347,31,38.573,68,16.542,10.059,"Class2"
61.795,13.445,"E",NA,35,0.182,60,5.679,19,28.904,34.055,"Class1"
-19.238,10.062,"Q","G",NA,33.208,58,14.357,16,45.899,26.191,"Class1"
19.39,22.759,"K","D",37,9.496,64,23.151,61,28.912,33.578,"Class1"
31.846,13.515,"E","G",39,4.405,68,36.296,51,24.807,82.971,"Class1"
31.859,18.442,"E","N",39,15.145,74,21.752,58,31.303,33.173,"Class1"
10.723,50.055,"Y",NA,65,54.783,50,73.656,80,44.143,58.36,"Class3"
76.058,54.232,"F","H",19,81.759,33,44.825,75,17.555,48.056,"Class2"
76.339,50.943,"U","Q",12,79.65,32,18.903,83,17.642,44.158,"Class2"
46.62,24.673,"N","D",39,14.061,72,5.381,17,17.053,55.44,"Class1"
-1.364,57.373,"Y","K",79,76.509,43,61.351,61,50.744,77.485,"Class3"
7.805,13.469,"K",NA,39,26.433,60,19.958,35,50.962,84.952,"Class1"
78.918,42.819,"F","Q",25,89.078,60,25.853,54,17.562,39.869,"Class2"
81.116,15.921,"L",NA,NA,89.035,42,35.068,28,16.075,22.971,"Class2"
76.654,3.231,"N","N",38,9.204,84,35.686,33,34.327,45.461,"Class1"
33.782,8.745,"K","G",40,25.236,57,33.488,62,39.798,50.424,"Class1"
78.301,36.053,"F","Z",8,76.248,64,35.006,43,16.881,31.359,"Class2"
16.328,14.735,"L","P",64,79.177,24,57.435,79,33.573,72.599,"Class3"
81.265,40.165,"U","G",9,84.76,28,40.212,80,16.547,48.402,"Class2"
56.782,19.743,"K","B",37,15.417,85,42.461,76,33.021,59.841,"Class1"
35.286,16.743,"Q",NA,38,17.88,56,17.073,63,20.052,48.447,"Class1"
82.788,23.997,"D","Z",2,70.984,31,43.59,59,17.765,27.831,"Class2"
-10.078,15.168,"Q","D",40,11.64,70,28.349,69,43.933,33.916,"Class1"
82.871,54.373,"T","Z",15,80.621,69,36.998,40,16.324,20.887,"Class2"
21.052,24.683,"S","I",68,55.067,25,67.629,63,21.137,82.418,"Class3"
38.171,8.225,"T","N",39,-3.485,80,17.968,55,27.377,69.964,"Class1"
-0.044,58.384,"L",NA,75,49.161,30,57.871,75,25.965,60.175,"Class3"
84.666,23.592,"U","W",NA,84.673,42,28.038,68,17.342,75.867,"Class2"
23.556,21.785,"L","I",71,64.439,27,81.278,65,62.781,71.098,"Class3"
32.851,16.275,"Q","B",38,13.113,69,25.621,16,27.563,63.694,"Class1"
18.818,33.267,"S","H",74,71.399,38,63.5,64,56.532,75.407,"Class3"
76.193,40.491,"U","W",5,88.755,62,35.349,58,17.691,63.316,"Class2"
6.098,23.419,"S","P",77,67.974,35,65.539,76,44.549,59.304,"Class3"
64.373,17.72,"Q","F",39,-2.028,61,33.804,21,51.83,34.421,"Class1"
20.691,22.252,"Y",NA,NA,57.288,30,58.662,62,24.311,68.918,"Class3"
87.645,34.292,"U","W",10,91.176,45,33.656,85,16.953,9.587,"Class2"
17.065,56.472,"X","K",64,85.486,37,65.505,75,32.136,69.867,"Class3"
19.216,51.323,"F","K",73,86.171,33,60.992,61,25.61,71.417,"Class3"
84.513,50.936,"L","H",3,81.385,53,41.538,37,17.909,28.412,"Class2"
24.603,35.563,"L","I",65,55.315,27,60.704,66,37.979,74.733,"Class3"
24.139,14.331,"Q","B",38,16.794,63,16.469,69,32.621,65.842,"Class1"
15.329,18.014,"Y","I",64,55.156,27,52.257,66,46.374,80.378,"Class3"
82.715,55.548,"L","H",20,85.703,51,25.636,55,17.899,75.55,"Class2"
81.664,39.067,"F","W",16,77.796,72,49.689,60,16.947,81.213,"Class2"
14.81,50.833,"X","K",67,72.689,44,66.837,75,28.618,66.81,"Class3"
77.267,38.42,"U","H",25,76.149,62,36.708,42,16.217,72.699,"Class2"
8.936,56.892,"F","W",62,36.784,48,67.451,78,43.852,82.465,"Class3"
13.306,31.052,"F","K",68,48.233,24,63.776,62,38.458,71.522,"Class3"
70.624,29.923,"U","H",17,84.138,34,47.357,31,16.44,52.887,"Class2"
82.71,21.106,"F","H",19,88.039,57,40.755,70,16.856,18.709,"Class2"
21.295,15.471,"S","P",74,62.604,48,47.321,77,48.524,74.533,"Class3"
12.41,8.51,"N","B",35,4.67,68,32.041,71,52.128,75.105,"Class1"
76.637,37.975,"D","W",5,84.56,55,51.484,37,17.638,51.772,"Class2"
12.001,65.024,"F","P",77,70.045,27,67.415,78,50.77,59.638,"Class3"
51.692,6.861,"T","F",37,3.749,73,31.888,60,44.619,84.362,"Class1"
79.325,18.359,"L","Q",14,81.636,33,32.087,39,17.049,47.475,"Class2"
7.091,67.714,"X","I",65,70.087,28,66.242,64,31.17,63.681,"Class3"
12.38,33.053,"L","P",77,68.247,39,63.472,63,49.495,69.348,"Class3"
20.733,31.298,"F","K",73,49.155,38,55.103,71,53.905,82.292,"Class3"
83.285,57.581,"L","G",20,76.07,29,28.392,80,16.808,79.627,"Class2"
-9.294,5.113,"K","G",40,18.965,58,31.706,65,49.231,34.65,"Class1"
76.222,51.336,"L","W",21,78.395,59,31.556,77,17.337,18.231,"Class2"
79.304,31.27,"L","G",8,81.326,69,34.28,50,17.798,76.66,"Class2"
68.264,22.351,"Q","F",36,5.229,68,29.034,60,30.06,18.938,"Class1"
6.418,44.968,"S","H",74,60.944,25,66.427,79,38.844,66.915,"Class3"
29.231,4.213,"E","G",40,22.82,80,25.476,70,41.05,75.502,"Class1"
84.093,21.617,"T","Z",2,77.421,34,22.866,68,16.049,73.33,"Class2"
80.099,25.019,"F","H",13,85.964,59,28.141,66,17.606,79.068,"Class2"
83.101,27.789,"U",NA,13,85.576,36,18.093,22,17.584,68.774,"Class2"
20.634,15.77,"Q","B",38,10.886,71,7.748,60,51.997,27.578,"Class1"
38.795,5.702,"T","G",40,27.89,85,22.279,33,29.199,59.736,"Class1"
51.724,24.998,"Q","N",NA,18.304,74,25.067,40,42.491,54.633,"Class1"
45.774,8.85,"Q","F",37,8.879,68,15.624,18,21.375,78.243,"Class1"
79.235,45.21,"T","G",20,90.615,67,28.322,33,17.969,20.412,"Class2"
3.967,33.731,"S",NA,67,64.836,34,71.166,74,35.28,69.096,"Class3"
82.79,33.95,"D","Z",15,74.462,40,39.337,32,17.643,71.801,"Class2"
55.657,6.697,"N","G",35,7.625,57,18.044,78,32.472,78.886,"Class1"
40.634,20.845,"Q",NA,36,12.864,55,25.715,29,24.882,26.689,"Class1"
76.689,53.241,"T","W",16,76.455,40,31.488,28,17.016,19.551,"Class2"
78.029,20.33,"U",NA,26,79.111,35,38.503,36,16.187,11.94,"Class2"
15.214,71.227,"X","K",71,57.18,24,49.97,66,24.872,68.465,"Class3"
18.727,20.862,"E","F",35,15.514,81,4.783,30,28.609,30.394,"Class1"
78.929,14.033,"N","F",36,13.261,57,21.106,65,52.338,30.263,"Class1"
38.123,7.559,"N","D",40,7.422,61,13.573,17,44.566,27.557,"Class1"
4.84,37.326,"S","W",NA,78.241,30,74.099,79,23.729,80.499,"Class3"
75.796,27.191,"D","W",10,78.263,69,25.118,78,17.737,83.61,"Class2"
18.332,11.738,"E","N",38,11.395,64,39.098,72,29.836,18.062,"Class1"
17.261,71.613,"X","P",63,49.158,49,59.552,68,32.87,62.473,"Class3"
77.488,49.011,"T",NA,5,76.876,58,44.597,81,17.816,75.357,"Class2"
10.574,9.832,"Q","F",38,17.352,68,27.865,77,22.123,55.688,"Class1"
19.219,25.926,"X","K",76,47.401,34,67.846,74,47.247,80.022,"Class3"
28.834,9.931,"S","P",61,52.858,27,64.769,63,61.002,63.087,"Class3"
28.517,8.491,"E","G",38,17.939,75,14.234,74,30.803,49.989,"Class1"
42.486,11.898,"N","G",37,18.866,58,14.989,40,17.628,49.975,"Class1"
10.859,8.349,"K","B",37,-0.486,62,28.63,39,24.126,26.544,"Class1"
73.771,17.696,"N","D",37,0.068,83,15.043,26,21.767,83.087,"Class1"
77.752,16.094,"L","W",9,86.16,41,25.429,78,16.225,83.906,"Class2"
6.834,62.58,"X","P",74,54.115,54,64.286,65,55.386,75.086,"Class3"
17.159,16.194,"K","F",35,13.022,65,6.795,75,42.835,76.102,"Class1"
77.478,15.178,"Q","G",36,16.92,82,16.221,35,19.537,92.744,"Class1"
76.762,46.912,"U","G",7,86.335,28,39.974,66,16.229,16.626,"Class2"
-11.266,18.846,"E","F",39,8.635,62,12.616,67,41.746,47.356,"Class1"
17.841,12.569,"X","W",71,73.613,37,61.996,62,34.188,82.792,"Class3"
52.937,9.664,"E","N",40,2.91,83,25.878,78,15.453,88.406,"Class1"
80.039,38.839,"T","W",21,84.127,30,38.621,66,17.698,39.934,"Class2"
23.355,52.739,"F","W",74,47.103,51,65.025,80,62.71,72.08,"Class3"
81.544,21.442,"L","W",7,76.021,39,29.453,64,16.47,17.334,"Class2"
16.838,55.7,"X","I",75,48.784,32,39.061,66,35.798,61.927,"Class3"
17.473,43.275,"S","P",63,72.68,30,70.208,70,42.722,76.007,"Class3"
17.795,17.017,"T","D",37,21.026,75,25.552,55,22.598,46.423,"Class1"
76.832,44.154,"F","Q",6,76.735,51,52.226,66,17.058,18.353,"Class2"
19.521,37,"F","W",74,39.851,32,58.48,74,56.252,59.871,"Class3"
79.811,19.813,"L","G",NA,73.904,54,35.888,66,17.296,45.047,"Class2"
9.112,36.666,"X","H",69,59.445,49,78.466,77,49.516,60.636,"Class3"
83.277,41.187,"D","Z",14,83.96,37,33.21,19,17.86,14.68,"Class2"
5.178,28.553,"S","W",79,72.118,35,64.272,66,24.212,62.931,"Class3"
80.213,27.797,"T","G",13,81.145,26,59.311,42,16.14,61.241,"Class2"
