"Output5","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"Class1","E",72.148,36.789,87.98,"G",41,78.925,39.173,61.275,27,13
"Class3","X",71.693,45.625,8.446,"N",68,68.007,70.229,38.245,44,49
"Class2","D",68.801,46.444,49.647,"A",43,54.468,18.873,13.644,96,58
"Class1","P",71.381,41,91.652,"N",45,64.836,27.228,62.524,32,13
"Class3","X",73.232,68.213,16.985,"L",79,68.264,46.642,33.244,66,63
"Class2","D",84.515,49.761,58.955,"U",39,66.167,12.368,22.987,97,56
"Class1","H",71.718,53.017,91.37,"U",43,66.591,30.622,67.939,32,4
"Class3","X",65.759,97.321,30.528,"L",68,56.936,64.149,53.767,60,24
"Class1","E",71.512,49.193,89.894,"Y",56,69.303,27.625,64.211,28,14
"Class3","Z",69.978,50.044,23.013,"O",60,55.168,42.151,34.802,39,60
"Class1",NA,71.957,39.43,91.893,"N",44,63.631,27.443,29.919,23,NA
"Class3","X",73.895,95.084,15.153,"O",78,58.196,71.094,57.525,78,60
"Class2","C",86.838,71.599,56.943,"U",42,80.959,8.267,69.687,57,60
"Class2","D",79.371,60.374,48.284,"K",38,44.872,12.618,35.09,60,56
"Class2","A",74.794,55.312,46.597,"A",38,76.772,5.382,10.827,65,52
"Class1","Q",70.959,42.52,87.963,"U",83,72.705,40.636,78.742,27,4
"Class2","A",84.619,52.415,54.6,"U",40,60.574,13.653,82.836,40,57
"Class2","P",81.194,59.029,52.316,"K",42,66.165,8.192,22.113,44,56
"Class1","P",71.964,25.648,87.894,"U",85,67.183,53.602,64.864,27,11
"Class2","D",87.633,66.606,49.864,"H",44,54.269,25.635,55.986,75,59
"Class2","A",77.642,46.924,48.958,"U",41,90.529,18.937,65.352,93,55
"Class1","F",71.786,41.462,92.084,"N",56,73.533,56.925,33.894,20,13
"Class2","R",76.396,67.678,50.851,"H",41,111.823,5.289,35.73,55,61
"Class3","X",70.916,78.881,30.33,"O",67,63.242,50.909,31.443,73,64
"Class3","C",71.102,101.303,33.541,"O",58,66.216,46.91,30.914,68,24
"Class1","P",71.72,16.155,90.4,"N",55,101.138,33.029,31.686,29,6
"Class2","C",86.459,35.214,51.226,"H",40,78.288,19.078,29.252,53,58
"Class2","C",77.345,67.487,53.986,"Q",39,71.656,27.511,36.525,92,56
"Class1","P",72.043,33.888,89.082,"N",55,67.051,26.485,68.895,21,9
"Class3","X",70.578,78.158,34.771,"E",81,56.186,55.066,35.22,22,80
"Class3","Z",67.67,72.902,32.34,"E",81,66.29,44.541,46.431,27,28
"Class1","F",71.979,60.288,92.332,"U",47,70.311,54.956,15.667,28,NA
"Class1","Q",71.328,51.392,88.12,"G",79,55.676,29.722,32.568,30,12
"Class2","A",79.467,63.848,57.582,"U",38,91.302,19.828,71.383,48,51
"Class2","D",83.14,45.878,50.561,"Q",43,86.718,25.318,67.009,96,59
"Class1","P",71.186,28.321,90.555,"N",59,64.551,46.932,77.369,21,12
"Class3","J",70.923,74.347,34.67,"A",78,63.474,38.918,48.333,86,70
"Class2","A",86.397,40.218,56.961,"Q",43,87.728,4.346,73.302,91,51
"Class2","C",78.907,45.282,59.994,"H",37,78.649,9.817,49.738,97,59
"Class3","E",68.428,96.21,19.123,"O",72,63.818,47.978,55.112,46,36
"Class3","J",68.345,62.875,17.087,"L",63,74.03,41.026,58.962,21,51
"Class1","P",71.92,48.999,92.149,"G",67,64.344,41.561,48.729,31,11
"Class1",NA,72.022,45.6,93.854,"G",44,79.369,55.448,82.829,24,4
"Class1","P",72.195,30.021,92.965,"Y",87,74.929,45.161,79.584,21,5
"Class1","H",71.269,26.407,90.634,"D",57,74.197,48.69,37.441,23,9
"Class3","X",72.494,72.845,25.794,"O",58,70.496,53.872,51.3,75,32
"Class2","D",86.287,70.019,55.367,"K",36,71.144,29.272,44.582,47,60
"Class3","J",64.29,95.404,2.846,"A",58,57.709,70.537,39.398,18,44
"Class3","E",72.573,71.428,8.668,"A",76,71.625,46.764,56.175,15,80
"Class2","D",82.602,50.799,53.41,"A",37,50.769,18.901,63.907,83,56
"Class1","P",71.471,29.47,90.828,"N",67,78.918,48.632,52.861,32,11
"Class1","H",71.149,23.26,89.279,"N",67,82.828,43.633,58.279,25,7
"Class1","Q",71.874,51.894,90.162,"Y",44,77.919,34.227,38.843,27,7
"Class1","H",70.711,51.501,93.121,"Y",64,93.568,52.177,23.022,20,7
"Class3","J",69.377,79.354,3.878,"A",60,66.657,39.637,43.981,72,44
"Class2","R",71.028,58.701,56.538,"U",46,69.77,11.393,32.73,78,NA
"Class3","E",66.991,96.383,0.876,"L",82,65.554,40.604,33.077,50,75
"Class3","Z",67.99,58.06,18.973,"L",81,77.374,58.493,45.139,38,81
"Class3","Z",69.126,79.902,17.189,"E",77,67.869,45.724,41.766,56,NA
"Class3","J",69.578,63.521,14.083,"A",59,61.042,41.402,41.64,70,43
"Class1","F",71.32,37.89,89.833,"N",49,73.713,46.724,69.523,27,3
"Class3","Z",66.998,54.011,22.754,"N",76,66.221,37.492,29.524,78,32
"Class3","J",69.03,71.275,25.948,"E",73,60.464,56.482,56.048,22,15
"Class1","Q",71.559,44.046,88.249,"N",45,76.29,48.349,18.191,20,9
"Class1","E",71.254,22.018,88.331,"U",42,65.5,48.404,69.761,29,8
"Class1","P",70.881,38.052,90.185,"Y",43,78.096,32.864,78.354,28,3
"Class2","D",74.565,57.951,48.717,"A",39,108.327,28.575,9.197,90,55
"Class1","F",71.698,23.223,91.273,"G",43,59.391,54.999,61.791,23,10
"Class1","F",71.87,55.899,88.152,"N",76,88.899,31.94,24.948,22,3
"Class1","Q",71.73,27.755,93.85,"G",68,65.247,48.781,31.996,25,12
"Class1",NA,71.053,45.61,87.535,"Y",81,77.796,32.515,87.625,22,12
"Class1","Q",72.174,49.791,90.317,"Y",63,78.571,30.077,33.328,32,10
"Class3",NA,65.651,76.796,2.953,"O",71,74.921,69.607,42.712,49,49
"Class1","E",71.59,32.783,87.906,"G",69,76.335,44.858,24.14,28,10
"Class3","E",65.894,86.464,30.102,"O",74,81.048,62.847,56.609,19,46
"Class2","C",82,42.382,59.411,"Q",39,82.135,17.4,49.009,85,52
"Class1","F",71.491,16.78,87.999,"G",56,73.656,34.408,92.938,20,12
"Class2","R",94.632,59.873,47.581,"H",37,110.714,19.943,82.453,63,57
"Class1","H",71.38,69.064,87.974,"N",52,45.684,45.662,77.417,27,5
"Class2","C",74.644,43.578,47.62,"H",37,40.862,17.625,79.907,47,58
"Class2","P",76.453,49.265,54.238,"H",45,86.085,5.091,39.899,64,57
"Class2","D",73.047,49.282,48.294,"Q",44,84.535,21.788,41.517,82,60
"Class2","P",78.38,64.778,54.882,"K",44,49.295,19.877,21.745,38,51
"Class1","Q",71.481,46.689,91.438,"U",52,77.651,32.676,49.553,32,NA
"Class3","J",70.34,68.848,5.244,"E",71,70.922,63.139,30.058,23,58
"Class2",NA,86.422,39.734,57.466,"H",44,70.625,2.332,53.14,54,54
"Class1","E",71.725,54.612,91.439,"N",44,62.164,30.403,27.922,21,14
"Class2","P",80.038,50.329,50.335,"H",41,82.851,19.645,35.527,43,60
"Class3","Z",68.546,46.222,10.128,"O",62,72.054,52.724,52.843,44,13
"Class2","R",83.164,64.902,46.39,"A",46,70.584,22.8,67.267,46,57
"Class1","P",70.92,47.014,89.786,"G",56,64.507,45.242,63.825,30,8
"Class3","X",67.243,65.815,10.33,"A",67,80.042,46.173,55.617,60,58
"Class3","E",71.365,95.886,32.011,"E",79,74.479,47.61,46.248,16,27
"Class1","E",71.343,38.731,92.323,"Y",59,72.184,45.699,93.076,21,10
"Class3","Z",67.408,51.879,7.441,"A",74,62.617,50.864,49.251,56,82
"Class1","P",71.832,30.215,90.7,"U",42,63.743,42.375,54.387,26,14
"Class1","P",72.048,11.636,92.588,"U",73,77.11,42.901,37.674,21,13
"Class3","Z",68.92,75.009,13.285,"A",61,46.641,53.221,35.058,23,58
"Class2","R",80.773,69.911,50.346,"K",36,73.201,16.559,9.287,34,53
"Class3","Z",72.149,69.554,13.33,"E",67,55.938,37.422,52.471,81,21
"Class2","C",77.235,56.029,49.683,"A",43,80.544,24.149,69.074,92,54
"Class1","Q",71.517,53.632,88.772,"D",53,74.42,26.495,66.293,24,14
"Class1","P",72.235,36.508,89.571,"Y",43,81.826,59.526,59.604,26,5
"Class3","X",66.126,41.338,26.045,"A",72,67.486,43.524,54.421,18,17
"Class1","Q",71.657,25.778,89.537,"G",72,81.242,45.877,26.056,22,10
"Class1","H",71.371,51.953,90.199,"G",60,81.225,53.555,36.048,31,7
"Class1","P",72.023,54.435,90.8,"N",79,69.015,40.041,58.285,23,5
"Class2","P",96.629,61.872,46.522,"Q",46,45.308,4.951,69.076,81,52
"Class1","H",71.399,50.872,90.284,"N",67,69.7,28.433,15.156,25,5
"Class2","A",79.734,61.079,48.54,"A",43,79.198,30.205,76.74,56,60
"Class3","Z",68.59,64.234,12.386,"E",71,63.306,52.201,32.255,28,30
"Class2","C",82.548,70.004,46.46,"K",44,95.778,17.63,81.842,95,52
"Class3","E",68.501,97.954,10.273,"L",75,57.206,61.225,49.065,77,23
"Class2","D",84.224,59.933,59.112,"U",39,51.559,10.34,70.735,55,55
"Class3","C",67.719,71.002,18.144,"L",75,53.178,41.389,48.573,69,57
"Class1","Q",71.766,22.92,89.318,"Y",72,98.399,34.096,60.794,29,10
"Class2","R",79.816,50.927,51.612,"U",46,43.355,27.541,44.298,53,60
"Class3","C",69.089,62.214,33.13,"E",81,53.515,47.032,50.705,38,61
"Class1","P",71.717,42.263,91.064,"G",83,75.393,35.914,87.81,29,11
"Class3","E",71.544,87.871,10.244,"A",68,85.954,50.3,49.002,15,56
"Class3","C",67.35,69.295,1.855,"E",65,65.407,48.936,48.443,24,54
"Class2",NA,87.03,41.732,59.53,"Q",46,35.653,30.211,23.811,89,59
"Class2","A",82.298,57.5,50.087,"H",38,68.277,9.368,53.197,50,51
"Class1","H",70.896,27.377,88.537,"G",56,69.55,52.505,36.123,23,10
"Class1","Q",71.192,35.793,91.025,"Y",63,82.316,34.055,63.821,28,9
"Class1","Q",71.013,31.851,87.508,"Y",40,88.053,55.897,32.625,28,13
"Class1","P",70.813,31.227,90.525,"U",53,72.053,44.863,86.296,28,6
"Class2","P",84.88,66.513,50.331,"U",41,55.661,27.132,60.416,94,59
"Class2",NA,82.169,32.296,50.827,"K",46,89.324,24.816,33.398,70,57
"Class1","H",71.282,40.549,92.288,"Y",42,61.251,44.478,14.368,28,8
"Class2","R",95.671,57.051,58.613,"A",36,57.455,20.008,55.639,52,53
"Class2","R",86.034,65.712,56.468,"K",43,65.633,7.108,73.27,79,59
"Class1","H",71.443,64.912,90.335,"Y",59,76.709,45.197,82.428,28,13
"Class1","Q",71.966,54.862,88.377,"D",73,69.304,55.128,91.348,25,7
"Class1","Q",71.671,36.69,91.613,"N",64,83.548,37.792,14.766,32,12
"Class3","Z",68.894,81.469,14.533,"L",75,79.646,71.525,47.246,85,28
"Class3","J",71.032,83.488,35.036,"L",79,60.723,61.866,45.658,76,79
"Class1","Q",71.119,19.375,92.547,"G",50,78.004,50.546,43.248,24,13
"Class3","Z",68.244,59.551,10.201,"O",61,69.466,49.553,29.105,32,81
"Class3","X",66.029,76.174,2.203,"L",58,66.683,68.769,48.633,64,NA
"Class1","E",71.567,37.635,91.993,"U",59,81.645,26.072,31.135,27,3
"Class2","R",85.039,51.135,57.395,"Q",38,80.029,4.33,82.17,84,56
"Class3","X",74.478,49.752,26.262,"N",59,70.861,42.058,42.414,17,NA
"Class2","P",83.422,67.23,55.652,"U",39,64.365,28.824,47.003,81,52
"Class2","A",82.329,79.269,50.642,"H",38,49.829,18.883,85.208,61,60
"Class2","P",96.642,49.702,58.205,"A",38,73.001,21.762,18.306,46,57
"Class1",NA,71.284,34.352,91.351,"Y",45,79.143,26.214,45.424,22,5
"Class3","J",70.176,98.616,16.238,"O",78,61.75,71.343,33.797,25,29
"Class3","C",69.331,67.28,27.927,"L",67,51.954,61.095,52.275,49,82
"Class2","A",69.831,54.63,59.842,"K",45,69.232,14.041,33.102,85,59
"Class1","F",71.228,39.669,90.323,"Y",67,68.858,50.821,38.809,23,12
"Class1","Q",71.361,45.868,89.582,"Y",86,61.306,37.787,69.175,20,11
"Class1","E",71.432,28.674,88.218,"N",78,75.65,43.737,86.086,21,6
"Class1","F",71.475,34.011,93.618,"D",72,70.923,42.741,90.181,29,12
"Class2","R",87.704,49.565,48.758,"Q",46,74.078,10.526,51.471,35,60
"Class1","H",70.9,74.388,88.106,"G",67,79.947,48.434,23.197,29,13
"Class3","Z",72.814,97.821,26.596,"O",69,75.059,37.441,31.636,57,14
"Class1","F",71.867,45.817,90.109,"N",68,74.493,33,27.428,31,13
"Class1","F",72.067,39.608,90.967,"Y",65,70.06,54.532,18.675,20,4
"Class1","Q",71.348,35.607,92.379,"U",44,91.792,56.942,74.017,27,3
"Class2","D",70.837,44.72,46.235,"K",45,58.237,17.139,27.059,58,58
"Class2","A",96.663,54.127,55.321,"H",41,89.68,23.718,77.316,91,57
"Class2","C",71.626,46.535,52.604,"U",37,21.291,16.594,53.077,76,55
"Class1","F",71.128,42.583,88.665,"D",60,76.519,52.834,65.885,30,11
"Class2","R",86.57,42.052,47.131,"K",46,75.05,8.343,59.533,33,60
"Class3","Z",69.601,84.102,14.705,"L",79,61.978,62.777,52.569,38,76
"Class1","Q",71.491,25.841,89.645,"G",67,78.939,40.399,64.091,28,6
"Class3","X",70.001,74.469,26.007,"L",69,78.232,59.892,39.573,87,49
"Class3","Z",71.778,82.068,2.492,"L",77,58.094,71.454,42.177,49,74
"Class3","E",70.358,71.543,0.761,"L",74,56.48,49.255,31.055,15,NA
"Class1","Q",71.828,51.078,92.81,"N",60,78.113,45.865,22.42,30,12
"Class2","A",101.159,54.081,47.232,"U",41,59.412,12.874,70.728,80,61
"Class2","P",93.635,54.563,52.284,"K",39,57.847,12.65,85.405,95,55
"Class1","F",71.265,45.115,87.953,"G",78,73.822,56.381,57.163,21,14
"Class3","Z",70.356,87.462,14.768,"A",61,56.977,44.845,55.097,57,74
"Class1","F",71.53,49.103,87.536,"G",47,69.625,31.451,90.561,32,12
"Class1","F",71.576,29.503,87.391,"G",66,65.539,37.011,47.611,21,12
"Class2","P",85.556,46.759,49.025,"H",39,73.668,19.827,39.296,90,53
"Class2","D",81.961,72.603,57.438,"U",42,61.847,28.973,11.314,35,59
"Class2",NA,75.65,68.544,55.614,"A",42,58.911,15.044,73.195,97,58
"Class1","H",71.401,29.437,88.805,"N",82,65.645,41.504,21.385,27,9
"Class3","Z",70.768,91.915,5.583,"O",63,65.38,60.391,53.444,47,30
"Class2","A",80.684,40.997,49.905,"H",46,101.549,26.782,49.422,64,56
"Class3","Z",72.106,86.543,2.636,"L",80,70.215,59.15,53.699,80,18
"Class3","Z",72.169,76.14,10.535,"N",77,78.46,41.903,38.19,28,32
"Class2","R",75.102,62.877,55.484,"U",46,99.081,16.258,71.841,62,NA
"Class3","J",71.383,69.553,25.063,"N",79,62.978,70.298,57.968,58,44
"Class2","R",76.619,50.63,50.664,"K",39,67.062,19.579,16.426,94,NA
"Class3","X",64.679,72.674,31.759,"A",67,81.75,60.769,55.519,25,24
"Class3","C",67.77,97.816,6.696,"O",73,66.399,47.551,58.083,80,37
"Class2","A",88.104,49.139,57.995,"A",45,84.826,25.569,67.264,42,59
"Class3",NA,71.761,76.912,33.274,"E",79,67.22,42.448,53.459,33,53
"Class3","Z",67.104,69.555,23.191,"N",62,60.441,46.272,33.279,34,31
"Class1","E",71.362,34.672,93.931,"Y",54,71.434,49.908,92.751,21,4
"Class1","P",71.586,33.121,93.754,"N",47,69.897,37.726,94.308,28,6
"Class2","P",86.396,54.114,50.055,"U",36,43.764,21.764,33.292,56,52
"Class1","F",70.947,70.443,90.759,"G",82,85.351,52.416,48.5,27,12
"Class3","Z",69.923,90.767,4.209,"A",60,57.016,63.681,49.933,68,33
"Class2","C",96.275,52.829,57.615,"Q",44,40.253,29.4,36.213,74,52
"Class3","C",71.007,71.095,12.671,"L",68,70.716,55.993,42.033,21,15
"Class3","Z",69.955,87.865,19.518,"L",59,55.442,37.575,48.521,19,25
"Class2","C",87.861,64.828,50.915,"H",38,80.635,19.208,26.501,37,56
"Class1","Q",71.568,58.084,92.243,"N",77,75.934,48.116,49.487,30,5
"Class2","D",80.204,55.1,53.616,"K",42,90.182,10.228,73.916,35,52
"Class2","D",77.77,45.899,54.19,"U",39,44.423,8.12,62.114,80,57
"Class1","P",71.549,9.831,92.693,"N",63,59.335,57.745,50.699,23,11
"Class3","X",66.744,66.068,17.388,"L",69,65.917,71.613,50.002,79,68
"Class3","C",71.36,44.508,25.925,"O",78,73.369,44.881,43.536,41,34
"Class1","H",71.789,28.401,89.631,"U",75,69.055,41.137,80.359,27,11
"Class3","X",67.746,78.039,14.251,"O",63,67.058,57.225,43.963,59,45
"Class1","H",71.509,25.226,92.606,"N",50,50.44,40.772,75.158,30,3
"Class2","R",82.337,50.857,50.056,"H",41,101.86,30.14,53.292,77,60
"Class1","H",71.863,33.129,92.636,"G",56,78.85,54.111,34.134,29,NA
"Class3","J",68.549,75.908,26.973,"E",60,61.454,39.3,51.4,83,72
"Class1","P",71.608,57.627,87.622,"D",75,84.564,45.15,29.805,32,10
"Class2","C",78.337,54.566,48.681,"Q",45,32.173,19.799,66.798,58,59
"Class1","Q",70.923,49.6,89.874,"N",55,69.815,47.592,65.66,28,11
"Class2","P",84.88,50.973,56.721,"A",37,92.502,25.257,85.204,46,51
"Class3","E",65.955,33.322,31.598,"E",77,57.226,61.562,46.934,82,24
"Class1","H",71.795,48.895,90.759,"Y",43,71.359,40.708,22.378,22,10
"Class2","C",83.784,59.554,50.922,"H",40,94.932,18.461,74.204,91,52
"Class1","Q",71.712,52.143,91.188,"G",57,63.38,57.54,69.41,21,14
"Class3","J",67.568,88.631,20.844,"L",60,62.149,44.726,31.987,57,65
"Class3","C",76.242,50.716,24.312,"E",58,68.36,58.326,49.467,42,48
"Class2","D",78.674,43.022,59.343,"Q",39,91.324,14.035,10.019,35,56
"Class2","A",89.718,50.671,59.004,"K",38,37.956,7.667,8.757,48,61
"Class1","Q",70.801,27.586,88.254,"D",75,78.556,48.382,15.058,21,10
"Class1","E",71.418,44.338,89.402,"G",75,87.544,57.178,16.797,31,8
"Class3","C",65.666,74.248,18.717,"O",60,65.504,44.012,55.692,82,83
"Class1","F",71.63,54.237,87.337,"Y",76,67.472,25.395,34.304,23,6
"Class1","H",71.255,44.444,90.884,"Y",48,59.884,56.673,15.066,30,7
"Class2","A",78.934,32.278,56.654,"A",40,95.29,14.262,16.28,75,61
"Class1","Q",71.515,10.46,89.578,"Y",49,83.246,25.443,44.141,29,7
"Class1","E",70.851,18.036,89.921,"Y",44,79.635,44.99,57.208,26,5
"Class2","P",72.967,58.694,55.724,"K",41,50.645,12.801,40.396,76,60
"Class1","P",71.571,36.397,88.358,"U",73,72.499,53.903,24.131,20,8
"Class2","D",80.063,59.978,49.975,"U",39,83.365,15.098,59.018,40,60
"Class3","X",68.501,78.454,6.696,"A",82,60.478,64.927,30.265,21,15
"Class2","P",72.761,58.697,55.226,"Q",43,47.538,20.345,30.505,79,52
"Class2","P",76.287,71.795,59.033,"H",37,55.087,6.84,13.532,68,55
"Class3","E",71.453,39.307,10.783,"O",79,51.587,45.878,38.318,57,38
"Class1","E",71.814,33.915,93.732,"D",50,79.16,31.515,81.89,25,12
"Class2","C",75.65,38.963,51.958,"H",41,65.382,13.677,41.14,67,54
"Class1","P",71.295,36.42,93.121,"Y",48,78.855,37.757,39.112,31,14
"Class1","P",71.433,37.049,91.106,"Y",43,85.48,38.043,45.306,32,6
"Class1","Q",71.572,55.977,93.252,"Y",74,74.773,35.454,94.369,26,10
"Class3","X",70.314,84.968,3.598,"A",74,61.962,66.274,53.123,30,29
"Class3","X",67.01,112.413,30.116,"E",74,61.377,70.077,46.563,35,33
"Class1","P",71.356,41.468,89.336,"Y",61,70.083,45.046,29.536,27,9
"Class1","F",71.239,26.631,89.533,"D",76,98.353,53.81,40.712,30,3
"Class1","Q",71.664,56.954,89.88,"Y",46,81.872,42.165,56.072,27,13
"Class3","Z",73.404,59.405,10.596,"N",66,59.922,59.163,54.793,40,77
"Class1","H",71.559,52.572,93.228,"Y",48,95.801,45.838,18.279,31,11
"Class2","C",82.132,47.062,58.487,"Q",46,68.861,25.999,71.861,42,51
"Class2","R",82.273,56.595,56.26,"H",39,51.983,30.454,10.049,63,52
"Class1","F",71.923,41.709,90.522,"N",64,79.122,40.558,84.064,23,10
"Class1",NA,71.755,44.677,92.24,"Y",54,58.443,42.906,20.97,29,13
"Class3","Z",68.632,80.086,27.31,"N",61,56.991,40.724,34.683,49,58
"Class1","E",71.016,28.723,92.072,"D",61,71.011,29.439,37.223,31,6
"Class1","E",71.748,40.323,91.111,"Y",73,76.274,59.178,37.853,27,13
"Class1","F",71.454,28.109,88.366,"U",71,77.221,41.909,79.829,21,8
"Class3","J",69.708,70.104,20.571,"N",65,65.611,42.64,39.519,43,52
"Class1",NA,71.456,23.849,89.794,"N",86,74.299,27.612,14.522,28,3
"Class3","C",72.299,104.853,3.933,"E",63,70.674,59.571,42.129,31,55
"Class2","A",84.168,50.657,48.648,"A",45,27.341,5.592,71.759,75,58
"Class3","X",67.701,99.217,10.573,"A",74,77.779,65.205,35.105,31,NA
"Class1","F",70.759,76.805,93.512,"N",41,79.098,27.836,40.063,32,8
"Class2",NA,77.548,62.327,56.024,"H",36,101.193,21.118,66.778,75,61
"Class3","E",71.732,78.464,7.881,"L",68,62.82,47.674,29.563,74,37
"Class3","J",70.235,71.841,0.316,"O",61,71.191,40.79,30.411,44,19
"Class2","A",79.935,47.226,47.675,"U",40,56.712,27.747,74.374,36,57
"Class2","A",70.735,67.542,47.817,"K",40,73.911,22.804,77.941,83,56
"Class3","X",73.668,53.93,4.559,"N",80,71.966,39.413,54.44,48,62
"Class3","E",70.422,91.147,31.435,"E",66,73.839,45.561,44.444,52,68
"Class2",NA,66.368,48.508,58.918,"K",44,92.173,29.715,25.395,37,53
"Class2","P",93.835,73.913,51.957,"Q",42,65.951,10.37,69.898,36,51
"Class1","H",71.36,43.61,89.221,"G",39,71.233,48.268,91.14,27,4
"Class1","F",71.202,49.296,88.809,"N",62,73.348,32.385,95.171,27,12
"Class1","F",71.92,35.327,89.249,"Y",46,69.104,50.253,48.239,31,14
"Class3",NA,69.507,109.82,20.184,"A",82,57.842,53.559,46.36,57,23
"Class2","P",92.3,69.209,58.125,"H",38,47.082,2.9,64.509,43,59
"Class2","D",78.47,57.335,47.655,"H",40,93.726,14.598,50.366,42,53
"Class1","P",71.255,43.379,91.953,"G",63,69.293,59.234,16.357,21,14
"Class2","P",75.605,61.894,54.361,"U",46,61.21,14.924,83.012,79,58
"Class3","X",69.79,84.508,18.695,"N",68,58.316,68.104,34.522,51,75
"Class3","J",67.212,75.579,1.95,"A",77,66.319,52.842,35.212,66,35
"Class2","A",79.893,48.741,52.94,"A",38,52.884,18.735,58.865,97,60
"Class3","C",70.012,48.305,20.074,"O",71,59.875,41.992,58.109,84,70
"Class3","J",68.698,80.402,9.4,"N",78,68.953,68.91,34.039,66,NA
"Class1","Q",71.149,46.056,88.067,"D",40,69.862,45.492,95.604,30,7
"Class1","Q",71.583,43.553,90.496,"U",85,85.364,51.292,54.954,22,3
"Class3","E",72.262,77.403,18.486,"A",76,61.302,48.06,45.026,28,56
"Class2","A",86.334,56.512,52.095,"K",41,79.162,16.53,40.513,98,56
"Class3","J",70.142,70.44,32.332,"E",72,61.729,68.372,33.502,50,64
"Class3","Z",62.508,43.872,12.203,"L",66,46.974,49.07,54.63,83,43
"Class2","C",90.778,53.657,51.401,"H",46,35.221,14.028,12.782,65,54
"Class2","A",82.478,44.978,55.814,"K",36,82.184,16.71,27.171,41,61
"Class1","E",70.736,51.675,89.53,"N",82,70.133,55.514,36.215,22,14
"Class2","R",71.547,51.95,55.981,"H",39,65.755,30.709,63.099,84,52
"Class3","C",67.955,91.429,14.797,"E",77,61.628,65.001,33.674,51,54
"Class3","Z",68.746,89.57,4.284,"E",77,66.033,70.578,46.406,64,58
"Class3","X",65.302,67.2,26.668,"E",60,69.021,66.91,55.629,85,66
"Class2","A",84.826,65.778,52.145,"A",43,91.632,19.907,18.485,33,61
"Class2","R",85.226,63.276,51.925,"A",42,74.206,29.846,51.551,76,60
"Class1","Q",71.268,29.176,87.035,"U",72,70.455,36.949,14.193,23,11
"Class3","J",69.712,61.88,19.896,"O",60,56.306,42.811,51.965,36,54
"Class1","F",71.471,50.093,90.631,"N",76,69.395,36.084,67.234,22,12
"Class2","A",79.325,38.925,55.454,"A",40,97.565,9.025,59.916,94,57
"Class1","H",71.767,37.698,90.104,"G",61,74.617,30.741,30.846,24,NA
"Class2","C",71.976,71.554,48.891,"K",39,76.009,5.574,21.746,95,51
"Class3","Z",67.801,63.186,33.959,"O",71,67.026,69.644,37.736,43,19
"Class2","A",69.028,79.784,58.745,"Q",40,49.818,6.098,63.086,72,54
"Class1","Q",71.72,54.611,91.022,"N",60,76.932,50.074,96.544,30,13
"Class3","Z",70.495,78.488,19.989,"A",81,53.07,46.934,37.504,75,NA
"Class1","E",71.149,20.688,90.78,"Y",50,66.553,43.91,14.793,24,12
"Class1","H",71.073,25.06,89.923,"U",85,84.033,38.831,82.279,30,14
"Class3","Z",69.189,60.671,35.157,"A",73,59.467,69.035,49.505,63,37
"Class2","P",81.315,57.496,53.186,"K",41,66.305,13.225,83.975,95,53
"Class1","P",70.875,33.376,89.065,"G",64,78.179,28.235,83.047,32,14
"Class3","X",70.62,103.138,30.533,"E",64,64.462,46.264,48.514,55,21
"Class2","P",74.861,55.061,50.419,"H",38,66.621,5.107,68.007,42,59
"Class3","X",66.815,64.008,15.37,"L",60,66.313,68.957,41.538,62,75
"Class2","P",92.382,53.196,51.023,"K",38,69.292,7.524,28.001,69,52
"Class3","X",73.827,72.242,19.175,"O",73,71.634,62.183,38.319,52,33
"Class1","P",71.88,25.579,89.667,"Y",51,59.594,50.49,82.659,22,9
"Class1","H",71.255,46.492,92.958,"Y",61,65.679,38.537,19.139,21,NA
"Class1",NA,71.631,38.132,91.47,"N",78,80.868,55.124,96.174,21,8
"Class1","F",72.247,27.36,89.574,"G",88,78.93,28.419,61.528,24,8
"Class1","F",71.031,11.821,92.686,"D",53,62.758,43.063,24.475,30,7
"Class2","P",75.335,32.488,58.75,"A",45,35.023,12.031,56.922,58,61
"Class2","P",73.715,68.627,54.931,"A",37,53.024,29.779,19.994,70,NA
"Class2","C",83.021,30.643,50.378,"A",37,65.257,28.992,61.238,41,60
"Class3",NA,70.797,35.536,24.459,"O",71,64.742,64.079,58.645,18,24
"Class2","C",80.51,74.315,47.964,"Q",45,47.538,8.371,37.99,42,61
"Class3","Z",68.555,94.057,18.397,"A",80,75.59,66.102,33.907,17,42
"Class3","C",66.388,86.258,12.158,"L",61,63.968,41.692,53.79,76,80
"Class2","A",88.406,68.074,50.053,"A",36,102.505,8.532,65.236,45,54
"Class3","C",73.244,88.207,15.869,"L",69,59.202,45.257,48.855,76,73
"Class3","J",65.531,82.377,7.387,"N",66,51.186,48.282,50.03,15,37
"Class2","A",79.837,63.947,46.996,"K",40,79.318,15.331,79.14,34,57
"Class2","A",74.666,54.922,47.439,"A",40,96.522,3.998,31.552,34,NA
"Class2","P",92.786,57.255,55.336,"K",43,65.156,7.615,11.227,58,56
"Class3","X",66.974,78.875,27.107,"N",70,53.136,68.343,32.014,24,59
"Class3","E",68.187,119.488,26.26,"O",59,73.016,45.808,53.609,56,80
"Class3","C",70.463,88.286,24.61,"A",80,65.026,48.891,45.112,49,74
