"C1","C2","Output2","C3","C4","C5","C6","C7","C8","C9","C10","C11"
"P",50.915,"Class3",85.749,"K",45,62.075,36,6.528,79.462,88,72.246
"Q",16.707,"Class2",87.558,"A",78,56.903,40,69.548,51.705,28,26.716
"P",51.145,"Class3",84.325,"B",33,69.898,56,45.705,78.34,59,18.046
"N",98.632,"Class1",5.282,"G",53,43.716,64,69.093,23.105,70,26.362
"M",104.132,"Class1",36.009,"X",53,44.307,53,70.753,25.811,31,22.927
"A",46.165,"Class3",85.436,"K",27,83.367,59,30.672,69.554,68,67.211
"P",30.212,"Class3",85.077,"G",29,54.17,40,3,65.985,31,77.84
"O",55.434,"Class3",84.838,"F",26,59.78,47,78.138,47.518,84,71.473
"M",88.652,"Class1",34.855,"X",50,38.966,80,53.047,27.465,69,71.062
"E",78.842,"Class1",40.249,"G",49,39.107,47,44.365,25.891,81,53.885
"I",20.851,"Class2",78.735,"M",79,20.515,22,74.506,79.886,55,27.168
"C",38.291,"Class3",86.071,"G",37,55.995,40,24.785,77.505,83,35.494
"C",41.046,"Class3",84.618,"B",40,54.043,47,76.879,45.012,37,53.344
"E",78.451,"Class1",15.715,"Y",49,43.039,70,55.965,29.396,49,61.269
"Z",40.677,"Class3",84.535,"B",40,62.128,58,14.939,72.507,81,38.644
"M",80.908,"Class1",72.708,"Q",50,46.314,46,63.376,29.092,61,48.915
"Y",11.075,"Class2",88.521,"G",82,43.282,70,72.692,70.181,38,28.953
"E",22.061,"Class2",88.699,"A",82,36.752,51,67.66,21.382,31,26.822
"C",56.239,"Class3",84.289,"B",33,69.084,56,81.212,54.936,61,82.879
"N",83.102,"Class1",-2.55,"Y",51,34.816,38,58.207,24.125,75,23.415
"H",15.496,"Class2",87.614,"M",74,51.926,16,54.525,64.005,55,26.654
"A",44.863,"Class3",85.427,"D",38,54.981,35,47.224,75.765,35,92.451
"O",42.864,"Class3",86.873,"G",NA,51.222,52,42.41,56.857,56,59.786
"O",57.167,"Class3",84.453,"B",43,56.122,35,8.009,79.515,90,92.472
"A",45.725,"Class3",85.328,"G",31,62.825,56,3.341,69.765,78,79.601
"H",24.866,"Class2",110.292,"U",78,51.311,13,80.544,52.827,67,26.452
"A",52.462,"Class3",85.317,"G",42,48.193,56,3.115,81.691,29,28.661
"C",44.796,"Class3",87.545,"K",28,65.581,51,21.151,48.459,82,33.021
"Q",14.672,"Class2",76.085,"G",NA,44.054,21,63.715,66.043,36,26.559
"A",42.843,"Class3",86.104,"K",45,57.558,58,NA,44.979,50,83.172
"C",45.392,"Class3",85.022,"K",26,48.894,39,5.17,55.397,31,63.228
"C",47.567,"Class3",86.166,"K",31,55.412,40,NA,83.448,40,28.635
"C",50.148,"Class3",84.362,"K",37,63.068,43,24.749,47.845,68,60.528
"A",48.958,"Class3",86.768,"F",29,45.939,50,24.385,81.025,39,44.764
"A",40.144,"Class3",85.307,"K",38,44.536,36,13.704,60.609,29,46.78
"C",40.883,"Class3",86.874,"B",44,54.072,39,15.06,66.403,74,65.748
"Y",17.726,"Class2",91.182,"A",82,41.841,47,70.681,65.529,70,27.495
"E",18.842,"Class2",95.175,"H",76,67.635,92,76.261,45.08,66,27.538
"E",86.696,"Class1",33.625,"Y",50,42.785,51,46.798,23.48,45,31.32
"Y",100.122,"Class1",33.413,"C",50,51.457,55,NA,29.696,70,73.053
"Y",74.258,"Class1",74.657,"Y",53,46.721,59,37.47,29.981,26,37.823
"E",21.125,"Class2",88.375,"G",77,58.388,64,64.581,25.254,27,28.675
"E",20.175,"Class2",85.182,"M",77,36.589,39,81.535,42.929,55,26.445
"Z",47.227,"Class3",85.867,"G",45,52.945,58,58.574,66.584,50,38.674
"Q",31.606,"Class2",91.141,"U",78,56.162,38,61.374,20.798,47,28.641
"Y",24.222,"Class2",106.618,"H",NA,23.497,93,55.871,58.428,40,27.979
"C",43.654,"Class3",84.653,"K",43,58.47,52,59.065,65.819,50,67.188
"Y",12.884,"Class2",98.513,"M",74,36.938,86,64.977,24.067,52,27.464
"N",85.329,"Class1",70.518,"C",51,42.979,72,69.098,24.572,35,54.566
"O",54.49,"Class3",85.931,"F",34,51.871,40,39.166,77.801,75,54.81
"Y",91.779,"Class1",64.249,"X",53,45.22,34,42.352,29.319,18,45.833
"O",50.8,"Class3",85.598,"G",33,55.359,50,44.113,59.007,50,83.309
"O",40.222,"Class3",86.689,"D",27,53.236,43,NA,54.505,45,88.299
"N",78.381,"Class1",33.709,"C",52,43.458,43,76.737,25.871,84,18.198
"N",95.238,"Class1",42.734,"G",53,38.533,36,82.907,27.911,19,74.624
"C",47.938,"Class3",85.934,"B",26,48.586,56,51.022,50.821,82,18.492
"H",18.06,"Class2",91.305,"U",81,53.511,11,70.29,27.828,48,28.613
"E",94.606,"Class1",55.256,"C",50,49.373,66,48.869,24.694,50,17.284
"Q",18.942,"Class2",83.723,"G",82,33.306,31,65.591,44.381,20,27.251
"H",23.78,"Class2",93.931,"H",NA,54.89,21,70.7,30.769,23,28.679
"E",90.438,"Class1",21.61,"X",53,39.097,59,40.497,26.626,52,74.146
"Y",13.701,"Class2",91.891,"G",75,62.247,70,58.117,72.768,14,28.667
"Y",15.558,"Class2",77.8,"M",80,43.233,92,58.823,45.256,45,27.475
"M",75.692,"Class1",10.351,"Y",49,38.976,18,65.007,29.018,71,16.606
"Q",24.014,"Class2",84.025,"M",80,54.437,30,73.728,78.665,60,26.089
"Q",11.027,"Class2",100.861,"U",NA,56.056,54,71.212,17.608,9,26.694
"Q",13.704,"Class2",98.481,"M",80,57.16,86,54.547,55.842,58,27.818
"Q",20.407,"Class2",83.521,"U",77,64.031,56,63.824,23.43,50,27.266
"A",48.123,"Class3",86.881,"B",37,50.754,53,6.617,75.652,64,89.3
"M",81.118,"Class1",43.857,"X",50,47.365,68,60.208,23.579,33,34.838
"H",21.744,"Class2",86.509,"G",76,45.897,66,53.304,23.04,28,28.731
"C",77.024,"Class1",21.218,"Y",53,42.031,40,36.048,27.215,40,43.17
"E",17.878,"Class2",92.48,"G",77,58.836,16,64.153,18.006,78,26.734
"Y",82.4,"Class1",76.15,"G",51,35.537,34,55.052,28.405,87,66.585
"Z",39.683,"Class3",86.073,"D",39,64.674,56,69.109,44.09,83,33.416
"Z",44.158,"Class3",85.156,"D",42,49.906,38,58.848,44.434,75,82.096
"Z",50.308,"Class3",86.808,"F",41,73.756,53,57.431,72.82,66,34.998
"Q",21.8,"Class2",87.254,"U",78,35.599,85,NA,13.113,45,27.666
"Q",20.993,"Class2",82.845,"A",82,57.682,55,54.025,77.572,13,28.558
"A",53.922,"Class3",85.174,"G",29,52.044,48,33.725,82.715,86,75.58
"M",83.573,"Class1",21.254,"G",NA,45.516,34,64.714,27.056,21,55.836
"M",81.632,"Class1",35.7,"G",51,42.033,74,61.828,24.904,86,51.639
"O",52.335,"Class3",86.454,"F",31,59.378,52,7.222,77.441,48,41.943
"I",11.345,"Class2",92.081,"A",79,44.898,63,65.8,62.162,44,27.185
"Y",79.704,"Class1",49.65,"Y",49,44.198,81,37.427,25.273,42,57.348
"Y",18.739,"Class2",85.051,"U",74,70.74,90,68.275,35.833,58,26.072
"I",14.471,"Class2",80.866,"U",82,24.245,24,78.109,55.191,26,28.877
"C",65.549,"Class1",5.448,"Q",49,43.536,22,65.965,26.472,59,22.146
"C",46.933,"Class3",87.188,"G",30,59.177,49,2.958,87.509,49,39.666
"E",79.54,"Class1",68.398,"Q",51,34.656,36,74.448,28.567,72,59.139
"Z",40.143,"Class3",83.952,"D",33,37.267,57,76.166,44.582,46,68.411
"N",89.293,"Class1",13.739,"Y",NA,43.835,16,46.13,26.194,47,42.923
"Q",21.825,"Class2",85.67,"U",74,37.664,81,76.365,15.861,67,26.354
"M",75.399,"Class1",74.028,"Y",51,45.213,36,NA,26.263,15,63.644
"I",10.958,"Class2",87.092,"H",80,61.901,50,71.424,30.303,57,27.02
"Y",14.237,"Class2",85.698,"M",76,58.064,66,54.926,48.277,32,26.828
"P",45.206,"Class3",87.387,"K",39,65.696,42,NA,49.711,30,54.216
"Q",17.898,"Class2",85.69,"G",79,42.726,69,NA,38.886,64,26.528
"O",54.613,"Class3",83.793,"D",42,65.658,55,7.541,49.28,29,74.671
"Z",39.882,"Class3",84.677,"F",28,42.228,54,7.043,54.461,33,21.91
"H",21.031,"Class2",82.389,"H",76,49.548,79,56.073,57.02,64,26.637
"E",87.872,"Class1",40.163,"X",49,39.876,41,37.322,25.489,19,34.244
"M",96.336,"Class1",43.096,"C",51,48.131,48,70.841,26.115,48,40.585
"N",85.479,"Class1",85.124,"Y",49,32.686,75,52.861,25.81,76,36.451
"Y",18.091,"Class2",102.632,"U",74,59.624,67,53.778,51.938,41,26.492
"O",49.387,"Class3",85.493,"B",26,53.678,35,87.443,63.161,35,25.224
"N",71.43,"Class1",69.107,"G",52,41.985,69,56.042,28.209,60,21.903
"E",12.434,"Class2",75.105,"G",75,59.466,92,55.994,68.075,15,27.633
"Q",23.772,"Class2",92.182,"H",81,66.235,89,67.809,12.823,59,28.95
"M",75.807,"Class1",51.151,"C",53,36.447,32,63.861,29.424,24,70.32
"E",91.775,"Class1",47.142,"G",50,46.183,39,45.432,28.315,16,64.484
"P",43.935,"Class3",86.01,"F",44,75.446,45,84.889,47.497,85,91.393
"Z",49.383,"Class3",86.617,"B",45,68.319,54,2.946,72.837,58,63.535
"A",46.545,"Class3",85.653,"K",34,62.425,58,39.428,77.946,40,73.592
"H",11.233,"Class2",89.567,"A",NA,39.473,63,75.307,70.03,38,28.862
"Z",58.836,"Class3",85.864,"D",45,40.945,54,35.803,48.026,82,27.679
"M",80.588,"Class1",55.005,"Q",50,40.426,62,39.237,29.395,82,67.764
"E",20.675,"Class2",92.251,"G",80,57.736,50,57.635,49.353,40,28.327
"H",18.064,"Class2",83.658,"U",78,57.808,52,73.051,21.992,11,26.243
"E",25.17,"Class2",83.134,"G",75,49.348,19,83.122,39.218,47,28.347
"I",20.458,"Class2",81.638,"U",74,49.809,86,76.15,14.021,45,28.834
"C",41.356,"Class3",86.097,"K",45,77.566,54,84.667,43.859,36,60.506
"Q",15.731,"Class2",90.183,"U",76,61.92,29,53.534,53.114,23,26.327
"Q",13.869,"Class2",89.187,"A",80,44.09,50,78.724,79.994,21,27.335
"Q",22.899,"Class2",96.719,"H",74,48.033,43,81.874,79.649,28,28.286
"Q",10.453,"Class2",90.703,"U",81,64.884,38,75.431,13.633,18,27.563
"C",88.452,"Class1",68.412,"G",49,34.878,24,51.078,24.544,20,69.05
"O",50.026,"Class3",87.102,"K",30,39.732,55,6.075,48.51,84,85.573
"E",85.811,"Class1",86.327,"G",NA,43.416,55,39.453,25.873,85,16.581
"P",41.431,"Class3",84.528,"D",28,54.422,47,68.77,82.968,34,75.471
"E",12.439,"Class2",88.954,"U",NA,59.76,11,78.116,61.669,66,27.627
"M",103.043,"Class1",68.838,"X",49,38.273,66,34.3,28.615,34,21.405
"Y",17.035,"Class2",90.39,"A",74,35.728,42,66.908,70.477,15,26.791
"I",23.584,"Class2",86.717,"U",81,45.364,42,60.596,34.91,65,26.42
"Z",35.781,"Class3",87.543,"K",27,51.781,57,43.469,44.031,76,51.42
"I",17.172,"Class2",93.804,"H",77,43.36,60,74.755,19.118,28,26.914
"C",94.499,"Class1",40.466,"C",51,41.695,13,51.585,26.819,38,49.887
"C",57.315,"Class3",85.433,"K",34,57.712,49,66.167,78.115,57,34.071
"P",52.386,"Class3",84.985,"B",31,55.366,51,30.928,63.085,82,49.081
"Y",14.425,"Class2",87.496,"U",77,35.82,21,70.271,27.216,27,26.988
"H",13.487,"Class2",84.695,"A",75,40.331,67,69.319,73.914,58,26.163
"C",38.229,"Class3",86.704,"D",31,62.496,48,14.935,44.192,29,19.111
"C",47.356,"Class3",86.325,"B",27,74.539,43,58.888,67.371,54,79.995
"A",54.842,"Class3",86.17,"D",27,57.336,55,47.248,74.776,45,85.371
"E",18.838,"Class2",98.551,"A",81,42.467,51,74.614,15.564,26,26.6
"Q",24.865,"Class2",98.455,"G",81,57.556,53,53.996,26.754,40,28.401
"Y",83.833,"Class1",80.304,"Q",49,39.911,25,54.131,23.222,62,21.939
"M",89.746,"Class1",72.707,"C",51,37.449,52,36.965,28.082,35,22.188
"E",75.615,"Class1",62.137,"Q",51,40.83,47,76.843,25.009,68,37.356
"Y",79.138,"Class1",25.672,"Q",53,45.713,30,53.375,27.199,36,51.737
"E",93.561,"Class1",38.343,"X",49,40.946,71,58.997,23.749,38,57.942
"C",77.235,"Class1",33.092,"G",51,38.374,57,NA,29.65,36,72.951
"M",79.965,"Class1",33.255,"C",51,40.99,82,71.273,23.827,42,17.132
"M",77.871,"Class1",24.98,"Q",49,42.832,42,39.196,23.753,71,71.832
"P",53.483,"Class3",85.644,"G",41,56.724,59,57.688,72.604,35,86.083
"Y",73.135,"Class1",51.831,"G",52,35.487,50,58.622,28.816,49,13.716
"A",46.221,"Class3",85.032,"B",34,49.051,41,65.792,57.783,44,68.997
"E",22.158,"Class2",82.465,"M",75,87.905,63,53.834,27.426,35,26.691
"E",73.067,"Class1",72.635,"C",52,44.932,72,35.916,29.937,61,71.786
"P",45.587,"Class3",84.706,"B",33,57.189,58,69.627,49.098,44,80.19
"P",54.828,"Class3",87.544,"F",37,68.168,41,63.753,76.473,55,54.005
"I",22.73,"Class2",82.192,"M",79,50.953,64,82.994,73.621,52,28.063
"I",25.11,"Class2",87.061,"G",75,23.973,67,60.447,74.809,7,26.837
"Q",16.151,"Class2",95.005,"G",78,41.274,32,59.527,71.331,73,27.866
"A",44.267,"Class3",86.538,"K",40,67.193,45,27.503,85.891,73,64.329
"E",93.244,"Class1",60.353,"Y",51,47.461,47,62.108,28.349,85,25.06
"I",22.2,"Class2",85.939,"A",76,61.658,79,61.555,32.154,53,28.817
"P",41.513,"Class3",85.854,"G",27,37.133,53,37.679,53.861,79,67.465
"P",51.696,"Class3",86.984,"B",30,44.944,58,85.638,50.182,55,75.446
"C",43.501,"Class3",84.975,"D",27,56.164,46,12.292,54.68,60,92.498
"Y",21.117,"Class2",94.16,"A",79,39.503,62,53.043,40.57,67,27.984
"M",89.703,"Class1",35.884,"X",50,49.833,31,82.818,29.892,16,35.435
"N",90.099,"Class1",13.799,"X",51,38.27,29,77.842,23.275,44,65.942
"A",42.799,"Class3",83.437,"F",31,39.257,44,71.795,66.926,82,25.717
"E",18.611,"Class2",93.979,"M",81,44.3,67,63.949,63.591,57,26.116
"C",95.74,"Class1",64.336,"C",NA,47.201,41,NA,28.208,35,56.326
"N",84.853,"Class1",45.679,"G",53,41.181,23,65.584,24.524,56,12.16
"P",48.795,"Class3",84.372,"K",40,54.033,43,86.627,79.333,83,46.211
"Y",92.626,"Class1",36.134,"X",NA,32.236,40,79.501,26.528,64,72.257
"H",15.755,"Class2",83.395,"M",78,29.224,35,66.205,56.188,75,26.025
"N",80.782,"Class1",41.427,"Y",52,40.149,11,39.27,25.044,52,28.566
"A",57.75,"Class3",85.721,"B",39,62.561,43,83.49,55.505,78,33.036
"N",91.298,"Class1",13.441,"Y",49,30.05,32,59.778,24.794,58,25.469
"E",89.396,"Class1",88.531,"Q",51,37.881,41,47.823,26.269,56,44.269
"Y",24.655,"Class2",90.725,"G",74,28.081,91,66.408,69.632,52,28.715
"I",21.056,"Class2",79.803,"A",82,45.093,15,57.477,79.135,63,28.512
"Z",49.854,"Class3",85.072,"K",36,59.061,54,71.052,42.161,47,32.545
"Y",93.596,"Class1",60.89,"Q",51,43.574,46,69.371,29.685,18,54.533
"E",86.715,"Class1",7.364,"C",52,45.119,16,71.672,23.735,17,44.669
"H",14.847,"Class2",84.87,"H",78,50.259,38,74.966,39.616,44,26.519
"A",42.923,"Class3",86.052,"K",36,70.866,51,46.3,54.665,39,60.178
"Y",87.907,"Class1",68.723,"Q",NA,43.706,67,NA,27.592,19,28.59
"E",15.315,"Class2",76.792,"A",80,58.279,84,NA,72.85,47,27.561
"C",51.828,"Class3",84.603,"G",NA,57.151,35,62.389,62.08,55,51.263
"P",59.1,"Class3",84.865,"G",29,33.486,53,28.177,81.761,59,58.101
"M",96.094,"Class1",73.774,"G",52,49.504,72,50.772,24.082,16,73.44
"A",56.143,"Class3",86.378,"G",43,32.911,49,66.13,79.216,75,22.837
"O",32.353,"Class3",84.734,"D",26,56.292,38,47.576,71.205,56,80.202
"P",47.271,"Class3",85.753,"G",NA,67.539,45,61.132,55.74,70,41.818
"Y",83.312,"Class1",-13.218,"Y",53,43.452,39,46.431,24.996,87,22.285
"C",49.698,"Class3",84.065,"K",42,41.595,48,8.043,44.384,62,39.855
"N",88.038,"Class1",31.795,"G",49,38.179,53,80.56,23.177,55,52.354
"C",94.378,"Class1",13.864,"Q",NA,44.108,78,62.337,24.861,44,58.052
"Y",84.527,"Class1",100.019,"G",51,35.394,58,42.589,25.083,43,64.477
"Y",84.994,"Class1",77.717,"C",49,42.131,21,65.861,25.75,61,57.447
"C",92.888,"Class1",19.679,"Q",52,32.155,23,64.786,24.318,17,56.53
"O",50.8,"Class3",84.407,"G",36,40.248,50,30.605,84.81,49,82.539
"E",93.244,"Class1",41.656,"G",51,40.597,46,75.625,23.33,45,62.85
"C",52.17,"Class3",85.88,"F",33,62.484,56,86.796,47.806,41,62.952
"Y",92.154,"Class1",27.272,"G",50,46.23,47,52.61,28.453,49,49.255
"Z",54.751,"Class3",84.039,"F",26,86.635,51,53.831,57.256,54,40.91
"A",47.528,"Class3",84.268,"G",44,58.64,59,33.302,64.838,31,24.999
"Q",21.354,"Class2",89.668,"A",82,64.459,25,66.285,70.765,71,26.107
"N",99.869,"Class1",48.958,"Y",49,45.431,43,35.121,28.039,26,64.271
"Y",13.029,"Class2",91.86,"M",82,67.544,22,82.657,22.576,45,28.116
"Y",93.73,"Class1",48.308,"G",52,41.04,34,63.892,24.749,58,40.713
"C",38.837,"Class3",83.785,"G",34,62.373,42,33.846,72.287,62,73.917
"I",22.275,"Class2",80.131,"H",75,36.176,92,83.358,53.245,55,28.923
"N",92.991,"Class1",63.382,"G",49,49.68,47,36.585,23.137,84,32.528
"A",51.488,"Class3",84.224,"F",45,44.934,41,NA,53.792,34,64.244
"E",18.303,"Class2",75.161,"M",82,72.282,82,54.34,58.979,63,26.809
"P",31.317,"Class3",86.17,"B",40,50.765,55,8.3,51.776,46,34.394
"C",74.465,"Class1",64.431,"Q",52,42.836,19,49.726,25.358,72,29.465
"M",81.565,"Class1",47.552,"X",52,43.305,64,75.734,27.687,54,54.603
"P",43.826,"Class3",85.489,"G",26,68.029,43,63.391,46.659,32,35.162
"M",86.195,"Class1",36.055,"X",52,37.676,77,42.777,28.007,23,56.606
"Q",15.387,"Class2",93.642,"G",74,38.314,47,78.909,14.741,27,27.938
"Q",26.404,"Class2",88.679,"H",78,37.217,18,82.34,57.572,14,28.527
"I",22.198,"Class2",96.912,"M",NA,33.287,84,71.148,26.452,62,28.035
"A",44.5,"Class3",85.31,"B",42,74.889,40,78.672,75.755,69,18.646
"Y",85.914,"Class1",24.161,"Y",52,40.488,50,67.524,23.994,58,20.977
"C",91.032,"Class1",31.763,"C",52,41.775,33,NA,23.29,27,42.008
"E",20.39,"Class2",84.88,"M",80,43.818,82,NA,23.672,52,26.019
"E",21.708,"Class2",82.661,"A",NA,51.139,56,73.12,45.003,72,28.997
"Q",23.447,"Class2",90.998,"M",75,73.467,57,60.952,40.437,78,27.756
"M",87.458,"Class1",30.813,"G",49,45.179,84,46.882,28.392,67,68.194
"H",20.349,"Class2",83.039,"M",79,38.48,42,68.203,60.913,23,28.211
"I",21.351,"Class2",93.1,"U",75,49.898,34,56.616,12.638,28,27.066
"O",54.48,"Class3",84.032,"K",35,65.688,52,73.737,82.35,82,85.339
"M",95.259,"Class1",65.343,"Y",52,42.92,28,59.59,24.903,39,33.784
"Q",11.991,"Class2",81.387,"H",79,53.658,68,NA,58.813,68,27.915
"A",41.886,"Class3",85.94,"G",NA,67.831,36,24.76,75.416,59,59.988
"I",13.877,"Class2",108.061,"A",75,56.194,39,68.815,14.098,63,26.945
"Z",47.089,"Class3",84.645,"B",30,45.262,58,58.151,51.149,78,56.313
"M",88.163,"Class1",17.201,"C",51,47.713,40,77.71,27.772,62,42.364
"Z",55.575,"Class3",83.416,"B",40,55.53,43,70.6,72.266,66,23.431
"E",24.874,"Class2",87.614,"G",82,20.66,34,81.482,52.511,45,26.593
"M",86.371,"Class1",3.696,"X",49,46.65,24,43.198,29.337,29,45.574
"Q",17.859,"Class2",81.594,"G",79,43.711,35,69.832,57.664,75,27.216
"E",90.691,"Class1",14.71,"X",51,42.755,51,65.054,25.817,73,17.232
"A",52.252,"Class3",83.958,"K",28,57.264,48,65.161,44.201,49,32.842
"Y",79.702,"Class1",69.66,"Y",49,49.459,64,53.62,24.523,21,31.224
"Q",25.096,"Class2",94.712,"M",79,72.669,80,NA,62.79,16,26.291
"H",26.927,"Class2",91.371,"A",79,60.273,53,73.131,51.755,23,28.728
"P",40.731,"Class3",86.382,"B",26,67.142,56,44.82,41.738,54,67.708
"C",59.779,"Class3",85.814,"F",37,70.078,38,56.024,68.75,46,71.066
"E",68.304,"Class1",33.193,"Q",52,33.278,40,71.902,27.643,47,69.727
"Z",35.104,"Class3",85.137,"G",45,87.067,48,43.116,76.774,35,75.692
"M",76.113,"Class1",76.395,"X",53,39.573,78,35.405,29.738,39,26.411
"E",85.161,"Class1",56.44,"G",53,42.141,70,59.198,27.778,24,51.695
"O",55.159,"Class3",85.215,"B",39,62.288,42,NA,75.77,68,63.966
"P",50.899,"Class3",85.194,"B",43,48.559,38,26.97,57.863,86,27.092
"Q",14.699,"Class2",81.451,"H",76,37.495,54,59.628,56.237,40,28.763
"M",94.267,"Class1",35.889,"Y",51,44.338,76,49.372,25.507,46,42.888
"N",88.112,"Class1",42.21,"Y",52,38.727,63,58.786,23.851,57,65.452
"Y",14.798,"Class2",104.966,"M",81,54.431,35,NA,79.681,78,26.166
"A",46.515,"Class3",86.79,"K",45,45.61,58,62.914,67.919,74,62.089
"I",13.728,"Class2",98.015,"H",78,38.283,15,58.308,43.211,69,28.148
"P",46.038,"Class3",85.283,"K",26,61.103,43,57.124,54.515,40,64.09
"C",55.17,"Class3",85.562,"K",28,37.817,36,19.634,50.727,33,90.959
"Y",91.497,"Class1",85.595,"Y",51,41.079,74,70.298,29.627,87,19.197
"E",20.331,"Class2",103.907,"G",76,38.845,56,NA,69.172,9,28.762
"Z",48.124,"Class3",85.816,"F",42,69.967,58,24.868,73.806,53,85.067
"N",90.73,"Class1",47.447,"X",53,31.044,13,44.952,25.831,38,62.995
"O",49.137,"Class3",85.814,"D",37,54.006,36,79.923,73.543,54,23.85
"H",12.991,"Class2",79.387,"M",76,37.643,25,61.433,41.244,61,26.271
"O",66.44,"Class3",84.335,"G",45,64.653,50,39.07,41.717,33,67.09
"N",72.081,"Class1",81.322,"Y",NA,50.884,62,42.682,27.092,25,54.749
"O",60.589,"Class3",84.148,"B",40,57.295,51,38.489,56.188,85,91.771
"C",87.586,"Class1",60.023,"G",53,40.587,64,57.673,25.933,59,74.996
"Y",20.286,"Class2",75.958,"A",76,51.322,30,57.273,38.403,77,27.44
"E",86.992,"Class1",42.958,"Y",50,40.735,84,74.484,27.033,86,25.514
"Q",25.17,"Class2",84.32,"U",77,41.474,71,71.895,50.694,14,28.597
"M",88.07,"Class1",14.064,"Y",51,34.22,12,40.395,23.559,61,52.516
"Z",34.268,"Class3",85.834,"D",31,64.116,57,NA,72.569,68,36.088
"H",13.995,"Class2",104.048,"U",74,50.435,13,67.133,72.386,47,28.897
"A",63.929,"Class3",86.071,"F",26,76.758,43,30.308,51.002,61,54.563
"C",88.245,"Class1",84.25,"X",50,34.32,67,38.693,26.072,64,52.375
"O",54.142,"Class3",84.996,"B",43,33.001,49,48.374,72.239,39,78.222
"P",38.903,"Class3",85.353,"K",36,49.057,47,62.298,64.464,71,49.969
"A",44.476,"Class3",84.221,"F",29,58.634,45,80.756,79.407,53,47.735
"Z",36.323,"Class3",84.782,"K",30,66.699,43,53.51,73.982,66,47.051
"I",25.611,"Class2",90.95,"A",78,38.856,51,80.434,30.034,38,28.332
"Z",45.59,"Class3",84.279,"D",37,54.588,47,86.507,47.435,56,49.024
"M",86.099,"Class1",9.248,"C",53,29.759,79,57.276,29.17,63,64.931
"M",98.674,"Class1",63.905,"G",53,39.272,67,80.089,23.068,56,39.893
"Q",21.072,"Class2",96.052,"M",82,40.326,63,81.916,56.726,47,27.472
"Q",16.852,"Class2",70.682,"H",75,69.971,73,65.403,26.502,51,27.83
"E",83.366,"Class1",15.626,"C",50,46.142,68,35.084,24.235,41,19.197
"H",22.05,"Class2",89.46,"H",79,33.283,70,69.551,75.639,20,27.898
"N",87.089,"Class1",53.17,"G",49,44.846,25,38.102,26.224,32,46.982
"C",44.014,"Class3",87.115,"D",43,57.581,44,75.128,87.066,68,88.128
"Y",99.236,"Class1",59.045,"G",52,43.742,18,39.972,28.828,73,21.269
"Y",17.319,"Class2",93.816,"M",77,51.598,82,75.697,46.014,23,28.962
"Z",59.055,"Class3",84.677,"F",36,68.176,59,54.74,57.735,50,25.94
"I",20.786,"Class2",77.656,"M",74,50.019,38,70.668,37.477,59,27.005
"P",54.613,"Class3",85.895,"G",26,55.86,49,NA,53.669,35,40.01
"Y",91.951,"Class1",70.99,"Q",52,41.375,27,66.197,26.741,25,20.845
"N",95.301,"Class1",68.52,"Y",52,40.059,13,57.395,28.577,53,74.616
"E",14.967,"Class2",83.154,"M",75,36.031,61,82.206,66.736,63,27.339
"Z",46.356,"Class3",85.758,"G",29,56.455,42,NA,79.376,46,76.95
"O",51.435,"Class3",84.479,"K",34,53.327,56,13.047,79.685,35,64.024
"Q",8.407,"Class2",85.115,"H",82,53.02,62,NA,77.155,30,28.311
"E",17.108,"Class2",96.728,"A",76,66.675,81,81.362,20.225,30,26.308
"Q",20.195,"Class2",89.438,"G",77,39.195,79,56.401,46.841,21,27.757
"M",89.011,"Class1",22.872,"Q",53,43.999,40,82.315,26.352,68,48.503
"Y",24.282,"Class2",92.027,"U",80,18.148,63,57.275,60.264,69,27.885
"Y",19.316,"Class2",84.352,"G",78,35.3,34,56.949,38.633,74,26.02
"A",52.498,"Class3",86.492,"D",35,63.17,51,82.015,50.489,63,18.618
"Y",22.849,"Class2",83.734,"U",80,54.107,72,53.39,71.307,60,26.08
"Y",82.205,"Class1",65.289,"G",49,41.945,65,77.646,26.179,50,14.921
"P",47.583,"Class3",84.528,"F",44,62.553,36,40.82,46.443,51,64.445
"Y",16.76,"Class2",88.656,"A",79,39.896,90,80.554,53.872,49,27.456
"Y",22.146,"Class2",96.813,"H",75,55.565,43,75.77,35.261,77,26.559
"H",17.609,"Class2",97.496,"G",76,38.456,31,68.049,67.894,55,26.775
"Z",43.015,"Class3",85.861,"B",40,61.45,53,64.966,63.507,69,38.285
"C",38.807,"Class3",85.639,"B",29,69.798,54,39.053,80.93,77,43.45
"E",22.326,"Class2",91.386,"A",76,45.744,78,57.243,70.552,57,28.656
"Y",8.07,"Class2",95.785,"G",77,42.1,24,83.104,46.602,68,28.536
"N",84.342,"Class1",28.563,"Q",49,40.11,33,65.193,25.728,21,33.257
"E",19.39,"Class2",79.45,"H",79,61.859,11,55.683,34.405,53,26.598
"Z",55.575,"Class3",86.72,"G",27,88.483,44,60.851,53.926,75,21.042
"C",52.264,"Class3",86.624,"G",NA,71.772,51,57.69,85.137,81,32.211
"O",32.798,"Class3",86.641,"D",36,78.238,52,7.049,52.243,30,28.262
"Q",8.775,"Class2",76.316,"U",75,50.304,20,71.867,61.573,29,27.12
"Y",89.432,"Class1",65.349,"Y",53,40.63,37,35.548,24.988,82,50.675
"O",54.005,"Class3",85.894,"K",42,65.109,42,60.235,69.804,68,57.263
