"W1","Output22","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11"
53,"Class3",30,40.221,17.334,48,9.847,15.237,73.765,56.35,"X","B"
35,"Class1",65,14.74,44.16,64,38.849,70.898,32.108,49.753,"Q","W"
63,"Class3",27,40.67,17.438,39,0.493,17.447,81.541,48.228,"I","A"
76,"Class3",27,40.536,25.544,40,37.957,16.307,80.505,40.17,"U","J"
55,"Class3",62,41.004,19.978,40,13.489,15.266,53.822,47.453,"G","L"
53,"Class1",64,12.845,52.738,61,61.448,32.199,28.64,49.979,"Q","O"
11,"Class1",65,14.524,38.803,68,35.103,36.114,31.323,36.242,"C","U"
81,"Class1",65,14.626,22.777,47,44.225,61.278,28.556,25.742,"C","V"
84,"Class5",38,28.296,3.508,56,38.684,84.029,6.339,69.775,"R","U"
85,"Class5",31,23.026,3.053,61,30.673,84.341,1.162,36.808,"L","D"
7,"Class4",7,48.862,53.366,74,55.656,54.06,85.616,73.146,"V","M"
90,"Class5",25,25.151,3.417,64,34.642,85.488,1.683,58.256,"G","Y"
10,"Class1",65,13.296,38.701,70,47.466,88.072,29.411,35.14,"J","O"
63,"Class3",82,40.384,16.648,40,43.158,15.861,87.782,55.651,"U","A"
31,"Class2",75,14.813,65.373,17,18.101,31.135,53.774,86.595,"J","E"
90,"Class5",26,29.275,3.796,60,21.394,82.791,8.46,43.484,"G","Z"
54,"Class2",91,18.266,61.898,35,71.568,49.724,69.673,61.273,"K","Z"
40,"Class4",17,47.988,13.966,61,54.678,88.97,76.393,80.489,"I","Q"
87,"Class5",30,28.427,3.989,62,32.212,82.284,5.058,40.783,"T","U"
89,"Class5",46,25.697,3.809,62,13.746,83.089,8.111,35.987,"K","Z"
27,"Class4",24,48.434,51.267,59,48.08,60.634,82.544,70.76,"V","R"
50,"Class4",18,47.986,15.866,74,53.984,35.598,76.14,69.136,"A","F"
63,"Class3",25,40.049,10.547,41,38.089,18.014,74.962,25.863,"C","J"
83,"Class1",65,15.455,51.823,39,62.779,58.163,31.143,57.253,"C","O"
54,"Class3",80,40.511,9.742,42,27.558,18.606,73.472,50.424,"G","J"
85,"Class5",36,32.829,3.278,57,48.166,84.434,1.371,37.206,"K","D"
32,"Class2",74,31.361,49.881,15,41.767,29.605,49.74,53.119,"P","R"
36,"Class2",75,15.541,56.629,30,49.397,48.107,45.83,75.398,"K","G"
68,"Class1",64,14.836,23.451,48,46.528,20.602,30.304,25.593,"L","V"
84,"Class2",82,24.282,65.697,35,17.144,43.411,44.653,48.829,"J","E"
89,"Class5",20,32.066,3.86,59,43.292,85.353,6.174,46.222,"G","D"
40,"Class4",22,49.362,43.228,NA,58.525,47.693,79.954,79.926,"L","Q"
88,"Class5",40,28.842,3.54,58,61.739,87.872,10.874,56.854,"L","D"
64,"Class2",76,31.92,61.129,10,35.294,49.591,66.89,52.679,"D","N"
51,"Class2",78,19.622,74.581,36,44.169,24.417,36.615,76.006,"M","Z"
54,"Class3",90,39.967,20.861,40,41.621,15.219,85.103,37.805,"X","B"
59,"Class1",64,15.136,39.766,55,59.878,49.733,30.114,41.947,"Q","W"
84,"Class5",20,NA,3.921,64,18.527,87.66,4.746,63.998,"K","Z"
66,"Class2",84,15.181,50.663,15,34.12,16.583,36.812,62.635,"J","N"
80,"Class1",64,13.799,43.435,39,58.812,76.219,27.657,45.716,"Q","Q"
60,"Class3",76,40.004,9.376,39,33.903,15.97,71.191,23.565,"U","A"
10,"Class4",16,48.49,27.534,72,52.749,37.422,77.389,79.274,"L","Q"
85,"Class5",46,31.436,3.996,61,52.137,82.616,7.983,60.719,"L","D"
72,"Class1",64,16.299,41.878,50,44.459,48.641,27.394,55.586,"J","O"
14,"Class4",7,48.654,34.721,70,58.57,63.234,85.741,55.815,"K","R"
72,"Class3",59,40.681,16.018,48,36.302,17.033,64.589,34.925,"C","L"
68,"Class3",85,40.441,8.188,60,30.465,18.072,84.204,39.306,"C","J"
9,"Class4",22,48.204,57.698,64,45.527,51.659,83.515,74.013,"I","T"
24,"Class4",21,48.097,20.578,60,53.791,53.542,81.973,76.433,"A","R"
53,"Class2",86,23.35,58.061,35,79.057,43.272,57.655,33.828,"J","E"
88,"Class5",28,32.36,3.887,NA,24.277,81.284,10.114,34.85,"R","U"
87,"Class5",28,29.263,3.992,60,22.252,86.708,6.353,35.324,"L","Z"
86,"Class5",25,30.435,3.753,53,15.53,90.825,9.328,67.354,"R","Y"
84,"Class5",33,34.24,3.95,58,28.35,86.152,8.95,45.37,"L","D"
89,"Class5",29,28.597,3.091,55,40.716,79.388,9.256,42.492,"T","Z"
37,"Class1",65,14.341,36.154,49,71.78,50.682,30.887,55.264,"E","W"
31,"Class4",16,NA,8.377,66,48.38,71.007,77.118,49.763,"L","M"
61,"Class3",78,40.706,14.247,43,23.03,13.954,75.842,20.064,"U","L"
77,"Class3",68,40.705,23.811,56,1.52,16.973,68.592,17.342,"I","L"
27,"Class4",18,48.95,10.653,75,46.165,25.819,73.256,73.653,"I","T"
10,"Class4",26,48.462,21.646,60,52.974,42.14,78.449,67.593,"V","R"
59,"Class3",42,41.069,22.74,59,21.85,11.964,90.932,27.156,"G","J"
18,"Class4",11,48.59,17.129,72,45.598,68.128,77.787,66.578,"K","M"
53,"Class2",88,NA,50.911,37,51.264,19.803,56.749,72.804,"K","N"
60,"Class3",55,40.334,12.643,46,30.347,18.166,58.043,36.332,"U","L"
41,"Class2",78,16.287,77.016,31,59.547,19.837,46.918,35.565,"P","R"
90,"Class5",50,26.6,3.519,54,31.186,89.139,3.821,24.048,"K","Y"
83,"Class2",86,14.45,52.043,23,80.415,22.488,58.722,60.681,"K","R"
32,"Class1",65,14.444,38.318,51,12.937,77.508,27.421,42.673,"Q","W"
32,"Class4",26,48.6,18.863,63,50.169,45.809,78.763,79.665,"I","M"
82,"Class2",74,17.962,56.07,36,66.26,65.287,68.3,37.723,"M","N"
90,"Class5",39,31.236,3.489,60,39.647,85.335,2.015,69.89,"R","Y"
42,"Class2",82,17.117,51.081,31,133.839,34.273,63.65,66.191,"M","G"
51,"Class4",9,48.482,38.416,76,53.805,81.166,80.001,37.605,"K","Q"
28,"Class4",13,48.309,9.418,74,46.663,37.959,80.113,64.05,"K","M"
73,"Class2",74,24.206,57.556,34,73.269,29.086,41.98,72.946,"D","N"
34,"Class4",8,48.397,14.048,56,49.477,46.037,80.486,29.279,"A","Q"
40,"Class1",65,15.04,49.128,30,49.503,84.95,29.762,35.982,"E","U"
51,"Class4",17,48.603,28.679,53,60.232,48.686,78.267,74.333,"L","Q"
56,"Class4",24,48.8,27.806,56,60.101,62.396,76.578,39.359,"V","T"
88,"Class5",21,27.146,3.785,62,36.912,85.8,6.8,34.604,"R","Y"
64,"Class1",64,12.131,27.645,39,45.909,63.165,30.859,40.202,"J","V"
51,"Class3",79,40.362,24.525,41,16.472,14.58,91.9,17.659,"I","H"
42,"Class2",73,33.35,57.473,NA,62.824,44.631,35.631,45.975,"M","N"
77,"Class2",80,19.81,53.685,26,51.254,43.025,46.28,49.445,"K","E"
49,"Class1",65,17.7,38.712,47,39.842,52.518,31.939,36.426,"J","V"
48,"Class1",65,16.656,38.817,53,40.934,60.636,30.374,22.561,"E","U"
88,"Class5",46,33.932,3.763,63,66.738,82.213,8.99,26.567,"T","Y"
89,"Class5",30,28.872,3.848,61,52.403,89.677,10.537,73.832,"K","L"
72,"Class3",74,40.565,12.429,40,13.286,17.176,63.889,61.742,"U","L"
86,"Class5",44,29.471,3.455,58,33.121,83.094,6.872,32.054,"T","Y"
87,"Class5",39,27.995,3.297,53,59.219,89.664,8.005,34.476,"K","U"
53,"Class2",85,33.032,75.995,22,-6.598,30.326,47.289,58.338,"K","G"
64,"Class3",63,40.411,9.231,59,13.161,15.592,75.997,30.797,"C","L"
56,"Class3",71,39.99,10.773,55,29.144,14.366,88.92,53.337,"G","B"
51,"Class3",45,40.911,14.707,56,37.953,15.395,91.559,44.785,"G","A"
50,"Class3",28,39.918,19.897,51,6.546,15.666,57.677,27.224,"C","J"
26,"Class2",74,22.33,50.604,27,73.176,69.291,53.154,52.24,"P","N"
12,"Class1",64,12.592,34,38,73.598,40.467,26.909,35.18,"C","W"
67,"Class3",44,40.626,21.644,48,35.478,18.913,56.234,60.842,"U","L"
47,"Class1",64,NA,57.79,NA,72.513,31.963,26.616,27.016,"E","U"
90,"Class5",31,28.984,3.869,58,32.45,88.779,8.607,51.925,"L","Y"
50,"Class1",65,16.264,23.98,56,42.862,8.302,26.682,46.971,"E","Q"
36,"Class1",65,17.945,33.857,61,65.115,46.261,30.795,22.893,"C","Q"
84,"Class5",47,31.832,3.356,56,44.717,90.703,2.811,36.243,"T","U"
90,"Class5",36,24.501,3.643,62,22.61,85.048,5.036,64.08,"K","U"
86,"Class5",33,27.796,3.055,61,38.597,86.354,8.526,49.361,"L","U"
59,"Class3",22,40.632,21.312,43,28.303,16.631,67.182,26.806,"U","J"
76,"Class1",65,16.179,22.537,59,60.37,30.867,29.92,54.136,"E","Q"
61,"Class2",86,NA,57.451,NA,3.607,33.777,65.87,60.822,"D","G"
89,"Class5",44,26.815,3.539,62,31.154,80.613,8.169,57.569,"L","U"
51,"Class4",15,48.292,36.3,53,58.428,80.116,81.917,54.216,"L","Q"
53,"Class3",38,41.058,14.089,53,11.379,16.691,66.738,54.765,"C","J"
42,"Class1",65,15.36,39.815,41,45.941,50.888,26.075,36.887,"C","U"
84,"Class5",41,24.378,3.257,59,16.423,84.061,8.376,30.86,"K","Z"
60,"Class2",76,9.497,50.53,31,16.505,34.846,43.145,68.711,"P","G"
10,"Class1",64,14.236,57.567,44,76.075,55.563,29.463,30.407,"J","O"
12,"Class4",27,48.217,30.402,72,50.161,100.371,80.276,73.295,"A","M"
84,"Class5",47,21.197,3.595,54,21.956,87.021,8.869,43.49,"R","L"
86,"Class5",39,32.845,3.372,63,30.551,85.153,10.041,70.239,"T","U"
58,"Class3",91,40.199,18.285,40,28.65,15.613,89.256,18.593,"C","B"
66,"Class2",75,25.347,50.88,31,47.546,47.974,46.034,56.205,"K","Z"
71,"Class3",55,40.787,13.781,56,34.084,16.081,74.247,60.87,"X","A"
14,"Class4",8,48.271,49.71,NA,49.754,103.812,79.946,75.194,"V","M"
76,"Class3",69,40.28,9.566,NA,38.791,17.033,77.455,33.173,"G","L"
53,"Class4",10,NA,15.706,NA,44.508,21.77,79.346,32.008,"I","R"
52,"Class3",29,40.632,22.71,59,21.097,16.229,70.183,24.72,"X","H"
83,"Class2",79,24.075,75.288,11,47.067,35.578,69.598,70.975,"P","R"
85,"Class5",54,31.559,3.477,64,43.047,83.746,1.718,32.85,"G","Z"
80,"Class2",93,25.093,50.372,13,78.263,35.078,49.832,71.901,"J","E"
89,"Class5",36,26.969,3.232,59,32.608,90.71,8.681,46.945,"K","L"
15,"Class1",65,15.018,49.488,68,46.356,42.189,26.115,25.191,"Q","O"
60,"Class2",89,NA,67.311,37,71.985,56.161,41.3,38.043,"P","R"
53,"Class3",56,40.71,16.723,42,36.548,14.781,74.688,23.038,"X","J"
61,"Class1",65,12.568,42.004,41,43.902,51.818,27.591,22.84,"Q","Q"
85,"Class5",49,25.054,3.903,55,44.664,81.045,8.848,47.122,"L","U"
69,"Class2",89,31.757,77.446,20,28.611,49.264,64.04,74.232,"M","N"
71,"Class1",64,17.968,23.988,56,47.464,62.353,27.47,54.376,"Q","Q"
44,"Class4",9,48.449,47.686,52,51.825,20.026,74.424,47.256,"V","Q"
69,"Class3",68,NA,25.168,49,47.676,18.531,76.366,26.374,"I","B"
57,"Class3",24,40.727,23.01,59,39.83,16.306,89.232,17.8,"I","L"
47,"Class1",64,17.635,52.804,NA,56.723,3.396,26.773,49.984,"L","U"
16,"Class4",9,48.789,30.924,56,49.845,20.865,73.873,28.202,"V","Q"
50,"Class3",78,40.934,8.289,41,3.184,17.3,66.702,52.996,"G","J"
30,"Class4",16,48.537,41.797,74,39.065,70.397,80.748,71.284,"A","F"
70,"Class3",80,40.276,23.472,55,27.63,15.596,82.469,55.095,"U","A"
78,"Class1",64,14.688,49.713,37,50.27,42.398,27.791,34.5,"C","V"
71,"Class3",77,39.898,14.099,41,21.264,14.96,69.209,54.173,"I","H"
74,"Class2",93,33.557,51.132,NA,59.691,50.222,71.855,73.136,"P","Z"
67,"Class3",38,40.04,7.511,58,13.652,17.664,82.086,24.376,"I","L"
22,"Class1",64,15.121,21.22,41,70.84,59.69,30.647,31.289,"C","W"
56,"Class2",88,22.271,77.318,34,35.229,61.712,52.413,48.257,"D","N"
66,"Class3",66,NA,25.06,59,0.239,16.402,54.369,21.413,"U","H"
31,"Class4",17,48.824,26.045,68,42.74,54.387,77.161,33.391,"V","Q"
87,"Class5",46,28.7,3.175,61,33.937,95.843,4.094,63.727,"T","L"
66,"Class2",75,30.041,67.125,26,66.002,25.093,50.384,62.172,"D","G"
70,"Class3",67,40.491,9.791,56,54.513,16.1,65.182,43.848,"G","J"
55,"Class2",79,28.976,74.688,22,35.417,38.232,42.155,48.974,"K","R"
35,"Class4",9,48.209,31.853,61,52.819,50.455,84.418,50.16,"V","F"
43,"Class2",81,24.319,63.63,33,101.117,25.544,60.205,47.959,"P","Z"
37,"Class2",78,NA,52.378,28,28.865,59.182,60.16,81.454,"P","E"
34,"Class4",23,48.866,42.685,76,54.309,30.727,85.944,79.213,"A","F"
90,"Class5",50,31.394,3.151,54,47.675,87.648,8.625,43.607,"T","Z"
60,"Class2",86,25.899,55.932,NA,56.665,27.727,34.048,49.355,"J","G"
79,"Class1",64,16.089,22.598,52,88.501,26.99,27.647,43.528,"L","U"
48,"Class1",65,17.499,44.794,33,63.695,65.468,31.699,56.551,"C","O"
50,"Class2",86,25.898,54.571,11,65.766,19.423,36.097,61.234,"K","R"
72,"Class2",75,16.126,51.687,15,45.658,70.627,65.715,87.041,"P","G"
52,"Class1",65,15.283,43.862,52,76.985,53.484,32.273,27.644,"Q","W"
88,"Class5",23,29.444,3.563,57,29.33,85.555,8.269,34.51,"R","Y"
71,"Class1",65,16.842,41.763,69,21.153,81.846,30.726,54.181,"Q","W"
11,"Class1",64,13.472,36.911,44,89.893,4.02,29.869,58.22,"J","W"
87,"Class5",47,30.353,3.2,61,40.357,85.791,10.555,64.01,"R","Z"
87,"Class5",22,23.157,3.728,59,19.757,83.829,8.513,69.396,"G","L"
85,"Class5",18,30.015,3.58,64,52.938,88.126,2.925,38.304,"G","L"
30,"Class2",73,20.254,65.895,23,76.658,39.37,67.3,38.09,"P","R"
60,"Class3",54,40.082,14.889,42,-1.818,16.199,60.207,43.129,"U","A"
87,"Class5",33,25.72,3.003,62,50.641,80.988,7.627,47.638,"K","L"
41,"Class2",93,20.908,72.699,37,83.035,55.716,46.333,52.344,"K","Z"
85,"Class5",30,26.207,3.777,60,30.857,90.355,8.491,35.632,"T","L"
44,"Class2",89,30.791,76.591,11,29.621,54.945,60.683,65.288,"M","G"
67,"Class3",74,40.479,21.921,57,17.648,16.063,55.501,28.322,"X","J"
40,"Class4",19,48.684,54.142,75,45.327,88.443,81.257,32.758,"L","Q"
63,"Class3",79,40.553,7.292,58,41.692,17.865,67.998,57.289,"C","J"
33,"Class2",76,30.215,60.861,14,7.589,48.312,48.044,43.168,"P","Z"
72,"Class1",65,13.348,32.88,57,72.7,-0.063,31.514,50.293,"E","V"
84,"Class5",26,27.006,3.847,64,33.74,87.195,9.922,40.441,"G","D"
55,"Class4",20,48.43,27.965,53,45.472,73.837,78.198,30.833,"K","Q"
32,"Class4",10,48.448,27.083,56,55.159,61.789,74.928,39.641,"L","R"
58,"Class3",62,40.62,19.501,43,35.621,16.185,53.167,59.021,"C","A"
20,"Class4",13,48.653,36.568,67,55.236,71.417,74.102,76.227,"L","R"
36,"Class4",25,48.192,15.092,59,47.965,47.332,77.949,64.716,"I","M"
84,"Class5",34,25.138,3.223,61,41.721,83.403,4.254,35.628,"L","Y"
90,"Class5",41,36.1,3.042,55,30.296,91.124,1.94,72.838,"R","Z"
21,"Class1",64,14.937,32.921,60,45.114,7.095,31.689,43.92,"Q","O"
34,"Class4",21,48.93,37.693,66,41.318,47.178,83.82,55.71,"K","Q"
51,"Class3",51,39.92,11.54,39,14.864,16.886,91.193,25.674,"I","B"
19,"Class4",6,NA,14.325,65,42.933,30.274,74.495,39.846,"K","M"
69,"Class3",42,40.568,7.803,48,29.213,14.818,63.895,56.522,"G","L"
9,"Class1",65,14.217,44.384,57,24.995,26.681,26.008,47.908,"E","V"
53,"Class1",64,NA,26.065,39,87.205,21.736,32.292,26.569,"Q","O"
49,"Class4",23,48.399,28.908,75,58.536,69.317,79.922,36.172,"V","R"
12,"Class4",23,47.815,16.236,76,51.494,48.31,74.593,40.349,"A","Q"
44,"Class4",11,48.667,24.645,63,61.41,112.438,79.245,30.401,"A","T"
67,"Class1",64,13.626,27.865,41,66.048,57.635,30.328,51.445,"Q","V"
51,"Class4",19,48.934,17.819,75,51.042,60.327,85.646,56.098,"I","Q"
26,"Class4",13,48.264,36.956,59,46.629,62.364,80.841,75.364,"A","Q"
88,"Class5",42,30.324,3.987,57,22.626,83.729,9.796,49.776,"L","Z"
84,"Class5",21,29.218,3.716,63,48.121,80.978,6.323,36.977,"K","L"
64,"Class3",64,40.16,25.594,44,20.606,16.263,81.521,58.859,"C","B"
84,"Class5",53,22.106,3.97,57,21.847,88.257,3.763,60.159,"L","L"
53,"Class1",65,15.329,43.652,59,42.783,54.837,30.45,37.453,"E","W"
89,"Class5",53,29.809,3.122,61,37.248,89.282,9.61,42.021,"K","L"
89,"Class5",25,26.814,3.092,53,30.464,86.226,8.593,48.014,"T","Y"
52,"Class1",65,16.434,28.265,30,63.87,39.282,32.788,55.54,"E","W"
85,"Class5",51,28.669,3.169,64,31.032,83.815,6.247,33.238,"K","U"
86,"Class5",37,24.374,3.621,56,38.357,82.954,10.962,28.832,"K","Y"
83,"Class1",64,18.485,30.234,63,63.327,73.344,28.816,35.584,"E","U"
84,"Class5",27,28.526,3.468,53,17.524,81.352,3.243,27.042,"G","Z"
14,"Class1",64,17.019,47.254,28,109.061,84.355,30.044,33.13,"E","Q"
38,"Class4",9,48.168,25.595,54,55.318,60.184,77.963,31.839,"A","R"
58,"Class3",25,40.752,21.635,50,50.526,18.913,53.244,23.829,"G","L"
77,"Class3",63,40.674,21.853,56,27.696,17.478,68.864,37.184,"X","A"
67,"Class3",63,40.134,16.515,53,16.702,18.413,70.429,57.775,"G","J"
37,"Class1",65,15.984,43.504,37,77.768,48.906,32.341,32.63,"Q","W"
53,"Class2",88,24.441,53.521,26,65.142,9.604,38.197,74.216,"K","E"
50,"Class4",21,NA,52.243,55,46.298,75.65,79.774,66.819,"V","T"
77,"Class3",86,40.598,9.178,45,11.295,15.549,56.781,37.894,"I","A"
87,"Class5",32,25.36,3.461,59,29.821,78.253,6.39,53.857,"G","Y"
77,"Class2",85,19.862,64.999,11,79.331,46.383,63.188,44.109,"J","R"
81,"Class1",65,15.2,37.016,40,51.332,38.428,26.801,59.195,"Q","V"
40,"Class2",88,18.647,54.165,23,72.89,62.466,34.225,48.082,"K","G"
70,"Class2",78,41.574,77.82,30,-27.338,44.099,71.849,41.286,"M","G"
61,"Class3",71,40.447,10.564,55,31.928,12.963,70.844,30.838,"C","J"
70,"Class3",60,40.876,17.359,48,-0.618,15.075,83.237,41.391,"G","H"
86,"Class5",52,30.045,3.695,63,36.122,87.94,3.688,73.195,"G","L"
69,"Class3",81,41.04,24.671,41,28.679,15.581,63.234,20.76,"U","L"
8,"Class1",65,15.137,30.987,31,68.464,48.898,30.535,24.551,"Q","V"
41,"Class2",85,29.516,52.2,18,45.192,4.239,69.323,40.356,"D","E"
44,"Class1",64,16.757,29.235,66,38.321,76.713,29.701,44.412,"L","V"
54,"Class4",20,48.781,15.528,63,49.9,83.878,80.459,38.213,"A","T"
85,"Class2",89,24.249,74.452,32,24.823,13.915,52.309,58.153,"K","Z"
85,"Class5",31,25.72,3.271,53,43.262,80.737,7.213,33.637,"T","D"
47,"Class4",14,48.85,17.187,75,44.399,65.956,84.451,55.713,"K","Q"
45,"Class4",6,48.552,57.787,75,55.994,57.495,75.427,57.112,"A","T"
34,"Class1",65,NA,53.86,60,66.553,77.014,29.982,55.002,"Q","Q"
67,"Class1",65,NA,27.676,59,70.379,76.139,28.194,42.403,"L","W"
48,"Class2",93,27.627,74.905,36,44.393,67.527,41.87,36.444,"M","R"
74,"Class3",65,39.971,13.07,39,22.917,16.757,82.946,24.228,"X","A"
80,"Class2",77,15.033,65.264,25,65.55,63.048,64.029,40.716,"P","Z"
50,"Class1",65,15.786,46.836,34,113.603,68.304,32.094,52.53,"J","Q"
33,"Class2",86,19.21,55.352,32,92.439,76.239,39.958,39.421,"J","N"
64,"Class1",64,13.025,46.65,67,98.357,2.342,27.086,26.52,"C","O"
9,"Class4",12,48.405,59.655,53,48.574,27.733,75.411,42.619,"L","Q"
89,"Class5",19,26.746,3.192,62,37.753,83.131,6.817,22.811,"G","D"
8,"Class4",21,NA,48.233,71,55.826,44.968,78.082,65.458,"V","R"
33,"Class4",18,48.28,50.023,NA,49.384,2.991,84.984,42.831,"K","M"
32,"Class2",90,22.554,71.075,30,76.648,16.536,56.542,70.824,"J","R"
90,"Class5",36,28.336,3.625,53,31.684,87.466,2.649,52.043,"T","Z"
33,"Class2",87,37.204,53.773,14,30.035,61.6,51.392,34.406,"P","G"
43,"Class4",12,48.332,58.702,60,49.915,47.323,81.483,58.799,"I","M"
47,"Class4",19,48.252,44.679,66,56.1,69.124,79.332,31.499,"L","F"
90,"Class5",24,27.979,3.609,61,-1.419,84.2,4.26,56.332,"T","D"
43,"Class4",25,NA,44.546,68,51.996,78.445,74.813,29.417,"L","R"
53,"Class1",64,13.763,47.017,66,71.123,99.642,30.328,21.936,"Q","O"
8,"Class4",15,48.389,25.599,52,63.049,43.347,82.214,72.857,"A","Q"
56,"Class1",65,14.586,52.544,49,86.865,69.803,27.124,55.927,"C","Q"
85,"Class5",22,21.22,3.798,58,24.068,85.505,8.241,48.454,"T","Z"
80,"Class1",64,16.654,30.757,48,63.112,39.809,31.464,49.501,"Q","W"
55,"Class2",76,21.145,55.995,24,66.687,23.453,52.71,84.526,"K","N"
32,"Class2",82,18.663,52.139,31,31.251,58.685,61.242,36.052,"K","R"
82,"Class1",65,13.647,46.563,33,67.384,48.757,26.054,22.13,"Q","Q"
58,"Class3",42,41.176,25.889,NA,24.272,17.506,78.872,28.697,"I","H"
23,"Class1",65,14.902,51.634,61,48.161,51.46,26.352,27.922,"Q","O"
77,"Class2",83,30.856,52.363,34,77.558,31.398,38.327,82.725,"P","R"
23,"Class4",7,48.386,32.942,71,50.849,86.113,81.505,53.38,"K","R"
50,"Class4",10,48.128,25.369,54,41.461,35.846,85.907,63.813,"I","T"
87,"Class5",41,18.678,3.218,57,29.188,89.668,10.809,63.175,"T","U"
83,"Class1",65,19.551,26.974,31,55.354,9.14,29.635,31.426,"Q","W"
84,"Class1",64,13.231,32.806,58,45.699,42.141,31.799,24.588,"Q","Q"
7,"Class4",16,48.505,25.32,67,46.069,60.697,74.722,69.162,"I","T"
20,"Class1",64,12.557,37.537,69,35.219,75.027,30.777,49.603,"E","Q"
73,"Class3",90,40.418,17.052,55,7.5,16.676,69.444,54.348,"I","J"
55,"Class4",20,48.183,11.873,67,45.137,116.827,77.89,53.793,"L","R"
64,"Class3",36,40.354,16.503,47,17.01,15.244,73.836,37.681,"X","L"
34,"Class2",91,19.235,49.406,23,17.932,61.911,61.819,72.566,"P","G"
76,"Class3",26,40.211,24.38,43,41.776,14.281,68.531,27.517,"I","J"
43,"Class4",26,48.688,38.858,75,53.642,53.125,83.84,61.716,"L","M"
35,"Class2",83,14.897,64.476,NA,53.504,22.352,34.385,36.016,"K","E"
50,"Class4",15,48.064,41.562,69,51.436,51.495,76.798,58.052,"A","M"
70,"Class3",72,41.155,21.437,40,27.69,16.601,83.846,36.471,"U","B"
53,"Class4",26,49.126,25.655,56,48.304,82.271,82.589,78.56,"V","M"
82,"Class2",75,42.826,64.314,37,97.223,22.024,64.65,60.045,"J","N"
34,"Class4",18,49.129,39.132,54,56.915,50.774,75.672,52.92,"V","Q"
44,"Class2",74,28.846,76.912,33,10.087,24.192,70.733,42.983,"J","G"
37,"Class2",89,27.806,68.216,18,71.427,66.782,69.259,84.561,"D","R"
60,"Class3",70,40.478,26.289,49,26.132,15.37,75.423,55.509,"X","H"
76,"Class3",56,40.208,10.414,58,47.814,17.062,89.568,59.676,"G","B"
31,"Class2",84,31.229,63.838,26,94.767,38.465,69.643,39.885,"P","G"
38,"Class4",17,48.656,38.482,54,51.027,79.799,75.238,57.274,"K","T"
56,"Class3",35,41.118,22.912,54,3.573,19.287,71.192,31.534,"U","B"
10,"Class1",64,12.117,31.38,NA,90.875,23.394,27.067,23.755,"C","O"
37,"Class2",82,20.425,62.616,23,34.837,24.13,57.431,44.239,"P","N"
79,"Class2",80,31.147,50.019,16,61.992,27.139,55.579,57.276,"D","G"
32,"Class4",9,49.331,49.279,73,46.047,63.732,75.985,67.998,"K","T"
74,"Class3",75,40.112,11.825,43,15.432,13.375,54.935,25.49,"C","J"
46,"Class2",80,28.709,73.168,33,46.436,22.578,34.623,35.822,"M","R"
55,"Class1",65,16.761,31.724,55,31.172,72.525,27.553,41.141,"C","Q"
84,"Class5",44,24.213,3.961,62,18.931,84.713,2.803,60.868,"T","L"
85,"Class5",23,30.861,3.343,54,40.492,82.868,8.326,55.168,"L","Z"
48,"Class4",22,48.709,23.001,70,48.229,49.719,85.954,52.447,"I","T"
23,"Class1",64,15.958,22.73,49,48.45,40.055,31.226,22.444,"L","Q"
56,"Class4",11,48.197,40.011,75,52.874,17.675,75.293,59.872,"L","F"
88,"Class5",21,29.586,3.201,59,36.978,87.776,9.183,31.006,"G","D"
46,"Class1",65,16.07,47.02,59,51.304,21.681,26.327,38.519,"L","W"
40,"Class1",64,13.554,30.868,28,70.025,57.913,28.312,34.965,"C","V"
89,"Class5",31,24.563,3.316,NA,45.361,81.773,5.489,27.834,"K","U"
19,"Class1",65,15.7,38.688,51,64.892,71.784,30.367,26.74,"C","O"
36,"Class4",22,NA,28.028,68,54.911,47.122,74.789,30.369,"I","M"
64,"Class2",82,21.653,60.503,21,134.178,27.686,47.448,69.017,"M","R"
89,"Class5",38,24.69,3.745,62,37.305,79.655,1.68,32.117,"R","Y"
43,"Class4",17,48.248,15.937,70,59.616,61.097,83.179,41.059,"A","T"
18,"Class1",65,9.163,32.382,39,50.61,34.349,26.465,48.465,"E","Q"
56,"Class3",57,40.133,9.939,40,29.216,16.528,64.523,48.394,"X","J"
43,"Class4",19,48.269,57.323,54,52.838,91.756,82.14,63.857,"A","F"
15,"Class4",15,48.167,11.339,76,49.201,57.275,81.546,56.911,"K","T"
46,"Class1",64,13.805,55.354,63,57.405,20.188,27.105,31.25,"Q","U"
45,"Class4",23,48.745,36.693,70,45.003,109.186,74.569,62.094,"A","Q"
85,"Class2",87,23.044,53.409,21,108.999,22.802,35.559,69.222,"P","R"
85,"Class5",18,27.519,3.577,NA,42.11,81.602,5.672,49.243,"L","Z"
89,"Class5",29,27.707,3.986,55,21.729,77.821,9.544,38.994,"G","D"
73,"Class3",28,40.533,13.413,45,19.514,15.761,81.956,54.974,"U","H"
36,"Class4",18,47.727,38.625,57,57.696,41.798,80.165,79.563,"A","T"
69,"Class1",65,17.587,41.574,37,38.118,34.155,27.466,43.954,"L","O"
57,"Class1",64,16.741,50.428,32,85.876,67.678,26.336,46.816,"J","U"
50,"Class2",91,21.239,63.342,29,66.391,65.594,56.481,64.511,"P","Z"
73,"Class2",84,17.409,51.905,21,47.266,15.434,38.477,42.938,"D","R"
