"N1","N2","N3","N4","Output13","N5","N6","N7","N8","N9","N10","N11"
52.01,53.612,"H",77,"Class1",68.386,"T",73.64,60.18,59.932,40,85
79.318,43.449,"M",36,"Class3",22.791,"Q",37.938,78.748,77.855,49,98
32.079,50.823,"A",89,"Class1",66.341,"O",60.268,63.651,78.111,41,89
22.919,54.214,"H",59,"Class1",66.097,"J",69.483,64.887,69.832,42,66
20.162,67.347,"F",63,"Class2",43.202,"U",43.379,15.577,35.457,61,65
76.054,30.292,"X",67,"Class4",35.558,"L",51.857,53.841,73.899,27,63
72.132,16.851,"Y",27,"Class4",35.226,"L",51.199,25.904,57.923,69,25
87.604,67.108,"N",66,"Class2",69.378,"D",75.418,8.928,21.718,45,91
26.759,53.448,"T",87,"Class1",65.866,"T",73.039,61.402,65.311,42,74
36.853,53.576,"H",92,"Class1",70.427,"C",61.315,58.504,67.463,42,83
28.375,53.1,"T",63,"Class3",77.871,"Q",45.877,74.477,70.911,47,70
55.273,39.309,"D",42,"Class4",33.493,"H",51.17,42.212,69.828,88,77
65.303,26.481,"T",79,"Class3",29.977,"Q",49.708,84.181,57.553,45,91
45.663,53.874,"R",81,"Class1",62.851,"J",77.735,51.152,44.734,41,69
72.272,71.912,"F",58,"Class2",65.909,"U",58.352,NA,14.615,60,84
61.161,5.825,"L",91,"Class4",34.902,"A",50.083,50.661,72.135,81,57
15.077,30.138,"R",84,"Class3",67.061,"D",36.656,78.199,62.414,47,84
53.009,32.54,"L",47,"Class4",34.905,"A",51.232,44.015,76.356,1,40
40.419,52.32,"D",75,"Class1",65.073,"T",72.962,62.197,56.681,41,90
47.471,76.85,"T",92,"Class3",45.083,"P",74.843,91.934,72.129,48,98
79.493,55.947,"N",72,"Class3",48.642,"P",60.877,72.546,63.427,47,NA
37.694,53.463,"A",60,"Class1",65.421,"Q",69.181,59.419,42.677,41,81
58.428,61.275,"N",60,"Class2",68.487,"D",63.972,7.139,25.622,40,99
29.024,65.826,"N",59,"Class2",82.231,"A",50.417,8.016,30.655,42,63
27.37,47.746,"X",80,"Class4",34.529,"H",52.238,46.043,51.729,33,13
31.786,45.678,"N",41,"Class3",87.508,"L",22.994,87.624,56.413,45,78
69.525,66.931,"N",62,"Class2",19.561,"A",61.112,8.375,21.918,50,NA
43.137,53.779,"D",64,"Class1",63.695,"J",76.119,57.291,50.667,42,88
67.155,36.117,"X",68,"Class4",33.231,"A",50.209,40.294,78.721,77,83
42.132,32.178,"R",30,"Class3",36.506,"D",32.094,73.587,57.187,46,94
21.412,67.337,"I",61,"Class2",83.838,"A",76.195,6.91,30.404,55,87
88.888,59.911,"N",67,"Class2",46.04,"A",58.205,10.866,34.21,46,70
37.36,69.345,"C",61,"Class2",59.77,"U",81.082,6.648,25.579,47,81
40.798,45.956,"D",49,"Class4",33.097,"W",47.727,42.099,86.833,45,55
36.549,34.235,"M",95,"Class3",13.343,"E",42.829,81.196,59.887,47,74
80.362,11.271,"X",52,"Class4",33.557,"W",49.798,26.506,57.461,9,87
32.311,29.106,"Y",38,"Class4",34.122,"M",51.839,21.503,84.324,88,16
61.1,23.024,"R",76,"Class3",87.765,"P",88.487,92.006,67.121,46,87
11.652,37.954,"M",81,"Class3",46.059,"D",60.814,78.2,76.484,45,72
27.227,64.297,"C",58,"Class2",95.958,"C",87.682,14.582,26.874,52,95
32.37,14.42,"X",82,"Class4",35.924,"M",51.378,52.976,60.685,68,64
53.355,-24.204,"R",83,"Class3",76.041,"Q",94.77,85.572,66.314,47,93
48.307,22.983,"D",57,"Class4",33.519,"H",49.961,50.788,58.357,6,80
71.132,39.655,"L",83,"Class4",37.022,"H",50.51,20.51,59.938,54,88
62.82,68.443,"J",61,"Class2",68.062,"A",63.549,17.715,16.029,60,86
80.517,56.616,"B",44,"Class4",32.95,"L",49.947,49.547,60.754,4,89
83.18,68.11,"F",58,"Class2",58.012,"U",49.831,9.67,34.615,62,68
16.477,64.92,"I",61,"Class2",60.666,"A",83.129,9.156,34.018,49,83
27.42,93.764,"M",47,"Class3",75.255,"P",52.455,89.156,57.747,46,74
80.648,62.678,"F",66,"Class2",70.945,"D",38.628,11.899,16.195,47,77
53.872,52.927,"H",84,"Class1",69.198,"O",74.643,62.315,59.078,41,76
58.135,52.281,"T",87,"Class1",66.352,"T",71.998,59.026,82.807,42,86
69.551,58.914,"R",79,"Class3",9.12,"E",46.599,80.98,76.804,47,99
14.453,34.556,"R",42,"Class3",70.769,"E",45.299,93.58,65.34,48,79
82.289,63.394,"F",60,"Class2",41.62,"X",76.022,15.877,19.107,55,82
32.404,47.704,"X",39,"Class4",35.37,"H",49.85,44.551,54.023,9,48
73.227,61.184,"X",31,"Class4",34.161,"M",49.88,27.992,69.822,35,38
28.709,86.236,"M",89,"Class3",51.063,"Q",60.875,73.906,69.48,47,87
45.197,65.4,"F",59,"Class2",56.166,"U",61.237,16.413,35.618,44,93
52.72,26.957,"R",88,"Class3",32.979,"L",81.998,75.675,83.906,45,88
56.269,35.629,"T",24,"Class3",19.902,"P",61.049,84.736,65.039,48,74
31.029,66.844,"C",61,"Class2",91.13,"A",58.448,NA,21.967,42,97
43.163,52.595,"H",84,"Class1",61.848,"C",56.48,55.952,67.947,41,NA
32.171,52.143,"A",85,"Class1",64.132,"T",66.638,62.615,67.13,40,79
57.026,40.217,"N",94,"Class3",48.54,"D",40.82,75.541,79.682,45,80
14.676,66.833,"I",67,"Class2",88.908,"A",16.056,6.533,26.012,57,NA
23.377,66.33,"C",57,"Class2",63.185,"U",46.073,6.469,33.551,60,81
28.706,40.864,"L",58,"Class4",34.316,"L",51.955,29.531,86.648,3,33
84.277,60.7,"I",63,"Class2",42.348,"X",68.893,9.562,34.937,40,70
75.954,64.755,"I",56,"Class2",38.708,"U",55.356,12.597,28.172,47,74
55.046,65.863,"N",64,"Class2",42.423,"U",92.225,14.57,31.015,45,95
36.069,70.527,"F",57,"Class2",77.001,"U",72.672,6.336,26.262,44,72
36.893,48.787,"B",68,"Class4",33.565,"H",51.575,21.53,83.957,22,8
24.143,53.693,"D",70,"Class1",62.632,"J",72.944,65.332,86.508,40,85
77.952,65.444,"I",59,"Class2",48.343,"X",46.855,6.564,16.001,47,72
53.447,2.929,"L",46,"Class4",35.349,"M",46.635,33.08,75.421,28,77
57.157,49.37,"M",83,"Class3",53.856,"L",65.16,80.259,61.509,48,81
23.931,54.085,"T",60,"Class1",62.161,"J",79.924,57.412,57.382,41,66
28.673,63.736,"D",25,"Class4",33.122,"L",51.491,24.346,66.764,80,92
28.458,70.444,"C",65,"Class2",53.797,"D",77.192,9.741,22.342,48,68
25.069,53.906,"R",71,"Class1",65.993,"J",71.965,56.449,50.573,41,87
41.68,64.97,"I",64,"Class2",58.315,"A",73.19,15.593,29.181,48,72
31.567,52.624,"T",94,"Class1",63.231,"Q",79.289,55.593,47.501,42,71
35.997,51.531,"A",62,"Class1",63.36,"Q",70.637,63.046,65.683,41,68
65.635,80.154,"N",27,"Class3",60.961,"L",54.343,92.911,81.627,49,75
44.992,42.136,"L",95,"Class4",33.437,"L",51.304,38.838,77.021,28,38
52.329,52.518,"T",84,"Class1",69.808,"T",67.38,61.742,62.001,42,91
50.897,51.941,"T",58,"Class1",67.908,"C",67.454,64.079,82.664,40,77
11.03,18.766,"M",28,"Class3",35.992,"L",62.207,76.712,54.992,45,76
65.546,29.667,"B",16,"Class4",35.826,"W",51.321,30.704,69.393,11,56
44.989,70.501,"T",92,"Class3",53.979,"Q",49.604,NA,61.222,47,89
16.976,52.899,"L",38,"Class3",49.323,"E",74.323,87.124,55.97,49,96
76.249,43.168,"R",92,"Class3",49.984,"L",56.362,82.89,66.805,47,89
48.518,59.901,"N",38,"Class3",18.891,"Q",72.227,93.511,69.323,49,70
16.886,69.91,"I",59,"Class2",37.691,"U",69.256,15.781,13.077,65,64
31.812,52.701,"R",78,"Class1",66.451,"Q",59.916,57.62,56.618,42,82
71.784,69.223,"I",56,"Class2",58.663,"X",61.947,13.332,29.147,65,93
37.041,70.309,"N",61,"Class2",38.561,"D",39.835,10.618,32.199,53,92
30.437,51.226,"D",61,"Class1",61.409,"Q",79.297,51.754,61.854,40,87
18.404,52.515,"D",93,"Class1",68.913,"C",64.176,51.357,78.675,41,91
83.116,73.304,"R",76,"Class3",30.424,"Q",49.078,74.97,82.862,48,89
30.643,26.828,"Y",22,"Class4",35.353,"W",50.525,19.127,86.129,44,20
25.821,52.875,"H",64,"Class1",64.18,"O",67.21,56.142,49.654,41,81
39.031,53.566,"R",82,"Class1",66.18,"C",82.158,54.168,87.298,41,80
57.371,66.352,"F",59,"Class2",59.156,"A",92.612,12.503,22.879,38,81
55.631,36.316,"T",37,"Class3",6.923,"L",65.509,NA,69.213,47,75
31.493,-2.145,"R",79,"Class3",69.191,"Q",29.772,76.708,80.759,47,87
57.123,50.52,"T",93,"Class1",65.231,"J",66.639,54.591,43.634,41,81
64.541,66.497,"I",59,"Class2",74.516,"D",126.327,NA,35.402,57,68
55.886,52.422,"T",68,"Class1",63.217,"T",69.392,55.58,59.552,41,64
50.018,28.208,"B",25,"Class4",34.847,"A",52.249,23.793,52.302,92,41
33.046,63.098,"F",62,"Class2",49.817,"D",62.527,11.006,33.329,60,74
49.567,51.667,"X",86,"Class4",34.882,"A",52.183,51.232,67.095,88,NA
76.661,35.473,"X",32,"Class4",34.858,"A",52.716,39.816,79.483,30,44
64.316,16.487,"B",59,"Class4",33.41,"A",51.259,34.836,54.169,90,42
78.337,35.654,"B",24,"Class4",32.515,"M",52.773,50.564,56.529,77,78
13.77,36.463,"L",72,"Class3",-0.453,"Q",88.034,81.818,67.678,48,79
55.271,33.74,"X",85,"Class4",33.847,"M",50.822,50.437,75.886,57,79
26.037,52.582,"R",82,"Class1",72.514,"Q",69.319,63.406,67.05,40,75
73.151,45.161,"B",49,"Class4",33.476,"L",50.967,53.402,71.044,18,33
46.552,66.69,"N",65,"Class2",31.948,"C",77.496,7.127,17.74,60,86
63.332,68.892,"F",62,"Class2",66.917,"A",67.488,7.083,20.433,53,62
21.839,75.739,"M",93,"Class3",33.374,"D",53.967,NA,54.412,48,82
51.544,68.052,"C",67,"Class2",101.425,"C",44.951,6.107,12.961,61,89
37.903,51.828,"D",76,"Class1",68.955,"O",87.213,51.778,84.89,42,83
40.111,100.497,"N",31,"Class3",55.519,"E",54.314,72.147,63.984,49,80
34.072,65.788,"I",66,"Class2",53.406,"A",43.642,10.718,26.106,64,79
66.928,57.873,"T",57,"Class3",59.017,"E",75.358,91.93,64.507,46,93
76.094,68.669,"F",60,"Class2",33.438,"U",54.188,16.191,12.697,65,64
72.646,35.678,"L",55,"Class3",21.922,"P",54.994,91.415,79.314,47,84
51.984,53.109,"R",85,"Class1",64.278,"Q",62.55,61.477,72.59,42,73
18.068,16.78,"R",48,"Class3",118.068,"P",61.28,88.658,62.575,49,85
42.188,52.324,"H",78,"Class1",66.528,"O",83.615,64.2,88.639,40,67
71.55,54.533,"T",35,"Class3",66.038,"D",56.167,NA,65.333,47,82
18.438,37.454,"N",91,"Class3",28.806,"P",62.706,75.395,61.616,45,NA
20.34,53.56,"A",82,"Class1",64.784,"Q",37.601,NA,42.365,41,64
38.357,47.725,"D",69,"Class4",33.567,"W",51.234,46.547,51.138,56,27
42.829,50.091,"T",78,"Class1",68.272,"O",60.02,65.152,77.471,42,77
48.67,53.265,"D",95,"Class1",69.259,"Q",68.236,60.676,62.424,40,65
57.987,53.023,"R",68,"Class1",59.749,"C",68.298,59.61,56.016,41,78
49.815,51.818,"T",92,"Class1",68.626,"Q",71.056,58.804,72.426,42,84
82.095,15.977,"D",40,"Class4",34.123,"A",51.945,34.18,80.252,5,NA
66.711,65.344,"F",64,"Class2",66.047,"D",71.968,7.3,12.411,54,70
32.062,42.634,"X",44,"Class4",32.967,"W",49.925,49.546,61.311,50,58
36.481,27.885,"D",77,"Class4",34.871,"A",51.12,50.182,79.654,61,NA
48.925,-1.142,"M",93,"Class3",72.757,"L",59.697,94.913,68.156,46,92
41.375,39.39,"Y",86,"Class4",34.094,"L",51.206,36.488,55.452,91,19
40.208,33.399,"B",26,"Class4",34.013,"L",50.667,43.237,74.37,17,39
34.086,43.591,"D",81,"Class4",34.171,"M",50.074,27.533,71.285,40,87
62.107,64.342,"R",93,"Class3",44.144,"D",49.68,84.546,71.839,48,78
35.808,53.099,"T",83,"Class1",66.072,"Q",64.47,63.624,87.397,42,84
46.558,69.887,"J",56,"Class2",73.345,"A",56.606,15.959,33.853,59,78
80.474,-1.643,"L",65,"Class3",22.852,"E",56.441,NA,71.235,49,85
21.538,54.279,"A",81,"Class1",62.965,"O",58.112,64.924,70.968,41,83
47.962,52.426,"H",85,"Class1",63.841,"J",59.198,NA,87.877,41,87
52.621,37.657,"B",79,"Class4",33.117,"A",50.788,18.844,60.757,1,87
55.591,36.213,"L",78,"Class4",34.593,"L",51.043,44.766,51.562,48,41
80.455,67.694,"J",56,"Class2",59.75,"A",37.529,7.799,23.58,54,67
70.224,55.964,"T",63,"Class3",42.408,"L",44.099,86.647,65.06,48,86
53.945,49.894,"M",49,"Class3",70.099,"Q",62.584,87.66,57.171,45,NA
37.451,53.339,"R",95,"Class1",66.184,"Q",64.811,61.408,88.543,40,74
73.314,67.474,"I",66,"Class2",72.14,"A",48.161,10.211,22.687,56,81
70.004,43.612,"N",45,"Class3",27.768,"E",74.536,84.252,71.61,46,91
18.748,52.313,"R",92,"Class1",70.869,"T",55.289,59.03,42,41,68
36.609,43.006,"N",83,"Class3",16.723,"E",62.8,80.915,58.373,47,91
82.673,70.257,"J",62,"Class2",84.795,"U",32.79,11.629,33.865,58,96
21.282,71.05,"F",56,"Class2",47.302,"A",32.195,16.214,22.002,50,70
21.412,53.342,"A",89,"Class1",65.543,"J",69.182,55.132,61.819,41,84
32.1,69.106,"R",41,"Class3",64.61,"Q",66.173,88.71,62.182,46,NA
82.987,70.88,"T",51,"Class3",64.06,"P",80.238,88.981,55.539,49,87
87.34,67.314,"F",61,"Class2",39.356,"U",58.387,7.973,32.141,56,81
75.262,30.296,"X",88,"Class4",34.854,"H",50.979,40.971,50.326,71,19
34.723,46.972,"N",25,"Class3",62.35,"E",41.393,89.301,83.818,46,79
75.377,79.747,"L",60,"Class3",36.558,"E",42.72,76.01,56.487,46,79
58.107,58.477,"B",77,"Class4",33.192,"M",50.91,54.689,66.21,92,80
54.223,52.452,"D",60,"Class1",70.653,"J",75.586,58.15,50.953,40,87
73.241,11.623,"B",57,"Class4",34.988,"M",52.126,33.194,60.918,23,78
81.605,69.586,"N",62,"Class2",14.665,"A",60.704,11.567,13.741,55,73
29.754,31.062,"T",71,"Class3",74.51,"D",44.244,77.564,69.312,45,91
68.726,71.925,"C",60,"Class2",30.111,"U",80.232,15.98,15.161,61,89
56.156,53.652,"T",92,"Class1",71.858,"T",68.889,51.302,62.868,41,79
70.383,-1.002,"R",45,"Class3",52.294,"L",70.837,80.599,55.189,49,82
54.975,15.771,"X",75,"Class4",34.646,"H",53.872,29.524,76.2,57,51
22.484,52.427,"A",84,"Class1",69.112,"Q",79.42,53.406,62.785,40,73
53.054,52.2,"H",83,"Class1",65.663,"Q",80.221,62.696,73.101,40,81
43.511,51.54,"R",91,"Class1",63.353,"O",66.782,65.541,72.566,41,78
18.673,66.7,"N",65,"Class2",78.87,"C",20.907,6.86,33.64,58,78
80.374,61.302,"T",84,"Class3",53.382,"L",47.359,91.267,81.782,45,76
74.096,56.318,"B",61,"Class4",34.527,"A",51.069,54.026,82.69,4,69
64.569,67.769,"L",46,"Class4",35.91,"W",49.292,37.982,83.597,44,38
35.302,70.513,"J",64,"Class2",66.167,"A",91.165,17.272,23.681,58,65
41.305,52.778,"D",69,"Class1",65.357,"C",61.631,54.65,77.627,40,78
68.651,68.771,"J",64,"Class2",68.069,"U",66.602,16.285,28.715,51,72
82.26,19.077,"D",57,"Class4",35.193,"L",51.215,49.308,55.517,75,40
47.708,67.842,"C",60,"Class2",64.498,"A",63.347,16.983,15.634,66,77
65.264,63.786,"I",59,"Class2",47.406,"D",59.081,6.675,15.854,41,82
54.98,51.822,"D",80,"Class1",66.045,"Q",85.202,NA,71.536,40,76
55.771,53.647,"T",66,"Class1",68.566,"T",85.084,58.729,88.964,42,88
56.164,67.077,"J",60,"Class2",9.147,"A",76.779,15.712,20.878,45,79
79.007,95.745,"R",33,"Class3",35.774,"Q",53.48,75.009,79.439,47,91
46.327,51.429,"T",84,"Class1",70.658,"C",83.737,61.984,60.86,41,86
40.663,51.967,"D",72,"Class1",68.035,"T",76.761,62.27,62.965,40,85
33.702,60.451,"L",46,"Class4",34.176,"H",49.227,24.726,61.15,70,10
51.177,15.229,"D",86,"Class4",34.758,"W",51.295,21.099,80.22,61,14
55.994,52.582,"T",58,"Class1",64.499,"Q",61.258,63.485,45.692,40,75
87.829,97.314,"L",80,"Class3",79.345,"D",55.385,78.265,56.607,48,88
83.201,38.55,"M",40,"Class3",36.212,"Q",60.395,91.067,71.217,49,85
20.81,52.385,"D",78,"Class1",70.237,"J",61.775,61.476,80.672,40,85
58.062,63.198,"B",83,"Class4",34.098,"L",50.769,52.342,79.365,65,72
85.405,69.393,"F",59,"Class2",40.915,"D",73.452,14.047,17.231,48,86
35.684,38.151,"X",69,"Class4",34.714,"L",48.945,24.726,52.906,87,70
72.851,65.486,"F",57,"Class2",64.501,"D",57.47,14.55,34.988,42,81
63.833,30.616,"Y",61,"Class4",35.112,"M",51.736,27.388,78.171,26,83
43.236,52.297,"H",67,"Class1",67.755,"O",51.32,65.265,75.833,42,74
13.651,27.5,"L",41,"Class3",118.7,"P",34.319,88.52,70.859,49,90
34.638,54.326,"A",62,"Class1",62.126,"J",63.319,54.139,84.35,42,NA
41.531,52,"A",85,"Class1",68.358,"J",80.205,58.116,56.374,40,73
51.869,51.29,"T",78,"Class1",65.629,"T",63.382,61.699,69.889,42,NA
43.527,66.9,"N",62,"Class2",54.802,"D",70.652,8.994,25.006,63,NA
52.792,52.72,"H",82,"Class1",62.675,"T",49.508,55.47,70.422,41,78
26.923,52.884,"A",83,"Class1",67.993,"T",74.183,62.925,81.348,40,67
78.864,24.608,"X",79,"Class4",33.713,"W",53.391,40.865,50.944,31,32
56.249,46.065,"R",75,"Class3",76.88,"P",43.263,77.93,70.403,49,93
28.399,104.289,"R",78,"Class3",76.178,"L",47.2,85.472,66.933,45,80
74.128,15.646,"B",49,"Class4",33.512,"A",52.593,49.388,60.362,37,NA
67.354,21.868,"Y",89,"Class4",33.213,"L",50.159,25.696,75.198,91,60
28.905,68.549,"F",64,"Class2",56.086,"U",60.768,9.923,35.722,39,77
60.85,47.721,"X",36,"Class4",33.368,"L",49.586,45.868,69.928,66,20
54.551,65.486,"I",66,"Class2",85.657,"A",37.234,16.77,12.358,45,76
46.306,50.869,"T",62,"Class1",69.026,"J",58.539,62.891,66.319,41,71
73.697,51.544,"L",86,"Class4",34.842,"L",51.835,46.851,77.128,65,30
56.728,50.39,"A",62,"Class1",70.13,"T",65.529,56.662,66,41,87
67.19,23.552,"L",55,"Class4",35.225,"W",52.784,NA,50.389,20,11
39.387,67.145,"C",66,"Class2",78.959,"U",34.482,14.471,32.406,45,73
37.95,67.164,"C",56,"Class2",81.225,"X",29.416,14.125,13.11,60,68
82.116,65.967,"J",64,"Class2",65.966,"U",73.049,13.663,21.618,45,87
18.213,52.014,"R",78,"Class1",65.981,"Q",70.911,53.037,83.849,41,NA
42.228,53.688,"H",77,"Class1",66.222,"J",68.73,64.259,53.216,40,70
35.335,51.121,"T",90,"Class1",61.14,"O",93.063,58.45,73.374,41,81
68.666,68.908,"L",28,"Class4",35.326,"M",53.393,23.787,70.178,91,17
39.02,52.034,"H",77,"Class1",62.781,"O",76.837,51.195,63.248,42,85
56.752,91.103,"N",42,"Class3",71.464,"Q",58.539,72.022,66.071,46,96
19.416,70.666,"T",35,"Class3",66.25,"E",45.197,81.505,55.636,47,NA
31.36,67.961,"L",73,"Class3",11.368,"Q",46.636,79.941,62.562,48,89
60.31,42.784,"T",74,"Class3",46.695,"D",46.402,NA,63.223,47,93
65.418,44.381,"Y",31,"Class4",35.335,"W",50.547,NA,72.496,73,33
47.428,52.309,"D",81,"Class1",62.871,"O",92.223,61.241,78.974,41,NA
56.083,52.304,"H",68,"Class1",66.141,"Q",64.577,54.64,56.836,41,84
65.189,0.397,"L",30,"Class4",34.949,"L",51.253,52.569,76.387,35,63
30.764,52.731,"R",57,"Class1",63.162,"O",57.93,65.015,71.116,40,87
51.192,67.581,"F",59,"Class2",58.71,"D",54.513,11.019,25.823,56,87
61.427,54.636,"M",46,"Class3",33.641,"P",43.046,90.11,84.996,47,96
66.052,41.752,"L",84,"Class4",36.794,"A",47.899,42.677,80.839,11,14
52.564,90.295,"R",51,"Class3",76.048,"P",45.064,89.477,67.033,49,88
58.222,69.962,"F",59,"Class2",46.933,"C",42.708,11.973,24.065,60,94
49.44,77.72,"T",24,"Class3",17.53,"Q",47.727,89.723,68.412,45,91
56.65,50.979,"A",93,"Class1",65.92,"J",70.154,62.586,45.104,42,78
25.659,66.898,"L",88,"Class3",84.251,"E",51.098,80.84,83.949,45,76
29.513,15.703,"X",62,"Class4",36.933,"A",47.557,20.194,54.339,76,50
63.426,106.411,"T",55,"Class3",12.258,"P",48.414,75.774,73.45,49,85
27.351,52.245,"T",94,"Class1",64.997,"Q",66.845,53.375,83.985,42,71
69.611,68.975,"I",59,"Class2",72.589,"A",49.818,14.783,32.794,49,77
22.699,71.881,"F",61,"Class2",73.477,"C",34.12,8.541,15.406,60,82
42.279,66.008,"I",63,"Class2",38.469,"D",95.114,6.852,24.167,63,76
69.918,44.043,"N",61,"Class3",39.399,"D",63.919,82.22,70.131,49,NA
27.66,51.739,"R",77,"Class1",70.231,"J",75.484,55.411,84.046,41,70
38.733,52.859,"D",78,"Class1",64.147,"J",72.815,56.388,83.545,42,72
37.943,44.165,"B",43,"Class4",34.232,"L",49.74,40.76,83.793,1,67
77.924,7.968,"D",35,"Class4",33.935,"M",51.658,45.223,86.347,46,68
27.662,33.35,"D",27,"Class4",33.142,"W",50.25,35.623,56.119,4,53
50.835,6.912,"Y",20,"Class4",35.809,"M",51.318,43.515,60.397,15,10
49.034,33.204,"B",96,"Class4",33.877,"A",51.255,32.926,76.967,59,76
47.412,-20.058,"X",56,"Class4",35.064,"W",50.016,29.105,77.002,2,19
60.863,27.978,"X",86,"Class4",33.798,"H",51.879,38.009,54.223,22,45
30.245,53.709,"H",82,"Class1",70.131,"Q",62.75,52.698,42.436,41,71
26.302,51.537,"R",76,"Class1",63.355,"Q",69.459,NA,82.427,42,91
60.466,9.103,"X",21,"Class4",32.66,"L",47.745,25.403,76.577,36,29
29.054,50.153,"H",71,"Class1",70.884,"C",70.928,51.916,43.834,42,83
67.383,22.936,"D",77,"Class4",34.102,"W",51.13,34.647,67.54,75,79
11.587,25.823,"M",32,"Class3",15.266,"L",56.862,76.757,65.831,48,72
38.259,52.492,"D",87,"Class1",65.094,"J",52.505,63.295,55.289,41,82
35.163,52.099,"T",91,"Class1",66.94,"J",65.738,60.521,63.779,40,74
51.85,43.35,"M",33,"Class3",116.174,"P",72.919,79.449,75.146,47,84
74.912,66.997,"J",58,"Class2",33.484,"U",88.464,8.523,26.308,66,62
75.919,24.589,"Y",22,"Class4",33.543,"L",52.15,39.656,70.811,75,14
38.886,43.817,"T",91,"Class3",45.965,"L",26.193,NA,67.119,49,75
50.673,69.021,"J",64,"Class2",91.543,"D",53.235,10.453,21.459,44,73
44.849,80.325,"T",90,"Class3",7.343,"E",29.467,93.705,58.747,48,98
30.517,68.415,"N",60,"Class2",67.271,"U",48.177,9.665,28.028,66,76
47.4,25.504,"L",18,"Class4",33.293,"W",52.743,48.575,55.134,25,64
38.277,52.593,"R",84,"Class1",66.099,"C",74.354,51.414,77.756,42,NA
62.58,73.665,"J",60,"Class2",48.837,"D",54.253,10.589,27.139,62,NA
56.935,52.624,"R",82,"Class1",64.642,"J",78.063,53.841,63.534,41,90
57.149,51.32,"R",60,"Class1",61.836,"T",74.909,52.877,69.446,42,86
41.2,14.151,"L",94,"Class4",35.242,"H",50.431,17.449,84.359,40,7
83.981,29.832,"T",40,"Class3",67.099,"L",63.143,75.832,84.639,49,71
61.511,66.487,"N",60,"Class2",78.049,"X",64.381,13.414,23.008,66,96
70.413,64.849,"N",65,"Class2",4.44,"X",42.573,16.2,34.089,54,71
49.079,27.352,"B",90,"Class4",35.219,"M",52.838,18.208,50.103,36,70
50.445,123.004,"L",39,"Class3",21.057,"E",31.203,81.845,72.974,49,83
39.035,9.288,"L",93,"Class4",34.296,"A",52.171,44.705,63.942,31,55
35.503,46.807,"Y",59,"Class4",36.131,"H",53.632,37.336,76.322,40,21
63.672,46.978,"M",38,"Class3",39.173,"L",32.667,78.257,80.633,48,94
82.841,34.337,"T",50,"Class3",46.031,"L",69.447,76.687,81.791,47,83
44.853,67.233,"N",65,"Class2",61.588,"U",93.395,9.582,21.891,42,80
18.467,57.755,"L",61,"Class3",-4.479,"D",44.125,76.342,79.685,46,97
29.466,52.666,"R",89,"Class1",67.597,"Q",66.031,52.467,53.42,42,89
87.212,50.481,"M",73,"Class3",69.603,"P",44.266,94.861,74.567,45,80
55.477,12.484,"R",79,"Class3",65.053,"P",61.016,76.693,81.389,49,88
26.951,32.648,"L",32,"Class3",41.805,"Q",26.574,93.44,79.738,48,92
86.515,39.642,"L",57,"Class3",68.136,"E",46.953,78.617,76.346,46,85
50.664,31.787,"Y",74,"Class4",33.445,"L",50.23,52.858,66.797,29,50
27.902,67.922,"C",56,"Class2",51.863,"X",54.486,10.372,16.402,49,62
28.874,16.402,"X",38,"Class4",33.66,"L",51.408,28.462,78.845,9,44
28.771,53.251,"A",65,"Class1",69.898,"O",83.925,62.475,51.891,40,68
66.561,44.217,"X",39,"Class4",34.582,"A",50.778,46.727,59.943,4,27
64.045,68.298,"M",65,"Class3",59.685,"Q",52.39,80.788,61.826,49,70
41.985,66.373,"C",60,"Class2",64.154,"X",92.148,9.399,33.8,49,95
88.819,72.173,"J",61,"Class2",64.154,"C",49.628,6.316,15.388,47,100
47.734,63.415,"C",56,"Class2",38.433,"C",69.387,11.422,17.704,48,80
48.852,42.51,"M",56,"Class3",69.293,"P",74.352,90.816,81.787,46,79
58.439,53.756,"A",92,"Class1",68.022,"C",62.91,59.27,73.242,40,71
55.594,61.915,"J",62,"Class2",51.482,"D",59.811,12.349,24.079,49,88
29.32,51.58,"A",91,"Class1",67.582,"J",93.615,57.508,74.582,41,65
39.448,52.846,"T",94,"Class1",64.232,"J",56.282,65.181,53.769,42,69
55.654,52.302,"D",62,"Class1",67.541,"O",77.844,51.587,60.629,41,72
48.296,53.86,"H",76,"Class1",63.529,"C",67.448,51.748,48.318,42,78
45.294,51.06,"R",87,"Class1",61.578,"O",75.744,60.306,56.782,40,NA
20.662,53.215,"T",93,"Class1",65.852,"Q",70.509,58.617,66.276,42,89
57.205,102.675,"T",29,"Class3",81.475,"D",64.913,84.285,55.993,47,94
20.993,64.735,"F",60,"Class2",31.953,"A",47.489,14.01,12.575,64,NA
28.55,52.261,"H",85,"Class1",66.162,"C",76.146,53.83,82.961,42,69
44.199,31.235,"B",32,"Class4",32.904,"H",52.771,40.635,50.662,3,52
46.177,13.708,"Y",68,"Class4",34.692,"M",50.087,17.268,56.773,23,74
23.827,52.421,"D",70,"Class1",61.707,"Q",61.57,59.313,42.092,42,77
80.66,20.202,"X",36,"Class4",34.591,"H",52.241,50.257,84.568,8,66
75.053,45.053,"Y",38,"Class4",34.523,"M",47.876,34.011,59.114,41,80
72.912,69.199,"Y",46,"Class4",32.633,"W",51.944,50.937,68.052,37,21
