"R1","Output17","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11"
70.388,"Class4",82.384,66,"A",71.914,47,41.165,55,61.663,23.726,"P"
85.307,"Class1",70.599,26,"G",38.851,70,34.053,9,11.191,3.717,"C"
86.221,"Class1",45.416,15,"J",64.912,54,14.837,24,15.733,5.793,"P"
44.277,"Class3",50.286,33,"J",17.396,47,68.775,94,12.714,NA,"Z"
66.855,"Class2",71.135,42,"Z",36.941,24,59.751,88,57,47.224,"W"
12.141,"Class4",53.372,12,"P",34.809,61,40.883,51,52.437,45.85,"D"
60.276,"Class2",40.888,41,"B",36.956,35,33.419,88,41.764,47.271,"H"
57.057,"Class2",92,46,"B",38.782,30,27.908,95,36.974,72.461,"L"
64.43,"Class2",43.548,44,"Z",34.146,38,25.448,88,51.607,87.144,"W"
27.884,"Class4",39.33,44,"C",74.216,72,39.877,55,62.219,60.727,"I"
21.544,"Class3",53.997,40,"M",17.788,57,81.51,93,9.844,88.635,"I"
60.091,"Class2",101.196,42,"Z",37.393,19,20.827,92,44.397,55.883,"H"
66.083,"Class4",72.291,59,"A",97.008,67,37.493,40,62.236,18.516,"R"
44.068,"Class3",51.061,32,"F",15.965,69,54.12,87,10.233,97.878,"I"
28.255,"Class4",44.129,80,"T",70.703,51,44.77,33,72.719,61.78,"D"
43.939,"Class3",51.485,26,"W",26.148,66,49.641,95,5.7,89.758,"M"
84.778,"Class1",44.84,25,"M",76.087,41,38.812,12,11.635,7.9,"N"
64.319,"Class2",14.698,46,"H",27.793,19,29.475,91,69.16,68.71,"H"
50.458,"Class2",55.8,42,"H",29.107,29,57.613,94,57.992,60.95,"L"
82.945,"Class1",21.529,64,"J",23.97,47,49.813,19,13.228,6.295,"P"
67.097,"Class2",57.418,43,"Z",34.267,37,27.446,94,44.156,46.863,"H"
27.485,"Class4",59.451,79,"R",22.244,62,41.602,40,71.784,46.953,"D"
58.74,"Class3",56.228,30,"J",21.729,56,69.982,80,9.669,93.804,"M"
48.323,"Class2",37.012,46,"H",33.614,35,19.281,93,50.362,48.571,"A"
25.108,"Class3",54.855,45,"Y",18.252,50,71.127,89,12.92,97.031,"Z"
20.453,"Class4",53.47,52,"T",101.274,50,36.065,64,55.424,35.304,"X"
86.995,"Class1",34.511,19,"M",38.672,68,26.324,9,13.822,5.616,"P"
58.964,"Class2",59.218,41,"Z",39.573,42,23.264,95,58.798,65.998,"A"
88.259,"Class1",36.516,20,"E",78.659,69,22.727,19,16.993,3.888,"C"
64.808,"Class2",32.434,46,"V",41.874,38,50.182,92,47.033,64.447,"L"
83.936,"Class1",49.547,19,"E",58.331,72,47.332,24,11.452,4.419,"D"
NA,"Class1",44.838,49,"G",63.445,75,31.096,18,10.746,7.643,"D"
40.267,"Class4",40.716,83,"P",60.603,56,34.002,48,73.306,38.543,"R"
20.335,"Class4",30.827,29,"R",87.543,58,38.955,55,52.685,55.797,"R"
87.851,"Class1",53.951,42,"G",18.117,83,29.849,19,13.177,NA,"M"
60.813,"Class2",11.683,46,"Z",36.777,21,19.487,92,56.821,63.624,"H"
57.869,"Class2",33.392,46,"N",10.178,30,17.219,88,52.65,54.307,"L"
29.212,"Class3",59.919,30,"Y",12.099,47,30.825,89,5.316,86.716,"M"
84.063,"Class1",47.579,56,"G",86.004,66,13.808,21,13.071,3.931,"P"
35.986,"Class3",52.639,39,"W",16.99,61,39.799,77,10.551,90.599,"M"
61.808,"Class4",49.262,41,"C",40.617,67,40.889,33,55.341,52.943,"P"
83.39,"Class1",20.42,39,"B",74.872,76,13.82,20,17.939,4.998,"D"
75.649,"Class2",56.38,41,"B",29.789,26,49.912,95,43.182,50.452,"A"
82.985,"Class1",24.071,21,"J",5.46,84,40.616,25,16.612,3.653,"D"
88.155,"Class1",31.077,45,"M",41.344,64,22.25,12,13.309,3.675,"D"
67.409,"Class2",47.616,46,"H",39.506,21,41.946,94,53.61,57.921,"L"
50.768,"Class2",24.308,45,"V",46.105,29,45.923,93,61.329,62.027,"W"
62.631,"Class2",41.114,45,"H",25.198,31,18.318,90,53.974,80.728,"L"
86.747,"Class1",8.352,51,"E",14.497,57,39.441,18,16.667,5.16,"N"
NA,"Class1",37.41,40,"E",49.659,88,20.318,18,12.248,7.562,"N"
54.536,"Class4",63.625,54,"C",106.215,72,49.468,58,70.577,68.214,"I"
19.989,"Class4",71.451,44,"R",30.539,75,36.105,40,57.45,67.89,"P"
42.53,"Class3",56.007,43,"Y",7.447,53,59.074,85,8.646,98.529,"F"
87.466,"Class1",53.499,65,"B",58.343,66,28.06,14,15.046,7.509,"C"
49.471,"Class2",52.85,41,"Z",21.92,41,50.815,95,44.399,48.201,"A"
46.33,"Class4",22.004,25,"P",74.844,58,45.815,31,62.078,28.424,"D"
82.424,"Class1",39.255,20,"J",12.729,30,36.515,12,14.74,5.431,"P"
34.664,"Class3",53.18,44,"F",12.23,67,21.769,94,10.851,93.234,"C"
82.121,"Class1",47.226,23,"E",45.634,85,33.72,23,16.126,4.476,"M"
50.659,"Class3",50.448,30,"Y",13.907,67,81.328,96,13.811,95.008,"C"
52.832,"Class4",52.437,18,"R",93.122,77,46.922,41,75.419,49.035,"R"
53.014,"Class2",58.927,42,"N",41.971,27,32.437,88,38.976,53.71,"L"
18.717,"Class3",51.566,28,"Y",14.154,55,58.927,82,10.691,98.62,"M"
57.031,"Class2",41.521,42,"B",35.554,19,26.225,90,67.537,45.34,"H"
55.472,"Class2",46.395,45,"Z",27.123,21,42.07,95,39.702,73.379,"H"
27.621,"Class4",43.475,72,"C",67.517,47,43.39,40,60.691,57.261,"X"
37.865,"Class2",36.343,45,"V",53.308,39,19.594,92,55.525,77.897,"H"
85.694,"Class1",49.138,48,"J",71.198,52,44.485,7,10.398,7.016,"N"
84.431,"Class1",39.163,29,"B",21.382,90,36.463,13,17.125,3.977,"P"
88.031,"Class1",22.431,20,"M",37.597,31,44.927,14,16.736,NA,"N"
9.518,"Class4",23.785,12,"C",46.996,71,34.116,43,63.14,35.774,"X"
41.688,"Class3",53.065,34,"J",14.468,64,79.843,76,6.645,87.74,"I"
86.634,"Class1",33.772,26,"B",50.694,82,35.891,25,12.383,5.688,"M"
65.333,"Class2",15.991,42,"V",32.751,20,59.466,90,46.761,45.302,"A"
16.351,"Class4",34.511,55,"T",57.959,57,34.555,45,57.852,72.755,"D"
36.374,"Class4",41.488,15,"P",34.399,71,35.45,61,63.724,55.212,"R"
NA,"Class4",48.772,38,"R",76.812,42,36.427,37,59.075,67.52,"R"
83.692,"Class1",67.6,65,"J",59.675,63,35.081,19,17.231,7.084,"D"
87.529,"Class1",46.438,57,"G",78.252,81,16.648,14,14.34,3.946,"C"
84.499,"Class1",52.372,19,"M",46.665,29,28.95,11,14.725,4.485,"D"
17.487,"Class4",51.023,72,"C",87.79,53,47.65,38,74.956,55.99,"R"
22.164,"Class4",67.344,51,"A",71.03,55,41.395,36,77.495,55.49,"X"
11.533,"Class4",41.365,49,"P",89.457,51,35.996,34,54.108,NA,"I"
39.68,"Class3",53.578,27,"M",16.561,47,33.637,79,11.124,96.606,"M"
25.568,"Class3",48.822,44,"Y",20.815,55,46.255,79,6.735,90.657,"M"
48.695,"Class3",53.653,34,"F",25.615,69,41.794,78,6.725,97.035,"Z"
39.094,"Class3",49.978,39,"Y",12.527,45,45.234,79,5.092,95.104,"F"
54.741,"Class3",57.363,29,"J",15.939,62,34.827,77,7.032,92.017,"C"
10.642,"Class4",25.749,40,"R",67.871,62,40.111,47,65.53,NA,"X"
27.746,"Class4",54.308,63,"C",40.444,64,39.518,48,62.673,21.533,"R"
45.54,"Class4",25.139,30,"C",98.285,61,42.758,48,52.885,42.884,"R"
85.735,"Class1",32.036,15,"J",41.186,58,14.382,12,16.99,6.728,"C"
14.574,"Class4",52.036,25,"R",56.405,66,36.952,50,62.57,55.644,"D"
18.753,"Class4",44.061,52,"P",60.241,50,40.071,62,64.274,25.287,"R"
48.96,"Class4",59.358,79,"P",41.939,64,34.152,39,52.085,33.804,"I"
64.768,"Class3",52.525,44,"J",25.11,69,26.862,90,5.615,NA,"C"
55.66,"Class4",47.274,82,"A",74.711,48,41.327,35,73.094,55.843,"R"
49.488,"Class3",56.435,40,"M",18.168,49,49.345,76,6.978,93.491,"C"
40.179,"Class3",54.523,28,"Y",16.871,64,78.465,89,13.388,86.601,"M"
NA,"Class3",46.227,26,"J",11.372,47,58.605,95,12.117,96.854,"I"
48.665,"Class2",28.533,46,"H",46.426,22,25.254,91,55.554,44.167,"A"
84.899,"Class1",55.246,50,"J",17.748,41,32.536,12,12.61,7.54,"P"
84.436,"Class1",52.929,22,"M",61.612,76,38.344,12,11.153,7.422,"M"
42.351,"Class4",42.895,66,"P",59.743,53,49.609,40,62.593,60.804,"R"
60.198,"Class2",56.553,46,"B",35.325,19,33.849,92,38.451,65.858,"A"
NA,"Class2",23.07,43,"V",46.044,19,29.175,89,43.656,69.272,"T"
89.863,"Class1",37.384,40,"M",58.97,35,49.081,18,12.698,4.66,"D"
50.749,"Class4",42.285,36,"P",44.33,79,46.536,56,56.708,19.478,"R"
51.996,"Class4",63.989,24,"A",85.526,49,44.237,38,77.334,66.611,"X"
11.253,"Class3",48.187,31,"F",28.58,55,39.482,93,7.671,94.612,"M"
38.452,"Class4",56.478,73,"R",94.809,44,34.792,37,59.663,NA,"X"
57.54,"Class4",46.951,40,"C",17.014,66,41.017,58,62.81,27.665,"X"
56.884,"Class3",58.765,36,"W",17.659,52,46.14,92,4.815,88.87,"I"
50.394,"Class3",56.003,44,"Y",10.168,58,75.186,85,13.176,95.535,"M"
NA,"Class4",54.145,35,"C",46.465,67,42.893,59,63.754,NA,"I"
84.44,"Class1",44.725,22,"E",-3.743,59,46.014,14,17.366,4.242,"N"
85.239,"Class1",51.05,39,"M",52.557,60,35.419,25,13.326,3.935,"N"
48.572,"Class3",49.342,39,"M",27.218,69,32.427,92,5.661,90.566,"I"
38.311,"Class4",28.521,54,"C",77.41,49,38.265,44,67.844,27.948,"R"
44.122,"Class4",21.906,19,"T",101.571,54,40.659,32,61.779,27.535,"R"
28.07,"Class4",65.725,45,"C",47.242,51,39.855,53,71.309,68.972,"P"
NA,"Class2",25.613,41,"Z",23.337,40,58.436,91,58.887,91.467,"H"
85.653,"Class1",29.07,61,"E",20.127,29,19.716,22,12.914,6.952,"D"
87.255,"Class1",17.509,13,"M",-3.405,44,46.808,6,13.678,5.127,"M"
83.206,"Class1",37.15,22,"B",46.228,86,43.575,18,15.247,6.178,"D"
50.893,"Class3",49.133,29,"J",17.564,56,42.275,96,11.208,91.78,"F"
12.604,"Class4",56.013,40,"R",38.701,57,47.319,45,74.264,30.328,"D"
59.016,"Class2",36.938,42,"H",27.46,20,55.08,93,60.419,88.587,"L"
38.128,"Class3",50.695,45,"Y",11.149,65,54.861,79,7.359,96.374,"Z"
71.655,"Class2",42.495,46,"N",37.303,28,43.5,90,58.968,79.236,"T"
41.722,"Class3",58.432,44,"J",18.18,58,64.067,75,6.045,NA,"M"
40.341,"Class4",67.017,49,"T",67.843,44,49.365,64,54.549,46.72,"I"
49.32,"Class3",55.386,25,"M",10.489,63,33.507,86,11.127,87.279,"F"
68.026,"Class2",44.082,43,"B",37.492,35,49.78,94,43.004,55.417,"T"
84.281,"Class1",11.222,39,"B",48.012,61,33.952,19,10.581,7.302,"P"
84.612,"Class1",70.28,51,"E",3.235,67,26.041,16,17.751,3.2,"C"
60.516,"Class2",77.621,45,"B",17.661,37,35.697,93,37.616,47.963,"T"
44.657,"Class3",58.239,27,"F",19.212,56,64.608,90,8.613,99.546,"C"
38.337,"Class3",53.89,34,"M",11.927,53,66.022,84,6.174,97.87,"Z"
49.408,"Class2",44.368,45,"N",23.219,36,40.465,88,50.382,73.122,"W"
82.761,"Class1",52.06,51,"E",49.15,72,22.473,21,12.45,3.714,"D"
85.079,"Class1",46.348,12,"G",68.26,62,38.523,21,11.289,4.278,"C"
33.167,"Class3",51.081,29,"F",16.812,54,57.211,94,5.566,97.061,"C"
46.484,"Class2",78.946,43,"N",15.994,38,32.654,93,52.37,56.05,"H"
87.579,"Class1",22.832,54,"B",56.682,55,19.203,19,16.344,4.529,"M"
26.667,"Class4",55.753,44,"A",58.129,44,43.363,37,71.603,33.166,"D"
88.845,"Class1",30.31,24,"M",38.748,73,23.566,14,14.934,5.5,"M"
23.888,"Class3",52.298,34,"J",15.293,50,70.671,93,4.329,86.151,"C"
21.626,"Class4",60.98,35,"T",51.756,55,45.286,61,72.795,NA,"I"
35.543,"Class3",59.49,30,"W",10.351,62,47.086,81,10.633,88.51,"M"
85.58,"Class1",44.142,33,"J",95.439,75,35.074,8,15.095,7.735,"C"
89.893,"Class1",36.592,39,"M",44.38,31,40.13,24,16.054,7.856,"M"
87.056,"Class1",40.29,33,"E",55.133,40,34.204,20,17.032,4.108,"C"
41.766,"Class3",51.89,36,"M",27.799,58,38.255,91,3.123,91.561,"I"
47.503,"Class4",42.14,60,"P",70.92,72,42.401,33,66.983,60.982,"X"
85.996,"Class1",30.128,12,"E",34.497,39,37.5,23,13.817,7.179,"P"
64.406,"Class2",42.398,46,"B",40.255,34,31.758,89,39.966,48.048,"W"
32.506,"Class3",54.29,36,"W",27.47,46,75.099,93,12.61,92.251,"I"
55.262,"Class4",62.334,69,"R",58.162,70,50.234,41,69.663,28.225,"R"
50.606,"Class3",57.233,30,"Y",20.763,52,58.605,75,10.587,96.889,"Z"
55.551,"Class3",55.44,28,"Y",11.485,63,55.056,83,8.648,93.41,"F"
62.872,"Class4",46.999,60,"P",26.583,69,40.854,33,71.383,38.892,"P"
36.894,"Class4",65.55,28,"T",38.325,60,38.928,40,66.846,61.231,"D"
40.205,"Class3",48.008,26,"F",8.703,69,19.133,78,9.649,87.492,"Z"
44.486,"Class4",50.677,52,"R",94.069,66,42.698,31,61.71,53.951,"R"
67.478,"Class2",26.766,42,"V",49.707,28,29.389,90,48.505,91.565,"A"
66.367,"Class2",69.081,41,"V",21.081,23,55.373,93,49.23,85.458,"T"
51.44,"Class2",43.772,42,"Z",32.495,38,21.018,92,58.469,86.916,"T"
39.925,"Class3",50.237,44,"F",17.384,68,64.564,95,10.857,89.955,"Z"
53.235,"Class2",53.493,41,"H",46.945,29,55.789,92,55.763,50.852,"T"
14.379,"Class4",37.343,31,"R",66.893,61,40.505,49,71.201,39.75,"D"
70.145,"Class4",58.137,65,"C",55.913,62,50.797,47,70.826,43.924,"P"
77.073,"Class2",16.965,42,"V",30.678,21,23.162,93,60.095,79.441,"T"
85.134,"Class1",31.863,50,"G",71.05,29,24.411,11,10.02,7.518,"N"
83.494,"Class1",48.342,57,"J",118.062,72,43.911,18,15.335,7.444,"P"
32.4,"Class3",51.977,31,"J",25.359,59,50.075,94,7.477,93.687,"M"
32.838,"Class3",55.339,28,"Y",18.862,58,72.194,76,5.901,95.047,"I"
45.569,"Class4",56.435,47,"R",60.765,56,46.895,45,59.934,54.25,"P"
66.844,"Class4",64.987,51,"T",27.693,59,46.935,63,71.861,68.97,"D"
89.076,"Class1",32.666,40,"B",32.972,83,32.088,8,15.889,4.095,"D"
80.525,"Class1",22.989,57,"M",41.975,44,14.2,25,12.2,4.83,"P"
58.968,"Class2",47.628,43,"B",38.116,30,46.333,91,64.27,46.743,"L"
63.743,"Class2",2.813,46,"V",12.005,30,44.039,94,61.233,50.189,"H"
19.477,"Class3",55.995,44,"F",17.963,49,74.91,92,6.928,NA,"M"
NA,"Class3",51.455,31,"W",17.351,46,37.24,92,12.197,89.666,"C"
88.373,"Class1",50.455,36,"J",10.259,37,36.847,24,10.898,6.906,"D"
58.806,"Class2",33.907,44,"Z",43.469,38,36.07,89,52.502,86.166,"W"
85.832,"Class1",38.256,49,"G",62.638,46,19.852,10,16.874,4.502,"N"
82.673,"Class4",48.914,21,"A",59.947,42,47.142,30,58.389,69.995,"I"
88.927,"Class1",27.121,56,"J",19.459,78,33.914,6,16.49,4.728,"M"
80.859,"Class1",37.947,41,"M",81.485,51,12.962,20,12.246,4.779,"D"
NA,"Class2",51.235,44,"Z",46.055,21,45.077,91,63.94,57.942,"L"
58.182,"Class2",29.595,42,"Z",31.863,31,19.291,88,56.999,65.168,"A"
80.016,"Class2",69.863,46,"Z",39.325,40,59.471,90,62.865,44.626,"H"
39.886,"Class3",54.983,30,"F",21.815,66,59.898,84,12.552,88.568,"F"
42.064,"Class3",54.573,44,"W",13.509,58,65.368,91,6.329,92.248,"M"
83.867,"Class1",37.771,17,"G",44.881,29,34.008,24,17.712,7.229,"D"
39.733,"Class3",57.847,28,"J",17.573,68,70.855,77,11.774,97.019,"I"
49.694,"Class2",41.61,41,"B",25.19,21,59.036,93,64.198,71.204,"W"
49.474,"Class2",51.489,45,"V",22.272,20,27.955,91,61.268,NA,"W"
83.085,"Class1",62.77,56,"M",8.605,33,49.335,25,12.499,6.58,"M"
50.571,"Class3",55.36,44,"W",15.805,69,76.779,93,9.363,88.22,"M"
59.594,"Class2",34.584,45,"H",33.36,42,32.601,89,57.278,43.818,"H"
7.988,"Class4",57.041,43,"P",66.704,61,35.242,33,77.696,41.482,"D"
82.718,"Class1",65.298,57,"M",47.263,85,26.984,12,14.318,3.22,"C"
85.668,"Class1",57.879,41,"M",50.858,72,37.366,13,12.35,6.829,"M"
36.023,"Class4",69.548,29,"R",105.212,46,40.435,37,68.121,30.1,"I"
33.267,"Class4",28.053,51,"A",47.198,47,50.345,55,54.899,23.206,"D"
36.63,"Class3",54.326,27,"F",14.296,50,51.901,87,4.266,90.75,"C"
16.462,"Class4",49.394,74,"R",18.299,53,39.229,56,69.21,18.494,"R"
60.115,"Class2",50.306,46,"H",35.261,24,36.801,90,64.553,44.637,"A"
94.071,"Class1",2.72,40,"E",62.885,63,26.307,14,13.561,4.964,"D"
57.682,"Class2",62.407,45,"V",32.279,40,17.08,95,65.528,52.005,"L"
43.791,"Class2",21.583,41,"B",8.409,35,46.242,92,36.226,54.528,"A"
46.781,"Class2",46.626,43,"V",27.722,20,37.317,88,68.713,55.024,"W"
38.322,"Class3",57.02,41,"F",15.06,58,72.581,83,12.973,93.633,"Z"
78.905,"Class1",46.97,38,"E",-30.281,75,23.513,16,15.889,4.989,"M"
46.689,"Class3",53.342,38,"J",24.001,59,51.82,78,6.907,88.174,"F"
52.748,"Class3",49.959,40,"Y",17.302,46,30.903,80,4.753,98.915,"C"
38.608,"Class3",52.419,28,"W",19.112,52,36.856,94,4.767,NA,"C"
53.429,"Class2",46.405,46,"Z",32.84,31,59.389,88,49.243,74.972,"T"
61.279,"Class2",76.137,42,"B",33.853,37,59.994,93,42.284,88.573,"W"
51.78,"Class4",58.519,38,"R",46.726,50,41.392,29,72.725,63.013,"P"
62.165,"Class2",20.363,44,"N",39.506,20,21.643,88,67.767,90.924,"H"
50.158,"Class2",59.002,45,"V",42.121,37,55.303,89,38.58,90.42,"W"
NA,"Class3",54.151,32,"M",14.063,58,43.421,94,9.24,96.724,"C"
70.028,"Class2",51.302,41,"V",25.883,42,38.383,93,50.114,85.243,"W"
35.739,"Class3",56.295,34,"M",21.818,53,62.978,76,11,89.851,"I"
35.354,"Class3",49.601,39,"J",19.408,46,29.826,76,13.752,93.453,"C"
83.243,"Class1",44.98,30,"E",20.044,71,34.794,11,13.598,NA,"N"
71.808,"Class4",54.841,13,"C",60.352,58,35.566,37,66.906,59.416,"X"
68.465,"Class2",45.361,46,"B",30.058,26,28.229,89,41.361,65.799,"T"
65.751,"Class2",56.977,46,"Z",39.452,36,57.529,88,39.475,45.656,"L"
67.182,"Class2",20.5,41,"Z",34.38,27,50.424,92,37.215,79.562,"W"
87.459,"Class1",36.49,43,"G",47.197,71,49.32,19,13.411,7.429,"M"
89.119,"Class1",41.818,22,"M",42.582,84,48.209,18,15.757,7.051,"M"
54.869,"Class2",48.787,43,"V",46.973,36,18.205,90,50.883,61.147,"L"
83.327,"Class1",23.18,39,"B",6.038,50,26.781,11,15.356,3.365,"P"
41.483,"Class4",44.647,31,"T",49.3,45,44.721,35,57.711,27.461,"X"
32.4,"Class3",54.645,29,"F",12.546,55,73.54,90,6.479,90.348,"Z"
54.712,"Class2",16.147,44,"Z",30.292,38,45.726,89,41.233,87.281,"W"
51.293,"Class4",23.16,84,"C",68.904,50,35.541,60,71.722,46.103,"R"
46.173,"Class2",22.323,46,"B",38.182,35,61.181,94,53.168,91.876,"A"
83.122,"Class1",57.507,41,"J",14.808,60,24.028,16,14.001,7.034,"M"
59.769,"Class3",53.414,27,"W",25.855,52,56.356,75,11.071,97.042,"F"
39.284,"Class4",54.988,61,"C",55.666,52,41.039,40,52.024,30.702,"I"
NA,"Class2",11.625,43,"Z",44.388,33,49.417,91,65.428,63.32,"H"
82.905,"Class1",37.778,19,"G",54.826,51,17.528,10,14.168,5.803,"D"
55.338,"Class2",26.585,42,"N",49.38,36,46.058,95,48.766,47.498,"W"
55.323,"Class2",-4.561,41,"V",28.716,37,54.829,95,68.055,54.695,"H"
37.377,"Class4",29.255,31,"C",53.581,44,34.267,41,64.656,61.037,"I"
57.524,"Class2",39.398,45,"Z",11.777,34,44.572,89,67.108,89.037,"T"
90.017,"Class1",72.804,37,"B",40.623,46,21.03,19,16.89,5.638,"D"
86.666,"Class1",41.076,37,"B",57.914,57,29.856,22,14.874,3.48,"C"
55.98,"Class3",49.488,31,"J",13.071,46,33.019,95,8.08,99.518,"F"
58.889,"Class2",4.322,41,"V",30.39,29,61.963,93,48.873,79.815,"A"
36.401,"Class4",51.931,75,"P",54.462,68,37.039,58,64.646,27.12,"P"
50.596,"Class3",59.291,29,"J",13.844,65,71.899,75,7.024,96.24,"I"
56.861,"Class2",44.02,46,"B",32.277,30,45.631,88,44.112,74.71,"A"
14.877,"Class4",81.139,72,"C",74.383,53,40.725,62,52.674,18.934,"D"
58.344,"Class2",15.525,42,"H",21.412,20,40.501,93,50.176,84.722,"L"
47.667,"Class3",59.298,44,"F",14.996,64,46.174,94,7.321,87.603,"F"
53.472,"Class2",47.315,43,"B",29.438,39,54.81,89,55.778,59.409,"A"
34.992,"Class3",53.285,28,"W",19.899,62,68.803,83,7.741,98.155,"F"
50.077,"Class3",53.796,26,"M",14.298,58,57.965,95,8.838,98.347,"Z"
54.354,"Class2",28.359,46,"N",28.672,36,61.965,89,57.601,75.206,"T"
59.497,"Class2",57.712,46,"H",44.796,40,40.621,94,50.028,49.57,"A"
82.033,"Class1",44.25,64,"G",62.834,73,41.6,19,17.792,5.734,"P"
37.929,"Class4",17.212,22,"C",63.486,51,38.61,58,55.978,52.933,"R"
84.239,"Class1",20.095,20,"E",51.652,90,15.946,19,13.774,6.142,"D"
47.397,"Class3",51.026,39,"Y",19.304,47,41.107,75,6.031,89.529,"I"
46.989,"Class3",56.382,31,"J",11.775,62,28.517,79,3.461,99.008,"M"
55.586,"Class3",55.329,32,"J",18.258,59,50.386,95,5.536,87.586,"F"
86.033,"Class1",23.195,55,"J",114.709,39,29.722,6,15.393,6.037,"P"
NA,"Class3",51.695,28,"W",16.431,68,72.035,84,3.131,NA,"I"
27.796,"Class4",42.974,80,"T",40.677,46,39.739,46,73.569,38.863,"R"
59.033,"Class2",20.949,46,"V",32.617,32,39.935,88,44.27,52.264,"H"
58.664,"Class3",57.018,36,"F",22.06,57,42.406,81,12.619,87.816,"F"
74.554,"Class3",51.969,38,"F",17.747,62,34.938,75,11.388,91.503,"Z"
86.079,"Class1",24.187,31,"G",20.411,93,48.548,24,12.802,4.539,"D"
84.88,"Class1",37.666,27,"G",56.572,69,44.062,7,17.668,4.351,"N"
82.54,"Class1",33.128,67,"M",49.571,48,34.691,6,16.781,3.259,"D"
59.627,"Class4",52.788,44,"R",47.447,63,38.391,42,52.642,53.089,"D"
51.018,"Class3",55.472,25,"Y",14.484,60,70.635,89,3.328,95.765,"F"
85.827,"Class1",18.482,64,"M",52.168,43,48.209,14,10.794,7.309,"M"
86.667,"Class1",27.147,60,"M",43.444,34,36.481,10,10.692,3.471,"C"
46.974,"Class3",47.891,29,"Y",12.959,57,19.918,90,11.997,97.211,"Z"
60,"Class2",50.837,46,"Z",50.712,41,50.506,90,57.269,87.311,"W"
54.631,"Class3",54.96,40,"J",12.503,49,43.604,84,9.42,92.988,"Z"
54.841,"Class3",53.448,34,"W",22.517,51,22.485,76,13.247,98.29,"C"
84.153,"Class1",42.812,39,"M",33.229,37,46.572,20,11.379,4.882,"N"
86.028,"Class1",33.396,12,"B",55.394,86,43.697,22,14.057,3.499,"D"
59.877,"Class2",79.305,42,"V",49.412,25,17.899,90,51.972,65.817,"L"
45.87,"Class3",59.2,26,"F",14.112,57,78.544,95,13.787,90.071,"M"
-13.022,"Class4",46.636,20,"C",37.074,62,50.554,48,57.563,57.716,"P"
65.933,"Class2",27.125,44,"Z",30.769,22,40.48,95,53.55,64.771,"W"
NA,"Class1",61.521,59,"G",38.094,38,38.001,13,15.68,6.457,"P"
58.588,"Class2",32.484,43,"V",23.817,25,31.098,94,53.749,NA,"H"
49.48,"Class4",27.072,62,"R",93.856,70,44.173,57,57.897,19.367,"R"
86.082,"Class1",48.165,29,"G",24.501,39,47.04,6,10.707,5.79,"M"
49.266,"Class4",33.387,27,"T",69.044,66,37.401,50,69.636,NA,"P"
41.551,"Class3",53.175,44,"J",9.466,54,53.681,91,5.84,97.569,"Z"
46.825,"Class3",53.029,36,"Y",10.153,46,37.681,91,11.668,95.301,"M"
27.998,"Class4",44.948,37,"P",56.185,64,48.721,45,77.46,22.128,"R"
24.159,"Class4",54.613,25,"P",48.885,50,46.855,58,65.826,44.32,"R"
41.356,"Class3",57.57,36,"M",16.12,57,78.391,92,12.565,97.198,"F"
32.227,"Class3",57.556,38,"F",24.589,54,36.512,96,6.428,90.754,"M"
84.405,"Class1",12.599,68,"B",57.889,30,24.173,17,11.66,7.937,"P"
25.149,"Class4",65.897,21,"P",70.023,50,40.983,29,54.099,44.976,"D"
80.746,"Class1",21.342,39,"B",58.54,81,36.345,13,12.353,7.886,"P"
66.615,"Class2",37.998,46,"V",21.086,25,51.401,88,65.861,63.957,"A"
39.606,"Class3",56.887,43,"F",13.369,62,22.226,82,12.126,88.346,"M"
66.385,"Class2",47.69,45,"B",35.439,34,28.427,88,63.73,47.083,"H"
69.411,"Class2",51.18,45,"H",24.31,33,36.853,93,63.971,83.225,"L"
69.05,"Class4",69.704,80,"A",55.461,63,48.884,53,77.342,34.717,"R"
84.881,"Class1",42.709,66,"M",18.285,87,16.787,23,11.777,3.601,"C"
50.687,"Class3",52.469,45,"W",15.982,65,81.637,88,5.676,86.401,"M"
64.603,"Class2",19.07,41,"B",38.533,41,33.568,90,51.76,67.76,"T"
64.332,"Class2",56.969,41,"B",24.086,26,47.964,94,69.57,78.846,"W"
86.661,"Class1",26.795,62,"M",64.541,94,12.498,24,11.043,3.404,"D"
48.573,"Class3",53.856,34,"Y",19.503,45,69.079,82,9.327,91.44,"Z"
53.091,"Class3",55.321,42,"M",28.582,69,72.062,95,9.054,87.937,"Z"
87.167,"Class1",13.538,60,"J",16.995,57,40.344,12,14.945,4.781,"M"
32.714,"Class3",56.36,26,"J",18.823,63,78.094,94,6.24,90.894,"Z"
39.509,"Class4",25.462,67,"P",22.239,69,46.471,38,54.901,49.275,"D"
49.481,"Class3",55.98,30,"J",19.615,69,36.801,84,5.802,92.739,"F"
84.614,"Class1",16.532,38,"E",73.295,72,19.011,8,14.306,6.114,"C"
NA,"Class1",59.093,66,"B",47.858,85,35.456,23,17.333,3.702,"N"
56.857,"Class2",46.91,42,"Z",25.049,23,46.246,91,52.617,65.577,"W"
40.547,"Class2",39.004,42,"H",26.715,41,42.398,94,56.638,62.296,"H"
53.574,"Class3",54.863,37,"Y",17.642,52,42.032,77,6.647,86.205,"C"
