"T1","T2","T3","T4","T5","T6","Output19","T7","T8","T9","T10","T11"
65,"S",70.877,13.328,43,26.836,"Class3",36.059,77,"L",68.606,24.78
59,NA,75.147,12.023,55,34.729,"Class3",45.23,81,"J",66.965,11.692
57,"I",89.189,13.334,32,58.087,"Class3",69.682,45,"T",69.956,7.863
18,"C",91.017,83.697,34,51.709,"Class1",56.561,82,"Z",86.733,66.868
6,"D",93.27,64.175,50,29.74,"Class1",64.616,82,"R",60.572,58.827
49,"W",88.522,63.751,25,18.008,"Class2",29.647,56,"N",40.442,31.353
50,"W",88.07,75.261,12,32.581,"Class2",42.291,46,"X",47.203,24.807
49,"Y",91.318,104.587,17,6.622,"Class2",5.053,42,"X",60.027,26.072
48,"Y",89.876,23.753,12,23.044,"Class2",15.698,27,"C",52.785,26.251
80,"F",103.676,14.099,42,23.864,"Class3",58.324,24,"T",83.065,29.168
50,"K",87.673,50.979,24,17.094,"Class2",40.266,24,"C",51.009,28.849
61,"F",82.221,11.895,35,63.89,"Class3",44.245,34,"X",74.701,44.499
17,"C",93.461,89.586,64,44.544,"Class1",89.634,82,"Z",66.695,71.321
8,"Y",92.604,97.557,64,30.772,"Class1",82.956,83,"Z",72.268,57.773
46,"F",63.459,10.687,84,53.921,"Class3",74.957,37,"L",84.92,17.503
6,"Y",89.329,26.005,51,65.722,"Class1",73.931,83,"W",36.481,69.312
50,"M",90.35,49.636,9,15.645,"Class2",13.189,14,"M",62.792,26.931
55,"S",61.063,11.344,32,37.416,"Class3",69.478,73,"D",77.588,36.033
45,"F",67.465,10.54,39,38.513,"Class3",60.036,60,"J",81.314,41.258
14,"N",91.329,102.469,42,69.519,"Class1",75.639,82,"Z",48.485,79.5
50,"K",88.31,84.689,28,15.749,"Class2",5.752,32,"N",25.332,32.016
51,"S",68.895,13.022,32,49.921,"Class3",44.577,81,"D",76.079,42.375
11,"D",91.668,42.04,64,60.427,"Class1",59.218,82,NA,50.572,63.979
83,"I",79.333,12.384,69,40.654,"Class3",73.979,62,"X",74.608,34.131
49,"W",89.296,-5.7,21,15.911,"Class2",28.224,38,"C",21.081,28.291
47,"W",89.114,40.615,13,30.287,"Class2",29.897,32,"N",24.78,26.743
17,"P",92.692,64.754,52,24.579,"Class1",51.321,83,"R",90.199,59.131
1,NA,91.394,64.679,49,45.174,"Class1",73.203,82,"D",68.17,73.111
73,"S",70.887,12.382,69,33.413,"Class3",67.862,43,"D",82.916,15.837
48,"M",88.984,42.489,24,6.91,"Class2",20.38,12,NA,25.451,27.841
78,"O",62.893,12.334,27,53.14,"Class3",78.151,75,"T",84.702,44.239
45,"S",71.55,12.402,60,35.183,"Class3",78.958,73,"X",65.748,30.711
51,"Y",90.701,39.105,18,7.9,"Class2",5.558,42,"R",28.377,22.151
51,"J",88.447,78.609,22,35.156,"Class2",23.878,49,"M",39.306,26.829
47,"M",87.127,40.456,11,19.157,"Class2",41.322,57,"R",45.776,30.229
50,"M",87.409,55.793,25,28.651,"Class2",36.242,26,"X",6.213,26.896
50,"J",90.219,111.899,25,30.66,"Class2",29.214,20,"M",30.122,24.025
47,"F",86.339,11.728,61,32.182,"Class3",70.208,39,"D",68.678,16.747
14,"P",91.17,55.573,42,28.655,"Class1",69.534,82,"D",73.734,73.212
49,"Y",89.507,39.261,8,7.982,"Class2",20.59,14,"M",14.657,28.261
84,"S",74.845,12.626,57,44.532,"Class3",46.185,44,"J",84.838,24.031
6,"C",93.729,58.496,56,33.185,"Class1",73.572,82,"W",63.071,76.632
50,NA,88.534,57.629,8,25.233,"Class2",10.994,49,"C",34.935,26.102
12,"D",93.512,7.023,48,22.179,"Class1",79.295,83,"R",36.306,64.951
18,"C",93.674,65.244,51,41.464,"Class1",50.899,82,"B",36.894,66.1
83,"I",101.18,11.588,86,36.868,"Class3",52.953,54,"J",74.098,17.765
1,"Y",93.373,117.565,61,22.388,"Class1",70.92,82,"B",79.529,67.238
74,"O",94.79,14.8,74,48.967,"Class3",64.142,35,"D",63.133,36.196
48,"K",88.623,91.964,22,4.003,"Class2",25.997,39,"R",12.003,24.807
48,"M",88.113,2.449,29,33.926,"Class2",25.33,52,"N",3.081,28.215
43,"S",65.908,14.796,31,31.71,"Class3",54.615,64,"J",74.546,5.084
44,"K",77.832,13.814,61,52.411,"Class3",58.532,69,"D",67.585,34.388
42,"S",81.336,12.888,34,64.462,"Class3",60.429,60,"T",71.47,23.955
7,NA,93.068,25.541,34,30.615,"Class1",68.696,82,"W",86.554,67.114
81,"K",68.693,13.48,81,50.448,"Class3",60.952,70,"X",66.074,20.542
47,"Y",88.5,2.898,19,28.821,"Class2",10.931,45,"C",57.422,18.431
16,"D",92.866,57.215,39,42.223,"Class1",58.585,82,"Z",80.545,60.152
51,"W",89.167,90.812,18,34.394,"Class2",32.229,12,"R",18.969,28.694
9,"P",92.647,8.71,69,46.292,"Class1",91.224,82,"B",62.73,58.634
5,"P",92.463,55.009,65,24.359,"Class1",65.397,83,"Z",49.961,64.582
11,"D",90.834,43.59,30,50.177,"Class1",83.221,83,"Z",79.426,67.788
71,"I",89.398,14.495,70,59.199,"Class3",55.537,45,NA,63.884,28.141
51,"M",90.489,88.126,6,32.404,"Class2",19.192,57,"C",40.234,28.199
9,"Y",91.654,18.688,49,57.139,"Class1",89.455,83,"R",46.651,67.861
49,"F",84.642,14.037,62,41.864,"Class3",57.034,39,"L",71.729,17.561
5,"P",93.251,73.279,52,71.53,"Class1",59.968,82,"B",50.867,65.704
15,"P",90.679,-13.837,62,68.816,"Class1",69.06,83,"B",42.921,64.223
2,"P",93.073,35.462,54,38.333,"Class1",55.713,83,"W",90.207,72.025
47,"K",88.563,19.882,7,18.334,"Class2",28.615,21,"R",56.488,23.553
42,"F",55.043,12.77,44,30.489,"Class3",38.185,51,"T",64.11,30.159
45,"O",81.155,13.458,74,33.758,"Class3",29.493,30,"X",74.667,19.907
46,"J",89.018,72.615,19,14.37,"Class2",17.685,34,"M",22.605,25.887
50,NA,88.975,70.856,22,4.009,"Class2",27.126,52,"M",27.295,26.107
9,"C",93.753,49.786,30,39.126,"Class1",60.29,82,"W",36.032,74.136
51,"K",86.498,25.67,6,24.31,"Class2",20.629,32,"X",10.945,29.228
12,"N",92.464,-4.776,55,34.917,"Class1",64.765,83,"R",63.582,59.803
10,"N",91.697,33.327,44,24.018,"Class1",61.752,82,"Z",87.468,64.585
49,"J",89.204,41.76,10,15.967,"Class2",11.818,49,NA,54.807,21.647
48,"W",87.315,23.469,19,26.159,"Class2",15.012,24,"R",61.261,23.546
50,"W",90.876,86.454,14,4.381,"Class2",25.431,59,"X",54.394,27.744
15,"D",91.824,76.534,70,38.614,"Class1",75.028,83,"Z",72.526,67.149
6,"Y",92.606,24.466,28,58.802,"Class1",61.069,82,"R",78.392,65.148
4,"P",93.455,64.315,33,69.055,"Class1",76.605,83,"D",38.923,57.311
46,"J",87.79,-8.702,18,29.765,"Class2",39.379,54,"R",26.298,24.959
46,"W",87.791,136.194,14,18.064,"Class2",35.488,14,NA,44.69,27.203
84,"I",75.597,11.286,73,26.108,"Class3",61.838,51,"T",81.313,11.736
51,"W",87.778,9.241,6,30.024,"Class2",21.913,58,"X",51.407,30.903
48,"Y",90.004,108.467,10,14.529,"Class2",27.19,15,"M",9.419,21.335
8,NA,92.139,105.806,69,56.793,"Class1",59.207,83,"Z",78.898,61.386
8,"D",92.456,10.722,23,45.963,"Class1",59.689,82,"R",52.277,59.075
67,"S",58.344,12.489,46,28.788,"Class3",71.787,66,"X",63.823,24.555
50,"W",89.494,-2.004,21,10.273,"Class2",34.854,12,"N",37.844,31.675
60,"O",76.708,12.113,79,65.445,"Class3",42.604,49,"T",66.012,18.005
50,"K",86.825,56.116,20,22.796,"Class2",18.805,35,"C",27.854,23.886
12,"Y",93.145,66.126,48,22.528,"Class1",62.322,83,"Z",73.107,60.012
46,"Y",90,35.718,2,26.182,"Class2",21.571,24,"N",38.464,27.898
69,NA,91.474,16.067,31,46.604,"Class3",79.519,55,"L",69.635,38.769
49,"K",88.431,44.834,11,34.511,"Class2",29.674,55,"M",34.089,22.432
48,"Y",88.818,65.072,18,33.896,"Class2",14.181,22,"N",28.027,24.314
78,"I",92.391,11.61,38,47.038,"Class3",60.394,44,NA,64.939,14.037
4,"C",94.737,-12.229,64,49.305,"Class1",51.383,82,NA,81.008,65.993
9,NA,92.567,78.355,46,34.509,"Class1",53.634,82,"Z",45.602,56.449
49,"K",66.977,11.316,79,57.922,"Class3",62.352,68,"L",72.889,33.563
2,"N",93.271,50.626,73,26.099,"Class1",68.742,82,"Z",71.159,55.222
48,"K",87.897,31.981,3,22.277,"Class2",16.972,60,"M",18.209,23.262
48,"M",88.222,64.379,8,25.576,"Class2",23.179,26,"R",34.855,27.321
3,"D",92.196,45.044,42,39.136,"Class1",55.215,83,"W",62.713,72.028
8,"D",92.742,108.724,73,39.455,"Class1",64.069,82,"B",33.582,59.938
56,"I",88.035,15.495,86,42.137,"Class3",74.265,63,"J",63.724,14.039
10,"N",93.686,26.523,59,49.996,"Class1",86.443,83,"B",53.864,49.962
72,"I",84.686,13.098,42,48.889,"Class3",59.365,62,"L",63.75,22.149
48,NA,88.83,32.514,6,14.91,"Class2",27.397,23,"R",53.6,27.02
2,"D",93.006,12.552,25,39.568,"Class1",62.251,83,"Z",72.943,79.011
10,"D",93.859,31.255,67,56.13,"Class1",84.883,83,"R",34.553,64.982
18,"Y",92.893,45.087,36,45.057,"Class1",89.927,82,"W",56.128,71.698
53,"O",83.831,12.148,66,22.13,"Class3",61.762,46,"J",70.586,28.101
12,"P",93.191,47.636,31,39.202,"Class1",51.516,82,"W",45.448,71.644
62,"F",90.968,11.341,64,48.027,"Class3",44.899,77,"X",83.791,19.958
51,"K",88.156,122.779,28,29.181,"Class2",22.872,16,NA,28.617,27.615
82,"K",88.926,13.437,43,49.743,"Class3",39.933,80,"J",84.352,-1.12
9,"D",91.615,92.392,28,50.277,"Class1",72.691,82,"D",52.563,71.578
15,"D",92.002,7.162,55,70.391,"Class1",84.844,82,"B",89.915,56.443
8,"C",92.443,81.621,53,38.685,"Class1",87.971,83,"W",90.314,65.054
60,"O",71.027,13.748,55,40.854,"Class3",68.135,32,"X",69.362,35.748
48,"M",89.633,17.479,17,16.148,"Class2",37.354,46,"M",58.993,26.171
1,"C",91.948,51.638,51,49.617,"Class1",59.905,83,"R",88.118,78.17
42,"I",80.722,14.1,41,39.934,"Class3",76.704,60,"T",64.566,15.201
74,"F",101.975,12.833,38,55.454,"Class3",72.444,55,"J",67.753,-9.11
50,"M",89.537,49.686,19,30.615,"Class2",40.988,13,"X",31.889,23.126
85,"S",62.857,11.842,35,24.074,"Class3",78.48,81,"J",63.596,15.354
2,"P",94.075,83.475,24,62.968,"Class1",84.882,83,"B",79.006,65.115
3,"C",92.179,53.676,38,26.553,"Class1",53.336,83,"R",36.382,66.921
9,"Y",91.533,33.857,52,42.283,"Class1",50.059,82,"D",40.897,70.5
2,"P",93.848,45.398,27,50.769,"Class1",90.633,82,"B",74.066,73.098
9,"D",94.757,62.207,48,63.353,"Class1",50.674,83,"D",58.617,67.959
10,"D",92.657,48.073,42,49.526,"Class1",59.154,83,"B",36.961,70.219
70,"K",89.607,12.231,47,24.566,"Class3",55.034,59,"L",66.277,18.291
51,"J",88.134,56.396,9,19.851,"Class2",20.64,33,"M",18.413,23.45
8,"Y",92.908,20.746,28,48.927,"Class1",77.316,83,"D",71.167,72.296
6,"N",91.805,67.433,38,52.797,"Class1",68.236,83,"B",38.228,55.831
50,NA,87.503,33.983,13,7.418,"Class2",30.94,50,"R",43.308,32.62
51,"Y",89.298,59.388,22,15.485,"Class2",21.173,42,"N",40.647,25.69
76,NA,93.397,15.799,27,42.658,"Class3",68.535,21,"L",70.414,23.615
11,"N",93.476,77.632,41,36.608,"Class1",61.646,82,"R",80.497,59.391
48,NA,88.405,-16.731,13,28.543,"Class2",17.959,14,"N",27.211,32.389
51,"O",80.071,13.134,55,21.008,"Class3",60.417,38,"L",68.202,25.202
44,"S",81.378,12.174,50,65.279,"Class3",33.344,75,"T",73.121,24.164
51,"K",87.488,82.258,6,16.649,"Class2",30.619,39,"C",50.5,23.438
3,"C",91.617,43.143,66,60.204,"Class1",85.34,83,"B",78.701,64.496
2,"C",92.394,63.829,46,55.999,"Class1",87.869,83,"R",47.859,63.452
10,"C",92.78,-4.438,46,55.064,"Class1",80.904,82,"R",70.862,62.529
47,"W",87.778,123.175,8,32.232,"Class2",6.169,23,"N",50.656,29.291
17,"C",93.015,85.399,30,60.629,"Class1",64.747,82,"B",69.784,70.219
48,"K",86.975,6.699,25,25.506,"Class2",12.956,35,"M",34.919,28.69
5,"D",94.129,53.007,67,41.134,"Class1",75.198,82,"B",86.437,64.729
12,"P",91.107,44.387,33,71.04,"Class1",62.233,83,"B",52.407,68.769
61,"K",81.655,12.154,40,64.671,"Class3",74.244,73,"L",81.24,40.2
69,"K",90.671,12.86,63,23.142,"Class3",34.432,60,"D",66.608,38.76
2,"C",91.834,49.775,66,44.73,"Class1",81.445,83,"R",42.189,60.673
44,"F",90.033,10.018,73,48.513,"Class3",50.504,24,"T",64.842,33.276
50,"M",88.034,42.383,10,23.875,"Class2",21.422,36,"R",50.119,23.786
60,"I",84.995,10.11,85,36.355,"Class3",73.914,33,NA,80.711,22.786
50,"W",88.968,31.473,10,25.364,"Class2",37.04,34,"M",58.474,25.322
55,"I",73.045,12.14,37,56.442,"Class3",69.799,80,"X",78.791,34.535
13,"D",92.247,75.496,69,72.283,"Class1",82.655,82,"R",77.126,68.055
58,"O",61.188,12.762,84,51.43,"Class3",33.337,81,"L",71.893,15.815
55,"S",66.154,14.367,46,24.578,"Class3",37.667,39,"T",81.755,30.543
85,"I",82.435,12.864,86,55.123,"Class3",53.081,68,"L",72.972,13.165
46,"K",88.182,41.257,12,31.707,"Class2",21.642,39,"X",39.378,24.304
7,"D",92.378,82.825,57,61.106,"Class1",50.671,82,"Z",85.645,76.161
11,"C",94.116,49.371,42,31.904,"Class1",59.059,83,"B",70.605,73.511
13,"N",91.516,54.254,25,69.127,"Class1",74.588,83,NA,62.544,63.649
46,"K",86.718,74.786,29,13.192,"Class2",36.604,47,"M",59.874,27.212
50,"M",87.34,59.39,3,29.226,"Class2",4.691,41,"M",32.141,29.843
50,"W",89.44,14.449,28,16.96,"Class2",27.24,52,NA,19.075,27.176
13,"Y",91.693,68.875,42,72.137,"Class1",60.227,82,"W",51.533,67.464
85,"K",81.977,12.348,62,56.088,"Class3",48.763,21,"T",77.956,15.705
58,"O",62.34,14.305,43,31.759,"Class3",63.055,80,"X",80.656,19.692
83,"S",81.586,11.776,43,56.588,"Class3",33.581,50,"X",75.856,43.009
7,NA,92.771,-13.261,33,53.433,"Class1",64.733,82,"W",50.888,67.038
46,"Y",88.25,32.918,15,30.052,"Class2",4.795,51,NA,3.698,27.755
51,"J",89.21,20.115,11,23.173,"Class2",9.823,15,"R",59.992,30.02
49,"J",87.195,77.404,20,4.639,"Class2",33.66,52,"R",61.266,24.634
55,"K",92.57,10.648,36,63.014,"Class3",72.303,60,"J",84.257,40.748
48,"S",80.754,12.87,82,48.48,"Class3",67.268,21,"X",84.931,24.961
82,"O",79.71,14.839,69,38.859,"Class3",55.971,69,NA,68.427,21.095
4,"Y",92.381,86.666,35,56.652,"Class1",78.577,82,"B",68.491,65.251
64,"O",75.227,11.227,30,24.413,"Class3",35.574,74,"X",77.66,26.365
48,"K",80.717,13.177,64,27.804,"Class3",54.054,22,"X",65.782,19.761
48,"K",89.063,67.405,30,19.225,"Class2",42.28,53,"C",39.072,25.097
15,"P",92.096,33.438,53,33.981,"Class1",66.274,83,"W",62.034,64.586
47,"Y",88.863,70.235,6,5.52,"Class2",33.707,11,"R",56.796,21.136
79,"I",76.277,16.381,52,55.726,"Class3",56.059,44,"D",80.465,26.711
7,"C",91.377,49.045,28,56.593,"Class1",48.481,82,"B",61.595,65.694
7,"P",92.829,10.573,32,47.776,"Class1",90.548,83,"B",34.282,74.499
8,"P",92.658,27.264,67,35.018,"Class1",79.514,83,"W",89.174,58.645
51,"K",88.021,39.032,18,29.26,"Class2",30.813,31,"N",12.734,27.277
44,"I",70.946,15.339,80,44.599,"Class3",47.43,74,"T",66.047,30.786
51,"M",88.637,-37.296,28,24.915,"Class2",7.582,27,"X",20.529,24.988
51,"J",87.217,16.502,2,21.057,"Class2",4.636,22,"N",55.077,26.929
48,"J",88.632,-8.249,2,12.325,"Class2",11.61,26,"M",58.557,29.976
16,"D",91.058,80.209,23,51.396,"Class1",67.653,83,"D",89.806,56.216
49,"W",89.942,12.315,11,31.482,"Class2",23.858,19,"M",17.784,29.845
4,"N",92.945,18.01,60,55.91,"Class1",61.667,83,"D",64.87,60.264
10,"N",93.147,67.143,45,71.133,"Class1",63.386,82,"D",67.197,80.813
50,"K",89.563,44.252,28,9.208,"Class2",41.238,18,"C",55.52,27.983
68,"I",86.59,13.488,66,54.839,"Class3",73.665,27,"L",67.912,17.23
49,"W",88.428,15.384,21,35.206,"Class2",36.396,24,"R",38.67,26.214
14,"P",94.031,57.491,49,29.095,"Class1",56.11,82,"R",48.641,74.453
7,"Y",92.302,34.246,42,40.897,"Class1",67.27,83,"W",39.447,64.57
46,"Y",88.223,95.839,3,6.532,"Class2",28.912,57,"X",55.277,19.983
47,"Y",89.178,52.007,27,16.026,"Class2",38.076,30,NA,4.806,28.288
81,"F",85.628,9.891,49,48.406,"Class3",80.929,63,"T",71.316,14.37
4,"Y",92.757,69.183,54,24.043,"Class1",67.474,83,"Z",61.927,58.203
18,"C",91.253,39.3,52,67.748,"Class1",68.821,83,"Z",33.193,69.184
51,"K",89.828,53.634,4,34.382,"Class2",18.644,31,"N",28.726,26.835
11,"Y",93.109,64.419,61,61.201,"Class1",70.79,83,"D",52.614,60.581
81,"O",80.494,12.369,59,23.578,"Class3",39.941,76,"D",69.477,24.926
46,"O",80.241,12.315,31,30.946,"Class3",37.783,34,"T",78.743,30.002
69,"I",51.786,11.844,68,48.326,"Class3",62.339,37,"T",81.825,14.892
60,"F",76.532,16.336,71,21.166,"Class3",48.643,54,"L",72.671,19.01
58,"K",71.252,14.91,35,32.882,"Class3",75.524,65,"D",72.257,18.668
16,"D",92.84,75.976,62,69.432,"Class1",58.954,82,"W",41.921,70.197
2,"D",93.509,38.943,51,49.781,"Class1",57.332,82,"W",36.033,66.742
57,"I",82.56,10.806,56,25.161,"Class3",26.751,55,"J",75.3,12.213
18,"C",91.619,45.888,63,61.739,"Class1",69.358,83,"Z",66.899,65.151
6,"Y",90.614,76.698,44,55.329,"Class1",90.233,83,"D",35.257,64.895
47,"K",87.87,34.405,18,13.028,"Class2",5.952,34,"R",6.372,29.047
48,"F",58.191,11.661,59,56.844,"Class3",43.791,30,"X",64.575,12.95
48,"W",89.155,63.031,28,32.271,"Class2",16.683,18,"X",33.359,25.2
6,"Y",91.552,33.483,23,22.188,"Class1",69.978,83,"W",58.145,62.065
48,"Y",87.81,97.532,14,8.007,"Class2",12.928,17,"X",42.274,26.048
1,"C",93.211,-24.483,32,56.03,"Class1",75.116,82,"Z",55.242,62.714
8,"N",92.564,17.656,56,41.802,"Class1",58.864,82,"W",46.488,57.817
12,"Y",92.613,44.099,72,73.845,"Class1",82.539,82,"Z",68.443,65.621
71,"O",84.786,14.106,76,53.852,"Class3",64.784,46,"D",75.799,12.454
17,"Y",93.429,29.729,72,62.345,"Class1",68.614,83,"B",63.303,61.697
51,"W",88.893,74.035,23,23.776,"Class2",29.704,26,"C",27.321,27.299
81,"O",94.57,13.376,85,32.77,"Class3",52.435,51,"J",78.853,20.657
47,"K",69.613,12.08,75,46.574,"Class3",49.404,51,"J",71.16,23.927
7,"P",92.16,20.925,44,35.958,"Class1",48.561,83,"Z",60.276,75.63
60,"O",103.764,14.524,36,47.157,"Class3",68.388,76,"T",68.363,19.743
65,NA,70.154,11.413,65,23.584,"Class3",31.362,65,"T",67.92,45.677
79,"K",88.281,16.25,28,21.196,"Class3",27.079,23,"L",66.215,17.29
1,"Y",93.873,52.912,42,62.951,"Class1",64.363,82,"B",83.277,61.025
48,NA,89.091,36.262,17,31.517,"Class2",34.907,25,"X",21.997,35.076
68,"S",97.661,12.319,80,61.761,"Class3",67.794,32,"X",84.237,24.887
4,NA,92.139,90.154,62,44.952,"Class1",88.161,82,"Z",36.06,58.19
49,"K",88.149,126.534,9,7.844,"Class2",39.155,25,"R",5.639,32.774
51,"W",87.563,2.675,15,6.75,"Class2",22.184,60,"M",17.079,32.075
46,"J",87.897,30.324,16,29.105,"Class2",34.79,39,"N",47.249,30.368
2,"C",92.422,88.415,46,29.693,"Class1",88.994,83,"B",73.346,68.333
4,"D",93.159,24.756,30,41.124,"Class1",53.654,82,"B",33.708,70.257
54,"K",75.897,9.898,31,35.981,"Class3",73.412,59,"L",71.1,10.268
14,"N",92.291,66.141,23,39.011,"Class1",52.259,82,"D",86.436,61.79
7,"N",93.609,77.14,56,22.6,"Class1",57.466,82,"Z",83.509,63.607
12,"Y",93,74.408,25,46.002,"Class1",61.805,83,"Z",50.985,65.282
6,"D",92.214,36.899,45,44.882,"Class1",87.303,82,"B",77.259,66.062
48,"W",89.066,97.545,10,35.185,"Class2",35.598,36,"M",6.54,25.97
49,"J",89.348,79.495,21,12.791,"Class2",14.738,53,"X",15.953,29.712
14,"P",92.514,30.425,60,46.929,"Class1",48.593,83,"R",67.633,58.318
61,"K",84.174,13.639,79,63.478,"Class3",77.711,43,"L",81.201,29.717
85,"S",95.256,14.115,58,54.336,"Class3",28.239,37,"T",77.139,37.544
49,"J",88.885,59.276,20,5.85,"Class2",29.91,30,"R",32.463,19.52
51,"M",85.638,48.978,3,14.431,"Class2",8.185,46,"R",20.921,28.661
59,"F",96.293,14.083,34,61.468,"Class3",46.808,55,"X",80.814,10.966
49,"J",88.031,32.634,24,17.868,"Class2",33.233,34,"N",61.996,25.757
16,"N",93.36,4.927,37,64.094,"Class1",71.385,82,"W",36.613,65.208
50,"W",89.256,45.047,10,12.913,"Class2",21.212,27,"C",11.108,28.761
50,"M",88.563,29.221,27,3.247,"Class2",26.198,22,"C",28.123,27.23
7,"P",92.371,54.41,46,74.05,"Class1",61.603,83,"D",39.31,66.153
3,"C",91.835,49.232,23,57.388,"Class1",67.11,82,"D",60.392,67.181
8,"D",90.316,38.989,26,46.33,"Class1",64.481,83,"W",44.284,64.99
15,"D",93.154,17.168,32,74.364,"Class1",86.34,82,"Z",55.705,62.014
5,"N",92.582,18.164,55,68.564,"Class1",68.835,82,NA,71.459,60.965
51,"W",88.009,32.511,5,19.359,"Class2",4.021,58,"X",9.681,27.71
46,"M",89.119,26.35,3,26.326,"Class2",28.624,50,"X",57.811,24.27
75,"F",77.727,12.089,59,62.797,"Class3",30.285,27,"J",83.951,32.608
10,NA,93.664,39.756,36,35.432,"Class1",60.109,82,"W",82.817,80.727
50,"W",91.756,41.832,29,3.549,"Class2",17.302,20,"R",9.722,28.342
46,"W",89.212,47.756,16,25.917,"Class2",20.569,40,"X",25.044,26.28
50,"J",87.386,48.705,15,7.83,"Class2",39.128,56,"C",11.412,25.088
47,"J",86.623,21.214,30,4.831,"Class2",21.303,15,"X",54.969,30.067
12,"Y",92.301,91.919,37,52.976,"Class1",87.986,82,"W",56.501,62.821
50,"M",90.371,59.312,16,18.859,"Class2",29.79,40,"C",38.113,24.106
51,"Y",89.641,86.141,29,14.946,"Class2",5.66,57,"N",25.727,31.421
14,"N",91.987,44.722,43,58.962,"Class1",58.293,82,"B",55.834,58.476
47,"W",88.718,74.204,11,8.43,"Class2",33.964,43,"M",35.071,25.773
63,"O",68.496,14.071,69,38.442,"Class3",42.518,76,"D",73.902,2.785
7,"P",91.24,84.294,25,26.761,"Class1",80.119,82,"B",51.387,62.325
8,"Y",92.757,55.815,42,30.632,"Class1",63.189,83,NA,88.23,72.694
55,"I",52.321,11.424,83,52.009,"Class3",43.886,25,"D",77.687,19.598
75,"F",76.965,11.518,81,48.419,"Class3",78.708,47,"L",76.452,15.527
74,"K",91.564,12.009,60,59.504,"Class3",64.796,65,"J",72.522,33.382
11,"N",92.089,52.389,46,71.031,"Class1",88.841,83,"B",43.573,66.548
7,"C",90.28,74.929,55,34.591,"Class1",65.955,83,"Z",87.286,61.009
12,"P",95.099,17.12,37,56.421,"Class1",76.543,82,"W",80.802,63.654
47,"F",63.222,12.96,80,53.052,"Class3",45.948,60,"J",80.036,17.25
8,"N",92.376,70.028,27,39.17,"Class1",84.949,82,"W",77.202,66.911
15,"N",92.795,100.648,35,46.416,"Class1",79.92,83,NA,91.465,59.278
10,"P",92.872,33.35,65,48.784,"Class1",65.597,83,"B",43.04,68.333
9,"Y",91.411,55.909,72,50.6,"Class1",71.641,82,"W",83.136,62.841
3,NA,92.526,58.304,61,72.304,"Class1",86.487,83,"D",76.57,63.95
81,"K",64.853,13.146,62,41.791,"Class3",67.865,60,"T",62.892,38.075
4,"D",92.997,70.257,48,28.784,"Class1",70.642,82,NA,40.044,56.631
58,"S",71.644,13.924,39,46.852,"Class3",50.123,48,"L",76.636,2.808
42,"F",76.546,13.025,28,46.795,"Class3",75.535,42,NA,68.449,21.486
51,"W",88.085,-30.959,10,17.486,"Class2",9.324,33,"R",55.65,29.979
67,"O",65.707,12.571,51,52.281,"Class3",71.908,44,"L",84.035,5.88
48,"M",90.157,91.223,17,5.124,"Class2",21.103,56,"C",45.01,25.49
4,"C",91.989,44.922,24,73.454,"Class1",55.457,82,"D",53.291,63.48
72,"I",77.701,12.814,74,38.499,"Class3",38.896,21,"J",76.904,25.018
69,"O",71.193,13.34,69,33.312,"Class3",72.313,36,"T",83.614,32.212
5,"N",91.774,46.286,64,59.901,"Class1",79.319,82,"W",47.205,69.771
18,"C",92.986,107.23,23,70.81,"Class1",69.002,82,"B",56.864,62.341
18,"P",91.703,75.969,64,29.949,"Class1",79.371,82,"D",42.936,55.408
6,"Y",92.927,62.412,32,50.373,"Class1",76.958,83,"D",84.086,68.279
51,"Y",88.49,50.609,14,31.127,"Class2",12.586,57,"X",4.17,25.233
46,"J",87.245,84.788,5,35.56,"Class2",6.017,35,NA,41.668,28.761
46,"K",87.999,48.068,2,14.591,"Class2",9.142,55,NA,25.776,27.27
59,"F",72.862,16.603,52,43.019,"Class3",29.674,23,"T",84.35,36.309
61,"I",83.829,12.316,59,30.573,"Class3",32.826,40,"T",68.593,22.942
8,"D",90.575,80.846,46,36.573,"Class1",54.436,82,"D",66.739,65.04
67,"O",77.505,12.377,41,39.933,"Class3",80.167,55,"D",64.423,26.892
49,NA,88.427,60.1,30,20.162,"Class2",29.891,50,"N",33.406,24.229
50,NA,88.37,17.35,16,13.22,"Class2",40.118,56,"R",50.193,30.776
82,"O",109.617,10.9,27,54.232,"Class3",69.023,26,"J",75.966,21.503
80,"S",58.848,11.819,31,58.631,"Class3",74.661,67,"T",72.656,24.649
51,"M",89.573,24.133,18,21.325,"Class2",30.053,26,"N",48.044,27.091
58,"K",69.336,14.678,72,23.017,"Class3",80.384,39,"J",75.252,21.208
69,"I",92.107,14.639,82,50.642,"Class3",61.651,49,"X",79.29,14.413
80,"F",76.883,11.793,35,63.859,"Class3",36.006,71,"X",77.579,21.993
48,"J",89.574,22.581,4,35.288,"Class2",6.468,37,"R",57.619,23.796
51,"Y",88.267,94.394,12,28.26,"Class2",34.816,31,"C",62.519,26.632
8,"P",90.665,82.429,59,37.756,"Class1",72.719,82,"R",43.776,61.229
16,"P",91.594,51.096,72,39.291,"Class1",64.681,82,"Z",54.695,61.443
74,"S",98.498,12.332,73,45.232,"Class3",46.342,41,"L",72.491,29.396
55,"O",84.428,13.945,45,60.905,"Class3",73.867,67,"T",83.797,26.501
