"R1","R2","R3","R4","Output17","R5","R6","R7","R8","R9","R10","R11"
42.955,67,43,"B","Class2",72.216,57.689,17.434,61.282,"W",47,55.727
42.489,63,38,"L","Class2",54.254,NA,19.291,60.154,"I",29,51.867
36.736,12,89,"I","Class1",63.366,49.325,75.717,58.173,"E",56,93.31
42.152,46,37,"S","Class2",31.413,58.85,44.275,70.458,"F",75,56.059
62.026,51,59,"G","Class3",8.823,70.21,59.162,59.299,"O",63,86.233
42.271,42,33,"S","Class2",56.12,59.303,52.246,11.82,"B",58,47.135
50.385,90,58,"G","Class3",4.483,69.35,64.937,63.443,"L",60,83.519
40.994,92,60,"G","Class3",41.547,72.139,57.807,50.289,"O",61,66.915
47.962,34,57,"B","Class3",73.07,75.75,63.565,57.864,"L",52,48.685
42.561,66,36,"S","Class2",32.235,58.819,55.947,80.79,"I",53,56.171
42.437,46,42,"M","Class2",76.376,58.108,33.458,37.364,"W",50,57.791
75.951,55,61,"V","Class3",51.436,72.317,70.424,57.674,"O",54,24.766
15.251,33,85,"I","Class1",79.931,49.643,93.843,60.67,"Q",21,82.532
42.718,62,42,"X","Class2",56.578,57.689,42.529,22.426,"I",56,58.042
48.003,32,87,"Z","Class1",64.618,49.728,90.994,58.283,"S",74,98.333
18.231,30,90,"I","Class1",60.842,50.297,96.643,60.099,"Q",56,92.299
6.821,71,59,"B","Class3",9.558,77.727,68.859,44.775,"S",61,41.609
42.589,74,44,"S","Class2",74.999,57.604,49.921,12.929,"W",60,47.938
59.197,25,88,"W","Class1",77.369,NA,85.886,59.02,"E",61,93.144
45.457,62,60,"S","Class3",31.522,70.815,63.628,54.132,"O",60,-3.485
55.031,82,57,"B","Class3",60.824,48.79,71.748,55.431,"S",62,25.6
12.379,56,60,"Z","Class3",56.353,54.844,66.613,64.713,"S",53,70.5
42.115,43,38,"M","Class2",31.249,59.185,52.289,82.316,"C",44,51.728
40.908,61,60,"Z","Class3",60.251,76.151,63.874,49.823,"L",54,71.747
61.523,16,90,"Z","Class1",72.081,49.152,78.586,58.89,"S",25,86.156
64.557,17,87,"I","Class1",73.734,49.584,76.369,60.321,"S",44,89.627
52.323,58,60,"S","Class3",54.498,65.986,61.008,63.117,"L",57,38.925
42.621,45,35,"X","Class2",16.01,58.476,72.398,27.535,"W",41,49.401
61.664,87,60,"G","Class3",12.281,85.761,58.598,54.707,"L",55,3.643
71.948,25,91,"P","Class1",80.163,49.589,79.388,57.182,"Q",37,87.729
101.442,21,85,"K","Class1",76.361,49.439,90.202,57.451,"S",20,90.135
24.239,24,86,"P","Class1",75.343,49.988,76.541,59.219,"A",80,100.269
55.416,82,55,"Z","Class3",22.987,61.304,63.557,47.298,"S",55,61.749
43.031,75,31,"X","Class2",76.824,57.782,24.016,20.473,"W",34,46.679
25.373,18,89,"K","Class1",79.162,49.994,87.843,60.814,"Y",68,99.335
30.808,39,90,"W","Class1",63.683,49.112,81.991,60.58,"Y",59,86.558
42.4,69,36,"M","Class2",29.448,58.915,26.33,85.836,"W",39,51.982
37.998,40,86,"K","Class1",86.078,48.971,91.563,57.105,"A",75,92.648
57.985,32,90,"W","Class1",73.854,49.722,81.18,60.288,"E",31,93.738
41.906,37,31,"B","Class2",61.211,58.479,71.276,14.745,"C",50,55.909
69.982,35,89,"W","Class1",65.477,NA,85.705,59.704,"Q",60,85.408
48.616,86,60,"S","Class3",49.447,67.058,67.768,53.55,"L",62,24.858
56.181,25,85,"P","Class1",69.124,49.334,77.209,58.086,"Q",81,86.025
26.855,18,87,"W","Class1",84.656,49.328,86.272,57.312,"Y",25,96.484
69.822,30,58,"S","Class3",47.665,70.024,61.273,61.319,"N",57,109.348
42.337,44,32,"M","Class2",34.616,58.054,38.397,74.695,"B",67,48.442
42.438,40,34,"X","Class2",15.117,57.989,74.505,30.75,"I",76,52.129
35.37,61,58,"S","Class3",40.78,63.014,62.135,52.902,"S",52,54.462
70.158,7,90,"K","Class1",87.474,49.459,74.372,59.23,"S",55,93.204
90.357,24,91,"W","Class1",88.162,49.471,80.731,60.173,"E",33,93.151
54.251,18,91,"Z","Class1",86.582,49.933,83.368,58.438,"Q",43,93.145
42.439,49,34,"M","Class2",72.102,58.163,62.194,74.511,"F",NA,54.138
96.296,90,55,"S","Class3",72.99,77.878,66.174,51.047,"S",61,50.548
42.044,57,33,"B","Class2",55.282,57.847,49.856,84.132,"B",75,49.16
69.292,38,56,"G","Class3",26.922,62.383,64.89,55.491,"O",58,50.82
42.897,38,30,"X","Class2",82.349,58.54,60.14,60.701,"C",73,54.492
42.864,33,39,"M","Class2",32.421,57.739,25.618,24.67,"F",23,64.529
37.867,96,56,"S","Class3",68.039,65.6,71.174,46.098,"A",52,69.843
42.26,87,61,"V","Class3",12.564,66.972,66.239,52.362,"L",59,29.921
34.59,67,57,"S","Class3",9.052,61.861,67.854,55.057,"A",60,72.129
42.679,61,31,"L","Class2",25.747,57.485,23.137,7.356,"B",46,59.064
-0.966,40,86,"Z","Class1",85.357,49.556,89.317,60.051,"E",NA,86.622
-16.128,8,86,"P","Class1",69.499,49.569,94.308,59.716,"Q",67,87.964
76.209,27,88,"P","Class1",69.512,49.216,93.186,58.212,"S",83,90.827
18.878,89,61,"V","Class3",58.7,73.245,67.672,54.217,"N",57,51.503
42.324,75,34,"L","Class2",43.61,59.019,44.989,77.124,"B",79,45.544
71.423,47,57,"V","Class3",6.422,50.724,61.172,62.112,"N",51,75.483
23.336,96,55,"G","Class3",62.16,54.007,69.743,49.039,"A",51,114.23
58.749,53,61,"S","Class3",36.877,80.463,70.064,63.074,"L",59,56.772
47.212,62,61,"G","Class3",4.273,69.154,67.27,59.155,"O",51,62.407
42.225,69,31,"X","Class2",26.706,58.516,69.902,80.234,"I",61,62.806
42.579,63,31,"B","Class2",45.95,57.66,37.903,43.722,"I",68,55.296
29.739,20,86,"K","Class1",59.741,49.622,88.808,60.422,"Q",38,104.087
23.111,17,87,"W","Class1",74.782,49.712,75.294,58.93,"S",41,95.625
44.996,11,91,"P","Class1",77.424,49.202,94.051,58.125,"Y",58,90.451
15.304,61,59,"B","Class3",53.386,60.267,62.832,40.429,"N",52,38.675
6.961,38,86,"Z","Class1",75.281,50.079,93.169,59.859,"Y",40,94.796
42.877,62,44,"B","Class2",39.57,57.871,50.683,50.851,"C",24,51.485
29.233,87,56,"V","Class3",64.756,74.14,70.375,57.655,"N",56,53.671
30.844,15,91,"I","Class1",77.616,49.762,81.93,60.068,"A",23,88.626
74.044,73,59,"S","Class3",60.94,63.163,67.967,48.945,"A",NA,59.355
33.351,25,57,"V","Class3",56.729,76.879,67.4,48.922,"A",56,41.436
53.21,85,59,"V","Class3",45.636,75.382,70.069,40.503,"S",53,45.662
34.447,97,57,"B","Class3",15.16,63.505,61.861,42.973,"N",52,66.872
111.165,30,89,"P","Class1",87.524,48.984,76.086,59.202,"A",45,78.097
22.883,41,86,"P","Class1",61.664,49.481,83.072,60.81,"Y",35,86.785
42.553,68,42,"L","Class2",39.076,57.97,18.781,45.417,"C",32,53.674
42.372,46,30,"X","Class2",77.526,57.955,64.164,51.411,"F",38,58.671
39.716,65,61,"B","Class3",4.5,76.709,59.037,53.99,"O",56,72.235
22.951,31,87,"Z","Class1",64.917,49.009,76.344,60.414,"A",25,94.251
22.456,15,91,"W","Class1",70.78,50.051,90.238,57.698,"S",74,80.697
41.941,53,36,"L","Class2",75.76,58.849,39.524,85.211,"B",30,61.934
42.468,35,37,"B","Class2",19.885,57.383,46.147,44.82,"F",46,62.529
42.235,57,30,"X","Class2",76.578,58.063,37.923,28.822,"I",62,65.302
36.633,59,55,"S","Class3",60.58,61.847,63.063,43.784,"L",54,81.554
27.666,7,90,"Z","Class1",86.34,49.71,77.692,57.364,"E",52,88.317
42.831,70,37,"M","Class2",80.42,57.517,24.157,82.98,"B",45,56.493
42.57,63,38,"X","Class2",47.123,57.169,76.015,35.271,"F",77,50.553
27.897,93,59,"V","Class3",66.454,80.599,61.692,62.3,"N",51,50.887
42.471,46,44,"L","Class2",73.673,58.575,71.87,74.845,"I",77,56.746
58.208,63,57,"G","Class3",15.053,59.83,70.375,50.306,"L",58,53.709
42.413,38,33,"S","Class2",67.814,57.677,30.107,41.418,"I",49,50.273
53.691,32,90,"Z","Class1",67.498,49.857,91.133,58.5,"Q",69,97.246
13.147,26,87,"W","Class1",78.127,NA,78.053,58.465,"Q",NA,88.478
42.343,42,31,"S","Class2",23.987,58.408,64.803,13.024,"F",75,56.107
58.872,39,57,"V","Class3",13.588,63.029,65.699,38.023,"O",56,24.797
41.942,67,36,"L","Class2",79.672,57.684,64.789,32.357,"W",62,47.463
24.899,92,56,"V","Class3",7.594,82.804,71.013,39.831,"N",57,42.911
39.944,47,57,"B","Class3",13.857,75.005,64.644,50.357,"O",52,40.801
37.515,30,56,"S","Class3",52.717,60.236,62.201,51.921,"L",62,66.481
44.094,88,59,"G","Class3",75.721,71.472,60.841,62.29,"S",59,43.497
66.84,78,59,"V","Class3",55.818,69.106,61.581,53.112,"L",56,35.326
65.531,96,61,"G","Class3",23.466,75.266,64.25,61.3,"A",60,46.599
60.589,29,60,"B","Class3",39.792,74.788,58.42,51.294,"S",56,50.825
42.741,33,40,"S","Class2",32.398,58.203,25.07,50.266,"W",67,59.806
42.953,71,43,"L","Class2",55.941,57.899,57.231,57.407,"B",73,53.996
73.102,22,86,"W","Class1",66.66,49.847,91.781,58.613,"Y",66,96.367
42.119,50,31,"M","Class2",25.836,58.352,38.275,24.454,"C",49,53.634
26.505,18,87,"W","Class1",83.844,49.539,93.814,60.626,"Q",40,87.035
37.549,47,58,"G","Class3",35.653,58.637,68.31,42.946,"L",51,41.565
60.117,96,55,"G","Class3",40.695,69.745,58.282,57.538,"N",51,55.64
42.97,39,40,"S","Class2",27.603,58.773,38.075,50.152,"I",37,56.985
31.557,13,86,"I","Class1",80.451,49.396,92.789,60,"Q",30,99.857
45.467,22,89,"I","Class1",70.587,49.796,91.364,59.244,"Q",40,96.886
23.702,34,85,"W","Class1",85.522,49.871,86.879,57.518,"Q",80,87.557
42.138,44,35,"S","Class2",21.104,58.014,75.057,7.1,"W",51,58.95
42.18,55,40,"B","Class2",19.35,58.311,28.085,66.925,"C",42,46.712
42.343,73,44,"S","Class2",46.037,58.673,44.388,56.008,"F",26,50.177
51.304,89,61,"V","Class3",56.48,71.341,60.99,59.04,"N",54,5.078
84.365,25,56,"G","Class3",40.542,68.779,60.593,51.564,"S",54,67.852
43.01,57,31,"L","Class2",45.256,57.692,47.98,44.4,"F",34,57.374
42.229,49,35,"L","Class2",76.698,NA,18.458,9.87,"W",30,48.647
28.608,30,86,"I","Class1",60.91,49.459,85.368,57.734,"S",37,89.198
42.967,52,37,"X","Class2",43.198,57.876,25.121,46.955,"C",22,55.214
26.113,33,59,"S","Class3",19.408,59.987,65.272,54.655,"A",51,57.999
43.397,33,31,"L","Class2",37.842,56.822,17.759,84.985,"F",31,58.877
61.48,32,59,"S","Class3",57.78,68.598,57.666,57.352,"S",56,71.763
29.601,24,87,"P","Class1",74.339,48.967,84.448,57.853,"A",39,96.752
42.21,37,36,"L","Class2",36.903,56.578,40.37,47.495,"C",60,47.362
43.027,51,40,"M","Class2",21.327,55.98,27.378,42.889,"W",42,45.525
47.595,66,61,"G","Class3",48.881,81.36,63.314,39.595,"N",54,58.301
69.221,38,91,"K","Class1",85.915,49.542,74.994,59.896,"E",52,88.571
29.175,30,60,"V","Class3",59.126,68.026,62.523,57.321,"O",61,24.754
42.605,75,39,"M","Class2",17.17,57.787,48.878,26.351,"B",27,50.191
50.448,89,59,"S","Class3",28.637,73.574,69.772,40.262,"S",56,31.853
42.925,46,38,"B","Class2",56.189,58.566,37.192,87.098,"W",NA,55.985
82.444,43,89,"I","Class1",62.815,49.526,84.9,59.615,"Y",20,94.276
41.867,39,39,"S","Class2",46.494,57.564,64.981,58.037,"I",48,55.474
13.153,43,91,"P","Class1",63.088,49.61,95.988,58.172,"Q",81,97.529
42.889,41,44,"B","Class2",60.886,57.78,55.884,16.746,"W",67,50.726
42.396,36,43,"X","Class2",66.061,57.07,54.418,33.115,"F",27,55.413
52.492,88,58,"V","Class3",3.658,69.684,62.051,65.018,"A",58,70.731
57.354,51,56,"S","Class3",58.547,66.111,67.929,60.285,"S",59,69.21
41.747,92,61,"B","Class3",80.579,70.298,58.804,45.373,"S",58,61.308
42.581,72,41,"S","Class2",33.316,59.209,59.542,61.315,"B",30,52.744
15.953,28,86,"K","Class1",72.054,49.571,83.921,60.116,"Y",32,90.813
69.314,23,85,"P","Class1",85.351,49.633,85.87,60.49,"E",34,103.617
38.353,21,90,"P","Class1",80.107,49.18,78.753,60.282,"Y",64,81.1
99.321,41,88,"W","Class1",76.42,50,90.254,59.452,"A",71,90.743
11.011,25,91,"I","Class1",69.923,49.248,95.511,57.597,"Y",24,93.729
42.364,46,36,"B","Class2",56.196,58.22,46.68,6.07,"W",56,53.945
42.446,47,32,"L","Class2",62.982,58.381,46.16,19.63,"B",61,55.213
49.466,11,86,"I","Class1",79.011,49.605,92.713,60.407,"E",28,101.137
42.811,42,35,"X","Class2",41.469,57.876,51.116,23.84,"C",38,53.548
49.292,11,89,"W","Class1",80.957,50.057,86.821,58.327,"Y",49,96.662
36.064,57,58,"S","Class3",14.923,NA,60.335,38.633,"A",NA,32.69
83.664,38,86,"Z","Class1",88.417,49.637,83.529,60.078,"A",82,83.293
46.029,38,91,"Z","Class1",85.072,49.303,85.839,59.909,"S",65,91.892
50.204,52,57,"Z","Class3",67.477,71.986,58.331,62.451,"A",51,50.354
67.822,97,56,"B","Class3",59.481,59.021,66.874,53.819,"N",58,79.238
9.16,93,57,"B","Class3",15.116,66.842,70.269,38.339,"N",52,81.553
42.29,36,29,"M","Class2",45.934,57.126,32.133,77.859,"F",27,55.9
55.991,39,59,"V","Class3",76.003,62.986,66.337,47.011,"N",62,64.57
56.911,17,86,"W","Class1",58.991,NA,90.576,60.049,"A",23,91.87
32.788,20,88,"I","Class1",80.709,49.141,86.873,58.239,"E",42,91.99
99.753,27,90,"W","Class1",81.526,49.537,74.219,57.145,"E",60,88.913
42.875,69,43,"M","Class2",20.843,58.137,75.495,32.123,"W",37,62.062
11.772,15,88,"P","Class1",86.177,49.58,84.842,58.877,"A",59,100.668
18.16,77,58,"Z","Class3",79.573,63.076,62.676,49.799,"A",54,80.081
90.973,33,58,"S","Class3",43.175,67.117,57.587,58.115,"A",59,87.636
42.803,43,42,"X","Class2",68.391,57.723,76.144,21.01,"W",43,46.822
43.634,14,87,"W","Class1",77.314,49.094,90.283,60.187,"A",32,90.848
58.738,32,85,"I","Class1",78.715,49.608,91.584,58.885,"S",28,89.388
42.252,74,44,"L","Class2",87.39,NA,31.706,56.095,"F",27,50.663
85.674,29,85,"I","Class1",85.689,50.004,85.234,57.159,"A",38,96.743
42.176,66,36,"M","Class2",82.58,57.955,59.149,31.539,"I",42,58.637
42.542,56,29,"B","Class2",75.219,58.839,33.311,89.72,"C",42,48.06
-14.325,32,88,"K","Class1",64.99,49.164,90.525,57.7,"Y",58,90.584
55.578,48,58,"B","Class3",53.557,69.009,57.826,54.119,"O",56,69.127
71.472,50,60,"B","Class3",37.34,70.431,61.46,47.939,"L",61,51.985
45.788,77,58,"S","Class3",58.029,57.361,71.62,56.77,"L",55,45.619
35.317,41,61,"G","Class3",31.733,70.768,59.421,43.407,"A",63,85.666
42.43,43,39,"B","Class2",86.136,58.56,33.437,13.494,"F",66,54.662
21.571,37,58,"V","Class3",6.731,73.67,70.055,55.763,"S",62,26.562
41.36,68,38,"X","Class2",61.372,58.379,48.556,35.542,"I",50,54.223
42.512,50,31,"S","Class2",79.912,57.825,73.086,7.201,"I",27,51.525
38.475,28,85,"Z","Class1",76.107,49.091,79.731,58.873,"Q",27,86.19
98.479,28,89,"I","Class1",63.909,49.955,86.618,58.129,"A",57,88.65
42.03,67,32,"B","Class2",84.966,58.985,27.356,58.589,"I",64,51.705
42.568,38,38,"L","Class2",87.165,57.556,53.984,18.249,"B",45,62.828
42.639,40,35,"L","Class2",65.873,59.4,40.244,48.823,"B",55,55.253
53.885,18,85,"I","Class1",65.802,49.592,80.438,59.276,"S",25,95.538
42.944,67,44,"X","Class2",57.907,58.719,52.479,87.375,"B",70,57.399
40.497,25,90,"Z","Class1",63.145,49.07,80.553,58.308,"A",27,93.322
24.264,44,85,"I","Class1",76.062,49.549,88.261,60.245,"Y",61,90.429
18.64,69,61,"S","Class3",54.929,NA,70.341,45.522,"L",53,70.255
19.708,26,88,"P","Class1",62.397,49.581,75.486,58.473,"A",40,92.657
95.666,47,56,"Z","Class3",80.1,NA,67.044,55.53,"S",53,60.839
42.733,43,41,"X","Class2",37.549,58.158,21.456,41.7,"F",47,44.857
43.12,21,89,"K","Class1",70.689,NA,74.237,57.22,"S",69,88.52
26.026,28,88,"W","Class1",72.696,49.253,74.868,60.326,"Y",53,94.857
42.425,70,34,"X","Class2",48.982,57.207,44.17,73.259,"B",NA,48.265
60.825,21,85,"K","Class1",87.452,50.005,88.533,58.382,"Y",68,87.852
55.573,73,56,"V","Class3",29.022,NA,59.294,51.906,"N",58,69.52
44.704,26,86,"I","Class1",76.379,49.278,92.534,58.767,"E",72,92.646
42.157,40,39,"B","Class2",54.446,57.348,35.042,50.876,"W",48,51.782
91.322,95,55,"S","Class3",68.949,82.776,71.707,53.703,"O",59,57.76
59.603,39,57,"S","Class3",38.248,78.839,70.449,59.55,"N",57,25.144
42.547,72,43,"S","Class2",37.596,57.74,52.248,56.51,"I",72,54.901
56.79,52,55,"Z","Class3",34.227,73.505,69.49,65.413,"N",55,13.136
69.669,40,56,"G","Class3",40.744,60.323,65.805,38.847,"O",60,26.646
70.298,25,57,"S","Class3",50.942,63.775,59.502,45.554,"L",61,49.432
42.825,44,33,"M","Class2",83.663,57.724,52.19,19.561,"F",38,50.269
42.493,24,86,"I","Class1",72.23,49.927,86.946,60.799,"Y",74,99.849
24.48,40,57,"B","Class3",17.063,67.589,64.69,55.807,"A",61,65.238
42.723,82,59,"V","Class3",79.794,72.703,59.868,53.567,"S",60,64.116
42.321,65,43,"M","Class2",28.099,57.219,58.312,21.842,"B",60,66.227
21.854,44,89,"Z","Class1",87.948,49.784,92.269,59.033,"Q",NA,88.317
34.356,94,59,"G","Class3",61.158,83.465,66.391,39.887,"N",57,43.088
40.637,77,59,"V","Class3",62.302,70.902,66.723,45.126,"N",53,80.791
76.201,95,59,"B","Class3",8.94,78.367,58.299,60.576,"A",55,90.906
18.603,88,58,"V","Class3",36.546,64.592,63.923,42.479,"S",63,61.363
61.636,31,87,"I","Class1",61.271,49.911,76.858,57.46,"Q",20,93.86
42.07,46,30,"S","Class2",61.686,57.992,30.172,33.498,"F",76,57.567
42.702,38,31,"X","Class2",41.894,57.159,23.322,36.087,"F",60,57.218
67.669,36,91,"I","Class1",71.477,49.539,90.837,60.849,"Y",72,96.174
40.728,21,89,"I","Class1",73.463,NA,77.425,60.484,"E",68,82.286
59.75,35,61,"B","Class3",3.101,68.787,70.966,38.992,"O",53,23.494
14.974,9,85,"K","Class1",80.706,49.563,84.157,57.22,"S",57,94.472
39.132,42,56,"S","Class3",48.895,73.914,71.343,61.653,"L",63,35.362
41.719,40,40,"B","Class2",65.372,58.046,45.311,6.719,"W",30,50.599
63.789,36,87,"K","Class1",83.478,49.585,90.398,59.194,"A",29,89.043
36.433,8,89,"W","Class1",80.43,48.942,90.454,59.668,"E",37,89.705
83.632,28,61,"Z","Class3",74.405,61.382,63.094,41.942,"N",52,49.129
42.978,88,56,"S","Class3",53.846,61.434,63.48,63.931,"S",60,79.194
95.031,28,90,"K","Class1",88.013,48.919,85.212,59.403,"S",50,94.859
21.805,48,55,"V","Class3",36.221,74.338,71.635,41.334,"O",51,50.735
4.51,9,90,"W","Class1",68.574,49.598,91.69,57.639,"Y",52,91.31
47.626,16,87,"P","Class1",70.716,49.39,91.856,58.179,"S",47,83.087
50.459,41,55,"G","Class3",42.489,76.689,61.394,50.533,"O",58,44.802
42.532,43,29,"X","Class2",73.15,57.134,55.672,88.536,"W",51,55.437
55.646,27,60,"B","Class3",41.897,69.279,60.606,38.985,"S",62,60.166
42.518,73,41,"M","Class2",24.672,57.48,54.878,30.725,"I",44,50.383
-3.893,28,91,"W","Class1",82.707,49.562,95.856,58.728,"A",20,92.115
42.171,59,41,"B","Class2",42.133,58.894,70.531,40.141,"C",45,54.114
38.196,90,56,"B","Class3",43.479,75.315,70.272,52.246,"O",59,47.255
7.153,29,86,"K","Class1",84.628,49.381,77.139,59.53,"Y",NA,85.628
61.868,86,61,"B","Class3",73.123,64.902,67.394,51.791,"N",55,33.091
42.582,64,36,"L","Class2",38.878,NA,23.924,64.174,"W",61,47.092
42.802,70,34,"B","Class2",73.843,57.592,76.626,11.87,"I",24,55.899
77.173,66,60,"B","Class3",30.982,74.541,61.802,62.771,"N",55,51.342
46.205,78,58,"G","Class3",13.128,67.317,57.983,47.874,"A",NA,73.862
42.531,40,38,"M","Class2",63.554,57.65,39.414,63.854,"B",70,55.046
39.37,29,58,"G","Class3",76.861,64.053,68.608,63.983,"L",53,8.349
60.056,68,56,"G","Class3",37.59,71.713,70.845,45.609,"A",62,-7.195
78.781,88,57,"G","Class3",66.964,64.069,68.35,58.936,"A",53,38.726
30.708,41,87,"K","Class1",69.322,49.54,81.523,60.196,"Q",79,87.043
66.136,79,56,"G","Class3",67.04,64.507,63.482,42.343,"O",59,23.162
36.981,39,88,"P","Class1",67.09,49.832,84.698,58.639,"S",26,97.283
53.626,22,86,"P","Class1",58.221,50.035,83.598,59.269,"Q",75,92.899
32.701,16,88,"Z","Class1",62.14,49.096,95.08,58.272,"Q",58,92.764
67.662,30,85,"W","Class1",63.894,49.178,94.62,60.895,"E",50,84.228
42.142,33,38,"X","Class2",42.376,58.295,27.531,73.118,"F",67,58.783
46.268,92,61,"B","Class3",29.602,82.005,66.234,65.262,"S",62,17.366
57.324,34,87,"I","Class1",66.324,49.391,86.64,58.027,"Y",81,93.49
42.067,37,90,"K","Class1",83.809,49.211,80.03,58.485,"E",61,90.211
42.067,15,89,"P","Class1",75.59,49.404,92.219,60.025,"Q",75,94.112
40.972,65,55,"V","Class3",9.266,79.564,65.894,51.892,"N",54,41.605
65.062,30,59,"S","Class3",12.387,72.687,65.184,59.04,"A",62,74.219
25.495,59,58,"V","Class3",14.948,67.161,71.082,52.489,"L",56,26.605
49.563,31,56,"V","Class3",9.267,69.094,70.746,51.214,"S",55,30.714
42.233,68,40,"X","Class2",33.531,58.774,59.622,55.66,"I",39,55.741
47.624,29,87,"I","Class1",66.354,49.453,74.623,59.246,"E",43,96.637
43.194,75,43,"X","Class2",32.94,57.84,28.424,66.854,"I",32,50.779
42.884,71,41,"S","Class2",51.314,58.467,56.512,74.76,"C",64,60.809
54.22,48,57,"B","Class3",15.683,76.648,61.741,38.679,"N",53,59.757
-2.659,74,55,"G","Class3",33.656,69.246,63.194,45.98,"N",59,59.975
68.711,10,87,"P","Class1",68.596,49.056,76.387,59.457,"S",73,94.519
56.353,25,89,"Z","Class1",65.911,49.571,94.815,57.758,"A",NA,101.422
12.265,12,88,"K","Class1",84.071,49.639,95.139,57.056,"Q",43,91.647
42.469,76,32,"X","Class2",46.432,57.947,63.455,45.193,"C",40,56.066
59.716,36,90,"P","Class1",69.344,49.602,75.31,59.361,"Y",71,91.257
47.329,83,58,"S","Class3",32.4,73.084,68.523,43.672,"L",52,30.436
43.16,65,29,"S","Class2",51.576,57.874,49.953,17.495,"C",76,53.684
42.757,51,38,"L","Class2",69.112,59.591,25.239,44.408,"I",34,63.882
20.883,28,55,"B","Class3",8.649,67.097,59.84,46.032,"N",51,68.402
42.53,59,33,"B","Class2",45.715,57.435,70.004,24.209,"I",39,49.328
43.191,50,58,"B","Class3",73.512,60.506,67.78,56.307,"L",54,15.762
42.498,62,38,"X","Class2",23.889,59.224,37.382,10.785,"C",38,57.037
35.902,76,56,"B","Class3",77.53,68.332,57.888,60.406,"S",53,71.873
74.297,32,88,"P","Class1",71.206,49.623,87.779,58.791,"S",36,85.023
42.806,54,33,"X","Class2",20.597,58.363,60.866,77.805,"C",33,51.102
47.449,52,56,"G","Class3",75.983,75.862,70.802,45.956,"S",56,17.718
30.386,53,61,"V","Class3",33.958,77.102,64.15,63.237,"S",59,18.462
80.901,15,86,"P","Class1",76.241,48.944,92.568,59.412,"A",33,100.287
99.721,19,91,"W","Class1",88.838,49.393,80.843,59.472,"E",44,96.954
12.032,19,88,"Z","Class1",62.879,49.198,94.061,58.406,"E",76,84.778
63.651,66,61,"Z","Class3",45.654,70.381,62.408,49.988,"S",55,12.483
42.643,67,37,"L","Class2",36.649,57.352,47.414,86.389,"B",40,49.485
94.008,28,56,"Z","Class3",15.107,58.154,58.76,56.313,"S",54,3.385
69.971,35,59,"Z","Class3",6.384,76.749,61.691,65.271,"N",52,25.833
49.152,41,89,"I","Class1",83.721,48.784,85.309,58.021,"A",NA,95.806
42.734,73,39,"X","Class2",20.636,58.031,26.04,39.745,"F",73,48.976
42.142,54,32,"M","Class2",28.29,57.885,28.204,23.572,"C",55,55.093
41.391,74,42,"B","Class2",70.347,58.45,73.101,37.64,"F",76,50.532
50.096,41,86,"P","Class1",83.061,49.307,87.538,58.929,"S",85,93.649
60.056,82,56,"G","Class3",10.124,62.107,64.727,57.354,"O",61,49.102
42.652,71,34,"M","Class2",17.377,57.813,30.507,67.419,"F",24,57.312
40.135,75,59,"Z","Class3",10.575,82.244,68.06,52.992,"A",52,110.574
78.764,28,85,"K","Class1",65.521,48.858,94.464,60.704,"Q",72,103.96
70.742,21,85,"I","Class1",70.145,50.168,80.022,59.444,"A",27,96.661
44.598,38,89,"W","Class1",72.59,49.623,76.222,59.057,"A",38,88.468
14.275,11,90,"P","Class1",65.886,49.526,91.529,59.311,"S",21,91.218
48.685,56,55,"G","Class3",56.187,69.587,59.999,44.604,"L",NA,69.057
42.669,38,32,"B","Class2",84.004,57.714,76.538,46.905,"W",39,53.429
45.316,42,90,"W","Class1",85.655,50.64,81.79,59.698,"E",NA,88.295
23.189,20,86,"K","Class1",76.773,49.288,89.824,59.85,"Q",57,90.579
63.42,11,90,"K","Class1",66.902,48.927,87.002,58.644,"Y",29,96.033
42.275,59,38,"B","Class2",35.374,NA,75.233,70.046,"I",51,48.419
47.669,33,90,"W","Class1",65.398,48.857,79.328,58.612,"E",85,87.119
15.779,43,89,"W","Class1",80.806,49.078,90.763,57.9,"A",33,97.397
42.649,54,42,"B","Class2",14.242,57.487,23.368,84.214,"B",49,50.049
40.254,77,59,"G","Class3",65.563,61.904,60.267,41.833,"S",51,57.169
36.585,41,87,"Z","Class1",69.736,50.059,74.95,57.14,"A",72,93.296
42.412,60,32,"B","Class2",74.52,57.296,63.956,52.804,"B",38,56.26
41.243,52,43,"L","Class2",24.147,57.832,69.973,45.77,"F",76,51.817
39.759,96,58,"G","Class3",73.576,69.341,71.968,49.473,"O",53,49.991
16.778,38,85,"Z","Class1",60.222,49.554,83.748,59.185,"E",40,92.89
40.358,29,85,"I","Class1",68.475,49.967,93.825,59.967,"Y",79,103.893
51.378,35,88,"I","Class1",87.41,49.55,93.341,60.498,"A",38,94.545
53.682,26,60,"V","Class3",38.75,68.498,71.162,63.207,"L",54,80.372
61.577,26,60,"Z","Class3",40.822,55.716,67.104,64.472,"S",58,60.109
32.106,10,91,"W","Class1",75.326,49.735,75.631,59.769,"Q",60,97.071
52.13,73,57,"B","Class3",28.418,71.821,70.088,44.495,"A",61,25.936
32.857,40,57,"B","Class3",55.805,56.936,70.856,54.707,"A",52,49.37
6.782,30,89,"K","Class1",80.986,49.439,94.951,60.415,"S",NA,88.735
