"G1","G2","G3","G4","G5","G6","G7","G8","Output6","G9","G10","G11"
91,48.378,28.01,"N",46.03,70,103.309,"S","Class2",8,46.267,11.975
25,36.174,77.173,"F",63.222,87,67.596,"W","Class1",52,53.345,39.302
16,41.848,78.969,"T",40.337,75,29.115,"M","Class1",50,56.155,38.272
72,48.168,82.508,"N",43.354,47,36.085,"B","Class2",11,28.343,20.941
92,47.325,84.88,"W",40.3,59,49.913,"R","Class2",6,51.887,15.296
24,37.127,90.508,"T",57.706,73,91.697,"F","Class1",43,60.65,30.41
38,39.719,85.004,"X",28.824,82,74.626,"F","Class1",76,60.556,23.831
76,43.543,52.549,"N",51.246,77,33.93,"Y","Class2",5,39.786,19.168
88,43.051,67.463,"V",46.898,50,71.783,"V","Class2",11,55.023,14.649
93,44.057,-1.224,"V",50.923,79,51.342,"V","Class2",8,47.344,16.224
94,44.974,45.105,"A",48.507,48,26.439,"B","Class2",12,43.175,13.895
87,48.304,64.956,"V",45.003,82,86.164,"V","Class2",16,36.864,19.169
26,36.939,85.275,"B",58.896,62,63.036,"M","Class1",75,63.466,39.569
30,41.052,71.09,"X",35.307,86,19.622,"F","Class1",54,60.671,30.374
32,48.087,80.441,"T",61.978,60,86.919,"I","Class1",79,60.915,31.218
31,42.155,79.652,"T",48.709,69,47.332,"F","Class1",47,50.928,NA
70,43.942,25.053,"A",46.321,66,70.201,"V","Class2",5,31.88,13.141
22,33.142,85.322,"M",62.176,78,56.633,"F","Class1",66,66.809,35.803
20,37.642,78.125,"B",56.025,61,25.556,"D","Class1",70,57.872,38.668
63,46.972,56.247,"W",40.06,56,58.098,"Y","Class2",7,91.053,NA
45,33.574,83.478,"F",54.753,77,39.165,"D","Class1",72,58.419,38.664
38,44.656,86.886,"X",47.082,78,19.583,"M","Class1",68,62.288,35.15
75,43.055,26.971,"N",39.455,71,32.862,"S","Class2",5,68.003,11.606
66,47.332,105.957,"I",45.949,56,69.268,"V","Class2",15,28.166,11.461
72,46.831,3.512,"I",45.277,74,41.509,"Y","Class2",6,35.656,16.522
96,45.909,44.471,"N",41.679,58,53.306,"V","Class2",5,49.555,15.718
36,50.231,91.388,"B",29.164,80,82.948,"M","Class1",53,62.185,28.989
88,45.953,48.699,"I",50.701,52,32.085,"V","Class2",12,25.047,18.031
39,49.076,89.415,"X",49.964,70,65.873,"D","Class1",44,57.076,23.669
43,46.975,82.272,"F",32.224,81,90.246,"M","Class1",54,57.048,30.916
40,45.144,84.149,"X",36.277,63,45.523,"D","Class1",54,56.537,37.329
63,46.312,60.019,"N",51.488,70,102.854,"B","Class2",10,51.405,20.511
76,44.337,11.42,"A",54.163,NA,94.46,"R","Class2",8,40.146,15.783
24,35.543,78.245,"B",44.765,78,66.604,"M","Class1",70,60.68,23.953
91,48.32,18.725,"W",41.943,78,7.62,"V","Class2",7,83.584,16.106
67,47.079,85.11,"V",41.165,55,30.838,"Y","Class2",16,36.766,11.04
33,45.944,84.687,"M",48.788,76,67.005,"M","Class1",61,60.871,35.164
32,38.043,73.929,"B",25.426,59,-7.66,"W","Class1",59,59.115,28.764
94,45.087,17.399,"V",47.555,57,53.755,"S","Class2",10,74.181,17.683
26,46.011,84.307,"T",55.364,61,52.869,"M","Class1",58,57.393,38.728
43,34.929,90.19,"T",44.134,61,80.072,"D","Class1",52,56.291,37.986
76,47.096,84.258,"N",54.83,65,43.578,"S","Class2",11,38.329,20.438
91,44.358,57.987,"A",45.157,60,42.697,"R","Class2",11,28.843,14.789
89,43.52,11.394,"A",42.158,81,21.33,"Y","Class2",13,39.441,11.713
45,37.715,83.502,"X",53.857,78,30.173,"D","Class1",67,65.112,25.268
76,46.611,23.466,"A",44.382,42,64.713,"Y","Class2",15,25.202,21.271
82,44.675,49.379,"W",49.041,46,48.008,"B","Class2",9,54.89,17.165
25,37.296,77.372,"B",51.233,88,50.571,"I","Class1",69,58.974,26.208
73,47.884,5.011,"I",50.415,51,83.338,"R","Class2",11,26.403,11.029
47,46.966,70.525,"T",52.659,84,38.948,"I","Class1",60,51.865,29.018
77,44.72,68.024,"W",49.079,54,32.44,"V","Class2",7,46.204,14.949
32,42.913,76.179,"B",62.25,76,46.47,"D","Class1",56,51.978,24.579
38,48.488,85.545,"B",49.567,77,100.358,"D","Class1",39,58.674,32.131
81,46.969,87.779,"I",50.357,43,53.727,"Y","Class2",12,11.124,16.968
97,46.229,109.649,"I",47.373,70,48.822,"R","Class2",11,33.232,20.939
79,47.154,62.412,"A",51.176,80,61.765,"R","Class2",5,16.234,18.473
71,44.716,70.829,"V",41.837,59,48.773,"R","Class2",7,42.857,20.95
94,48.548,46.09,"V",48.148,69,69.007,"B","Class2",8,79.57,NA
72,43.173,68.628,"V",43.962,51,52.1,"V","Class2",11,74.662,NA
20,37.739,72.521,"B",49.381,62,58.556,"D","Class1",38,53.817,38.552
66,43.806,28.931,"I",54.544,77,58.84,"B","Class2",9,19.285,14.023
85,44.86,-7.287,"V",39.841,72,34.118,"B","Class2",14,43.689,20.523
44,31.781,85.919,"F",52.12,86,15.636,"W","Class1",46,59.724,38.658
87,44.766,70.765,"W",39.182,48,37.143,"R","Class2",5,3.388,14.884
27,43.875,77.71,"T",41.618,68,57.532,"F","Class1",68,61.894,22.551
80,43.301,51.863,"N",47.119,61,67.962,"B","Class2",8,87.395,15.408
23,39.295,88.405,"F",60.747,64,32.142,"W","Class1",41,58.466,39.301
77,43.045,26.403,"I",49.195,44,36.548,"V","Class2",11,68.433,20.706
84,45.988,118.122,"N",47.57,56,55.143,"S","Class2",12,50.809,15.51
84,45.15,36.195,"W",42.615,72,11.986,"V","Class2",5,45.804,20.798
35,47.451,96.435,"F",45.258,61,55.58,"M","Class1",74,55.635,35.163
90,48.286,71.587,"V",40.643,79,56.022,"R","Class2",13,51.147,12.064
17,47.245,79.396,"B",54.574,86,35.162,"F","Class1",58,63.659,23.888
79,48.766,50.86,"W",52.672,48,62.551,"R","Class2",14,54.121,19.903
81,45.248,65.216,"V",45.359,55,50.14,"Y","Class2",5,17.202,14.851
69,47.737,44.501,"W",50.564,55,44.723,"V","Class2",16,28.536,13.428
25,39.3,80.125,"B",51.096,84,51.724,"D","Class1",64,65.039,25.693
90,44.29,44.524,"I",43.689,72,43.846,"V","Class2",16,13.809,16.802
24,35.712,82.421,"F",49.891,79,72.584,"W","Class1",50,61.881,33.557
82,45.95,64.754,"A",50.983,79,72.409,"Y","Class2",8,53.2,19.077
76,46.233,88.889,"I",43.891,75,56.509,"Y","Class2",15,63.834,NA
64,45.747,36.455,"A",41.272,70,62.814,"S","Class2",15,45.94,16.766
17,44.09,92.823,"T",44.547,62,31.251,"M","Class1",54,58.085,26.266
63,48.082,36.938,"W",48.509,73,59.191,"S","Class2",7,55.924,16.524
39,43.987,74.927,"B",26.73,62,32.846,"F","Class1",56,59.631,22.154
64,48.316,84.862,"A",43.68,65,60.816,"B","Class2",12,65.663,17.506
37,37.473,73.506,"B",35.056,61,69.529,"I","Class1",77,66.585,35.809
29,36.816,75.142,"T",56.704,75,43.547,"W","Class1",47,58.55,27.235
90,47.233,47.552,"W",52.838,62,40.868,"S","Class2",6,71.261,20.58
94,45.991,104.841,"W",42.642,70,59.385,"B","Class2",10,62.275,13.266
91,43.324,25.531,"N",48.975,71,59.959,"V","Class2",14,46.119,21.16
68,46.359,104.267,"I",44.29,66,65.9,"S","Class2",8,60.504,12.997
20,43.621,84.766,"M",25.481,77,35.703,"I","Class1",64,60.9,22.461
43,50.587,80.344,"B",62.16,72,16.8,"D","Class1",45,61.525,39.002
31,47.16,75.574,"T",56.833,66,68.217,"I","Class1",38,59.038,39.393
47,42.101,89.164,"B",39.386,59,81.701,"W","Class1",80,60.739,35.435
48,48.397,79.294,"F",27.977,74,54.309,"W","Class1",52,52.615,39.222
74,45.736,25.482,"A",51.219,73,53.367,"Y","Class2",16,29.544,11.51
44,36.237,83.924,"X",51.2,64,65.593,"I","Class1",58,59.715,31.46
35,34.832,88.653,"X",35.011,86,58.603,"M","Class1",48,61.787,23.846
25,33.324,85.457,"B",50.445,73,71.05,"D","Class1",47,53.504,NA
16,38.783,74.747,"F",38.839,87,43.122,"M","Class1",63,55.6,31.592
79,43.964,58.964,"A",54.014,60,63.92,"Y","Class2",16,35.957,14.139
44,32.079,94.068,"M",38.443,59,21.455,"F","Class1",62,55.051,36.085
93,44.689,61.245,"I",47.064,58,58.377,"Y","Class2",16,31.761,15.517
16,31.212,71.913,"F",54.081,71,69.762,"F","Class1",56,58.216,29.614
70,46.196,78.716,"A",48.588,53,36.772,"B","Class2",6,34.441,13.43
91,48.402,91.148,"A",43.57,68,78.799,"S","Class2",8,35.918,19.439
94,43.632,64.199,"A",39.079,42,55.301,"R","Class2",12,33.021,18.456
73,47.136,-2.442,"V",39.236,82,57.981,"S","Class2",14,63.836,15.776
20,48.491,71.719,"X",33.293,NA,73.94,"D","Class1",43,60.473,NA
78,43.535,35.713,"V",53.046,78,59.918,"Y","Class2",9,90.01,21.547
28,39.539,76.016,"X",51.556,83,53.051,"D","Class1",52,67.793,35.151
74,43.565,16.491,"A",48.897,NA,49.921,"V","Class2",16,3.656,17.767
36,30.607,75.846,"X",44.832,81,6.728,"D","Class1",60,55.209,24.376
22,44.218,83.005,"T",36.806,79,53.483,"W","Class1",66,55.476,22.477
48,34,75.761,"T",56.287,83,49.922,"F","Class1",74,49.444,32.965
30,34.84,91.27,"M",52.379,NA,44.302,"M","Class1",78,53.819,37.902
74,47.363,41.637,"V",40.021,56,4.306,"B","Class2",8,70.002,11.645
21,50.114,79.935,"T",56.483,74,43.126,"D","Class1",68,60.486,37.901
76,43.232,33.773,"I",42.637,45,42.877,"S","Class2",10,73.963,18.957
31,47.838,80.022,"X",58.754,88,44.462,"I","Class1",46,59.387,NA
65,46.763,57.65,"I",46.019,72,56.479,"S","Class2",16,38.58,11.463
48,40.573,86.213,"B",44.344,75,48.952,"M","Class1",73,66.966,22.545
21,32.877,87.858,"B",52.697,82,116.753,"D","Class1",76,56.871,34.96
45,47.015,76.884,"M",44.062,75,87.454,"M","Class1",55,57.17,27.688
67,48.859,117.21,"A",50.328,62,70.12,"B","Class2",12,42.375,21.329
20,32.337,78.327,"T",43.651,74,55.84,"D","Class1",58,54.334,35.834
82,47.316,74.444,"A",52.109,72,48.47,"V","Class2",14,36.044,14.288
96,46.812,58.551,"W",45.339,76,67.5,"B","Class2",12,44.011,16.673
25,49.795,86.713,"B",63.298,68,35.604,"F","Class1",47,62.928,38.586
86,46.398,46.504,"W",51.108,43,70.925,"V","Class2",15,33.275,15.381
78,47.244,27.199,"N",47.225,46,88.194,"B","Class2",12,24.978,18.562
80,48.749,62.892,"A",48.091,67,57.642,"R","Class2",16,22.937,21.934
24,37.838,93.853,"X",34.384,75,32.938,"I","Class1",49,59.638,34.027
64,44.572,12.649,"A",39.266,53,79.585,"B","Class2",8,60.438,16.058
38,33.624,82.61,"X",35.552,88,22.569,"D","Class1",73,59.444,24.749
32,47.255,84.115,"X",45.492,75,101.402,"M","Class1",73,60.572,22.57
73,46.486,92.512,"V",42.605,63,39.217,"Y","Class2",6,56.687,12.043
39,34.066,87.266,"B",57.864,65,59.334,"D","Class1",60,59.793,23.076
44,33.909,81.428,"M",25.971,74,-8.344,"I","Class1",50,57.737,23.796
75,48.707,76.874,"I",45.195,70,42.253,"B","Class2",12,64.87,13.856
42,30.762,86.354,"T",59.037,82,57.049,"I","Class1",59,54.57,32.153
92,48.586,46.942,"N",43.687,53,40.895,"V","Class2",5,69.054,13.533
69,43.42,121.001,"N",52.769,54,40.042,"Y","Class2",6,51.232,11.808
42,47.388,93.161,"X",42.208,63,58.595,"F","Class1",42,60.484,28.686
16,41.646,74.521,"B",59.545,63,36.016,"F","Class1",54,53.525,34.967
70,46.67,55.883,"V",43.332,65,48.954,"S","Class2",13,86.718,17.281
86,48.12,78.889,"I",49.383,70,32.664,"S","Class2",9,63.871,21.386
15,35.896,81.151,"X",49.714,NA,60.678,"M","Class1",49,56.772,NA
21,33.689,90.676,"T",63.161,73,59.362,"F","Class1",58,60.955,36.256
38,44.869,86.125,"F",53.852,59,22.012,"M","Class1",70,56.605,34.452
86,47.786,65.412,"V",41.824,63,79.172,"R","Class2",7,57.545,20.354
28,38.019,85.197,"B",40.703,59,30.43,"I","Class1",68,61.154,32.277
63,48.882,108.547,"V",52.403,64,84.554,"B","Class2",5,60.413,15.36
86,48.882,-9.562,"N",50.985,62,94.393,"V","Class2",6,61.018,13.559
91,47.799,55.071,"V",48.55,53,100.758,"Y","Class2",6,33.556,16.835
23,48.113,84.983,"B",45.599,70,53.881,"F","Class1",40,59.178,34.572
82,47.058,91.883,"A",46.244,56,14.852,"B","Class2",11,34.488,12.469
82,44.923,52.479,"A",54.93,83,47.211,"S","Class2",15,18.375,12.614
74,45.501,54.357,"A",43.039,58,65.06,"V","Class2",7,18.791,17.097
87,45.2,28.09,"V",53.987,NA,70.223,"R","Class2",11,39.112,21.029
15,37.769,88.522,"T",37.537,78,37.081,"I","Class1",71,55.694,31.187
38,30.97,88.178,"M",33.944,68,-5.022,"M","Class1",38,61.971,23.526
22,42.417,84.543,"M",54.698,74,83.663,"D","Class1",53,56.629,28.925
63,45.503,21.508,"I",41.729,57,51.411,"B","Class2",13,54.009,11.041
15,48.349,64.598,"B",29.124,68,66.67,"F","Class1",46,59.283,26.225
39,40.71,78.986,"F",45,78,60.205,"I","Class1",65,61.057,34.419
43,49.591,79.555,"B",38.928,74,52.153,"F","Class1",65,57.68,33.674
82,44.733,93.26,"N",54.175,60,43.206,"Y","Class2",11,54.427,NA
81,48.835,47.841,"A",46.018,54,63.827,"B","Class2",5,52.619,18.097
69,48.255,118.802,"W",48.65,47,82.13,"Y","Class2",7,15.893,15.128
48,50.943,81.414,"B",63.936,65,116.322,"F","Class1",73,55.182,NA
27,44.835,85.419,"X",43.867,77,22.751,"W","Class1",74,61.651,33.958
47,50.558,85.541,"B",27.771,81,8.464,"D","Class1",48,56.359,23.597
15,45.348,88.189,"T",33.677,69,57.481,"I","Class1",50,51.973,28.308
45,37.39,85.719,"T",52.49,69,23.065,"F","Class1",65,60.451,37.827
93,43.483,88.655,"V",52.005,49,59.595,"S","Class2",15,37.093,11.087
36,31.421,82.708,"B",40.288,85,40.942,"M","Class1",70,58.07,22.634
38,32.833,88.046,"F",47.961,NA,74.171,"F","Class1",75,66.83,34.252
24,35.184,75.753,"T",51.702,76,85.371,"F","Class1",66,54.757,30.516
25,44.771,91.618,"T",47.151,71,8.479,"I","Class1",57,56.166,32.028
39,34.215,82.926,"T",57.125,74,31.388,"M","Class1",76,58.891,24.937
27,39.192,86.235,"X",32.884,77,15.907,"I","Class1",43,56.874,35.129
70,47.101,35.257,"N",49.914,59,67.197,"Y","Class2",7,52.051,16.875
25,32.144,96.424,"M",42.239,78,-0.123,"M","Class1",52,57.252,39.03
93,45.778,5.151,"N",49.273,59,72.126,"S","Class2",15,57.291,19.42
67,46.442,26.287,"N",49.763,83,52.827,"V","Class2",10,30.848,12.233
78,45.59,42.084,"A",54.244,65,20.215,"S","Class2",7,61.147,13.17
29,31.826,87.616,"B",63.429,72,123.867,"F","Class1",46,56.904,23.275
74,48.722,61.41,"A",39.352,77,51.056,"R","Class2",16,71.227,13.019
27,36.494,85.792,"B",38.026,71,79.83,"W","Class1",55,56.564,36.817
94,48.169,28.387,"A",54.154,46,69.402,"S","Class2",15,20.678,18.412
28,44.164,89.847,"X",47.33,67,79.678,"F","Class1",53,56.666,35.496
71,43.446,70.323,"W",53.775,65,54.74,"S","Class2",14,56.741,12.922
30,39.843,74.513,"B",56.491,60,30.09,"W","Class1",65,57.976,34.796
74,46.619,60.972,"V",39.265,83,61.449,"Y","Class2",15,53.903,NA
48,47.642,75.818,"F",38.068,83,114.031,"D","Class1",55,51.725,32.874
64,44.192,97.489,"W",52.312,71,54.359,"V","Class2",6,45.479,19.999
74,47.389,86.694,"N",50.779,NA,36.092,"S","Class2",12,21.207,16.174
93,43.103,86.938,"A",41.128,82,90.769,"S","Class2",5,54.267,18.835
25,30.128,80.288,"F",35.286,59,85.957,"W","Class1",51,56.541,28.326
33,37.774,86.143,"B",60.491,67,77.985,"F","Class1",45,62.949,38.765
28,34.37,99.624,"B",59.502,85,82.317,"I","Class1",60,60.898,38.644
34,38.347,72.388,"T",25.883,67,30.982,"I","Class1",72,62.385,37.159
27,38.067,89.379,"F",28.955,86,73.58,"W","Class1",60,57.029,36.527
82,47.58,78.255,"A",51.216,80,71.451,"V","Class2",8,44.039,17.372
88,44.755,39.976,"V",42.295,51,21.563,"B","Class2",16,64.056,18.998
84,44.801,125.038,"A",49.679,64,55.252,"V","Class2",5,1.5,17.167
28,31.835,85.281,"M",46.504,84,41.263,"F","Class1",65,64.223,27.742
32,42.601,92.065,"X",52.566,73,44.013,"F","Class1",66,57.593,36.794
88,47.748,49.351,"I",39.703,63,66.172,"Y","Class2",8,42.941,16.362
89,47.098,112.284,"V",40.891,59,80.746,"Y","Class2",6,41.73,11.522
29,31.067,82.652,"M",28.957,78,23.826,"D","Class1",66,58.456,23.528
22,34.398,90.205,"M",29.96,NA,81.102,"I","Class1",48,55.24,36.574
96,45.829,31.315,"A",46.401,51,38.476,"R","Class2",12,35.865,13.83
77,48.189,71.634,"W",52.155,68,51.705,"B","Class2",13,38.216,21.548
87,46.398,19.647,"W",44.88,67,67.64,"B","Class2",8,82.872,16.526
36,42.72,82.381,"F",49.112,83,52.973,"W","Class1",42,62.027,27.42
80,48.009,52.945,"W",49.719,72,44.82,"Y","Class2",11,59.382,16.212
65,48.205,42.835,"N",45.84,67,57.029,"V","Class2",9,52.587,21.067
75,45.34,47.579,"W",48.706,68,34.875,"V","Class2",5,35.384,21.714
67,46.455,64.193,"A",51.465,54,66.814,"B","Class2",9,69.81,16.023
64,47.485,63.102,"A",43.443,49,83.174,"S","Class2",6,22.705,NA
91,48.494,82.841,"N",47.186,62,64.208,"B","Class2",13,14.564,21.465
38,42.834,81.177,"M",55.952,75,73.143,"F","Class1",39,58.378,25.159
20,44.253,89.526,"F",25.989,81,64.864,"M","Class1",60,60.401,28.116
19,50.09,78.681,"F",32.119,68,66.296,"I","Class1",80,60.486,39.895
81,46.694,74.394,"I",45.458,49,90.822,"S","Class2",13,43.147,12.842
35,37.429,85.086,"B",48.08,82,40.665,"D","Class1",57,62.541,30.977
81,45.26,37.841,"W",47.954,81,59.534,"Y","Class2",16,17.434,18.216
86,45.388,78.096,"W",47.628,43,49.043,"S","Class2",13,63.277,12.253
20,37.814,88.132,"T",46.217,76,56.617,"M","Class1",65,60.728,26.481
65,48.431,79.768,"W",50.992,80,99.822,"S","Class2",12,48.129,11.131
30,50.027,75.349,"X",27.92,62,25.614,"D","Class1",43,50.703,35.366
42,31.957,85.106,"M",61.133,67,40.042,"D","Class1",71,60.042,24.123
22,36.105,83.918,"M",47.125,72,40.879,"M","Class1",65,58.586,38.091
18,32.459,93.774,"T",49.435,79,63.613,"F","Class1",69,57.795,27.901
69,47.124,68.271,"V",49.674,64,33.789,"B","Class2",9,37.678,14.007
32,34.393,89.533,"X",61.429,72,27.556,"M","Class1",40,69.807,28.456
31,38.763,89.671,"B",50.556,78,48.381,"M","Class1",56,56.557,23.732
92,48.306,48.804,"I",49.614,81,13.355,"B","Class2",8,11.782,20.269
28,44.143,88.747,"X",62.211,68,37.033,"W","Class1",54,58.327,36.251
27,46.534,99.73,"B",45.533,61,52.38,"M","Class1",65,58.737,25.033
41,34.878,82.614,"F",29.094,59,70.506,"F","Class1",60,51.448,36.027
75,45.216,19.903,"I",45.037,69,45.79,"R","Class2",11,19.596,11.004
35,42.053,84.637,"T",26.544,62,94.025,"I","Class1",51,57.5,36.555
86,46.378,48.669,"N",39.077,NA,45.98,"B","Class2",12,35.474,21.244
81,48.124,84.556,"A",42.45,77,29.313,"B","Class2",13,33.302,18.211
32,50.367,89.027,"X",42.406,86,45.601,"F","Class1",60,64.096,34.113
97,45.523,137.663,"V",53.844,75,47.895,"V","Class2",5,49.342,11.43
39,41.433,87.53,"B",35.572,62,56.778,"I","Class1",43,56.866,NA
17,48.387,97.114,"F",49.578,65,80.508,"D","Class1",53,58.529,28.541
28,49.608,83.306,"T",35.541,62,78.212,"I","Class1",69,60.949,33.531
80,48.566,8.143,"I",45.465,54,52.74,"R","Class2",11,12.269,NA
29,50.014,93.695,"T",59.707,87,57.482,"D","Class1",49,60.977,28.202
74,47.31,58.933,"N",43.664,NA,45.905,"Y","Class2",5,69.672,12.398
20,38.898,77.579,"F",39.795,62,107.131,"D","Class1",42,58.765,39.173
42,32.69,71.061,"T",55.501,68,76.136,"D","Class1",76,61.551,39.983
95,47.949,32.069,"W",43.176,NA,50.788,"Y","Class2",13,57.862,14.768
20,30.529,87.295,"F",54.547,72,22.442,"W","Class1",51,60.677,29.848
20,40.121,95.17,"B",39.273,88,5.957,"I","Class1",55,57.787,26.481
97,45.643,78.695,"A",50.49,81,52.748,"R","Class2",9,36.471,19.507
66,45.836,80.477,"N",53.313,59,4.268,"R","Class2",12,61.262,19.214
92,46.869,65.344,"A",51.911,51,41.077,"Y","Class2",14,36.287,18.363
23,36.418,80.874,"X",56.609,78,31.181,"I","Class1",64,61.037,37.256
68,48.434,44.357,"W",44.41,41,54.691,"R","Class2",13,50.368,15.253
82,46.998,4.325,"I",43.847,47,74.198,"R","Class2",14,31.57,17.379
69,43.289,43.921,"A",52.276,67,15.618,"V","Class2",14,11.444,16.76
35,36.897,82.076,"M",37.816,74,67.008,"M","Class1",79,56.264,33.357
46,47.211,81.127,"F",63.869,76,79.834,"W","Class1",78,60.19,34.936
33,48.265,75.535,"M",33.877,73,46.362,"W","Class1",68,61.73,29.433
39,43.527,95.662,"M",49.018,63,-4.802,"W","Class1",49,58.996,34.828
41,35.714,95.508,"X",62.433,75,44.467,"M","Class1",47,64.492,32.262
74,43.581,55.485,"V",41.89,46,43.904,"S","Class2",8,15.44,17.796
63,44.769,84.342,"W",41.838,42,57.808,"V","Class2",6,42.268,19.473
79,45.09,71.559,"V",50.152,68,53.007,"Y","Class2",14,36.2,17.774
88,46.508,31.268,"I",50.097,68,64.421,"V","Class2",6,26.358,19.415
86,46.453,58.942,"A",41.963,72,51.639,"S","Class2",7,26.639,19.14
26,33.926,95.343,"T",27.936,82,66.72,"I","Class1",75,58.526,34.352
94,43.198,43.644,"A",50.007,NA,57.912,"B","Class2",10,60.681,16.783
33,39.175,79.674,"X",58.513,79,71.205,"M","Class1",45,54.717,29.444
75,46.814,33.512,"N",47.246,64,64.375,"R","Class2",6,46.788,13.648
37,48.46,92.528,"B",25.066,86,34.278,"D","Class1",38,58.036,25.362
22,40.495,88.098,"X",39.538,NA,34.303,"M","Class1",39,68.254,36.189
24,42.54,96.257,"X",36.277,78,60.279,"F","Class1",40,57.625,37.745
32,48.297,81.431,"T",36.241,64,77.161,"D","Class1",55,59.539,31.796
77,48.098,109.467,"I",47.853,49,35.281,"S","Class2",7,55.648,14.476
38,43.884,80.976,"X",52.529,67,38.87,"M","Class1",54,59.024,30.896
81,47.851,63.984,"W",48.647,57,71.512,"V","Class2",10,50.731,18.868
38,36.303,88.477,"F",28.801,62,72.037,"D","Class1",55,55.251,37.758
91,48.727,26.6,"V",48.349,79,22.571,"R","Class2",9,54.714,17.161
19,33.007,86.715,"T",35.531,76,90.384,"M","Class1",38,66.295,NA
30,48.643,72.647,"M",56.639,75,75.323,"W","Class1",62,55.92,27.545
39,30.09,81.791,"M",60.018,59,24.502,"I","Class1",62,59.488,35.123
34,43.285,84.429,"F",36.298,64,59.707,"D","Class1",50,59.038,27.823
88,43.038,54.461,"I",53.645,44,33.13,"R","Class2",6,49.378,15.983
94,48.974,55.034,"I",39.872,83,47.667,"R","Class2",11,33.196,16.732
24,50.083,74.437,"B",55.404,71,29.493,"M","Class1",80,63.057,24.785
20,39.789,81.08,"B",57.113,88,16.816,"I","Class1",61,59.2,30.138
31,46.051,84.196,"M",38.66,81,35.637,"I","Class1",62,68.593,35.572
29,47.774,97.528,"M",51.391,81,54.295,"M","Class1",44,62.969,38.518
40,37.876,77.949,"M",61.403,NA,33.973,"I","Class1",69,62.496,29.807
65,46.403,58.899,"W",40.039,46,41.853,"R","Class2",11,53.491,14.753
75,48.751,81.34,"I",47.802,NA,48.109,"B","Class2",15,44.381,13.742
28,32.616,85.073,"X",25.858,65,55.014,"M","Class1",46,60.333,24.152
27,33.48,71.552,"M",58.479,64,49.488,"M","Class1",62,56.977,31.969
40,38.875,83.41,"M",38.002,77,86.48,"M","Class1",51,63.531,24.519
73,47.021,80.468,"N",54.71,54,68.998,"S","Class2",10,59.388,20.15
32,45.464,86.776,"M",33.809,81,80.745,"M","Class1",43,60.348,28.765
90,45.752,21.861,"A",53.775,NA,31.794,"Y","Class2",12,29.576,19.455
45,38.243,78.927,"T",52.75,68,116.047,"W","Class1",55,61.489,31.812
65,45.905,85.656,"W",52.557,53,51.968,"Y","Class2",10,52.008,13.027
22,40.544,75.321,"T",25.606,72,71.485,"I","Class1",74,58.574,29.898
73,44.832,22.363,"N",49.362,74,41.706,"S","Class2",9,35.484,16.683
43,38.008,70.709,"F",33.083,82,50.856,"M","Class1",47,64.778,33.85
73,48.344,62.332,"N",54.111,82,42.794,"V","Class2",9,44.593,21.504
45,41.419,84.078,"M",42.935,70,55.685,"D","Class1",67,63.815,36.859
28,30.693,89.994,"F",54.088,NA,57.544,"M","Class1",73,61.725,31.701
16,37.895,76.591,"F",26.149,63,55.421,"W","Class1",73,54.536,37.022
26,47.719,79.693,"B",45.752,85,78.363,"D","Class1",72,54.079,38.775
71,47.102,23.711,"V",44.461,72,65.067,"Y","Class2",10,62.048,21.432
75,47.717,48.091,"N",47.248,NA,78.866,"V","Class2",10,37.056,20.593
66,44.263,34.677,"N",53.505,76,41.843,"S","Class2",9,45.638,11.411
69,47.94,52.462,"W",46.712,45,78.252,"R","Class2",11,33.305,14.218
95,45.169,35.706,"N",53.872,NA,59.555,"B","Class2",9,48.72,13.436
43,32.071,84.497,"X",40.053,76,3.576,"F","Class1",78,66.7,37.532
45,35.298,83.092,"B",36.279,78,58.165,"W","Class1",71,57.953,25.129
33,32.769,68.952,"T",30.348,62,40.701,"M","Class1",65,59.888,27.243
96,45.578,8.998,"W",47.198,48,69.814,"V","Class2",12,70.616,21.879
74,46.067,72.824,"W",47.458,42,65.828,"B","Class2",16,62.043,NA
17,37.294,85.95,"M",39.494,87,12.812,"D","Class1",41,59.204,25.953
24,38.606,85.149,"B",30.335,83,52.909,"M","Class1",56,63.324,39.921
78,47.748,53.092,"I",44.055,59,38.024,"R","Class2",8,24.573,21.394
31,47.251,88.863,"B",48.034,73,24.955,"D","Class1",38,55.524,33.688
22,31.858,91.771,"B",34.137,60,38.751,"I","Class1",40,56.926,NA
67,45.815,65.499,"I",45.858,64,76.254,"Y","Class2",14,37.032,12.152
97,47.823,34.016,"I",53.017,57,62.803,"Y","Class2",8,23.323,16.345
42,33.279,91.836,"T",36.003,59,70.126,"M","Class1",73,64.79,29.799
70,46.482,46.242,"I",54.961,49,50.888,"V","Class2",6,30.408,17.932
84,46.173,33.194,"W",45.712,59,41.16,"S","Class2",14,30.797,17.631
20,49.894,99.59,"F",26.141,65,66.036,"W","Class1",57,58.929,24.363
44,42.863,82.652,"X",29.464,83,35.772,"D","Class1",75,56.729,32.21
37,42.12,80.546,"B",37.846,83,53.993,"D","Class1",57,54.757,31.702
18,48.603,89.582,"B",39.225,60,41.735,"M","Class1",51,60.574,23.91
41,42.856,80.802,"M",40,NA,40.107,"D","Class1",41,58.225,30.134
63,43.261,45.064,"N",52.194,52,52.532,"R","Class2",7,55.465,21.251
93,48.049,32.535,"W",41.879,72,76.626,"B","Class2",14,42.56,16.535
