"S1","S2","S3","S4","S5","Output18","S6","S7","S8","S9","S10","S11"
"R",60.209,39,29.514,92.606,"Class2",18.027,37,"A",55,47.713,36.22
"R",64.224,33,21.439,85.19,"Class2",26.37,37,"F",63,50.307,64.117
"Z",43.478,87,38.275,10.074,"Class5",82.153,49,"N",62,37.255,60.017
"G",85.677,12,27.558,57.759,"Class1",77.009,37,"S",40,46.102,72.087
"G",86.798,47,44.483,54.088,"Class1",68.024,46,"G",31,39.03,76.647
"J",80.343,28,39.652,49.773,"Class1",90.7,32,"G",30,42.244,66.628
"N",39.429,41,40.48,42.017,"Class3",35.725,72,"A",46,66.881,50.492
"X",44.178,81,41.489,12.296,"Class5",80.403,36,"A",63,63.785,69.486
"M",33.513,83,35.189,10.75,"Class5",38.498,80,"L",54,43.535,64.217
"K",58.979,62,66.632,66.76,"Class4",21.594,29,"O",78,40.188,58.629
"Q",59.907,59,39.356,48.107,"Class3",33.169,61,NA,45,72.54,43.249
"M",77.623,35,26.202,54.517,"Class1",72.53,56,"G",33,32.636,62.607
"G",84.312,19,28.834,55.387,"Class1",81.623,30,"I",34,37.509,78.942
"S",58.273,46,63.387,79.19,"Class4",8.088,24,"S",73,35.024,79.501
"Q",93.048,7,28.465,54.362,"Class1",76.467,32,"I",36,32.117,78.611
"R",60.974,42,32.013,86.902,"Class2",39.026,37,"F",65,37.325,62.002
"R",61.858,31,22.337,82.977,"Class2",37.127,36,"A",62,41.602,52.963
"Z",42.802,81,36.476,18.716,"Class5",71.013,58,"A",19,17.447,61.159
"X",67.664,27,65.409,71.979,"Class4",12.947,35,NA,70,40.778,75.489
"K",84.239,62,68.769,73.957,"Class4",8.084,33,"O",71,39.123,92.564
"Z",55.084,58,21.898,63.836,"Class2",21.915,40,"A",60,41.862,53.293
"K",79.221,82,70.079,75.568,"Class4",24.355,30,"S",68,35.279,77.528
"J",81.546,7,29.221,55.604,"Class1",84.647,48,"I",31,35.427,75.507
"M",18.066,83,42.42,11.703,"Class5",61.712,77,"B",44,44.175,63.833
"J",10.031,66,76.494,71.628,"Class4",11.377,37,"I",74,35.057,70.846
"D",47.87,58,44.761,34.341,"Class3",65.776,75,"Z",47,61.393,43.175
"M",85,10,35.583,56.121,"Class1",79.293,48,"S",42,42.389,86.438
"H",86.868,50,29.621,62.554,"Class1",77.445,57,"E",32,43.993,78.884
"X",52.167,33,26.382,72.428,"Class2",4.782,39,"F",70,46.523,108.558
"Y",78.61,91,35.673,12.665,"Class5",82.972,62,"A",64,60.997,71.64
"R",62.511,46,21.285,76.863,"Class2",27.223,36,"O",53,48.344,64.08
"D",56.539,50,25.95,73.234,"Class2",20.171,36,"C",58,42.606,82.837
"Q",86.264,6,37.124,55.403,"Class1",83.813,55,"C",39,43.073,75.335
"K",53.596,63,62.308,59.259,"Class4",20.034,26,"V",67,39.347,86.985
"Z",57.582,41,26.358,86.09,"Class2",17.682,37,"Q",69,51.093,46.888
"M",68.275,87,28.783,13.56,"Class5",33.902,43,"N",63,70.906,66.434
"Q",16.973,40,48.72,33.487,"Class3",40.857,69,"Q",45,61.325,44.285
"M",39.799,38,73.344,71.223,"Class4",4.43,36,NA,70,42.709,73.91
"Z",58.871,31,28.32,72.281,"Class2",3.467,36,"A",69,49.481,82.649
"B",39.756,46,42.917,32.381,"Class3",32.328,72,"Q",47,64.256,42.899
"M",28.059,90,34.975,14.561,"Class5",46.707,73,"A",53,17.667,68.469
"X",63.759,54,25.45,60.101,"Class2",41.753,37,"Q",68,40.204,38.469
"B",26.303,41,46.702,43.219,"Class3",35.441,66,"O",47,61.362,46.092
"Q",77.654,11,35.909,51.195,"Class1",76.848,35,"C",33,46.155,77.71
"J",64.819,23,76.917,65.165,"Class4",5.363,18,NA,77,39.59,81.668
"X",59.059,47,32.035,66.697,"Class2",14.186,37,"F",51,46.032,41.172
"I",46.328,83,36.503,16.484,"Class5",48.94,43,"L",74,8.228,61.587
"K",73.266,42,66.123,74.096,"Class4",43.737,26,NA,73,43.639,73.423
"B",42.591,46,40.121,33.677,"Class3",41.033,68,"O",47,65.769,41.522
"J",58.064,78,74.82,55.559,"Class4",4.911,39,"O",66,35.943,95.803
"X",62.873,82,74.455,66.679,"Class4",41.274,21,"W",66,36.609,82.676
"Z",23.715,91,33.123,14.078,"Class5",64.321,30,"A",46,36.555,63.127
"Z",53.366,54,30.311,82.091,"Class2",21.925,40,NA,67,42.739,33.358
"B",36.064,53,37.852,32.282,"Class3",49.969,74,"A",47,59.869,40.995
"X",57.964,44,24.181,106.102,"Class2",40.135,36,"F",65,37.73,49.906
"S",68.348,26,74.204,63.879,"Class4",17.333,32,"W",73,34.667,77.592
"K",76.408,76,73.969,57.365,"Class4",26.889,34,"S",88,39.392,80.928
"J",42.214,26,65.694,67.069,"Class4",41.172,36,NA,80,38.129,106.245
"C",NA,54,45.042,50.503,"Class3",30.603,76,"Z",47,59.234,48.896
"Y",44.079,89,39.328,20.274,"Class5",56.373,33,"N",50,24.922,63.721
"H",78.745,23,37.248,52.891,"Class1",83.9,53,"G",35,36.428,71.355
"Z",60.505,33,24.389,78.688,"Class2",17.914,39,"F",59,47.568,54.226
"R",54.163,25,32.997,99.604,"Class2",25.023,36,"F",59,42.892,100.78
"H",90.745,37,42.256,59.563,"Class1",80.895,39,"I",40,31.968,81.472
"J",94.651,5,41.648,49.497,"Class1",90.29,62,"G",35,36.51,86.663
"C",48.013,31,19.798,75.892,"Class2",29.663,37,"F",69,34.406,63.722
"Z",7.2,84,44.078,11.053,"Class5",35.688,54,"A",67,27.834,54.496
"S",66.313,34,63.478,67.386,"Class4",19.99,27,"S",69,41.416,85.286
"M",64.618,34,61.57,54.937,"Class4",30.717,19,"O",76,37.545,71.769
"D",NA,45,34.898,70.431,"Class2",39.573,37,"F",63,37.251,79.579
"B",31.987,63,45.665,36.81,"Class3",60.886,73,"Q",46,61.939,42.072
"R",61.381,22,29.812,68.443,"Class2",27.658,36,"F",71,51.621,24.994
"K",69.688,44,67.637,69.186,"Class4",18.663,21,"O",74,37.839,82.762
"Q",91.25,28,32.007,58.631,"Class1",69.02,43,"I",39,48.91,68.548
"I",51.654,93,30.421,23.746,"Class5",49.789,29,"H",25,12.565,62.182
"X",60.15,63,32.819,75.515,"Class2",31.171,37,"F",51,39.308,37.704
"D",67.265,23,19.729,89.231,"Class2",29.782,37,"A",52,43.522,40.638
"M",39.281,81,29.983,19.866,"Class5",75.945,80,"H",28,33.741,71.644
"S",72.722,48,75.472,66.49,"Class4",43.498,20,"V",78,41.207,87.627
"B",37.375,40,39.155,42.689,"Class3",35.994,67,"A",47,62.887,43.812
"R",62.975,32,26.481,81.265,"Class2",3.256,36,"Q",71,36.427,23.452
"D",46.41,49,45.98,25.821,"Class3",60.196,61,NA,46,70.612,42.721
"Y",NA,90,35.751,9.173,"Class5",27.497,39,"B",25,38.775,66.598
"S",43.215,48,67.778,63.156,"Class4",23.741,19,"I",81,34.984,82.57
"M",81.268,4,35.661,58.776,"Class1",67.624,32,"E",39,34.563,75.164
"D",42.518,57,47.305,34.523,"Class3",36.974,62,"Q",47,63.995,43.635
"Q",46.904,52,44.567,31.918,"Class3",34.429,75,"Z",45,61.167,34.642
"C",56.24,33,32.793,94.751,"Class2",24.616,40,"Q",72,37.73,46.706
"B",38.456,57,39.339,56.185,"Class3",41.843,72,"Q",46,69.684,41.835
"C",33.593,47,47.027,33.179,"Class3",30.767,66,"W",45,70.244,41.754
"Q",42.707,55,40.755,51.845,"Class3",30.823,68,"Q",47,67.5,41.614
"Q",30.948,53,47.339,26.922,"Class3",40.2,73,"A",47,59.321,45.718
"C",11.383,42,42.951,22.871,"Class3",28.369,65,"O",45,67.761,39.152
"D",32.886,52,45.254,34.635,"Class3",47.405,76,"O",46,68.806,45.771
"X",27.013,81,33.865,15.527,"Class5",52.568,24,"N",21,55.422,66.214
"K",29.027,69,64.855,72.67,"Class4",40.44,38,"S",66,35.212,70.11
"Y",54.405,94,27.828,12.849,"Class5",67.341,28,"B",64,48.389,69.235
"Q",82.47,44,39.492,58.682,"Class1",68.096,53,"I",41,37.974,81.964
"J",47.074,45,69.92,59.51,"Class4",28.442,18,"O",85,40.06,72.487
"Q",82.82,6,32.025,56.112,"Class1",95.193,58,"I",34,31.286,82.958
"D",NA,52,43.41,33.562,"Class3",29.568,68,"W",46,71.575,49.025
"N",38.298,45,46.421,37.019,"Class3",30.197,65,"Z",46,61.977,45.104
"M",25.268,80,42.456,10.698,"Class5",83.417,73,"N",74,28.039,59.922
"H",87.893,23,30.465,63.451,"Class1",66.977,36,"I",36,32.315,81.177
"X",49.559,60,23.546,78.415,"Class2",38.476,36,"F",53,42.745,52.178
"X",30.464,95,46.809,15.779,"Class5",34.889,77,"L",29,56.801,68.321
"X",41.92,95,32.657,15.463,"Class5",39.228,35,"B",16,5.371,68.533
"K",63.285,75,70.279,73.779,"Class4",13.534,39,"V",69,36.305,72.399
"Z",41.21,91,29.68,12.506,"Class5",83.362,32,"N",69,41.177,52.397
"Q",37.686,41,43.523,18.697,"Class3",55.192,69,"Z",47,67.845,43.556
"M",77.523,37,36.582,50.834,"Class1",96.915,59,"G",31,32.81,67.106
"K",NA,29,68.065,64.962,"Class4",30.419,35,"V",66,43.7,72.954
"B",29.278,62,42.622,34.648,"Class3",52.179,61,"W",47,65.305,44.71
"C",48.255,65,39.01,26.118,"Class3",35.455,66,"W",47,67.739,44.575
"G",95.154,46,29.12,50.838,"Class1",69.004,32,NA,32,44.913,78.697
"C",51.557,40,22.182,84.671,"Class2",3.759,37,"O",53,48.616,11.91
"N",33.524,49,45.259,31.881,"Class3",43.874,67,"W",47,62.42,49.313
"M",40.931,51,76.879,69.046,"Class4",46.591,38,"V",77,34.421,77.745
"M",19.473,84,28.789,10.687,"Class5",68.458,58,"A",30,71.733,61.645
"Y",NA,80,37.216,16.086,"Class5",56.818,58,"N",17,41.271,61.022
"X",45.169,86,28.428,16.734,"Class5",44.775,65,"A",39,35.436,59.007
"M",66.972,55,73.916,61.279,"Class4",18.545,18,"I",88,35.937,85.652
"Z",57.305,60,28.255,59.988,"Class2",10.567,37,"O",48,45.416,35.701
"Q",37.959,48,44.728,42.751,"Class3",63.779,75,"W",47,70.291,45.902
"B",32.581,51,43.252,36.71,"Class3",41.603,67,"O",47,73.027,38.535
"N",27.174,41,48.96,41.592,"Class3",28.192,62,"Z",46,71.008,42.172
"M",NA,4,29.109,50.977,"Class1",76.042,34,"I",31,41.169,78.721
"J",61.047,23,66.091,62.802,"Class4",28.742,23,"O",66,38.666,69.246
"C",59.774,56,30.961,81.809,"Class2",15.291,40,"C",53,39.048,50.265
"G",NA,35,29.783,48.636,"Class1",67.959,45,"I",42,29.943,71.195
"B",32.352,59,47.92,35.831,"Class3",31.228,70,"Q",45,62.541,39.96
"Z",60.094,52,18.647,83.904,"Class2",6.026,39,NA,51,39.381,-0.756
"M",91.307,31,32.689,49.638,"Class1",69.784,53,NA,30,33.105,76.085
"X",61.285,24,21.878,69.011,"Class2",33.824,38,"F",51,47.823,20.289
"X",-2.329,82,24.46,21.47,"Class5",59.105,63,NA,39,71.259,71.363
"M",50.437,87,41.866,14.897,"Class5",53.246,48,"N",43,66.103,71.105
"X",89.73,27,69.182,73.575,"Class4",30.397,23,"O",69,37.448,87.996
"K",55.104,72,69.35,65.68,"Class4",34.589,25,"V",86,35.434,90.149
"D",58.228,42,27.161,66.732,"Class2",10.409,38,"Q",53,34.91,62.459
"G",78.893,38,44.24,52.019,"Class1",88.937,47,"G",31,36.939,63.631
"D",32.332,51,47.119,29.541,"Class3",58.95,64,"W",45,59.216,41.874
"X",64.813,58,65.818,62.585,"Class4",20.844,35,"O",78,34.49,80.303
"Q",27.098,45,48.124,32.747,"Class3",62.876,68,"Z",47,60.073,41.38
"X",43.168,35,73.821,62.961,"Class4",19.888,35,"S",67,35.015,77.57
"Z",45.244,83,44.182,18.2,"Class5",30.088,41,"B",61,74.449,67.761
"Z",32.676,89,33.984,18.655,"Class5",25.952,49,"H",24,19.375,67.534
"G",86.349,39,26.687,51.331,"Class1",94.065,35,"I",36,40.403,72.872
"C",NA,47,47.077,37.139,"Class3",53.545,71,"W",45,62.817,48.372
"D",33.793,60,45.035,35.503,"Class3",54.742,65,"Z",47,70.673,44.67
"C",54.748,51,29.405,81.079,"Class2",12.758,40,"Q",63,35.772,24.257
"D",30.627,61,39.615,34.395,"Class3",43.933,64,"A",45,60.805,44.158
"X",51.504,35,30.956,89.752,"Class2",21.971,37,"O",72,50.743,34.271
"J",84.37,21,34.79,53.869,"Class1",70.109,41,"C",32,31.165,77.482
"S",78.317,58,61.771,62.519,"Class4",8.019,36,NA,72,39.508,77.038
"J",42.3,72,66.402,60.48,"Class4",37.869,28,"O",74,38.463,97.413
"Q",83.253,10,29.445,47.361,"Class1",76.995,31,"C",38,30.244,72.236
"C",65.599,57,21.243,68.731,"Class2",17.923,36,"F",72,35.469,18.364
"Z",68.895,61,20.365,88.015,"Class2",6.573,40,"C",60,34.474,10.96
"H",84.192,12,29.272,50.75,"Class1",87.398,53,"G",36,45.94,71.609
"Z",41.27,92,46.823,16.773,"Class5",25.082,53,NA,70,39.139,54.263
"M",29.506,84,42.226,17.484,"Class5",60.974,28,"L",68,59.713,67.119
"S",72.149,30,70.29,60.956,"Class4",32.84,33,"W",68,36.001,97.802
"Y",NA,81,29.884,19.698,"Class5",43.017,77,"B",52,38.318,63.925
"J",NA,49,75.827,72.322,"Class4",14.517,19,"V",83,43.946,82.545
"X",19.516,90,30.677,12.856,"Class5",58.725,25,"A",36,49.62,68.055
"Q",82.844,27,29.686,52.656,"Class1",92.751,30,"C",30,40.501,82.118
"H",89.675,39,42.155,53.593,"Class1",69.047,49,"C",40,41.774,74.013
"M",72.205,53,72.753,62.305,"Class4",39.956,20,"S",77,39.419,92.283
"R",54.777,24,24.744,62.311,"Class2",22.655,39,"Q",48,39.348,44.247
"N",31.823,58,41.14,33.726,"Class3",36.235,75,"W",47,61.223,43.261
"N",41.785,63,42.688,46.964,"Class3",71.656,65,"W",47,62.39,41.435
"Y",38.073,93,28,15.69,"Class5",70.879,78,"B",75,57.253,70.991
"Z",41.471,94,33.164,13.335,"Class5",49.917,78,"B",61,8.254,64.317
"Z",62.611,60,27.853,80.919,"Class2",3.662,39,"O",48,45.708,56.28
"J",82.917,51,36.111,56.716,"Class1",84.577,62,"C",34,33.089,76.686
"N",36.728,54,39.611,41.117,"Class3",41.112,74,"Q",47,66.911,46.419
"J",89.811,33,28.421,60.801,"Class1",93.553,39,"C",30,33.708,74.688
"M",87.52,20,32.976,62.654,"Class1",75.048,32,"I",37,45.685,83.304
"Z",35.676,84,26.392,13.026,"Class5",40.069,28,"A",20,3.707,61.143
"K",NA,37,73.778,63.437,"Class4",45.058,38,"I",88,34.099,86.142
"Y",41.357,89,28.517,20.839,"Class5",70.999,59,"B",29,68.624,62.984
"X",67.482,91,27.462,10.922,"Class5",74.11,25,"A",54,19.761,66.6
"M",85.808,19,41.488,57.114,"Class1",85.762,46,"S",42,46.621,79.899
"X",56.187,35,20.492,85.084,"Class2",10.825,38,"Q",56,50.231,43.394
"X",63.182,40,20.35,80.69,"Class2",11.94,36,"F",70,42.44,49.727
"D",50.337,59,17.008,77.384,"Class2",30.378,38,"C",69,40.413,55.691
"Y",31.178,91,44.34,16.881,"Class5",70.646,53,"A",69,14.01,71.35
"Q",79.631,38,29.237,62.775,"Class1",79.463,62,"I",40,39.765,80.617
"I",41.694,91,43.944,15.728,"Class5",30.946,44,"H",22,59.083,67.333
"R",53.512,62,33.181,71.915,"Class2",34.061,36,NA,58,49.431,78.436
"C",63.592,43,23.608,83.176,"Class2",16.493,40,"Q",51,36.02,28.965
"H",82.879,4,44.708,54.225,"Class1",87.615,38,"C",36,40.7,78.293
"B",35.584,43,43.718,31.156,"Class3",42.971,61,"O",47,71.512,39.665
"K",77.938,77,68.836,62.45,"Class4",40.477,19,"V",71,43.852,78.515
"M",43.004,26,65.48,59.574,"Class4",9.532,24,"I",68,43.19,103.524
"S",72.305,71,71.179,71.78,"Class4",41.654,36,"I",71,40.851,83.747
"C",61.375,42,25.24,89.371,"Class2",9.303,40,"Q",62,39.933,22.125
"B",45.383,61,40.48,40.388,"Class3",30.024,61,NA,45,72.677,42.439
"N",NA,60,42.373,31.674,"Class3",44.341,69,"A",46,65.812,43.904
"C",49.26,44,43.464,51.055,"Class3",38.296,65,"Q",45,60.764,37.035
"M",88.054,12,31.015,48.751,"Class1",72.451,32,"S",40,39.377,66.397
"X",21.834,95,46.313,13.292,"Class5",50.974,71,"H",35,35.874,62.386
"N",36.305,58,43.016,35.993,"Class3",28.629,70,"W",47,72.823,46.452
"M",-6.046,93,35.893,19.188,"Class5",30.026,24,"A",19,4.715,66.448
"C",22.968,49,46.194,37.312,"Class3",48.041,72,"A",46,61.616,35.598
"M",NA,66,64.879,57.265,"Class4",4.899,24,"W",68,38.095,69.784
"M",29.611,92,30.727,13.258,"Class5",40.313,50,"A",53,44.942,58.576
"Y",40.932,80,28.925,12.242,"Class5",29.984,63,"B",29,45.287,58.873
"S",57.05,65,64.779,82.262,"Class4",26.528,36,"S",76,41.079,68.657
"B",16.012,61,39.274,27.003,"Class3",58.573,68,"O",46,67.546,42.004
"Z",56.025,36,32.083,60.238,"Class2",6.527,36,"F",65,53,46.201
"C",64.039,43,19.556,71.183,"Class2",41.998,40,"F",53,35.441,58.702
"S",53.02,57,66.833,59.873,"Class4",10.137,37,"W",80,40.462,76.992
"M",94.585,82,25.566,11.168,"Class5",41.429,75,"B",41,63.367,70.087
"D",30.872,57,46.254,42.228,"Class3",57.587,68,"A",46,72.055,42.52
"M",71.379,61,71.229,62.556,"Class4",27.756,37,"S",74,38.786,94.164
"C",59.178,22,20.874,62.634,"Class2",39.588,36,"A",65,41.966,35.998
"N",25.468,54,39.895,23.551,"Class3",54.604,75,"Q",46,71.27,49.457
"N",31.501,60,38.507,42.165,"Class3",60.26,76,"A",47,69.728,36.123
"C",38.929,63,40.504,36.118,"Class3",30.662,67,"O",46,63.177,41.853
"M",NA,80,36.766,20.394,"Class5",45.906,65,"B",28,35.021,68.221
"M",91.065,8,39.398,53.106,"Class1",75.047,53,"G",36,35.304,77.12
"J",52.174,40,69.194,67.785,"Class4",33.375,37,"I",90,41.722,86.955
"M",26.17,81,35.562,12.892,"Class5",36.587,48,"A",52,18.885,66.793
"H",86.094,5,28.78,54.47,"Class1",89.488,33,"G",32,45.035,74.491
"D",60.397,42,32.339,67.94,"Class2",23.281,39,"F",70,52.751,54.546
"X",46.745,49,20.832,71.94,"Class2",35.35,38,"C",66,50.93,4.955
"Z",57.154,43,22.69,90.79,"Class2",4.041,36,"C",53,34.509,32.593
"Q",84.626,7,44.202,47.089,"Class1",80.54,59,"G",32,40.671,72.043
"M",44.675,87,45.155,6.554,"Class5",57.576,59,"B",32,8.627,66.436
"J",83.096,13,38.097,43.971,"Class1",80.389,50,"I",42,32.433,81.78
"M",38.235,32,76.557,66.716,"Class4",25.26,20,"S",75,40.275,104.771
"M",36.514,82,74.6,61.912,"Class4",31.379,37,"V",72,36.848,98.907
"N",38.307,42,43.894,33.952,"Class3",64.054,63,"O",46,68.887,46.759
"I",35.133,83,33.549,7.689,"Class5",48.186,51,"A",52,42.383,62.528
"G",NA,5,35.696,51.289,"Class1",72.573,50,"E",42,38.096,75.331
"Z",56.414,23,26.782,82.046,"Class2",12.762,39,"A",64,46.319,36.702
"C",28.304,45,39.29,42.308,"Class3",58.557,66,"A",47,68.921,36.41
"K",53.82,25,66.593,64.934,"Class4",44.847,25,"V",88,35.429,70.724
"D",55.769,42,22.763,76.261,"Class2",31.643,39,"A",57,46.15,30.814
"H",95.814,21,26.93,57.839,"Class1",69.741,39,"G",38,30.819,77.074
"H",85.252,21,40.309,55.752,"Class1",75.132,36,"G",32,37.813,74.817
"G",90.199,44,35.231,55.379,"Class1",80.192,33,"E",42,40.56,74.245
"C",9.421,54,37.662,15.446,"Class3",53.127,63,"Z",46,67.692,41.882
"Z",18.903,90,31.789,15.566,"Class5",39.406,30,"N",76,60.917,60.036
"I",78.116,94,33.709,16.318,"Class5",81.921,54,"H",51,71.006,58.427
"C",71.283,24,30.822,75.868,"Class2",35.857,38,"C",58,44.848,19.175
"M",42.041,84,42.359,14.008,"Class5",48.918,75,"N",75,55.302,67.586
"Z",60.308,42,27.884,87.89,"Class2",19.837,36,"O",67,37.814,38.391
"X",35.697,86,27.699,12.456,"Class5",25.474,65,"N",50,68.518,60.88
"X",61.208,50,67.143,65.316,"Class4",33.366,34,NA,76,39.744,76.507
"I",22.557,91,46.373,23.122,"Class5",59.293,57,"N",63,62.226,67.169
"J",49.705,39,64.179,73.927,"Class4",45.843,29,"S",69,35.758,91.995
"B",39.144,45,47.64,40.257,"Class3",69.048,64,"O",47,60.286,48.784
"C",60.242,22,23.545,87.787,"Class2",6.997,38,"O",68,42.979,33.926
"X",56.059,53,23.103,64.529,"Class2",17.645,38,"Q",51,45.899,56.874
"D",54.433,32,34.067,92.704,"Class2",30.907,39,"C",68,50.107,58.822
"M",81.286,40,42.793,59.682,"Class1",78.943,35,"I",41,29.674,80.154
"M",31.538,38,70.857,67.024,"Class4",40.819,30,"S",68,34.123,64.472
"D",57.901,50,31.265,81.046,"Class2",1.609,40,"F",59,48.667,-18.226
"M",87.056,38,40.588,57.06,"Class1",72.281,53,NA,33,44.636,77.711
"K",71.425,54,64.738,66.381,"Class4",30.127,35,"I",83,39.618,81.898
"C",53.146,49,46.898,34.17,"Class3",56.097,72,"Q",46,62.152,37.941
"Z",20.287,87,32.086,15.172,"Class5",41.654,48,"H",41,62.263,65.631
"M",92.748,53,43.984,52.978,"Class1",90.753,51,"C",36,30.288,82.596
"C",NA,59,42.232,32.94,"Class3",28.496,67,"O",47,59.243,42.983
"Q",37.756,57,40.951,31.094,"Class3",67.721,75,"Z",47,62.697,49.533
"Z",56.856,52,26.402,81.969,"Class2",34.767,38,"A",49,35.514,92.758
"J",77.834,25,44.155,44.764,"Class1",75.803,35,"E",39,48.021,72.827
"Y",26.642,92,40.404,10.617,"Class5",74.245,46,"H",64,55.987,73.275
"Q",22.909,58,47.131,43.906,"Class3",33.254,61,"W",45,66.131,50.508
"K",72.082,48,66.337,66.559,"Class4",35.31,27,"O",80,42.431,84.91
"N",40.276,54,39.471,42.937,"Class3",41.867,75,NA,47,64.176,47.605
"R",55.053,63,28.43,66.788,"Class2",19.688,38,"C",50,40.892,7.874
"J",84.167,28,27.428,58.06,"Class1",85.869,61,"S",30,39.959,80.006
"H",80.073,22,43.187,42.369,"Class1",89.551,49,"S",32,47.13,78.479
"M",87.006,10,41.29,57.399,"Class1",72.882,33,"C",33,29.417,76.826
"C",NA,42,39.832,33.053,"Class3",44.253,76,"Q",45,59.079,44.58
"J",36.322,57,68.919,60.473,"Class4",38.781,33,"W",84,39.874,71.671
"N",35.062,49,39.171,42.597,"Class3",49.341,71,"Z",45,70.056,48.424
"J",86.524,40,34.236,57.465,"Class1",76.347,49,"I",32,34.205,68.226
"Q",NA,37,30.024,51.563,"Class1",78.652,56,"I",40,48.121,76.265
"Q",35.675,47,47.123,26.175,"Class3",49.233,64,"W",46,61.994,41.692
"H",82.582,9,43.537,56.252,"Class1",90.084,49,"C",35,42.612,78.574
"S",48.091,63,75.555,56.926,"Class4",4.3,28,"S",86,40.7,67.835
"M",-2.524,95,27.988,22.216,"Class5",62.317,79,"A",43,58.111,78.035
"X",56.699,30,33.529,94.435,"Class2",38.048,37,"O",62,49.079,59.732
"M",28.825,55,67.75,74.061,"Class4",8.25,35,"I",89,37.645,86.616
"H",83.954,29,29.037,49.533,"Class1",95.699,54,"E",35,45.318,72.384
"M",46.72,71,67.675,72.946,"Class4",32.938,29,"V",76,35.683,80.329
"C",NA,65,48.382,33.168,"Class3",29.738,65,"Z",45,64.834,44.716
"I",49.871,88,32.464,10.323,"Class5",70.385,71,"H",36,65.197,60.444
"Z",44.051,85,27.481,13.846,"Class5",81.36,57,"A",20,39.241,68.585
"K",57.646,58,71.418,62.186,"Class4",24.656,27,"I",90,39.634,87.051
"J",33.53,26,62.53,64.552,"Class4",27.921,23,"W",68,34.823,84.548
"M",94.436,5,38.792,53.752,"Class1",73.706,32,"C",33,44.91,78.013
"X",NA,67,62.32,63.244,"Class4",36.608,23,"W",86,43.767,90.939
"H",90.317,27,33.978,51.675,"Class1",83.119,57,"S",33,44.372,76.552
"B",54.313,49,48.055,41.759,"Class3",64.979,69,"W",47,61.569,50.171
"B",29.522,40,45.489,31.631,"Class3",33.685,65,"A",46,71.085,44.529
"S",44.672,33,74.978,67.88,"Class4",7.178,21,"O",72,40.445,88.677
"C",62.207,53,28.566,57.732,"Class2",10.306,40,"F",48,51.923,23.938
"Y",51.043,92,37.441,14.231,"Class5",36.037,44,"N",33,59.872,60.084
"R",NA,34,17.981,73.916,"Class2",16.15,36,"A",54,42.632,-4.489
"D",37.589,52,41.193,37.825,"Class3",67.476,69,"A",45,73.415,42.159
"C",26.397,51,40.798,36.998,"Class3",44.638,71,"W",46,71.321,42.953
"Y",78.876,94,45.813,15.634,"Class5",72.993,25,"L",16,12.406,65.628
"J",29.796,26,74.173,60.307,"Class4",33.332,35,"V",84,39.596,84.33
"X",46.038,95,32.229,14.752,"Class5",79.71,78,"H",47,67.388,61.437
"C",55.632,30,33.035,63.077,"Class2",27.815,36,"Q",62,46.334,30.613
"B",32.229,56,43.735,37.793,"Class3",66.09,67,"Z",47,70.397,47.662
"C",39.337,61,44.833,54.066,"Class3",32.094,74,"O",47,65.526,44.824
"K",47.296,75,61.243,67.395,"Class4",41.691,39,"O",88,38.438,77.369
"R",53.144,33,23.885,80.468,"Class2",22.933,37,"A",69,51.68,39.588
"X",63.853,70,63.104,75.993,"Class4",20.95,34,"W",76,41.559,84.338
"C",61.857,46,26.43,67.121,"Class2",28.115,39,"C",66,38.898,-5.136
"Q",48.058,57,37.728,40.141,"Class3",50.669,75,"W",45,64.967,49.4
"Z",62.093,30,19.393,99.204,"Class2",13.338,38,"F",64,49.286,3.144
"X",14.318,80,35.085,12.859,"Class5",57.172,40,"H",49,3.213,68.946
"X",55.654,40,28.957,80.421,"Class2",15.261,38,"C",63,48.544,64.459
"Z",69.731,21,28.09,83.548,"Class2",31.06,39,"F",72,41.815,67.095
"S",21.97,63,63.122,69.438,"Class4",39.805,21,"S",72,41.982,64.452
"G",82.927,2,36.14,52.83,"Class1",81.074,47,"G",35,31.792,76.741
"I",39.514,83,30.651,14.44,"Class5",44.937,43,"A",50,52.838,57.613
"M",61.699,53,64.456,59.065,"Class4",41.701,20,"S",72,36.494,94.224
"M",87.673,32,37.076,44.144,"Class1",95.428,57,"I",39,33.959,77.669
"S",67.874,38,73.169,65.5,"Class4",31.762,34,"V",87,41.32,60.262
"H",86.632,30,32.275,60.873,"Class1",66.049,30,"G",38,40.022,79.106
"M",54.888,38,72.891,63.286,"Class4",7.512,32,"S",65,39.902,73.34
"D",60.125,29,28.905,76.905,"Class2",6.828,38,"Q",69,39.689,53.778
"M",55.23,53,76.146,64.23,"Class4",37.372,19,"W",68,37.372,83.949
"Q",NA,63,39.174,42.406,"Class3",40.262,62,"A",47,66.415,38.291
"D",60.298,36,30.427,95.298,"Class2",36.716,39,"A",64,45.186,-11.079
"X",3.542,84,45.567,21.064,"Class5",30.928,54,"B",36,28.136,61.677
"M",88.368,44,30.6,57.139,"Class1",82.54,30,"S",41,35.882,78.917
"G",86.963,43,30.175,55.451,"Class1",96.906,53,"S",36,35.24,75.745
"N",56.383,52,40.714,22.037,"Class3",30.537,73,"W",46,60.302,44.755
"X",57.458,81,45.081,17.19,"Class5",21.811,49,"H",73,46.765,60.282
