"B1","B2","B3","B4","B5","B6","B7","B8","Output1","B9","B10","B11"
"P","Z",13.04,60,56.842,77.813,40.902,83,"Class1",24.425,64,58.971
"P","Q",11.851,12,64.737,52.001,28.313,59,"Class2",63.104,44,48.453
"C","G",6.827,12,42.441,78.248,43.406,60,"Class2",100.888,40,50.128
"R","H",19.226,62,56.592,76.478,35.249,86,"Class1",22.499,10,41.199
"C","P",4.179,13,62.079,69.184,22.392,61,"Class2",68.311,31,48.27
"V","L",13.456,12,28.93,65.111,42.1,59,"Class2",74.012,36,49.695
"J","G",16.225,74,56.121,82.587,15.228,60,"Class1",22.071,7,46.883
"V","Q",7.08,13,83.505,78.096,44.44,64,"Class2",80.819,37,47.767
"P","G",13.946,13,69.565,62.054,30.679,63,"Class2",71.328,49,48.875
"T","G",15.584,13,44.073,117.586,38.646,62,"Class2",91.888,51,48.982
"U","Q",16.076,13,69.956,45.651,36.33,56,"Class2",76.77,32,50.262
"T","D",18.643,76,56.921,82.462,31.661,83,"Class1",34.41,88,46.876
"C","P",4.834,13,58.859,67.32,29.189,47,"Class2",55.3,38,49.869
"C","L",9.7,12,32.15,110.969,42.294,51,"Class2",59.032,45,47.86
"V","L",6.204,13,76.221,92.683,38.095,46,"Class2",59.115,49,48.84
"W","Z",16.821,68,56.343,83.045,40.151,80,"Class1",40.577,33,42.037
"V","P",15.17,13,54.494,82.419,32.52,56,"Class2",66.274,47,48.107
"T","W",16.584,12,79.148,44.333,43.388,69,"Class2",72.237,46,49.128
"V","Q",12.706,12,67.859,73.498,23.274,77,"Class2",68.961,32,48.365
"J","Z",13.003,84,56.373,77.106,39.323,93,"Class1",32.471,59,78.181
"T","H",13.51,62,56.641,68.542,41.076,82,"Class1",30.166,21,75.808
"P","W",10.775,13,42.098,73.948,44.857,76,"Class2",58.146,36,49.171
"R","D",34.947,82,56.955,81.246,28.217,51,"Class1",34.945,34,20.001
"T","A",33.325,65,56.122,84.9,21.463,95,"Class1",33.781,26,90.405
"W","H",27.466,59,56.443,79.319,23.156,53,"Class1",32.04,60,88.128
"T","L",7.404,12,42.664,70.978,34.512,57,"Class2",75.596,46,47.347
"U","W",16.295,13,35.372,65.556,22.022,68,"Class2",80.098,32,46
"P","G",30.946,59,56.941,82.031,29.323,68,"Class1",27.851,25,58.181
"W","G",11.147,63,56.832,77.296,23.485,53,"Class1",31.959,43,30.503
"T","D",10.792,75,56.878,85.336,39.441,98,"Class1",33.855,10,39.369
"R","D",19.973,79,56.271,75.556,16.418,86,"Class1",27.225,9,39.871
"C","W",6.287,12,45.641,93.156,35.723,63,"Class2",63.92,29,47.511
"R","Z",28.944,82,56.253,80.541,22.8,60,"Class1",18.131,17,68.075
"P","D",18.591,77,56.733,80.483,18.895,99,"Class1",24.278,49,74.555
"P","A",12.785,83,56.705,73.697,37.466,66,"Class1",29.662,21,40.861
"T",NA,14.155,12,77.076,48.888,24.043,44,"Class2",83.565,33,49.183
"U","W",6.577,13,78.235,118.942,39.763,59,"Class2",77.764,36,48.032
"T","Z",10.924,73,56.599,68.941,28.209,53,"Class1",28.786,64,68.129
"J","G",13.208,74,56.253,81.526,36.76,84,"Class1",29.75,77,56.154
"W","H",16.997,68,56.554,70.759,16.4,73,"Class1",24.075,49,75.633
"T","H",18.418,73,56.731,85.819,23.995,96,"Class1",30.157,57,59.703
"R","G",25.72,80,56.789,76.392,23.362,79,"Class1",33.225,2,45.44
"T","P",13.272,13,75.84,57.757,35.757,56,"Class2",88.746,29,46.121
"T","H",22.884,73,56.574,86.138,34.972,87,"Class1",37.891,46,37.379
"R","D",32.457,71,56.474,80.046,29.17,57,"Class1",33.352,34,40.259
"C","Q",4.135,13,77.429,72.647,41.165,63,"Class2",75.786,40,46.81
"T","D",15.424,71,56.498,80.205,20.897,59,"Class1",18.421,49,67.031
"C","Q",17.974,12,80.7,53.736,45.065,50,"Class2",82.635,34,48.872
"J","G",32.008,65,56.899,80.764,31.955,75,"Class1",24.074,54,41.176
"U","G",8.145,12,37.321,38.013,42.515,67,"Class2",50.769,35,47.809
"C","P",16.443,12,39.257,30.801,21.018,62,"Class2",84.641,38,49.027
"J","Z",30.956,76,56.072,77.941,29.57,86,"Class1",31.474,64,65.492
"J","G",21.596,71,56.401,87.058,41.402,70,"Class1",27.648,61,84.771
"P","Z",30.943,84,NA,80.389,20.241,91,"Class1",42.563,22,64.25
"P","Q",4.705,12,50.992,75.452,35.573,74,"Class2",81.319,38,48.686
"R","A",35.518,75,56.215,76.613,37.138,53,"Class1",24.241,48,77.24
"W","D",35.403,78,56.351,76.083,41.527,89,"Class1",21.976,51,26.705
"C","L",12.781,13,53.931,90.485,40.011,52,"Class2",75.019,45,49.922
"J","A",34.348,69,56.452,76.086,31.279,42,"Class1",32.836,41,49.299
"U","L",12.625,12,70.436,92.022,33.758,48,"Class2",64.7,41,48.269
"U","G",7.552,12,40.613,72.721,27.319,51,"Class2",69.087,34,48.698
"P","Z",35.363,63,56.17,80.767,32.995,74,"Class1",33.505,11,64.887
"U","L",6.968,13,51.258,66.578,38.451,65,"Class2",77.525,47,48.946
"U","Q",13.061,13,87.335,90.567,31.603,71,"Class2",65.764,50,49.316
"P","H",15.822,67,56.159,72.633,27.019,71,"Class1",21.523,36,36.523
"P","Q",12.026,13,49.544,68.423,22.389,57,"Class2",84.622,50,47.328
"T","P",17.727,13,51.781,100.576,28.731,58,"Class2",66.226,41,48.874
"C","L",4.822,13,NA,69.317,36.106,58,"Class2",83.937,35,48.105
"R","H",31.69,81,56.304,73.001,40.943,76,"Class1",24.092,84,79.057
"R","D",20.75,71,56.505,85.62,27.742,99,"Class1",31.249,3,55.893
"P",NA,24.182,69,56.196,74.238,25.858,94,"Class1",30.256,21,49.834
"T","Q",6.862,12,36.327,80.332,40.817,61,"Class2",92.028,51,49.528
"R","Z",23.91,59,56.05,86.643,20.284,47,"Class1",26.067,60,12.157
"P","D",14.543,63,NA,81.904,27.156,72,"Class1",27.576,30,52.575
"W","A",30.051,80,56.624,80.484,18.642,70,"Class1",33.887,5,82.236
"C","Q",17.683,12,82.261,73.23,30.706,56,"Class2",59.27,42,48.376
"V","G",17.091,12,40.697,88.58,24.798,76,"Class2",76.736,33,48.469
"C","Q",8.854,13,79.638,50.402,31.924,44,"Class2",94.634,33,48.901
"T",NA,11.139,69,56.107,81.059,28.603,94,"Class1",38.398,54,16.293
"J","Z",11.016,59,NA,87.314,40.429,56,"Class1",32.471,51,54.371
"P","Z",16.541,83,56.631,82.688,31.968,53,"Class1",39.199,59,71.457
"T","Q",7.233,13,54.718,101.359,34.791,51,"Class2",72.806,29,48.704
"T","W",10.531,13,29.132,79.95,45.21,71,"Class2",62.421,50,48.664
"J",NA,32.959,85,56.797,90.795,41.275,83,"Class1",27.703,80,57.384
"U","P",15.93,13,35.938,57.93,39.364,56,"Class2",57.059,32,46.877
"J","D",34.713,60,56.452,72.139,19.135,93,"Class1",31.213,5,73.16
"T","G",13.945,81,56.739,85.282,31.628,48,"Class1",34.554,19,11.747
"W","G",15.595,84,56.194,78.652,36.458,90,"Class1",21.663,49,81.808
"T","L",13.903,12,NA,43.234,42.237,62,"Class2",77.012,44,47.969
"P","L",4.836,13,62.256,82.218,24.631,64,"Class2",73.88,42,47.783
"T","P",9.92,13,71.88,53.194,39.009,49,"Class2",70.526,47,48.398
"R",NA,33.063,82,56.302,74.067,38.48,53,"Class1",27.883,36,66.852
"C","P",15.776,13,35.148,96.209,31.52,48,"Class2",50.036,34,48.253
"T","Q",11.021,12,39.669,52.079,39.144,57,"Class2",70.66,29,47.876
"J","Z",31.591,63,56.771,76.079,28.843,74,"Class1",31.575,69,32.269
"J","Z",28.043,68,56.247,83.501,34.607,50,"Class1",21.445,55,48.847
"C","W",6.095,12,78.267,60.276,23.042,65,"Class2",62.604,39,48.166
"C","P",10.378,12,76.351,103.49,35.504,50,"Class2",87.799,31,49.539
"T","G",16.541,75,56.671,77.617,20.976,50,"Class1",36.279,85,72.775
"U","P",4.567,13,NA,94.986,34.169,77,"Class2",76.67,44,48.246
"T","L",15.978,13,26.575,70.454,27.272,70,"Class2",64.62,37,49.992
"C","Q",12.83,13,68.472,77.523,23.986,51,"Class2",59.472,29,48.701
"P","G",21.156,61,56.268,81.583,34.26,48,"Class1",28.1,24,71.001
"P","W",8.631,13,40.872,46.411,28.61,65,"Class2",62.293,31,51.221
"U","L",9.34,12,87.285,53.588,33.631,70,"Class2",105.601,43,47.468
"C","Q",16.149,12,87.075,54.851,23.324,73,"Class2",78.458,37,48.838
"U","Q",11.619,12,32.252,73.423,35.091,47,"Class2",44.144,38,49.076
"J","D",33.383,67,56.801,73.332,15.561,50,"Class1",32.316,26,66.475
"U","Q",10.84,13,28.431,79.59,29.36,62,"Class2",77.28,47,50.346
"T","Q",15.218,12,65.562,75.88,28.356,76,"Class2",71.798,47,46.917
"J","Z",31.498,64,56.555,79.881,25.951,86,"Class1",25.456,60,51.922
"P","D",29.248,59,NA,75.904,32.137,84,"Class1",18.332,50,79.345
"P","Z",23.352,85,56.648,83.537,24.384,64,"Class1",24.018,21,63.158
"W","Z",19.638,79,56.509,73.522,42.402,60,"Class1",20.141,55,50.316
"T","P",13.858,12,53.427,51.827,35.506,68,"Class2",67.744,40,49.269
"P","A",11.994,79,56.683,78.988,30.863,70,"Class1",42.439,84,55.376
"C","L",4.969,12,78.969,82.998,41.028,73,"Class2",74.725,46,49.21
"V","Q",15.777,13,51.736,79.898,42.257,71,"Class2",60.547,38,46.584
"R","D",21.129,63,56.147,75.484,25.344,81,"Class1",24.052,12,45.076
"J","D",33.984,59,56.381,83.914,39.621,81,"Class1",29.12,11,52.061
"T","W",13.901,13,59.158,84.173,36.151,49,"Class2",55.477,37,47.722
"P","G",21.861,65,56.119,78.207,22.967,62,"Class1",32.381,10,54.886
"V",NA,4.614,12,46.507,56.276,26.72,61,"Class2",83.285,30,48.175
"T",NA,31.75,59,56.608,81.068,38.748,77,"Class1",27.859,53,44.391
"V","W",10.316,12,50.887,73.385,44.004,63,"Class2",86.918,45,48.414
"P","A",35.418,85,56.48,86.799,24.307,78,"Class1",37.799,86,68.988
"V","Q",10.337,13,58.956,58.883,43.777,69,"Class2",74.604,49,48.18
"P","A",15.322,59,56.379,79.579,28.339,94,"Class1",32.757,44,38.217
"W","G",14.461,69,56.216,78.961,38.295,61,"Class1",32.761,58,60.01
"P","W",11.746,12,74.522,114.979,42.226,48,"Class2",60.005,47,49.69
"W","H",23.773,69,56.123,81.378,38.176,44,"Class1",27.714,56,55.08
"V","L",15.896,12,27.473,74.748,23.478,59,"Class2",75.952,37,49.067
"P","D",27.089,81,56.251,74.904,26.213,75,"Class1",26.814,84,49.03
"P","G",4.358,13,84.646,73.138,45.246,58,"Class2",75.026,45,49.987
"C","G",12.97,13,45.041,44.606,43.22,76,"Class2",100.164,47,48.458
"P","H",20.611,72,56.132,83.273,34.541,69,"Class1",42.363,51,61.6
"U","L",11.362,13,64.4,66.551,26.695,76,"Class2",80.634,47,48.087
"J",NA,20.723,67,56.541,75.119,26.128,80,"Class1",27.409,59,47.279
"P","Z",34.306,75,56.305,86.585,19.355,91,"Class1",26.163,22,62.865
"W","H",20.467,59,56.467,72.53,42.487,46,"Class1",29.231,40,48.12
"P","L",7.284,13,53.401,37.928,38.578,66,"Class2",60.606,31,49.435
"V","L",8.74,12,71.06,64.779,33.904,54,"Class2",76.117,51,47.59
"T","D",22.387,78,56.234,78.932,21.673,91,"Class1",36.609,5,46.869
"T","G",10.072,82,56.466,77.722,35.946,90,"Class1",26.425,79,61.213
"C","L",4.254,12,62.621,88.31,45.158,63,"Class2",82.377,44,49.883
"R","A",11.639,59,56.203,77.256,18.612,81,"Class1",33.985,37,81.689
"C",NA,17.439,13,38.597,80.508,34.431,62,"Class2",79.085,31,49.657
"V","L",6.834,13,NA,41.592,25.152,45,"Class2",76.112,42,48.936
"P","W",11.218,12,85.601,91.174,21.409,57,"Class2",87.138,44,52.463
"W","A",28.342,70,56.357,82.967,16.441,61,"Class1",32.566,44,32.963
"V","W",5.263,12,62.043,74.144,35.487,55,"Class2",78.921,51,48.98
"U","P",12.572,13,33.212,60.752,43.03,59,"Class2",69.366,31,46.927
"U",NA,8.891,13,37.449,46.748,44.952,66,"Class2",60.497,38,48.973
"R","A",24.851,71,56.535,74.217,42.572,43,"Class1",26.962,16,52.871
"P","G",22.089,69,56.326,84.498,33.971,80,"Class1",31.435,79,71.861
"P","Q",12.172,12,66.096,75.691,36.641,68,"Class2",61.516,29,48.914
"P","G",28.338,74,56.461,72.351,20.734,76,"Class1",29.668,18,80.71
"W","G",26.946,81,56.991,81.432,16.171,65,"Class1",27.513,25,42.47
"C","W",5.787,13,54.253,79.329,45.146,44,"Class2",65.154,31,48.553
"R","H",19.024,60,56.732,82.75,23.558,86,"Class1",29.463,59,56.487
"P","A",26.14,74,NA,82.201,15.414,75,"Class1",34.903,90,64.014
"V","Q",13.181,13,71.766,57.143,23.653,63,"Class2",60.712,38,47.711
"P","L",10.83,13,75.045,90.921,42.904,66,"Class2",80.627,48,46.718
"V","W",9.719,13,59.274,80.805,40.463,44,"Class2",79.289,42,49.012
"P","P",8.079,12,72.801,60.136,22.232,44,"Class2",61.121,51,49.402
"V","L",10.768,12,87.695,93.516,38.26,50,"Class2",74.245,33,45.563
"U","Q",12.362,13,79.045,87.899,26.784,48,"Class2",76.089,37,46.548
"J","A",11.201,79,56.443,84.573,22.908,52,"Class1",34.713,20,61.262
"R","G",12.077,85,56.83,78.825,20.476,83,"Class1",41.716,22,56.616
"C","Q",11.167,12,NA,80.934,27.561,77,"Class2",72.955,40,50.045
"U","W",16.4,13,55.98,116.035,43.789,76,"Class2",76.947,34,51.017
"P","W",6.045,13,36.932,55.999,24.552,68,"Class2",97.118,38,48.181
"P","G",15.058,12,73.91,104.055,33.693,67,"Class2",37.073,49,47.798
"W","H",17.552,81,56.875,82.769,40.467,91,"Class1",27.294,3,46.128
"C","G",7.206,12,71.132,78.722,31.784,72,"Class2",55.364,36,48.302
"R","G",26.355,83,56.116,74.63,36.109,72,"Class1",27.143,7,71.904
"C","L",6.11,13,33.694,53.38,21.581,72,"Class2",73.822,38,48.286
"J","D",10.426,67,56.199,81.823,33.796,78,"Class1",33.072,59,33.947
"J","H",18.141,77,56.232,80.622,34.164,72,"Class1",24.62,61,44.374
"R","Z",32.57,66,56.104,80.298,18.549,64,"Class1",21.025,50,48.454
"T","G",11.869,12,39.254,66.55,26.717,72,"Class2",62.189,47,48.636
"T","Q",6.954,12,44.626,93.587,45.03,49,"Class2",60.35,35,47.283
"T","D",11.037,80,56.691,87.778,33.38,85,"Class1",24.714,54,50.468
"R","A",29.319,74,56.999,79.555,18.031,96,"Class1",40.437,72,67.642
"J","G",17.515,71,56.6,70.279,21.755,59,"Class1",25.328,49,59.163
"T","Z",31.205,66,56.485,76.824,18.835,88,"Class1",29.904,57,44.035
"W","D",11.137,73,56.331,78.93,35.336,64,"Class1",28.458,32,20.905
"C","W",10.511,12,77.293,84.446,42.345,59,"Class2",68.53,33,48.13
"R",NA,18.861,66,56.093,81.906,39.987,83,"Class1",27.959,23,47.293
"U",NA,5.896,12,75.567,74.709,25.618,75,"Class2",70.401,30,49.089
"R","Z",23.134,79,56.633,71.525,20.698,87,"Class1",27.225,42,47.724
"P","A",34.106,63,56.796,79.711,25.233,87,"Class1",27.056,39,40.562
"R","A",32.575,63,56.912,79.888,20.905,62,"Class1",39.301,63,36.435
"W",NA,21.774,67,56.619,83.301,27.188,46,"Class1",28.764,46,52.754
"J","Z",31.917,63,56.333,78.227,32.46,51,"Class1",50.064,34,47.371
"P","W",15.843,13,86.838,84.391,36.998,57,"Class2",66.713,35,48.236
"P","G",11.509,12,40.858,91.81,26.266,72,"Class2",74.944,37,48.587
"U","P",9.261,13,45.002,51.409,42.694,55,"Class2",90.334,35,49.609
"C","L",11.652,13,NA,61.282,34.794,63,"Class2",65.356,38,48.788
"R","G",31.323,61,56.459,81.223,22.581,43,"Class1",27.669,56,27.934
"P","G",14.907,65,56.416,81.823,37.51,56,"Class1",26.891,6,47.842
"W","H",24.606,64,56.174,82.331,38.728,88,"Class1",29.909,70,72.987
"T","D",18.787,69,56.388,88.007,36.396,74,"Class1",25.117,28,59.162
"R","Z",24.606,78,56.649,76.065,26.775,98,"Class1",32.446,45,58.661
"P","P",7.917,12,68.525,64.362,45.501,61,"Class2",75.889,30,49.758
"W","Z",20.938,70,56.56,73.288,38.309,89,"Class1",32.747,68,51.248
"W","A",20.496,66,56.505,75.464,16.752,52,"Class1",20.075,6,40.005
"C","L",14.336,12,86.342,65.82,28.371,52,"Class2",89.024,49,50.029
"J","G",32.598,76,56.394,86.014,35.958,68,"Class1",29.442,44,45.01
"P","D",15.738,71,56.908,79.482,27.811,91,"Class1",28.637,14,21.238
"U","W",5.688,12,83.653,32.891,24.606,65,"Class2",82.511,35,48.974
"V","L",4.504,13,63.441,60.851,39.276,70,"Class2",68.208,49,47.647
"P","H",34.893,66,56.117,77.472,42.405,93,"Class1",36.797,61,69.117
"T","Q",14.768,12,46.571,58.39,44.39,50,"Class2",85.039,35,48.493
"R","A",11.855,76,56.918,82.525,24.066,54,"Class1",41.994,62,90.772
"R","A",32.061,84,56.238,77.772,37.454,85,"Class1",28.41,18,63.005
"C","W",17.467,13,60.863,65.269,31.802,60,"Class2",100.588,36,48.469
"U","G",5.055,12,67.991,90.347,45.647,63,"Class2",74.812,34,49.258
"P","Q",12.969,12,77.195,74.077,45.225,64,"Class2",108.124,47,48.05
"T","Q",16.417,13,48.002,92.808,31.651,64,"Class2",62.38,33,47.564
"P","P",6.396,13,31.728,94.575,25.426,64,"Class2",77.053,35,50.77
"T","Q",13.69,13,43.574,100.026,38.144,50,"Class2",80.574,35,49.214
"R","D",29.775,60,56.946,70.387,38.545,53,"Class1",33.812,11,67.006
"T","W",11.758,13,41.915,78.46,24.358,51,"Class2",80.01,37,48.672
"W","D",26.12,85,56.638,81.489,38.705,46,"Class1",17.351,48,52.73
"P","A",31.023,76,56.76,72.787,30.396,75,"Class1",33.655,57,59.242
"J","A",27.463,71,56.483,77.508,26.249,54,"Class1",27.623,54,39.505
"P","H",24.321,77,56.189,79.265,33.33,52,"Class1",17.706,4,78.45
"T","Q",15.152,13,47.533,67.375,34.228,74,"Class2",91.361,49,47.777
"P","G",16.996,12,43.905,106.208,41.486,51,"Class2",68.517,41,47.683
"J","A",18.655,71,56.971,73.433,30.796,65,"Class1",25.338,39,79.155
"J","Z",28.28,77,56.317,71.348,42.885,47,"Class1",25.602,7,56.853
"U","Q",7.223,12,35.105,92.973,27.69,61,"Class2",84.474,42,49.84
"T","P",15.56,13,34.178,69.254,26.316,45,"Class2",97.145,33,49.87
"J","Z",19.239,73,56.201,84.257,31.88,75,"Class1",17.583,60,69.956
"T","G",12.888,83,NA,78.263,41.685,71,"Class1",21.018,61,69.419
"V","W",16.486,12,36.343,89.602,21.244,60,"Class2",92.016,37,52.01
"W","A",12.176,59,56.517,80.853,22.879,70,"Class1",28.6,42,75.931
"U","Q",5.441,12,83.182,93.26,45.099,45,"Class2",76.58,43,47.037
"C","P",6.735,13,NA,79.582,39.46,75,"Class2",60.55,30,47.375
"R","Z",24.044,67,56.607,74.161,29.996,80,"Class1",36.166,84,53.151
"P","Z",27.725,66,56.541,81.079,38.781,62,"Class1",22.982,44,75.593
"J","G",22.238,65,56.477,74.676,37.685,77,"Class1",25.618,83,57.317
"P","H",17.248,65,56.833,77.851,26.853,79,"Class1",29.858,50,39.57
"P","W",16.413,12,77.773,92.188,32.509,73,"Class2",86.975,33,47.941
"T","H",28.785,59,56.88,76.12,30.668,86,"Class1",25.626,59,29.912
"V","G",8.711,12,58.229,115.615,30.168,53,"Class2",78.887,46,48.835
"C","L",4.263,13,32.604,89.397,36.59,48,"Class2",71.071,35,47.139
"W","D",18.907,63,56.442,85.49,32.71,55,"Class1",32.024,49,62.065
"P","G",20.896,60,56.293,78.676,30.293,45,"Class1",41.578,74,58.544
"V","W",16.818,13,53.768,70.669,32.713,71,"Class2",61.939,36,47.951
"W","D",17.205,77,56.511,83.681,41.02,54,"Class1",16.79,60,48.644
"V","Q",7.695,12,84.869,52.672,38.716,48,"Class2",72.565,34,49.086
"R",NA,29.936,66,56.925,82.542,38.131,45,"Class1",35.747,44,54.357
"V","W",7.437,12,49.634,65.997,45.48,67,"Class2",88.439,45,48.068
"U","P",4.145,13,27.47,51.033,23.58,64,"Class2",81.508,41,48.16
"V","W",8.755,12,59.338,50.544,33.971,63,"Class2",78.644,33,47.963
"U","L",14.865,12,77.613,53.225,44.848,67,"Class2",73.686,38,48.569
"P","L",14.235,12,29.776,72.022,34.819,72,"Class2",67.076,34,49.157
"T","G",9.823,12,71.626,77.885,32.985,60,"Class2",57.749,29,47.634
"T","A",30.335,65,56.223,72.024,18.562,98,"Class1",21.312,86,38.095
"T","G",7.534,13,36.59,84.455,42.109,68,"Class2",107.08,36,48.519
"J","H",22.171,85,56.142,74.393,36.948,74,"Class1",23.907,48,45.281
"U","G",5.693,13,73.225,59.607,41.113,67,"Class2",88.128,36,47.319
"P",NA,13.502,13,54.755,88.506,22.678,51,"Class2",95.419,35,48.039
"V","G",4.128,12,36.041,34.517,42.76,53,"Class2",68.197,30,47.512
"W","D",25.076,79,56.194,77.943,29.286,46,"Class1",31.008,77,56.587
"T","L",9.421,12,85.666,68.507,45.167,48,"Class2",82.871,47,47.822
"R","G",12.628,74,56.872,79.958,29.301,85,"Class1",30.918,9,61.819
"T","Z",35.621,62,56.859,70.175,21.364,80,"Class1",27.755,10,57.436
"R","G",15.789,62,56.314,80.866,17.59,70,"Class1",22.193,56,21.007
"V","L",9.013,12,61.288,56.918,33.892,67,"Class2",91.251,42,49.509
"U","W",14.916,12,65.003,104.327,29.846,54,"Class2",79.526,37,47.598
"R","H",22.389,61,56.489,75.242,23.759,56,"Class1",19.615,25,63.516
"J","G",14.159,77,56.65,81.393,17.138,58,"Class1",35.153,87,63.184
"P","D",31.006,61,56.085,80.798,39.203,64,"Class1",26.967,32,67.991
"V","L",7.731,13,82.784,53.531,42.967,49,"Class2",67.475,41,49.432
"T","P",16.401,13,75.617,87.92,32.075,49,"Class2",76.923,32,47.135
"P","W",13.79,12,51.441,57.975,23.728,65,"Class2",79.077,31,47.713
"P","L",11.237,12,63.785,63.114,33.147,56,"Class2",86.552,38,47.166
"T",NA,17.961,62,56.432,84.159,40.505,49,"Class1",35.048,79,65.244
"J","D",34.827,77,56.124,76.834,34.536,53,"Class1",27.919,81,56.235
"C","Q",10.869,13,80.943,88.662,24.063,74,"Class2",71.061,40,48.759
"P","G",34.09,62,56.456,82.028,30.732,53,"Class1",35.039,88,79.725
"T","L",11.066,12,59.396,55.632,31.931,69,"Class2",40.675,51,48.827
"T","G",16.124,59,56.857,80.065,15.571,70,"Class1",21.487,49,89.755
"P","A",27.248,82,56.801,84.598,18.559,42,"Class1",25.956,90,53.517
"U","Q",14.269,13,81.562,79.288,25.976,65,"Class2",63.941,40,49.683
"P","Q",8.398,13,NA,97.204,23.665,59,"Class2",81.003,35,49.113
"P","W",13.14,13,66.577,101.912,36.85,60,"Class2",67.621,31,49.233
"J","G",13.389,72,56.521,85.236,20.586,50,"Class1",22.702,87,41.392
"P","P",17.843,12,64.788,80.067,24.554,74,"Class2",83.881,39,48.412
"J","H",22.712,82,56.726,71.789,31.82,83,"Class1",21.171,11,62.086
"R","G",12.094,79,56.793,75.107,27.214,91,"Class1",23.616,26,66.697
"W","A",24.577,77,56.281,90.764,23.386,52,"Class1",18.839,57,83.343
"P","G",28.023,82,56.327,80.504,40.525,81,"Class1",24.512,51,60.735
"R",NA,12.632,72,56.285,84.656,18.159,43,"Class1",38.976,76,72.211
"J","Z",15.589,62,56.541,70.88,23.026,60,"Class1",29.67,79,63.218
"W",NA,20.894,71,56.544,78.943,30.282,99,"Class1",26.866,23,51.949
"U","W",11.682,12,51.372,40.699,25.703,56,"Class2",60.607,36,47.949
"W","D",13.27,64,56.68,74.254,38.3,85,"Class1",33.818,8,74.277
"T","H",34.193,80,56.028,84.138,37.554,46,"Class1",36.286,57,47.197
"R","D",32.047,64,56.098,75.22,17.698,60,"Class1",27.181,14,73.283
"P","H",11.509,81,56.159,74.439,26.448,67,"Class1",21.149,29,58.952
"T","W",11.623,12,59.483,58.55,43.139,74,"Class2",97.596,42,48.042
"T","L",15.126,13,86.326,93.879,31.453,62,"Class2",91.291,31,47.406
"C","Q",9.146,13,47.355,56.15,40.594,75,"Class2",83.685,35,49.714
"R","G",26.402,68,56.975,84.008,28.108,48,"Class1",24.283,32,58.57
"C","W",13.077,13,44.957,66.318,41.684,54,"Class2",78.156,39,48.425
"P","G",12.065,12,58.733,88.065,37.262,75,"Class2",101.102,40,50.421
"C","P",12.243,12,68.705,98.826,31.28,63,"Class2",59.641,44,49.525
"T","Q",10.1,13,36.707,56.957,36.514,59,"Class2",56.36,29,47.999
"J","H",11.223,62,56.792,72.749,19.364,84,"Class1",25.293,46,43.934
"P","W",12.76,13,43.319,64.2,38.494,58,"Class2",77.772,51,48.116
"V","G",6.253,13,52.221,87.022,29.692,59,"Class2",81.431,34,48.299
"W","H",19.789,73,56.368,80.68,26.351,87,"Class1",47.628,46,49.067
"T","L",14.819,13,29.852,89.911,29.278,51,"Class2",93.755,29,47.955
"V","Q",14.609,13,62.482,65.633,34.601,48,"Class2",81.638,47,48.898
"P","Q",7.071,13,88.191,71.837,25.268,51,"Class2",43.551,40,49.461
"C","Q",4.799,13,48.372,103.941,22.211,58,"Class2",111.869,38,49.071
"J","H",33.041,68,56.805,74.664,39.89,50,"Class1",26.443,53,58.533
"U","G",6.629,12,71.651,66.848,26.078,45,"Class2",72.88,40,47.586
"P","G",23.877,74,56.153,77.982,24.83,51,"Class1",25.902,24,64.822
"J",NA,10.698,82,56.711,78.275,16.919,53,"Class1",29.306,85,27.794
"U","W",12.796,13,50.616,95.108,41.327,45,"Class2",88.565,50,48.055
"P","A",13.77,63,56.474,80.768,40.648,78,"Class1",26.58,20,75.896
"T","Z",29.477,76,56.5,81.865,29.677,43,"Class1",22.609,69,49.95
"U","P",11.162,12,36.728,108.48,39.526,53,"Class2",82.077,43,47.772
"P","P",5.123,13,87.073,82.45,30.918,63,"Class2",93.031,34,48.802
"W","A",27.269,63,56.273,84.475,18.265,45,"Class1",27.803,9,44.558
"R","G",21.506,69,56.728,74.084,15.329,59,"Class1",22.218,4,66.895
"T","L",13.639,12,63.846,69.253,42.964,47,"Class2",56.678,38,49.024
"J","D",11.466,85,56.49,79.523,25.753,83,"Class1",25.34,9,62.118
"T","Q",10.434,12,87.585,68.944,32.433,76,"Class2",73.988,34,47.096
"V","W",15.263,12,68.331,77.604,44.73,48,"Class2",80.032,34,48.798
"W",NA,11.619,64,56.204,86.767,39.025,58,"Class1",32.198,61,68.483
"U","P",14.986,13,49.612,51.652,28.011,62,"Class2",49.699,30,48.586
"U","W",7.233,12,54.401,47.218,28.779,49,"Class2",72.431,29,48.961
"V","G",7.702,13,30.966,56.236,42.998,49,"Class2",77.898,30,48.055
"W","Z",27.078,85,NA,78.071,26.105,93,"Class1",20.077,12,39.578
"J","G",22.939,76,56.112,72.367,35.097,94,"Class1",25.437,3,35.629
"P","L",14.842,12,49.293,81.983,30.287,53,"Class2",75.946,40,48.705
"U","P",6.584,13,66.041,78.421,29.465,57,"Class2",72.298,36,48.837
"P","Z",20.229,74,56.675,82.246,21.852,73,"Class1",33.565,22,31.286
"T","H",28.356,60,56.035,76.985,36.208,47,"Class1",28.571,85,45.157
"J","Z",27.43,72,56.363,80.682,35.93,53,"Class1",24.491,32,66.656
"P","G",4.478,13,61.489,70.315,29.729,76,"Class2",66.735,40,47.799
