"F1","F2","F3","F4","Output5","F5","F6","F7","F8","F9","F10","F11"
53,47.755,"N",68,"Class4",83.437,90.759,41,33.592,16.729,37.585,"B"
64,17.283,"N",49,"Class3",56.535,6.968,79,44.15,51.549,34.328,"O"
87,12.934,"N",61,"Class3",35.155,5.072,72,42.707,81.051,18.692,"U"
18,19.256,"P",34,"Class1",78.624,57.209,32,39.5,81.043,5.197,"Q"
19,86.851,"P",64,"Class1",85.056,65.214,34,32.36,67.938,5.528,"I"
17,22.375,"E",51,"Class1",76.141,58.045,47,33.044,82.15,5.3,"L"
13,59.441,"Y",35,"Class1",73.691,76.004,35,39.27,74.946,5.041,"R"
16,58.553,"Y",9,"Class1",-6.789,68.961,31,38.732,74.899,3.988,"Q"
21,46.602,"M",22,"Class2",-3.423,0.631,73,42.837,77.736,24.829,"D"
20,46.188,"T",79,"Class2",-8.877,13.637,82,43.131,70.936,27.321,"D"
6,42.493,"P",74,"Class4",54.604,81.125,41,45.683,16.02,48.947,"O"
18,57.933,"M",85,"Class4",65.757,79.594,46,44.316,16.761,82.568,"N"
27,54.712,"V",28,"Class2",20.486,1.241,92,39.703,55.799,30.514,"I"
26,55.612,"V",59,"Class2",26.675,14.074,82,44.813,52.758,79.116,"D"
10,78.364,"E",35,"Class1",48.497,80.311,41,29.68,70.943,6.875,"I"
24,46.143,"V",72,"Class4",94.815,80.196,41,54.522,16.206,87.561,"O"
65,15.324,"N",45,"Class3",88.587,4.341,69,40.493,71.131,41.615,"G"
23,21.028,"T",11,"Class2",11.746,13.078,92,50.522,53.201,37.505,"T"
23,35.647,"T",30,"Class2",15.877,0.372,77,47.659,86.103,37.926,"D"
79,17.943,"M",56,"Class3",50.948,7.173,69,NA,64.653,31.092,"Z"
71,15.213,"Z",52,"Class3",51.516,4.131,69,46.236,76.652,20.518,"U"
88,14.991,"V",62,"Class3",55.388,6.184,62,43.31,78.004,29.942,"G"
32,41.414,"N",81,"Class4",70.49,82.429,39,26.088,16.348,72.187,"I"
79,13.799,"M",61,"Class3",61.845,7.948,73,45.328,34.074,46.585,"Z"
20,28.427,"K",51,"Class1",69.39,46.608,35,43.861,73.993,4.954,"I"
25,50.074,"D",64,"Class2",21.32,1.471,60,39.302,79.948,46.965,"D"
56,47.891,"M",80,"Class4",70.673,89.402,41,30.311,16.258,6.464,"N"
34,40.179,"M",82,"Class4",76.386,91.931,46,51.115,16.611,55.479,"I"
19,48.163,"N",76,"Class4",89.11,93.644,45,62.217,16.891,19.396,"B"
22,51.016,"Y",34,"Class1",57.767,91.245,41,33.707,78.787,3.342,NA
98,13.963,"X",52,"Class3",67.361,5.654,63,46.038,41.888,67.34,"Z"
27,39.841,"M",11,"Class2",27.354,5.49,80,38.85,80.365,24.955,"M"
12,76.81,"Y",16,"Class1",39.179,55.683,34,40.485,70.378,5.171,"R"
73,12.158,"N",45,"Class3",74.238,4.103,64,48.537,29.95,21.216,"U"
24,33.166,"V",58,"Class2",16.91,10.623,63,42.407,58.589,4.601,"T"
60,16.835,"Z",58,"Class3",78.013,6.834,66,41.932,60.221,35.918,"U"
12,62.04,"K",56,"Class1",56.148,74.29,31,29.947,79.121,8.214,"K"
27,48.775,"V",37,"Class2",13.171,12.722,83,41.399,78.363,41.02,"X"
25,59.033,"T",62,"Class2",25.965,1.966,92,NA,70.923,32.282,"M"
60,14.588,"N",54,"Class3",52.307,4.249,70,42.478,30.937,22.51,"F"
54,48.704,"F",71,"Class4",73.776,89.973,43,24.842,16.956,38.735,"I"
48,44.191,"V",72,"Class4",53.47,88.922,35,48.029,16.473,41.95,"B"
93,16.63,"Z",48,"Class3",73.938,4.398,59,45.818,32.407,58.574,"G"
25,57.262,"V",62,"Class2",22.166,8.483,84,47.96,56.06,42.805,"D"
27,48.08,"V",77,"Class2",21.198,14.646,96,37.331,59.227,33.061,"I"
53,49.02,"V",85,"Class4",66.047,92.35,36,32.444,16.414,32.692,"U"
50,54.842,"V",86,"Class4",87.878,84.432,40,30.755,16.983,47.431,"I"
23,50.966,"D",38,"Class2",32.337,1.084,84,51.967,65.355,21.391,NA
19,70.197,"E",64,"Class1",36.877,51.319,41,NA,79.322,4.932,"L"
69,15.321,"X",57,"Class3",54.581,4.557,65,NA,63.528,42.936,"O"
20,65.608,"D",71,"Class1",42.705,66.699,39,32.079,74.776,4.239,"K"
25,52.577,"M",11,"Class2",23.219,2.635,74,44.059,55.008,57.499,"T"
18,80.532,"K",10,"Class1",97.633,83.202,44,38.291,78.286,3.919,"I"
22,49.258,"J",16,"Class2",-15.372,9.584,94,48.43,84.615,15.204,"M"
37,47.96,"N",68,"Class4",80.182,90.68,36,36.112,16.111,46.764,"O"
21,36.345,"V",17,"Class2",13.22,8.537,62,50.181,77.218,13.953,"M"
22,29.069,"V",15,"Class2",14.158,10.296,64,44.612,63.962,46.489,"X"
21,31.261,"J",40,"Class2",19.065,5.205,76,44.164,64.5,20.548,"X"
28,41.379,"V",75,"Class4",78.639,86.239,38,NA,16.529,40.514,"O"
60,15.765,"X",48,"Class3",82.218,5.369,62,42.883,71.231,19.145,"G"
7,23.536,"K",43,"Class1",88.461,53.573,31,38.651,71.917,4.693,"Q"
24,47.609,"F",68,"Class4",81.117,80.196,46,40.762,16.948,32.697,"N"
14,55.263,"P",70,"Class4",62.771,78.886,46,60.283,16.473,37.78,"O"
6,62.851,"K",39,"Class1",53.473,51.64,46,23.075,82.255,5.968,"L"
53,40.402,"P",74,"Class4",79.287,91.773,39,7.624,16.639,39.863,"I"
37,41.886,"F",72,"Class4",70.5,84.281,37,43.723,16.737,4.861,"O"
70,14.912,"V",48,"Class3",70.663,6.448,60,42.822,58.02,31.891,"O"
27,48.124,"D",20,"Class2",29.988,1.633,61,33.864,66.069,21.757,"I"
19,60.105,"P",62,"Class1",104.252,52.655,44,38.369,69.618,5.042,"K"
26,25.647,"M",15,"Class2",10.585,7.492,84,45.404,53.096,13.614,"D"
24,64.111,"J",71,"Class2",29.044,3.83,81,40.005,56.02,17.436,"X"
27,59.222,"M",58,"Class2",11.078,14.3,60,47.013,62.361,43.518,"M"
66,15.751,"V",60,"Class3",95.87,6.694,78,44.761,79.236,-10.432,"U"
92,12.031,"M",50,"Class3",57.234,7.626,86,43.461,51.595,50.267,"O"
27,51.923,"J",40,"Class2",2.316,10.662,96,55.649,55.826,31.635,"D"
24,62.952,"D",62,"Class2",12.125,9.896,64,41.167,60.727,35.881,"T"
20,21.807,"J",40,"Class2",24.705,11.534,83,42.397,58.877,61.98,"D"
19,79.295,"D",11,"Class1",34.571,69.095,36,39.095,76.339,6.53,"I"
27,52.495,"V",45,"Class2",21.463,8.632,87,NA,81.838,38.541,"D"
7,51.861,"N",82,"Class4",63.658,84.247,39,43.282,16.305,48.326,"B"
26,56.841,"V",74,"Class4",65.184,84.955,36,50.241,16.995,68.813,"I"
8,40.298,"V",77,"Class4",91.632,84.867,43,51.21,16.825,57.005,NA
32,47.33,"M",79,"Class4",60.709,86.443,40,56.932,16.024,47.304,"B"
70,16.293,"Z",49,"Class3",84.633,4.173,71,44.648,75.676,51.528,"G"
42,52.276,"P",73,"Class4",60.994,89.781,43,16.029,16.89,70.108,"I"
7,23.784,"K",36,"Class1",42.444,84.613,35,34.773,82.364,5.446,"K"
27,49.291,"T",43,"Class2",13.068,5.186,95,38.308,61.358,31.752,"D"
13,22.673,"Y",10,"Class1",51.719,72.111,41,33.434,77.908,7.835,"K"
22,47.668,"F",80,"Class4",52.247,90.557,41,40.402,16.367,9.664,"N"
27,57.912,"J",40,"Class2",31.408,6.073,73,45.32,58.699,19.848,"X"
74,13.218,"Z",59,"Class3",62.154,7.322,69,NA,67.17,52.257,"Z"
7,32.495,"E",5,"Class1",45.63,56.714,36,NA,67.83,5.854,"K"
7,40.168,"V",73,"Class4",47.77,85.683,39,44.663,16.583,64.258,"I"
18,47.74,"P",83,"Class4",73.964,84.449,46,44.18,16.605,93.215,"N"
8,72.975,"K",64,"Class1",42.246,48.04,43,25.292,67.333,5.947,"R"
39,44.775,"N",79,"Class4",78.025,92.201,45,46.652,16.377,86.212,"O"
7,48.644,"F",74,"Class4",63.738,84.187,40,37.321,16.574,57.646,"N"
81,13.726,"M",52,"Class3",69.964,6.808,61,43.45,48.662,28.333,"U"
10,76.555,"Y",47,"Class1",61.672,59.414,32,24.6,69.264,3.703,"K"
21,74.354,"D",44,"Class1",4.055,75.25,47,28.405,80.147,5.306,NA
59,50.066,"P",73,"Class4",70.806,89.728,40,48.514,16.27,18.651,"N"
88,14.303,"V",53,"Class3",72.046,4.549,75,45.447,48.338,39.898,NA
13,42.327,"Y",39,"Class1",52.576,48.808,39,NA,69.87,6.286,"I"
16,51.175,"M",80,"Class4",105.91,90.286,44,31.702,16.585,46.763,"I"
9,23.186,"K",53,"Class1",61.1,81.371,38,14.587,76.287,4.431,"I"
22,31.901,"T",11,"Class2",20.734,0.405,71,48.957,57.266,72.112,"M"
23,54.71,"V",45,"Class2",39.377,14.418,59,43.515,61.037,81.824,"T"
23,61.162,"V",47,"Class2",39.345,1.579,76,53.565,70.604,46.514,NA
63,14.151,"Z",60,"Class3",65.376,4.457,62,40.47,51.658,42.208,"O"
10,41.285,"M",71,"Class4",77.316,90.534,39,53.976,16.785,53.094,"B"
27,51.489,"J",19,"Class2",20.02,4.689,91,43.001,59.661,68.295,"X"
19,43.151,"D",12,"Class1",60.473,92.972,42,28.625,73.172,2.166,"K"
20,46.596,"T",50,"Class2",7.35,3.458,65,44.83,61.217,63.49,"D"
27,60.62,"V",65,"Class2",39.573,7.51,66,45.269,79.22,32.764,"T"
17,25.839,"K",39,"Class1",21.67,72.234,42,37.243,68.84,2.901,"R"
22,34.997,"D",17,"Class2",39.122,13.657,90,51.638,75.373,40.682,"I"
99,16.876,"N",62,"Class3",92.224,6.847,65,48.801,54.285,34.313,"F"
35,55.213,"V",79,"Class4",70.858,92.192,35,31.575,16.302,45.529,"U"
9,67.557,"K",55,"Class1",97.558,53.619,46,32.623,74.035,8.027,"K"
98,17.422,"N",44,"Class3",66.548,4.306,77,44.194,66.575,40.496,"F"
86,15.023,"M",53,"Class3",46.792,6.922,64,45.408,67.972,43.139,"U"
18,76.156,"E",59,"Class1",67.677,66.57,36,39.001,70.166,2.221,"K"
22,44.816,"J",23,"Class2",20.496,3.523,76,44.389,64.721,41.794,"X"
15,65.578,"D",24,"Class1",19.6,61.762,31,34.477,69.363,4.784,"K"
95,13.672,"M",44,"Class3",46.366,4.733,71,44.251,60.266,35.592,"U"
65,13.499,"Z",56,"Class3",60.631,7.576,70,44.383,85.369,32.464,"G"
18,51.514,"K",34,"Class1",21.499,92.848,45,23.19,68.235,7.173,"L"
16,44.541,"P",45,"Class1",75.862,77.65,34,16.134,79.767,4.246,"L"
22,17.394,"Y",8,"Class1",34.232,54.558,37,28.486,68.137,6.528,"L"
31,58.87,"F",78,"Class4",97.858,85.11,42,59.034,16.917,61.75,"O"
35,51.175,"M",69,"Class4",71.636,85.663,36,29.706,16.223,48.291,"U"
16,64.811,"D",4,"Class1",13.924,64.046,45,37.903,78.961,4.723,"I"
38,44.707,"P",68,"Class4",47.399,83.807,42,55.736,16.817,60.402,"U"
10,47.883,"N",79,"Class4",14.51,84.111,39,34.885,16.084,52.528,"B"
19,41.363,"E",39,"Class1",39.436,82.301,32,25.909,76.465,7.71,"Q"
34,41.774,"P",77,"Class4",58.256,86.185,36,33.971,16.459,77.75,"O"
6,48.061,"V",75,"Class4",38.032,89.289,38,42.935,16.559,41.504,"O"
95,16.476,"V",49,"Class3",71.82,5.765,72,46.654,37.508,12.475,"G"
24,31.149,"D",42,"Class2",19.945,9.858,86,44.712,81.022,30.509,"M"
20,38.8,"M",62,"Class2",19.058,12.805,89,NA,77.122,55.796,"X"
10,79.643,"E",14,"Class1",75.445,64.57,40,34.473,67.759,7.47,"I"
16,47.161,"K",63,"Class1",93.711,68.89,45,23.906,76.677,5.968,NA
54,40.885,"P",74,"Class4",46.666,89.383,36,42.1,16.655,56.221,"I"
70,14.384,"Z",52,"Class3",89.316,7.038,70,43.347,45.659,62.895,"U"
20,25.907,"M",63,"Class2",-10.391,11.712,92,46.897,67.28,67.239,"I"
62,58.389,"N",86,"Class4",63.64,92.09,38,33.876,16.72,54.651,"I"
78,14.685,"V",55,"Class3",68.408,6.098,82,NA,31.006,13.621,"F"
43,45.059,"N",76,"Class4",57.009,92.377,42,46.351,16.76,58.386,"B"
22,29.528,"D",25,"Class2",7.002,14.698,94,46.748,84.047,29.398,"M"
73,13.113,"V",49,"Class3",74.204,7.124,63,48.389,86.901,50.263,"G"
27,40.143,"D",21,"Class2",20.017,0.371,77,38.653,76.159,34.85,"T"
27,43.503,"M",72,"Class2",21.724,8.594,80,51.589,55.13,49.615,"D"
6,80.629,"D",22,"Class1",48.914,51.939,42,32.15,74.03,5.001,"I"
27,36.214,"M",33,"Class2",-0.532,1.535,79,46.917,85.312,38.418,"T"
33,48.364,"P",76,"Class4",61.495,79.833,43,64.489,16.338,82.725,"O"
6,31.494,"E",48,"Class1",95.142,60.927,35,NA,81.572,3.111,"K"
23,26.511,"J",39,"Class2",14.337,10.077,89,34.915,73.764,42.606,"X"
59,13.713,"X",42,"Class3",69.575,4.826,75,41.445,45.896,21.134,"Z"
64,17.628,"Z",50,"Class3",67.768,6.014,66,41.696,76.756,24.668,"Z"
73,14.042,"X",59,"Class3",39.515,4.129,72,44.281,83.191,53.698,"G"
60,51.763,"M",75,"Class4",52.57,89.901,40,19.786,16.819,49.837,NA
84,14.638,"V",53,"Class3",42.365,5.251,67,44.693,45.863,27.685,"F"
19,83.823,"E",32,"Class1",42.017,84.903,43,41.374,68.181,4.831,"K"
18,32.395,"P",32,"Class1",60.183,45.531,42,34.516,75.117,6.209,"L"
34,45.42,"P",78,"Class4",99.75,83.843,40,NA,16.081,20.148,"I"
99,17.516,"V",61,"Class3",75.526,5.848,68,43.773,77.777,48.897,"Z"
50,53.075,"F",80,"Class4",63.774,79.619,38,42.273,16.918,55.984,"B"
60,58.302,"N",79,"Class4",86.337,87.778,41,NA,16.678,14.597,"N"
23,20.952,"T",69,"Class2",6.746,10.796,79,45.288,71.382,30.032,"X"
15,57.573,"M",82,"Class4",47.53,78.016,38,NA,16.292,-19.409,"B"
88,13.255,"Z",53,"Class3",91.03,7.785,70,43.11,59.938,36.699,"F"
66,16.445,"X",56,"Class3",49.317,7.763,83,46.189,71.829,43.646,"Z"
25,23.359,"M",39,"Class2",15.189,7.155,74,41.204,82.286,27.167,"T"
80,14.076,"Z",48,"Class3",77.404,4.615,88,45.765,59.151,24.266,"O"
16,31.053,"E",47,"Class1",53.439,67.847,42,22.122,72.278,-0.173,"L"
21,30.332,"D",54,"Class2",43.448,1.212,62,49.6,61.487,15.36,"I"
27,20.951,"D",66,"Class2",21.155,14.847,61,45.597,74.729,26.095,"I"
13,55.695,"K",25,"Class1",69.671,56.986,33,33.933,68.426,4.239,"K"
8,45.042,"V",81,"Class4",91.251,92.107,35,48.174,16.119,58.357,"N"
16,41.161,"V",70,"Class4",54.725,81.411,41,39.965,16.466,36.607,"I"
31,51.542,"F",82,"Class4",51.205,86.595,43,5.633,16.887,16.154,"O"
40,44.797,"F",77,"Class4",88.519,91.415,43,52.84,16.596,68.865,"I"
55,40.061,"N",70,"Class4",48.468,86.044,40,27.584,16.948,45.23,"I"
27,44.338,"M",31,"Class2",48.543,9.94,88,41.844,59.926,13.937,NA
100,15.034,"N",50,"Class3",64.254,5.29,77,42.239,29.613,42.465,"O"
26,47.442,"J",44,"Class2",25.858,11.694,93,55.639,80.473,47.282,"I"
23,46.267,"J",40,"Class2",42.595,11.202,84,43.017,66.402,25.816,"X"
25,36.66,"T",19,"Class2",40.909,4.681,86,45.712,82.842,23.282,"M"
78,17.197,"M",55,"Class3",65.42,5.431,63,43.392,61.441,53.475,"O"
7,39.782,"K",9,"Class1",53.996,80.698,36,22.774,81.796,5.416,"L"
80,12.064,"V",60,"Class3",57.598,6.804,77,NA,72.572,48.535,"F"
61,44.499,"M",70,"Class4",47.287,81.476,44,40.205,16.128,13.697,"N"
64,17.763,"V",54,"Class3",44.983,6.26,70,45.857,39.683,44.961,"G"
88,14.102,"N",53,"Class3",73.79,7.043,78,46.564,82.585,53.641,"O"
13,76.11,"E",10,"Class1",77.474,46.347,33,42.294,69.062,4.34,"K"
21,61.609,"Y",29,"Class1",100.994,76.468,37,38.773,73.225,7.229,"Q"
24,63.573,"T",34,"Class2",23.799,8.526,61,57.175,81.897,35.489,"T"
17,34.626,"K",67,"Class1",82.721,62.573,41,21.888,81.704,6.415,"K"
36,42.638,"P",84,"Class4",75.438,83.548,46,30.754,16.832,37.397,"N"
27,60.186,"D",75,"Class2",33.259,12.748,95,45.517,66.118,21.835,"D"
92,13.89,"N",55,"Class3",47.834,7.33,59,47.191,47.279,8.368,"Z"
8,54.395,"E",14,"Class1",75.717,86.933,42,29.629,69.215,7.802,"L"
53,41.981,"V",83,"Class4",70.334,81.016,36,24.673,16.225,93.325,"N"
10,23.256,"K",65,"Class1",76.479,54.138,33,27.463,70.501,3.857,"R"
62,50.488,"V",78,"Class4",78.246,87.908,37,48.571,16.604,54.934,"N"
76,17.898,"V",61,"Class3",93.898,5.514,87,46.463,52.775,47.353,"Z"
24,59.976,"D",35,"Class2",24.199,2.958,76,51.615,65.497,15.185,"I"
8,79.568,"K",38,"Class1",54.065,80.931,31,47.664,81.379,5.515,"L"
14,44.987,"M",84,"Class4",66.318,90.964,39,69.613,16.47,38.76,NA
23,59.053,"V",45,"Class2",8.487,3.792,65,49.434,69.74,13.66,"I"
50,44.553,"V",76,"Class4",63.138,89.135,41,22.496,16.149,72.12,"B"
26,57.033,"V",86,"Class4",100.449,81.248,44,38.442,16.592,27.629,"O"
21,55.196,"T",25,"Class2",29.892,4.851,64,52.106,65.215,20.646,"X"
98,17.48,"M",54,"Class3",55.677,4.669,65,41.142,60.064,5.374,"F"
70,13.122,"V",49,"Class3",58.6,4.252,87,42.166,59.899,23.732,"F"
7,88.33,"K",13,"Class1",40.048,73.328,32,35.571,68.759,2.898,"I"
11,36.97,"K",68,"Class1",52.104,68.84,33,12.689,75.321,1.551,"K"
60,13.367,"X",48,"Class3",67.233,5.872,74,45.589,84.764,61.202,"O"
11,35.023,"P",34,"Class1",79.791,63.602,39,38.8,70.27,5.182,"R"
12,28.267,"Y",45,"Class1",18.034,85.943,32,29.4,78.868,2.487,"K"
27,59.213,"J",68,"Class2",7.576,1.115,95,46.564,56.282,22.918,"D"
30,53.05,"V",74,"Class4",46.369,83.729,45,31.53,16.716,26.94,"B"
21,37.123,"J",29,"Class2",11.421,7.049,95,49.902,80.187,25.134,"I"
37,56.783,"M",77,"Class4",69.143,85.995,44,46.064,16.677,46.713,"I"
88,14.009,"V",46,"Class3",53.874,4.146,79,48.038,87.032,41.089,"F"
9,87.02,"D",53,"Class1",77.366,58.302,39,31.151,73.636,3.047,"R"
84,15.073,"M",50,"Class3",32.317,7.109,77,NA,53.372,47.517,"Z"
23,50.347,"V",33,"Class2",39.863,11.29,70,46.531,70.194,44.702,NA
20,27.452,"D",22,"Class1",52.063,75.572,34,20.912,75.921,3.771,"K"
62,46.183,"V",71,"Class4",62.553,91.816,39,55.702,16.831,48.26,"U"
11,54.124,"E",56,"Class1",71.865,71.045,34,38.905,78.624,5.874,"R"
85,13.678,"X",54,"Class3",76.919,6.589,60,46.358,39.399,61.272,NA
23,46.323,"J",31,"Class2",1.559,9.361,78,44.649,80.194,44.184,"D"
100,14.126,"X",43,"Class3",79.568,5.697,77,42.966,37.202,37.906,"Z"
24,41.348,"V",50,"Class2",17.059,4.274,64,35.466,85.369,10.331,"D"
75,16.661,"X",53,"Class3",90.871,7.818,64,42.949,43.505,19.901,"G"
95,15.136,"X",52,"Class3",72.609,7.927,68,47.033,65.538,41.58,"Z"
9,78.571,"D",23,"Class1",18.516,52.682,45,NA,67.371,1.884,"R"
96,16.249,"N",48,"Class3",55.142,5.103,75,46.457,28.348,33.57,"U"
69,15.091,"N",45,"Class3",63.229,6.386,59,43.081,52.768,50.853,"U"
20,63.252,"D",43,"Class2",32.591,2.75,67,49.3,85.944,8.86,"X"
8,74.14,"E",18,"Class1",52.362,61.509,45,28.724,72.038,3.012,"R"
61,58.678,"P",74,"Class4",56.054,78.962,40,39.52,16.751,37.658,"N"
15,49.304,"M",84,"Class4",56.478,91.397,43,39.992,16.323,39.598,"N"
57,49.917,"M",71,"Class4",66.917,81.997,42,42.934,16.086,36.329,"N"
68,15.116,"X",54,"Class3",66.36,7.632,84,NA,80.67,23.357,"G"
27,55.078,"M",83,"Class4",63.611,80.098,40,19.33,16.108,63.929,"O"
13,19.708,"Y",23,"Class1",43.499,91.242,46,40.471,76.046,3.551,"I"
20,27.247,"D",22,"Class2",17.121,4.81,78,41.497,63.686,63.414,"D"
24,23.755,"V",37,"Class2",24.329,12.442,92,48.966,72.995,42.209,"I"
87,15.336,"V",51,"Class3",59.331,7.237,70,46.017,29.635,48.212,"U"
46,56.289,"N",69,"Class4",67.208,91.183,45,28.587,16.209,26.373,NA
47,52.436,"F",71,"Class4",79.756,90.254,45,NA,16.717,43.129,"O"
76,14.945,"X",51,"Class3",82.397,6.635,68,44.786,81.945,25.112,NA
6,76.761,"E",60,"Class1",74.126,56.348,34,24.062,79.547,6.114,"L"
9,54.458,"P",75,"Class4",66.02,78.092,35,34.82,16.999,57.812,"U"
74,14.217,"X",47,"Class3",94.765,6.91,78,44.32,86.502,22.388,"G"
21,64.994,"M",29,"Class2",20.014,3.911,86,36.319,59.896,50.327,"I"
27,40.723,"T",75,"Class2",40.555,8.898,80,44.216,73.676,26.365,"I"
22,51.216,"P",82,"Class4",45.922,81.947,35,37.755,16.022,45.261,"I"
12,40.869,"N",76,"Class4",60.607,87.831,42,42.895,16.278,47.73,"O"
13,69.319,"K",26,"Class1",24.162,56.549,35,41.651,74.107,4.91,NA
18,33.75,"E",48,"Class1",68.08,62.706,31,19.561,76.552,7.668,"I"
67,15.776,"X",52,"Class3",86.736,5.056,60,46.929,68.082,48.057,"F"
27,31,"T",47,"Class2",-2.962,1.383,83,54.011,57.624,33.007,"M"
10,48.285,"M",69,"Class4",93.592,84.171,36,31.723,16.603,48.453,NA
99,13.966,"X",57,"Class3",92.558,7.621,80,45.983,70.146,25.651,"O"
26,56.055,"T",46,"Class2",17.009,6.612,61,56.879,81.125,54.988,"M"
26,59.643,"J",66,"Class2",24.673,6.564,90,42.003,80.546,32.037,"D"
47,42.763,"N",82,"Class4",81.928,87.436,43,50.468,16.913,26.6,"U"
21,35.779,"M",25,"Class2",37.129,13.439,69,43.709,79.769,59.973,NA
12,42.382,"P",43,"Class1",72.033,49.233,41,26.749,77.678,0.723,"L"
15,84.071,"D",48,"Class1",74.336,59.347,43,33.313,67.221,4.931,"Q"
21,43.931,"M",77,"Class4",65.446,79.376,36,71.253,16.901,42.837,"B"
81,14.616,"Z",43,"Class3",64.957,5.678,66,44.942,69.396,65.915,"O"
19,52.963,"V",68,"Class4",75.992,82.458,36,14.641,16.661,56.398,"N"
47,54.329,"M",72,"Class4",68.6,91.598,41,44.351,16.042,66.655,"N"
24,20.413,"V",69,"Class2",8.927,9.245,80,50.748,71.173,31.844,"T"
50,41.689,"F",76,"Class4",65.383,84.288,36,39.367,16.951,26.316,"O"
21,82.994,"K",9,"Class1",77.354,48.766,34,22.935,73.02,4.448,"I"
31,55.106,"P",78,"Class4",66.824,80.781,43,43.67,16.547,75.046,"U"
99,13.164,"M",52,"Class3",57.193,7.766,84,42.85,77.897,47.012,"Z"
19,25.976,"K",57,"Class1",74.228,66.474,33,37.578,71.494,6.627,"R"
16,49.202,"K",24,"Class1",80.375,63.683,33,39.446,74.512,3.2,"R"
25,59.646,"D",76,"Class2",32.934,4.304,89,47.588,53.381,28.128,"M"
21,38.316,"P",37,"Class1",89.836,78.053,45,39.263,81.096,5.665,"K"
27,50.001,"P",83,"Class4",49.99,82.044,38,44.551,16.131,21.632,"U"
26,51.162,"D",50,"Class2",0.312,10.419,84,43.642,65.452,23.249,"I"
25,61.369,"D",56,"Class2",29.068,13.975,73,NA,68.913,26.836,"D"
25,40.187,"D",20,"Class2",42.598,13.83,63,37.557,57.142,29.376,"D"
46,50.952,"V",80,"Class4",78.953,89.291,43,14.871,16.08,38.423,"B"
45,49.43,"P",81,"Class4",62.144,79.783,42,40.389,16.691,73.675,"U"
70,15.18,"N",57,"Class3",40.521,6.455,60,44.24,36.003,47.941,"Z"
18,49.797,"E",36,"Class1",38.06,61.33,41,17.473,75.996,4.792,"I"
85,14.668,"M",58,"Class3",40.004,7.05,62,42.247,75.912,49.243,"U"
24,39.117,"T",48,"Class2",19.937,8.712,65,53.074,73.699,33.847,"X"
13,22.022,"P",5,"Class1",40.312,61.247,44,35.152,81.823,2.978,"Q"
11,77.828,"K",28,"Class1",83.081,46.42,32,33.733,67.442,4.792,"K"
25,40.916,"V",12,"Class2",25.096,9.299,61,40.397,79.509,33.246,"T"
14,56.797,"F",83,"Class4",62.794,81.988,36,38.257,16.049,54.332,"N"
40,53.573,"P",85,"Class4",77.059,90.267,37,26.365,16.948,66.654,"I"
22,47.899,"P",17,"Class1",48.23,65.702,43,37.064,67.703,5.223,"K"
8,34.035,"Y",12,"Class1",23.532,55.295,34,16.495,78.708,3.189,"L"
12,48.308,"M",81,"Class4",69.498,92.27,44,41.986,16.441,58.606,"N"
31,40.35,"P",82,"Class4",76.038,81.627,42,27.318,16.91,23.386,"N"
30,44.6,"M",79,"Class4",77.947,87.299,39,59.706,16.752,65.807,"U"
20,56.917,"F",68,"Class4",91.239,80.569,45,20.345,16.772,51.832,"I"
27,25.976,"M",59,"Class2",29.991,4.789,87,50.071,52.209,38.928,"D"
27,42.914,"T",26,"Class2",37.224,9.55,60,40.653,54.651,1.412,"D"
22,79.114,"E",67,"Class1",64.736,79.094,38,31.682,71.436,5.756,"I"
90,14.379,"X",53,"Class3",101.5,6.403,64,47.893,61.309,32.01,"U"
20,26.366,"M",75,"Class2",17.206,11.17,69,53.094,56.448,47.237,"X"
18,59.796,"K",7,"Class1",53.04,63.711,45,36.438,74.318,6.678,"K"
94,12.498,"V",44,"Class3",42.488,6.687,87,47.058,49.678,45.968,"U"
18,69.998,"D",37,"Class1",40.945,79.955,44,NA,82.581,2.62,"L"
25,49.26,"D",29,"Class2",44.553,4.792,91,37.455,71.752,49.088,"M"
82,12.961,"N",46,"Class3",55.134,6.019,86,45.389,67.865,67.195,"Z"
26,34.003,"J",20,"Class2",24.322,8.207,73,46.829,59.897,71.724,"X"
11,35.507,"Y",35,"Class1",71.673,45.442,31,31.412,71.399,4.024,"L"
27,42.883,"D",41,"Class2",6.426,12.277,82,47.509,71.532,46.796,NA
24,53.704,"V",77,"Class4",58.369,84.755,35,38.025,16.762,18.056,"N"
56,49.398,"F",72,"Class4",66.031,92.978,42,26.282,16.217,48.943,"N"
17,72.531,"K",40,"Class1",56.076,85.436,41,20.13,76.3,3.537,"R"
54,58.718,"N",72,"Class4",72.68,78.688,40,44.001,16.933,54.361,"I"
18,56.465,"E",57,"Class1",15.309,78.699,31,21.97,76.114,6.545,"Q"
20,61.956,"V",64,"Class2",14.263,13.374,96,35.598,80.177,30.662,"X"
88,17.038,"V",57,"Class3",61.182,4.593,71,46.237,82.012,21.394,"O"
15,65.615,"P",37,"Class1",43.153,46.81,34,25.358,74.772,3.334,"I"
54,58.687,"V",81,"Class4",69.411,87.016,43,33.773,16.212,42.244,"B"
20,33.618,"J",76,"Class2",2.376,8.463,85,48.644,53.803,76.519,"D"
26,25.086,"V",29,"Class2",16.825,11.71,94,49.746,72.325,46.887,"D"
83,13.923,"X",55,"Class3",77.592,7.26,63,45.495,55.655,47.377,"G"
