"U1","U2","U3","Output20","U4","U5","U6","U7","U8","U9","U10","U11"
67.323,89,68.528,"Class1",52.38,36,"J",22.912,"L",22.569,55,27.276
73.575,71,63.966,"Class2",43.895,23,"M",44.908,"E",60.113,37,58.603
70.068,61,69.847,"Class2",49.831,24,"U",48.483,"E",40.615,21,56.685
28.228,70,28.843,"Class3",73.759,53,"U",56.272,"Q",66.987,90,90.618
69.713,37,69.391,"Class2",90.476,17,"M",42.592,"M",59.927,28,79.255
71.753,63,NA,"Class2",105.81,23,"C",61.85,"F",68.979,79,86.877
56.628,90,72.642,"Class1",103.105,94,"D",35.179,"T",28.099,55,16.352
61.208,91,NA,"Class1",67.537,82,"D",26.652,"R",34.167,50,19.548
28.316,70,66.39,"Class3",67.597,50,"P",57.821,"E",67.139,88,69.016
31.018,73,82.169,"Class3",68.625,49,"H",66.647,"E",68.427,93,87.531
25.228,68,59.649,"Class3",64.131,52,"W",67.531,"E",66.039,89,87.63
75.42,42,60.646,"Class2",-24.077,42,"C",47.116,"F",74.88,60,24.288
79.079,88,48.846,"Class1",53.372,65,"D",26.979,"C",31.429,57,20.952
73.312,55,62.134,"Class2",-2.449,30,"C",52.188,"V",66.089,39,76.253
70.811,41,NA,"Class2",-5.909,36,"N",42.743,"V",45.818,77,54.554
72.532,47,67.625,"Class2",24.667,43,"C",45.698,"E",59.611,69,61.552
67.684,94,67.507,"Class1",48.055,98,"P",25.734,"C",37.544,57,30.772
56.423,93,83.463,"Class1",69.506,49,"K",36.334,"T",27.387,59,23.582
71.43,96,43.707,"Class1",50.998,34,"E",35.028,"C",27.117,62,68.276
71.37,34,65.87,"Class2",79.931,26,"M",42.467,"F",44.888,68,31.172
29.244,51,44.405,"Class3",60.027,57,"F",49.57,"E",68.051,87,76.766
69.544,29,68.871,"Class2",58.614,29,"M",44.459,"F",57.499,32,36.745
60.412,88,49.551,"Class1",2.671,95,"K",40.073,"C",36.744,62,87.073
29.257,50,101.263,"Class3",74.576,49,"F",70.207,"S",67.02,87,85.155
17.597,60,25.995,"Class3",74.073,49,"H",92.505,"Q",66.273,90,81.604
24.896,66,38.774,"Class3",57.749,59,"H",109.499,"B",68.152,83,91.243
71.032,45,66.734,"Class2",84.91,24,"C",44.46,"M",52.601,27,21.175
71.849,52,73.263,"Class2",83.025,19,"R",39.867,"M",50.057,46,88.207
60.62,93,NA,"Class1",90.776,54,"D",37.493,"R",23.642,57,65.823
79.513,89,51.579,"Class1",47.359,59,"E",27.989,"C",37.853,60,26.253
22.549,53,64.031,"Class3",63.354,55,"W",81.109,"B",67.196,84,75.934
71.237,71,62.47,"Class2",24.028,26,"C",57.037,"M",41.595,49,53.316
72.274,30,67.245,"Class2",44.093,48,"U",41.919,"M",67.331,30,74.493
33.142,84,40.569,"Class3",73.28,52,"H",79.543,"R",66.164,89,83.909
71.756,88,68.981,"Class1",51.571,47,"K",24.517,"R",39.921,61,53.075
20.631,73,66.035,"Class3",65.75,52,"F",84.604,"S",65.561,90,85.291
66.741,93,63.283,"Class1",50.172,83,"P",29.972,"R",22.54,57,26.089
74.383,33,62.487,"Class2",82.496,47,"U",45.853,"M",46.456,78,NA
20.661,83,40.436,"Class3",80.251,51,"F",81.328,"S",68.475,93,97.494
29.371,72,59.52,"Class3",78.168,49,"F",69.418,"B",65.558,84,75.638
22.157,52,NA,"Class3",66.096,49,"F",84.514,"E",66.838,87,NA
17.621,54,15.29,"Class3",66.864,50,"H",36.593,"Q",68.391,84,89.553
75.106,67,68.549,"Class2",31.502,25,"U",39.029,"V",66.878,22,74.704
73.774,59,62.416,"Class2",32.118,34,"N",46.682,"V",51.907,48,77.616
29.555,67,31.233,"Class3",80.973,54,"H",96.904,"R",66.968,88,76.565
32.528,58,25.457,"Class3",76.973,59,"U",59.101,"E",65.566,83,71.125
64.136,93,57.547,"Class1",51.647,56,"D",35.868,"L",21.023,52,68.216
71.463,78,71.006,"Class2",20.579,36,"R",44.574,"F",45.558,65,77.935
74.163,76,60.42,"Class2",19.948,40,"N",47.684,"V",73.818,83,56.259
18.264,48,61.233,"Class3",75.715,59,"W",65.018,"B",66.972,86,83.491
69.332,67,67.036,"Class2",40.403,22,"R",43.537,"M",50.79,55,54.471
75.799,76,69.025,"Class2",51.698,47,"U",41.488,"V",73.612,55,74.339
74.685,87,46.038,"Class1",59.547,51,"K",27.866,"C",24.412,65,77.436
74.644,95,64.196,"Class1",67.488,38,"D",28.416,"L",32.433,63,34.978
75.08,80,70.794,"Class2",20.789,39,"C",44.329,"F",40.717,43,23.401
29.945,69,51.623,"Class3",55.758,54,"P",49.06,"R",66.513,83,76.703
63.285,92,NA,"Class1",83.504,44,"P",29.366,"L",30.356,57,41.763
70.684,30,60.597,"Class2",26.575,33,"N",51.784,"J",74.821,57,87.641
31.762,71,23.84,"Class3",63.153,58,"W",83.507,"S",66.218,91,86.344
32.073,52,48.336,"Class3",69.981,55,"F",67.988,"B",66.735,85,73.325
75.508,85,49.162,"Class1",33.069,66,"P",23.795,"O",29.002,65,90.031
74.769,74,56.745,"Class2",51.132,42,"R",43.011,"E",46.854,42,74.291
73.581,44,66.465,"Class2",56.218,30,"C",52.537,"E",45.185,78,39.237
72.581,33,67.699,"Class2",80.8,42,"C",51.11,"M",42.768,60,25.799
77.279,89,49.453,"Class1",69.005,90,"K",29.297,"O",34.018,54,67.31
71.03,92,43.891,"Class1",35.373,62,"J",19.22,"L",27.64,58,49.66
57.633,95,50.824,"Class1",90.485,49,"P",27.106,"T",23.365,65,47.063
24.14,55,39.38,"Class3",60.919,53,"F",69.237,"B",68.051,88,78.69
21.446,50,74.662,"Class3",52.226,54,"P",71.217,"R",66.643,88,95.819
33.856,81,78.437,"Class3",72.14,60,"U",76.917,"B",66.663,92,75.136
72.806,76,63.482,"Class2",59.601,45,"U",43.481,"F",41.193,31,73.573
32.584,52,71.781,"Class3",60.549,58,"W",49.677,"S",66.491,92,69.282
28.703,68,68.009,"Class3",65.797,59,"W",72.169,"Q",65.827,91,97.62
67.4,89,54.08,"Class1",73.492,45,"K",23.475,"O",35.546,62,56.856
62.601,89,46.156,"Class1",32.085,87,"K",30.009,"L",21.255,56,24.979
27.844,65,30.896,"Class3",61.224,52,"P",59.465,"E",67.919,87,NA
70.407,29,68.873,"Class2",30.907,44,"C",52.079,"F",59.83,37,72.533
70.783,86,53.261,"Class1",54.809,39,"J",26.546,"L",20.536,54,17.69
27.821,62,71.356,"Class3",70.48,55,"P",88.838,"E",66.724,92,72.842
22.029,63,45.749,"Class3",69.634,60,"U",67.375,"E",67.462,86,NA
26.791,54,66.209,"Class3",63.561,56,"F",82.638,"S",66.103,89,96.166
17.63,57,NA,"Class3",58.759,55,"W",60.8,"E",66.019,93,73.992
28.893,49,47.679,"Class3",67.646,54,"P",79.753,"R",66.657,90,84.38
74.289,98,73.427,"Class1",66.099,97,"E",26.73,"C",20.302,54,91.939
75.591,47,66.957,"Class2",67.124,50,"C",43.335,"E",46.717,51,72.27
70.487,71,72.47,"Class2",65.171,27,"C",41.253,"M",37.029,27,65.281
74.623,69,57.191,"Class2",95.42,21,"U",44.79,"M",65.92,80,56.539
21.889,62,75.488,"Class3",58.399,49,"U",53.263,"B",66.943,87,73.413
67.403,93,59.031,"Class1",43.065,49,"E",20.579,"O",24.251,52,42.931
72.697,63,66.179,"Class2",38.266,20,"U",49.663,"E",63.296,36,71.816
72.171,96,66.36,"Class1",20.069,68,"P",30.624,"O",28.071,58,20.158
26.901,59,NA,"Class3",72.513,59,"F",64.093,"R",65.311,93,82.47
27.448,73,66.611,"Class3",71.516,55,"W",66.533,"Q",65.052,83,82.65
70.717,58,69.286,"Class2",33.189,30,"N",31.169,"J",52.236,90,86.064
22.952,60,51.732,"Class3",75.14,57,"W",52.705,"B",67.094,93,78.683
73.923,47,67.458,"Class2",27.149,51,"U",44.862,"V",47.073,24,55.609
75.608,48,60.656,"Class2",-15.738,36,"R",44.847,"J",71.024,82,NA
73.422,37,68.1,"Class2",20.416,38,"M",42.563,"F",68.854,46,39.711
75.3,92,55.611,"Class1",42.533,58,"P",27.979,"T",21.832,52,39.313
31.657,69,71.209,"Class3",62.572,51,"W",63.527,"B",67.081,85,71.389
25.046,73,58.36,"Class3",64.09,55,"W",34.578,"S",65.059,91,78.022
20.223,68,66.466,"Class3",61.584,59,"U",76.612,"R",68.804,93,85.369
18.054,68,44.247,"Class3",53.184,58,"P",59.223,"S",67.234,89,94.878
31.44,72,69.415,"Class3",50.368,50,"U",95.289,"S",65.095,91,77.716
24.156,76,26.753,"Class3",73.134,59,"U",57.736,"S",67.76,83,97.162
55.894,94,61.865,"Class1",63.846,82,"D",25.672,"O",21.522,65,41.22
26.172,71,79.331,"Class3",64.888,54,"W",68.843,"Q",67.855,85,82.925
70.721,49,61.641,"Class2",-4.042,28,"N",42.873,"M",44.636,76,82.866
73.485,32,67.516,"Class2",16.562,37,"U",38.909,"J",37.703,43,84.036
62.239,97,56.935,"Class1",30.799,91,"P",32.302,"O",37.192,55,74.908
64.096,90,48.011,"Class1",83.412,34,"P",34.453,"R",33.658,55,16.181
23.766,72,38.091,"Class3",72.998,58,"U",94.49,"S",67.532,88,81.636
72.037,54,63.231,"Class2",30.02,46,"U",59.807,"F",39.804,61,41.295
69.021,28,47.898,"Class2",50.05,37,"N",47.362,"F",46.63,51,56.703
72.816,29,64.173,"Class2",25.992,29,"R",46.974,"M",56.804,71,88.362
60.664,90,60.666,"Class1",28.684,47,"J",29.584,"T",32.099,62,25.422
67.445,95,58.979,"Class1",72.035,95,"E",27.453,"T",30.764,58,52.972
77.694,97,41.415,"Class1",84.268,67,"P",27.731,"R",24.664,61,22.948
72.923,68,68.227,"Class2",32.359,34,"N",54.274,"V",47.266,76,53.15
73.693,28,63.257,"Class2",81.573,51,"M",57.778,"J",57.355,77,NA
74.617,41,60.867,"Class2",52.862,37,"C",41.873,"F",45.987,25,22.878
17.567,66,65.984,"Class3",58.829,55,"U",50.088,"Q",68.393,86,72.007
75.824,40,73.288,"Class2",43.163,49,"N",32.959,"E",41.473,62,84.833
26.476,47,63.113,"Class3",66.649,49,"U",51.252,"B",65.418,89,85.146
71.944,85,60.057,"Class1",68.879,82,"J",24.7,"L",27.237,65,81.05
56.588,92,72.094,"Class1",128.35,81,"D",24.531,"T",32.311,64,65.77
64.003,90,68.581,"Class1",43.903,85,"J",28.424,"O",35.295,63,81.871
69.113,44,64.455,"Class2",62.755,34,"C",37.616,"M",51.844,45,60.747
27.574,53,39.437,"Class3",67.415,49,"W",27.879,"B",67.933,91,72.222
73.7,80,67.659,"Class2",61.248,26,"N",52.198,"E",41.987,28,75.956
31.822,53,NA,"Class3",70.465,54,"H",46.237,"Q",66.683,87,71.328
74.055,39,72.688,"Class2",42.745,22,"M",46.652,"F",46.578,29,60.987
75.126,87,63.627,"Class1",4.28,83,"P",31.483,"O",31.377,53,56.813
26.457,63,61.526,"Class3",57.888,57,"W",103.085,"Q",66.807,86,97.303
26.705,76,55.269,"Class3",53.933,58,"U",102.826,"S",65.862,91,88.351
29.269,53,39.928,"Class3",70.543,60,"W",67.884,"S",67.599,92,83.151
72.763,87,48.328,"Class1",25.239,71,"E",31.831,"O",34.99,55,71.089
56.103,90,37.042,"Class1",115.903,91,"E",31.831,"O",26.315,50,39.072
74.459,40,NA,"Class2",84.011,31,"C",40.415,"E",42.921,59,80.139
24.197,59,42.997,"Class3",59.582,49,"W",111.151,"B",68.597,93,75.593
76.456,95,57.267,"Class1",40.62,66,"K",27.947,"C",37.023,50,75.17
70.773,61,61.812,"Class2",65.568,32,"N",57.851,"M",60.694,19,NA
32.681,70,59.77,"Class3",76.318,60,"W",78.292,"Q",67.713,88,NA
24.699,50,62.224,"Class3",74.742,53,"H",70.586,"Q",66.28,90,86.364
71.351,52,61.276,"Class2",80.067,34,"C",58.435,"M",69.541,33,28.173
32.085,80,42.223,"Class3",72.162,58,"W",49.754,"R",66.51,85,63.551
75.411,88,37.627,"Class1",72.71,36,"E",28.284,"C",23.276,52,53.98
69.237,69,60.341,"Class2",27.975,39,"C",44.858,"J",61.874,89,80.869
73.949,27,73.266,"Class2",5.957,27,"C",46.717,"F",52.666,46,25.097
58.642,87,NA,"Class1",48.325,45,"E",22.265,"T",30.864,52,77.4
69.013,96,39.446,"Class1",49.514,43,"J",22.53,"R",35.943,50,42.483
69.767,42,69.454,"Class2",52.737,45,"R",55.393,"J",38.554,64,43.866
74.797,57,62.107,"Class2",33.508,51,"M",46.876,"J",47.203,68,86.457
65.607,92,35.123,"Class1",72.952,84,"P",42.31,"O",23.45,51,47.823
24.749,77,33.967,"Class3",50.068,58,"U",63.697,"E",66.573,86,89.502
32.618,60,28.809,"Class3",75.856,60,"U",72.855,"E",65.887,93,NA
63.133,90,44.668,"Class1",38.328,78,"E",35.115,"L",30.686,63,67.784
71.993,91,57.224,"Class1",94.153,42,"J",28.582,"O",27.875,62,66.515
74.891,38,60.001,"Class2",78.204,37,"R",49.848,"E",42.678,79,56.482
32.535,55,56.232,"Class3",66.82,59,"P",60.837,"Q",67.628,86,69.861
23.162,72,46.541,"Class3",60.097,55,"U",55.124,"R",66.283,88,97.712
72.674,54,66.201,"Class2",72.236,38,"N",44.825,"J",39.956,82,66.324
22.509,66,40.91,"Class3",52.411,49,"P",27.814,"B",68.39,83,96.911
69.789,35,70.812,"Class2",74.673,25,"M",44.21,"F",63.525,35,NA
75.353,86,57.908,"Class1",46.228,45,"P",34.116,"O",29.539,53,91.974
54.104,96,71.756,"Class1",62.994,34,"D",25.868,"C",23.541,62,37.619
69.868,68,73.447,"Class2",5.951,50,"M",55.857,"V",69.973,33,54.016
72.093,69,66.021,"Class2",26.573,22,"M",45.349,"E",57.135,61,56.991
29.158,80,37.798,"Class3",71.871,55,"W",52.941,"S",65.739,85,76.793
23.447,62,66.367,"Class3",59.847,59,"H",48.224,"S",67.777,89,64.891
55.928,91,75.605,"Class1",25.92,96,"J",32.354,"L",22.122,59,91.182
75.995,41,65.396,"Class2",52.824,50,"N",36.613,"V",68.365,66,52.126
28.429,83,23.367,"Class3",62.956,57,"U",56.329,"R",65.511,93,67.426
34.756,75,64.818,"Class3",60.729,49,"U",54.574,"B",68.295,90,88.028
75.558,91,70.879,"Class1",56.115,55,"E",28.509,"T",20.861,56,30.224
73.727,38,60.998,"Class2",45.301,24,"C",49.608,"M",41.944,75,76.059
59.851,92,58.923,"Class1",67.706,77,"K",35.773,"R",35.972,51,33.593
23.58,62,56.349,"Class3",74.274,53,"U",75.174,"S",67.861,84,82.735
79.671,85,81.498,"Class1",74.385,47,"J",25.311,"T",38.697,62,80.914
69.907,75,69.952,"Class2",62.225,29,"C",46.046,"F",47.349,41,82.446
54.588,89,34.097,"Class1",64.096,49,"E",13.657,"C",20.4,55,22.498
21.22,58,64.922,"Class3",65.528,51,"P",88.028,"B",67.971,92,69.763
62.804,97,58.263,"Class1",61.783,88,"K",35.733,"C",21.714,53,25.289
70.446,70,68.521,"Class2",23.493,25,"M",54.091,"M",68.686,41,51.937
20.409,53,64.466,"Class3",73.952,49,"U",91.096,"R",68.566,89,86.151
17.709,47,28.037,"Class3",71.485,52,"H",44.606,"B",65.443,92,74.166
34.619,55,5.775,"Class3",80.801,50,"H",69.671,"Q",66.17,87,72.707
69.176,97,56.788,"Class1",11.485,41,"J",28.344,"R",28.361,51,26.801
69.195,26,60.374,"Class2",115.2,48,"M",40.819,"J",46.816,73,39.099
64.705,95,36.649,"Class1",65.636,46,"K",34.943,"O",35.023,65,46.007
79.742,96,45.796,"Class1",88.011,86,"P",23.253,"C",24.13,65,86.354
74.708,61,63.929,"Class2",74.108,23,"C",57.699,"F",60.184,55,25.415
72.103,67,68.454,"Class2",110.945,28,"M",47.541,"V",55.948,68,79.299
70.809,58,63.635,"Class2",53.337,33,"N",47.448,"V",65.208,90,23.295
56.398,90,83.283,"Class1",78.599,51,"J",33.58,"C",32.531,53,67.297
78.483,85,62.954,"Class1",10.496,80,"E",33.55,"L",35.807,55,66.503
18.736,70,45.297,"Class3",64.739,55,"U",76.134,"S",66.067,84,NA
31.601,61,64.721,"Class3",73.723,53,"U",71.401,"E",65.919,84,92.904
19.691,62,52.897,"Class3",81.828,59,"W",104.646,"S",68.447,83,79.03
66.76,88,48.673,"Class1",75.67,89,"J",32.315,"R",24.498,62,90.974
26.708,60,59.968,"Class3",72.931,53,"P",74.198,"E",66.581,85,87.941
18.816,74,37.58,"Class3",77.37,50,"H",20.98,"E",68.703,92,97.468
74.056,60,70.908,"Class2",76.122,18,"R",44.186,"E",63.863,31,67.238
75.76,47,74.13,"Class2",69.073,27,"C",47.044,"F",56.628,79,79.123
24.978,74,30.409,"Class3",67.792,59,"W",29.629,"B",65.058,85,90.118
29.002,78,47.748,"Class3",68.32,55,"W",81.721,"Q",66.554,86,79.484
71.938,36,65.243,"Class2",24.343,25,"M",47.798,"M",67.197,59,79.809
19.336,76,25.685,"Class3",64.279,59,"W",62.884,"R",65.719,91,90.036
25.044,64,51.659,"Class3",57.293,58,"P",93.175,"B",65.875,88,86.659
26.873,78,2.835,"Class3",49.869,51,"F",72.98,"R",68.153,83,71.866
67.392,97,53.957,"Class1",17.602,51,"K",31.063,"R",20.699,59,26.657
69.808,70,58.155,"Class2",52.177,39,"U",50.488,"J",69.313,50,60.026
72.904,91,21.93,"Class1",57.194,93,"K",25.589,"O",39.373,57,73.448
61.645,94,55.928,"Class1",48.867,90,"K",31.799,"C",23.363,53,57.939
71.209,54,71.605,"Class2",55.548,38,"M",50.667,"M",68.745,21,60.425
57.012,98,40.348,"Class1",63.332,53,"E",23.762,"O",38.912,59,16.931
55.937,98,68.378,"Class1",52.967,87,"P",33.269,"L",38.306,59,90.484
28.471,55,13.743,"Class3",48.321,49,"U",74.237,"S",67.539,92,76.666
32.626,49,44.846,"Class3",66.323,60,"U",77.133,"E",65.236,93,91.344
25.963,72,54.661,"Class3",49.116,55,"P",53.766,"Q",66.896,83,74.782
70.308,80,74.261,"Class2",78.856,49,"C",45.517,"V",58.212,43,82.921
70.966,32,70.38,"Class2",68.449,52,"M",38.872,"J",72.587,31,89.013
67.802,91,60.566,"Class1",75.81,41,"K",25.629,"L",33.622,62,25.805
75.401,42,64.293,"Class2",-37.099,18,"U",40.548,"V",63.961,21,64.91
74.262,28,61.058,"Class2",57.388,34,"C",43.534,"V",63.494,39,65.456
66.351,87,39.171,"Class1",31.271,53,"J",30.53,"C",37.941,60,32.41
69.218,24,64.633,"Class2",33.671,30,"R",46.56,"V",62.537,45,38.908
20.802,64,75.689,"Class3",53.817,55,"W",83.08,"B",66.234,90,86.05
69.001,54,64.066,"Class2",45.337,20,"N",56.534,"E",43.192,56,68.608
28.963,52,65.62,"Class3",58.388,52,"H",66.788,"S",67.71,85,67.258
73.144,87,NA,"Class1",20.719,52,"D",43.733,"L",21.867,57,22.611
33.441,66,62.159,"Class3",51.613,60,"W",59.957,"Q",66.707,93,77.077
73.878,48,73.248,"Class2",-12.247,23,"M",53.921,"M",60.632,90,47.469
79.56,94,NA,"Class1",61.607,81,"P",24.54,"C",39.848,57,35.414
29.284,55,68.323,"Class3",65.2,60,"W",45.59,"S",66.362,88,89.323
71.317,78,64.855,"Class2",76.27,37,"R",39.591,"F",37.07,26,38.548
74.705,73,65.674,"Class2",62.107,40,"N",43.543,"F",43.402,75,87.491
58.617,96,35.743,"Class1",78.503,87,"K",24.982,"O",20.725,50,79.875
72.714,27,65.364,"Class2",89.496,33,"U",61.816,"J",39.502,59,NA
64.645,88,62.288,"Class1",46.566,37,"P",30.571,"L",36.075,53,62.913
29.55,75,47.915,"Class3",69.358,55,"W",55.484,"S",68.882,84,73.355
19.032,53,56.298,"Class3",65.991,52,"H",66.289,"S",67.043,86,64.982
63.794,85,54.384,"Class1",78.708,41,"E",31.601,"R",34.739,59,79.166
31.246,72,51.891,"Class3",75.41,57,"W",40.067,"R",65.496,86,71.382
71.523,28,59.587,"Class2",0.436,45,"R",46.503,"E",59.609,42,89.531
22.48,76,66.922,"Class3",77.456,51,"H",67.526,"B",67.641,87,75.471
69.639,32,65.901,"Class2",27.082,21,"C",55.776,"V",41.048,73,49.657
62.821,98,86.22,"Class1",88.818,73,"E",35.155,"L",21.298,56,35.083
18.475,63,2.195,"Class3",67.736,59,"P",84.72,"R",68.507,93,63.325
68.487,94,70.927,"Class1",35.468,70,"D",33.291,"O",30.415,55,53.035
28.428,70,27.909,"Class3",72.499,56,"P",66.493,"R",66.875,90,85.004
28.997,71,82.958,"Class3",85.939,60,"U",85.06,"E",65.476,87,82.766
69.995,93,35.256,"Class1",75.432,37,"J",31.056,"R",23.428,53,43.179
23.143,70,53.146,"Class3",77.485,57,"H",71.716,"R",66.583,88,77.336
70.576,41,65.18,"Class2",53.514,17,"C",43.792,"V",41.72,75,40.471
58.074,91,65.867,"Class1",56.234,36,"J",24.018,"O",31.93,54,43.811
59.811,93,47.235,"Class1",69.662,73,"E",32.827,"R",28.952,51,90.968
17.082,53,45.994,"Class3",58.412,58,"H",66.64,"Q",67.703,85,68.455
72.67,33,63.959,"Class2",86.041,48,"R",57.015,"E",63.653,60,49.963
19.688,52,46.357,"Class3",54.826,58,"H",80.777,"R",67.822,91,85.758
72.556,42,68.31,"Class2",10.81,44,"C",41.329,"E",70.03,24,NA
69.555,33,69.391,"Class2",44.898,44,"M",31.855,"E",42.455,36,27.204
73.782,75,70.867,"Class2",7.033,27,"C",51.58,"M",65.151,88,41.933
20.358,58,68.421,"Class3",73.98,59,"P",77.571,"E",66.486,93,76.201
67.871,87,57.765,"Class1",143.956,44,"E",31.08,"T",39.686,63,20.97
71.362,57,63.766,"Class2",12.318,22,"U",50.628,"V",55.912,32,49.12
60.125,94,44.519,"Class1",39.124,42,"P",24.764,"L",22.601,51,42.149
72.727,48,68.301,"Class2",57.591,52,"N",38.184,"V",58.56,66,83.085
76.391,88,56.598,"Class1",50.415,43,"D",28.656,"C",37.303,63,63.412
62.583,88,49.138,"Class1",85.445,35,"K",20.854,"T",24.24,60,76.83
57.969,96,92.274,"Class1",20.357,46,"E",30.062,"O",30.535,54,68.415
55.375,95,72.655,"Class1",73.463,87,"E",20.554,"O",38.583,55,46.11
25.859,73,NA,"Class3",61.666,49,"F",91.743,"Q",65.929,93,65.317
72.394,72,77.581,"Class2",131.088,38,"C",36.165,"M",72.057,27,47.737
27.423,54,21.225,"Class3",66.287,57,"H",31.461,"Q",65.22,91,87.229
71.511,77,66.734,"Class2",65.088,27,"R",35.057,"E",48.647,69,36.895
66.789,96,52.968,"Class1",69.126,86,"J",17.074,"O",32.924,63,79.836
62.382,92,44.917,"Class1",65.582,41,"E",23.407,"L",26.897,51,40.469
76.161,96,61.376,"Class1",41.13,98,"E",38.786,"O",28.688,50,24.201
70.472,67,70.865,"Class2",79.173,23,"M",45.508,"M",51.522,19,74.671
74.975,75,66.675,"Class2",-15.08,35,"M",49.874,"M",57.008,48,65.119
71.705,35,NA,"Class2",8.039,26,"U",46.043,"F",68.846,88,54.563
21.184,58,14.582,"Class3",59.088,58,"F",67.33,"S",67.542,91,90.611
26.02,77,63.399,"Class3",80.86,56,"P",67.212,"R",66.004,84,87.858
72.255,69,62.823,"Class2",66.648,25,"R",48.557,"J",37.032,79,43.403
69.278,97,35.793,"Class1",42.56,49,"K",28.376,"L",35.483,56,62.57
75.125,70,64.114,"Class2",53.977,50,"C",44.451,"F",69.233,21,40.032
59.484,86,59.889,"Class1",85.089,54,"D",29.698,"T",30.499,60,77.188
73.033,46,68.658,"Class2",-3.107,52,"R",48.412,"E",47.051,66,30.299
69.784,32,62.037,"Class2",49.669,25,"C",48.129,"F",63.541,69,80.326
78.908,98,85.277,"Class1",17.62,41,"J",32.879,"R",36.307,53,75.391
66.087,97,48.289,"Class1",71.01,52,"K",36.18,"L",29.533,60,45.26
62.824,89,57.818,"Class1",86.741,43,"P",27.527,"R",35.101,65,56.771
60.286,96,53.327,"Class1",63.731,52,"J",32.831,"T",31.966,53,58.689
72.904,85,37.673,"Class1",100.364,47,"D",32.716,"O",28.169,57,16.418
19.243,72,50.757,"Class3",60.636,51,"P",69.941,"R",66.743,87,64.504
73.126,48,63.896,"Class2",79.804,33,"N",42.988,"J",41.738,27,47.853
71.514,94,56.616,"Class1",50.353,64,"P",33.435,"C",26.96,61,64.104
75.17,70,59.419,"Class2",82.266,26,"N",49.361,"M",46.481,61,77.301
20.674,59,24.84,"Class3",66.673,50,"F",65.229,"B",66.819,87,91.896
31.8,68,67.878,"Class3",65.813,51,"F",84.158,"E",65.686,91,80.391
29.848,84,68.114,"Class3",63.382,56,"H",77.536,"B",66.169,84,79.579
73.786,49,74.085,"Class2",42.234,51,"M",54.39,"F",66.069,36,84.61
57.947,98,NA,"Class1",69.393,69,"D",44.499,"O",25.441,62,35.038
19.187,57,54.671,"Class3",50.589,52,"P",44.395,"B",67.165,86,69.638
75.806,53,73.167,"Class2",92.347,29,"N",40.27,"M",51.343,22,24.246
78.366,89,NA,"Class1",32.466,65,"J",22.971,"C",32.737,63,29.128
75.811,26,63.303,"Class2",15.962,18,"R",52.107,"J",62.239,66,56.707
63.429,88,50.821,"Class1",90.234,44,"J",38.013,"C",21.624,63,21.671
77.752,94,44.134,"Class1",69.332,94,"J",30.596,"T",34.717,55,31.467
75.139,73,72.206,"Class2",42.413,44,"N",48.613,"M",42.078,21,34.689
34.72,51,24.31,"Class3",58.529,56,"F",57.876,"B",66.551,87,81.888
56.711,96,43.526,"Class1",0.107,82,"K",30.833,"C",25.255,64,41.521
69.742,44,66.883,"Class2",49.232,32,"N",41.218,"M",66.204,77,54.014
65.123,94,55.285,"Class1",81.198,97,"K",29.106,"L",38.578,61,16.479
64.968,88,56.264,"Class1",25.843,37,"E",28.746,"R",21.379,55,73.897
74.3,38,67.866,"Class2",47.171,21,"N",45.126,"E",47.76,25,61.443
20.677,74,34.072,"Class3",65.079,51,"F",87.795,"B",66.893,85,63.701
22.566,84,72.218,"Class3",61.463,57,"P",79.507,"S",66.695,92,91.892
70.104,49,63.587,"Class2",77.685,30,"M",43.018,"J",60.207,56,87.17
72.234,39,72.811,"Class2",26.864,24,"C",42.736,"V",44.51,77,34.947
74.257,67,64.626,"Class2",95.689,50,"U",46.675,"J",54.601,75,89.047
72.374,29,73.74,"Class2",60.117,48,"M",49.73,"E",55.099,55,NA
26.741,60,NA,"Class3",55.952,57,"H",60.688,"Q",67.711,87,83.628
57.22,89,66.416,"Class1",25.364,34,"D",33.846,"L",24.364,53,45.885
71.569,61,64.935,"Class2",64.448,20,"N",41.954,"E",52.053,40,72.988
79.537,91,36.836,"Class1",32.709,52,"K",28.525,"C",33.276,56,74.026
19.439,77,48.281,"Class3",63.911,52,"F",112.419,"B",67.835,92,85.186
19.176,48,22.1,"Class3",61.418,50,"U",67.948,"E",67.321,89,76.024
75.309,50,68.28,"Class2",19.31,24,"M",37.246,"E",50.5,39,25.569
64.161,93,39.101,"Class1",49.651,53,"E",29.627,"C",39.886,61,NA
18.438,51,57.072,"Class3",64.411,53,"W",87.007,"S",67.523,88,64.379
69.892,45,63.007,"Class2",67.19,29,"M",43.543,"M",66.392,61,82.683
73.622,74,66.192,"Class2",19.001,44,"C",46.235,"M",62.522,74,22.57
69.092,65,70.829,"Class2",62.593,42,"M",54.011,"E",68.024,24,66.662
57.473,89,71.692,"Class1",55.343,68,"J",35.969,"L",25.11,64,46.622
57.1,95,85.325,"Class1",59.358,96,"E",24.682,"C",35.448,60,26.801
58.089,89,59.364,"Class1",42.129,61,"D",16.735,"T",38.168,54,28.68
75.982,58,69.045,"Class2",22.386,29,"U",38.733,"V",49.828,64,58.01
27.383,70,41.983,"Class3",72.222,53,"F",43.732,"Q",68.404,83,78.889
